7'丹尼尔中场做球被破坏                   7'第7分钟池忠国接球外围远射打在国安队员身上稍稍高出
37'Black_Knight1203 ：申鑫放话不会放国安了，先别想着赢吧！                   37'第37分钟申鑫右路进攻，球经过丹尼尔过渡之后，巴兰特斯禁区外左路抽射打在边网上
38'刘俊楠横敲中路，被雷腾龙上抢破坏                   37'第37分钟申鑫右路进攻，球经过丹尼尔过渡之后，巴兰特斯禁区外左路抽射打在边网上
38'丹尼尔背身做球，杨家威右路下底，传中被挡                   37'第37分钟申鑫右路进攻，球经过丹尼尔过渡之后，巴兰特斯禁区外左路抽射打在边网上
38'外围传后点，巴兰特斯禁区线附近撩射打偏                   37'第37分钟申鑫右路进攻，球经过丹尼尔过渡之后，巴兰特斯禁区外左路抽射打在边网上
39'丹尼尔禁区后点接应任意球，连续晃动                   37'第37分钟申鑫右路进攻，球经过丹尼尔过渡之后，巴兰特斯禁区外左路抽射打在边网上
39'自己犹豫没有打，回传被拦截                   37'第37分钟申鑫右路进攻，球经过丹尼尔过渡之后，巴兰特斯禁区外左路抽射打在边网上
40'孙凯左路防守                   37'第37分钟申鑫右路进攻，球经过丹尼尔过渡之后，巴兰特斯禁区外左路抽射打在边网上
40'点球！                   37'第37分钟申鑫右路进攻，球经过丹尼尔过渡之后，巴兰特斯禁区外左路抽射打在边网上
40'张池明突入禁区下底，被孙凯绊倒了！                   37'第37分钟申鑫右路进攻，球经过丹尼尔过渡之后，巴兰特斯禁区外左路抽射打在边网上
40'裁判给了点球                   37'第37分钟申鑫右路进攻，球经过丹尼尔过渡之后，巴兰特斯禁区外左路抽射打在边网上
43'申鑫后场传递又出界                   43'第43分钟双方在中圈附近突然发生冲突，马季奇在和丹尼尔拼抢中倒地，河大成质疑丹尼尔腿上有动作，接着和丹尼尔发生推搡，混乱中河大成被推翻在地
43'国安右路起球，胡鸣飞胸部做给了门将                   43'第43分钟双方在中圈附近突然发生冲突，马季奇在和丹尼尔拼抢中倒地，河大成质疑丹尼尔腿上有动作，接着和丹尼尔发生推搡，混乱中河大成被推翻在地
43'丹尼尔中场被马季奇放倒                   43'第43分钟双方在中圈附近突然发生冲突，马季奇在和丹尼尔拼抢中倒地，河大成质疑丹尼尔腿上有动作，接着和丹尼尔发生推搡，混乱中河大成被推翻在地
44'两队队员有些冲突                   43'第43分钟双方在中圈附近突然发生冲突，马季奇在和丹尼尔拼抢中倒地，河大成质疑丹尼尔腿上有动作，接着和丹尼尔发生推搡，混乱中河大成被推翻在地
44'马上被拉开，国安有两人捂脸倒地                   43'第43分钟双方在中圈附近突然发生冲突，马季奇在和丹尼尔拼抢中倒地，河大成质疑丹尼尔腿上有动作，接着和丹尼尔发生推搡，混乱中河大成被推翻在地
45'裁判黄牌警告了丹尼尔，火气有些大                   43'第43分钟双方在中圈附近突然发生冲突，马季奇在和丹尼尔拼抢中倒地，河大成质疑丹尼尔腿上有动作，接着和丹尼尔发生推搡，混乱中河大成被推翻在地
46'马季奇防守从后扑倒丹尼尔犯规，倒地两人有些身体接触                   43'第43分钟双方在中圈附近突然发生冲突，马季奇在和丹尼尔拼抢中倒地，河大成质疑丹尼尔腿上有动作，接着和丹尼尔发生推搡，混乱中河大成被推翻在地
46'但是河大成过来出头，和丹尼尔头顶头，然后捂脸倒地                   43'第43分钟双方在中圈附近突然发生冲突，马季奇在和丹尼尔拼抢中倒地，河大成质疑丹尼尔腿上有动作，接着和丹尼尔发生推搡，混乱中河大成被推翻在地
46'裁判过来之后，两人都起身了，没有大碍                   43'第43分钟双方在中圈附近突然发生冲突，马季奇在和丹尼尔拼抢中倒地，河大成质疑丹尼尔腿上有动作，接着和丹尼尔发生推搡，混乱中河大成被推翻在地
46'国安禁区线附近连续配合，巴塔拉低射被门将扑住                   43'第43分钟双方在中圈附近突然发生冲突，马季奇在和丹尼尔拼抢中倒地，河大成质疑丹尼尔腿上有动作，接着和丹尼尔发生推搡，混乱中河大成被推翻在地
46'下半场比赛开始！                   43'第43分钟双方在中圈附近突然发生冲突，马季奇在和丹尼尔拼抢中倒地，河大成质疑丹尼尔腿上有动作，接着和丹尼尔发生推搡，混乱中河大成被推翻在地
46'申鑫中圈开球                   43'第43分钟双方在中圈附近突然发生冲突，马季奇在和丹尼尔拼抢中倒地，河大成质疑丹尼尔腿上有动作，接着和丹尼尔发生推搡，混乱中河大成被推翻在地
46'半场申鑫换人，乔尼被叶重秋换下                   43'第43分钟双方在中圈附近突然发生冲突，马季奇在和丹尼尔拼抢中倒地，河大成质疑丹尼尔腿上有动作，接着和丹尼尔发生推搡，混乱中河大成被推翻在地
46'马季奇后场回敲，杨智大脚开出                   43'第43分钟双方在中圈附近突然发生冲突，马季奇在和丹尼尔拼抢中倒地，河大成质疑丹尼尔腿上有动作，接着和丹尼尔发生推搡，混乱中河大成被推翻在地
45'裁判黄牌警告了丹尼尔，火气有些大                   45'第45分钟国安又在前场打出连串配合，巴塔拉最后射门被张迅伟扑住
46'马季奇防守从后扑倒丹尼尔犯规，倒地两人有些身体接触                   45'第45分钟国安又在前场打出连串配合，巴塔拉最后射门被张迅伟扑住
46'但是河大成过来出头，和丹尼尔头顶头，然后捂脸倒地                   45'第45分钟国安又在前场打出连串配合，巴塔拉最后射门被张迅伟扑住
46'裁判过来之后，两人都起身了，没有大碍                   45'第45分钟国安又在前场打出连串配合，巴塔拉最后射门被张迅伟扑住
46'国安禁区线附近连续配合，巴塔拉低射被门将扑住                   45'第45分钟国安又在前场打出连串配合，巴塔拉最后射门被张迅伟扑住
47'马季奇左路拿球被黄威上抢绊倒                   45'第45分钟国安又在前场打出连串配合，巴塔拉最后射门被张迅伟扑住
48'国安左路任意球到前点被顶出                   45'第45分钟国安又在前场打出连串配合，巴塔拉最后射门被张迅伟扑住
48'上半场比赛结束！                   45'第45分钟国安又在前场打出连串配合，巴塔拉最后射门被张迅伟扑住
46'下半场比赛开始！                   45'第45分钟国安又在前场打出连串配合，巴塔拉最后射门被张迅伟扑住
46'申鑫中圈开球                   45'第45分钟国安又在前场打出连串配合，巴塔拉最后射门被张迅伟扑住
46'半场申鑫换人，乔尼被叶重秋换下                   45'第45分钟国安又在前场打出连串配合，巴塔拉最后射门被张迅伟扑住
46'马季奇后场回敲，杨智大脚开出                   45'第45分钟国安又在前场打出连串配合，巴塔拉最后射门被张迅伟扑住
47'张稀哲左路挑传，胡鸣飞解围                   45'第45分钟国安又在前场打出连串配合，巴塔拉最后射门被张迅伟扑住
48'刘俊楠前场争顶，二点球被国安控制                   45'第45分钟国安又在前场打出连串配合，巴塔拉最后射门被张迅伟扑住
48'赵和靖左路分球，河大成下底被叶重秋破坏                   45'第45分钟国安又在前场打出连串配合，巴塔拉最后射门被张迅伟扑住
48'国安左路边线球，出来再回敲，越位                   45'第45分钟国安又在前场打出连串配合，巴塔拉最后射门被张迅伟扑住
48'国安左路任意球到前点被顶出                   48'第48分钟，张稀哲左路传出低平球，申鑫后卫解围不利，巴塔拉拿球后回做，德扬禁区内推射大门右下角，此球角度极刁，张迅伟无能为力，2比0，国安再下一城
48'上半场比赛结束！                   48'第48分钟，张稀哲左路传出低平球，申鑫后卫解围不利，巴塔拉拿球后回做，德扬禁区内推射大门右下角，此球角度极刁，张迅伟无能为力，2比0，国安再下一城
48'刘俊楠前场争顶，二点球被国安控制                   48'第48分钟，张稀哲左路传出低平球，申鑫后卫解围不利，巴塔拉拿球后回做，德扬禁区内推射大门右下角，此球角度极刁，张迅伟无能为力，2比0，国安再下一城
48'赵和靖左路分球，河大成下底被叶重秋破坏                   48'第48分钟，张稀哲左路传出低平球，申鑫后卫解围不利，巴塔拉拿球后回做，德扬禁区内推射大门右下角，此球角度极刁，张迅伟无能为力，2比0，国安再下一城
48'国安左路边线球，出来再回敲，越位                   48'第48分钟，张稀哲左路传出低平球，申鑫后卫解围不利，巴塔拉拿球后回做，德扬禁区内推射大门右下角，此球角度极刁，张迅伟无能为力，2比0，国安再下一城
49'刘俊楠争顶被李运秋扛倒，任意球                   48'第48分钟，张稀哲左路传出低平球，申鑫后卫解围不利，巴塔拉拿球后回做，德扬禁区内推射大门右下角，此球角度极刁，张迅伟无能为力，2比0，国安再下一城
49'任意球吊门前，被杨智没收                   48'第48分钟，张稀哲左路传出低平球，申鑫后卫解围不利，巴塔拉拿球后回做，德扬禁区内推射大门右下角，此球角度极刁，张迅伟无能为力，2比0，国安再下一城
50'国安又进球了！                   48'第48分钟，张稀哲左路传出低平球，申鑫后卫解围不利，巴塔拉拿球后回做，德扬禁区内推射大门右下角，此球角度极刁，张迅伟无能为力，2比0，国安再下一城
50'德扬！                   48'第48分钟，张稀哲左路传出低平球，申鑫后卫解围不利，巴塔拉拿球后回做，德扬禁区内推射大门右下角，此球角度极刁，张迅伟无能为力，2比0，国安再下一城
50'赵和靖左路下底扫门前，巴塔拉背身回敲，德扬点球点附近跟上推远角破门！                   48'第48分钟，张稀哲左路传出低平球，申鑫后卫解围不利，巴塔拉拿球后回做，德扬禁区内推射大门右下角，此球角度极刁，张迅伟无能为力，2比0，国安再下一城
51'申鑫0-2落后国安！                   48'第48分钟，张稀哲左路传出低平球，申鑫后卫解围不利，巴塔拉拿球后回做，德扬禁区内推射大门右下角，此球角度极刁，张迅伟无能为力，2比0，国安再下一城
51'德扬左路拿球内切，横敲被破坏                   48'第48分钟，张稀哲左路传出低平球，申鑫后卫解围不利，巴塔拉拿球后回做，德扬禁区内推射大门右下角，此球角度极刁，张迅伟无能为力，2比0，国安再下一城
51'巴兰特斯直塞身前，刘俊楠转移                   48'第48分钟，张稀哲左路传出低平球，申鑫后卫解围不利，巴塔拉拿球后回做，德扬禁区内推射大门右下角，此球角度极刁，张迅伟无能为力，2比0，国安再下一城
59'国安左路斜传转移，孙凯头球解围                   59'第59分钟巴兰特斯把雷腾龙撞翻在地，双方又起了小小冲突
59'池忠国右路突破，斜传，直接被杨智拿到                   59'第59分钟巴兰特斯把雷腾龙撞翻在地，双方又起了小小冲突
59'胡鸣飞右路强行突破传中，出了底线                   59'第59分钟巴兰特斯把雷腾龙撞翻在地，双方又起了小小冲突
60'孙凯中场上抢犯规，搬到了张池明                   59'第59分钟巴兰特斯把雷腾龙撞翻在地，双方又起了小小冲突
61'巴兰特斯和雷腾龙有些冲突，雷腾龙捂头倒地了                   59'第59分钟巴兰特斯把雷腾龙撞翻在地，双方又起了小小冲突
61'镜头没有交代到底发生了什么                   59'第59分钟巴兰特斯把雷腾龙撞翻在地，双方又起了小小冲突
62'雷腾龙主动去找巴兰特斯，自己倒地                   59'第59分钟巴兰特斯把雷腾龙撞翻在地，双方又起了小小冲突
62'动作都不明显                   59'第59分钟巴兰特斯把雷腾龙撞翻在地，双方又起了小小冲突
66'池忠国禁区前拿球被破坏                   66'国安没有放松继续猛攻，第66分钟马季奇禁区外远射稍稍偏出
66'张池明拿球反击被孙凯飞铲                   66'国安没有放松继续猛攻，第66分钟马季奇禁区外远射稍稍偏出
66'裁判这次没有出牌，有些看不懂                   66'国安没有放松继续猛攻，第66分钟马季奇禁区外远射稍稍偏出
66'之前巴兰特斯和雷腾龙的冲突，雷腾龙同样吃了一张黄牌                   66'国安没有放松继续猛攻，第66分钟马季奇禁区外远射稍稍偏出
67'马季奇禁区前拿球，远射打偏                   66'国安没有放松继续猛攻，第66分钟马季奇禁区外远射稍稍偏出
68'国安换人，河大成被于大宝换下                   66'国安没有放松继续猛攻，第66分钟马季奇禁区外远射稍稍偏出
69'孙凯左路防守踢出底线，角球                   66'国安没有放松继续猛攻，第66分钟马季奇禁区外远射稍稍偏出
69'角球去后点，德扬射门被封堵出去                   66'国安没有放松继续猛攻，第66分钟马季奇禁区外远射稍稍偏出
69'巴塔拉拿球传中被于涛顶出，还是角球                   66'国安没有放松继续猛攻，第66分钟马季奇禁区外远射稍稍偏出
71'于大宝没抢到点，后点黄威解围，角球                   71'第71分钟申鑫用贾天子换下池忠国
72'张池明右路拿球，胡鸣飞顶防犯规                   71'第71分钟申鑫用贾天子换下池忠国
72'申鑫换人，池忠国被贾天子换下                   71'第71分钟申鑫用贾天子换下池忠国
72'于涛大脚到前场，漫无目的                   71'第71分钟申鑫用贾天子换下池忠国
73'这段时间场上节奏比较慢                   71'第71分钟申鑫用贾天子换下池忠国
73'张池明右路传中去后点，大了                   71'第71分钟申鑫用贾天子换下池忠国
74'张池明突破到中路                   71'第71分钟申鑫用贾天子换下池忠国
74'张池明突破到中路                   74'第74分钟国安用换下克莱帕换下巴塔拉
75'国安再下一城！                   74'第74分钟国安用换下克莱帕换下巴塔拉
75'德扬梅开二度！                   74'第74分钟国安用换下克莱帕换下巴塔拉
75'张池明分球到禁区内，德扬无人防守，轻松破门！                   74'第74分钟国安用换下克莱帕换下巴塔拉
75'申鑫0-3落后国安！                   74'第74分钟国安用换下克莱帕换下巴塔拉
75'国安换人，巴塔拉被克莱伯换下                   74'第74分钟国安用换下克莱帕换下巴塔拉
76'张池明中场横敲直接给到申鑫脚下                   74'第74分钟国安用换下克莱帕换下巴塔拉
76'杨家威左路下底，拿到一个角球                   74'第74分钟国安用换下克莱帕换下巴塔拉
78'德扬左路突破到禁区内，小角度打门被门将扑出                   78'第78分钟张稀哲受伤被担架抬出，第81分钟邵佳一换下了张稀哲
78'黄威二点再借我                   78'第78分钟张稀哲受伤被担架抬出，第81分钟邵佳一换下了张稀哲
78'国安永恒之冠： 德阳进步真快                   78'第78分钟张稀哲受伤被担架抬出，第81分钟邵佳一换下了张稀哲
78'角球到门前被张迅伟没收                   78'第78分钟张稀哲受伤被担架抬出，第81分钟邵佳一换下了张稀哲
79'张稀哲受伤坐在地上                   78'第78分钟张稀哲受伤被担架抬出，第81分钟邵佳一换下了张稀哲
80'孙凯左路传中，前点被解围                   78'第78分钟张稀哲受伤被担架抬出，第81分钟邵佳一换下了张稀哲
81'比赛还有最后10分钟                   78'第78分钟张稀哲受伤被担架抬出，第81分钟邵佳一换下了张稀哲
