3'科恩特朗禁区外左侧杀过来，传中到禁区内，贝尔凌空直接一脚爆射，，直奔远端死角                   3'3分钟后，C罗在相同位置的左脚抽射却离谱偏出
43'这样的话，比赛还能稍微好看些，华沙这球进的漂亮                   40'莱吉亚第40分钟扳回一城，吉列尔梅传球，奥弗伊在数人包夹防守下突破至禁区边缘射左上角入网，1-2
58'贝尔来主罚，直接一记轰门，电梯球，稍稍高出横梁                   58'莱吉亚第58分钟扳平，莫林传球，拉多维奇左路突破至禁区边缘外脚背抽射反弹球入远角，2-2
58'马拉兹后场大脚开出                   58'莱吉亚第58分钟扳平，莫林传球，拉多维奇左路突破至禁区边缘外脚背抽射反弹球入远角，2-2
58'左侧拉多维奇带球杀向禁区                   58'莱吉亚第58分钟扳平，莫林传球，拉多维奇左路突破至禁区边缘外脚背抽射反弹球入远角，2-2
58'平地一声惊雷，，，拉多维奇，，世界波，，扳平了                   58'莱吉亚第58分钟扳平，莫林传球，拉多维奇左路突破至禁区边缘外脚背抽射反弹球入远角，2-2
59'拉多维奇左侧带球疾驰，内切过来遭遇围堵，趁着还有一丝缝隙，右脚大力抽射，打出弹地球，纳瓦斯扑救不及                   58'莱吉亚第58分钟扳平，莫林传球，拉多维奇左路突破至禁区边缘外脚背抽射反弹球入远角，2-2
59'这球，悬念又回来了，皇马2球领先居然被扳平了                   58'莱吉亚第58分钟扳平，莫林传球，拉多维奇左路突破至禁区边缘外脚背抽射反弹球入远角，2-2
60'左路C罗推给克罗斯，转移到右侧                   58'莱吉亚第58分钟扳平，莫林传球，拉多维奇左路突破至禁区边缘外脚背抽射反弹球入远角，2-2
60'卡瓦哈尔在给到贝尔，贝尔突破，右侧内切之后的打门，被马拉兹没收                   58'莱吉亚第58分钟扳平，莫林传球，拉多维奇左路突破至禁区边缘外脚背抽射反弹球入远角，2-2
60'大脚开出，尼克尼奇看到纳瓦斯站位比较靠前，干脆选择吊射，没有造成威胁                   58'莱吉亚第58分钟扳平，莫林传球，拉多维奇左路突破至禁区边缘外脚背抽射反弹球入远角，2-2
61'纳瓦斯给到卡瓦哈尔，皇马进攻推进过来                   58'莱吉亚第58分钟扳平，莫林传球，拉多维奇左路突破至禁区边缘外脚背抽射反弹球入远角，2-2
61'右侧卡瓦哈尔似传似射，吊向了球门，被马拉兹没收                   58'莱吉亚第58分钟扳平，莫林传球，拉多维奇左路突破至禁区边缘外脚背抽射反弹球入远角，2-2
61'皇马现在进攻又要紧张起来了                   58'莱吉亚第58分钟扳平，莫林传球，拉多维奇左路突破至禁区边缘外脚背抽射反弹球入远角，2-2
61'皇马前场断下，左侧给科恩特朗                   58'莱吉亚第58分钟扳平，莫林传球，拉多维奇左路突破至禁区边缘外脚背抽射反弹球入远角，2-2
61'斜吊禁区，还是被马拉兹没收                   58'莱吉亚第58分钟扳平，莫林传球，拉多维奇左路突破至禁区边缘外脚背抽射反弹球入远角，2-2
83'在给到99号普罗杰维奇，扛着后卫，一脚强行爆射，被纳瓦斯扑出                   83'莱吉亚第83分钟反超比分，普里约维奇回敲，莫林禁区弧边缘的射门击中右侧立柱内侧入网，3-2
83'皇马3后卫防守压力颇大                   83'莱吉亚第83分钟反超比分，普里约维奇回敲，莫林禁区弧边缘的射门击中右侧立柱内侧入网，3-2
83'纳乔左侧低球给到莫拉塔                   83'莱吉亚第83分钟反超比分，普里约维奇回敲，莫林禁区弧边缘的射门击中右侧立柱内侧入网，3-2
84'莫拉塔越位在先了                   83'莱吉亚第83分钟反超比分，普里约维奇回敲，莫林禁区弧边缘的射门击中右侧立柱内侧入网，3-2
84'赫劳塞克左侧突破到了前场，横敲中路到了科普津斯基                   83'莱吉亚第83分钟反超比分，普里约维奇回敲，莫林禁区弧边缘的射门击中右侧立柱内侧入网，3-2
84'在做球给到外围弧顶，，穆兰                   83'莱吉亚第83分钟反超比分，普里约维奇回敲，莫林禁区弧边缘的射门击中右侧立柱内侧入网，3-2
84'..华沙进球了，，穆兰                   83'莱吉亚第83分钟反超比分，普里约维奇回敲，莫林禁区弧边缘的射门击中右侧立柱内侧入网，3-2
85'华沙2球落后，连入3球，反超了皇马                   83'莱吉亚第83分钟反超比分，普里约维奇回敲，莫林禁区弧边缘的射门击中右侧立柱内侧入网，3-2
85'..华沙左侧反击，到了禁区前横敲中路点球点附近普罗杰维奇背身回做，穆兰禁区前沿跟进爆射，直挂死角                   83'莱吉亚第83分钟反超比分，普里约维奇回敲，莫林禁区弧边缘的射门击中右侧立柱内侧入网，3-2
85'替补上来的99号发挥很出色                   83'莱吉亚第83分钟反超比分，普里约维奇回敲，莫林禁区弧边缘的射门击中右侧立柱内侧入网，3-2
86'皇马换人，马里亚诺替下了莫拉塔                   83'莱吉亚第83分钟反超比分，普里约维奇回敲，莫林禁区弧边缘的射门击中右侧立柱内侧入网，3-2
86'齐达内为自己的拖大复出代价了啊，，有点轻视对手了                   83'莱吉亚第83分钟反超比分，普里约维奇回敲，莫林禁区弧边缘的射门击中右侧立柱内侧入网，3-2
86'贝尔前场给到C罗，右侧在给卡瓦哈尔                   83'莱吉亚第83分钟反超比分，普里约维奇回敲，莫林禁区弧边缘的射门击中右侧立柱内侧入网，3-2
86'回敲给到中路，科瓦契奇跟上，，禁区内一步，低射                   83'莱吉亚第83分钟反超比分，普里约维奇回敲，莫林禁区弧边缘的射门击中右侧立柱内侧入网，3-2
85'华沙2球落后，连入3球，反超了皇马                   85'皇马第85分钟扳平比分，卡瓦哈尔禁区右侧脚后跟回传，科瓦契奇禁区边缘射入左下角，3-3
85'..华沙左侧反击，到了禁区前横敲中路点球点附近普罗杰维奇背身回做，穆兰禁区前沿跟进爆射，直挂死角                   85'皇马第85分钟扳平比分，卡瓦哈尔禁区右侧脚后跟回传，科瓦契奇禁区边缘射入左下角，3-3
85'替补上来的99号发挥很出色                   85'皇马第85分钟扳平比分，卡瓦哈尔禁区右侧脚后跟回传，科瓦契奇禁区边缘射入左下角，3-3
86'皇马换人，马里亚诺替下了莫拉塔                   85'皇马第85分钟扳平比分，卡瓦哈尔禁区右侧脚后跟回传，科瓦契奇禁区边缘射入左下角，3-3
86'齐达内为自己的拖大复出代价了啊，，有点轻视对手了                   85'皇马第85分钟扳平比分，卡瓦哈尔禁区右侧脚后跟回传，科瓦契奇禁区边缘射入左下角，3-3
86'贝尔前场给到C罗，右侧在给卡瓦哈尔                   85'皇马第85分钟扳平比分，卡瓦哈尔禁区右侧脚后跟回传，科瓦契奇禁区边缘射入左下角，3-3
86'回敲给到中路，科瓦契奇跟上，，禁区内一步，低射                   85'皇马第85分钟扳平比分，卡瓦哈尔禁区右侧脚后跟回传，科瓦契奇禁区边缘射入左下角，3-3
87'科瓦契奇立功了，扳平                   85'皇马第85分钟扳平比分，卡瓦哈尔禁区右侧脚后跟回传，科瓦契奇禁区边缘射入左下角，3-3
87'今天这球真好看，比赛最后阶段，掀起高潮                   85'皇马第85分钟扳平比分，卡瓦哈尔禁区右侧脚后跟回传，科瓦契奇禁区边缘射入左下角，3-3
87'禁区外右侧卡瓦哈尔助攻上来，低球传进来，科瓦契奇跟上斜射打入左下角                   85'皇马第85分钟扳平比分，卡瓦哈尔禁区右侧脚后跟回传，科瓦契奇禁区边缘射入左下角，3-3
88'华沙用约德沃维奇替下奥福奥                   85'皇马第85分钟扳平比分，卡瓦哈尔禁区右侧脚后跟回传，科瓦契奇禁区边缘射入左下角，3-3
88'禁区外左侧华沙获得定位球                   85'皇马第85分钟扳平比分，卡瓦哈尔禁区右侧脚后跟回传，科瓦契奇禁区边缘射入左下角，3-3
88'吊向禁区中央，吉列尔梅头球攻门高了                   85'皇马第85分钟扳平比分，卡瓦哈尔禁区右侧脚后跟回传，科瓦契奇禁区边缘射入左下角，3-3
