8'地滚球传中，费尔曼倒地将球拿住                   8'开场8分钟，拜仁首次射正就取得领先
27'直传找到了乌特，乌特再转身转移给麦克尼                   25'拜仁第25分钟错过机会，J罗接应莱万直传，在门前10米处单刀左脚挑射被费尔曼出击拍出
28'麦克尼斜传向右侧，迪桑托越位明显啊                   25'拜仁第25分钟错过机会，J罗接应莱万直传，在门前10米处单刀左脚挑射被费尔曼出击拍出
28'胡梅尔斯传球失误                   25'拜仁第25分钟错过机会，J罗接应莱万直传，在门前10米处单刀左脚挑射被费尔曼出击拍出
28'迪桑托得球在带球，胡梅尔斯倒地一铲将球铲走                   25'拜仁第25分钟错过机会，J罗接应莱万直传，在门前10米处单刀左脚挑射被费尔曼出击拍出
28'莱万多夫斯基接应带球，被对方鲁迪推倒                   25'拜仁第25分钟错过机会，J罗接应莱万直传，在门前10米处单刀左脚挑射被费尔曼出击拍出
28'裁判鸣哨                   25'拜仁第25分钟错过机会，J罗接应莱万直传，在门前10米处单刀左脚挑射被费尔曼出击拍出
50'纳尔多直传，迪桑托交给卡利朱里                   50'下半时开始5分钟，里贝里左路与穆勒踢墙配合后禁区左侧传中，J罗前点距门5米处左脚推射偏出近门柱
50'放长传被胡梅尔斯头球解围                   50'下半时开始5分钟，里贝里左路与穆勒踢墙配合后禁区左侧传中，J罗前点距门5米处左脚推射偏出近门柱
50'莱万多夫斯基拉边得球突进                   50'下半时开始5分钟，里贝里左路与穆勒踢墙配合后禁区左侧传中，J罗前点距门5米处左脚推射偏出近门柱
50'急停回传给里贝里                   50'下半时开始5分钟，里贝里左路与穆勒踢墙配合后禁区左侧传中，J罗前点距门5米处左脚推射偏出近门柱
50'斜塞交给穆勒                   50'下半时开始5分钟，里贝里左路与穆勒踢墙配合后禁区左侧传中，J罗前点距门5米处左脚推射偏出近门柱
51'穆勒做墙传球，里贝里插上得球再倒三角传中，跟进的J罗推射，居然打偏了！                   50'下半时开始5分钟，里贝里左路与穆勒踢墙配合后禁区左侧传中，J罗前点距门5米处左脚推射偏出近门柱
51'舍普夫左路带球，带丢了                   50'下半时开始5分钟，里贝里左路与穆勒踢墙配合后禁区左侧传中，J罗前点距门5米处左脚推射偏出近门柱
51'裁判给的是沙尔克04R 界外球                   50'下半时开始5分钟，里贝里左路与穆勒踢墙配合后禁区左侧传中，J罗前点距门5米处左脚推射偏出近门柱
51'麦克尼过来掷界外球，到了禁区被胡梅尔斯顶出                   50'下半时开始5分钟，里贝里左路与穆勒踢墙配合后禁区左侧传中，J罗前点距门5米处左脚推射偏出近门柱
51'麦克尼再去争第二点，J罗的犯规                   50'下半时开始5分钟，里贝里左路与穆勒踢墙配合后禁区左侧传中，J罗前点距门5米处左脚推射偏出近门柱
52'沙尔克04获得一个对方禁区左犄角附近的任意球机会                   50'下半时开始5分钟，里贝里左路与穆勒踢墙配合后禁区左侧传中，J罗前点距门5米处左脚推射偏出近门柱
52'麦克尼抱着左小腿，似乎伤得不轻                   50'下半时开始5分钟，里贝里左路与穆勒踢墙配合后禁区左侧传中，J罗前点距门5米处左脚推射偏出近门柱
53'是麦克尼去争球，J罗转身左脚解围，踢到了麦克尼上下五寸的位置                   50'下半时开始5分钟，里贝里左路与穆勒踢墙配合后禁区左侧传中，J罗前点距门5米处左脚推射偏出近门柱
53'麦克尼在队医搀扶下单足跳到场外                   50'下半时开始5分钟，里贝里左路与穆勒踢墙配合后禁区左侧传中，J罗前点距门5米处左脚推射偏出近门柱
64'J罗右侧带球内切，扣球扣过了乌特，但被背后的舍普夫绊倒                   64'拜仁第64分钟扩大比分，J罗右侧开角球，接到基米希回传后切入禁区被舍普夫放倒，点球
64'点球！                   64'拜仁第64分钟扩大比分，J罗右侧开角球，接到基米希回传后切入禁区被舍普夫放倒，点球
64'莱万多夫斯基准备主罚                   64'拜仁第64分钟扩大比分，J罗右侧开角球，接到基米希回传后切入禁区被舍普夫放倒，点球
64'莱万多夫斯基大力推射球门右下角，费尔曼倒地摸到球但无法阻止球入网                   64'拜仁第64分钟扩大比分，J罗右侧开角球，接到基米希回传后切入禁区被舍普夫放倒，点球
65'莱万多夫斯基打进点球！                   64'拜仁第64分钟扩大比分，J罗右侧开角球，接到基米希回传后切入禁区被舍普夫放倒，点球
65'拜仁客场2：0领先                   64'拜仁第64分钟扩大比分，J罗右侧开角球，接到基米希回传后切入禁区被舍普夫放倒，点球
67'沙尔克04换人，25号阿里特换下了9号迪桑托                   64'拜仁第64分钟扩大比分，J罗右侧开角球，接到基米希回传后切入禁区被舍普夫放倒，点球
