17'横向的转移险些失误                   17'第17分钟，赫顿右路传中，本特克12码处头球攻门被米尼奥莱没收
27'博里尼被包夹没有拿到                   24'利物浦第24分钟取得领先，亨德森禁区右侧边缘传中，无人防守的博里尼小禁区边缘凌空捅射打入近2年来为利物浦效力的首粒入球
27'哈顿这边中场又是没有送过去                   24'利物浦第24分钟取得领先，亨德森禁区右侧边缘传中，无人防守的博里尼小禁区边缘凌空捅射打入近2年来为利物浦效力的首粒入球
50'利物浦中场断球了                   50'第50分钟，斯科特尔接角球头球攻门被古赞扑出后击中左侧立柱
50'前场的直塞送到禁区内                   50'第50分钟，斯科特尔接角球头球攻门被古赞扑出后击中左侧立柱
51'博里尼插上准备打门还是先被破坏了                   50'第50分钟，斯科特尔接角球头球攻门被古赞扑出后击中左侧立柱
51'利物浦的角球机会                   50'第50分钟，斯科特尔接角球头球攻门被古赞扑出后击中左侧立柱
51'角球送后点                   50'第50分钟，斯科特尔接角球头球攻门被古赞扑出后击中左侧立柱
51'摆渡回来到了中路                   50'第50分钟，斯科特尔接角球头球攻门被古赞扑出后击中左侧立柱
51'博里尼小禁区前沿转身打门只是蹭到了一点点                   50'第50分钟，斯科特尔接角球头球攻门被古赞扑出后击中左侧立柱
52'这球利物浦有点可惜啊                   50'第50分钟，斯科特尔接角球头球攻门被古赞扑出后击中左侧立柱
53'斯特林中场带球突破被放倒                   50'第50分钟，斯科特尔接角球头球攻门被古赞扑出后击中左侧立柱
53'奥科雷得到一张黄牌！                   50'第50分钟，斯科特尔接角球头球攻门被古赞扑出后击中左侧立柱
79'卢卡斯禁区外围打门被门将扑出                   79'利物浦第79分钟锁定胜局，斯特林前场拦截后传球，替补出场的兰伯特禁区边缘低射左下角入网，2-0
79'利物浦角球的机会                   79'利物浦第79分钟锁定胜局，斯特林前场拦截后传球，替补出场的兰伯特禁区边缘低射左下角入网，2-0
79'角球送前点被维拉顶出                   79'利物浦第79分钟锁定胜局，斯特林前场拦截后传球，替补出场的兰伯特禁区边缘低射左下角入网，2-0
79'2-0！！！                   79'利物浦第79分钟锁定胜局，斯特林前场拦截后传球，替补出场的兰伯特禁区边缘低射左下角入网，2-0
79'兰伯特！！                   79'利物浦第79分钟锁定胜局，斯特林前场拦截后传球，替补出场的兰伯特禁区边缘低射左下角入网，2-0
81'利物浦角球送前点被顶出，斯特林禁区外围断球下来后分到右路，兰伯特停球后一拉摆脱防守，在大禁区线上过一点后低射远角，破门！                   79'利物浦第79分钟锁定胜局，斯特林前场拦截后传球，替补出场的兰伯特禁区边缘低射左下角入网，2-0
81'兰伯特这边也是得到一张黄牌！                   79'利物浦第79分钟锁定胜局，斯特林前场拦截后传球，替补出场的兰伯特禁区边缘低射左下角入网，2-0
81'此时此刻值得来杯嘉士伯                   79'利物浦第79分钟锁定胜局，斯特林前场拦截后传球，替补出场的兰伯特禁区边缘低射左下角入网，2-0
82'兰伯特右路拿球边线没有过去                   79'利物浦第79分钟锁定胜局，斯特林前场拦截后传球，替补出场的兰伯特禁区边缘低射左下角入网，2-0
