1'上半场比赛开始！！                   1'里昂继续在第1分钟摆出铁桶阵
49'穆萨-登贝莱前场的上抢动作也要注意一下                   47'第47分钟，阿图尔反击中突破传球，梅西10码处挑射越过门将戈尔格林，但马萨尔及时回追在门线前解围
49'巴萨下半场上来就获得机会                   47'第47分钟，阿图尔反击中突破传球，梅西10码处挑射越过门将戈尔格林，但马萨尔及时回追在门线前解围
49'门前的挑射被后卫在门线上解围                   47'第47分钟，阿图尔反击中突破传球，梅西10码处挑射越过门将戈尔格林，但马萨尔及时回追在门线前解围
49'朗格莱铲抢犯规                   47'第47分钟，阿图尔反击中突破传球，梅西10码处挑射越过门将戈尔格林，但马萨尔及时回追在门线前解围
49'朗格莱得到一张黄牌！                   47'第47分钟，阿图尔反击中突破传球，梅西10码处挑射越过门将戈尔格林，但马萨尔及时回追在门线前解围
49'里昂前场的任意球给到后点                   47'第47分钟，阿图尔反击中突破传球，梅西10码处挑射越过门将戈尔格林，但马萨尔及时回追在门线前解围
49'双方都没有碰到                   47'第47分钟，阿图尔反击中突破传球，梅西10码处挑射越过门将戈尔格林，但马萨尔及时回追在门线前解围
78'3-1！！！                   78'巴萨第78分钟重新拉开差距，布斯克茨传球，梅西假动作骗过2人后12码处射门，皮球被戈尔格林扑挡后缓缓滚入左下角，3-1
78'梅西！！！                   78'巴萨第78分钟重新拉开差距，布斯克茨传球，梅西假动作骗过2人后12码处射门，皮球被戈尔格林扑挡后缓缓滚入左下角，3-1
79'梅西前场接球自己来到了禁区里，里昂两人防守被梅西扣过，梅西跟着推射被门将碰了一下，球还是缓缓滚入球门！！                   78'巴萨第78分钟重新拉开差距，布斯克茨传球，梅西假动作骗过2人后12码处射门，皮球被戈尔格林扑挡后缓缓滚入左下角，3-1
79'这下比赛的悬念又不大了                   78'巴萨第78分钟重新拉开差距，布斯克茨传球，梅西假动作骗过2人后12码处射门，皮球被戈尔格林扑挡后缓缓滚入左下角，3-1
80'4-1！！！                   78'巴萨第78分钟重新拉开差距，布斯克茨传球，梅西假动作骗过2人后12码处射门，皮球被戈尔格林扑挡后缓缓滚入左下角，3-1
80'皮克！！                   78'巴萨第78分钟重新拉开差距，布斯克茨传球，梅西假动作骗过2人后12码处射门，皮球被戈尔格林扑挡后缓缓滚入左下角，3-1
81'巴萨反击，前场3打4，梅西禁区内分球给到左侧，皮克也是高速前插到了禁区里，推射破门！！                   78'巴萨第78分钟重新拉开差距，布斯克茨传球，梅西假动作骗过2人后12码处射门，皮球被戈尔格林扑挡后缓缓滚入左下角，3-1
81'巴萨反击，前场3打4，梅西禁区内分球给到左侧，皮克也是高速前插到了禁区里，推射破门！！                   81'第81分钟，梅西反击中突入禁区右肋无私斜传，无人防守的皮克小禁区左侧铲射近角入网，4-1
82'皮克这球是杀死了里昂反扑的机会                   81'第81分钟，梅西反击中突入禁区右肋无私斜传，无人防守的皮克小禁区左侧铲射近角入网，4-1
83'里昂这边获得角球机会                   81'第81分钟，梅西反击中突入禁区右肋无私斜传，无人防守的皮克小禁区左侧铲射近角入网，4-1
83'角球送中路                   81'第81分钟，梅西反击中突入禁区右肋无私斜传，无人防守的皮克小禁区左侧铲射近角入网，4-1
83'特尔施特根将球摘到                   81'第81分钟，梅西反击中突入禁区右肋无私斜传，无人防守的皮克小禁区左侧铲射近角入网，4-1
84'巴萨后场出球                   81'第81分钟，梅西反击中突入禁区右肋无私斜传，无人防守的皮克小禁区左侧铲射近角入网，4-1
86'5-1！！！                   86'第86分钟，梅西反击中斜传，登贝莱禁区左侧12码处低射近角入网，5-1
86'登贝莱！！                   86'第86分钟，梅西反击中斜传，登贝莱禁区左侧12码处低射近角入网，5-1
87'巴萨前场拿球，梅西分到左路禁区，登贝莱接球不做调整直接推射破门！！                   86'第86分钟，梅西反击中斜传，登贝莱禁区左侧12码处低射近角入网，5-1
87'打得很轻松啊                   86'第86分钟，梅西反击中斜传，登贝莱禁区左侧12码处低射近角入网，5-1
