1'拉齐奥球员帕罗洛一脚直塞球给马特里,但是边裁举旗显示后者已经越位.                   1'赛前为老马尔蒂尼默哀1分钟
64'拉齐奥球员霍特被主裁判出示了一张黄牌.                   64'罗马第64分钟扩大比分，纳英戈兰前场被放倒，罗马没有停止进攻，佩罗蒂在门前28米处大力抽射击中左门柱内侧弹回，哲科右侧距门8米处半凌空推入近角，2比0
64'罗马纳因戈兰受伤倒地,比赛暂停                   64'罗马第64分钟扩大比分，纳英戈兰前场被放倒，罗马没有停止进攻，佩罗蒂在门前28米处大力抽射击中左门柱内侧弹回，哲科右侧距门8米处半凌空推入近角，2比0
66'暂停结束,球员们重新开始比赛.                   64'罗马第64分钟扩大比分，纳英戈兰前场被放倒，罗马没有停止进攻，佩罗蒂在门前28米处大力抽射击中左门柱内侧弹回，哲科右侧距门8米处半凌空推入近角，2比0
67'迪涅将球处理出底线,拉齐奥获得角球.                   64'罗马第64分钟扩大比分，纳英戈兰前场被放倒，罗马没有停止进攻，佩罗蒂在门前28米处大力抽射击中左门柱内侧弹回，哲科右侧距门8米处半凌空推入近角，2比0
68'拉齐奥球员霍特大禁区中央头球,命中门柱右侧立柱.给他传球的是帕罗洛.                   68'第68分钟，右侧角球开出后，帕罗洛争顶下来，胡特在门前6米处接力头球击中右门柱
68'佩罗蒂将球处理出底线,拉齐奥获得角球.                   68'第68分钟，右侧角球开出后，帕罗洛争顶下来，胡特在门前6米处接力头球击中右门柱
68'拉齐奥球员F-安德森大禁区外右脚射门,被防守球员封堵.给他传球的是比格利亚.                   68'第68分钟，右侧角球开出后，帕罗洛争顶下来，胡特在门前6米处接力头球击中右门柱
68'迪涅将球处理出底线,拉齐奥获得角球.                   68'第68分钟，右侧角球开出后，帕罗洛争顶下来，胡特在门前6米处接力头球击中右门柱
69'射门!!!拉齐奥球员帕罗洛球门线跟前头球,被对方守门员横身扑出.给他传球的是克洛泽.                   68'第68分钟，右侧角球开出后，帕罗洛争顶下来，胡特在门前6米处接力头球击中右门柱
69'拉齐奥球员霍特大禁区外尝试左脚射门,可惜皮球高出球门.给他传球的是克洛泽.                   68'第68分钟，右侧角球开出后，帕罗洛争顶下来，胡特在门前6米处接力头球击中右门柱
69'拉齐奥球员卡塔尔迪被主裁判出示了一张黄牌.                   68'第68分钟，右侧角球开出后，帕罗洛争顶下来，胡特在门前6米处接力头球击中右门柱
70'罗马纳因戈兰受伤倒地,比赛暂停                   68'第68分钟，右侧角球开出后，帕罗洛争顶下来，胡特在门前6米处接力头球击中右门柱
71'暂停结束,球员们重新开始比赛.                   68'第68分钟，右侧角球开出后，帕罗洛争顶下来，胡特在门前6米处接力头球击中右门柱
71'罗马换人,法尔克上,纳因戈兰因伤下场.                   68'第68分钟，右侧角球开出后，帕罗洛争顶下来，胡特在门前6米处接力头球击中右门柱
75'拉齐奥球员克洛泽球门右侧小角度尝试头球,可惜皮球稍稍偏出了左球门.给他传球的是凯塔.                   75'拉齐奥第75分钟终于扳回一分，小凯塔左路斜传，斯琴斯尼贸然出击，克洛泽后点头球摆渡，帕罗洛铲过门线，1比2
75'进球啦！！！拉齐奥球员帕罗洛球门线跟前右脚射门,球从中路飞进球门,球进了!助攻的是克洛泽. 拉齐奥 1-2 罗马.                   75'拉齐奥第75分钟终于扳回一分，小凯塔左路斜传，斯琴斯尼贸然出击，克洛泽后点头球摆渡，帕罗洛铲过门线，1比2
77'凯塔将球处理出底线,拉齐奥获得角球.                   75'拉齐奥第75分钟终于扳回一分，小凯塔左路斜传，斯琴斯尼贸然出击，克洛泽后点头球摆渡，帕罗洛铲过门线，1比2
77'拉齐奥球员帕罗洛球门线跟前尝试头球,可惜皮球稍稍偏出了右球门.给他传球的是比格利亚.                   75'拉齐奥第75分钟终于扳回一分，小凯塔左路斜传，斯琴斯尼贸然出击，克洛泽后点头球摆渡，帕罗洛铲过门线，1比2
77'射门!!!拉齐奥球员F-安德森球门线跟前右脚射门,被对方守门员横身扑出.给他传球的是帕罗洛.                   75'拉齐奥第75分钟终于扳回一分，小凯塔左路斜传，斯琴斯尼贸然出击，克洛泽后点头球摆渡，帕罗洛铲过门线，1比2
78'拉齐奥球员F-安德森一脚直塞球给克洛泽,但是边裁举旗显示后者已经越位.                   75'拉齐奥第75分钟终于扳回一分，小凯塔左路斜传，斯琴斯尼贸然出击，克洛泽后点头球摆渡，帕罗洛铲过门线，1比2
83'进球啦！！！罗马球员弗洛伦齐大禁区外右脚射门,球从左下角飞进球门,球进了! 拉齐奥 1-3 罗马.                   83'第83分钟，皮亚尼奇左侧角球被顶出，弗洛伦齐右侧禁区前沿迎球半凌空抽射入远角，3比1
84'拉齐奥换人,乔杰维奇换下卡塔尔迪                   83'第83分钟，皮亚尼奇左侧角球被顶出，弗洛伦齐右侧禁区前沿迎球半凌空抽射入远角，3比1
85'弗洛伦齐将球处理出底线,拉齐奥获得角球.                   83'第83分钟，皮亚尼奇左侧角球被顶出，弗洛伦齐右侧禁区前沿迎球半凌空抽射入远角，3比1
85'马诺拉斯将球处理出底线,拉齐奥获得角球.                   83'第83分钟，皮亚尼奇左侧角球被顶出，弗洛伦齐右侧禁区前沿迎球半凌空抽射入远角，3比1
85'拉齐奥球员帕罗洛大禁区中央尝试头球,可惜皮球高出球门.给他传球的是比格利亚.                   83'第83分钟，皮亚尼奇左侧角球被顶出，弗洛伦齐右侧禁区前沿迎球半凌空抽射入远角，3比1
86'罗马球员哲科大禁区中央左脚射门,被防守球员封堵.给他传球的是法尔克.                   83'第83分钟，皮亚尼奇左侧角球被顶出，弗洛伦齐右侧禁区前沿迎球半凌空抽射入远角，3比1
