5'尤文主场3比0战胜切尔西后也是和16强只差一步之遥                   5'开场5分钟，德希利奥右路内切禁区前沿低射偏出远门柱
18'不过断球后长传找罗比尼奥直接传出了边线                   17'第17分钟，诺切里诺起跳撞倒卡塞雷斯，被黄牌警告
19'沙拉维回撤的很深进行防守                   17'第17分钟，诺切里诺起跳撞倒卡塞雷斯，被黄牌警告
20'武齐尼奇分给右路伊斯拉的时候传到了队友的身后                   17'第17分钟，诺切里诺起跳撞倒卡塞雷斯，被黄牌警告
20'球直接出了边线                   17'第17分钟，诺切里诺起跳撞倒卡塞雷斯，被黄牌警告
24'武齐尼奇回撤拿球，被德容铲球破坏                   24'第24分钟，罗比尼奥禁区前沿被皮尔洛从后踢倒，但主裁判没有中断比赛，看台上发出嘘声，罗比尼奥接受治疗
24'左路康斯坦特拿球和队友做配合                   24'第24分钟，罗比尼奥禁区前沿被皮尔洛从后踢倒，但主裁判没有中断比赛，看台上发出嘘声，罗比尼奥接受治疗
25'弧顶前罗比尼奥拿球时倒地，裁判没有表示                   24'第24分钟，罗比尼奥禁区前沿被皮尔洛从后踢倒，但主裁判没有中断比赛，看台上发出嘘声，罗比尼奥接受治疗
25'米兰球员认为皮尔洛防守时有犯规动作                   24'第24分钟，罗比尼奥禁区前沿被皮尔洛从后踢倒，但主裁判没有中断比赛，看台上发出嘘声，罗比尼奥接受治疗
26'不过主裁判里佐利却不这么认为，慢动作看也不太明显                   24'第24分钟，罗比尼奥禁区前沿被皮尔洛从后踢倒，但主裁判没有中断比赛，看台上发出嘘声，罗比尼奥接受治疗
26'比赛继续，尤文前场左路边线球                   24'第24分钟，罗比尼奥禁区前沿被皮尔洛从后踢倒，但主裁判没有中断比赛，看台上发出嘘声，罗比尼奥接受治疗
27'皮尔洛过渡到右路伊斯拉，传中还是被康斯坦特挡下                   24'第24分钟，罗比尼奥禁区前沿被皮尔洛从后踢倒，但主裁判没有中断比赛，看台上发出嘘声，罗比尼奥接受治疗
27'今天右路的伊斯拉不论过人还是传中一直就没突破康斯坦特                   24'第24分钟，罗比尼奥禁区前沿被皮尔洛从后踢倒，但主裁判没有中断比赛，看台上发出嘘声，罗比尼奥接受治疗
29'皮尔洛挑传禁区，夸利亚雷拉胸部停球后转身凌空打门没打正部位                   29'第29分钟，皮尔洛挑传禁区禁区，夸利亚雷拉在门前11米处胸部停球凌空勾射偏出近门柱
30'蒙托利沃中场带球分给右路罗比尼奥                   29'第29分钟，皮尔洛挑传禁区禁区，夸利亚雷拉在门前11米处胸部停球凌空勾射偏出近门柱
30'罗比尼奥传中到禁区，诺切里诺头球打门被伊斯拉用手挡下                   29'第29分钟，皮尔洛挑传禁区禁区，夸利亚雷拉在门前11米处胸部停球凌空勾射偏出近门柱
30'点球                   29'第29分钟，皮尔洛挑传禁区禁区，夸利亚雷拉在门前11米处胸部停球凌空勾射偏出近门柱
31'罗比尼奥点球打球门左侧的低平球直接进网                   29'第29分钟，皮尔洛挑传禁区禁区，夸利亚雷拉在门前11米处胸部停球凌空勾射偏出近门柱
32'门将布冯虽然判断对方向而且用手挡了一下，不过难以阻挡罗比尼奥的点球                   29'第29分钟，皮尔洛挑传禁区禁区，夸利亚雷拉在门前11米处胸部停球凌空勾射偏出近门柱
32'AC米兰凭借罗比尼奥的点球1比0领先                   29'第29分钟，皮尔洛挑传禁区禁区，夸利亚雷拉在门前11米处胸部停球凌空勾射偏出近门柱
32'不过刚刚点球判罚的慢动作来看，诺切里诺的头球实际上打到了伊斯拉的背上                   29'第29分钟，皮尔洛挑传禁区禁区，夸利亚雷拉在门前11米处胸部停球凌空勾射偏出近门柱
33'主裁判的判罚再次值得商榷                   33'第33分钟，博阿滕低射被布冯没收
33'德容中场断球交给博阿滕                   33'第33分钟，博阿滕低射被布冯没收
34'博阿滕自己带球向前，禁区前左脚打门直接送入布冯怀中                   33'第33分钟，博阿滕低射被布冯没收
34'伊斯拉右路和武齐尼奇的撞墙配合拿到一个角球                   33'第33分钟，博阿滕低射被布冯没收
35'战术角球的配合，皮尔洛没了传中的机会                   33'第33分钟，博阿滕低射被布冯没收
35'中路皮尔洛拿球送出直塞，禁区里的夸利亚雷拉没有抢到这个点                   33'第33分钟，博阿滕低射被布冯没收
36'尤文前场断球，不过武齐尼奇连续两次都没有摆脱掉米兰防守球员                   33'第33分钟，博阿滕低射被布冯没收
36'感觉今天尤文相比和切尔西的比赛状态略有下滑                   33'第33分钟，博阿滕低射被布冯没收
43'德容断球分给左路罗比尼奥，后者拿球带了几步传到右路的沙拉维                   43'第43分钟，沙拉维左路内切受到博努奇阻挡倒地，博努奇被黄牌警告，蒙托利沃左侧距门25米处主罚任意球射穿人墙被布冯得到
43'小法老带球被尤文球员断抢                   43'第43分钟，沙拉维左路内切受到博努奇阻挡倒地，博努奇被黄牌警告，蒙托利沃左侧距门25米处主罚任意球射穿人墙被布冯得到
43'很快米兰卷土重来                   43'第43分钟，沙拉维左路内切受到博努奇阻挡倒地，博努奇被黄牌警告，蒙托利沃左侧距门25米处主罚任意球射穿人墙被布冯得到
44'沙拉维来到了左路拿球，自己带球往前走时被博努齐绊倒                   43'第43分钟，沙拉维左路内切受到博努奇阻挡倒地，博努奇被黄牌警告，蒙托利沃左侧距门25米处主罚任意球射穿人墙被布冯得到
44'博努齐黄牌一张                   43'第43分钟，沙拉维左路内切受到博努奇阻挡倒地，博努奇被黄牌警告，蒙托利沃左侧距门25米处主罚任意球射穿人墙被布冯得到
44'还是米兰在大禁区前靠左位置的任意球                   43'第43分钟，沙拉维左路内切受到博努奇阻挡倒地，博努奇被黄牌警告，蒙托利沃左侧距门25米处主罚任意球射穿人墙被布冯得到
44'蒙托利沃直接打门穿透了人墙，不过布冯站位很好把球没收                   43'第43分钟，沙拉维左路内切受到博努奇阻挡倒地，博努奇被黄牌警告，蒙托利沃左侧距门25米处主罚任意球射穿人墙被布冯得到
45'比达尔中场横传失误                   43'第43分钟，沙拉维左路内切受到博努奇阻挡倒地，博努奇被黄牌警告，蒙托利沃左侧距门25米处主罚任意球射穿人墙被布冯得到
45'米兰断球反击，右侧沙拉维传中失误，送出另一侧边线                   43'第43分钟，沙拉维左路内切受到博努奇阻挡倒地，博努奇被黄牌警告，蒙托利沃左侧距门25米处主罚任意球射穿人墙被布冯得到
45'还是米兰在前场的控球                   43'第43分钟，沙拉维左路内切受到博努奇阻挡倒地，博努奇被黄牌警告，蒙托利沃左侧距门25米处主罚任意球射穿人墙被布冯得到
46'上半场补时1分钟                   43'第43分钟，沙拉维左路内切受到博努奇阻挡倒地，博努奇被黄牌警告，蒙托利沃左侧距门25米处主罚任意球射穿人墙被布冯得到
46'沙拉维禁区里拿球被博努齐捅出底线，角球                   43'第43分钟，沙拉维左路内切受到博努奇阻挡倒地，博努奇被黄牌警告，蒙托利沃左侧距门25米处主罚任意球射穿人墙被布冯得到
46'下半场比赛双方易边再战                   43'第43分钟，沙拉维左路内切受到博努奇阻挡倒地，博努奇被黄牌警告，蒙托利沃左侧距门25米处主罚任意球射穿人墙被布冯得到
46'看看尤文在右路做出调整后场面如何                   43'第43分钟，沙拉维左路内切受到博努奇阻挡倒地，博努奇被黄牌警告，蒙托利沃左侧距门25米处主罚任意球射穿人墙被布冯得到
52'夸利亚雷拉胸部停球后造成德容身后犯规                   52'第52分钟，皮尔洛在门前30米处任意球蹭人墙高出
52'尤文前场中路的任意球                   52'第52分钟，皮尔洛在门前30米处任意球蹭人墙高出
52'皮尔洛直接打门被人墙挡出底线，角球                   52'第52分钟，皮尔洛在门前30米处任意球蹭人墙高出
52'给到门前，后卫顶出禁区外                   52'第52分钟，皮尔洛在门前30米处任意球蹭人墙高出
53'马尔基西奥中路带球和武齐尼奇撞墙配合，后者给回来时力量有些小                   52'第52分钟，皮尔洛在门前30米处任意球蹭人墙高出
54'比达尔中场铲倒了博阿滕                   52'第52分钟，皮尔洛在门前30米处任意球蹭人墙高出
54'今天尤文的中场，比达尔和马尔基西奥略显隐身了，皮尔洛的组织也不太顺畅                   52'第52分钟，皮尔洛在门前30米处任意球蹭人墙高出
55'尤文前场左路边线球                   52'第52分钟，皮尔洛在门前30米处任意球蹭人墙高出
55'阿萨莫阿面对德西里奥没有突破成功                   52'第52分钟，皮尔洛在门前30米处任意球蹭人墙高出
61'刚刚夸利亚雷拉换下之后经过代理主教练阿莱西奥的时候用外套遮挡住嘴，耳语了几句，看来很不满啊                   61'第61分钟，分球，尤文右路传中被阿梅利亚击出，皮尔洛顶回禁区，武齐尼奇推射被梅克斯挡出底线，第63分钟，帕多因右路传中，乔文科在门前10米处倒钩没有踢正部位
61'尤文的主教练孔蒂还有不到两个星期就能解禁了                   61'第61分钟，分球，尤文右路传中被阿梅利亚击出，皮尔洛顶回禁区，武齐尼奇推射被梅克斯挡出底线，第63分钟，帕多因右路传中，乔文科在门前10米处倒钩没有踢正部位
61'比达尔右路传中被阿梅利亚出击双拳击出                   61'第61分钟，分球，尤文右路传中被阿梅利亚击出，皮尔洛顶回禁区，武齐尼奇推射被梅克斯挡出底线，第63分钟，帕多因右路传中，乔文科在门前10米处倒钩没有踢正部位
62'外围皮尔洛头球顶回禁区，后卫大脚踢出底线                   61'第61分钟，分球，尤文右路传中被阿梅利亚击出，皮尔洛顶回禁区，武齐尼奇推射被梅克斯挡出底线，第63分钟，帕多因右路传中，乔文科在门前10米处倒钩没有踢正部位
62'战术角球的配合，乔文科传球被阿梅利亚直接没收                   61'第61分钟，分球，尤文右路传中被阿梅利亚击出，皮尔洛顶回禁区，武齐尼奇推射被梅克斯挡出底线，第63分钟，帕多因右路传中，乔文科在门前10米处倒钩没有踢正部位
63'帕多因右路传中                   61'第61分钟，分球，尤文右路传中被阿梅利亚击出，皮尔洛顶回禁区，武齐尼奇推射被梅克斯挡出底线，第63分钟，帕多因右路传中，乔文科在门前10米处倒钩没有踢正部位
63'禁区里无人盯防的乔文科倒钩打门没吃正部位啊，直接偏出了球门                   61'第61分钟，分球，尤文右路传中被阿梅利亚击出，皮尔洛顶回禁区，武齐尼奇推射被梅克斯挡出底线，第63分钟，帕多因右路传中，乔文科在门前10米处倒钩没有踢正部位
64'梅克斯上抢揣倒了乔文科                   61'第61分钟，分球，尤文右路传中被阿梅利亚击出，皮尔洛顶回禁区，武齐尼奇推射被梅克斯挡出底线，第63分钟，帕多因右路传中，乔文科在门前10米处倒钩没有踢正部位
64'现场应该下起了雨                   61'第61分钟，分球，尤文右路传中被阿梅利亚击出，皮尔洛顶回禁区，武齐尼奇推射被梅克斯挡出底线，第63分钟，帕多因右路传中，乔文科在门前10米处倒钩没有踢正部位
64'武齐尼奇背身拿球被耶佩斯放倒                   61'第61分钟，分球，尤文右路传中被阿梅利亚击出，皮尔洛顶回禁区，武齐尼奇推射被梅克斯挡出底线，第63分钟，帕多因右路传中，乔文科在门前10米处倒钩没有踢正部位
64'这一段尤文的攻势起来了                   61'第61分钟，分球，尤文右路传中被阿梅利亚击出，皮尔洛顶回禁区，武齐尼奇推射被梅克斯挡出底线，第63分钟，帕多因右路传中，乔文科在门前10米处倒钩没有踢正部位
66'右路再次传中还是梅克斯的头球解围                   66'第66分钟，蒙托利沃在门前21米处转身抽射被博努奇封堵
66'米兰的反击，德西里奥右路传中直接送出底线，门球                   66'第66分钟，蒙托利沃在门前21米处转身抽射被博努奇封堵
66'下半场比赛进行了20分钟                   66'第66分钟，蒙托利沃在门前21米处转身抽射被博努奇封堵
66'蒙托利沃对方弧顶前断球转身打门被后卫挡出                   66'第66分钟，蒙托利沃在门前21米处转身抽射被博努奇封堵
67'皮尔洛中场长传找武齐尼奇，在梅克斯的贴身紧逼下谁也没有抢到落点                   66'第66分钟，蒙托利沃在门前21米处转身抽射被博努奇封堵
67'阿梅利亚出击把球拿到                   66'第66分钟，蒙托利沃在门前21米处转身抽射被博努奇封堵
68'诺切里诺左路接到沙拉维的后脚跟传球后自己带球往前走                   66'第66分钟，蒙托利沃在门前21米处转身抽射被博努奇封堵
68'禁区前右脚打门偏出远门柱                   66'第66分钟，蒙托利沃在门前21米处转身抽射被博努奇封堵
68'尤文在禁区前的防守比较空虚                   66'第66分钟，蒙托利沃在门前21米处转身抽射被博努奇封堵
69'梅克斯鱼跃的头球把对方的传中解围出底线                   66'第66分钟，蒙托利沃在门前21米处转身抽射被博努奇封堵
69'尤文角球还是被后卫解围出来                   66'第66分钟，蒙托利沃在门前21米处转身抽射被博努奇封堵
69'尤文在对方禁区里的抢点不占优势啊                   66'第66分钟，蒙托利沃在门前21米处转身抽射被博努奇封堵
82'米兰反击，蒙托利沃分给右路助攻的德西里奥，传中被卡塞雷斯挡下                   82'第82分钟，沙拉维右侧开出角球，耶佩斯在门前9米处大力头槌弹地被布冯得到
82'米兰的角球                   82'第82分钟，沙拉维右侧开出角球，耶佩斯在门前9米处大力头槌弹地被布冯得到
82'耶佩斯头球冲顶被布冯挡了一下后把球抱住                   82'第82分钟，沙拉维右侧开出角球，耶佩斯在门前9米处大力头槌弹地被布冯得到
83'乔文科禁区里底线前倒三角回传，武齐尼奇门前推射被阿梅利亚神奇挡出                   82'第82分钟，沙拉维右侧开出角球，耶佩斯在门前9米处大力头槌弹地被布冯得到
83'尤文全场最好的机会啊                   82'第82分钟，沙拉维右侧开出角球，耶佩斯在门前9米处大力头槌弹地被布冯得到
83'米兰最后的换人弗拉米尼换下博阿滕                   82'第82分钟，沙拉维右侧开出角球，耶佩斯在门前9米处大力头槌弹地被布冯得到
84'尤文展开最后的反扑，力图挽回败局                   82'第82分钟，沙拉维右侧开出角球，耶佩斯在门前9米处大力头槌弹地被布冯得到
84'武齐尼奇拉到禁区外拿球，突然冷射，球在门前弹地后被阿梅利亚扑出底线                   82'第82分钟，沙拉维右侧开出角球，耶佩斯在门前9米处大力头槌弹地被布冯得到
85'角球再次被阿梅利亚双拳击出                   82'第82分钟，沙拉维右侧开出角球，耶佩斯在门前9米处大力头槌弹地被布冯得到
85'尤文右路上来，博格巴利用速度突破到底线回传禁区，武齐尼奇没有拿到                   82'第82分钟，沙拉维右侧开出角球，耶佩斯在门前9米处大力头槌弹地被布冯得到
85'马尔基西奥中场战术犯规，放倒了德西里奥                   82'第82分钟，沙拉维右侧开出角球，耶佩斯在门前9米处大力头槌弹地被布冯得到
85'马尔基西奥黄牌                   82'第82分钟，沙拉维右侧开出角球，耶佩斯在门前9米处大力头槌弹地被布冯得到
85'角球再次被阿梅利亚双拳击出                   85'第85分钟，武齐尼奇禁区外打左下角被阿梅利亚封出底线
85'尤文右路上来，博格巴利用速度突破到底线回传禁区，武齐尼奇没有拿到                   85'第85分钟，武齐尼奇禁区外打左下角被阿梅利亚封出底线
85'马尔基西奥中场战术犯规，放倒了德西里奥                   85'第85分钟，武齐尼奇禁区外打左下角被阿梅利亚封出底线
85'马尔基西奥黄牌                   85'第85分钟，武齐尼奇禁区外打左下角被阿梅利亚封出底线
86'弗拉米尼禁区外一脚远射，偏的比较大                   85'第85分钟，武齐尼奇禁区外打左下角被阿梅利亚封出底线
87'博格巴右路传中落点不错，可惜门前没包抄啊                   85'第85分钟，武齐尼奇禁区外打左下角被阿梅利亚封出底线
87'外围马尔基西奥远射拿到一个角球                   85'第85分钟，武齐尼奇禁区外打左下角被阿梅利亚封出底线
87'皮尔洛角球到后点，阿梅利亚跳起把球没收                   85'第85分钟，武齐尼奇禁区外打左下角被阿梅利亚封出底线
87'赛前临阵顶替的阿梅利亚发挥很稳健啊                   85'第85分钟，武齐尼奇禁区外打左下角被阿梅利亚封出底线
88'康斯坦特在刚刚那个角球时和卡塞雷斯发生碰撞，倒地不起                   85'第85分钟，武齐尼奇禁区外打左下角被阿梅利亚封出底线
88'尤文球员也是很着急啊                   85'第85分钟，武齐尼奇禁区外打左下角被阿梅利亚封出底线
46'上半场补时1分钟                   46'1分钟后，德希利奥头球解围，马尔基西奥凌空抽射被挡出底线
46'沙拉维禁区里拿球被博努齐捅出底线，角球                   46'1分钟后，德希利奥头球解围，马尔基西奥凌空抽射被挡出底线
47'战术角球，德西里奥再传中到禁区，裁判吹了耶佩斯的进攻犯规                   46'1分钟后，德希利奥头球解围，马尔基西奥凌空抽射被挡出底线
46'下半场比赛双方易边再战                   46'1分钟后，德希利奥头球解围，马尔基西奥凌空抽射被挡出底线
46'看看尤文在右路做出调整后场面如何                   46'1分钟后，德希利奥头球解围，马尔基西奥凌空抽射被挡出底线
47'马尔基西奥左路直接往禁区里送，武齐尼奇和夸利亚雷拉两点漏过                   46'1分钟后，德希利奥头球解围，马尔基西奥凌空抽射被挡出底线
48'博阿滕右路送出弧线低平球绕过前点防守队员，不过点球点附近巴尔扎利抢在沙拉维之前把球铲出边线                   46'1分钟后，德希利奥头球解围，马尔基西奥凌空抽射被挡出底线
48'右路帕多因面对诺切里诺，传中终于起来一脚了                   46'1分钟后，德希利奥头球解围，马尔基西奥凌空抽射被挡出底线
48'不过中路队友没有包抄到                   46'1分钟后，德希利奥头球解围，马尔基西奥凌空抽射被挡出底线
49'布冯门前传给后卫的时候险些被沙拉维直接断下啊                   46'1分钟后，德希利奥头球解围，马尔基西奥凌空抽射被挡出底线
49'幸亏巴尔扎利倒地放铲抢先把球破坏                   46'1分钟后，德希利奥头球解围，马尔基西奥凌空抽射被挡出底线
49'布冯门前传给后卫的时候险些被沙拉维直接断下啊                   49'补时第4分钟，乔文科受到耶佩斯拉扯后推了对方一把，两人吃到黄牌
49'幸亏巴尔扎利倒地放铲抢先把球破坏                   49'补时第4分钟，乔文科受到耶佩斯拉扯后推了对方一把，两人吃到黄牌
50'帕多因右路再次送出传中，后点阿萨莫阿把球拿到                   49'补时第4分钟，乔文科受到耶佩斯拉扯后推了对方一把，两人吃到黄牌
50'连续摆脱的阿萨莫阿把球交到弧顶前的皮尔洛，打门被防守队员用身体挡出                   49'补时第4分钟，乔文科受到耶佩斯拉扯后推了对方一把，两人吃到黄牌
51'中场阿萨莫阿拿球直接往前传                   49'补时第4分钟，乔文科受到耶佩斯拉扯后推了对方一把，两人吃到黄牌
52'夸利亚雷拉胸部停球后造成德容身后犯规                   49'补时第4分钟，乔文科受到耶佩斯拉扯后推了对方一把，两人吃到黄牌
52'尤文前场中路的任意球                   49'补时第4分钟，乔文科受到耶佩斯拉扯后推了对方一把，两人吃到黄牌
52'皮尔洛直接打门被人墙挡出底线，角球                   49'补时第4分钟，乔文科受到耶佩斯拉扯后推了对方一把，两人吃到黄牌
52'给到门前，后卫顶出禁区外                   49'补时第4分钟，乔文科受到耶佩斯拉扯后推了对方一把，两人吃到黄牌
