12'罗马球员德罗西大禁区外尝试右脚射门,可惜皮球高出球门.给他传球的是麦孔.                   12'第12分钟，德罗西远射高出
83'马尔凯蒂将球处理出底线,罗马获得角球.                   81'第81分钟，迪亚斯放倒几乎形成单刀的托蒂，被红牌罚下，这是意甲近11个赛季罗马德比第16张红牌(拉齐奥9张、罗马7张)
49'埃尔纳内斯为拉齐奥赢得一个任意球.                   48'补时第3分钟，利亚伊奇被莱德斯马放倒，点球
49'罗马球员贝纳蒂亚拼抢犯规,对手获得控球权.                   48'补时第3分钟，利亚伊奇被莱德斯马放倒，点球
50'卢利奇为拉齐奥在左路,赢得一个任意球.                   48'补时第3分钟，利亚伊奇被莱德斯马放倒，点球
50'罗马球员麦孔拼抢犯规,对手获得控球权.                   48'补时第3分钟，利亚伊奇被莱德斯马放倒，点球
50'黄牌！罗马球员麦孔因为恶意犯规,被主裁判出示黄牌.                   48'补时第3分钟，利亚伊奇被莱德斯马放倒，点球
51'拉齐奥球员齐亚尼大禁区中央头球,被防守球员封堵.给他传球的是埃尔纳内斯.                   48'补时第3分钟，利亚伊奇被莱德斯马放倒，点球
51'拉齐奥球员齐亚尼拼抢犯规,对手获得控球权.                   48'补时第3分钟，利亚伊奇被莱德斯马放倒，点球
51'德桑蒂斯为罗马赢得一个任意球.                   48'补时第3分钟，利亚伊奇被莱德斯马放倒，点球
51'罗马换人,利亚伊奇换下弗洛伦齐                   48'补时第3分钟，利亚伊奇被莱德斯马放倒，点球
