1'上半场比赛开始！                   1'曼联第1分钟逐渐占据主动
18'担架这边还在固定                   15'第15分钟，卢克-肖强突禁区左侧被莫雷诺铲断，曼联边卫右脚严重受伤，治疗长达数分钟，卢克-肖最后被担架固定后抬出，全场球迷响起鼓励掌声，范加尔也在担架出场时安慰弟子，罗霍替补出场
38'马夏尔甩头攻门将球顶偏了！                   38'第38分钟，马塔由于任意球传中，马夏尔小禁区前头球攻门稍稍偏出右侧立柱
38'这球被对方两人干扰也是没有顶正                   38'第38分钟，马塔由于任意球传中，马夏尔小禁区前头球攻门稍稍偏出右侧立柱
38'落点还是不错的                   38'第38分钟，马塔由于任意球传中，马夏尔小禁区前头球攻门稍稍偏出右侧立柱
38'埃因霍温左路突破被干扰                   38'第38分钟，马塔由于任意球传中，马夏尔小禁区前头球攻门稍稍偏出右侧立柱
39'埃因霍温右路斜长传送禁区后点                   38'第38分钟，马塔由于任意球传中，马夏尔小禁区前头球攻门稍稍偏出右侧立柱
39'曼联这边抢到了第一点                   38'第38分钟，马塔由于任意球传中，马夏尔小禁区前头球攻门稍稍偏出右侧立柱
40'曼联这边左路又进攻上来                   38'第38分钟，马塔由于任意球传中，马夏尔小禁区前头球攻门稍稍偏出右侧立柱
40'马夏尔拿球往门前扫被封堵                   38'第38分钟，马塔由于任意球传中，马夏尔小禁区前头球攻门稍稍偏出右侧立柱
40'曼联再传后点                   38'第38分钟，马塔由于任意球传中，马夏尔小禁区前头球攻门稍稍偏出右侧立柱
40'阿什利-扬停球后做球到打禁区前沿                   38'第38分钟，马塔由于任意球传中，马夏尔小禁区前头球攻门稍稍偏出右侧立柱
40'队友的打门又是被挡了下来                   38'第38分钟，马塔由于任意球传中，马夏尔小禁区前头球攻门稍稍偏出右侧立柱
41'0-1！！！                   38'第38分钟，马塔由于任意球传中，马夏尔小禁区前头球攻门稍稍偏出右侧立柱
41'德佩！！                   38'第38分钟，马塔由于任意球传中，马夏尔小禁区前头球攻门稍稍偏出右侧立柱
41'0-1！！！                   41'曼联第41分钟打破僵局，布林德传球，德佩摆脱阿里亚斯并晃过布鲁马后在小禁区前射入远角
41'德佩！！                   41'曼联第41分钟打破僵局，布林德传球，德佩摆脱阿里亚斯并晃过布鲁马后在小禁区前射入远角
42'德佩左路接球到了禁区内，面对两人的包夹用了一个变线过人就晃开了对方的关门，面对出击的门将打远角破门！                   41'曼联第41分钟打破僵局，布林德传球，德佩摆脱阿里亚斯并晃过布鲁马后在小禁区前射入远角
42'这球德佩完全是凭借个人的能力                   41'曼联第41分钟打破僵局，布林德传球，德佩摆脱阿里亚斯并晃过布鲁马后在小禁区前射入远角
42'德佩也是面对旧主破门                   41'曼联第41分钟打破僵局，布林德传球，德佩摆脱阿里亚斯并晃过布鲁马后在小禁区前射入远角
42'曼联这边反击                   41'曼联第41分钟打破僵局，布林德传球，德佩摆脱阿里亚斯并晃过布鲁马后在小禁区前射入远角
43'马塔带球送到禁区内                   41'曼联第41分钟打破僵局，布林德传球，德佩摆脱阿里亚斯并晃过布鲁马后在小禁区前射入远角
43'德佩这边插上后推射远角                   41'曼联第41分钟打破僵局，布林德传球，德佩摆脱阿里亚斯并晃过布鲁马后在小禁区前射入远角
43'球蹭着远端立柱出了底线                   41'曼联第41分钟打破僵局，布林德传球，德佩摆脱阿里亚斯并晃过布鲁马后在小禁区前射入远角
43'这球也是非常的危险啊                   41'曼联第41分钟打破僵局，布林德传球，德佩摆脱阿里亚斯并晃过布鲁马后在小禁区前射入远角
44'曼联这边前场又断球了                   41'曼联第41分钟打破僵局，布林德传球，德佩摆脱阿里亚斯并晃过布鲁马后在小禁区前射入远角
44'斯马林断球后到了禁区内，面对门将，大力打门被门将挡出                   41'曼联第41分钟打破僵局，布林德传球，德佩摆脱阿里亚斯并晃过布鲁马后在小禁区前射入远角
44'这脚打门就是典型的中后卫打门                   41'曼联第41分钟打破僵局，布林德传球，德佩摆脱阿里亚斯并晃过布鲁马后在小禁区前射入远角
47'1-1！！                   47'埃因霍温半场补时第2分钟扳平比分，莱斯蒂耶纳开出角球，莫雷诺10码处力压达米安头球攻门，皮球打在布林德头上稍稍偏转后入网，1-1
47'莫雷诺！！                   47'埃因霍温半场补时第2分钟扳平比分，莱斯蒂耶纳开出角球，莫雷诺10码处力压达米安头球攻门，皮球打在布林德头上稍稍偏转后入网，1-1
47'角球送中路，落点很好，莫雷诺头球攻门顶远角，就打在布林德头上变线入网！                   47'埃因霍温半场补时第2分钟扳平比分，莱斯蒂耶纳开出角球，莫雷诺10码处力压达米安头球攻门，皮球打在布林德头上稍稍偏转后入网，1-1
48'这球达米安的看防也是有问题                   47'埃因霍温半场补时第2分钟扳平比分，莱斯蒂耶纳开出角球，莫雷诺10码处力压达米安头球攻门，皮球打在布林德头上稍稍偏转后入网，1-1
49'阿什利-扬右路拿球没有什么机会                   47'埃因霍温半场补时第2分钟扳平比分，莱斯蒂耶纳开出角球，莫雷诺10码处力压达米安头球攻门，皮球打在布林德头上稍稍偏转后入网，1-1
49'曼联中场倒脚给到中路                   47'埃因霍温半场补时第2分钟扳平比分，莱斯蒂耶纳开出角球，莫雷诺10码处力压达米安头球攻门，皮球打在布林德头上稍稍偏转后入网，1-1
49'曼联再分边                   47'埃因霍温半场补时第2分钟扳平比分，莱斯蒂耶纳开出角球，莫雷诺10码处力压达米安头球攻门，皮球打在布林德头上稍稍偏转后入网，1-1
49'埃因霍温这边也是站稳了位置                   47'埃因霍温半场补时第2分钟扳平比分，莱斯蒂耶纳开出角球，莫雷诺10码处力压达米安头球攻门，皮球打在布林德头上稍稍偏转后入网，1-1
50'阿什利-扬右路起送禁区                   47'埃因霍温半场补时第2分钟扳平比分，莱斯蒂耶纳开出角球，莫雷诺10码处力压达米安头球攻门，皮球打在布林德头上稍稍偏转后入网，1-1
47'曼联这边获得角球机会                   47'埃因霍温半场补时第2分钟扳平比分，莱斯蒂耶纳开出角球，莫雷诺10码处力压达米安头球攻门，皮球打在布林德头上稍稍偏转后入网，1-1
47'角球送禁区内，被解围出来                   47'埃因霍温半场补时第2分钟扳平比分，莱斯蒂耶纳开出角球，莫雷诺10码处力压达米安头球攻门，皮球打在布林德头上稍稍偏转后入网，1-1
57'2-1！！！                   57'埃因霍温第57分钟反超比分，瓜尔达多直传，莱斯蒂耶纳左路传中，无人防守的纳尔辛格小禁区边缘俯身头球破门，2-1
57'纳尔辛格！！                   57'埃因霍温第57分钟反超比分，瓜尔达多直传，莱斯蒂耶纳左路传中，无人防守的纳尔辛格小禁区边缘俯身头球破门，2-1
58'瓜尔达多中场传球给到左路，莱斯蒂耶纳前插后起球送禁区后点，纳尔辛格头球攻门顶了一个反弹球入网！                   57'埃因霍温第57分钟反超比分，瓜尔达多直传，莱斯蒂耶纳左路传中，无人防守的纳尔辛格小禁区边缘俯身头球破门，2-1
58'曼联这个丢球的时候也是有一个位置调整                   57'埃因霍温第57分钟反超比分，瓜尔达多直传，莱斯蒂耶纳左路传中，无人防守的纳尔辛格小禁区边缘俯身头球破门，2-1
58'曼联右路低平球送禁区                   57'埃因霍温第57分钟反超比分，瓜尔达多直传，莱斯蒂耶纳左路传中，无人防守的纳尔辛格小禁区边缘俯身头球破门，2-1
59'埃因霍温将球解围出来                   57'埃因霍温第57分钟反超比分，瓜尔达多直传，莱斯蒂耶纳左路传中，无人防守的纳尔辛格小禁区边缘俯身头球破门，2-1
60'莫雷诺这边得到一张黄牌！                   57'埃因霍温第57分钟反超比分，瓜尔达多直传，莱斯蒂耶纳左路传中，无人防守的纳尔辛格小禁区边缘俯身头球破门，2-1
60'阿什利-扬的突破造成对方犯规                   57'埃因霍温第57分钟反超比分，瓜尔达多直传，莱斯蒂耶纳左路传中，无人防守的纳尔辛格小禁区边缘俯身头球破门，2-1
83'莱斯蒂耶纳左路突破过来                   83'埃因霍温第83分钟险些终结悬念，莱斯蒂耶纳传球，但德容禁区左肋8码处射门偏出近角
83'边路的传球落点不好                   83'埃因霍温第83分钟险些终结悬念，莱斯蒂耶纳传球，但德容禁区左肋8码处射门偏出近角
84'莱斯蒂耶纳左路的已经好几次突破曼联的防线了                   83'埃因霍温第83分钟险些终结悬念，莱斯蒂耶纳传球，但德容禁区左肋8码处射门偏出近角
84'莱斯蒂耶纳左路再传禁区内                   83'埃因霍温第83分钟险些终结悬念，莱斯蒂耶纳传球，但德容禁区左肋8码处射门偏出近角
84'德容小角度打门将球打高                   83'埃因霍温第83分钟险些终结悬念，莱斯蒂耶纳传球，但德容禁区左肋8码处射门偏出近角
84'比赛已经来到了最后的10分钟                   83'埃因霍温第83分钟险些终结悬念，莱斯蒂耶纳传球，但德容禁区左肋8码处射门偏出近角
84'费莱尼这个点，曼联还没有用到                   83'埃因霍温第83分钟险些终结悬念，莱斯蒂耶纳传球，但德容禁区左肋8码处射门偏出近角
85'埃因霍温换人                   83'埃因霍温第83分钟险些终结悬念，莱斯蒂耶纳传球，但德容禁区左肋8码处射门偏出近角
86'莱斯蒂耶纳下， 洛卡迪亚上！                   83'埃因霍温第83分钟险些终结悬念，莱斯蒂耶纳传球，但德容禁区左肋8码处射门偏出近角
86'曼联这边也换人了                   83'埃因霍温第83分钟险些终结悬念，莱斯蒂耶纳传球，但德容禁区左肋8码处射门偏出近角
86'阿什利-扬下，瓦伦西亚上！                   83'埃因霍温第83分钟险些终结悬念，莱斯蒂耶纳传球，但德容禁区左肋8码处射门偏出近角
