1'上半场比赛开始了！                   1'第1分钟两队迅速展开缠斗，第2分钟王栋主罚任意球送到禁区被李超奋力解围
14'关震将球没收                   12'第12分钟力帆反击，长传找费尔南多，后者发挥出速度优势，得球狂带一阵后送出传中，还好李超回位及时头球解围
14'谭望嵩将球往左侧转移，陈雷回传给邓小飞                   12'第12分钟力帆反击，长传找费尔南多，后者发挥出速度优势，得球狂带一阵后送出传中，还好李超回位及时头球解围
14'门迪前场护球分给马修斯                   12'第12分钟力帆反击，长传找费尔南多，后者发挥出速度优势，得球狂带一阵后送出传中，还好李超回位及时头球解围
15'马修斯一拔，陈雷踢脚犯规                   12'第12分钟力帆反击，长传找费尔南多，后者发挥出速度优势，得球狂带一阵后送出传中，还好李超回位及时头球解围
15'永昌前场右路的任意球机会                   12'第12分钟力帆反击，长传找费尔南多，后者发挥出速度优势，得球狂带一阵后送出传中，还好李超回位及时头球解围
23'比赛进行到23分钟，已经要进入补水时间！                   23'比赛进行到23分钟，进入了补水时间
24'永昌后场倒脚，回做一下                   23'比赛进行到23分钟，进入了补水时间
24'吉利奥蒂前场逼抢差点成功                   23'比赛进行到23分钟，进入了补水时间
25'郑又荣再过来抢球，犯规了                   23'比赛进行到23分钟，进入了补水时间
25'永昌的进攻                   23'比赛进行到23分钟，进入了补水时间
26'马修斯禁区边缘打门，稍稍偏出右边立柱                   23'比赛进行到23分钟，进入了补水时间
26'吕建军后场长传，门迪胸部做球到禁区右侧                   23'比赛进行到23分钟，进入了补水时间
26'马修斯跟进左脚劲射击中了边网                   23'比赛进行到23分钟，进入了补水时间
46'费尔南多右路的一示，生吃糜昊伦，过去了倒三角传球                   46'1分钟后永昌卷土重来，吕建军后场长传，门迪胸部做球到禁区右侧，马修斯跟进左脚劲射击中边网
47'还好这里有孙昊晟                   46'1分钟后永昌卷土重来，吕建军后场长传，门迪胸部做球到禁区右侧，马修斯跟进左脚劲射击中边网
47'上半场补时3分钟                   46'1分钟后永昌卷土重来，吕建军后场长传，门迪胸部做球到禁区右侧，马修斯跟进左脚劲射击中边网
47'郑又荣将球转移向右侧，球直接传出边线                   46'1分钟后永昌卷土重来，吕建军后场长传，门迪胸部做球到禁区右侧，马修斯跟进左脚劲射击中边网
48'赵容亨交给李超                   46'1分钟后永昌卷土重来，吕建军后场长传，门迪胸部做球到禁区右侧，马修斯跟进左脚劲射击中边网
48'吕建军传中，孙昊晟插上争顶时对谭望嵩犯规                   46'1分钟后永昌卷土重来，吕建军后场长传，门迪胸部做球到禁区右侧，马修斯跟进左脚劲射击中边网
49'许博带球上来，交给李春郁                   46'1分钟后永昌卷土重来，吕建军后场长传，门迪胸部做球到禁区右侧，马修斯跟进左脚劲射击中边网
49'交给门迪回做，鲁本再直传被罗歆解围                   46'1分钟后永昌卷土重来，吕建军后场长传，门迪胸部做球到禁区右侧，马修斯跟进左脚劲射击中边网
46'下半场比赛开始了！                   46'1分钟后永昌卷土重来，吕建军后场长传，门迪胸部做球到禁区右侧，马修斯跟进左脚劲射击中边网
46'下半场由石家庄永昌中圈开球                   46'1分钟后永昌卷土重来，吕建军后场长传，门迪胸部做球到禁区右侧，马修斯跟进左脚劲射击中边网
47'永昌很快攻到禁区右侧，里西奥小角度打门偏出                   46'1分钟后永昌卷土重来，吕建军后场长传，门迪胸部做球到禁区右侧，马修斯跟进左脚劲射击中边网
47'毛里西奥是换下了门迪                   46'1分钟后永昌卷土重来，吕建军后场长传，门迪胸部做球到禁区右侧，马修斯跟进左脚劲射击中边网
47'许博直传，毛里西奥交给马修斯                   46'1分钟后永昌卷土重来，吕建军后场长传，门迪胸部做球到禁区右侧，马修斯跟进左脚劲射击中边网
47'回传给吕建军                   46'1分钟后永昌卷土重来，吕建军后场长传，门迪胸部做球到禁区右侧，马修斯跟进左脚劲射击中边网
47'许博再交给吕建军，对方三人围抢成功                   46'1分钟后永昌卷土重来，吕建军后场长传，门迪胸部做球到禁区右侧，马修斯跟进左脚劲射击中边网
48'吕建军交给马修斯，一顺被刘宇挡出边线                   46'1分钟后永昌卷土重来，吕建军后场长传，门迪胸部做球到禁区右侧，马修斯跟进左脚劲射击中边网
48'毛里西奥右路突破过不了陈雷                   46'1分钟后永昌卷土重来，吕建军后场长传，门迪胸部做球到禁区右侧，马修斯跟进左脚劲射击中边网
48'彭欣力将球解围上来                   46'1分钟后永昌卷土重来，吕建军后场长传，门迪胸部做球到禁区右侧，马修斯跟进左脚劲射击中边网
48'毛里西奥换下的是孙昊晟，毛里西奥换下门迪                   46'1分钟后永昌卷土重来，吕建军后场长传，门迪胸部做球到禁区右侧，马修斯跟进左脚劲射击中边网
48'吉利奥蒂前场得球一顺，费尔南多接应横传被李超破坏                   46'1分钟后永昌卷土重来，吕建军后场长传，门迪胸部做球到禁区右侧，马修斯跟进左脚劲射击中边网
49'赵容亨长传球直接飞出了边线                   46'1分钟后永昌卷土重来，吕建军后场长传，门迪胸部做球到禁区右侧，马修斯跟进左脚劲射击中边网
49'罗歆长传上来，罗歆将球控制                   46'1分钟后永昌卷土重来，吕建军后场长传，门迪胸部做球到禁区右侧，马修斯跟进左脚劲射击中边网
49'赵容亨回传给李超                   46'1分钟后永昌卷土重来，吕建军后场长传，门迪胸部做球到禁区右侧，马修斯跟进左脚劲射击中边网
49'许博直传被郑又荣拦截                   46'1分钟后永昌卷土重来，吕建军后场长传，门迪胸部做球到禁区右侧，马修斯跟进左脚劲射击中边网
36'谭望嵩长传上来，给大了，球直接飞出底线                   36'第36分钟鲁本组织进攻在前场连续一脚传递，李春郁得球后分给吕建军，吕建军的传中落点不错可惜进攻队员包抄稍慢，邓小飞将球没收
36'赵容亨交给李春郁，回传给许博                   36'第36分钟鲁本组织进攻在前场连续一脚传递，李春郁得球后分给吕建军，吕建军的传中落点不错可惜进攻队员包抄稍慢，邓小飞将球没收
36'鲁本交给马修斯，再交给李春郁                   36'第36分钟鲁本组织进攻在前场连续一脚传递，李春郁得球后分给吕建军，吕建军的传中落点不错可惜进攻队员包抄稍慢，邓小飞将球没收
36'分给吕建军，传中，没有人包抄，邓小飞将球没收                   36'第36分钟鲁本组织进攻在前场连续一脚传递，李春郁得球后分给吕建军，吕建军的传中落点不错可惜进攻队员包抄稍慢，邓小飞将球没收
38'永昌后场控球，许博直传                   36'第36分钟鲁本组织进攻在前场连续一脚传递，李春郁得球后分给吕建军，吕建军的传中落点不错可惜进攻队员包抄稍慢，邓小飞将球没收
38'马修斯回给李春郁                   36'第36分钟鲁本组织进攻在前场连续一脚传递，李春郁得球后分给吕建军，吕建军的传中落点不错可惜进攻队员包抄稍慢，邓小飞将球没收
38'再长传找到孙昊晟，刘宇将球破坏出边线                   36'第36分钟鲁本组织进攻在前场连续一脚传递，李春郁得球后分给吕建军，吕建军的传中落点不错可惜进攻队员包抄稍慢，邓小飞将球没收
39'吕建军的传中打在陈雷身上减慢了球速，邓小飞将球没收                   36'第36分钟鲁本组织进攻在前场连续一脚传递，李春郁得球后分给吕建军，吕建军的传中落点不错可惜进攻队员包抄稍慢，邓小飞将球没收
44'糜昊伦左路又来了，斜传禁区，门迪高高跃起头球攻门                   44'第44分钟糜昊伦左路斜传禁区，门迪高高跃起头球攻门顶的太正，邓小飞将球抱住
44'顶得有点正，邓小飞将球抱住                   44'第44分钟糜昊伦左路斜传禁区，门迪高高跃起头球攻门顶的太正，邓小飞将球抱住
45'赵容亨直传，孙昊晟回给鲁本，转移到右路的吕建军                   44'第44分钟糜昊伦左路斜传禁区，门迪高高跃起头球攻门顶的太正，邓小飞将球抱住
45'内切斜塞被彭欣力断下                   44'第44分钟糜昊伦左路斜传禁区，门迪高高跃起头球攻门顶的太正，邓小飞将球抱住
45'罗歆长传，赵容亨回给关震                   44'第44分钟糜昊伦左路斜传禁区，门迪高高跃起头球攻门顶的太正，邓小飞将球抱住
45'糜昊伦回给李超，孙昊晟得不送中路                   44'第44分钟糜昊伦左路斜传禁区，门迪高高跃起头球攻门顶的太正，邓小飞将球抱住
45'马修斯外围远射，打飞了！                   44'第44分钟糜昊伦左路斜传禁区，门迪高高跃起头球攻门顶的太正，邓小飞将球抱住
46'费尔南多右路的一示，生吃糜昊伦，过去了倒三角传球                   44'第44分钟糜昊伦左路斜传禁区，门迪高高跃起头球攻门顶的太正，邓小飞将球抱住
47'还好这里有孙昊晟                   44'第44分钟糜昊伦左路斜传禁区，门迪高高跃起头球攻门顶的太正，邓小飞将球抱住
47'上半场补时3分钟                   44'第44分钟糜昊伦左路斜传禁区，门迪高高跃起头球攻门顶的太正，邓小飞将球抱住
47'郑又荣将球转移向右侧，球直接传出边线                   44'第44分钟糜昊伦左路斜传禁区，门迪高高跃起头球攻门顶的太正，邓小飞将球抱住
46'下半场比赛开始了！                   44'第44分钟糜昊伦左路斜传禁区，门迪高高跃起头球攻门顶的太正，邓小飞将球抱住
46'下半场由石家庄永昌中圈开球                   44'第44分钟糜昊伦左路斜传禁区，门迪高高跃起头球攻门顶的太正，邓小飞将球抱住
47'永昌很快攻到禁区右侧，里西奥小角度打门偏出                   44'第44分钟糜昊伦左路斜传禁区，门迪高高跃起头球攻门顶的太正，邓小飞将球抱住
47'毛里西奥是换下了门迪                   44'第44分钟糜昊伦左路斜传禁区，门迪高高跃起头球攻门顶的太正，邓小飞将球抱住
47'许博直传，毛里西奥交给马修斯                   44'第44分钟糜昊伦左路斜传禁区，门迪高高跃起头球攻门顶的太正，邓小飞将球抱住
47'回传给吕建军                   44'第44分钟糜昊伦左路斜传禁区，门迪高高跃起头球攻门顶的太正，邓小飞将球抱住
47'许博再交给吕建军，对方三人围抢成功                   44'第44分钟糜昊伦左路斜传禁区，门迪高高跃起头球攻门顶的太正，邓小飞将球抱住
46'费尔南多右路的一示，生吃糜昊伦，过去了倒三角传球                   46'下半场易边再战，第46分钟毛里西奥小角度打门偏出
47'还好这里有孙昊晟                   46'下半场易边再战，第46分钟毛里西奥小角度打门偏出
47'上半场补时3分钟                   46'下半场易边再战，第46分钟毛里西奥小角度打门偏出
47'郑又荣将球转移向右侧，球直接传出边线                   46'下半场易边再战，第46分钟毛里西奥小角度打门偏出
48'赵容亨交给李超                   46'下半场易边再战，第46分钟毛里西奥小角度打门偏出
48'吕建军传中，孙昊晟插上争顶时对谭望嵩犯规                   46'下半场易边再战，第46分钟毛里西奥小角度打门偏出
49'许博带球上来，交给李春郁                   46'下半场易边再战，第46分钟毛里西奥小角度打门偏出
49'交给门迪回做，鲁本再直传被罗歆解围                   46'下半场易边再战，第46分钟毛里西奥小角度打门偏出
46'下半场比赛开始了！                   46'下半场易边再战，第46分钟毛里西奥小角度打门偏出
46'下半场由石家庄永昌中圈开球                   46'下半场易边再战，第46分钟毛里西奥小角度打门偏出
47'永昌很快攻到禁区右侧，里西奥小角度打门偏出                   46'下半场易边再战，第46分钟毛里西奥小角度打门偏出
47'毛里西奥是换下了门迪                   46'下半场易边再战，第46分钟毛里西奥小角度打门偏出
47'许博直传，毛里西奥交给马修斯                   46'下半场易边再战，第46分钟毛里西奥小角度打门偏出
47'回传给吕建军                   46'下半场易边再战，第46分钟毛里西奥小角度打门偏出
47'许博再交给吕建军，对方三人围抢成功                   46'下半场易边再战，第46分钟毛里西奥小角度打门偏出
48'吕建军交给马修斯，一顺被刘宇挡出边线                   46'下半场易边再战，第46分钟毛里西奥小角度打门偏出
48'毛里西奥右路突破过不了陈雷                   46'下半场易边再战，第46分钟毛里西奥小角度打门偏出
48'彭欣力将球解围上来                   46'下半场易边再战，第46分钟毛里西奥小角度打门偏出
48'毛里西奥换下的是孙昊晟，毛里西奥换下门迪                   46'下半场易边再战，第46分钟毛里西奥小角度打门偏出
48'吉利奥蒂前场得球一顺，费尔南多接应横传被李超破坏                   46'下半场易边再战，第46分钟毛里西奥小角度打门偏出
49'赵容亨长传球直接飞出了边线                   46'下半场易边再战，第46分钟毛里西奥小角度打门偏出
49'罗歆长传上来，罗歆将球控制                   46'下半场易边再战，第46分钟毛里西奥小角度打门偏出
49'赵容亨回传给李超                   46'下半场易边再战，第46分钟毛里西奥小角度打门偏出
49'许博直传被郑又荣拦截                   46'下半场易边再战，第46分钟毛里西奥小角度打门偏出
61'毛剑卿到了禁区内，转身扣球很漂亮可惜力帆后面还有米洛维奇                   61'第61分钟毛剑卿带球入禁区，转身及扣球做的非常漂亮，可惜被米洛维奇大脚解围
61'王栋挑传过不了头                   61'第61分钟毛剑卿带球入禁区，转身及扣球做的非常漂亮，可惜被米洛维奇大脚解围
61'鲁本带球交给马修斯，再交给毛里西奥                   61'第61分钟毛剑卿带球入禁区，转身及扣球做的非常漂亮，可惜被米洛维奇大脚解围
61'回做给吕建军，回传给李春郁                   61'第61分钟毛剑卿带球入禁区，转身及扣球做的非常漂亮，可惜被米洛维奇大脚解围
62'毛剑卿左路传中，包抄的点还没到                   61'第61分钟毛剑卿带球入禁区，转身及扣球做的非常漂亮，可惜被米洛维奇大脚解围
62'毛里西奥加速，陈雷绊倒了他                   61'第61分钟毛剑卿带球入禁区，转身及扣球做的非常漂亮，可惜被米洛维奇大脚解围
62'永昌右侧位置不错的任意球机会                   61'第61分钟毛剑卿带球入禁区，转身及扣球做的非常漂亮，可惜被米洛维奇大脚解围
63'马修斯传中太低了                   61'第61分钟毛剑卿带球入禁区，转身及扣球做的非常漂亮，可惜被米洛维奇大脚解围
63'毛剑卿直传，被破坏                   61'第61分钟毛剑卿带球入禁区，转身及扣球做的非常漂亮，可惜被米洛维奇大脚解围
63'再传右侧，马修斯直传，罗歆铲球出底线                   61'第61分钟毛剑卿带球入禁区，转身及扣球做的非常漂亮，可惜被米洛维奇大脚解围
64'马修斯送后点，米洛维奇头球解围                   61'第61分钟毛剑卿带球入禁区，转身及扣球做的非常漂亮，可惜被米洛维奇大脚解围
64'吕建军内切，回做一下                   61'第61分钟毛剑卿带球入禁区，转身及扣球做的非常漂亮，可惜被米洛维奇大脚解围
64'吕建军直传，接应的马修斯倒地，裁判没有吹                   61'第61分钟毛剑卿带球入禁区，转身及扣球做的非常漂亮，可惜被米洛维奇大脚解围
68'重庆力帆换人，8号丁捷换下了25号彭欣力！                   68'第68分钟力帆再做调整，丁捷上场换下彭欣力
69'比赛进入下半场的补水时间！                   68'第68分钟力帆再做调整，丁捷上场换下彭欣力
69'很快回到现场                   68'第68分钟力帆再做调整，丁捷上场换下彭欣力
70'徐洋左路没有选择突破回传给陈雷                   68'第68分钟力帆再做调整，丁捷上场换下彭欣力
70'罗歆交给右路的米洛维奇                   68'第68分钟力帆再做调整，丁捷上场换下彭欣力
70'费尔南多接应回给王栋                   68'第68分钟力帆再做调整，丁捷上场换下彭欣力
70'转移到左路                   68'第68分钟力帆再做调整，丁捷上场换下彭欣力
71'费尔南多拉边得球后回传给陈雷                   68'第68分钟力帆再做调整，丁捷上场换下彭欣力
71'中场不断倒脚                   68'第68分钟力帆再做调整，丁捷上场换下彭欣力
71'米洛维奇的长传球找吉利奥蒂                   68'第68分钟力帆再做调整，丁捷上场换下彭欣力
71'赵容亨背后将球捅掉                   68'第68分钟力帆再做调整，丁捷上场换下彭欣力
46'费尔南多右路的一示，生吃糜昊伦，过去了倒三角传球                   46'1分钟后糜昊伦左侧传中，李凯头球后蹭，邓小飞将球拿住
47'还好这里有孙昊晟                   46'1分钟后糜昊伦左侧传中，李凯头球后蹭，邓小飞将球拿住
47'上半场补时3分钟                   46'1分钟后糜昊伦左侧传中，李凯头球后蹭，邓小飞将球拿住
47'郑又荣将球转移向右侧，球直接传出边线                   46'1分钟后糜昊伦左侧传中，李凯头球后蹭，邓小飞将球拿住
48'赵容亨交给李超                   46'1分钟后糜昊伦左侧传中，李凯头球后蹭，邓小飞将球拿住
48'吕建军传中，孙昊晟插上争顶时对谭望嵩犯规                   46'1分钟后糜昊伦左侧传中，李凯头球后蹭，邓小飞将球拿住
49'许博带球上来，交给李春郁                   46'1分钟后糜昊伦左侧传中，李凯头球后蹭，邓小飞将球拿住
49'交给门迪回做，鲁本再直传被罗歆解围                   46'1分钟后糜昊伦左侧传中，李凯头球后蹭，邓小飞将球拿住
46'下半场比赛开始了！                   46'1分钟后糜昊伦左侧传中，李凯头球后蹭，邓小飞将球拿住
46'下半场由石家庄永昌中圈开球                   46'1分钟后糜昊伦左侧传中，李凯头球后蹭，邓小飞将球拿住
47'永昌很快攻到禁区右侧，里西奥小角度打门偏出                   46'1分钟后糜昊伦左侧传中，李凯头球后蹭，邓小飞将球拿住
47'毛里西奥是换下了门迪                   46'1分钟后糜昊伦左侧传中，李凯头球后蹭，邓小飞将球拿住
47'许博直传，毛里西奥交给马修斯                   46'1分钟后糜昊伦左侧传中，李凯头球后蹭，邓小飞将球拿住
47'回传给吕建军                   46'1分钟后糜昊伦左侧传中，李凯头球后蹭，邓小飞将球拿住
47'许博再交给吕建军，对方三人围抢成功                   46'1分钟后糜昊伦左侧传中，李凯头球后蹭，邓小飞将球拿住
48'吕建军交给马修斯，一顺被刘宇挡出边线                   46'1分钟后糜昊伦左侧传中，李凯头球后蹭，邓小飞将球拿住
48'毛里西奥右路突破过不了陈雷                   46'1分钟后糜昊伦左侧传中，李凯头球后蹭，邓小飞将球拿住
48'彭欣力将球解围上来                   46'1分钟后糜昊伦左侧传中，李凯头球后蹭，邓小飞将球拿住
48'毛里西奥换下的是孙昊晟，毛里西奥换下门迪                   46'1分钟后糜昊伦左侧传中，李凯头球后蹭，邓小飞将球拿住
48'吉利奥蒂前场得球一顺，费尔南多接应横传被李超破坏                   46'1分钟后糜昊伦左侧传中，李凯头球后蹭，邓小飞将球拿住
49'赵容亨长传球直接飞出了边线                   46'1分钟后糜昊伦左侧传中，李凯头球后蹭，邓小飞将球拿住
49'罗歆长传上来，罗歆将球控制                   46'1分钟后糜昊伦左侧传中，李凯头球后蹭，邓小飞将球拿住
49'赵容亨回传给李超                   46'1分钟后糜昊伦左侧传中，李凯头球后蹭，邓小飞将球拿住
49'许博直传被郑又荣拦截                   46'1分钟后糜昊伦左侧传中，李凯头球后蹭，邓小飞将球拿住
86'费尔南多右路的盘带，与吉利奥蒂做二过一，到禁区倒地                   86'第86分钟费尔南多右路盘带，与吉利奥蒂打出二过一，不过在禁区内倒地
86'这回没有吹点球                   86'第86分钟费尔南多右路盘带，与吉利奥蒂打出二过一，不过在禁区内倒地
86'李春郁交给右路的马修斯，陈雷将球防出边线                   86'第86分钟费尔南多右路盘带，与吉利奥蒂打出二过一，不过在禁区内倒地
87'毛里西奥前场争抢犯规                   86'第86分钟费尔南多右路盘带，与吉利奥蒂打出二过一，不过在禁区内倒地
87'毛里西奥还吃到了黄牌                   86'第86分钟费尔南多右路盘带，与吉利奥蒂打出二过一，不过在禁区内倒地
88'费尔南多左路直传，徐洋下底传中，关震倒地将球扑住                   86'第86分钟费尔南多右路盘带，与吉利奥蒂打出二过一，不过在禁区内倒地
88'吕建军右路长传，罗歆顶到第一点                   86'第86分钟费尔南多右路盘带，与吉利奥蒂打出二过一，不过在禁区内倒地
88'吉利奥蒂回后场交给费尔南多                   86'第86分钟费尔南多右路盘带，与吉利奥蒂打出二过一，不过在禁区内倒地
89'又趟起来，到禁区内打门被吕建军倒地封堵                   86'第86分钟费尔南多右路盘带，与吉利奥蒂打出二过一，不过在禁区内倒地
89'永昌反击，毛剑卿交给毛里西奥                   86'第86分钟费尔南多右路盘带，与吉利奥蒂打出二过一，不过在禁区内倒地
89'毛里西奥交给鲁本，脚后跟传得太写意了，但实用性不足                   86'第86分钟费尔南多右路盘带，与吉利奥蒂打出二过一，不过在禁区内倒地
89'又趟起来，到禁区内打门被吕建军倒地封堵                   89'第89分钟王栋中路突破后的远射打偏
89'永昌反击，毛剑卿交给毛里西奥                   89'第89分钟王栋中路突破后的远射打偏
89'毛里西奥交给鲁本，脚后跟传得太写意了，但实用性不足                   89'第89分钟王栋中路突破后的远射打偏
90'力帆右路吉利奥蒂内切交给费尔南多，左脚推射，关震倒地钭球扑住                   89'第89分钟王栋中路突破后的远射打偏
90'王栋中路突破，带球到左侧，回做                   89'第89分钟王栋中路突破后的远射打偏
91'又是王栋，远射打偏了！                   89'第89分钟王栋中路突破后的远射打偏
91'毛里西奥硬闯到禁区内，碾进去，罗歆最后时刻将球捅一下                   89'第89分钟王栋中路突破后的远射打偏
