1'好了，比赛开始了，申花的球权。                   1'第1分钟申花即展开强攻，第2分钟吕征开出右路角球，秦升前点头球稍偏出界
16'直塞禁区弧顶，被破坏了。                   13'第13分钟申花沿着左路打进，曹赟定下底传中，申花中路两名队员接应，但吕征抢点头球打偏
16'申花的反击，节奏瓜林放慢了。                   13'第13分钟申花沿着左路打进，曹赟定下底传中，申花中路两名队员接应，但吕征抢点头球打偏
16'苏宁现在稍显被动。                   16'第16分钟吕征开出右路角球，金基熙头球摆渡，莫雷诺射门被吉翔挡住底线，吕征第二个角球被对方截断，江苏立刻快速反击到前场，但马丁内斯的射门被补防的申花后卫挡出
16'顾超大脚开出，中场张晓彬分边。                   16'第16分钟吕征开出右路角球，金基熙头球摆渡，莫雷诺射门被吉翔挡住底线，吕征第二个角球被对方截断，江苏立刻快速反击到前场，但马丁内斯的射门被补防的申花后卫挡出
16'直塞禁区弧顶，被破坏了。                   16'第16分钟吕征开出右路角球，金基熙头球摆渡，莫雷诺射门被吉翔挡住底线，吕征第二个角球被对方截断，江苏立刻快速反击到前场，但马丁内斯的射门被补防的申花后卫挡出
16'申花的反击，节奏瓜林放慢了。                   16'第16分钟吕征开出右路角球，金基熙头球摆渡，莫雷诺射门被吉翔挡住底线，吕征第二个角球被对方截断，江苏立刻快速反击到前场，但马丁内斯的射门被补防的申花后卫挡出
17'还是左路的突破，吕征强行起球，得到了角球机会。                   16'第16分钟吕征开出右路角球，金基熙头球摆渡，莫雷诺射门被吉翔挡住底线，吕征第二个角球被对方截断，江苏立刻快速反击到前场，但马丁内斯的射门被补防的申花后卫挡出
17'角球开出，后点。                   16'第16分钟吕征开出右路角球，金基熙头球摆渡，莫雷诺射门被吉翔挡住底线，吕征第二个角球被对方截断，江苏立刻快速反击到前场，但马丁内斯的射门被补防的申花后卫挡出
18'金基熙摆渡给莫雷诺，好机会！无人看防。                   16'第16分钟吕征开出右路角球，金基熙头球摆渡，莫雷诺射门被吉翔挡住底线，吕征第二个角球被对方截断，江苏立刻快速反击到前场，但马丁内斯的射门被补防的申花后卫挡出
18'没踢上力气，还是角球，被破坏了。                   16'第16分钟吕征开出右路角球，金基熙头球摆渡，莫雷诺射门被吉翔挡住底线，吕征第二个角球被对方截断，江苏立刻快速反击到前场，但马丁内斯的射门被补防的申花后卫挡出
18'开到前点，被破坏了。                   16'第16分钟吕征开出右路角球，金基熙头球摆渡，莫雷诺射门被吉翔挡住底线，吕征第二个角球被对方截断，江苏立刻快速反击到前场，但马丁内斯的射门被补防的申花后卫挡出
18'苏宁的反击！！                   16'第16分钟吕征开出右路角球，金基熙头球摆渡，莫雷诺射门被吉翔挡住底线，吕征第二个角球被对方截断，江苏立刻快速反击到前场，但马丁内斯的射门被补防的申花后卫挡出
18'给到左路，马丁内斯内切打门！被后卫挡出。                   16'第16分钟吕征开出右路角球，金基熙头球摆渡，莫雷诺射门被吉翔挡住底线，吕征第二个角球被对方截断，江苏立刻快速反击到前场，但马丁内斯的射门被补防的申花后卫挡出
19'直塞找马丁内斯，分到右路，起球，被熊飞大脚解围。                   16'第16分钟吕征开出右路角球，金基熙头球摆渡，莫雷诺射门被吉翔挡住底线，吕征第二个角球被对方截断，江苏立刻快速反击到前场，但马丁内斯的射门被补防的申花后卫挡出
19'中场莫雷诺得到球。                   16'第16分钟吕征开出右路角球，金基熙头球摆渡，莫雷诺射门被吉翔挡住底线，吕征第二个角球被对方截断，江苏立刻快速反击到前场，但马丁内斯的射门被补防的申花后卫挡出
19'分边曹赟定，直塞到禁区！                   16'第16分钟吕征开出右路角球，金基熙头球摆渡，莫雷诺射门被吉翔挡住底线，吕征第二个角球被对方截断，江苏立刻快速反击到前场，但马丁内斯的射门被补防的申花后卫挡出
20'顾超和马丁斯撞到了一起！                   20'第20分钟客队第一次有效射门就取得进球，特谢拉前场带球中往右侧分，吉翔下底传中，马丁内斯在金基熙干扰下，放低身位俯冲顶出大力弹地球，此球呈高抛线飞入门内，熊飞和李帅对这个球判断都有点慢，1比0，被动的江苏苏宁反而领先了
20'顾超很痛苦，马丁斯也是。                   20'第20分钟客队第一次有效射门就取得进球，特谢拉前场带球中往右侧分，吉翔下底传中，马丁内斯在金基熙干扰下，放低身位俯冲顶出大力弹地球，此球呈高抛线飞入门内，熊飞和李帅对这个球判断都有点慢，1比0，被动的江苏苏宁反而领先了
20'没什么大碍。                   20'第20分钟客队第一次有效射门就取得进球，特谢拉前场带球中往右侧分，吉翔下底传中，马丁内斯在金基熙干扰下，放低身位俯冲顶出大力弹地球，此球呈高抛线飞入门内，熊飞和李帅对这个球判断都有点慢，1比0，被动的江苏苏宁反而领先了
21'大脚开出，中场申花得到球权。                   20'第20分钟客队第一次有效射门就取得进球，特谢拉前场带球中往右侧分，吉翔下底传中，马丁内斯在金基熙干扰下，放低身位俯冲顶出大力弹地球，此球呈高抛线飞入门内，熊飞和李帅对这个球判断都有点慢，1比0，被动的江苏苏宁反而领先了
21'莫雷诺分到右路，没什么机会。                   20'第20分钟客队第一次有效射门就取得进球，特谢拉前场带球中往右侧分，吉翔下底传中，马丁内斯在金基熙干扰下，放低身位俯冲顶出大力弹地球，此球呈高抛线飞入门内，熊飞和李帅对这个球判断都有点慢，1比0，被动的江苏苏宁反而领先了
21'被破坏了，苏宁反击！                   20'第20分钟客队第一次有效射门就取得进球，特谢拉前场带球中往右侧分，吉翔下底传中，马丁内斯在金基熙干扰下，放低身位俯冲顶出大力弹地球，此球呈高抛线飞入门内，熊飞和李帅对这个球判断都有点慢，1比0，被动的江苏苏宁反而领先了
21'分到右路，传中！                   20'第20分钟客队第一次有效射门就取得进球，特谢拉前场带球中往右侧分，吉翔下底传中，马丁内斯在金基熙干扰下，放低身位俯冲顶出大力弹地球，此球呈高抛线飞入门内，熊飞和李帅对这个球判断都有点慢，1比0，被动的江苏苏宁反而领先了
22'球进了！！！！！！！！！！！！！！！！                   20'第20分钟客队第一次有效射门就取得进球，特谢拉前场带球中往右侧分，吉翔下底传中，马丁内斯在金基熙干扰下，放低身位俯冲顶出大力弹地球，此球呈高抛线飞入门内，熊飞和李帅对这个球判断都有点慢，1比0，被动的江苏苏宁反而领先了
22'苏宁的这次快速反击，吉翔右路传中，马丁内斯倒地把球顶入球门！                   20'第20分钟客队第一次有效射门就取得进球，特谢拉前场带球中往右侧分，吉翔下底传中，马丁内斯在金基熙干扰下，放低身位俯冲顶出大力弹地球，此球呈高抛线飞入门内，熊飞和李帅对这个球判断都有点慢，1比0，被动的江苏苏宁反而领先了
23'苏宁在被压迫的情势下，率先进球了！                   20'第20分钟客队第一次有效射门就取得进球，特谢拉前场带球中往右侧分，吉翔下底传中，马丁内斯在金基熙干扰下，放低身位俯冲顶出大力弹地球，此球呈高抛线飞入门内，熊飞和李帅对这个球判断都有点慢，1比0，被动的江苏苏宁反而领先了
23'苏宁在被压迫的情势下，率先进球了！                   23'申花继续进攻，第23分钟申花直塞禁区，莫雷诺转身就打，球正好被顾超接住
24'申花后场大范围找到吕征。                   23'申花继续进攻，第23分钟申花直塞禁区，莫雷诺转身就打，球正好被顾超接住
24'和瓜林的左路配合。                   23'申花继续进攻，第23分钟申花直塞禁区，莫雷诺转身就打，球正好被顾超接住
24'传中，被洪正好顶出。                   23'申花继续进攻，第23分钟申花直塞禁区，莫雷诺转身就打，球正好被顾超接住
24'二点继续吊入禁区，莫雷诺转身打门！                   23'申花继续进攻，第23分钟申花直塞禁区，莫雷诺转身就打，球正好被顾超接住
24'被顾超抱住了。                   23'申花继续进攻，第23分钟申花直塞禁区，莫雷诺转身就打，球正好被顾超接住
25'顾超大脚开出，前场马丁内斯对陶金的犯规。                   23'申花继续进攻，第23分钟申花直塞禁区，莫雷诺转身就打，球正好被顾超接住
25'陶金很不满，比划黄牌的动作。                   23'申花继续进攻，第23分钟申花直塞禁区，莫雷诺转身就打，球正好被顾超接住
26'来到前场，马丁斯转移给曹赟定，没什么机会，横敲。                   23'申花继续进攻，第23分钟申花直塞禁区，莫雷诺转身就打，球正好被顾超接住
26'吊入禁区，被顾超抱到。                   23'申花继续进攻，第23分钟申花直塞禁区，莫雷诺转身就打，球正好被顾超接住
30'虽然苏宁的球员觉得有争议，但是裁判判了点球，瓜林很冷静，打了右上角，球进。                   30'第30分钟两队进入短暂停补水时间
31'双方进入了补水时间。                   30'第30分钟两队进入短暂停补水时间
32'比赛继续。                   30'第30分钟两队进入短暂停补水时间
32'中场瓜林长传找曹赟定，没能拿到。                   30'第30分钟两队进入短暂停补水时间
33'现在传球申花170次，是苏宁的两倍。                   30'第30分钟两队进入短暂停补水时间
33'后场苏宁的球权，长传到前场，被曹赟定破坏了。                   30'第30分钟两队进入短暂停补水时间
38'中场直塞找马丁斯，越位了。                   38'第38分钟秦升手捂脚踝倒在地上，估计是扭了一下，短暂治疗后秦升重新出场
39'苏宁后场拿球，给到前场，对秦升的犯规。                   38'第38分钟秦升手捂脚踝倒在地上，估计是扭了一下，短暂治疗后秦升重新出场
40'没什么大碍，比赛继续。                   38'第38分钟秦升手捂脚踝倒在地上，估计是扭了一下，短暂治疗后秦升重新出场
40'申花转移到右路，莫雷诺进攻犯规了。                   38'第38分钟秦升手捂脚踝倒在地上，估计是扭了一下，短暂治疗后秦升重新出场
44'上半场的比赛来到了最后几分钟。                   44'第44分钟吉翔拦截秦升犯规，接着马丁内斯很奇怪的近距离拦截秦升任意球，结果吃到黄牌
44'前场的长传，被顾超拿到。                   44'第44分钟吉翔拦截秦升犯规，接着马丁内斯很奇怪的近距离拦截秦升任意球，结果吃到黄牌
44'大脚开出，秦升得到。                   44'第44分钟吉翔拦截秦升犯规，接着马丁内斯很奇怪的近距离拦截秦升任意球，结果吃到黄牌
45'马赛回旋，秦升被吉翔放倒了。                   44'第44分钟吉翔拦截秦升犯规，接着马丁内斯很奇怪的近距离拦截秦升任意球，结果吃到黄牌
46'中场苏宁的球权。                   44'第44分钟吉翔拦截秦升犯规，接着马丁内斯很奇怪的近距离拦截秦升任意球，结果吃到黄牌
47'直塞找吉翔，被后卫破坏了。                   44'第44分钟吉翔拦截秦升犯规，接着马丁内斯很奇怪的近距离拦截秦升任意球，结果吃到黄牌
47'曹赟定前场拿球，大范围转移到左路。                   44'第44分钟吉翔拦截秦升犯规，接着马丁内斯很奇怪的近距离拦截秦升任意球，结果吃到黄牌
47'直接打门！被顾超拿到了。                   44'第44分钟吉翔拦截秦升犯规，接着马丁内斯很奇怪的近距离拦截秦升任意球，结果吃到黄牌
46'塞恩斯伯里给到中场，秦升犯规了。                   44'第44分钟吉翔拦截秦升犯规，接着马丁内斯很奇怪的近距离拦截秦升任意球，结果吃到黄牌
46'苏宁把球吊入禁区，被金基熙顶出。                   44'第44分钟吉翔拦截秦升犯规，接着马丁内斯很奇怪的近距离拦截秦升任意球，结果吃到黄牌
47'右路的二过一，传到门前，横敲。                   44'第44分钟吉翔拦截秦升犯规，接着马丁内斯很奇怪的近距离拦截秦升任意球，结果吃到黄牌
47'空门！                   44'第44分钟吉翔拦截秦升犯规，接着马丁内斯很奇怪的近距离拦截秦升任意球，结果吃到黄牌
47'球的力量有点大了，马丁内斯可惜了，没拿到。                   44'第44分钟吉翔拦截秦升犯规，接着马丁内斯很奇怪的近距离拦截秦升任意球，结果吃到黄牌
46'中场苏宁的球权。                   46'第46分钟熊飞右路传中，吕征接球后绕到禁区外再突然转射门射门，但被顾超飞身扑住
47'直塞找吉翔，被后卫破坏了。                   46'第46分钟熊飞右路传中，吕征接球后绕到禁区外再突然转射门射门，但被顾超飞身扑住
47'曹赟定前场拿球，大范围转移到左路。                   46'第46分钟熊飞右路传中，吕征接球后绕到禁区外再突然转射门射门，但被顾超飞身扑住
47'直接打门！被顾超拿到了。                   46'第46分钟熊飞右路传中，吕征接球后绕到禁区外再突然转射门射门，但被顾超飞身扑住
48'这时裁判吹响了上半场比赛结束的哨音。                   46'第46分钟熊飞右路传中，吕征接球后绕到禁区外再突然转射门射门，但被顾超飞身扑住
48'苏宁凭借马丁内斯的梅开二度，暂时领先，我们下半场再见。                   46'第46分钟熊飞右路传中，吕征接球后绕到禁区外再突然转射门射门，但被顾超飞身扑住
46'塞恩斯伯里给到中场，秦升犯规了。                   46'第46分钟熊飞右路传中，吕征接球后绕到禁区外再突然转射门射门，但被顾超飞身扑住
46'苏宁把球吊入禁区，被金基熙顶出。                   46'第46分钟熊飞右路传中，吕征接球后绕到禁区外再突然转射门射门，但被顾超飞身扑住
47'右路的二过一，传到门前，横敲。                   46'第46分钟熊飞右路传中，吕征接球后绕到禁区外再突然转射门射门，但被顾超飞身扑住
47'空门！                   46'第46分钟熊飞右路传中，吕征接球后绕到禁区外再突然转射门射门，但被顾超飞身扑住
47'球的力量有点大了，马丁内斯可惜了，没拿到。                   46'第46分钟熊飞右路传中，吕征接球后绕到禁区外再突然转射门射门，但被顾超飞身扑住
48'申花的进攻，吕征强行下底，传中，可惜出了底线。                   46'第46分钟熊飞右路传中，吕征接球后绕到禁区外再突然转射门射门，但被顾超飞身扑住
48'大脚开出，前场是苏宁的球权，被破坏出了边线                   46'第46分钟熊飞右路传中，吕征接球后绕到禁区外再突然转射门射门，但被顾超飞身扑住
49'陶金继续把球破坏。                   46'第46分钟熊飞右路传中，吕征接球后绕到禁区外再突然转射门射门，但被顾超飞身扑住
49'犯规了，造成了任意球。                   46'第46分钟熊飞右路传中，吕征接球后绕到禁区外再突然转射门射门，但被顾超飞身扑住
49'马丁内斯主罚。                   46'第46分钟熊飞右路传中，吕征接球后绕到禁区外再突然转射门射门，但被顾超飞身扑住
49'吊入前点，头球一蹭，可惜偏出了。                   46'第46分钟熊飞右路传中，吕征接球后绕到禁区外再突然转射门射门，但被顾超飞身扑住
46'中场苏宁的球权。                   46'下半场第46分钟，江苏右路下底传中，张新林前场后脚跟送球，皮球掠过门前，特谢拉禁区外拿球后再送入禁区，马丁内斯抢射偏出
47'直塞找吉翔，被后卫破坏了。                   46'下半场第46分钟，江苏右路下底传中，张新林前场后脚跟送球，皮球掠过门前，特谢拉禁区外拿球后再送入禁区，马丁内斯抢射偏出
47'曹赟定前场拿球，大范围转移到左路。                   46'下半场第46分钟，江苏右路下底传中，张新林前场后脚跟送球，皮球掠过门前，特谢拉禁区外拿球后再送入禁区，马丁内斯抢射偏出
47'直接打门！被顾超拿到了。                   46'下半场第46分钟，江苏右路下底传中，张新林前场后脚跟送球，皮球掠过门前，特谢拉禁区外拿球后再送入禁区，马丁内斯抢射偏出
48'这时裁判吹响了上半场比赛结束的哨音。                   46'下半场第46分钟，江苏右路下底传中，张新林前场后脚跟送球，皮球掠过门前，特谢拉禁区外拿球后再送入禁区，马丁内斯抢射偏出
48'苏宁凭借马丁内斯的梅开二度，暂时领先，我们下半场再见。                   46'下半场第46分钟，江苏右路下底传中，张新林前场后脚跟送球，皮球掠过门前，特谢拉禁区外拿球后再送入禁区，马丁内斯抢射偏出
46'塞恩斯伯里给到中场，秦升犯规了。                   46'下半场第46分钟，江苏右路下底传中，张新林前场后脚跟送球，皮球掠过门前，特谢拉禁区外拿球后再送入禁区，马丁内斯抢射偏出
46'苏宁把球吊入禁区，被金基熙顶出。                   46'下半场第46分钟，江苏右路下底传中，张新林前场后脚跟送球，皮球掠过门前，特谢拉禁区外拿球后再送入禁区，马丁内斯抢射偏出
47'右路的二过一，传到门前，横敲。                   46'下半场第46分钟，江苏右路下底传中，张新林前场后脚跟送球，皮球掠过门前，特谢拉禁区外拿球后再送入禁区，马丁内斯抢射偏出
47'空门！                   46'下半场第46分钟，江苏右路下底传中，张新林前场后脚跟送球，皮球掠过门前，特谢拉禁区外拿球后再送入禁区，马丁内斯抢射偏出
47'球的力量有点大了，马丁内斯可惜了，没拿到。                   46'下半场第46分钟，江苏右路下底传中，张新林前场后脚跟送球，皮球掠过门前，特谢拉禁区外拿球后再送入禁区，马丁内斯抢射偏出
48'申花的进攻，吕征强行下底，传中，可惜出了底线。                   46'下半场第46分钟，江苏右路下底传中，张新林前场后脚跟送球，皮球掠过门前，特谢拉禁区外拿球后再送入禁区，马丁内斯抢射偏出
48'大脚开出，前场是苏宁的球权，被破坏出了边线                   46'下半场第46分钟，江苏右路下底传中，张新林前场后脚跟送球，皮球掠过门前，特谢拉禁区外拿球后再送入禁区，马丁内斯抢射偏出
49'陶金继续把球破坏。                   46'下半场第46分钟，江苏右路下底传中，张新林前场后脚跟送球，皮球掠过门前，特谢拉禁区外拿球后再送入禁区，马丁内斯抢射偏出
49'犯规了，造成了任意球。                   46'下半场第46分钟，江苏右路下底传中，张新林前场后脚跟送球，皮球掠过门前，特谢拉禁区外拿球后再送入禁区，马丁内斯抢射偏出
49'马丁内斯主罚。                   46'下半场第46分钟，江苏右路下底传中，张新林前场后脚跟送球，皮球掠过门前，特谢拉禁区外拿球后再送入禁区，马丁内斯抢射偏出
49'吊入前点，头球一蹭，可惜偏出了。                   46'下半场第46分钟，江苏右路下底传中，张新林前场后脚跟送球，皮球掠过门前，特谢拉禁区外拿球后再送入禁区，马丁内斯抢射偏出
50'耿晓锋大脚开出。                   50'第50分钟马丁斯右路横传，瓜林跟上直接怒射高出
52'失误了，苏宁的球权。                   50'第50分钟马丁斯右路横传，瓜林跟上直接怒射高出
52'中场直塞找特谢拉，可惜传球处理的不好，方向偏了。                   50'第50分钟马丁斯右路横传，瓜林跟上直接怒射高出
52'还是前场苏宁拿球，特谢拉分到右路。                   50'第50分钟马丁斯右路横传，瓜林跟上直接怒射高出
53'没什么机会，倒回中场。                   50'第50分钟马丁斯右路横传，瓜林跟上直接怒射高出
53'右路直接敲到禁区，没有包抄队员。                   50'第50分钟马丁斯右路横传，瓜林跟上直接怒射高出
53'后场直接找马丁斯，顾超把球大脚解围。                   50'第50分钟马丁斯右路横传，瓜林跟上直接怒射高出
57'莫雷诺带球摆脱，直接打门！被后卫破坏。                   57'第57分钟莫雷诺得球往左路转移，曹赟定强行内切连续摆脱两人后怒射，可惜皮球稍稍偏出
57'秦升抢二点球，犯规了，吃到了黄牌，拉倒了对手。                   57'第57分钟莫雷诺得球往左路转移，曹赟定强行内切连续摆脱两人后怒射，可惜皮球稍稍偏出
57'跑动距离苏宁已经超过了申花。                   57'第57分钟莫雷诺得球往左路转移，曹赟定强行内切连续摆脱两人后怒射，可惜皮球稍稍偏出
57'还是长传找马丁斯，失败了。                   57'第57分钟莫雷诺得球往左路转移，曹赟定强行内切连续摆脱两人后怒射，可惜皮球稍稍偏出
58'苏宁的快速进攻，角旗区附近，金基熙对特谢拉成功的防守。                   57'第57分钟莫雷诺得球往左路转移，曹赟定强行内切连续摆脱两人后怒射，可惜皮球稍稍偏出
58'耿晓锋大脚开出。                   57'第57分钟莫雷诺得球往左路转移，曹赟定强行内切连续摆脱两人后怒射，可惜皮球稍稍偏出
58'马丁斯回做给莫雷诺。                   57'第57分钟莫雷诺得球往左路转移，曹赟定强行内切连续摆脱两人后怒射，可惜皮球稍稍偏出
59'分边，曹赟定连过两人，内切打门！                   57'第57分钟莫雷诺得球往左路转移，曹赟定强行内切连续摆脱两人后怒射，可惜皮球稍稍偏出
59'打高了，不过这次进攻威胁很大。                   57'第57分钟莫雷诺得球往左路转移，曹赟定强行内切连续摆脱两人后怒射，可惜皮球稍稍偏出
59'中场特谢拉的逼抢失败了。                   57'第57分钟莫雷诺得球往左路转移，曹赟定强行内切连续摆脱两人后怒射，可惜皮球稍稍偏出
59'曹赟定直塞禁区！                   57'第57分钟莫雷诺得球往左路转移，曹赟定强行内切连续摆脱两人后怒射，可惜皮球稍稍偏出
59'球进了！！！！！！！！！！！                   57'第57分钟莫雷诺得球往左路转移，曹赟定强行内切连续摆脱两人后怒射，可惜皮球稍稍偏出
60'申花的快速反击，曹赟定直塞到禁区，马丁斯打门！球进！                   57'第57分钟莫雷诺得球往左路转移，曹赟定强行内切连续摆脱两人后怒射，可惜皮球稍稍偏出
60'比分被扳平了。                   57'第57分钟莫雷诺得球往左路转移，曹赟定强行内切连续摆脱两人后怒射，可惜皮球稍稍偏出
60'申花的快速反击，曹赟定直塞到禁区，马丁斯打门！球进！                   60'第60分钟吕征右路拿球后传中，塞恩斯伯里解围没踢到球，但后面埋伏的马丁斯仓促出腿，结果一脚踢高
60'比分被扳平了。                   60'第60分钟吕征右路拿球后传中，塞恩斯伯里解围没踢到球，但后面埋伏的马丁斯仓促出腿，结果一脚踢高
61'申花前场这段时间配合出来了，也收获了进球。                   60'第60分钟吕征右路拿球后传中，塞恩斯伯里解围没踢到球，但后面埋伏的马丁斯仓促出腿，结果一脚踢高
61'前场又是快速进攻。                   60'第60分钟吕征右路拿球后传中，塞恩斯伯里解围没踢到球，但后面埋伏的马丁斯仓促出腿，结果一脚踢高
61'吕征给到马丁斯。横敲。                   60'第60分钟吕征右路拿球后传中，塞恩斯伯里解围没踢到球，但后面埋伏的马丁斯仓促出腿，结果一脚踢高
61'空门了！！！马丁斯推高了。                   60'第60分钟吕征右路拿球后传中，塞恩斯伯里解围没踢到球，但后面埋伏的马丁斯仓促出腿，结果一脚踢高
62'真的是太可惜了啊，差一点梅开二度了。                   60'第60分钟吕征右路拿球后传中，塞恩斯伯里解围没踢到球，但后面埋伏的马丁斯仓促出腿，结果一脚踢高
62'现场观众来了23690人啊，比赛的气氛还是很好的。                   60'第60分钟吕征右路拿球后传中，塞恩斯伯里解围没踢到球，但后面埋伏的马丁斯仓促出腿，结果一脚踢高
63'曹赟定的左路突破，传中。                   60'第60分钟吕征右路拿球后传中，塞恩斯伯里解围没踢到球，但后面埋伏的马丁斯仓促出腿，结果一脚踢高
63'背被后卫顶出，中场秦升直接大力远射！                   60'第60分钟吕征右路拿球后传中，塞恩斯伯里解围没踢到球，但后面埋伏的马丁斯仓促出腿，结果一脚踢高
63'不好意思，是曹赟定的大力远射，射偏了。                   60'第60分钟吕征右路拿球后传中，塞恩斯伯里解围没踢到球，但后面埋伏的马丁斯仓促出腿，结果一脚踢高
64'曹赟定今天的状态是很好的啊，几次有威胁的进攻都来自他，                   64'第64分钟吕征右路角球开出，球砸在马丁内斯脸上弹出界外，曹赟定左侧角球被顾超扑住
64'前场特谢拉把球挑入禁区，马丁内斯么能拿到。                   64'第64分钟吕征右路角球开出，球砸在马丁内斯脸上弹出界外，曹赟定左侧角球被顾超扑住
65'申花的快速反击，吕征右路传中，被破坏出了底线。                   64'第64分钟吕征右路角球开出，球砸在马丁内斯脸上弹出界外，曹赟定左侧角球被顾超扑住
65'角球。                   64'第64分钟吕征右路角球开出，球砸在马丁内斯脸上弹出界外，曹赟定左侧角球被顾超扑住
65'角球开出，前点一蹭，又被后卫挡出了底线。                   64'第64分钟吕征右路角球开出，球砸在马丁内斯脸上弹出界外，曹赟定左侧角球被顾超扑住
66'角球继续开出，顾超抱住了球。                   64'第64分钟吕征右路角球开出，球砸在马丁内斯脸上弹出界外，曹赟定左侧角球被顾超扑住
66'球掷出，还是申花拿到，吕征左路快速反击，被后卫破坏了。                   64'第64分钟吕征右路角球开出，球砸在马丁内斯脸上弹出界外，曹赟定左侧角球被顾超扑住
66'中场长传找吕征，传中。                   64'第64分钟吕征右路角球开出，球砸在马丁内斯脸上弹出界外，曹赟定左侧角球被顾超扑住
