1'上半场比赛开始                   1'尤文第1分钟主动出击
28'阿尔维斯的边路传中，被挡出边线                   27'第27分钟，埃弗拉解围没能顶出禁区，内马尔左侧距门14米处低射被布冯得到
28'内马尔右路拿球，强突下底，赢得角球机会                   27'第27分钟，埃弗拉解围没能顶出禁区，内马尔左侧距门14米处低射被布冯得到
29'战术角球开出，梅西拿球，皮尔洛上抢将球破坏出边线                   27'第27分钟，埃弗拉解围没能顶出禁区，内马尔左侧距门14米处低射被布冯得到
29'埃弗拉后场抢断，斜传找前场的莫拉塔                   27'第27分钟，埃弗拉解围没能顶出禁区，内马尔左侧距门14米处低射被布冯得到
29'传球力量有点大，被马斯切拉诺转身拿到                   27'第27分钟，埃弗拉解围没能顶出禁区，内马尔左侧距门14米处低射被布冯得到
29'拉基蒂奇右路拿球，埃弗拉上抢被吹犯规                   27'第27分钟，埃弗拉解围没能顶出禁区，内马尔左侧距门14米处低射被布冯得到
30'苏亚雷斯前场背身拿球，博努奇身后上抢被吹犯规                   27'第27分钟，埃弗拉解围没能顶出禁区，内马尔左侧距门14米处低射被布冯得到
30'巴萨获得前场右侧的任意球机会                   27'第27分钟，埃弗拉解围没能顶出禁区，内马尔左侧距门14米处低射被布冯得到
30'梅西任意球直接攻门，被布冯出击轻松拿到                   27'第27分钟，埃弗拉解围没能顶出禁区，内马尔左侧距门14米处低射被布冯得到
39'皮克长传球到前场找梅西，梅西拿球横切，遭遇三人围堵，球丢啦                   39'第39分钟，苏亚雷斯右侧禁区前沿低射偏出左门柱，随后内马尔传梅西被后卫封堵变线，苏亚雷斯侧距门13米处推射被布冯托出横梁
40'巴萨前场再攻，苏亚雷斯拿球强突，闪开角度直接起脚，打偏了一点                   39'第39分钟，苏亚雷斯右侧禁区前沿低射偏出左门柱，随后内马尔传梅西被后卫封堵变线，苏亚雷斯侧距门13米处推射被布冯托出横梁
40'巴萨前场抢断，内马尔强突被放倒在地                   39'第39分钟，苏亚雷斯右侧禁区前沿低射偏出左门柱，随后内马尔传梅西被后卫封堵变线，苏亚雷斯侧距门13米处推射被布冯托出横梁
40'球到了苏亚雷斯脚下，苏亚雷斯得球再射，被布冯封堵出底线                   39'第39分钟，苏亚雷斯右侧禁区前沿低射偏出左门柱，随后内马尔传梅西被后卫封堵变线，苏亚雷斯侧距门13米处推射被布冯托出横梁
41'巴萨获得左侧角球机会，第一点被尤文球员解围                   39'第39分钟，苏亚雷斯右侧禁区前沿低射偏出左门柱，随后内马尔传梅西被后卫封堵变线，苏亚雷斯侧距门13米处推射被布冯托出横梁
41'博格巴左路拿球，过顶直传找莫拉塔，被断啦                   39'第39分钟，苏亚雷斯右侧禁区前沿低射偏出左门柱，随后内马尔传梅西被后卫封堵变线，苏亚雷斯侧距门13米处推射被布冯托出横梁
41'梅西前场中路拿球，博格巴上抢自己滑倒，撞倒了梅西                   39'第39分钟，苏亚雷斯右侧禁区前沿低射偏出左门柱，随后内马尔传梅西被后卫封堵变线，苏亚雷斯侧距门13米处推射被布冯托出横梁
42'博格巴再被主裁判出示了黄牌警告！！！                   39'第39分钟，苏亚雷斯右侧禁区前沿低射偏出左门柱，随后内马尔传梅西被后卫封堵变线，苏亚雷斯侧距门13米处推射被布冯托出横梁
42'目前黄牌：尤文的博格巴和比达尔各一张，巴萨还没有红黄牌的出现                   39'第39分钟，苏亚雷斯右侧禁区前沿低射偏出左门柱，随后内马尔传梅西被后卫封堵变线，苏亚雷斯侧距门13米处推射被布冯托出横梁
48'特维斯前场中路拿球，送过顶打在了皮克的手臂上                   48'下半时开始3分钟，巴萨反击形成五打三，拉基蒂奇直塞禁区左侧，苏亚雷斯在门前10米处捅射被布冯封出近门柱
48'尤文获得了前场中路的任意球机会                   48'下半时开始3分钟，巴萨反击形成五打三，拉基蒂奇直塞禁区左侧，苏亚雷斯在门前10米处捅射被布冯封出近门柱
48'皮尔洛的任意球斜传禁区，皮克头球解围出底线                   48'下半时开始3分钟，巴萨反击形成五打三，拉基蒂奇直塞禁区左侧，苏亚雷斯在门前10米处捅射被布冯封出近门柱
48'尤文再次获得右侧角球机会                   48'下半时开始3分钟，巴萨反击形成五打三，拉基蒂奇直塞禁区左侧，苏亚雷斯在门前10米处捅射被布冯封出近门柱
49'角球开出，第一点被巴萨球员将球解围                   48'下半时开始3分钟，巴萨反击形成五打三，拉基蒂奇直塞禁区左侧，苏亚雷斯在门前10米处捅射被布冯封出近门柱
49'巴萨的反击，前场5打3啊                   48'下半时开始3分钟，巴萨反击形成五打三，拉基蒂奇直塞禁区左侧，苏亚雷斯在门前10米处捅射被布冯封出近门柱
49'拉基蒂奇中路拿球，外脚背分球左侧给苏亚雷斯                   48'下半时开始3分钟，巴萨反击形成五打三，拉基蒂奇直塞禁区左侧，苏亚雷斯在门前10米处捅射被布冯封出近门柱
49'苏亚雷斯插上，迎球怒射打近角，布冯神级扑救，扑出了苏亚雷斯的必进球                   48'下半时开始3分钟，巴萨反击形成五打三，拉基蒂奇直塞禁区左侧，苏亚雷斯在门前10米处捅射被布冯封出近门柱
50'巴萨获得了左侧角球机会，又被尤文球员头球解围                   48'下半时开始3分钟，巴萨反击形成五打三，拉基蒂奇直塞禁区左侧，苏亚雷斯在门前10米处捅射被布冯封出近门柱
50'苏亚雷斯得球，凌空抽射，打飞                   48'下半时开始3分钟，巴萨反击形成五打三，拉基蒂奇直塞禁区左侧，苏亚雷斯在门前10米处捅射被布冯封出近门柱
51'尤文后场的过顶球到前场，可惜越位了                   48'下半时开始3分钟，巴萨反击形成五打三，拉基蒂奇直塞禁区左侧，苏亚雷斯在门前10米处捅射被布冯封出近门柱
51'巴萨前场进攻，梅西和队友的踢墙配合                   48'下半时开始3分钟，巴萨反击形成五打三，拉基蒂奇直塞禁区左侧，苏亚雷斯在门前10米处捅射被布冯封出近门柱
55'皮克后场拿球，莫拉塔的逼抢时将球碰出了边线                   55'尤文第55分钟扳平比分
55'尤文进球啦！！！                   55'尤文第55分钟扳平比分
55'莫拉塔，补射破门啦！！！1                   55'尤文第55分钟扳平比分
57'马尔基西奥前场拿球，脚后跟过度球给到博格巴，博格巴右路拿球横传中间，特维斯停球转身，左脚低射被特尔施特根扑出，莫拉塔跟进补射，推射打进球门左下角！！！                   55'尤文第55分钟扳平比分
57'双方上下半场各打了一个好的开局                   55'尤文第55分钟扳平比分
63'尤文的反击，皮尔洛拿球横传禁区弧顶给特维斯                   63'第63分钟，莫拉塔禁区右侧回做，马尔基西奥横敲，特维斯在门前18米处推射高出
63'特维斯侧身右脚抽射，可惜是个高射炮！！！                   63'第63分钟，莫拉塔禁区右侧回做，马尔基西奥横敲，特维斯在门前18米处推射高出
63'伊涅斯塔前场拿球，强突到禁区弧顶                   63'第63分钟，莫拉塔禁区右侧回做，马尔基西奥横敲，特维斯在门前18米处推射高出
63'伊涅斯塔遭遇围堵，急停转身左脚直塞打身后找梅西                   63'第63分钟，莫拉塔禁区右侧回做，马尔基西奥横敲，特维斯在门前18米处推射高出
64'布冯及时出击，抢在梅西上来之前，倒地将球封堵                   63'第63分钟，莫拉塔禁区右侧回做，马尔基西奥横敲，特维斯在门前18米处推射高出
64'哈维已经在场边热身，有机会出场了                   63'第63分钟，莫拉塔禁区右侧回做，马尔基西奥横敲，特维斯在门前18米处推射高出
64'尤文前场进攻，博格巴左路拿球，横切，禁区弧顶起脚打门                   63'第63分钟，莫拉塔禁区右侧回做，马尔基西奥横敲，特维斯在门前18米处推射高出
65'打的太正，被特尔施特根轻松将球拿到                   63'第63分钟，莫拉塔禁区右侧回做，马尔基西奥横敲，特维斯在门前18米处推射高出
66'下半场比赛已经20分钟，比分1-1！！！                   63'第63分钟，莫拉塔禁区右侧回做，马尔基西奥横敲，特维斯在门前18米处推射高出
66'尤文前场进攻，博格巴中路拿球，分边给到左侧上来的埃弗拉                   63'第63分钟，莫拉塔禁区右侧回做，马尔基西奥横敲，特维斯在门前18米处推射高出
67'埃弗拉拿球下底传中到后点，第一点被巴萨球员解围                   67'第67分钟，博格巴禁区内倚住阿尔维斯倒地，恰基尔没有中断比赛
67'比达尔后点再抢，球被阿尔巴破坏出边线                   67'第67分钟，博格巴禁区内倚住阿尔维斯倒地，恰基尔没有中断比赛
68'尤文右路斜传球到禁区，博格巴抢点和阿尔维斯双双倒在禁区内                   67'第67分钟，博格巴禁区内倚住阿尔维斯倒地，恰基尔没有中断比赛
68'裁判并未表示，双方互有拉扯！！！                   67'第67分钟，博格巴禁区内倚住阿尔维斯倒地，恰基尔没有中断比赛
68'巴萨再进一个！！！！2-1！！！                   67'第67分钟，博格巴禁区内倚住阿尔维斯倒地，恰基尔没有中断比赛
69'苏亚雷斯补射得分！！！                   67'第67分钟，博格巴禁区内倚住阿尔维斯倒地，恰基尔没有中断比赛
69'梅西前场中路拿球，强突到禁区线上，起左脚抽射，布冯奋力将球扑出，苏亚雷斯跟进补射，将球垫进球门！！！                   67'第67分钟，博格巴禁区内倚住阿尔维斯倒地，恰基尔没有中断比赛
70'苏亚雷斯中场争顶时被吹犯规                   67'第67分钟，博格巴禁区内倚住阿尔维斯倒地，恰基尔没有中断比赛
70'苏亚雷斯被主裁判出示了黄牌警告！！！                   67'第67分钟，博格巴禁区内倚住阿尔维斯倒地，恰基尔没有中断比赛
70'尤文获得前场左侧的任意球机会                   67'第67分钟，博格巴禁区内倚住阿尔维斯倒地，恰基尔没有中断比赛
48'特维斯前场中路拿球，送过顶打在了皮克的手臂上                   48'仅过3分钟，阿尔巴左路传中，内马尔在门前7米处头球弹地入右下角，但恰基尔在底线裁判提示下判进球无效，巴萨队员围住底线裁判理论，但无济于事
48'尤文获得了前场中路的任意球机会                   48'仅过3分钟，阿尔巴左路传中，内马尔在门前7米处头球弹地入右下角，但恰基尔在底线裁判提示下判进球无效，巴萨队员围住底线裁判理论，但无济于事
48'皮尔洛的任意球斜传禁区，皮克头球解围出底线                   48'仅过3分钟，阿尔巴左路传中，内马尔在门前7米处头球弹地入右下角，但恰基尔在底线裁判提示下判进球无效，巴萨队员围住底线裁判理论，但无济于事
48'尤文再次获得右侧角球机会                   48'仅过3分钟，阿尔巴左路传中，内马尔在门前7米处头球弹地入右下角，但恰基尔在底线裁判提示下判进球无效，巴萨队员围住底线裁判理论，但无济于事
49'角球开出，第一点被巴萨球员将球解围                   48'仅过3分钟，阿尔巴左路传中，内马尔在门前7米处头球弹地入右下角，但恰基尔在底线裁判提示下判进球无效，巴萨队员围住底线裁判理论，但无济于事
49'巴萨的反击，前场5打3啊                   48'仅过3分钟，阿尔巴左路传中，内马尔在门前7米处头球弹地入右下角，但恰基尔在底线裁判提示下判进球无效，巴萨队员围住底线裁判理论，但无济于事
49'拉基蒂奇中路拿球，外脚背分球左侧给苏亚雷斯                   48'仅过3分钟，阿尔巴左路传中，内马尔在门前7米处头球弹地入右下角，但恰基尔在底线裁判提示下判进球无效，巴萨队员围住底线裁判理论，但无济于事
49'苏亚雷斯插上，迎球怒射打近角，布冯神级扑救，扑出了苏亚雷斯的必进球                   48'仅过3分钟，阿尔巴左路传中，内马尔在门前7米处头球弹地入右下角，但恰基尔在底线裁判提示下判进球无效，巴萨队员围住底线裁判理论，但无济于事
50'巴萨获得了左侧角球机会，又被尤文球员头球解围                   48'仅过3分钟，阿尔巴左路传中，内马尔在门前7米处头球弹地入右下角，但恰基尔在底线裁判提示下判进球无效，巴萨队员围住底线裁判理论，但无济于事
50'苏亚雷斯得球，凌空抽射，打飞                   48'仅过3分钟，阿尔巴左路传中，内马尔在门前7米处头球弹地入右下角，但恰基尔在底线裁判提示下判进球无效，巴萨队员围住底线裁判理论，但无济于事
51'尤文后场的过顶球到前场，可惜越位了                   48'仅过3分钟，阿尔巴左路传中，内马尔在门前7米处头球弹地入右下角，但恰基尔在底线裁判提示下判进球无效，巴萨队员围住底线裁判理论，但无济于事
51'巴萨前场进攻，梅西和队友的踢墙配合                   48'仅过3分钟，阿尔巴左路传中，内马尔在门前7米处头球弹地入右下角，但恰基尔在底线裁判提示下判进球无效，巴萨队员围住底线裁判理论，但无济于事
79'尤文获得左侧角球机会，开出到后点，博格达头球，顶高了一点点！！！                   79'第79分钟，皮尔洛左侧开出角球，博格巴在门前6米处头球稍稍高出
79'尤文换人：37号佩雷拉上，换下23号比达尔                   79'第79分钟，皮尔洛左侧开出角球，博格巴在门前6米处头球稍稍高出
80'尤文后场左路的大范围转移球，利希施泰纳抢点被吹对苏亚雷斯犯规                   79'第79分钟，皮尔洛左侧开出角球，博格巴在门前6米处头球稍稍高出
81'梅西前场右路拿球，强突被埃弗拉绊倒在地                   79'第79分钟，皮尔洛左侧开出角球，博格巴在门前6米处头球稍稍高出
81'哈维任意球斜传禁区，第一点被尤文球员解围出禁区                   79'第79分钟，皮尔洛左侧开出角球，博格巴在门前6米处头球稍稍高出
82'巴萨前场拿球，再过顶给到禁区找皮克，皮克的头球攻门，越过布冯，落在了球网顶端                   79'第79分钟，皮尔洛左侧开出角球，博格巴在门前6米处头球稍稍高出
82'留给尤文的时间还有差不多10分钟，还能扳平吗？[qiangda]                   79'第79分钟，皮尔洛左侧开出角球，博格巴在门前6米处头球稍稍高出
82'巴萨前场拿球，再过顶给到禁区找皮克，皮克的头球攻门，越过布冯，落在了球网顶端                   82'第82分钟，拉基蒂奇传过顶球，皮克禁区右侧凌空打高
82'留给尤文的时间还有差不多10分钟，还能扳平吗？[qiangda]                   82'第82分钟，拉基蒂奇传过顶球，皮克禁区右侧凌空打高
83'巴萨后场抢断，阿尔维斯右路拿球强突，博格巴回防身后拉人犯规                   82'第82分钟，拉基蒂奇传过顶球，皮克禁区右侧凌空打高
83'苏亚雷斯前场背身拿球，博努奇身后上抢踢翻苏亚雷斯，犯规                   82'第82分钟，拉基蒂奇传过顶球，皮克禁区右侧凌空打高
84'阿尔维斯右路拿球，传中到后点                   82'第82分钟，拉基蒂奇传过顶球，皮克禁区右侧凌空打高
84'苏亚雷斯停球，调整一下，再起脚打门，打偏                   82'第82分钟，拉基蒂奇传过顶球，皮克禁区右侧凌空打高
84'尤文再次换人：14号洛伦特上，换下进球的9号莫拉塔                   82'第82分钟，拉基蒂奇传过顶球，皮克禁区右侧凌空打高
85'苏亚雷斯中场接应过顶球时和博努奇相撞倒地                   82'第82分钟，拉基蒂奇传过顶球，皮克禁区右侧凌空打高
85'苏亚雷斯受伤半天没起来，尤文将球踢出边线，队医和担架进场                   82'第82分钟，拉基蒂奇传过顶球，皮克禁区右侧凌空打高
89'尤文前场再攻，马尔基西奥的远射，被特尔施特根封堵出底线                   89'第89分钟，马尔基西奥外围左脚低射被特尔施特根封出右门柱
89'尤文获得右侧角球机会，开出第一点被巴萨球员解围                   89'第89分钟，马尔基西奥外围左脚低射被特尔施特根封出右门柱
89'禁区外围尤文球员再打，被禁区内的球员挡出                   89'第89分钟，马尔基西奥外围左脚低射被特尔施特根封出右门柱
90'巴萨控球，开始控制节奏啦                   89'第89分钟，马尔基西奥外围左脚低射被特尔施特根封出右门柱
90'下半场比赛补时5分钟                   89'第89分钟，马尔基西奥外围左脚低射被特尔施特根封出右门柱
90'巴萨换人：24号马蒂厄上，换下4号拉基蒂奇                   89'第89分钟，马尔基西奥外围左脚低射被特尔施特根封出右门柱
92'尤文前场进攻，特维斯的抽射，太正，被防守球员挡出                   89'第89分钟，马尔基西奥外围左脚低射被特尔施特根封出右门柱
92'内马尔左路背身拿球，利希施泰纳身后上抢，犯规                   89'第89分钟，马尔基西奥外围左脚低射被特尔施特根封出右门柱
92'博格巴右路拿球，斜传禁区给洛伦特                   89'第89分钟，马尔基西奥外围左脚低射被特尔施特根封出右门柱
52'梅西拿球，禁区左侧闪开角度直接打门，打高了一点点啊                   52'补时第7分钟，内马尔左路反击传中，佩德罗中路再分球，内马尔禁区左侧距门9米处左脚推进远角，3比1，他以10球追平梅西和C罗，并列本赛季欧冠射手王
53'阿尔维斯右路拿球，横传给到拉基蒂奇                   52'补时第7分钟，内马尔左路反击传中，佩德罗中路再分球，内马尔禁区左侧距门9米处左脚推进远角，3比1，他以10球追平梅西和C罗，并列本赛季欧冠射手王
53'拉基蒂奇的横传转移球找左侧的内马尔                   52'补时第7分钟，内马尔左路反击传中，佩德罗中路再分球，内马尔禁区左侧距门9米处左脚推进远角，3比1，他以10球追平梅西和C罗，并列本赛季欧冠射手王
53'内马尔脚下打滑，球被利希施泰纳拦截                   52'补时第7分钟，内马尔左路反击传中，佩德罗中路再分球，内马尔禁区左侧距门9米处左脚推进远角，3比1，他以10球追平梅西和C罗，并列本赛季欧冠射手王
53'内马尔前场逼抢，将球断掉，再传禁区，布冯将球拿到                   52'补时第7分钟，内马尔左路反击传中，佩德罗中路再分球，内马尔禁区左侧距门9米处左脚推进远角，3比1，他以10球追平梅西和C罗，并列本赛季欧冠射手王
53'尤文的进攻，莫拉塔右路拿球，强突内切                   52'补时第7分钟，内马尔左路反击传中，佩德罗中路再分球，内马尔禁区左侧距门9米处左脚推进远角，3比1，他以10球追平梅西和C罗，并列本赛季欧冠射手王
54'马斯切拉诺回防身后上抢，将球拦截，再回敲特尔施特根                   52'补时第7分钟，内马尔左路反击传中，佩德罗中路再分球，内马尔禁区左侧距门9米处左脚推进远角，3比1，他以10球追平梅西和C罗，并列本赛季欧冠射手王
55'皮克后场拿球，莫拉塔的逼抢时将球碰出了边线                   52'补时第7分钟，内马尔左路反击传中，佩德罗中路再分球，内马尔禁区左侧距门9米处左脚推进远角，3比1，他以10球追平梅西和C罗，并列本赛季欧冠射手王
55'尤文进球啦！！！                   52'补时第7分钟，内马尔左路反击传中，佩德罗中路再分球，内马尔禁区左侧距门9米处左脚推进远角，3比1，他以10球追平梅西和C罗，并列本赛季欧冠射手王
55'莫拉塔，补射破门啦！！！1                   52'补时第7分钟，内马尔左路反击传中，佩德罗中路再分球，内马尔禁区左侧距门9米处左脚推进远角，3比1，他以10球追平梅西和C罗，并列本赛季欧冠射手王
