5'祎凡大脚往前开~                   5'第5分钟长春队右路长传，杀入禁区的莫雷罗稍慢一步，被李帅先行拿住皮球
23'亚泰绝好的机会也没能把握住                   22'第22分钟长春队险些进球，范晓冬右路送出好球，布鲁诺高速跟进，近门顶一个反弹球，但皮球竟然偏出界外
23'李帅球门球开球失误了                   22'第22分钟长春队险些进球，范晓冬右路送出好球，布鲁诺高速跟进，近门顶一个反弹球，但皮球竟然偏出界外
23'因为腹股沟的受伤，开球开不远                   22'第22分钟长春队险些进球，范晓冬右路送出好球，布鲁诺高速跟进，近门顶一个反弹球，但皮球竟然偏出界外
24'亚泰左边路传中~裁判吹哨了                   22'第22分钟长春队险些进球，范晓冬右路送出好球，布鲁诺高速跟进，近门顶一个反弹球，但皮球竟然偏出界外
24'球在飞行过程中已经出了底线                   22'第22分钟长春队险些进球，范晓冬右路送出好球，布鲁诺高速跟进，近门顶一个反弹球，但皮球竟然偏出界外
24'亚泰左边路传中~裁判吹哨了                   24'第24分钟范晓冬底线处把球传出，莫雷罗推射球进，但哨声响起，裁判判范晓冬是在界外把球踢入
24'球在飞行过程中已经出了底线                   24'第24分钟范晓冬底线处把球传出，莫雷罗推射球进，但哨声响起，裁判判范晓冬是在界外把球踢入
26'裁判突然中断比赛~                   24'第24分钟范晓冬底线处把球传出，莫雷罗推射球进，但哨声响起，裁判判范晓冬是在界外把球踢入
26'跑向李帅~警告了对方不要拖延时间                   24'第24分钟范晓冬底线处把球传出，莫雷罗推射球进，但哨声响起，裁判判范晓冬是在界外把球踢入
26'布鲁诺禁区左侧往里吊~~~                   24'第24分钟范晓冬底线处把球传出，莫雷罗推射球进，但哨声响起，裁判判范晓冬是在界外把球踢入
26'莫雷罗的头球攻门~~~也偏了                   24'第24分钟范晓冬底线处把球传出，莫雷罗推射球进，但哨声响起，裁判判范晓冬是在界外把球踢入
27'这两次头球机会都不错                   24'第24分钟范晓冬底线处把球传出，莫雷罗推射球进，但哨声响起，裁判判范晓冬是在界外把球踢入
27'只能怪皮球太滑了，没能顶正                   24'第24分钟范晓冬底线处把球传出，莫雷罗推射球进，但哨声响起，裁判判范晓冬是在界外把球踢入
27'马季奇在中场阻截犯规                   24'第24分钟范晓冬底线处把球传出，莫雷罗推射球进，但哨声响起，裁判判范晓冬是在界外把球踢入
28'别奕难 ：让比赛顺利进行，裁判不要做主力好不好？---目前位置没什么毛病                   28'第28分钟长春队左路长传，莫雷诺飞身冲顶正好被李帅扑住
28'申花这段时间被压制得厉害                   28'第28分钟长春队左路长传，莫雷诺飞身冲顶正好被李帅扑住
28'不过亚泰刚才也出现了停球失误                   28'第28分钟长春队左路长传，莫雷诺飞身冲顶正好被李帅扑住
29'申花前场的边线球，开出来之后就被断了                   28'第28分钟长春队左路长传，莫雷诺飞身冲顶正好被李帅扑住
29'又是头球~~~                   28'第28分钟长春队左路长传，莫雷诺飞身冲顶正好被李帅扑住
29'布鲁诺~~                   28'第28分钟长春队左路长传，莫雷诺飞身冲顶正好被李帅扑住
30'陶金前点冒顶了~布鲁诺的头球冲顶太正啦                   28'第28分钟长春队左路长传，莫雷诺飞身冲顶正好被李帅扑住
30'李帅将球扑住                   28'第28分钟长春队左路长传，莫雷诺飞身冲顶正好被李帅扑住
30'亚泰连续错过了三次机会                   28'第28分钟长春队左路长传，莫雷诺飞身冲顶正好被李帅扑住
30'马丁斯接应曹赟定的挑传~越位了                   28'第28分钟长春队左路长传，莫雷诺飞身冲顶正好被李帅扑住
43'曹赟定直塞~逼得了一个角球                   43'第43分钟长春队进球，蒋哲右路斜传，莫雷罗接球后底线附近传中，中路申花头球解围不远，裴帅在禁区左侧头球点下球后，随即起脚大力斜射，球进，1比0，长春领先
43'角球开出~前点被范晓冬头球解围                   43'第43分钟长春队进球，蒋哲右路斜传，莫雷罗接球后底线附近传中，中路申花头球解围不远，裴帅在禁区左侧头球点下球后，随即起脚大力斜射，球进，1比0，长春领先
43'申花还在控球~~                   43'第43分钟长春队进球，蒋哲右路斜传，莫雷罗接球后底线附近传中，中路申花头球解围不远，裴帅在禁区左侧头球点下球后，随即起脚大力斜射，球进，1比0，长春领先
43'王寿挺的传中直接传给了对方门将祎凡                   43'第43分钟长春队进球，蒋哲右路斜传，莫雷罗接球后底线附近传中，中路申花头球解围不远，裴帅在禁区左侧头球点下球后，随即起脚大力斜射，球进，1比0，长春领先
44'进了~~~                   43'第43分钟长春队进球，蒋哲右路斜传，莫雷罗接球后底线附近传中，中路申花头球解围不远，裴帅在禁区左侧头球点下球后，随即起脚大力斜射，球进，1比0，长春领先
44'裴帅~~~                   43'第43分钟长春队进球，蒋哲右路斜传，莫雷罗接球后底线附近传中，中路申花头球解围不远，裴帅在禁区左侧头球点下球后，随即起脚大力斜射，球进，1比0，长春领先
44'Gooooooooooooooooal~~~                   43'第43分钟长春队进球，蒋哲右路斜传，莫雷罗接球后底线附近传中，中路申花头球解围不远，裴帅在禁区左侧头球点下球后，随即起脚大力斜射，球进，1比0，长春领先
45'亚泰前场的断球反击~莫雷罗底线传中被对方后卫顶了一下~                   43'第43分钟长春队进球，蒋哲右路斜传，莫雷罗接球后底线附近传中，中路申花头球解围不远，裴帅在禁区左侧头球点下球后，随即起脚大力斜射，球进，1比0，长春领先
45'裴帅后排插上~~停球之后的左脚射门！禁区左侧小角度将球打入网窝                   43'第43分钟长春队进球，蒋哲右路斜传，莫雷罗接球后底线附近传中，中路申花头球解围不远，裴帅在禁区左侧头球点下球后，随即起脚大力斜射，球进，1比0，长春领先
45'这下亚泰重新掌握了主动                   43'第43分钟长春队进球，蒋哲右路斜传，莫雷罗接球后底线附近传中，中路申花头球解围不远，裴帅在禁区左侧头球点下球后，随即起脚大力斜射，球进，1比0，长春领先
46'另外一块场地，延边扳平了比分                   43'第43分钟长春队进球，蒋哲右路斜传，莫雷罗接球后底线附近传中，中路申花头球解围不远，裴帅在禁区左侧头球点下球后，随即起脚大力斜射，球进，1比0，长春领先
46'下半场开始~                   43'第43分钟长春队进球，蒋哲右路斜传，莫雷罗接球后底线附近传中，中路申花头球解围不远，裴帅在禁区左侧头球点下球后，随即起脚大力斜射，球进，1比0，长春领先
46'张笑非~左路下底传中                   43'第43分钟长春队进球，蒋哲右路斜传，莫雷罗接球后底线附近传中，中路申花头球解围不远，裴帅在禁区左侧头球点下球后，随即起脚大力斜射，球进，1比0，长春领先
46'裁判鸣哨了~                   43'第43分钟长春队进球，蒋哲右路斜传，莫雷罗接球后底线附近传中，中路申花头球解围不远，裴帅在禁区左侧头球点下球后，随即起脚大力斜射，球进，1比0，长春领先
46'莫雷罗被吹了危险动作，抬脚过高                   43'第43分钟长春队进球，蒋哲右路斜传，莫雷罗接球后底线附近传中，中路申花头球解围不远，裴帅在禁区左侧头球点下球后，随即起脚大力斜射，球进，1比0，长春领先
49'申花攻到前场，球丢了                   48'第48分钟金基熙一胳膊打在布鲁诺头上吃到黄牌
49'布鲁诺~带球被放倒                   48'第48分钟金基熙一胳膊打在布鲁诺头上吃到黄牌
49'亚泰获得了一个禁区左上角附近的定位球                   48'第48分钟金基熙一胳膊打在布鲁诺头上吃到黄牌
49'金基熙因这次犯规领到了一张黄牌                   48'第48分钟金基熙一胳膊打在布鲁诺头上吃到黄牌
50'布鲁诺自己来主罚                   48'第48分钟金基熙一胳膊打在布鲁诺头上吃到黄牌
50'传中到后点，反弹之后被耿晓峰扑出底线                   48'第48分钟金基熙一胳膊打在布鲁诺头上吃到黄牌
51'这球要是不扑，很有可能会打在立柱上                   48'第48分钟金基熙一胳膊打在布鲁诺头上吃到黄牌
51'裴帅角球传中，被对方顶出                   48'第48分钟金基熙一胳膊打在布鲁诺头上吃到黄牌
51'马丁斯背身护球，马季奇身后又犯规了                   48'第48分钟金基熙一胳膊打在布鲁诺头上吃到黄牌
53'场上有球员倒地受伤                   53'第53分钟长春连续进攻，蒋哲右路怒射，球中门柱弹出
53'李光跟王寿挺头碰头了                   53'第53分钟长春连续进攻，蒋哲右路怒射，球中门柱弹出
53'好在问题不大，比赛继续                   53'第53分钟长春连续进攻，蒋哲右路怒射，球中门柱弹出
53'申花的前场定位球                   53'第53分钟长春连续进攻，蒋哲右路怒射，球中门柱弹出
54'球开出来之后被断~                   53'第53分钟长春连续进攻，蒋哲右路怒射，球中门柱弹出
54'亚泰连续禁区内的射门~~~                   53'第53分钟长春连续进攻，蒋哲右路怒射，球中门柱弹出
54'蒋哲先是禁区右侧的外脚背抽射打在立柱上                   53'第53分钟长春连续进攻，蒋哲右路怒射，球中门柱弹出
55'球弹回之后布鲁诺胸部一停~左脚射门！打偏了                   53'第53分钟长春连续进攻，蒋哲右路怒射，球中门柱弹出
55'另外一块场地重庆扳平了比分                   53'第53分钟长春连续进攻，蒋哲右路怒射，球中门柱弹出
56'亚泰前场定位球机会                   53'第53分钟长春连续进攻，蒋哲右路怒射，球中门柱弹出
56'传入禁区~~杨博宇半转身抽射~~差点儿！！                   53'第53分钟长春连续进攻，蒋哲右路怒射，球中门柱弹出
56'亚泰下半场机会不少                   53'第53分钟长春连续进攻，蒋哲右路怒射，球中门柱弹出
56'申花被打得有些没有还手之力                   53'第53分钟长春连续进攻，蒋哲右路怒射，球中门柱弹出
55'球弹回之后布鲁诺胸部一停~左脚射门！打偏了                   55'第55分钟裴帅任意球开出，申花后卫再次头球偏软，从上港租借到长春的杨博宇凌空怒射稍偏
55'另外一块场地重庆扳平了比分                   55'第55分钟裴帅任意球开出，申花后卫再次头球偏软，从上港租借到长春的杨博宇凌空怒射稍偏
56'亚泰前场定位球机会                   55'第55分钟裴帅任意球开出，申花后卫再次头球偏软，从上港租借到长春的杨博宇凌空怒射稍偏
56'传入禁区~~杨博宇半转身抽射~~差点儿！！                   55'第55分钟裴帅任意球开出，申花后卫再次头球偏软，从上港租借到长春的杨博宇凌空怒射稍偏
56'亚泰下半场机会不少                   55'第55分钟裴帅任意球开出，申花后卫再次头球偏软，从上港租借到长春的杨博宇凌空怒射稍偏
56'申花被打得有些没有还手之力                   55'第55分钟裴帅任意球开出，申花后卫再次头球偏软，从上港租借到长春的杨博宇凌空怒射稍偏
58'申花左路直传打身后~                   55'第55分钟裴帅任意球开出，申花后卫再次头球偏软，从上港租借到长春的杨博宇凌空怒射稍偏
58'曹赟定速度有些慢~                   55'第55分钟裴帅任意球开出，申花后卫再次头球偏软，从上港租借到长春的杨博宇凌空怒射稍偏
58'天津又进球了，2比1                   55'第55分钟裴帅任意球开出，申花后卫再次头球偏软，从上港租借到长春的杨博宇凌空怒射稍偏
58'亚泰逼得了一个角球                   55'第55分钟裴帅任意球开出，申花后卫再次头球偏软，从上港租借到长春的杨博宇凌空怒射稍偏
72'卖火柴的水哥1：申花如果这样有点说不过去了---打得确实丑                   72'第72分钟伊斯梅洛夫中场拦截高迪时犯规吃到黄牌
72'下半场申花还没有给对方球门造成过什么威胁                   72'第72分钟伊斯梅洛夫中场拦截高迪时犯规吃到黄牌
73'熊飞边线附近停球失误~球从他脚边滑出界外                   72'第72分钟伊斯梅洛夫中场拦截高迪时犯规吃到黄牌
73'延边又进球了~2比1                   72'第72分钟伊斯梅洛夫中场拦截高迪时犯规吃到黄牌
74'这一生回忆里有你就足够 ：几队降级？---2个                   72'第72分钟伊斯梅洛夫中场拦截高迪时犯规吃到黄牌
74'申花要一次性换两名球员                   72'第72分钟伊斯梅洛夫中场拦截高迪时犯规吃到黄牌
75'换下了马丁斯，换上王赟                   72'第72分钟伊斯梅洛夫中场拦截高迪时犯规吃到黄牌
75'换下了郑凯木，换上了32号徐俊敏                   72'第72分钟伊斯梅洛夫中场拦截高迪时犯规吃到黄牌
84'裴帅的角球传中落点并不好                   84'第84分钟李光铲断王赟吃到黄牌
84'布鲁诺再打回来~~李光头球争顶                   84'第84分钟李光铲断王赟吃到黄牌
84'被门将拿到了                   84'第84分钟李光铲断王赟吃到黄牌
85'李光凶狠的滑铲~~踢到了对方球员的脚上                   84'第84分钟李光铲断王赟吃到黄牌
85'裁判掏出了一张黄牌，给了李光                   84'第84分钟李光铲断王赟吃到黄牌
86'亚泰用程长成换下了张笑非                   84'第84分钟李光铲断王赟吃到黄牌
86'常规时间还有4分钟                   84'第84分钟李光铲断王赟吃到黄牌
87'亚泰获得了一个前场边路定位球                   84'第84分钟李光铲断王赟吃到黄牌
87'传中没能制造出威胁                   84'第84分钟李光铲断王赟吃到黄牌
87'申花这个时候也无力反击啊                   84'第84分钟李光铲断王赟吃到黄牌
87'整个下半场他们就几乎没有什么攻势                   84'第84分钟李光铲断王赟吃到黄牌
88'莫雷罗越位位置回接~申花的后场定位球                   88'第88分钟长春右路任意球开到左侧，伊斯梅洛夫力压熊飞头球顶出界
88'李光边路拿球被放倒                   88'第88分钟长春右路任意球开到左侧，伊斯梅洛夫力压熊飞头球顶出界
89'定位球开出~~后点头球！                   88'第88分钟长春右路任意球开到左侧，伊斯梅洛夫力压熊飞头球顶出界
89'来自伊斯梅洛夫~~他的头球擦柱而出                   88'第88分钟长春右路任意球开到左侧，伊斯梅洛夫力压熊飞头球顶出界
89'布鲁诺又倒在了地上                   88'第88分钟长春右路任意球开到左侧，伊斯梅洛夫力压熊飞头球顶出界
90'队医进场了                   88'第88分钟长春右路任意球开到左侧，伊斯梅洛夫力压熊飞头球顶出界
90'亚泰再次换人                   88'第88分钟长春右路任意球开到左侧，伊斯梅洛夫力压熊飞头球顶出界
90'换下了布鲁诺~上来的是何超                   88'第88分钟长春右路任意球开到左侧，伊斯梅洛夫力压熊飞头球顶出界
91'下半场补时3分钟                   88'第88分钟长春右路任意球开到左侧，伊斯梅洛夫力压熊飞头球顶出界
91'亚泰要将比赛时间消磨殆尽                   88'第88分钟长春右路任意球开到左侧，伊斯梅洛夫力压熊飞头球顶出界
90'队医进场了                   90'第90分钟何超换下布鲁诺，第91分钟奥尔西奇换下李光
90'亚泰再次换人                   90'第90分钟何超换下布鲁诺，第91分钟奥尔西奇换下李光
90'换下了布鲁诺~上来的是何超                   90'第90分钟何超换下布鲁诺，第91分钟奥尔西奇换下李光
91'下半场补时3分钟                   90'第90分钟何超换下布鲁诺，第91分钟奥尔西奇换下李光
91'亚泰要将比赛时间消磨殆尽                   90'第90分钟何超换下布鲁诺，第91分钟奥尔西奇换下李光
92'亚泰换下了李光，换上的是奥尔西奇                   90'第90分钟何超换下布鲁诺，第91分钟奥尔西奇换下李光
92'绿城的比赛已经结束了                   90'第90分钟何超换下布鲁诺，第91分钟奥尔西奇换下李光
92'杭州绿城最终还是没有逃过降级的噩运                   90'第90分钟何超换下布鲁诺，第91分钟奥尔西奇换下李光
93'亚泰边线球尽量拖延时间                   90'第90分钟何超换下布鲁诺，第91分钟奥尔西奇换下李光
93'裁判给了蒋哲一张黄牌                   90'第90分钟何超换下布鲁诺，第91分钟奥尔西奇换下李光
93'亚泰边线球尽量拖延时间                   93'第93分钟蒋哲拖时间吃到黄牌
93'裁判给了蒋哲一张黄牌                   93'第93分钟蒋哲拖时间吃到黄牌
