1'上半场比赛开始                   1'切尔西第1分钟连续逼得角球
15'短传交给伊瓜因，伊瓜因拉球交给阿斯皮利奎塔，阿斯皮利奎塔再脚后跟传给伊瓜因，伊瓜因小角度劲射，球弹横梁下檐球进！                   14'第14分钟，若日尼奥传球，伊瓜因拉球转身突破本-米，阿斯皮利奎塔脚后跟再传，伊瓜因禁区右侧10码处小角度爆射上角入网，2-1
15'泰勒左侧的长传上来，阿斯皮利奎塔将球护出边线                   14'第14分钟，若日尼奥传球，伊瓜因拉球转身突破本-米，阿斯皮利奎塔脚后跟再传，伊瓜因禁区右侧10码处小角度爆射上角入网，2-1
16'伊瓜因打进这球后相当兴奋                   14'第14分钟，若日尼奥传球，伊瓜因拉球转身突破本-米，阿斯皮利奎塔脚后跟再传，伊瓜因禁区右侧10码处小角度爆射上角入网，2-1
16'若日尼奥交给奥多伊，回给若日尼奥                   14'第14分钟，若日尼奥传球，伊瓜因拉球转身突破本-米，阿斯皮利奎塔脚后跟再传，伊瓜因禁区右侧10码处小角度爆射上角入网，2-1
16'转移左侧的埃默森                   14'第14分钟，若日尼奥传球，伊瓜因拉球转身突破本-米，阿斯皮利奎塔脚后跟再传，伊瓜因禁区右侧10码处小角度爆射上角入网，2-1
16'交给齐克                   14'第14分钟，若日尼奥传球，伊瓜因拉球转身突破本-米，阿斯皮利奎塔脚后跟再传，伊瓜因禁区右侧10码处小角度爆射上角入网，2-1
16'再交给埃默森，分给阿扎尔                   14'第14分钟，若日尼奥传球，伊瓜因拉球转身突破本-米，阿斯皮利奎塔脚后跟再传，伊瓜因禁区右侧10码处小角度爆射上角入网，2-1
16'阿扎尔内切了一扣再分给边上的埃默森                   14'第14分钟，若日尼奥传球，伊瓜因拉球转身突破本-米，阿斯皮利奎塔脚后跟再传，伊瓜因禁区右侧10码处小角度爆射上角入网，2-1
16'回给阿扎尔                   14'第14分钟，若日尼奥传球，伊瓜因拉球转身突破本-米，阿斯皮利奎塔脚后跟再传，伊瓜因禁区右侧10码处小角度爆射上角入网，2-1
16'齐克回一下，阿扎尔分给埃默森                   14'第14分钟，若日尼奥传球，伊瓜因拉球转身突破本-米，阿斯皮利奎塔脚后跟再传，伊瓜因禁区右侧10码处小角度爆射上角入网，2-1
17'回给阿扎尔，转移右侧的阿斯皮利奎塔                   14'第14分钟，若日尼奥传球，伊瓜因拉球转身突破本-米，阿斯皮利奎塔脚后跟再传，伊瓜因禁区右侧10码处小角度爆射上角入网，2-1
17'直传，奥多伊传中                   14'第14分钟，若日尼奥传球，伊瓜因拉球转身突破本-米，阿斯皮利奎塔脚后跟再传，伊瓜因禁区右侧10码处小角度爆射上角入网，2-1
17'球到左肋部，阿扎尔交给齐克                   14'第14分钟，若日尼奥传球，伊瓜因拉球转身突破本-米，阿斯皮利奎塔脚后跟再传，伊瓜因禁区右侧10码处小角度爆射上角入网，2-1
17'再交给埃默森，回给齐克                   14'第14分钟，若日尼奥传球，伊瓜因拉球转身突破本-米，阿斯皮利奎塔脚后跟再传，伊瓜因禁区右侧10码处小角度爆射上角入网，2-1
17'回给路易斯，交给若日尼奥                   14'第14分钟，若日尼奥传球，伊瓜因拉球转身突破本-米，阿斯皮利奎塔脚后跟再传，伊瓜因禁区右侧10码处小角度爆射上角入网，2-1
17'伯恩利收得很靠后                   14'第14分钟，若日尼奥传球，伊瓜因拉球转身突破本-米，阿斯皮利奎塔脚后跟再传，伊瓜因禁区右侧10码处小角度爆射上角入网，2-1
17'埃默森左侧的传中，球直接出底线                   14'第14分钟，若日尼奥传球，伊瓜因拉球转身突破本-米，阿斯皮利奎塔脚后跟再传，伊瓜因禁区右侧10码处小角度爆射上角入网，2-1
