4'尤文图斯球员武齐尼奇大禁区中央尝试头球,可惜皮球稍稍偏出了右球门.给他传球的是贾凯里尼.                   4'开场4分钟，贾凯里尼右路传中，武齐尼奇力压奥邦纳头球偏出右门柱
43'尤文图斯球员皮尔洛拼抢犯规,对手获得控球权.                   41'第41分钟，武齐尼奇禁区内护球，博格巴拿球横趟突破夹防，巴沙倒地用手挡球被判极刑，不过罗基网开一面，没有向巴沙亮牌，否则巴沙将累计2张黄牌下场
49'尤文图斯球员博格巴球门线跟前尝试头球,可惜皮球稍稍高出球门.给他传球的是本特纳.                   49'第49分钟，武齐尼奇左路传中，本特纳头球摆渡，博格巴后点距门6米处头球高出
50'都灵球员比安奇拼抢犯规,对手获得控球权.                   49'第49分钟，武齐尼奇左路传中，本特纳头球摆渡，博格巴后点距门6米处头球高出
50'皮尔洛为尤文图斯赢得一个任意球.                   49'第49分钟，武齐尼奇左路传中，本特纳头球摆渡，博格巴后点距门6米处头球高出
51'射门!!!尤文图斯球员皮尔洛大禁区外右脚射门,被对方守门员横身扑出.给他传球的是乔文科.                   49'第49分钟，武齐尼奇左路传中，本特纳头球摆渡，博格巴后点距门6米处头球高出
52'切尔奇将球处理出底线,尤文图斯获得角球.                   49'第49分钟，武齐尼奇左路传中，本特纳头球摆渡，博格巴后点距门6米处头球高出
52'尤文图斯球员利西斯泰纳大禁区外右脚射门,被防守球员封堵.                   49'第49分钟，武齐尼奇左路传中，本特纳头球摆渡，博格巴后点距门6米处头球高出
52'奥邦纳将球处理出底线,尤文图斯获得角球.                   49'第49分钟，武齐尼奇左路传中，本特纳头球摆渡，博格巴后点距门6米处头球高出
52'尤文图斯球员博努奇大禁区中央尝试头球,可惜皮球稍稍高出球门.给他传球的是乔文科.                   49'第49分钟，武齐尼奇左路传中，本特纳头球摆渡，博格巴后点距门6米处头球高出
55'尤文图斯球员巴尔扎利大禁区外右脚射门,被防守球员封堵.                   54'第54分钟，乔文科右路左脚传中，但马尔基西奥和武齐尼奇两个点都没碰到球
56'比安奇为都灵赢得一个任意球.                   54'第54分钟，乔文科右路左脚传中，但马尔基西奥和武齐尼奇两个点都没碰到球
56'尤文图斯球员巴尔扎利拼抢犯规,对手获得控球权.                   54'第54分钟，乔文科右路左脚传中，但马尔基西奥和武齐尼奇两个点都没碰到球
57'进球啦！！！尤文图斯球员马尔基西奥球门线跟前头球,球从左上角飞进球门,球进了!助攻的是乔文科. 尤文图斯 1-0 都灵.                   54'第54分钟，乔文科右路左脚传中，但马尔基西奥和武齐尼奇两个点都没碰到球
67'都灵球员加齐拼抢犯规,对手获得控球权.                   67'尤文第67分钟扩大比分，武齐尼奇左路斜传禁区右侧，乔文科在门前13米处抽射穿过丹布罗西奥裆下入远角，2比0
67'乔文科为尤文图斯赢得一个任意球.                   67'尤文第67分钟扩大比分，武齐尼奇左路斜传禁区右侧，乔文科在门前13米处抽射穿过丹布罗西奥裆下入远角，2比0
67'进球啦！！！尤文图斯球员乔文科大禁区右侧右脚射门,球从左下角飞进球门,球进了!助攻的是武齐尼奇. 尤文图斯 2-0 都灵.                   67'尤文第67分钟扩大比分，武齐尼奇左路斜传禁区右侧，乔文科在门前13米处抽射穿过丹布罗西奥裆下入远角，2比0
69'射门!!!都灵球员切尔奇大禁区外左脚射门,被对方守门员横身扑出.给他传球的是桑塔纳.                   67'尤文第67分钟扩大比分，武齐尼奇左路斜传禁区右侧，乔文科在门前13米处抽射穿过丹布罗西奥裆下入远角，2比0
70'射门!!!尤文图斯球员博格巴大禁区中央头球,被对方守门员横身扑出.给他传球的是武齐尼奇.                   67'尤文第67分钟扩大比分，武齐尼奇左路斜传禁区右侧，乔文科在门前13米处抽射穿过丹布罗西奥裆下入远角，2比0
70'德安布罗西奥将球处理出底线,尤文图斯获得角球.                   67'尤文第67分钟扩大比分，武齐尼奇左路斜传禁区右侧，乔文科在门前13米处抽射穿过丹布罗西奥裆下入远角，2比0
70'尤文图斯球员乔文科一脚直塞球给武齐尼奇,但是边裁举旗显示后者已经越位.                   67'尤文第67分钟扩大比分，武齐尼奇左路斜传禁区右侧，乔文科在门前13米处抽射穿过丹布罗西奥裆下入远角，2比0
74'射门!!!尤文图斯球员本特纳球门线跟前右脚射门,被对方守门员横身扑出.给他传球的是马尔基西奥.                   74'第74分钟，武齐尼奇左路右肩垫入禁区，马尔基西奥前点凌空垫传，本特纳在门前8米处凌空弹射被吉莱扑出底线
76'达尔米安将球处理出底线,尤文图斯获得角球.                   74'第74分钟，武齐尼奇左路右肩垫入禁区，马尔基西奥前点凌空垫传，本特纳在门前8米处凌空弹射被吉莱扑出底线
76'尤文图斯球员利西斯泰纳大禁区外尝试右脚射门,可惜皮球高出球门.给他传球的是乔文科.                   74'第74分钟，武齐尼奇左路右肩垫入禁区，马尔基西奥前点凌空垫传，本特纳在门前8米处凌空弹射被吉莱扑出底线
79'尤文图斯换人,马特里换下乔文科                   79'第79分钟，桑塔纳中路反击，巴尔扎利手挡球逃过惩罚，否则可能两黄下场，武齐尼奇向裁判说了些什么，结果吃到黄牌
80'达尔米安为都灵赢得一个任意球.                   79'第79分钟，桑塔纳中路反击，巴尔扎利手挡球逃过惩罚，否则可能两黄下场，武齐尼奇向裁判说了些什么，结果吃到黄牌
80'尤文图斯球员武齐尼奇拼抢犯规,对手获得控球权.                   79'第79分钟，桑塔纳中路反击，巴尔扎利手挡球逃过惩罚，否则可能两黄下场，武齐尼奇向裁判说了些什么，结果吃到黄牌
80'黄牌！尤文图斯球员武齐尼奇因为恶意犯规,被主裁判出示黄牌.                   79'第79分钟，桑塔纳中路反击，巴尔扎利手挡球逃过惩罚，否则可能两黄下场，武齐尼奇向裁判说了些什么，结果吃到黄牌
88'射门!!!尤文图斯球员武齐尼奇大禁区左侧右脚射门,被对方守门员横身扑出.给他传球的是马特里.                   88'第88分钟，武齐尼奇左路吊射被吉莱得到
90'+3'下半场结束,尤文图斯 3-0 都灵                   88'第88分钟，武齐尼奇左路吊射被吉莱得到
