11'莫雷诺和王长庆后场切传配合失误                   11'第11分钟青岛前锋布鲁诺前场带球强突中突然起远射打偏
53'中能快速反击                   50'第50分钟青岛姚江山开出左路角球，前点栗鹏头球摆渡到后点，朱建荣精彩的侧身凌空抽射中柱弹出
59'中能后场解围失误                   58'第58分钟申花外围精彩塞球到小禁区，梅尔坎拦在莫雷诺之前解围出界
60'达迪禁区左侧停球，传中靠门前，被刘震理没收                   58'第58分钟申花外围精彩塞球到小禁区，梅尔坎拦在莫雷诺之前解围出界
60'王长庆右路上来，将球交给中路的托兰佐                   58'第58分钟申花外围精彩塞球到小禁区，梅尔坎拦在莫雷诺之前解围出界
61'托兰佐直塞禁区，梅尔坎抢在莫雷诺之前将球解围                   58'第58分钟申花外围精彩塞球到小禁区，梅尔坎拦在莫雷诺之前解围出界
61'柏佳骏左路跟进，直传脚法没掌握好，将球传出了边线外                   58'第58分钟申花外围精彩塞球到小禁区，梅尔坎拦在莫雷诺之前解围出界
63'李建滨后场起球，落点太深，球被刘震理拿到                   63'第63分钟，申花第一次换人，姜坤换下战怡麟
63'布鲁诺前场中路传球大了，柏佳骏第一时间将球解围出了边线                   63'第63分钟，申花第一次换人，姜坤换下战怡麟
65'中能前场右侧投掷球进场                   63'第63分钟，申花第一次换人，姜坤换下战怡麟
65'卡巴雷罗顶到第一点，但没人接应                   63'第63分钟，申花第一次换人，姜坤换下战怡麟
65'申花换人：姜坤上，换下战怡麟                   63'第63分钟，申花第一次换人，姜坤换下战怡麟
67'戴琳后场犯规                   66'第66分钟托兰佐左路传中，达迪飞身冲顶，但这次还是被梅尔坎抢先顶出
67'中能禁区前沿偏左获得任意球机会                   66'第66分钟托兰佐左路传中，达迪飞身冲顶，但这次还是被梅尔坎抢先顶出
68'布鲁诺开出，直接打门，球被王大雷拿到                   66'第66分钟托兰佐左路传中，达迪飞身冲顶，但这次还是被梅尔坎抢先顶出
68'柏佳骏左路传中，达迪包抄打门偏了                   66'第66分钟托兰佐左路传中，达迪飞身冲顶，但这次还是被梅尔坎抢先顶出
69'莫雷诺进球了...                   66'第66分钟托兰佐左路传中，达迪飞身冲顶，但这次还是被梅尔坎抢先顶出
69'哈蒂布右边晃开防守，随即右脚传中，莫雷诺后点冲顶得手！                   66'第66分钟托兰佐左路传中，达迪飞身冲顶，但这次还是被梅尔坎抢先顶出
69'莫雷诺脱衣庆祝领到黄牌                   66'第66分钟托兰佐左路传中，达迪飞身冲顶，但这次还是被梅尔坎抢先顶出
72'托兰佐左路搓球禁区，梅尔坎抢在达迪身前头球解围                   72'比赛气氛陡然紧张起来，落后的青岛必须大举进攻，第72分钟布鲁诺禁区外怒射打在戴琳身上弹出
73'托兰佐中场横传失误                   72'比赛气氛陡然紧张起来，落后的青岛必须大举进攻，第72分钟布鲁诺禁区外怒射打在戴琳身上弹出
73'中能就地组织进攻                   72'比赛气氛陡然紧张起来，落后的青岛必须大举进攻，第72分钟布鲁诺禁区外怒射打在戴琳身上弹出
73'哈蒂布回防，拦截时绊倒了人，犯规                   72'比赛气氛陡然紧张起来，落后的青岛必须大举进攻，第72分钟布鲁诺禁区外怒射打在戴琳身上弹出
75'朱建荣右边路拿球突破，花活做多了点                   72'比赛气氛陡然紧张起来，落后的青岛必须大举进攻，第72分钟布鲁诺禁区外怒射打在戴琳身上弹出
75'戴琳上来轻松拦截                   72'比赛气氛陡然紧张起来，落后的青岛必须大举进攻，第72分钟布鲁诺禁区外怒射打在戴琳身上弹出
79'莫雷诺和托兰佐中场配合推进，姚江山在无球情况下踩踏前者犯规                   79'第79分钟双方同时换人，申花用斯基亚维换下莫雷诺，中能用朱世玉换下宋文杰
79'中能前场大范围转移，申花全线回防                   79'第79分钟双方同时换人，申花用斯基亚维换下莫雷诺，中能用朱世玉换下宋文杰
80'申花换人：斯基亚维上，换下托兰佐                   79'第79分钟双方同时换人，申花用斯基亚维换下莫雷诺，中能用朱世玉换下宋文杰
82'换下的莫雷诺                   79'第79分钟双方同时换人，申花用斯基亚维换下莫雷诺，中能用朱世玉换下宋文杰
85'申花换人：曹赟定上，换下哈蒂布                   85'第85分钟戴琳远射太正
85'中能换人：朱世玉上，换下宋文杰                   85'第85分钟戴琳远射太正
85'曹赟定左边路过人，右脚传中，球被刘震理拿到                   85'第85分钟戴琳远射太正
86'曹赟定中场横敲，托兰佐继续横塞，戴琳跟进，左脚抽射，没有打上力量                   85'第85分钟戴琳远射太正
87'用户3603413603[山东青岛]没有了张外龙，还谈什么七秒理论？郑龙走了，张外龙走了，青岛一下子被打回保级队伍原型                   85'第85分钟戴琳远射太正
87'看新的教练班子的战术吧                   85'第85分钟戴琳远射太正
88'托兰佐左边路送出直塞，达迪拿球单刀。横传姜坤，想过门将，被刘震理拦下                    85'第85分钟戴琳远射太正
88'王寿挺拼抢中受伤倒地，腰部被撞了一下                   85'第85分钟戴琳远射太正
90'进球视频-哈蒂布右脚传中 莫雷诺后点冲顶破门                   90'第90分钟戴琳拦截梅尔坎犯规，姚江山任意球划过禁区，许景杰后点飞身铲射没碰到球
91'下半场补时3分钟                   90'第90分钟戴琳拦截梅尔坎犯规，姚江山任意球划过禁区，许景杰后点飞身铲射没碰到球
92'中能前场左路任意球传中，后点一片混乱                   90'第90分钟戴琳拦截梅尔坎犯规，姚江山任意球划过禁区，许景杰后点飞身铲射没碰到球
92'球直接出了底线                   90'第90分钟戴琳拦截梅尔坎犯规，姚江山任意球划过禁区，许景杰后点飞身铲射没碰到球
93'姚江山后场护球，柏佳骏身后逼抢，主裁示意柏佳骏冲撞犯规                   90'第90分钟戴琳拦截梅尔坎犯规，姚江山任意球划过禁区，许景杰后点飞身铲射没碰到球
48'伸花反击，达迪中场附近拿球，直接远距离吊射                   48'比赛补时3分钟后结束，申花主场艰难的1比0战胜青岛中能，取得宝贵的三分
48'学小贝吗？球偏出很多......                   48'比赛补时3分钟后结束，申花主场艰难的1比0战胜青岛中能，取得宝贵的三分
48'戴琳后场起球，莫雷诺头球摆渡，刘震理出击将球没收                   48'比赛补时3分钟后结束，申花主场艰难的1比0战胜青岛中能，取得宝贵的三分
50'中能右边路直传，宋文杰拿球强行突破                   48'比赛补时3分钟后结束，申花主场艰难的1比0战胜青岛中能，取得宝贵的三分
50'柏佳骏将球铲出边线                   48'比赛补时3分钟后结束，申花主场艰难的1比0战胜青岛中能，取得宝贵的三分
51'宋文杰前场头球摆渡，布鲁诺第一下没停好球                   48'比赛补时3分钟后结束，申花主场艰难的1比0战胜青岛中能，取得宝贵的三分
