3'左侧郑涛卡住身位，把球护出了边线，身后的李星灿没有办法                   3'第3分钟吴庆抹入禁区，摆脱防守强行下底横扫门前滑门而出
52'张鹭门球发出                   50'下半场易边再战，第50分钟彭欣力在中场处飞铲张修维被黄牌警告
52'右路给到张诚，大脚往前走                   50'下半场易边再战，第50分钟彭欣力在中场处飞铲张修维被黄牌警告
52'刘欢断下来，也是一记长传                   50'下半场易边再战，第50分钟彭欣力在中场处飞铲张修维被黄牌警告
52'左侧张鹭出击到禁区外，踢出边线                   50'下半场易边再战，第50分钟彭欣力在中场处飞铲张修维被黄牌警告
52'吴庆界外球给到刘欢                   50'下半场易边再战，第50分钟彭欣力在中场处飞铲张修维被黄牌警告
53'一记传中过来，给大了，直接过桥                   50'下半场易边再战，第50分钟彭欣力在中场处飞铲张修维被黄牌警告
53'到了右侧，郑涛一个亮鞋底的飞铲，踢翻了郑达伦                   50'下半场易边再战，第50分钟彭欣力在中场处飞铲张修维被黄牌警告
53'郑涛吃到黄牌                   50'下半场易边再战，第50分钟彭欣力在中场处飞铲张修维被黄牌警告
53'郑涛还对裁判不满，认为我没踢着对方啊、、但是这个动作，绝对还是够的上吃牌的                   50'下半场易边再战，第50分钟彭欣力在中场处飞铲张修维被黄牌警告
60'吃球的部位，太低了，没压住                   60'第60分钟卡纳瓦罗做出调整，王永珀上场换下小将张修维
60'张鹭大脚开起来                   60'第60分钟卡纳瓦罗做出调整，王永珀上场换下小将张修维
60'中圈左侧，拼抢下来，权健的球员碰出界外                   60'第60分钟卡纳瓦罗做出调整，王永珀上场换下小将张修维
60'力帆给出来，找小摩托，小范围缠斗                   60'第60分钟卡纳瓦罗做出调整，王永珀上场换下小将张修维
60'斜传禁区左侧的吴庆，调整之后，突施冷箭                   60'第60分钟卡纳瓦罗做出调整，王永珀上场换下小将张修维
61'球是被李星灿奋力封堵出来                   60'第60分钟卡纳瓦罗做出调整，王永珀上场换下小将张修维
61'李星灿应声倒地了。。                   60'第60分钟卡纳瓦罗做出调整，王永珀上场换下小将张修维
61'李星灿倒地不起，慢镜头来看，这球是打在了他的膝关节。                   60'第60分钟卡纳瓦罗做出调整，王永珀上场换下小将张修维
62'这种封堵踢伤膝关节的还真不多见，，估计问题不会大                   60'第60分钟卡纳瓦罗做出调整，王永珀上场换下小将张修维
62'李星灿缓解一下，继续战斗                   60'第60分钟卡纳瓦罗做出调整，王永珀上场换下小将张修维
62'米洛维奇后场拿球，右侧斜传被张诚碰出边线                   60'第60分钟卡纳瓦罗做出调整，王永珀上场换下小将张修维
62'界外球给出，中路争抢，连续的拼抢，维特塞尔断下来                   60'第60分钟卡纳瓦罗做出调整，王永珀上场换下小将张修维
62'郑涛逼抢把球清理出去                   60'第60分钟卡纳瓦罗做出调整，王永珀上场换下小将张修维
63'权健左侧进攻，赵旭日和王维成拼抢做一团                   60'第60分钟卡纳瓦罗做出调整，王永珀上场换下小将张修维
63'王维成一脚蹬踏，犯规了                   60'第60分钟卡纳瓦罗做出调整，王永珀上场换下小将张修维
63'赵旭日一笑了之，心想，小伙，我年轻时候比你狠多了。。我可是凶悍型后腰                   60'第60分钟卡纳瓦罗做出调整，王永珀上场换下小将张修维
63'定位球长传，前场给到帕托，右路再分边                   60'第60分钟卡纳瓦罗做出调整，王永珀上场换下小将张修维
46'这球部位没有吃好                   46'1分钟后吴庆禁区外大力抽射被李兴灿挡出
46'上半场补时2分钟                   46'1分钟后吴庆禁区外大力抽射被李兴灿挡出
46'邓小飞大脚开起来                   46'1分钟后吴庆禁区外大力抽射被李兴灿挡出
46'中圈附近，权健争抢头球犯规了                   46'1分钟后吴庆禁区外大力抽射被李兴灿挡出
46'重庆给到中路小摩托，低球斜传                   46'1分钟后吴庆禁区外大力抽射被李兴灿挡出
46'左路彭欣力上来，一记传中到门前                   46'1分钟后吴庆禁区外大力抽射被李兴灿挡出
46'禁区内刘奕鸣大脚挡出                   46'1分钟后吴庆禁区外大力抽射被李兴灿挡出
47'外围小摩托再次得球，交给身边的丁捷                   46'1分钟后吴庆禁区外大力抽射被李兴灿挡出
47'停稳，右脚搓起来，45度吊入禁区                   46'1分钟后吴庆禁区外大力抽射被李兴灿挡出
47'直接是后点传大了，飞出底线                   46'1分钟后吴庆禁区外大力抽射被李兴灿挡出
47'张鹭大脚开起来                   46'1分钟后吴庆禁区外大力抽射被李兴灿挡出
47'双方中场血拼，郑达伦被对方撞倒在地                   46'1分钟后吴庆禁区外大力抽射被李兴灿挡出
47'权健后场定位球，给到身前帕托                   46'1分钟后吴庆禁区外大力抽射被李兴灿挡出
