6'奥斯克前场和莫塞斯的撞墙配合                   6'第6分钟，布里顿禁区前对奥斯卡犯规，巴西人亲自主罚25码处任意球被人墙挡出
13'阿扎尔这个角球质量很高，托雷斯的攻门迆很不错                   12'第12分钟，摩西突入禁区左侧被蒙克铲断解围，阿扎尔开出角球，托雷斯前点头球攻门被布里顿在门线前挡出
14'埃尔南德斯中场拿球斜传给到右路的劳特里奇                   12'第12分钟，摩西突入禁区左侧被蒙克铲断解围，阿扎尔开出角球，托雷斯前点头球攻门被布里顿在门线前挡出
14'劳特里奇拿球，45度斜传球到禁区                   12'第12分钟，摩西突入禁区左侧被蒙克铲断解围，阿扎尔开出角球，托雷斯前点头球攻门被布里顿在门线前挡出
14'米楚插上的抢点攻门，更像后卫解围啊                   12'第12分钟，摩西突入禁区左侧被蒙克铲断解围，阿扎尔开出角球，托雷斯前点头球攻门被布里顿在门线前挡出
15'米楚这脚攻门有失水准，射门怎么能正面玩倒勾了                   12'第12分钟，摩西突入禁区左侧被蒙克铲断解围，阿扎尔开出角球，托雷斯前点头球攻门被布里顿在门线前挡出
15'科尔前场传球失误，劳特里奇抢断                   12'第12分钟，摩西突入禁区左侧被蒙克铲断解围，阿扎尔开出角球，托雷斯前点头球攻门被布里顿在门线前挡出
18'德古斯曼角球开到禁区，第一点被伊万诺维奇解围                   18'第18分钟，德-古兹曼开出角球，蒙克头球顶偏
18'德古斯曼右路拿到第二落点，再次起球到禁区                   18'第18分钟，德-古兹曼开出角球，蒙克头球顶偏
18'不过还是没能形成威胁                   18'第18分钟，德-古兹曼开出角球，蒙克头球顶偏
19'莫塞斯后场拿球，兰吉尔回防身后拉人犯规                   18'第18分钟，德-古兹曼开出角球，蒙克头球顶偏
19'切尔西后场长传球到对方禁区弧顶，威廉姆斯头球解围                   18'第18分钟，德-古兹曼开出角球，蒙克头球顶偏
19'阿扎尔得到第二落点，禁区弧顶拔脚怒射，可惜放了飞机                   18'第18分钟，德-古兹曼开出角球，蒙克头球顶偏
21'斯旺西中场传接配合，米克尔和阿扎尔围抢，迫使斯旺西将球踢回后场控制                   18'第18分钟，德-古兹曼开出角球，蒙克头球顶偏
21'布林顿中场拿球塞直线打后卫身后                   18'第18分钟，德-古兹曼开出角球，蒙克头球顶偏
21'可惜力量过大，米楚转身时候，切赫已经出来将球控制                   18'第18分钟，德-古兹曼开出角球，蒙克头球顶偏
26'随着比赛的深入，切尔西又慢慢的将节奏控制在了自己的手里                   26'第26分钟，托雷斯传球，摩西禁区右侧小角度传射被特雷梅尔勉强扑出，托雷斯小禁区边缘外缺乏力量的头球攻门正入特雷梅尔下怀
26'托雷斯前场拿球突入禁区的一脚打门被特里梅尔扑出                   26'第26分钟，托雷斯传球，摩西禁区右侧小角度传射被特雷梅尔勉强扑出，托雷斯小禁区边缘外缺乏力量的头球攻门正入特雷梅尔下怀
26'托雷斯跟上头球补射，没顶上力量，特里梅尔将球拿到                   26'第26分钟，托雷斯传球，摩西禁区右侧小角度传射被特雷梅尔勉强扑出，托雷斯小禁区边缘外缺乏力量的头球攻门正入特雷梅尔下怀
27'斯旺西右路的反击，边路传中到禁区                   26'第26分钟，托雷斯传球，摩西禁区右侧小角度传射被特雷梅尔勉强扑出，托雷斯小禁区边缘外缺乏力量的头球攻门正入特雷梅尔下怀
27'米楚和卡希尔争顶，球弹到了戴维斯脚下                   26'第26分钟，托雷斯传球，摩西禁区右侧小角度传射被特雷梅尔勉强扑出，托雷斯小禁区边缘外缺乏力量的头球攻门正入特雷梅尔下怀
28'戴维斯拿球一扣，起脚打门被挡出                   26'第26分钟，托雷斯传球，摩西禁区右侧小角度传射被特雷梅尔勉强扑出，托雷斯小禁区边缘外缺乏力量的头球攻门正入特雷梅尔下怀
28'中路插上的德古斯曼迎球怒射，米克尔倒地将球挡出                   26'第26分钟，托雷斯传球，摩西禁区右侧小角度传射被特雷梅尔勉强扑出，托雷斯小禁区边缘外缺乏力量的头球攻门正入特雷梅尔下怀
29'切尔西中场传球再次失误，斯旺西的反击                   26'第26分钟，托雷斯传球，摩西禁区右侧小角度传射被特雷梅尔勉强扑出，托雷斯小禁区边缘外缺乏力量的头球攻门正入特雷梅尔下怀
29'斯旺西右路进攻，再次赢得角球                   26'第26分钟，托雷斯传球，摩西禁区右侧小角度传射被特雷梅尔勉强扑出，托雷斯小禁区边缘外缺乏力量的头球攻门正入特雷梅尔下怀
29'德古斯曼角球开到前点，米楚的头球顶高                   26'第26分钟，托雷斯传球，摩西禁区右侧小角度传射被特雷梅尔勉强扑出，托雷斯小禁区边缘外缺乏力量的头球攻门正入特雷梅尔下怀
37'莫塞斯禁区线上短传给到阿扎尔                   37'第37分钟，布里顿背后铲倒阿扎尔被罚黄牌
37'阿扎尔禁区内背身拿球转身，可惜转身趟球过大，被特里梅尔没收                   37'第37分钟，布里顿背后铲倒阿扎尔被罚黄牌
37'阿扎尔前场和布林顿的争抢中，被后者直接铲翻在地                   37'第37分钟，布里顿背后铲倒阿扎尔被罚黄牌
38'布林顿被裁判出示黄牌警告                   37'第37分钟，布里顿背后铲倒阿扎尔被罚黄牌
38'切尔西也是获得了前场任意球机会                   37'第37分钟，布里顿背后铲倒阿扎尔被罚黄牌
38'位置在禁区右上角，距离球门28米左右                   37'第37分钟，布里顿背后铲倒阿扎尔被罚黄牌
39'阿扎尔任意球挑传后点，卡希尔头球攻门顶偏                   37'第37分钟，布里顿背后铲倒阿扎尔被罚黄牌
39'阿扎尔禁区内接应科尔的传球，威廉姆斯上抢                   37'第37分钟，布里顿背后铲倒阿扎尔被罚黄牌
40'阿扎尔倒在禁区，球出了底线，裁判给了斯旺西门球                   37'第37分钟，布里顿背后铲倒阿扎尔被罚黄牌
40'阿兹皮里库塔右路的防守蹬踏犯规                   37'第37分钟，布里顿背后铲倒阿扎尔被罚黄牌
40'弗瑞恩德认为阿兹皮里库塔动作很危险，向其出示了黄牌警告                   37'第37分钟，布里顿背后铲倒阿扎尔被罚黄牌
50'阿扎尔左路拿球横带至禁区弧顶，拔腿怒射，特里梅尔将球扑出                   50'第50分钟，摩西传球，阿扎尔左路内切后禁区边缘外劲射被特雷梅尔没收
50'托雷斯拿球挑传门前，莫塞斯包抄头球，可惜顶偏                   50'第50分钟，摩西传球，阿扎尔左路内切后禁区边缘外劲射被特雷梅尔没收
51'下半场开始，切尔西的进攻明显要强于上半场，但需要注意防守哦                   50'第50分钟，摩西传球，阿扎尔左路内切后禁区边缘外劲射被特雷梅尔没收
51'斯旺西本场比赛防守反击的战术很明显，之前已经给了切尔西一切危险的信号啦                   50'第50分钟，摩西传球，阿扎尔左路内切后禁区边缘外劲射被特雷梅尔没收
52'伊万诺维奇右路拿球直传给到托雷斯                   50'第50分钟，摩西传球，阿扎尔左路内切后禁区边缘外劲射被特雷梅尔没收
52'托雷斯背身拿球被对方球员撞倒，可惜裁判还是没理会                   50'第50分钟，摩西传球，阿扎尔左路内切后禁区边缘外劲射被特雷梅尔没收
52'斯旺西的反击，球到了右路                   50'第50分钟，摩西传球，阿扎尔左路内切后禁区边缘外劲射被特雷梅尔没收
53'科尔及时回防，在戴维斯之前将球铲出了底线                   50'第50分钟，摩西传球，阿扎尔左路内切后禁区边缘外劲射被特雷梅尔没收
53'斯旺西获得右侧角球机会                   50'第50分钟，摩西传球，阿扎尔左路内切后禁区边缘外劲射被特雷梅尔没收
53'德古斯曼角球开到后点，斯旺西两名球员抢到了一起                   50'第50分钟，摩西传球，阿扎尔左路内切后禁区边缘外劲射被特雷梅尔没收
53'球也是从空中飞过到了斯旺西的左路，无人顶到                   50'第50分钟，摩西传球，阿扎尔左路内切后禁区边缘外劲射被特雷梅尔没收
60'阿扎尔任意球攻门，绕过人墙挂右侧死角，特里梅尔奋力将球扑出底线                   60'第60分钟，布里顿对奥斯卡犯规犯规，阿扎尔25码处任意球直接射门被特雷梅尔飞身扑出
60'切尔西右侧角球机会                   60'第60分钟，布里顿对奥斯卡犯规犯规，阿扎尔25码处任意球直接射门被特雷梅尔飞身扑出
60'进球啦~~~~~~                   60'第60分钟，布里顿对奥斯卡犯规犯规，阿扎尔25码处任意球直接射门被特雷梅尔飞身扑出
61'阿扎尔角球开到门前，卡希尔头球攻门，球打在莫塞斯头上折射击中立柱内侧进网                   60'第60分钟，布里顿对奥斯卡犯规犯规，阿扎尔25码处任意球直接射门被特雷梅尔飞身扑出
61'这球算在了莫塞斯的身上，比分1-0，切尔西领先                   60'第60分钟，布里顿对奥斯卡犯规犯规，阿扎尔25码处任意球直接射门被特雷梅尔飞身扑出
62'米楚前场逼抢反断了奥斯卡的球                   60'第60分钟，布里顿对奥斯卡犯规犯规，阿扎尔25码处任意球直接射门被特雷梅尔飞身扑出
62'寄诚庸拿球，莫塞斯身后上抢将其踢倒在地                   60'第60分钟，布里顿对奥斯卡犯规犯规，阿扎尔25码处任意球直接射门被特雷梅尔飞身扑出
63'斯旺西获得了前场任意球机会                   60'第60分钟，布里顿对奥斯卡犯规犯规，阿扎尔25码处任意球直接射门被特雷梅尔飞身扑出
63'位置在禁区弧的左侧，距离球门25米左右                   60'第60分钟，布里顿对奥斯卡犯规犯规，阿扎尔25码处任意球直接射门被特雷梅尔飞身扑出
63'位置也很不错，可以直接攻门的                   60'第60分钟，布里顿对奥斯卡犯规犯规，阿扎尔25码处任意球直接射门被特雷梅尔飞身扑出
64'德古斯曼的任意球直接攻门，可惜放了飞机                   64'第64分钟，摩西后场对寄诚庸犯规，德-古兹曼25码处任意球直接射门高出
64'斯旺西换人：代尔换下劳特里奇                   64'第64分钟，摩西后场对寄诚庸犯规，德-古兹曼25码处任意球直接射门高出
65'同时用格拉汉姆换下布林顿                   64'第64分钟，摩西后场对寄诚庸犯规，德-古兹曼25码处任意球直接射门高出
65'斯旺西连换两人，要发起强力反攻啦                   64'第64分钟，摩西后场对寄诚庸犯规，德-古兹曼25码处任意球直接射门高出
66'德古斯曼禁区内左脚的抽射，竟然直接踢出了边线                   64'第64分钟，摩西后场对寄诚庸犯规，德-古兹曼25码处任意球直接射门高出
66'奥斯卡前场逼抢中，身后踢倒了寄诚庸                   64'第64分钟，摩西后场对寄诚庸犯规，德-古兹曼25码处任意球直接射门高出
66'斯旺西前场左路传球失误，拉米雷斯的抢断                   64'第64分钟，摩西后场对寄诚庸犯规，德-古兹曼25码处任意球直接射门高出
71'米克尔斜传球到左路找科尔，可惜科尔停球时被吹手球啦                   71'第71分钟，兰杰尔横传，德-古兹曼禁区弧边缘第一时间扫射被切赫救下
71'米楚禁区拿球回敲给到德古斯曼                   71'第71分钟，兰杰尔横传，德-古兹曼禁区弧边缘第一时间扫射被切赫救下
72'德古斯曼迎球一脚怒射，切赫站在球门线上将球拦截                   71'第71分钟，兰杰尔横传，德-古兹曼禁区弧边缘第一时间扫射被切赫救下
72'目前双方的射门次数，斯旺西4-10远远落后于切尔西                   71'第71分钟，兰杰尔横传，德-古兹曼禁区弧边缘第一时间扫射被切赫救下
73'莫塞斯和阿扎尔的配合，可惜球传出了边线                   71'第71分钟，兰杰尔横传，德-古兹曼禁区弧边缘第一时间扫射被切赫救下
73'切尔西换人：斯图里奇换下进球功臣莫塞斯                   71'第71分钟，兰杰尔横传，德-古兹曼禁区弧边缘第一时间扫射被切赫救下
74'斯图里奇的进攻欲望更强烈，迪马特奥还是要攻啊                   71'第71分钟，兰杰尔横传，德-古兹曼禁区弧边缘第一时间扫射被切赫救下
74'德古斯曼中场斜传球找左路插上的戴维斯，可惜力量过大，球直接出了底线                   71'第71分钟，兰杰尔横传，德-古兹曼禁区弧边缘第一时间扫射被切赫救下
75'戴维斯很努力的去追这个球，可惜无能为力哦                   75'第75分钟，代尔右路25码处传射吊门被切赫托出横梁
75'斯旺西前场进攻，又是戴维斯拿球                   75'第75分钟，代尔右路25码处传射吊门被切赫托出横梁
75'禁区右上角直接一脚吊门，切赫后退中将球托出了横梁                   75'第75分钟，代尔右路25码处传射吊门被切赫托出横梁
76'戴维斯的这脚打门很突然，切赫有点狼狈哦                   75'第75分钟，代尔右路25码处传射吊门被切赫托出横梁
76'斯旺西左侧角球机会，不过没什么威胁                   75'第75分钟，代尔右路25码处传射吊门被切赫托出横梁
77'威廉姆斯后场过顶长传找代尔，科尔上来将球顶出边线                   75'第75分钟，代尔右路25码处传射吊门被切赫托出横梁
77'切尔西在有意控制比赛节奏啦                   75'第75分钟，代尔右路25码处传射吊门被切赫托出横梁
77'现场下起了冰雹，看着下着不小哦                   75'第75分钟，代尔右路25码处传射吊门被切赫托出横梁
78'雹子落地后都能从地上弹起来啦，这还能踢吗                   75'第75分钟，代尔右路25码处传射吊门被切赫托出横梁
80'斯旺西换人：谢克特换下米楚                   80'第80分钟，伯特兰德换下奥斯卡
80'切尔西也换人啦：伯特兰德换下奥斯卡                   80'第80分钟，伯特兰德换下奥斯卡
80'现在两队的换人名额都用完了，看看最后十几分钟的表现吧                   80'第80分钟，伯特兰德换下奥斯卡
82'斯旺西右路的进攻，寄诚庸前场拿球                   80'第80分钟，伯特兰德换下奥斯卡
82'寄诚庸拿球横向盘底啊，被抢断啦                   80'第80分钟，伯特兰德换下奥斯卡
82'阿扎尔前场和德古斯曼的争抢中倒地，后者犯规                   80'第80分钟，伯特兰德换下奥斯卡
83'德古斯曼为了抗议判罚，直接将球踢向了切尔西的后场                   80'第80分钟，伯特兰德换下奥斯卡
83'德古斯曼被弗瑞恩德出示黄牌警告，裁判的权威毋庸置疑哦                   80'第80分钟，伯特兰德换下奥斯卡
83'切尔西前场任意球机会，继续控球吧                   80'第80分钟，伯特兰德换下奥斯卡
88'进球啦                   88'斯旺西第88分钟扳平比分，替补出场的舍奇特回传，巴勃罗-埃尔南德斯禁区弧内射右下角入网，1-1
88'埃尔南德斯~~~                   88'斯旺西第88分钟扳平比分，替补出场的舍奇特回传，巴勃罗-埃尔南德斯禁区弧内射右下角入网，1-1
89'埃尔南德斯禁区弧内接到队友的回传，右脚搓出一记弧线，球绕过切赫的十指关进网                   88'斯旺西第88分钟扳平比分，替补出场的舍奇特回传，巴勃罗-埃尔南德斯禁区弧内射右下角入网，1-1
89'切赫的视线被前面的后卫挡住了，唉                   88'斯旺西第88分钟扳平比分，替补出场的舍奇特回传，巴勃罗-埃尔南德斯禁区弧内射右下角入网，1-1
89'最后时刻被扳平，有点伤士气哦                   88'斯旺西第88分钟扳平比分，替补出场的舍奇特回传，巴勃罗-埃尔南德斯禁区弧内射右下角入网，1-1
90'斯旺西左路的进攻，格拉汉姆的打门被切赫奋力扑出底线，好危险哦                   88'斯旺西第88分钟扳平比分，替补出场的舍奇特回传，巴勃罗-埃尔南德斯禁区弧内射右下角入网，1-1
90'斯旺西左侧角球机会，没形成威胁                   88'斯旺西第88分钟扳平比分，替补出场的舍奇特回传，巴勃罗-埃尔南德斯禁区弧内射右下角入网，1-1
91'下半场比赛补时4分钟                   88'斯旺西第88分钟扳平比分，替补出场的舍奇特回传，巴勃罗-埃尔南德斯禁区弧内射右下角入网，1-1
91'拉米雷斯右路直传给到斯图里奇                   88'斯旺西第88分钟扳平比分，替补出场的舍奇特回传，巴勃罗-埃尔南德斯禁区弧内射右下角入网，1-1
91'斯图里奇拿球下底，赢得角球机会                   88'斯旺西第88分钟扳平比分，替补出场的舍奇特回传，巴勃罗-埃尔南德斯禁区弧内射右下角入网，1-1
46'上半场补时1分钟                   46'1分钟后，巴勃罗-埃尔南德斯传球，格拉汉姆禁区左侧射门被卡希尔挡出近角
46'劳特里奇前场拿球，抬头观看队友站位                   46'1分钟后，巴勃罗-埃尔南德斯传球，格拉汉姆禁区左侧射门被卡希尔挡出近角
46'没有好的机会，将球回传给到蒙克重新组织                   46'1分钟后，巴勃罗-埃尔南德斯传球，格拉汉姆禁区左侧射门被卡希尔挡出近角
47'蒙克后场过顶斜传到前场右路                   46'1分钟后，巴勃罗-埃尔南德斯传球，格拉汉姆禁区左侧射门被卡希尔挡出近角
46'下半场比赛开始，斯旺西开球                   46'1分钟后，巴勃罗-埃尔南德斯传球，格拉汉姆禁区左侧射门被卡希尔挡出近角
46'切尔西换人：拉米雷斯换下了罗梅乌                   46'1分钟后，巴勃罗-埃尔南德斯传球，格拉汉姆禁区左侧射门被卡希尔挡出近角
47'斯旺西中场过顶斜传找右路的德古斯曼                   46'1分钟后，巴勃罗-埃尔南德斯传球，格拉汉姆禁区左侧射门被卡希尔挡出近角
47'德古斯曼拿球回传给到中间的蒙克时失误啦                   46'1分钟后，巴勃罗-埃尔南德斯传球，格拉汉姆禁区左侧射门被卡希尔挡出近角
47'切尔西右路的反击，赢得角球机会                   46'1分钟后，巴勃罗-埃尔南德斯传球，格拉汉姆禁区左侧射门被卡希尔挡出近角
48'阿扎尔角球开出，第一点又被斯旺西球员解围                   46'1分钟后，巴勃罗-埃尔南德斯传球，格拉汉姆禁区左侧射门被卡希尔挡出近角
48'斯旺西后场大脚长传球到前场，阿兹皮里库塔将球回敲给到切赫                   46'1分钟后，巴勃罗-埃尔南德斯传球，格拉汉姆禁区左侧射门被卡希尔挡出近角
49'伊万诺维奇后场斜传球给到前场的奥斯卡                   46'1分钟后，巴勃罗-埃尔南德斯传球，格拉汉姆禁区左侧射门被卡希尔挡出近角
49'奥斯卡背身拿球回敲给到插上的卡希尔                   46'1分钟后，巴勃罗-埃尔南德斯传球，格拉汉姆禁区左侧射门被卡希尔挡出近角
49'卡希尔直塞给到莫塞斯，莫塞斯盘带中和对方球员相撞倒地                   46'1分钟后，巴勃罗-埃尔南德斯传球，格拉汉姆禁区左侧射门被卡希尔挡出近角
46'米克尔的后场过顶直传找托雷斯，可惜力量过大，直接出了底线                   46'1分钟后，巴勃罗-埃尔南德斯传球，格拉汉姆禁区左侧射门被卡希尔挡出近角
