5'法比尼奥接球突然一脚长传到右路，阿诺德飞速插上                   2'开场仅2分钟，罗伯逊左路传中，但马内小禁区边缘包抄稍慢错过机会
13'这球伊沃比的抢断，自己的助攻，奈尔斯倒地的铲射，帮助阿森纳客场1比0领先了                   10'阿森纳首次射门出现在第10分钟，法比尼奥失误丢球，伊沃比突入禁区左侧12码处劲射被阿利松扑出近角
13'回到比赛                   10'阿森纳首次射门出现在第10分钟，法比尼奥失误丢球，伊沃比突入禁区左侧12码处劲射被阿利松扑出近角
48'左脚射门，轻松命中                   48'利物浦3分钟连入2球反超，第14分钟，菲尔米诺直传，萨拉赫禁区边缘射门被封堵，利希施泰纳解围打中队友穆斯塔菲弹回，菲尔米诺近距离捅射入网，1-1
48'萨拉赫点球打进，帮助利物浦4比1领先                   48'利物浦3分钟连入2球反超，第14分钟，菲尔米诺直传，萨拉赫禁区边缘射门被封堵，利希施泰纳解围打中队友穆斯塔菲弹回，菲尔米诺近距离捅射入网，1-1
48'回到比赛                   48'利物浦3分钟连入2球反超，第14分钟，菲尔米诺直传，萨拉赫禁区边缘射门被封堵，利希施泰纳解围打中队友穆斯塔菲弹回，菲尔米诺近距离捅射入网，1-1
48'马内控球，传给萨拉赫                   48'利物浦3分钟连入2球反超，第14分钟，菲尔米诺直传，萨拉赫禁区边缘射门被封堵，利希施泰纳解围打中队友穆斯塔菲弹回，菲尔米诺近距离捅射入网，1-1
48'被抢断了                   48'利物浦3分钟连入2球反超，第14分钟，菲尔米诺直传，萨拉赫禁区边缘射门被封堵，利希施泰纳解围打中队友穆斯塔菲弹回，菲尔米诺近距离捅射入网，1-1
49'扎卡给到伊沃比，回传                   48'利物浦3分钟连入2球反超，第14分钟，菲尔米诺直传，萨拉赫禁区边缘射门被封堵，利希施泰纳解围打中队友穆斯塔菲弹回，菲尔米诺近距离捅射入网，1-1
49'裁判哨响，上半场比赛结束                   48'利物浦3分钟连入2球反超，第14分钟，菲尔米诺直传，萨拉赫禁区边缘射门被封堵，利希施泰纳解围打中队友穆斯塔菲弹回，菲尔米诺近距离捅射入网，1-1
50'非常精彩的焦点之战，利物浦上半场就取得了4比1的领先，上半场比赛利物浦菲尔米诺两球，马内萨拉赫各一球；阿森纳由奈尔斯打入一球                   48'利物浦3分钟连入2球反超，第14分钟，菲尔米诺直传，萨拉赫禁区边缘射门被封堵，利希施泰纳解围打中队友穆斯塔菲弹回，菲尔米诺近距离捅射入网，1-1
50'我们稍事休息，一会儿带来下半场的比赛直播                   48'利物浦3分钟连入2球反超，第14分钟，菲尔米诺直传，萨拉赫禁区边缘射门被封堵，利希施泰纳解围打中队友穆斯塔菲弹回，菲尔米诺近距离捅射入网，1-1
48'再给沙奇里，找到插上的马内                   48'利物浦3分钟连入2球反超，第14分钟，菲尔米诺直传，萨拉赫禁区边缘射门被封堵，利希施泰纳解围打中队友穆斯塔菲弹回，菲尔米诺近距离捅射入网，1-1
48'倒地了                   48'利物浦3分钟连入2球反超，第14分钟，菲尔米诺直传，萨拉赫禁区边缘射门被封堵，利希施泰纳解围打中队友穆斯塔菲弹回，菲尔米诺近距离捅射入网，1-1
48'裁判没有理会                   48'利物浦3分钟连入2球反超，第14分钟，菲尔米诺直传，萨拉赫禁区边缘射门被封堵，利希施泰纳解围打中队友穆斯塔菲弹回，菲尔米诺近距离捅射入网，1-1
48'托雷拉控球，再分被抢断反击                   48'利物浦3分钟连入2球反超，第14分钟，菲尔米诺直传，萨拉赫禁区边缘射门被封堵，利希施泰纳解围打中队友穆斯塔菲弹回，菲尔米诺近距离捅射入网，1-1
49'沙奇里直接给到萨拉赫                   48'利物浦3分钟连入2球反超，第14分钟，菲尔米诺直传，萨拉赫禁区边缘射门被封堵，利希施泰纳解围打中队友穆斯塔菲弹回，菲尔米诺近距离捅射入网，1-1
49'杀入禁区了，没有停好，不然又是一粒进球                   48'利物浦3分钟连入2球反超，第14分钟，菲尔米诺直传，萨拉赫禁区边缘射门被封堵，利希施泰纳解围打中队友穆斯塔菲弹回，菲尔米诺近距离捅射入网，1-1
49'科斯切尔尼给到利希施泰纳                   48'利物浦3分钟连入2球反超，第14分钟，菲尔米诺直传，萨拉赫禁区边缘射门被封堵，利希施泰纳解围打中队友穆斯塔菲弹回，菲尔米诺近距离捅射入网，1-1
49'长传再被利物浦球员得到                   48'利物浦3分钟连入2球反超，第14分钟，菲尔米诺直传，萨拉赫禁区边缘射门被封堵，利希施泰纳解围打中队友穆斯塔菲弹回，菲尔米诺近距离捅射入网，1-1
50'罗伯逊给沙奇里，科斯切尔尼上抢犯规                   48'利物浦3分钟连入2球反超，第14分钟，菲尔米诺直传，萨拉赫禁区边缘射门被封堵，利希施泰纳解围打中队友穆斯塔菲弹回，菲尔米诺近距离捅射入网，1-1
50'阿诺德分给萨拉赫，带球被科拉希纳茨抢断了                   48'利物浦3分钟连入2球反超，第14分钟，菲尔米诺直传，萨拉赫禁区边缘射门被封堵，利希施泰纳解围打中队友穆斯塔菲弹回，菲尔米诺近距离捅射入网，1-1
51'掷给托雷拉，伊沃比过来转移给帕帕斯塔索普洛斯                   48'利物浦3分钟连入2球反超，第14分钟，菲尔米诺直传，萨拉赫禁区边缘射门被封堵，利希施泰纳解围打中队友穆斯塔菲弹回，菲尔米诺近距离捅射入网，1-1
51'再转移被洛夫伦抢断，拉姆塞过来犯规                   48'利物浦3分钟连入2球反超，第14分钟，菲尔米诺直传，萨拉赫禁区边缘射门被封堵，利希施泰纳解围打中队友穆斯塔菲弹回，菲尔米诺近距离捅射入网，1-1
32'莱诺大脚开到前场                   32'第32分钟，阿森纳解围角球，罗伯逊长传，萨拉赫禁区左侧第一时间横敲，无人防守的马内小禁区前推射上角入网，3-1
32'被抢断了，沙奇里带球反击                   32'第32分钟，阿森纳解围角球，罗伯逊长传，萨拉赫禁区左侧第一时间横敲，无人防守的马内小禁区前推射上角入网，3-1
32'科拉希纳茨上抢成功，回传失误出了底线                   32'第32分钟，阿森纳解围角球，罗伯逊长传，萨拉赫禁区左侧第一时间横敲，无人防守的马内小禁区前推射上角入网，3-1
32'角球开到禁区被解围出来                   32'第32分钟，阿森纳解围角球，罗伯逊长传，萨拉赫禁区左侧第一时间横敲，无人防守的马内小禁区前推射上角入网，3-1
33'中场洛夫伦的一脚长传，直接找到插入禁区的萨拉赫                   32'第32分钟，阿森纳解围角球，罗伯逊长传，萨拉赫禁区左侧第一时间横敲，无人防守的马内小禁区前推射上角入网，3-1
34'横传中路，马内插上一脚打门                   32'第32分钟，阿森纳解围角球，罗伯逊长传，萨拉赫禁区左侧第一时间横敲，无人防守的马内小禁区前推射上角入网，3-1
34'又进球了，，，，，                   32'第32分钟，阿森纳解围角球，罗伯逊长传，萨拉赫禁区左侧第一时间横敲，无人防守的马内小禁区前推射上角入网，3-1
34'不好意思，是罗伯逊的一脚长传，萨拉赫接球横传中路，马内跟进打门入网得分                   32'第32分钟，阿森纳解围角球，罗伯逊长传，萨拉赫禁区左侧第一时间横敲，无人防守的马内小禁区前推射上角入网，3-1
34'3比1了                   32'第32分钟，阿森纳解围角球，罗伯逊长传，萨拉赫禁区左侧第一时间横敲，无人防守的马内小禁区前推射上角入网，3-1
35'这边裁判给了扎卡倒地铲人的犯规，掏出黄牌警告                   32'第32分钟，阿森纳解围角球，罗伯逊长传，萨拉赫禁区左侧第一时间横敲，无人防守的马内小禁区前推射上角入网，3-1
35'利物浦禁区左路的定位球                   32'第32分钟，阿森纳解围角球，罗伯逊长传，萨拉赫禁区左侧第一时间横敲，无人防守的马内小禁区前推射上角入网，3-1
35'沙奇里开到门前，被解围出来                   32'第32分钟，阿森纳解围角球，罗伯逊长传，萨拉赫禁区左侧第一时间横敲，无人防守的马内小禁区前推射上角入网，3-1
48'左脚射门，轻松命中                   48'第48分钟，沙奇里直传，萨拉赫趟球稍大被出击的莱诺没收，埃及人错过单刀机会
48'萨拉赫点球打进，帮助利物浦4比1领先                   48'第48分钟，沙奇里直传，萨拉赫趟球稍大被出击的莱诺没收，埃及人错过单刀机会
48'回到比赛                   48'第48分钟，沙奇里直传，萨拉赫趟球稍大被出击的莱诺没收，埃及人错过单刀机会
48'马内控球，传给萨拉赫                   48'第48分钟，沙奇里直传，萨拉赫趟球稍大被出击的莱诺没收，埃及人错过单刀机会
48'被抢断了                   48'第48分钟，沙奇里直传，萨拉赫趟球稍大被出击的莱诺没收，埃及人错过单刀机会
49'扎卡给到伊沃比，回传                   48'第48分钟，沙奇里直传，萨拉赫趟球稍大被出击的莱诺没收，埃及人错过单刀机会
49'裁判哨响，上半场比赛结束                   48'第48分钟，沙奇里直传，萨拉赫趟球稍大被出击的莱诺没收，埃及人错过单刀机会
50'非常精彩的焦点之战，利物浦上半场就取得了4比1的领先，上半场比赛利物浦菲尔米诺两球，马内萨拉赫各一球；阿森纳由奈尔斯打入一球                   48'第48分钟，沙奇里直传，萨拉赫趟球稍大被出击的莱诺没收，埃及人错过单刀机会
50'我们稍事休息，一会儿带来下半场的比赛直播                   48'第48分钟，沙奇里直传，萨拉赫趟球稍大被出击的莱诺没收，埃及人错过单刀机会
48'再给沙奇里，找到插上的马内                   48'第48分钟，沙奇里直传，萨拉赫趟球稍大被出击的莱诺没收，埃及人错过单刀机会
48'倒地了                   48'第48分钟，沙奇里直传，萨拉赫趟球稍大被出击的莱诺没收，埃及人错过单刀机会
48'裁判没有理会                   48'第48分钟，沙奇里直传，萨拉赫趟球稍大被出击的莱诺没收，埃及人错过单刀机会
48'托雷拉控球，再分被抢断反击                   48'第48分钟，沙奇里直传，萨拉赫趟球稍大被出击的莱诺没收，埃及人错过单刀机会
49'沙奇里直接给到萨拉赫                   48'第48分钟，沙奇里直传，萨拉赫趟球稍大被出击的莱诺没收，埃及人错过单刀机会
49'杀入禁区了，没有停好，不然又是一粒进球                   48'第48分钟，沙奇里直传，萨拉赫趟球稍大被出击的莱诺没收，埃及人错过单刀机会
49'科斯切尔尼给到利希施泰纳                   48'第48分钟，沙奇里直传，萨拉赫趟球稍大被出击的莱诺没收，埃及人错过单刀机会
49'长传再被利物浦球员得到                   48'第48分钟，沙奇里直传，萨拉赫趟球稍大被出击的莱诺没收，埃及人错过单刀机会
50'罗伯逊给沙奇里，科斯切尔尼上抢犯规                   48'第48分钟，沙奇里直传，萨拉赫趟球稍大被出击的莱诺没收，埃及人错过单刀机会
50'阿诺德分给萨拉赫，带球被科拉希纳茨抢断了                   48'第48分钟，沙奇里直传，萨拉赫趟球稍大被出击的莱诺没收，埃及人错过单刀机会
51'掷给托雷拉，伊沃比过来转移给帕帕斯塔索普洛斯                   48'第48分钟，沙奇里直传，萨拉赫趟球稍大被出击的莱诺没收，埃及人错过单刀机会
51'再转移被洛夫伦抢断，拉姆塞过来犯规                   48'第48分钟，沙奇里直传，萨拉赫趟球稍大被出击的莱诺没收，埃及人错过单刀机会
65'法比尼奥上抢争到皮球                   65'第65分钟，科拉希纳茨角球混战中禁区内撞倒洛夫伦，菲尔米诺射入点球完成帽子戏法，5-1
65'分给萨拉赫，给到沙奇里                   65'第65分钟，科拉希纳茨角球混战中禁区内撞倒洛夫伦，菲尔米诺射入点球完成帽子戏法，5-1
65'再给亨德森                   65'第65分钟，科拉希纳茨角球混战中禁区内撞倒洛夫伦，菲尔米诺射入点球完成帽子戏法，5-1
65'一脚传中球                   65'第65分钟，科拉希纳茨角球混战中禁区内撞倒洛夫伦，菲尔米诺射入点球完成帽子戏法，5-1
65'裁判哨响                   65'第65分钟，科拉希纳茨角球混战中禁区内撞倒洛夫伦，菲尔米诺射入点球完成帽子戏法，5-1
65'科拉希纳茨撞倒了洛夫伦                   65'第65分钟，科拉希纳茨角球混战中禁区内撞倒洛夫伦，菲尔米诺射入点球完成帽子戏法，5-1
66'禁区内的犯规，点球                   65'第65分钟，科拉希纳茨角球混战中禁区内撞倒洛夫伦，菲尔米诺射入点球完成帽子戏法，5-1
66'这回是菲尔米诺来主罚                   65'第65分钟，科拉希纳茨角球混战中禁区内撞倒洛夫伦，菲尔米诺射入点球完成帽子戏法，5-1
66'球进，5比1                   65'第65分钟，科拉希纳茨角球混战中禁区内撞倒洛夫伦，菲尔米诺射入点球完成帽子戏法，5-1
67'这比赛，阿森纳被打崩了                   65'第65分钟，科拉希纳茨角球混战中禁区内撞倒洛夫伦，菲尔米诺射入点球完成帽子戏法，5-1
67'回到比赛吧                   65'第65分钟，科拉希纳茨角球混战中禁区内撞倒洛夫伦，菲尔米诺射入点球完成帽子戏法，5-1
68'这边阿森纳的门球                   65'第65分钟，科拉希纳茨角球混战中禁区内撞倒洛夫伦，菲尔米诺射入点球完成帽子戏法，5-1
