1'马竞先开球，上半场比赛开始了                   1'双方第1分钟均显得小心谨慎
27'GOOOOOOOOOOOOOOOOAL！！！                   26'巴萨第26分钟打破僵局，托马斯对梅西犯规，梅西25码处任意球直接射入右上角
27'小腿一抖！600到手！！                   26'巴萨第26分钟打破僵局，托马斯对梅西犯规，梅西25码处任意球直接射入右上角
27'恭喜梅西！                   26'巴萨第26分钟打破僵局，托马斯对梅西犯规，梅西25码处任意球直接射入右上角
28'巴萨1-0领先马竞！                   26'巴萨第26分钟打破僵局，托马斯对梅西犯规，梅西25码处任意球直接射入右上角
28'继续比赛！                   26'巴萨第26分钟打破僵局，托马斯对梅西犯规，梅西25码处任意球直接射入右上角
29'奥布拉克大脚开到中场，皮球被皮克抢下来                   26'巴萨第26分钟打破僵局，托马斯对梅西犯规，梅西25码处任意球直接射入右上角
29'皮克给中场左侧阿尔巴                   26'巴萨第26分钟打破僵局，托马斯对梅西犯规，梅西25码处任意球直接射入右上角
29'阿尔巴低平球给身前伊涅斯塔                   26'巴萨第26分钟打破僵局，托马斯对梅西犯规，梅西25码处任意球直接射入右上角
29'再分球前场中路，被科克拦截                   26'巴萨第26分钟打破僵局，托马斯对梅西犯规，梅西25码处任意球直接射入右上角
29'科克带球推进，又被上抢的拉基蒂奇犯规了                   26'巴萨第26分钟打破僵局，托马斯对梅西犯规，梅西25码处任意球直接射入右上角
29'马竞中场快发定位球，直接长传前场禁区                   26'巴萨第26分钟打破僵局，托马斯对梅西犯规，梅西25码处任意球直接射入右上角
86'马竞的疯狂反扑！                   86'第86分钟，科雷亚传中，越位位置的迭戈-科斯塔头球摆渡，加梅罗近距离破门被判无效
86'戈丁一脚斜线球过顶前场左路科斯塔！                   86'第86分钟，科雷亚传中，越位位置的迭戈-科斯塔头球摆渡，加梅罗近距离破门被判无效
86'科斯塔回敲一脚给身后科克！                   86'第86分钟，科雷亚传中，越位位置的迭戈-科斯塔头球摆渡，加梅罗近距离破门被判无效
86'科克低平球斜传前场右路的科雷亚                   86'第86分钟，科雷亚传中，越位位置的迭戈-科斯塔头球摆渡，加梅罗近距离破门被判无效
86'科雷亚起球传中！吊向禁区内后点！                   86'第86分钟，科雷亚传中，越位位置的迭戈-科斯塔头球摆渡，加梅罗近距离破门被判无效
87'科斯塔第一下头球点到！                   86'第86分钟，科雷亚传中，越位位置的迭戈-科斯塔头球摆渡，加梅罗近距离破门被判无效
87'给中路加梅罗！！                   86'第86分钟，科雷亚传中，越位位置的迭戈-科斯塔头球摆渡，加梅罗近距离破门被判无效
87'加梅罗左脚推射！！！                   86'第86分钟，科雷亚传中，越位位置的迭戈-科斯塔头球摆渡，加梅罗近距离破门被判无效
87'GOOOOOOOOOOOOOOOOOOAL！！！                   86'第86分钟，科雷亚传中，越位位置的迭戈-科斯塔头球摆渡，加梅罗近距离破门被判无效
87'等待！                   86'第86分钟，科雷亚传中，越位位置的迭戈-科斯塔头球摆渡，加梅罗近距离破门被判无效
87'等等！裁判哨子！                   86'第86分钟，科雷亚传中，越位位置的迭戈-科斯塔头球摆渡，加梅罗近距离破门被判无效
87'这是科斯塔的越位啊！！又一个越位进球！                   86'第86分钟，科雷亚传中，越位位置的迭戈-科斯塔头球摆渡，加梅罗近距离破门被判无效
88'窗外秋雨： 呱呱出来——呱呱呱？                   86'第86分钟，科雷亚传中，越位位置的迭戈-科斯塔头球摆渡，加梅罗近距离破门被判无效
88'特尔施特根开球到前场左侧！                   86'第86分钟，科雷亚传中，越位位置的迭戈-科斯塔头球摆渡，加梅罗近距离破门被判无效
88'苏亚雷斯前场争抢对吉梅内斯犯规！                   86'第86分钟，科雷亚传中，越位位置的迭戈-科斯塔头球摆渡，加梅罗近距离破门被判无效
88'马竞后场的定位球！                   86'第86分钟，科雷亚传中，越位位置的迭戈-科斯塔头球摆渡，加梅罗近距离破门被判无效
88'开球给后场中路萨乌尔！                   86'第86分钟，科雷亚传中，越位位置的迭戈-科斯塔头球摆渡，加梅罗近距离破门被判无效
88'萨乌尔斜长传找前场左侧格列兹曼！                   86'第86分钟，科雷亚传中，越位位置的迭戈-科斯塔头球摆渡，加梅罗近距离破门被判无效
89'倒脚给身后，这球被皮克解围出去                   86'第86分钟，科雷亚传中，越位位置的迭戈-科斯塔头球摆渡，加梅罗近距离破门被判无效
89'巴萨后场梅西被犯规了！                   86'第86分钟，科雷亚传中，越位位置的迭戈-科斯塔头球摆渡，加梅罗近距离破门被判无效
89'后场定位球开给门将特尔施特根                   86'第86分钟，科雷亚传中，越位位置的迭戈-科斯塔头球摆渡，加梅罗近距离破门被判无效
89'特尔施特根开球给后场左侧皮克                   86'第86分钟，科雷亚传中，越位位置的迭戈-科斯塔头球摆渡，加梅罗近距离破门被判无效
89'皮克长传给中场右侧的拉基蒂奇                   86'第86分钟，科雷亚传中，越位位置的迭戈-科斯塔头球摆渡，加梅罗近距离破门被判无效
89'再给中线上梅西                   86'第86分钟，科雷亚传中，越位位置的迭戈-科斯塔头球摆渡，加梅罗近距离破门被判无效
89'梅西带球推进前场                   86'第86分钟，科雷亚传中，越位位置的迭戈-科斯塔头球摆渡，加梅罗近距离破门被判无效
89'给身前中路保利尼奥                   86'第86分钟，科雷亚传中，越位位置的迭戈-科斯塔头球摆渡，加梅罗近距离破门被判无效
