1'曹海清将球处理出底线,长春亚泰获得角球.                   1'第1分钟亚泰队反客为主连续发动攻势
24'暂停结束,球员们重新开始比赛.                   21'第21分钟罗竞再次送出妙传，外围插上的谢鹏飞远射偏出
32'长春亚泰球员埃尼尼奥大禁区外尝试右脚射门,可惜皮球高出球门.                   32'第32分钟埃尼奥的远射再次打偏
33'长春亚泰球员张笑飞拼抢犯规,对手获得控球权.                   32'第32分钟埃尼奥的远射再次打偏
33'Luo Jing为杭州绿城赢得一个任意球.                   32'第32分钟埃尼奥的远射再次打偏
34'长春亚泰球员王万鹏拼抢犯规,对手获得控球权.                   32'第32分钟埃尼奥的远射再次打偏
34'谢鹏飞为杭州绿城在对方半场,赢得一个任意球.                   32'第32分钟埃尼奥的远射再次打偏
35'裴帅为长春亚泰在左路,赢得一个任意球.                   32'第32分钟埃尼奥的远射再次打偏
35'杭州绿城球员赵宇豪拼抢犯规,对手获得控球权.                   32'第32分钟埃尼奥的远射再次打偏
35'长春亚泰球员贝奇拉耶大禁区中央尝试右脚射门,可惜皮球稍稍偏出了左球门.给他传球的是埃尼尼奥.                   32'第32分钟埃尼奥的远射再次打偏
38'长春亚泰球员张笑飞大禁区外尝试右脚射门,可惜皮球高出球门.                   38'第38分钟赵宇豪在本方禁区前沿犯规，埃尼奥主罚的任意球第一点被顶出，外围张笑飞凌空抽射打高
39'长春亚泰球员裴帅拼抢犯规,对手获得控球权.                   38'第38分钟赵宇豪在本方禁区前沿犯规，埃尼奥主罚的任意球第一点被顶出，外围张笑飞凌空抽射打高
39'马塞纳为杭州绿城赢得一个任意球.                   38'第38分钟赵宇豪在本方禁区前沿犯规，埃尼奥主罚的任意球第一点被顶出，外围张笑飞凌空抽射打高
40'杭州绿城球员吴航一脚直塞球给曹海清,但是边裁举旗显示后者已经越位.                   38'第38分钟赵宇豪在本方禁区前沿犯规，埃尼奥主罚的任意球第一点被顶出，外围张笑飞凌空抽射打高
41'曹海清将球处理出底线,长春亚泰获得角球.                   38'第38分钟赵宇豪在本方禁区前沿犯规，埃尼奥主罚的任意球第一点被顶出，外围张笑飞凌空抽射打高
41'长春亚泰球员裴帅拼抢犯规,对手获得控球权.                   38'第38分钟赵宇豪在本方禁区前沿犯规，埃尼奥主罚的任意球第一点被顶出，外围张笑飞凌空抽射打高
41'马塞纳为杭州绿城赢得一个任意球.                   38'第38分钟赵宇豪在本方禁区前沿犯规，埃尼奥主罚的任意球第一点被顶出，外围张笑飞凌空抽射打高
41'黄牌！长春亚泰球员裴帅因为恶意犯规,被主裁判出示黄牌.                   38'第38分钟赵宇豪在本方禁区前沿犯规，埃尼奥主罚的任意球第一点被顶出，外围张笑飞凌空抽射打高
43'长春亚泰球员伊格莱西亚斯拼抢犯规,对手获得控球权.                   43'第43分钟，谢鹏飞大禁区中央左脚射门，被防守球员封堵
43'马塞纳为杭州绿城在对方半场,赢得一个任意球.                   43'第43分钟，谢鹏飞大禁区中央左脚射门，被防守球员封堵
43'杭州绿城球员谢鹏飞大禁区中央左脚射门,被防守球员封堵.给他传球的是Luo Jing.                   43'第43分钟，谢鹏飞大禁区中央左脚射门，被防守球员封堵
45'+1'射门!!!杭州绿城球员Luo Jing大禁区外右脚射门,被对方守门员横身扑出.给他传球的是臧一锋.                   43'第43分钟，谢鹏飞大禁区中央左脚射门，被防守球员封堵
45'+2'上半场结束,杭州绿城 0-0 长春亚泰,稍事休息,我们一会来看看下半场两队的表现.                   43'第43分钟，谢鹏飞大禁区中央左脚射门，被防守球员封堵
49'李晓挺为长春亚泰在对方半场,赢得一个任意球.                   49'下半场易边再战，第 49分钟贝切莱禁区前背身拿球被放倒，埃尼奥任意球直接攻门，皮球虽绕过人墙但却高出横梁
49'杭州绿城球员曹海清拼抢犯规,对手获得控球权.                   49'下半场易边再战，第 49分钟贝切莱禁区前背身拿球被放倒，埃尼奥任意球直接攻门，皮球虽绕过人墙但却高出横梁
50'长春亚泰球员埃尼尼奥大禁区外尝试右脚射门,可惜皮球高出球门.                   49'下半场易边再战，第 49分钟贝切莱禁区前背身拿球被放倒，埃尼奥任意球直接攻门，皮球虽绕过人墙但却高出横梁
51'长春亚泰球员贝奇拉耶大禁区外尝试右脚射门,可惜皮球高出右上角球门.                   49'下半场易边再战，第 49分钟贝切莱禁区前背身拿球被放倒，埃尼奥任意球直接攻门，皮球虽绕过人墙但却高出横梁
52'杭州绿城球员吴航大禁区外右脚射门,被防守球员封堵.给他传球的是冯刚.                   49'下半场易边再战，第 49分钟贝切莱禁区前背身拿球被放倒，埃尼奥任意球直接攻门，皮球虽绕过人墙但却高出横梁
52'长春亚泰球员埃尼尼奥大禁区左侧左脚射门,被防守球员封堵.给他传球的是李晓挺.                   49'下半场易边再战，第 49分钟贝切莱禁区前背身拿球被放倒，埃尼奥任意球直接攻门，皮球虽绕过人墙但却高出横梁
56'杭州绿城球员谢鹏飞大禁区外尝试右脚射门,可惜皮球稍稍偏出了左球门.给他传球的是Luo Jing.                   56'第56分钟绿城通过反击制造杀机，罗竞前场右侧内切后横敲，谢鹏飞的射门似传似射，马塞纳门前近距离前冲试图头球攻门未能碰到，皮球擦着门柱偏出
57'长春亚泰阎峰受伤倒地,比赛暂停                   56'第56分钟绿城通过反击制造杀机，罗竞前场右侧内切后横敲，谢鹏飞的射门似传似射，马塞纳门前近距离前冲试图头球攻门未能碰到，皮球擦着门柱偏出
58'暂停结束,球员们重新开始比赛.                   56'第56分钟绿城通过反击制造杀机，罗竞前场右侧内切后横敲，谢鹏飞的射门似传似射，马塞纳门前近距离前冲试图头球攻门未能碰到，皮球擦着门柱偏出
59'长春亚泰球员贝奇拉耶拼抢犯规,对手获得控球权.                   56'第56分钟绿城通过反击制造杀机，罗竞前场右侧内切后横敲，谢鹏飞的射门似传似射，马塞纳门前近距离前冲试图头球攻门未能碰到，皮球擦着门柱偏出
59'马塞纳为杭州绿城赢得一个任意球.                   56'第56分钟绿城通过反击制造杀机，罗竞前场右侧内切后横敲，谢鹏飞的射门似传似射，马塞纳门前近距离前冲试图头球攻门未能碰到，皮球擦着门柱偏出
59'吕建军为长春亚泰赢得一个任意球.                   56'第56分钟绿城通过反击制造杀机，罗竞前场右侧内切后横敲，谢鹏飞的射门似传似射，马塞纳门前近距离前冲试图头球攻门未能碰到，皮球擦着门柱偏出
59'杭州绿城球员吴航拼抢犯规,对手获得控球权.                   56'第56分钟绿城通过反击制造杀机，罗竞前场右侧内切后横敲，谢鹏飞的射门似传似射，马塞纳门前近距离前冲试图头球攻门未能碰到，皮球擦着门柱偏出
65'进球啦！！！长春亚泰球员贝奇拉耶大禁区中央右脚射门,球从中路偏上飞进球门,球进了!助攻的是裴帅. 杭州绿城 0-1 长春亚泰.                   65'长春亚泰队在第65分钟打破僵局――裴帅在禁区附近送出绝妙斜塞，贝切莱禁区左侧拿球后，利用个人能力横向摆脱，连续用假动作甩开防守闪开空当正脚背抽射命中，1-0
69'杭州绿城换人,汪嵩换下吴航                   69'第69分钟绿城的绝对核心汪嵩披挂上阵，替下了吴航
69'长春亚泰球员阎峰拼抢犯规,对手获得控球权.                   69'第69分钟绿城的绝对核心汪嵩披挂上阵，替下了吴航
69'谢鹏飞为杭州绿城在对方半场,赢得一个任意球.                   69'第69分钟绿城的绝对核心汪嵩披挂上阵，替下了吴航
70'杭州绿城球员汪嵩大禁区外左脚射门,被防守球员封堵.                   69'第69分钟绿城的绝对核心汪嵩披挂上阵，替下了吴航
71'长春亚泰球员吕建军拼抢犯规,对手获得控球权.                   69'第69分钟绿城的绝对核心汪嵩披挂上阵，替下了吴航
71'马塞纳为杭州绿城在对方半场,赢得一个任意球.                   69'第69分钟绿城的绝对核心汪嵩披挂上阵，替下了吴航
72'杭州绿城球员曹海清大禁区外右脚射门,被防守球员封堵.给他传球的是津科.                   69'第69分钟绿城的绝对核心汪嵩披挂上阵，替下了吴航
72'王万鹏将球处理出底线,杭州绿城获得角球.                   69'第69分钟绿城的绝对核心汪嵩披挂上阵，替下了吴航
78'长春亚泰球员埃尼尼奥大禁区外尝试右脚射门,可惜皮球高出球门.给他传球的是伊格莱西亚斯.                   78'第78分钟埃尼奥接瓦尔特的传球，禁区外大力轰门打高，2分钟后埃尼奥被孙捷换下
79'阎峰为长春亚泰赢得一个任意球.                   78'第78分钟埃尼奥接瓦尔特的传球，禁区外大力轰门打高，2分钟后埃尼奥被孙捷换下
79'杭州绿城球员Luo Jing拼抢犯规,对手获得控球权.                   78'第78分钟埃尼奥接瓦尔特的传球，禁区外大力轰门打高，2分钟后埃尼奥被孙捷换下
80'杭州绿城球员Luo Jing大禁区外左脚射门,被防守球员封堵.                   78'第78分钟埃尼奥接瓦尔特的传球，禁区外大力轰门打高，2分钟后埃尼奥被孙捷换下
80'长春亚泰换人,孙捷换下埃尼尼奥                   78'第78分钟埃尼奥接瓦尔特的传球，禁区外大力轰门打高，2分钟后埃尼奥被孙捷换下
90'+1'杭州绿城换人,王林换下Luo Jing                   90'90分钟战罢，杭州绿城主场1-1战平长春亚泰，两队在本赛季均顺利保级
90'+2'杭州绿城换人,Chen Xiaohan换下臧一锋                   90'90分钟战罢，杭州绿城主场1-1战平长春亚泰，两队在本赛季均顺利保级
90'+4'长春亚泰球员李晓挺拼抢犯规,对手获得控球权.                   90'90分钟战罢，杭州绿城主场1-1战平长春亚泰，两队在本赛季均顺利保级
90'+4'马塞纳为杭州绿城在左路,赢得一个任意球.                   90'90分钟战罢，杭州绿城主场1-1战平长春亚泰，两队在本赛季均顺利保级
90'+5'长春亚泰换人,刘晓东换下李晓挺                   90'90分钟战罢，杭州绿城主场1-1战平长春亚泰，两队在本赛季均顺利保级
90'+5'下半场结束,杭州绿城 1-1 长春亚泰                   90'90分钟战罢，杭州绿城主场1-1战平长春亚泰，两队在本赛季均顺利保级
