1'两队的队长猜边！                   1'曼城第1分钟就全力压制对手
28'普利查德开出角球给到禁区内后点！                   25'曼城第25分钟取得领先，埃德森大脚开出球门球，阿圭罗拿球转身闪开辛德勒防守，出击的哈默也进退两难，阿根廷人禁区弧边缘搓射空门入网
28'双方争顶！                   25'曼城第25分钟取得领先，埃德森大脚开出球门球，阿圭罗拿球转身闪开辛德勒防守，出击的哈默也进退两难，阿根廷人禁区弧边缘搓射空门入网
28'萨比里头球顶出了底线啊！球门球！                   25'曼城第25分钟取得领先，埃德森大脚开出球门球，阿圭罗拿球转身闪开辛德勒防守，出击的哈默也进退两难，阿根廷人禁区弧边缘搓射空门入网
31'门迪后场把球断下来                   31'曼城第31分钟扩大比分，门迪同热苏斯踢墙配合后强突禁区受阻，跟进的热苏斯禁区左侧18码处抽射近角入网，2-0
31'门迪横敲给左路斯通斯！                   31'曼城第31分钟扩大比分，门迪同热苏斯踢墙配合后强突禁区受阻，跟进的热苏斯禁区左侧18码处抽射近角入网，2-0
31'再给身前的大卫-席尔瓦！                   31'曼城第31分钟扩大比分，门迪同热苏斯踢墙配合后强突禁区受阻，跟进的热苏斯禁区左侧18码处抽射近角入网，2-0
31'大卫-席尔瓦回给后场左侧门迪！                   31'曼城第31分钟扩大比分，门迪同热苏斯踢墙配合后强突禁区受阻，跟进的热苏斯禁区左侧18码处抽射近角入网，2-0
31'门迪自己带球推进！                   31'曼城第31分钟扩大比分，门迪同热苏斯踢墙配合后强突禁区受阻，跟进的热苏斯禁区左侧18码处抽射近角入网，2-0
31'给前场左路的热苏斯！                   31'曼城第31分钟扩大比分，门迪同热苏斯踢墙配合后强突禁区受阻，跟进的热苏斯禁区左侧18码处抽射近角入网，2-0
31'热苏斯直传球给禁区前沿中路！                   31'曼城第31分钟扩大比分，门迪同热苏斯踢墙配合后强突禁区受阻，跟进的热苏斯禁区左侧18码处抽射近角入网，2-0
31'皮球被孔戈洛挡出来！                   31'曼城第31分钟扩大比分，门迪同热苏斯踢墙配合后强突禁区受阻，跟进的热苏斯禁区左侧18码处抽射近角入网，2-0
31'皮球落到热苏斯脚下！！                   31'曼城第31分钟扩大比分，门迪同热苏斯踢墙配合后强突禁区受阻，跟进的热苏斯禁区左侧18码处抽射近角入网，2-0
31'热苏斯左路带球突破内切！                   31'曼城第31分钟扩大比分，门迪同热苏斯踢墙配合后强突禁区受阻，跟进的热苏斯禁区左侧18码处抽射近角入网，2-0
32'禁区内起脚推射！！                   31'曼城第31分钟扩大比分，门迪同热苏斯踢墙配合后强突禁区受阻，跟进的热苏斯禁区左侧18码处抽射近角入网，2-0
32'GOOOOOOOOOOOOOAL！球进了！！！                   31'曼城第31分钟扩大比分，门迪同热苏斯踢墙配合后强突禁区受阻，跟进的热苏斯禁区左侧18码处抽射近角入网，2-0
43'穆涅头球顶到第一下！                   43'哈德斯菲尔德第43分钟扳回一城，比林右路界外球大力掷入禁区，穆尼耶前点头球摆渡，斯坦科维奇近距离抢在斯通斯之前捅射入网，1-3
43'皮球还在禁区内！                   43'哈德斯菲尔德第43分钟扳回一城，比林右路界外球大力掷入禁区，穆尼耶前点头球摆渡，斯坦科维奇近距离抢在斯通斯之前捅射入网，1-3
43'辛德勒这边有机会！！                   43'哈德斯菲尔德第43分钟扳回一城，比林右路界外球大力掷入禁区，穆尼耶前点头球摆渡，斯坦科维奇近距离抢在斯通斯之前捅射入网，1-3
43'起脚打门！！！                   43'哈德斯菲尔德第43分钟扳回一城，比林右路界外球大力掷入禁区，穆尼耶前点头球摆渡，斯坦科维奇近距离抢在斯通斯之前捅射入网，1-3
43'GOOOOOOOOOOAL！！！球进了！！！3-1                   43'哈德斯菲尔德第43分钟扳回一城，比林右路界外球大力掷入禁区，穆尼耶前点头球摆渡，斯坦科维奇近距离抢在斯通斯之前捅射入网，1-3
45'进球的是哈德斯菲尔德的斯坦科维奇！                   43'哈德斯菲尔德第43分钟扳回一城，比林右路界外球大力掷入禁区，穆尼耶前点头球摆渡，斯坦科维奇近距离抢在斯通斯之前捅射入网，1-3
46'门将大脚开球给中场右侧                   43'哈德斯菲尔德第43分钟扳回一城，比林右路界外球大力掷入禁区，穆尼耶前点头球摆渡，斯坦科维奇近距离抢在斯通斯之前捅射入网，1-3
46'这球是开出了边线啊！                   43'哈德斯菲尔德第43分钟扳回一城，比林右路界外球大力掷入禁区，穆尼耶前点头球摆渡，斯坦科维奇近距离抢在斯通斯之前捅射入网，1-3
46'曼城边线发球给中路费尔南迪尼奥！                   43'哈德斯菲尔德第43分钟扳回一城，比林右路界外球大力掷入禁区，穆尼耶前点头球摆渡，斯坦科维奇近距离抢在斯通斯之前捅射入网，1-3
46'费尔南迪尼奥再给左路反击的门迪！                   43'哈德斯菲尔德第43分钟扳回一城，比林右路界外球大力掷入禁区，穆尼耶前点头球摆渡，斯坦科维奇近距离抢在斯通斯之前捅射入网，1-3
46'门迪禁区左侧弧线球传中！                   43'哈德斯菲尔德第43分钟扳回一城，比林右路界外球大力掷入禁区，穆尼耶前点头球摆渡，斯坦科维奇近距离抢在斯通斯之前捅射入网，1-3
46'禁区内皮球被顶出来！                   43'哈德斯菲尔德第43分钟扳回一城，比林右路界外球大力掷入禁区，穆尼耶前点头球摆渡，斯坦科维奇近距离抢在斯通斯之前捅射入网，1-3
46'外围中路斯通斯摆渡给孔帕尼！                   43'哈德斯菲尔德第43分钟扳回一城，比林右路界外球大力掷入禁区，穆尼耶前点头球摆渡，斯坦科维奇近距离抢在斯通斯之前捅射入网，1-3
46'孔帕尼挑到禁区内左肋！                   43'哈德斯菲尔德第43分钟扳回一城，比林右路界外球大力掷入禁区，穆尼耶前点头球摆渡，斯坦科维奇近距离抢在斯通斯之前捅射入网，1-3
46'中圈曼城开球！                   43'哈德斯菲尔德第43分钟扳回一城，比林右路界外球大力掷入禁区，穆尼耶前点头球摆渡，斯坦科维奇近距离抢在斯通斯之前捅射入网，1-3
46'下半场比赛开始！                   43'哈德斯菲尔德第43分钟扳回一城，比林右路界外球大力掷入禁区，穆尼耶前点头球摆渡，斯坦科维奇近距离抢在斯通斯之前捅射入网，1-3
46'开球回给身后拉波尔特！                   43'哈德斯菲尔德第43分钟扳回一城，比林右路界外球大力掷入禁区，穆尼耶前点头球摆渡，斯坦科维奇近距离抢在斯通斯之前捅射入网，1-3
46'拉波尔特再给左路大卫-席尔瓦！                   43'哈德斯菲尔德第43分钟扳回一城，比林右路界外球大力掷入禁区，穆尼耶前点头球摆渡，斯坦科维奇近距离抢在斯通斯之前捅射入网，1-3
46'大卫-席尔瓦低平球给身前斯通斯！                   43'哈德斯菲尔德第43分钟扳回一城，比林右路界外球大力掷入禁区，穆尼耶前点头球摆渡，斯坦科维奇近距离抢在斯通斯之前捅射入网，1-3
46'横做给中路拉波尔特！                   43'哈德斯菲尔德第43分钟扳回一城，比林右路界外球大力掷入禁区，穆尼耶前点头球摆渡，斯坦科维奇近距离抢在斯通斯之前捅射入网，1-3
46'外围来一脚远射！左脚打门！                   43'哈德斯菲尔德第43分钟扳回一城，比林右路界外球大力掷入禁区，穆尼耶前点头球摆渡，斯坦科维奇近距离抢在斯通斯之前捅射入网，1-3
46'皮球被斯坦科维奇解围出界外！                   43'哈德斯菲尔德第43分钟扳回一城，比林右路界外球大力掷入禁区，穆尼耶前点头球摆渡，斯坦科维奇近距离抢在斯通斯之前捅射入网，1-3
48'大卫-席尔瓦开球直接打球门右上角！！！                   48'第48分钟，席尔瓦25码处任意球直接射门，皮球绕过人墙直入右上角，反应不及的哈默目送皮球入网，4-1
48'GOOOOOOOOOOAL！球进了！任意球破门！大卫-席尔瓦！                   48'第48分钟，席尔瓦25码处任意球直接射门，皮球绕过人墙直入右上角，反应不及的哈默目送皮球入网，4-1
50'继续看比赛！                   48'第48分钟，席尔瓦25码处任意球直接射门，皮球绕过人墙直入右上角，反应不及的哈默目送皮球入网，4-1
50'斯通斯后场右侧控球！                   48'第48分钟，席尔瓦25码处任意球直接射门，皮球绕过人墙直入右上角，反应不及的哈默目送皮球入网，4-1
50'长传球给中路伯纳多-席尔瓦！                   48'第48分钟，席尔瓦25码处任意球直接射门，皮球绕过人墙直入右上角，反应不及的哈默目送皮球入网，4-1
50'辛德勒上前把球断走！                   48'第48分钟，席尔瓦25码处任意球直接射门，皮球绕过人墙直入右上角，反应不及的哈默目送皮球入网，4-1
51'回传给后场门将埃德森-莫赖斯！                   48'第48分钟，席尔瓦25码处任意球直接射门，皮球绕过人墙直入右上角，反应不及的哈默目送皮球入网，4-1
51'埃德森-莫赖斯大脚开球给中场附近！                   48'第48分钟，席尔瓦25码处任意球直接射门，皮球绕过人墙直入右上角，反应不及的哈默目送皮球入网，4-1
51'阿奎罗要球被比林放倒了！                   48'第48分钟，席尔瓦25码处任意球直接射门，皮球绕过人墙直入右上角，反应不及的哈默目送皮球入网，4-1
51'裁判过来直接给比林一张黄牌！                   48'第48分钟，席尔瓦25码处任意球直接射门，皮球绕过人墙直入右上角，反应不及的哈默目送皮球入网，4-1
75'马赫雷斯推进到外围！直接打门！                   75'第75分钟，门迪左路传中，无人贴防的阿圭罗小禁区边缘外脚背凌空弹射反弹球入网，5-1
75'这球被防守破坏出去！                   75'第75分钟，门迪左路传中，无人贴防的阿圭罗小禁区边缘外脚背凌空弹射反弹球入网，5-1
76'外围右侧马赫雷斯还有球权！                   75'第75分钟，门迪左路传中，无人贴防的阿圭罗小禁区边缘外脚背凌空弹射反弹球入网，5-1
76'马赫雷斯给中路的孔帕尼！                   75'第75分钟，门迪左路传中，无人贴防的阿圭罗小禁区边缘外脚背凌空弹射反弹球入网，5-1
76'斜线球找禁区左侧门迪！                   75'第75分钟，门迪左路传中，无人贴防的阿圭罗小禁区边缘外脚背凌空弹射反弹球入网，5-1
76'门迪快速一脚传中！                   75'第75分钟，门迪左路传中，无人贴防的阿圭罗小禁区边缘外脚背凌空弹射反弹球入网，5-1
77'禁区内中路阿奎罗飞身攻门！！                   75'第75分钟，门迪左路传中，无人贴防的阿圭罗小禁区边缘外脚背凌空弹射反弹球入网，5-1
77'身体蹭到了皮球！                   75'第75分钟，门迪左路传中，无人贴防的阿圭罗小禁区边缘外脚背凌空弹射反弹球入网，5-1
77'GOOOOOOOOOOOOOOAL！球进了！！！5-1！                   75'第75分钟，门迪左路传中，无人贴防的阿圭罗小禁区边缘外脚背凌空弹射反弹球入网，5-1
78'继续看比赛！                   75'第75分钟，门迪左路传中，无人贴防的阿圭罗小禁区边缘外脚背凌空弹射反弹球入网，5-1
78'哈德斯菲尔德的左侧角球！                   75'第75分钟，门迪左路传中，无人贴防的阿圭罗小禁区边缘外脚背凌空弹射反弹球入网，5-1
78'角球开到禁区内后点！                   75'第75分钟，门迪左路传中，无人贴防的阿圭罗小禁区边缘外脚背凌空弹射反弹球入网，5-1
78'双方争抢！裁判吹了进攻球员的犯规！                   75'第75分钟，门迪左路传中，无人贴防的阿圭罗小禁区边缘外脚背凌空弹射反弹球入网，5-1
78'曼城后场定位球！                   75'第75分钟，门迪左路传中，无人贴防的阿圭罗小禁区边缘外脚背凌空弹射反弹球入网，5-1
84'哈德斯菲尔德换人，14-索比换下24-穆涅！                   84'第84分钟，热苏斯传球，萨内切入小禁区左侧捅射被哈默勉强挡出，但回追的孔戈洛将皮球挡入自家大门，6-1
84'门将大脚开球给中场附近！                   84'第84分钟，热苏斯传球，萨内切入小禁区左侧捅射被哈默勉强挡出，但回追的孔戈洛将皮球挡入自家大门，6-1
84'热苏斯把球停下来！                   84'第84分钟，热苏斯传球，萨内切入小禁区左侧捅射被哈默勉强挡出，但回追的孔戈洛将皮球挡入自家大门，6-1
84'给前场左侧萨内！                   84'第84分钟，热苏斯传球，萨内切入小禁区左侧捅射被哈默勉强挡出，但回追的孔戈洛将皮球挡入自家大门，6-1
85'萨内插入禁区内左侧！！                   84'第84分钟，热苏斯传球，萨内切入小禁区左侧捅射被哈默勉强挡出，但回追的孔戈洛将皮球挡入自家大门，6-1
85'横敲分球被本-哈默扑了一下！！                   84'第84分钟，热苏斯传球，萨内切入小禁区左侧捅射被哈默勉强挡出，但回追的孔戈洛将皮球挡入自家大门，6-1
85'禁区内中路！！                   84'第84分钟，热苏斯传球，萨内切入小禁区左侧捅射被哈默勉强挡出，但回追的孔戈洛将皮球挡入自家大门，6-1
85'孔戈洛！！脚步没收住！！！                   84'第84分钟，热苏斯传球，萨内切入小禁区左侧捅射被哈默勉强挡出，但回追的孔戈洛将皮球挡入自家大门，6-1
85'孔戈洛把皮球踢进自家大门！乌龙球！！6-1！                   84'第84分钟，热苏斯传球，萨内切入小禁区左侧捅射被哈默勉强挡出，但回追的孔戈洛将皮球挡入自家大门，6-1
87'本-哈默大脚开球给中场左侧！                   84'第84分钟，热苏斯传球，萨内切入小禁区左侧捅射被哈默勉强挡出，但回追的孔戈洛将皮球挡入自家大门，6-1
87'皮球被费尔南迪尼奥踢出边线！                   84'第84分钟，热苏斯传球，萨内切入小禁区左侧捅射被哈默勉强挡出，但回追的孔戈洛将皮球挡入自家大门，6-1
