3'辽宁中路推进，丁捷直塞锋线找到波利                   3'第3分钟，丁捷直塞锋线，波利得球后直接大力轰门被后卫挡出
17'身后的巴尔克斯下意识的一挡，把球打进自家大门，这个球说下意识的一挡，不如说是球砸在了他的小腿上                   16'第16分钟，辽宁队角球开出，秦升前点后蹭，门前的巴尔克斯忙中出错将球碰入自家大门
18'辽宁右路的直塞，波利下底传中，聂涛把球拦截                   16'第16分钟，辽宁队角球开出，秦升前点后蹭，门前的巴尔克斯忙中出错将球碰入自家大门
18'丁捷右路拿球，再送直塞，邱卡拉球转身                   16'第16分钟，辽宁队角球开出，秦升前点后蹭，门前的巴尔克斯忙中出错将球碰入自家大门
18'裁判鸣哨，吹了邱卡卡位的时候手上有动作                   16'第16分钟，辽宁队角球开出，秦升前点后蹭，门前的巴尔克斯忙中出错将球碰入自家大门
19'陈洋在场边也甩了一下手，觉得裁判吹罚不妥                   16'第16分钟，辽宁队角球开出，秦升前点后蹭，门前的巴尔克斯忙中出错将球碰入自家大门
19'波拉里干吉中路直传被对方切下                   16'第16分钟，辽宁队角球开出，秦升前点后蹭，门前的巴尔克斯忙中出错将球碰入自家大门
19'丁海峰左侧拿球插上，横传到禁区弧顶附近                   16'第16分钟，辽宁队角球开出，秦升前点后蹭，门前的巴尔克斯忙中出错将球碰入自家大门
21'烈鸟杀入禁区肋部，最后横传门前的一下被回防的金裕晋挡了一下                   21'第21分钟，天津队快速反击，烈鸟沿左路高速杀入禁区，但在面对门将横拨给队友时被回防的金裕晋挡了一下破坏
21'这个球幸亏挡住了，否则给到中间就是一次打空门的机会了                   21'第21分钟，天津队快速反击，烈鸟沿左路高速杀入禁区，但在面对门将横拨给队友时被回防的金裕晋挡了一下破坏
21'秦升中场送长传，邱卡胸部一停，无法转身                   21'第21分钟，天津队快速反击，烈鸟沿左路高速杀入禁区，但在面对门将横拨给队友时被回防的金裕晋挡了一下破坏
21'邱卡把球敲回给左侧的丁海峰                   21'第21分钟，天津队快速反击，烈鸟沿左路高速杀入禁区，但在面对门将横拨给队友时被回防的金裕晋挡了一下破坏
22'天津断球，金泰延拼命再追                   21'第21分钟，天津队快速反击，烈鸟沿左路高速杀入禁区，但在面对门将横拨给队友时被回防的金裕晋挡了一下破坏
22'郭皓右路和烈鸟的配合出现失误                   21'第21分钟，天津队快速反击，烈鸟沿左路高速杀入禁区，但在面对门将横拨给队友时被回防的金裕晋挡了一下破坏
22'辽宁本已把球断下，但自己后场传球也是失误，险些被对方抓住机会                   21'第21分钟，天津队快速反击，烈鸟沿左路高速杀入禁区，但在面对门将横拨给队友时被回防的金裕晋挡了一下破坏
23'辽宁后场踉跄着把球传出来                   21'第21分钟，天津队快速反击，烈鸟沿左路高速杀入禁区，但在面对门将横拨给队友时被回防的金裕晋挡了一下破坏
23'波利中路拿球，看到左侧插上的丁海峰无人防守，马上分边                   21'第21分钟，天津队快速反击，烈鸟沿左路高速杀入禁区，但在面对门将横拨给队友时被回防的金裕晋挡了一下破坏
23'丁海峰左侧斜传进去，低球找后点的倪玉崧                   21'第21分钟，天津队快速反击，烈鸟沿左路高速杀入禁区，但在面对门将横拨给队友时被回防的金裕晋挡了一下破坏
23'聂涛赶在对方抢点之前，一个铲抢把球挡出底线                   21'第21分钟，天津队快速反击，烈鸟沿左路高速杀入禁区，但在面对门将横拨给队友时被回防的金裕晋挡了一下破坏
24'丁海峰角球给到禁区内，没有造成威胁                   21'第21分钟，天津队快速反击，烈鸟沿左路高速杀入禁区，但在面对门将横拨给队友时被回防的金裕晋挡了一下破坏
24'维尔玛左路拿球，面对宋琛的防守，强突下底，中路补防的丁海峰大脚解围                   21'第21分钟，天津队快速反击，烈鸟沿左路高速杀入禁区，但在面对门将横拨给队友时被回防的金裕晋挡了一下破坏
26'辽宁的球权还没有丢，丁捷中路拿球直接被对方凶狠的撂倒在地                   26'第26分钟，郭皓放倒丁捷，秦升任意球吊到禁区，邱卡反越位成功，但却在无人盯防的情况下头槌攻门顶高
26'秦升和丁海峰站在了球前                   26'第26分钟，郭皓放倒丁捷，秦升任意球吊到禁区，邱卡反越位成功，但却在无人盯防的情况下头槌攻门顶高
26'距离比较远，不够射程，这个球肯定还是吊向禁区                   26'第26分钟，郭皓放倒丁捷，秦升任意球吊到禁区，邱卡反越位成功，但却在无人盯防的情况下头槌攻门顶高
27'秦升搓进去，邱卡后插上，小禁区左侧头球攻门，高出                   26'第26分钟，郭皓放倒丁捷，秦升任意球吊到禁区，邱卡反越位成功，但却在无人盯防的情况下头槌攻门顶高
27'这个球辽宁是经过演练的，波利故意站在越位位置，但他并没有参与进攻，而是掩护邱卡一个反跑                   26'第26分钟，郭皓放倒丁捷，秦升任意球吊到禁区，邱卡反越位成功，但却在无人盯防的情况下头槌攻门顶高
28'波利左路强突，传进去，被李玮峰顶出                   26'第26分钟，郭皓放倒丁捷，秦升任意球吊到禁区，邱卡反越位成功，但却在无人盯防的情况下头槌攻门顶高
28'王秋明左路突破被辽宁挡住                   26'第26分钟，郭皓放倒丁捷，秦升任意球吊到禁区，邱卡反越位成功，但却在无人盯防的情况下头槌攻门顶高
28'白岳峰后场控制，横敲身边的李玮峰                   26'第26分钟，郭皓放倒丁捷，秦升任意球吊到禁区，邱卡反越位成功，但却在无人盯防的情况下头槌攻门顶高
29'天津队长传给到右路，辽宁队直接把球断下                   26'第26分钟，郭皓放倒丁捷，秦升任意球吊到禁区，邱卡反越位成功，但却在无人盯防的情况下头槌攻门顶高
29'辽宁顺势沿左侧进攻，李玮峰犯规了                   26'第26分钟，郭皓放倒丁捷，秦升任意球吊到禁区，邱卡反越位成功，但却在无人盯防的情况下头槌攻门顶高
29'金泰延左侧挑球过人，没有越过白岳峰的防守                   26'第26分钟，郭皓放倒丁捷，秦升任意球吊到禁区，邱卡反越位成功，但却在无人盯防的情况下头槌攻门顶高
36'波利右路强突，禁区右侧的一记斜射，角度不错，但力量不足，被杜佳得到                   36'第36分钟，辽宁队防守出现失误，烈鸟前场抢断得手，插上的王秋明与郭皓配合之后面对门将推射入网
36'天津再次超出比分                   36'第36分钟，辽宁队防守出现失误，烈鸟前场抢断得手，插上的王秋明与郭皓配合之后面对门将推射入网
36'进球的是小将王秋明                   36'第36分钟，辽宁队防守出现失误，烈鸟前场抢断得手，插上的王秋明与郭皓配合之后面对门将推射入网
38'辽宁队后场拿球失误，中路天津队迅速形成4人的围抢把球断下，郭皓禁区弧顶把球轻巧的推给右侧插上的王秋明，王秋明突入禁区冷静的推进远角                   36'第36分钟，辽宁队防守出现失误，烈鸟前场抢断得手，插上的王秋明与郭皓配合之后面对门将推射入网
38'两名小将的配合得分                   36'第36分钟，辽宁队防守出现失误，烈鸟前场抢断得手，插上的王秋明与郭皓配合之后面对门将推射入网
39'辽宁左路的突破赢得定位球                   36'第36分钟，辽宁队防守出现失误，烈鸟前场抢断得手，插上的王秋明与郭皓配合之后面对门将推射入网
39'左侧丁海峰主罚，打前点，被挡出来                   36'第36分钟，辽宁队防守出现失误，烈鸟前场抢断得手，插上的王秋明与郭皓配合之后面对门将推射入网
39'天津的反击，直塞到维尔玛脚下，维尔玛没有拿住                   36'第36分钟，辽宁队防守出现失误，烈鸟前场抢断得手，插上的王秋明与郭皓配合之后面对门将推射入网
39'今天作客的天津表现确实不错，进攻效率比较高                   36'第36分钟，辽宁队防守出现失误，烈鸟前场抢断得手，插上的王秋明与郭皓配合之后面对门将推射入网
41'波利右路接到传球，要起速，被李玮峰一脚破坏掉                   41'第41分钟，辽宁队右路角球，杜佳及时出击在杨善平头顶将球击出
41'丁海峰的角球，质量不错，到后点，杜佳出击单拳击出                   41'第41分钟，辽宁队右路角球，杜佳及时出击在杨善平头顶将球击出
41'外围宋琛来上一脚远射，偏出底线                   41'第41分钟，辽宁队右路角球，杜佳及时出击在杨善平头顶将球击出
42'杜佳有些受伤，刚才出击时候和杨善平撞了一下，有点岔气                   41'第41分钟，辽宁队右路角球，杜佳及时出击在杨善平头顶将球击出
42'杜佳大脚开出门球，巴尔克斯右路把球控制下来                   41'第41分钟，辽宁队右路角球，杜佳及时出击在杨善平头顶将球击出
43'天津队过渡一下，走左路给维尔玛                   41'第41分钟，辽宁队右路角球，杜佳及时出击在杨善平头顶将球击出
43'维尔玛面对金泰延把球敲回给中路                   41'第41分钟，辽宁队右路角球，杜佳及时出击在杨善平头顶将球击出
43'天津队外围转了一圈，没有什么机会，再交维尔玛                   41'第41分钟，辽宁队右路角球，杜佳及时出击在杨善平头顶将球击出
44'维尔玛再次面对金泰延，强突一下，金泰延飞铲把对方踢翻                   41'第41分钟，辽宁队右路角球，杜佳及时出击在杨善平头顶将球击出
44'金泰延吃到黄牌                   41'第41分钟，辽宁队右路角球，杜佳及时出击在杨善平头顶将球击出
44'维尔玛抱着脚踝满地打滚，看来伤的不轻                   41'第41分钟，辽宁队右路角球，杜佳及时出击在杨善平头顶将球击出
44'队医上来，扶着维尔玛一瘸一拐的下场治疗                   41'第41分钟，辽宁队右路角球，杜佳及时出击在杨善平头顶将球击出
47'辽宁后排跟进，二次进攻，丁捷处理不当，把球传丢                   47'第47分钟，杨运长传转移，宋琛右路停球内切，一路杀到禁区线上被后卫夹击断球
47'双方中场纠缠，球出了边线                   47'第47分钟，杨运长传转移，宋琛右路停球内切，一路杀到禁区线上被后卫夹击断球
48'这个时候王迪吹响了上半场结束的哨音                   47'第47分钟，杨运长传转移，宋琛右路停球内切，一路杀到禁区线上被后卫夹击断球
47'波利左路分给邱卡，邱卡背身做球给杨运                   47'第47分钟，杨运长传转移，宋琛右路停球内切，一路杀到禁区线上被后卫夹击断球
47'杨运转移给右侧上来的宋琛                   47'第47分钟，杨运长传转移，宋琛右路停球内切，一路杀到禁区线上被后卫夹击断球
48'宋琛强突，禁区前沿摔倒了，裁判哨子没响                   47'第47分钟，杨运长传转移，宋琛右路停球内切，一路杀到禁区线上被后卫夹击断球
48'丁海峰后场拿球，郭皓上抢犯规                   47'第47分钟，杨运长传转移，宋琛右路停球内切，一路杀到禁区线上被后卫夹击断球
48'刘旸大脚长传，邱卡交给波利，李玮峰挡了一下，波利没拿住                   47'第47分钟，杨运长传转移，宋琛右路停球内切，一路杀到禁区线上被后卫夹击断球
49'辽宁中场抢断，大范围的一记转移，被聂涛解围出边线                   47'第47分钟，杨运长传转移，宋琛右路停球内切，一路杀到禁区线上被后卫夹击断球
50'张野中路回撤接应，辽宁力求控制中场，能够把球拿住                   47'第47分钟，杨运长传转移，宋琛右路停球内切，一路杀到禁区线上被后卫夹击断球
50'波拉里干吉后场拦截，邱卡反抢犯规                   47'第47分钟，杨运长传转移，宋琛右路停球内切，一路杀到禁区线上被后卫夹击断球
50'天津的长传，维尔玛前场把球护住，回敲给同伴                   47'第47分钟，杨运长传转移，宋琛右路停球内切，一路杀到禁区线上被后卫夹击断球
54'金泰延精彩的凌空爆杆                   54'第54分钟，波利禁区前沿拿球后挑传，后点的聂涛失误冒顶，金泰延迎球大力抽射，皮球应声入网
55'波利左侧拿球，李玮峰上来逼抢，波利精妙的把球搓向后点，中路的邱卡吸引了防守，后面聂涛防守丢掉了位置                   54'第54分钟，波利禁区前沿拿球后挑传，后点的聂涛失误冒顶，金泰延迎球大力抽射，皮球应声入网
56'金泰延跟进，瞄准的时间非常充足，禁区内右侧一脚爆射，杜佳扑救不及                   54'第54分钟，波利禁区前沿拿球后挑传，后点的聂涛失误冒顶，金泰延迎球大力抽射，皮球应声入网
56'天津右路的角球                   54'第54分钟，波利禁区前沿拿球后挑传，后点的聂涛失误冒顶，金泰延迎球大力抽射，皮球应声入网
56'开到后点，被解围出来                   54'第54分钟，波利禁区前沿拿球后挑传，后点的聂涛失误冒顶，金泰延迎球大力抽射，皮球应声入网
56'辽宁的反击，长传找波利                   54'第54分钟，波利禁区前沿拿球后挑传，后点的聂涛失误冒顶，金泰延迎球大力抽射，皮球应声入网
57'辽宁获得点球的机会                   54'第54分钟，波利禁区前沿拿球后挑传，后点的聂涛失误冒顶，金泰延迎球大力抽射，皮球应声入网
57'下半场风云突变啊，辽宁瞬间有反超的机会                   54'第54分钟，波利禁区前沿拿球后挑传，后点的聂涛失误冒顶，金泰延迎球大力抽射，皮球应声入网
57'邱卡的点球，推中路，被杜佳用腿挡出                   54'第54分钟，波利禁区前沿拿球后挑传，后点的聂涛失误冒顶，金泰延迎球大力抽射，皮球应声入网
57'邱卡这球踢的太简单了                   54'第54分钟，波利禁区前沿拿球后挑传，后点的聂涛失误冒顶，金泰延迎球大力抽射，皮球应声入网
56'金泰延跟进，瞄准的时间非常充足，禁区内右侧一脚爆射，杜佳扑救不及                   56'第56分钟，辽宁队卷土重来，波利反击杀到禁区扣过后卫，但杜佳出击奋力将其射门封堵
56'天津右路的角球                   56'第56分钟，辽宁队卷土重来，波利反击杀到禁区扣过后卫，但杜佳出击奋力将其射门封堵
56'开到后点，被解围出来                   56'第56分钟，辽宁队卷土重来，波利反击杀到禁区扣过后卫，但杜佳出击奋力将其射门封堵
56'辽宁的反击，长传找波利                   56'第56分钟，辽宁队卷土重来，波利反击杀到禁区扣过后卫，但杜佳出击奋力将其射门封堵
57'辽宁获得点球的机会                   56'第56分钟，辽宁队卷土重来，波利反击杀到禁区扣过后卫，但杜佳出击奋力将其射门封堵
57'下半场风云突变啊，辽宁瞬间有反超的机会                   56'第56分钟，辽宁队卷土重来，波利反击杀到禁区扣过后卫，但杜佳出击奋力将其射门封堵
57'邱卡的点球，推中路，被杜佳用腿挡出                   56'第56分钟，辽宁队卷土重来，波利反击杀到禁区扣过后卫，但杜佳出击奋力将其射门封堵
57'邱卡这球踢的太简单了                   56'第56分钟，辽宁队卷土重来，波利反击杀到禁区扣过后卫，但杜佳出击奋力将其射门封堵
59'还原一下辽宁获得点球的镜头：波利左路反击，抹入禁区扣过后卫，面对出击的杜佳，打门被挡，外围丁捷补射被吕伟用手挡出                   56'第56分钟，辽宁队卷土重来，波利反击杀到禁区扣过后卫，但杜佳出击奋力将其射门封堵
59'吕伟整个人倒在地上，类似门将的动作用手把球扑住，吃到黄牌                   56'第56分钟，辽宁队卷土重来，波利反击杀到禁区扣过后卫，但杜佳出击奋力将其射门封堵
60'天津右路的进攻，白岳峰右侧下底，传中落点很好                   60'第60分钟，波利禁区前沿横代之后塞向禁区，张野拿球转身抽射，皮球击中天津队后卫身体稍稍高出横梁
60'巴尔克斯在对方的干扰下头球顶高                   60'第60分钟，波利禁区前沿横代之后塞向禁区，张野拿球转身抽射，皮球击中天津队后卫身体稍稍高出横梁
60'辽宁这边也是一次机会，张野左侧禁区内的打门，被对方挡出底线                   60'第60分钟，波利禁区前沿横代之后塞向禁区，张野拿球转身抽射，皮球击中天津队后卫身体稍稍高出横梁
61'两队下半场踢的十分开放，都是快速通过中场                   60'第60分钟，波利禁区前沿横代之后塞向禁区，张野拿球转身抽射，皮球击中天津队后卫身体稍稍高出横梁
61'李玮峰阻挡邱卡犯规                   60'第60分钟，波利禁区前沿横代之后塞向禁区，张野拿球转身抽射，皮球击中天津队后卫身体稍稍高出横梁
61'禁区外30米区域，辽宁这个球可射可传                   60'第60分钟，波利禁区前沿横代之后塞向禁区，张野拿球转身抽射，皮球击中天津队后卫身体稍稍高出横梁
62'但目前来看，辽宁能够定位球直接得分的人好像都在场下                   60'第60分钟，波利禁区前沿横代之后塞向禁区，张野拿球转身抽射，皮球击中天津队后卫身体稍稍高出横梁
63'杨运主罚，把球送进去，落点可以，黑风双煞中路抢到了一起，波利一蹭，杜佳门线上把球得到                   60'第60分钟，波利禁区前沿横代之后塞向禁区，张野拿球转身抽射，皮球击中天津队后卫身体稍稍高出横梁
63'天津的进攻，禁区内横敲，维尔玛右侧插上有机会，抽射打偏                   60'第60分钟，波利禁区前沿横代之后塞向禁区，张野拿球转身抽射，皮球击中天津队后卫身体稍稍高出横梁
46'上半场补时2分钟                   46'1分钟之后烈鸟巧妙分球，但维尔玛在后点无人防守的情况下抽射打偏
46'天津的进攻，又是左路的维尔玛，直线加速，倒地了，裁判没吹                   46'1分钟之后烈鸟巧妙分球，但维尔玛在后点无人防守的情况下抽射打偏
46'辽宁的进攻，找到波利，波利挑球过人，李玮峰经验老道，不急于追球，而是卡住对方的位置                   46'1分钟之后烈鸟巧妙分球，但维尔玛在后点无人防守的情况下抽射打偏
47'辽宁后排跟进，二次进攻，丁捷处理不当，把球传丢                   46'1分钟之后烈鸟巧妙分球，但维尔玛在后点无人防守的情况下抽射打偏
47'双方中场纠缠，球出了边线                   46'1分钟之后烈鸟巧妙分球，但维尔玛在后点无人防守的情况下抽射打偏
48'这个时候王迪吹响了上半场结束的哨音                   46'1分钟之后烈鸟巧妙分球，但维尔玛在后点无人防守的情况下抽射打偏
46'下半场开始了                   46'1分钟之后烈鸟巧妙分球，但维尔玛在后点无人防守的情况下抽射打偏
46'陈洋显然对上半场的表现不太满意，下半场早早的变阵来寻求变化                   46'1分钟之后烈鸟巧妙分球，但维尔玛在后点无人防守的情况下抽射打偏
47'波利左路分给邱卡，邱卡背身做球给杨运                   46'1分钟之后烈鸟巧妙分球，但维尔玛在后点无人防守的情况下抽射打偏
47'杨运转移给右侧上来的宋琛                   46'1分钟之后烈鸟巧妙分球，但维尔玛在后点无人防守的情况下抽射打偏
48'宋琛强突，禁区前沿摔倒了，裁判哨子没响                   46'1分钟之后烈鸟巧妙分球，但维尔玛在后点无人防守的情况下抽射打偏
48'丁海峰后场拿球，郭皓上抢犯规                   46'1分钟之后烈鸟巧妙分球，但维尔玛在后点无人防守的情况下抽射打偏
48'刘旸大脚长传，邱卡交给波利，李玮峰挡了一下，波利没拿住                   46'1分钟之后烈鸟巧妙分球，但维尔玛在后点无人防守的情况下抽射打偏
49'辽宁中场抢断，大范围的一记转移，被聂涛解围出边线                   46'1分钟之后烈鸟巧妙分球，但维尔玛在后点无人防守的情况下抽射打偏
67'前点一蹭，辽宁外围在射，被后卫挡了一下                   67'第67分钟，丁海峰战术犯规放倒烈鸟吃到黄牌
67'禁区内混战，波利转身再射一脚，再次被挡出                   67'第67分钟，丁海峰战术犯规放倒烈鸟吃到黄牌
67'辽宁反击，不假思索就是找左侧的波利                   67'第67分钟，丁海峰战术犯规放倒烈鸟吃到黄牌
67'波利突到禁区边缘，搓给右边插上的金泰延                   67'第67分钟，丁海峰战术犯规放倒烈鸟吃到黄牌
68'金泰延处理的不好，直接搓入禁区交给了杜佳，他应该自己往前带啊                   67'第67分钟，丁海峰战术犯规放倒烈鸟吃到黄牌
68'丁海峰中场战术犯规，放倒烈鸟，吃到黄牌                   67'第67分钟，丁海峰战术犯规放倒烈鸟吃到黄牌
68'杨善平后场防守把球捅出底线                   67'第67分钟，丁海峰战术犯规放倒烈鸟吃到黄牌
68'烈鸟主罚角球，助跑非常远                   67'第67分钟，丁海峰战术犯规放倒烈鸟吃到黄牌
69'送入禁区，太靠近门将了被刘旸摘下                   67'第67分钟，丁海峰战术犯规放倒烈鸟吃到黄牌
69'辽宁后卫线传递失误，再次送大礼啊                   67'第67分钟，丁海峰战术犯规放倒烈鸟吃到黄牌
70'杨善平推给后腰丁捷的时候直接送给对方脚下                   67'第67分钟，丁海峰战术犯规放倒烈鸟吃到黄牌
70'巴尔克斯禁区右侧搓射，吊向大门，稍稍高出                   67'第67分钟，丁海峰战术犯规放倒烈鸟吃到黄牌
70'这个球若巴尔克斯脚法掌握的再好一些辽宁就悲催了                   67'第67分钟，丁海峰战术犯规放倒烈鸟吃到黄牌
70'辽宁今天第N次后场被断了                   67'第67分钟，丁海峰战术犯规放倒烈鸟吃到黄牌
70'杨善平推给后腰丁捷的时候直接送给对方脚下                   70'天津队胡人天替补登场，第70分钟，白岳峰在底线附近护球后脚后跟将球拨出，王秋明将球扫到远端，但巴尔克斯在对方后卫堵截射门被挡出
70'巴尔克斯禁区右侧搓射，吊向大门，稍稍高出                   70'天津队胡人天替补登场，第70分钟，白岳峰在底线附近护球后脚后跟将球拨出，王秋明将球扫到远端，但巴尔克斯在对方后卫堵截射门被挡出
70'这个球若巴尔克斯脚法掌握的再好一些辽宁就悲催了                   70'天津队胡人天替补登场，第70分钟，白岳峰在底线附近护球后脚后跟将球拨出，王秋明将球扫到远端，但巴尔克斯在对方后卫堵截射门被挡出
70'辽宁今天第N次后场被断了                   70'天津队胡人天替补登场，第70分钟，白岳峰在底线附近护球后脚后跟将球拨出，王秋明将球扫到远端，但巴尔克斯在对方后卫堵截射门被挡出
71'烈鸟右路推进，斜传给中路的巴尔克斯被截下                   70'天津队胡人天替补登场，第70分钟，白岳峰在底线附近护球后脚后跟将球拨出，王秋明将球扫到远端，但巴尔克斯在对方后卫堵截射门被挡出
72'天津右路在攻入禁区内，给到中路，刘旸出击，天津的球员无法转身打门                   70'天津队胡人天替补登场，第70分钟，白岳峰在底线附近护球后脚后跟将球拨出，王秋明将球扫到远端，但巴尔克斯在对方后卫堵截射门被挡出
72'敲到外围，白岳峰在横扫进去，巴尔克斯停球停大了                   70'天津队胡人天替补登场，第70分钟，白岳峰在底线附近护球后脚后跟将球拨出，王秋明将球扫到远端，但巴尔克斯在对方后卫堵截射门被挡出
73'郭皓拼抢动作比较大，踢倒了杨运，吃到黄牌                   70'天津队胡人天替补登场，第70分钟，白岳峰在底线附近护球后脚后跟将球拨出，王秋明将球扫到远端，但巴尔克斯在对方后卫堵截射门被挡出
74'丁捷前场得球，挑进禁区，张野越位了                   74'第74分钟，波利直塞，邱卡禁区内停球被李玮峰带倒，裁判再次吹罚了点球
74'巴尔克斯禁区外策应，给到左侧                   74'第74分钟，波利直塞，邱卡禁区内停球被李玮峰带倒，裁判再次吹罚了点球
74'辽宁后场抢断迅速组织反击                   74'第74分钟，波利直塞，邱卡禁区内停球被李玮峰带倒，裁判再次吹罚了点球
74'辽宁再次获得一粒点球                   74'第74分钟，波利直塞，邱卡禁区内停球被李玮峰带倒，裁判再次吹罚了点球
75'禁区内邱卡转身把球护住，李玮峰有些没跟上，绊倒了邱卡                   74'第74分钟，波利直塞，邱卡禁区内停球被李玮峰带倒，裁判再次吹罚了点球
75'王迪下半场给了辽宁两粒点球                   74'第74分钟，波利直塞，邱卡禁区内停球被李玮峰带倒，裁判再次吹罚了点球
76'这次还是邱卡来主罚吗，邱卡要罚，但丁海峰好像在跟他要球                   74'第74分钟，波利直塞，邱卡禁区内停球被李玮峰带倒，裁判再次吹罚了点球
76'陈洋也是示意不让邱卡罚，但邱卡最终还是坚持要罚                   74'第74分钟，波利直塞，邱卡禁区内停球被李玮峰带倒，裁判再次吹罚了点球
77'邱卡主罚，推射右侧，这次骗过门将，打进                   74'第74分钟，波利直塞，邱卡禁区内停球被李玮峰带倒，裁判再次吹罚了点球
77'进球的邱卡也是狠狠的一脚把球踢向空中，宣泄刚才罚丢点球的郁闷之情                   74'第74分钟，波利直塞，邱卡禁区内停球被李玮峰带倒，裁判再次吹罚了点球
77'天津的两名首发中卫分别送点，这让阿里汉情何以堪啊                   74'第74分钟，波利直塞，邱卡禁区内停球被李玮峰带倒，裁判再次吹罚了点球
