3'唐淼将球处理出底线,天津泰达获得角球.                   2'第2分钟，天津队获得角球，被对方后卫顶出
20'天津泰达球员巴雷大禁区右侧右脚射门,被防守球员封堵.给他传球的是白岳峰.                   20'第20分钟，白岳峰长传，巴雷胸部停球后转身射 门被张耀坤挡出底线
20'Jang Hyun-Soo将球处理出底线,天津泰达获得角球.                   20'第20分钟，白岳峰长传，巴雷胸部停球后转身射 门被张耀坤挡出底线
20'天津泰达球员瓦伦西亚大禁区中央右脚射门,被防守球员封堵.给他传球的是杜震宇.                   20'第20分钟，白岳峰长传，巴雷胸部停球后转身射 门被张耀坤挡出底线
20'射门!!!天津泰达球员李玮峰大禁区中央头球,被对方守门员横身扑出.给他传球的是杜震宇.                   20'第20分钟，白岳峰长传，巴雷胸部停球后转身射 门被张耀坤挡出底线
20'程月磊将球处理出底线,天津泰达获得角球.                   20'第20分钟，白岳峰长传，巴雷胸部停球后转身射 门被张耀坤挡出底线
21'天津泰达球员毛彪大禁区中央尝试头球,可惜皮球稍稍偏出了右球门.给他传球的是杜震宇.                   20'第20分钟，白岳峰长传，巴雷胸部停球后转身射 门被张耀坤挡出底线
22'王晓龙为广州富力在左路,赢得一个任意球.                   20'第20分钟，白岳峰长传，巴雷胸部停球后转身射 门被张耀坤挡出底线
22'天津泰达球员曹阳拼抢犯规,对手获得控球权.                   20'第20分钟，白岳峰长传，巴雷胸部停球后转身射 门被张耀坤挡出底线
23'广州富力球员Abderazak Hamdallah大禁区外尝试右脚射门,可惜皮球高出球门.给他传球的是达维.                   20'第20分钟，白岳峰长传，巴雷胸部停球后转身射 门被张耀坤挡出底线
23'广州富力球员Abderazak Hamdallah大禁区外尝试右脚射门,可惜皮球高出球门.给他传球的是达维.                   23'第23分钟，天津队左路传中，周海滨远点将球抽向中路，王新欣另一侧插上低射，皮球稍稍 偏出远端门柱
24'天津泰达球员王新欣大禁区左侧尝试左脚射门,可惜皮球稍稍偏出了右球门.给他传球的是周海滨.                   23'第23分钟，天津队左路传中，周海滨远点将球抽向中路，王新欣另一侧插上低射，皮球稍稍 偏出远端门柱
25'张耀坤为广州富力赢得一个任意球.                   23'第23分钟，天津队左路传中，周海滨远点将球抽向中路，王新欣另一侧插上低射，皮球稍稍 偏出远端门柱
25'天津泰达球员瓦伦西亚拼抢犯规,对手获得控球权.                   23'第23分钟，天津队左路传中，周海滨远点将球抽向中路，王新欣另一侧插上低射，皮球稍稍 偏出远端门柱
25'广州富力球员Abderazak Hamdallah大禁区右侧尝试右脚射门,可惜皮球高出右上角球门.给他传球的是Park Jong-Woo.                   23'第23分钟，天津队左路传中，周海滨远点将球抽向中路，王新欣另一侧插上低射，皮球稍稍 偏出远端门柱
26'广州富力球员Abderazak Hamdallah拼抢犯规,对手获得控球权.                   23'第23分钟，天津队左路传中，周海滨远点将球抽向中路，王新欣另一侧插上低射，皮球稍稍 偏出远端门柱
26'Éder Lima为天津泰达赢得一个任意球.                   23'第23分钟，天津队左路传中，周海滨远点将球抽向中路，王新欣另一侧插上低射，皮球稍稍 偏出远端门柱
31'唐淼将球处理出底线,天津泰达获得角球.                   30'第30分钟，天津队中场连续一脚短传，巴雷得到单刀机会，但唐淼奋力倒地将球铲出底线
31'姜至鹏将球处理出底线,天津泰达获得角球.                   30'第30分钟，天津队中场连续一脚短传，巴雷得到单刀机会，但唐淼奋力倒地将球铲出底线
35'天津泰达球员白岳峰大禁区右侧右脚射门,命中门柱左侧立柱.                   35'第35分钟，天津队将球挑入禁区 ，朴钟佑解围不远，白岳峰直接凌空射门，皮球再一次擦着后门柱偏出底线
36'广州富力球员Abderazak Hamdallah拼抢犯规,对手获得控球权.                   35'第35分钟，天津队将球挑入禁区 ，朴钟佑解围不远，白岳峰直接凌空射门，皮球再一次擦着后门柱偏出底线
36'曹阳为天津泰达赢得一个任意球.                   35'第35分钟，天津队将球挑入禁区 ，朴钟佑解围不远，白岳峰直接凌空射门，皮球再一次擦着后门柱偏出底线
37'达维为广州富力在对方半场,赢得一个任意球.                   35'第35分钟，天津队将球挑入禁区 ，朴钟佑解围不远，白岳峰直接凌空射门，皮球再一次擦着后门柱偏出底线
37'天津泰达球员周海滨拼抢犯规,对手获得控球权.                   35'第35分钟，天津队将球挑入禁区 ，朴钟佑解围不远，白岳峰直接凌空射门，皮球再一次擦着后门柱偏出底线
38'天津泰达球员王新欣大禁区外左脚射门,被防守球员封堵.给他传球的是周海滨.                   35'第35分钟，天津队将球挑入禁区 ，朴钟佑解围不远，白岳峰直接凌空射门，皮球再一次擦着后门柱偏出底线
38'Park Jong-Woo为广州富力在对方半场,赢得一个任意球.                   35'第35分钟，天津队将球挑入禁区 ，朴钟佑解围不远，白岳峰直接凌空射门，皮球再一次擦着后门柱偏出底线
38'天津泰达球员曹阳拼抢犯规,对手获得控球权.                   35'第35分钟，天津队将球挑入禁区 ，朴钟佑解围不远，白岳峰直接凌空射门，皮球再一次擦着后门柱偏出底线
41'广州富力球员达维拼抢犯规,对手获得控球权.                   41'第41分钟，唐淼禁区边缘放倒杜震宇，天津队任意球被程月磊没收
41'曹阳为天津泰达在对方半场,赢得一个任意球.                   41'第41分钟，唐淼禁区边缘放倒杜震宇，天津队任意球被程月磊没收
41'广州富力球员唐淼拼抢犯规,对手获得控球权.                   41'第41分钟，唐淼禁区边缘放倒杜震宇，天津队任意球被程月磊没收
41'杜震宇为天津泰达在左路,赢得一个任意球.                   41'第41分钟，唐淼禁区边缘放倒杜震宇，天津队任意球被程月磊没收
43'广州富力球员达维拼抢犯规,对手获得控球权.                   41'第41分钟，唐淼禁区边缘放倒杜震宇，天津队任意球被程月磊没收
43'曹阳为天津泰达在对方半场,赢得一个任意球.                   41'第41分钟，唐淼禁区边缘放倒杜震宇，天津队任意球被程月磊没收
44'广州富力球员达维拼抢犯规,对手获得控球权.                   41'第41分钟，唐淼禁区边缘放倒杜震宇，天津队任意球被程月磊没收
44'苑维玮为天津泰达赢得一个任意球.                   41'第41分钟，唐淼禁区边缘放倒杜震宇，天津队任意球被程月磊没收
44'王晓龙将球处理出底线,天津泰达获得角球.                   41'第41分钟，唐淼禁区边缘放倒杜震宇，天津队任意球被程月磊没收
49'广州富力球员Park Jong-Woo拼抢犯规,对手获得控球权.                   47'第47分钟，张远直传，哈默德反越位成功，但宗磊及时出击用腿将球挡出
49'曹阳为天津泰达赢得一个任意球.                   47'第47分钟，张远直传，哈默德反越位成功，但宗磊及时出击用腿将球挡出
49'黄牌！广州富力球员Park Jong-Woo因为恶意犯规,被主裁判出示黄牌.                   47'第47分钟，张远直传，哈默德反越位成功，但宗磊及时出击用腿将球挡出
51'天津泰达球员周海滨大禁区中央尝试头球,可惜皮球高出右上角球门.给他传球的是杜震宇.                   51'第51分钟，曹阳在中场拼抢中蹬踏吃到黄牌
51'达维为广州富力在对方半场,赢得一个任意球.                   51'第51分钟，曹阳在中场拼抢中蹬踏吃到黄牌
51'天津泰达球员曹阳拼抢犯规,对手获得控球权.                   51'第51分钟，曹阳在中场拼抢中蹬踏吃到黄牌
51'黄牌！天津泰达球员曹阳因为恶意犯规,被主裁判出示黄牌.                   51'第51分钟，曹阳在中场拼抢中蹬踏吃到黄牌
53'达维为广州富力在对方半场,赢得一个任意球.                   51'第51分钟，曹阳在中场拼抢中蹬踏吃到黄牌
53'天津泰达球员李玮峰拼抢犯规,对手获得控球权.                   51'第51分钟，曹阳在中场拼抢中蹬踏吃到黄牌
53'黄牌！天津泰达球员李玮峰因为恶意犯规,被主裁判出示黄牌.                   51'第51分钟，曹阳在中场拼抢中蹬踏吃到黄牌
53'广州富力达维受伤倒地,比赛暂停                   51'第51分钟，曹阳在中场拼抢中蹬踏吃到黄牌
54'暂停结束,球员们重新开始比赛.                   51'第51分钟，曹阳在中场拼抢中蹬踏吃到黄牌
58'广州富力球员张远拼抢犯规,对手获得控球权.                   58'第58分钟，杜震宇左路突破被放倒，任意球吊入禁区，前后两点漏过还是被后卫顶出
58'杜震宇为天津泰达在左路,赢得一个任意球.                   58'第58分钟，杜震宇左路突破被放倒，任意球吊入禁区，前后两点漏过还是被后卫顶出
59'天津泰达球员曹阳一脚直塞球给杜震宇,但是边裁举旗显示后者已经越位.                   58'第58分钟，杜震宇左路突破被放倒，任意球吊入禁区，前后两点漏过还是被后卫顶出
60'Park Jong-Woo为广州富力赢得一个任意球.                   58'第58分钟，杜震宇左路突破被放倒，任意球吊入禁区，前后两点漏过还是被后卫顶出
60'天津泰达球员杜震宇拼抢犯规,对手获得控球权.                   58'第58分钟，杜震宇左路突破被放倒，任意球吊入禁区，前后两点漏过还是被后卫顶出
68'天津泰达球员周海滨大禁区外右脚射门,命中门柱横梁.给他传球的是瓦伦西亚.                   67'第67分钟，瓦伦西亚形成反击，他高速突破后将球分出，周海滨跟上禁区外大力轰门，皮球击中横梁弹出底线
74'暂停结束,球员们重新开始比赛.                   74'第74分钟，朴钟佑左路抹入禁区横传，哈默德射门打高
74'广州富力球员Park Jong-Woo大禁区外尝试右脚射门,可惜皮球高出球门.给他传球的是Abderazak Hamdallah.                   74'第74分钟，朴钟佑左路抹入禁区横传，哈默德射门打高
74'广州富力换人,卢琳上,达维因伤下场.                   74'第74分钟，朴钟佑左路抹入禁区横传，哈默德射门打高
75'广州富力球员Abderazak Hamdallah手球犯规,对手获得球权.                   74'第74分钟，朴钟佑左路抹入禁区横传，哈默德射门打高
76'黄牌！广州富力球员Abderazak Hamdallah因为故意手球,被主裁判出示黄牌.                   74'第74分钟，朴钟佑左路抹入禁区横传，哈默德射门打高
76'射门!!!天津泰达球员瓦伦西亚大禁区左侧左脚射门,被对方守门员横身扑出.给他传球的是王新欣.                   74'第74分钟，朴钟佑左路抹入禁区横传，哈默德射门打高
77'广州富力球员王晓龙拼抢犯规,对手获得控球权.                   74'第74分钟，朴钟佑左路抹入禁区横传，哈默德射门打高
77'王新欣为天津泰达在对方半场,赢得一个任意球.                   74'第74分钟，朴钟佑左路抹入禁区横传，哈默德射门打高
77'黄牌！广州富力球员王晓龙因为恶意犯规,被主裁判出示黄牌.                   74'第74分钟，朴钟佑左路抹入禁区横传，哈默德射门打高
76'黄牌！广州富力球员Abderazak Hamdallah因为故意手球,被主裁判出示黄牌.                   76'第76分钟，天津队突然直传，瓦伦西亚形成单刀突入禁区，但左脚射门打得太正被程月磊没收
76'射门!!!天津泰达球员瓦伦西亚大禁区左侧左脚射门,被对方守门员横身扑出.给他传球的是王新欣.                   76'第76分钟，天津队突然直传，瓦伦西亚形成单刀突入禁区，但左脚射门打得太正被程月磊没收
77'广州富力球员王晓龙拼抢犯规,对手获得控球权.                   76'第76分钟，天津队突然直传，瓦伦西亚形成单刀突入禁区，但左脚射门打得太正被程月磊没收
77'王新欣为天津泰达在对方半场,赢得一个任意球.                   76'第76分钟，天津队突然直传，瓦伦西亚形成单刀突入禁区，但左脚射门打得太正被程月磊没收
77'黄牌！广州富力球员王晓龙因为恶意犯规,被主裁判出示黄牌.                   76'第76分钟，天津队突然直传，瓦伦西亚形成单刀突入禁区，但左脚射门打得太正被程月磊没收
78'广州富力球员王晓龙大禁区中央尝试左脚射门,可惜皮球稍稍偏出了左球门.给他传球的是卢琳.                   76'第76分钟，天津队突然直传，瓦伦西亚形成单刀突入禁区，但左脚射门打得太正被程月磊没收
79'Jang Hyun-Soo将球处理出底线,天津泰达获得角球.                   76'第76分钟，天津队突然直传，瓦伦西亚形成单刀突入禁区，但左脚射门打得太正被程月磊没收
78'广州富力球员王晓龙大禁区中央尝试左脚射门,可惜皮球稍稍偏出了左球门.给他传球的是卢琳.                   78'第78分钟，哈默德妙传，李岩杀入禁区横传，王晓龙在无人盯防的情况下左脚推射竟然将球打偏
79'Jang Hyun-Soo将球处理出底线,天津泰达获得角球.                   78'第78分钟，哈默德妙传，李岩杀入禁区横传，王晓龙在无人盯防的情况下左脚推射竟然将球打偏
80'广州富力球员卢琳拼抢犯规,对手获得控球权.                   78'第78分钟，哈默德妙传，李岩杀入禁区横传，王晓龙在无人盯防的情况下左脚推射竟然将球打偏
80'杜震宇为天津泰达赢得一个任意球.                   78'第78分钟，哈默德妙传，李岩杀入禁区横传，王晓龙在无人盯防的情况下左脚推射竟然将球打偏
81'张远将球处理出底线,天津泰达获得角球.                   78'第78分钟，哈默德妙传，李岩杀入禁区横传，王晓龙在无人盯防的情况下左脚推射竟然将球打偏
80'广州富力球员卢琳拼抢犯规,对手获得控球权.                   80'第80分钟，烈鸟角球开出，富力队禁区内一片混乱，但最终还是由后卫将球解围
80'杜震宇为天津泰达赢得一个任意球.                   80'第80分钟，烈鸟角球开出，富力队禁区内一片混乱，但最终还是由后卫将球解围
81'张远将球处理出底线,天津泰达获得角球.                   80'第80分钟，烈鸟角球开出，富力队禁区内一片混乱，但最终还是由后卫将球解围
82'卢琳为广州富力在右路,赢得一个任意球.                   80'第80分钟，烈鸟角球开出，富力队禁区内一片混乱，但最终还是由后卫将球解围
82'天津泰达球员杜震宇拼抢犯规,对手获得控球权.                   80'第80分钟，烈鸟角球开出，富力队禁区内一片混乱，但最终还是由后卫将球解围
82'广州富力球员卢琳大禁区外尝试右脚射门,可惜皮球稍稍偏出了左球门.给他传球的是Abderazak Hamdallah.                   80'第80分钟，烈鸟角球开出，富力队禁区内一片混乱，但最终还是由后卫将球解围
83'广州富力球员张远手球犯规,对手获得球权.                   80'第80分钟，烈鸟角球开出，富力队禁区内一片混乱，但最终还是由后卫将球解围
83'射门!!!广州富力球员王晓龙大禁区外左脚射门,被对方守门员横身扑出.给他传球的是卢琳.                   80'第80分钟，烈鸟角球开出，富力队禁区内一片混乱，但最终还是由后卫将球解围
90'+1'进球啦！！！天津泰达球员王新欣球门线跟前头球,球从中路飞进球门,球进了!助攻的是杜震宇. 天津泰达 1-1 广州富力.                   88'第88分钟，瓦伦西亚右路下底传中，程月磊飞身将球击出不远，但天津队未能形成二次进攻
90'+3'天津泰达球员周海滨一脚直塞球给安德烈齐尼奥,但是边裁举旗显示后者已经越位.                   88'第88分钟，瓦伦西亚右路下底传中，程月磊飞身将球击出不远，但天津队未能形成二次进攻
90'+3'下半场结束,天津泰达 1-1 广州富力                   88'第88分钟，瓦伦西亚右路下底传中，程月磊飞身将球击出不远，但天津队未能形成二次进攻
