1'上半场比赛开始！！                   1'领头羊曼城第1分钟积极施压，奥塔门迪和沃克尔的外围射门均偏出
35'后点的沃克解围，自己滑倒在地                   34'纽卡斯尔第34分钟险些扳平，耶德林右路传中，沃克尔远点滑倒，阿伦斯禁区左侧挑射吊过埃德森，但奥塔门迪空门前抢在何塞卢之前头球解围
35'身后的阿隆斯拿球，面对出击的埃德森                   34'纽卡斯尔第34分钟险些扳平，耶德林右路传中，沃克尔远点滑倒，阿伦斯禁区左侧挑射吊过埃德森，但奥塔门迪空门前抢在何塞卢之前头球解围
35'起脚吊门，直奔远角                   34'纽卡斯尔第34分钟险些扳平，耶德林右路传中，沃克尔远点滑倒，阿伦斯禁区左侧挑射吊过埃德森，但奥塔门迪空门前抢在何塞卢之前头球解围
36'奥塔门迪回防，门线上，抢在何塞鲁之前，头球解围出底线                   34'纽卡斯尔第34分钟险些扳平，耶德林右路传中，沃克尔远点滑倒，阿伦斯禁区左侧挑射吊过埃德森，但奥塔门迪空门前抢在何塞卢之前头球解围
36'纽卡斯尔获得右侧角球机会！                   34'纽卡斯尔第34分钟险些扳平，耶德林右路传中，沃克尔远点滑倒，阿伦斯禁区左侧挑射吊过埃德森，但奥塔门迪空门前抢在何塞卢之前头球解围
36'比赛踢到现在，这是纽卡斯尔的第一次有效进攻，还差点破门啊！！                   34'纽卡斯尔第34分钟险些扳平，耶德林右路传中，沃克尔远点滑倒，阿伦斯禁区左侧挑射吊过埃德森，但奥塔门迪空门前抢在何塞卢之前头球解围
37'纽卡斯尔右侧角球开出，没能形成威胁！                   34'纽卡斯尔第34分钟险些扳平，耶德林右路传中，沃克尔远点滑倒，阿伦斯禁区左侧挑射吊过埃德森，但奥塔门迪空门前抢在何塞卢之前头球解围
37'达尼洛前场左路拿球，斜传到禁区                   34'纽卡斯尔第34分钟险些扳平，耶德林右路传中，沃克尔远点滑倒，阿伦斯禁区左侧挑射吊过埃德森，但奥塔门迪空门前抢在何塞卢之前头球解围
37'埃利奥特出击，没能将球拿到，只能打出禁区                   34'纽卡斯尔第34分钟险些扳平，耶德林右路传中，沃克尔远点滑倒，阿伦斯禁区左侧挑射吊过埃德森，但奥塔门迪空门前抢在何塞卢之前头球解围
66'达尼洛横传奥塔门迪，直塞京多安                   66'第66分钟，达尼洛前场断球，德布劳内远射憾中右侧立柱弹回，阿圭罗补射破门因越位在先被判无效
66'京多安的直塞被解围！！                   66'第66分钟，达尼洛前场断球，德布劳内远射憾中右侧立柱弹回，阿圭罗补射破门因越位在先被判无效
66'迪亚姆停球没停好，达尼洛上来抢断                   66'第66分钟，达尼洛前场断球，德布劳内远射憾中右侧立柱弹回，阿圭罗补射破门因越位在先被判无效
66'横传中路给到德布劳内                   66'第66分钟，达尼洛前场断球，德布劳内远射憾中右侧立柱弹回，阿圭罗补射破门因越位在先被判无效
66'德布劳内禁区外围停球调整，起脚打门！！                   66'第66分钟，达尼洛前场断球，德布劳内远射憾中右侧立柱弹回，阿圭罗补射破门因越位在先被判无效
66'埃利奥特将球封堵！！                   66'第66分钟，达尼洛前场断球，德布劳内远射憾中右侧立柱弹回，阿圭罗补射破门因越位在先被判无效
67'阿圭罗门前再补，打进，可惜越位在先，无效！！                   66'第66分钟，达尼洛前场断球，德布劳内远射憾中右侧立柱弹回，阿圭罗补射破门因越位在先被判无效
67'斯特林回防，放倒了加伊勒！！                   66'第66分钟，达尼洛前场断球，德布劳内远射憾中右侧立柱弹回，阿圭罗补射破门因越位在先被判无效
67'纽卡斯尔获得前场右路的任意球机会！                   66'第66分钟，达尼洛前场断球，德布劳内远射憾中右侧立柱弹回，阿圭罗补射破门因越位在先被判无效
67'谢尔维的任意球斜传禁区！！                   66'第66分钟，达尼洛前场断球，德布劳内远射憾中右侧立柱弹回，阿圭罗补射破门因越位在先被判无效
68'混战中的头球，埃德森出击将球拿到！！                   66'第66分钟，达尼洛前场断球，德布劳内远射憾中右侧立柱弹回，阿圭罗补射破门因越位在先被判无效
68'埃德森大脚开球到前场                   66'第66分钟，达尼洛前场断球，德布劳内远射憾中右侧立柱弹回，阿圭罗补射破门因越位在先被判无效
68'阿圭罗拿球反击，左路内切                   66'第66分钟，达尼洛前场断球，德布劳内远射憾中右侧立柱弹回，阿圭罗补射破门因越位在先被判无效
68'斜传球，拉舍莱斯的头球解围，差点乌龙啊！                   66'第66分钟，达尼洛前场断球，德布劳内远射憾中右侧立柱弹回，阿圭罗补射破门因越位在先被判无效
68'曼城获得了左侧角球机会，没能形成威胁！！                   66'第66分钟，达尼洛前场断球，德布劳内远射憾中右侧立柱弹回，阿圭罗补射破门因越位在先被判无效
89'加伊勒的附身冲顶，球擦着右侧立柱出了底线！！                   89'纽卡斯尔第89分钟险些扳平，阿特苏传中，盖尔12码处冲顶稍稍偏出
89'非常有威胁的一次进攻！！                   89'纽卡斯尔第89分钟险些扳平，阿特苏传中，盖尔12码处冲顶稍稍偏出
89'这球埃德森也是没反应，只要顶在门框范围内，必进啊                   89'纽卡斯尔第89分钟险些扳平，阿特苏传中，盖尔12码处冲顶稍稍偏出
90'拉舍莱斯后场的过顶长传！！                   89'纽卡斯尔第89分钟险些扳平，阿特苏传中，盖尔12码处冲顶稍稍偏出
90'达尼洛回防，将球解围出边线！！                   89'纽卡斯尔第89分钟险些扳平，阿特苏传中，盖尔12码处冲顶稍稍偏出
90'下半场比赛补时3分钟！！！                   89'纽卡斯尔第89分钟险些扳平，阿特苏传中，盖尔12码处冲顶稍稍偏出
91'谢尔维前场中路拿球，分球阿特苏                   89'纽卡斯尔第89分钟险些扳平，阿特苏传中，盖尔12码处冲顶稍稍偏出
91'阿特苏强突下底，倒三角回传                   89'纽卡斯尔第89分钟险些扳平，阿特苏传中，盖尔12码处冲顶稍稍偏出
92'谢尔维跟进抽射，打偏！！                   89'纽卡斯尔第89分钟险些扳平，阿特苏传中，盖尔12码处冲顶稍稍偏出
92'埃德森后场拿球，面对逼抢                   89'纽卡斯尔第89分钟险些扳平，阿特苏传中，盖尔12码处冲顶稍稍偏出
