4'奥蒂兹趟球力量过大，马赛咯卡住身位，奥蒂兹身后推人犯规                   4'第4分钟，摩德里奇直传，卡列洪禁区右侧15码处劲射被托尼奥扑出
16'卡列洪前场逼抢，一个放铲将西奎埃拉放倒，犯规                   13'第13分钟，赫迪拉同本泽马禁区边缘踢墙配合，戈麦斯阻挡犯规被罚黄牌，C-罗纳尔多任意球劲射被人墙挡出底线
16'奥蒂兹过顶球找前插的奥雷利亚纳                   13'第13分钟，赫迪拉同本泽马禁区边缘踢墙配合，戈麦斯阻挡犯规被罚黄牌，C-罗纳尔多任意球劲射被人墙挡出底线
16'拉莫斯利用速度和站位，将球护送出底线                   13'第13分钟，赫迪拉同本泽马禁区边缘踢墙配合，戈麦斯阻挡犯规被罚黄牌，C-罗纳尔多任意球劲射被人墙挡出底线
24'卡列洪禁区右侧短传给到莫德里奇                   24'第24分钟，本泽马禁区边缘回传，C-罗纳尔多禁区弧顶劲射偏出
24'莫德里奇横传找本泽马，可惜后者停球不好                   24'第24分钟，本泽马禁区边缘回传，C-罗纳尔多禁区弧顶劲射偏出
24'本泽马背身拿球，回敲给到禁区外的C罗                   24'第24分钟，本泽马禁区边缘回传，C-罗纳尔多禁区弧顶劲射偏出
25'C罗得球直接一脚怒射，球再次偏出了球门出底线                   24'第24分钟，本泽马禁区边缘回传，C-罗纳尔多禁区弧顶劲射偏出
25'格兰纳达禁区外围尝试一脚远射，赫迪拉将球挡出底线                   24'第24分钟，本泽马禁区边缘回传，C-罗纳尔多禁区弧顶劲射偏出
25'格兰纳达获得左侧的角球机会                   24'第24分钟，本泽马禁区边缘回传，C-罗纳尔多禁区弧顶劲射偏出
25'角球开到点钱，马塞洛将球解围出禁区                   24'第24分钟，本泽马禁区边缘回传，C-罗纳尔多禁区弧顶劲射偏出
26'卡列洪后场拿球，大对角长传球给到莫德里奇                   24'第24分钟，本泽马禁区边缘回传，C-罗纳尔多禁区弧顶劲射偏出
26'进球啦                   24'第24分钟，本泽马禁区边缘回传，C-罗纳尔多禁区弧顶劲射偏出
26'C罗小角度打门得手，联赛开张啦                   24'第24分钟，本泽马禁区边缘回传，C-罗纳尔多禁区弧顶劲射偏出
27'马塞洛禁区拿球给到卡列洪，卡列洪接续斜传给到C罗，C罗拿球小禁区左侧的小角度斜射打进                   24'第24分钟，本泽马禁区边缘回传，C-罗纳尔多禁区弧顶劲射偏出
32'马塞洛后场长传球到禁区，本泽马前插接应得到                   32'第32分钟，马塞洛直传，本泽马禁区左侧外脚背挑射偏出近角
32'本泽马禁区内面对托诺的出击，一脚挑射球打高啦                   32'第32分钟，马塞洛直传，本泽马禁区左侧外脚背挑射偏出近角
33'卡列洪前场逼抢中被吹罚犯规                   32'第32分钟，马塞洛直传，本泽马禁区左侧外脚背挑射偏出近角
33'拉莫斯后场抢断，将球过度给到马塞洛                   32'第32分钟，马塞洛直传，本泽马禁区左侧外脚背挑射偏出近角
33'马塞洛中场拿球斜传给到卡列洪                   32'第32分钟，马塞洛直传，本泽马禁区左侧外脚背挑射偏出近角
34'卡列洪右边路传球到禁区，第一点被格兰纳达球员解围                   32'第32分钟，马塞洛直传，本泽马禁区左侧外脚背挑射偏出近角
34'弗洛雷斯禁区左上角拿球，横向盘带，闪开角度直接一脚打门，踢偏了                   32'第32分钟，马塞洛直传，本泽马禁区左侧外脚背挑射偏出近角
35'弗洛雷斯拿球直传给到阿拉比                   32'第32分钟，马塞洛直传，本泽马禁区左侧外脚背挑射偏出近角
35'阿拉比禁区内拿球横传，佩佩在奥雷利亚纳之前将球解围                   32'第32分钟，马塞洛直传，本泽马禁区左侧外脚背挑射偏出近角
35'奥蒂兹右路得到第二落点，拉莫斯上抢抢断成功                   32'第32分钟，马塞洛直传，本泽马禁区左侧外脚背挑射偏出近角
39'洛佩斯在本泽马身后伸腿将球解围出来                   39'第39分钟，马塞洛中场丢球，佩佩对阿拉比犯规被罚黄牌
39'佩佩后场防守犯规，踢倒了尼奥姆                   39'第39分钟，马塞洛中场丢球，佩佩对阿拉比犯规被罚黄牌
39'佩佩被裁判出示黄牌警告                   39'第39分钟，马塞洛中场丢球，佩佩对阿拉比犯规被罚黄牌
40'佩佩一脸无辜，不过也没办法改变判罚的                   39'第39分钟，马塞洛中场丢球，佩佩对阿拉比犯规被罚黄牌
40'格兰纳达的前场任意球没形成威胁                   39'第39分钟，马塞洛中场丢球，佩佩对阿拉比犯规被罚黄牌
40'皇马的反击，卡列洪中场直传球找本泽马                   39'第39分钟，马塞洛中场丢球，佩佩对阿拉比犯规被罚黄牌
40'可惜球速过度，托诺在本泽马之前将球没收                   39'第39分钟，马塞洛中场丢球，佩佩对阿拉比犯规被罚黄牌
41'不知不觉上半场比赛已经接近尾声，目前比分1-0，皇马领先                   39'第39分钟，马塞洛中场丢球，佩佩对阿拉比犯规被罚黄牌
42'拉莫斯后场起球到前场，C罗拼尽全力还是没能拿到                   39'第39分钟，马塞洛中场丢球，佩佩对阿拉比犯规被罚黄牌
42'弗洛雷斯禁区左侧拿球传中到门前                   39'第39分钟，马塞洛中场丢球，佩佩对阿拉比犯规被罚黄牌
42'尼奥姆点球点附近的头球攻门顶高                   39'第39分钟，马塞洛中场丢球，佩佩对阿拉比犯规被罚黄牌
44'不过球还在皇马球员脚下                   44'第44分钟，马塞洛禁区左侧传中，本泽马禁区右侧10码处半凌空抽射打在边网
44'马塞洛禁区左侧拿球横传后点，本泽马的凌空抽射，球打在了边网上                   44'第44分钟，马塞洛禁区左侧传中，本泽马禁区右侧10码处半凌空抽射打在边网
45'C罗禁区内拿球，横带后闪开角度，右脚的抽射，托诺倒地将球没收                   44'第44分钟，马塞洛禁区左侧传中，本泽马禁区右侧10码处半凌空抽射打在边网
46'格兰纳达虽然落后一球，但是全队还是不急，11人在后场防守中                   44'第44分钟，马塞洛禁区左侧传中，本泽马禁区右侧10码处半凌空抽射打在边网
46'下半场比赛开始，皇马开球                   44'第44分钟，马塞洛禁区左侧传中，本泽马禁区右侧10码处半凌空抽射打在边网
46'皇马率先做出人员调整，迪马利亚被换上                   44'第44分钟，马塞洛禁区左侧传中，本泽马禁区右侧10码处半凌空抽射打在边网
46'弗洛雷斯禁区外拿球，拉莫斯和阿韦罗亚夹击，后者将球捅出底线                   44'第44分钟，马塞洛禁区左侧传中，本泽马禁区右侧10码处半凌空抽射打在边网
47'格兰纳达获得左侧角球机会                   44'第44分钟，马塞洛禁区左侧传中，本泽马禁区右侧10码处半凌空抽射打在边网
47'角球开到前点，卡西利亚斯不敢怠慢，将球扑出底线                   44'第44分钟，马塞洛禁区左侧传中，本泽马禁区右侧10码处半凌空抽射打在边网
47'格兰纳达继续左侧角球机会，不过这次没能形成威胁                   44'第44分钟，马塞洛禁区左侧传中，本泽马禁区右侧10码处半凌空抽射打在边网
53'从上半场的比赛来看，皇马新援莫德里奇的状态还是不错的                   53'皇马第53分钟扩大比分，迪马利亚右路突进后送出直传，C-罗纳尔多禁区右肋12码处低射远角被托尼奥勉强挡下，C-罗纳尔多小禁区边缘补射入网，2-0
53'尼奥姆中场拿球，被本泽马回防时从身后踢倒在地                   53'皇马第53分钟扩大比分，迪马利亚右路突进后送出直传，C-罗纳尔多禁区右肋12码处低射远角被托尼奥勉强挡下，C-罗纳尔多小禁区边缘补射入网，2-0
54'进球了，C罗梅开二度                   53'皇马第53分钟扩大比分，迪马利亚右路突进后送出直传，C-罗纳尔多禁区右肋12码处低射远角被托尼奥勉强挡下，C-罗纳尔多小禁区边缘补射入网，2-0
55'迪马利亚禁区直塞球给到C罗，C罗面对托诺的出击一脚打门被挡，接着的补射得手                   53'皇马第53分钟扩大比分，迪马利亚右路突进后送出直传，C-罗纳尔多禁区右肋12码处低射远角被托尼奥勉强挡下，C-罗纳尔多小禁区边缘补射入网，2-0
55'迪马利亚斜传球找本泽马，可惜后者被吹罚越位在先                   53'皇马第53分钟扩大比分，迪马利亚右路突进后送出直传，C-罗纳尔多禁区右肋12码处低射远角被托尼奥勉强挡下，C-罗纳尔多小禁区边缘补射入网，2-0
56'迪马利亚替补上场10分钟就是一次助攻，天使就是一样啊                   53'皇马第53分钟扩大比分，迪马利亚右路突进后送出直传，C-罗纳尔多禁区右肋12码处低射远角被托尼奥勉强挡下，C-罗纳尔多小禁区边缘补射入网，2-0
56'我们看到伊瓜因站在场边热身啦，看来西瓜也快出场了                   53'皇马第53分钟扩大比分，迪马利亚右路突进后送出直传，C-罗纳尔多禁区右肋12码处低射远角被托尼奥勉强挡下，C-罗纳尔多小禁区边缘补射入网，2-0
56'莫德里奇禁区外的一脚怒射，球打偏啦                   53'皇马第53分钟扩大比分，迪马利亚右路突进后送出直传，C-罗纳尔多禁区右肋12码处低射远角被托尼奥勉强挡下，C-罗纳尔多小禁区边缘补射入网，2-0
56'迪马利亚替补上场10分钟就是一次助攻，天使就是一样啊                   56'第56分钟，摩德里奇22码处劲射擦左侧立柱偏出
56'我们看到伊瓜因站在场边热身啦，看来西瓜也快出场了                   56'第56分钟，摩德里奇22码处劲射擦左侧立柱偏出
56'莫德里奇禁区外的一脚怒射，球打偏啦                   56'第56分钟，摩德里奇22码处劲射擦左侧立柱偏出
57'莫德里奇目前为止发挥的很不错，如果能取得进球，那就更完美啦                   56'第56分钟，摩德里奇22码处劲射擦左侧立柱偏出
57'本泽马前场拿球横传给到前插的阿韦洛亚                   56'第56分钟，摩德里奇22码处劲射擦左侧立柱偏出
57'阿韦洛亚将球过度给到C罗，C罗拿球进入禁区                   56'第56分钟，摩德里奇22码处劲射擦左侧立柱偏出
58'没机会，回敲给到迪马利亚                   56'第56分钟，摩德里奇22码处劲射擦左侧立柱偏出
58'迪马利亚的传中被格兰纳达球员拦截                   56'第56分钟，摩德里奇22码处劲射擦左侧立柱偏出
58'皇马再次换人，厄齐尔换下莫德里奇                   56'第56分钟，摩德里奇22码处劲射擦左侧立柱偏出
59'阿隆索中场拿球横传过度给到插上的拉莫斯                   56'第56分钟，摩德里奇22码处劲射擦左侧立柱偏出
59'拉莫斯后场长传球到前场，迪马利亚胸部停球被抢断                   56'第56分钟，摩德里奇22码处劲射擦左侧立柱偏出
60'格兰纳达的反击，中场直塞球被佩佩抢断                   60'第60分钟，戈麦斯对C-罗纳尔多阻挡犯规领到第二张黄牌被红牌罚下，阿隆索30码外任意球远射被托尼奥没收
60'C罗前场拿球被戈麦斯上抢时踢倒在地                   60'第60分钟，戈麦斯对C-罗纳尔多阻挡犯规领到第二张黄牌被红牌罚下，阿隆索30码外任意球远射被托尼奥没收
60'完了，又吃黄牌啦，两黄变一红，戈麦斯被罚出场啦                   60'第60分钟，戈麦斯对C-罗纳尔多阻挡犯规领到第二张黄牌被红牌罚下，阿隆索30码外任意球远射被托尼奥没收
61'戈麦斯拿着东西回更衣室休息洗澡休息去了                   60'第60分钟，戈麦斯对C-罗纳尔多阻挡犯规领到第二张黄牌被红牌罚下，阿隆索30码外任意球远射被托尼奥没收
61'皇马获得前场任意球机会，场上11打10啦                   60'第60分钟，戈麦斯对C-罗纳尔多阻挡犯规领到第二张黄牌被红牌罚下，阿隆索30码外任意球远射被托尼奥没收
62'阿隆索的任意球兜弧线，绕过人墙直奔球门，托诺倒地将球没收                   60'第60分钟，戈麦斯对C-罗纳尔多阻挡犯规领到第二张黄牌被红牌罚下，阿隆索30码外任意球远射被托尼奥没收
62'迪马利亚右路拿球进入禁区，在对方两名球员的包夹下失误啦                   60'第60分钟，戈麦斯对C-罗纳尔多阻挡犯规领到第二张黄牌被红牌罚下，阿隆索30码外任意球远射被托尼奥没收
63'格兰纳达换人：美因茨换下阿拉比                   60'第60分钟，戈麦斯对C-罗纳尔多阻挡犯规领到第二张黄牌被红牌罚下，阿隆索30码外任意球远射被托尼奥没收
63'格兰纳达换上一名后卫，撤下一名前锋，防守姿态继续保持着                   60'第60分钟，戈麦斯对C-罗纳尔多阻挡犯规领到第二张黄牌被红牌罚下，阿隆索30码外任意球远射被托尼奥没收
65'C罗在之前的拼抢中有点受伤，一瘸一拐的                   65'第65分钟，C-罗纳尔多被伊瓜因换下
65'皇马换人：伊瓜因换下受伤的C罗，后者是一瘸一拐的走下去啦                   65'第65分钟，C-罗纳尔多被伊瓜因换下
66'现场球迷也是长时间的掌声送给球队的核心，梅开二度的C罗                   65'第65分钟，C-罗纳尔多被伊瓜因换下
66'这样皇马的三个换人名额用完了，全部用在了进攻线上                   65'第65分钟，C-罗纳尔多被伊瓜因换下
67'本泽马禁区左侧拿球没机会，将球回敲还给到外围的拉莫斯                   65'第65分钟，C-罗纳尔多被伊瓜因换下
68'C罗下场坐在替补席，队医紧急过来为其处理                   65'第65分钟，C-罗纳尔多被伊瓜因换下
68'马塞洛左路接到厄齐尔的传球，直接一脚打门被后卫头球解围出底线                   65'第65分钟，C-罗纳尔多被伊瓜因换下
68'皇马获得左侧角球机会                   65'第65分钟，C-罗纳尔多被伊瓜因换下
76'弗洛雷斯拿球抢钱，佩佩和拉莫斯的关门，将球拦截                   76'皇马第76分钟锁定胜局，厄齐尔直传，本泽马禁区左侧传中，伊瓜因近距离轻松打入空门，3-0
76'进球啦，伊瓜因                   76'皇马第76分钟锁定胜局，厄齐尔直传，本泽马禁区左侧传中，伊瓜因近距离轻松打入空门，3-0
77'来自本泽马的助攻                   76'皇马第76分钟锁定胜局，厄齐尔直传，本泽马禁区左侧传中，伊瓜因近距离轻松打入空门，3-0
78'厄齐尔禁区斜传球给到本泽马，本泽马小禁区左侧横传球到门前，伊瓜因包抄推射空门得手                   76'皇马第76分钟锁定胜局，厄齐尔直传，本泽马禁区左侧传中，伊瓜因近距离轻松打入空门，3-0
78'不过慢镜头回放显示，厄齐尔在传球之前，本泽马已经处于越位位置，不过裁判没吹，一切都是浮云                   76'皇马第76分钟锁定胜局，厄齐尔直传，本泽马禁区左侧传中，伊瓜因近距离轻松打入空门，3-0
79'皇马的进攻再次获得右侧角球机会                   76'皇马第76分钟锁定胜局，厄齐尔直传，本泽马禁区左侧传中，伊瓜因近距离轻松打入空门，3-0
79'迪马利亚角球开出到前点，格兰纳达球员将球解围                   76'皇马第76分钟锁定胜局，厄齐尔直传，本泽马禁区左侧传中，伊瓜因近距离轻松打入空门，3-0
79'阿隆索禁区外得到第二落点，直接一脚的凌空抽射，可惜是个高射炮                   76'皇马第76分钟锁定胜局，厄齐尔直传，本泽马禁区左侧传中，伊瓜因近距离轻松打入空门，3-0
79'皇马的进攻再次获得右侧角球机会                   79'第79分钟，格拉纳达解围角球，阿隆索远射偏出
79'迪马利亚角球开出到前点，格兰纳达球员将球解围                   79'第79分钟，格拉纳达解围角球，阿隆索远射偏出
79'阿隆索禁区外得到第二落点，直接一脚的凌空抽射，可惜是个高射炮                   79'第79分钟，格拉纳达解围角球，阿隆索远射偏出
80'马塞洛前场左脚传球被抢断，不过本泽马的反抢又抢了回来                   79'第79分钟，格拉纳达解围角球，阿隆索远射偏出
81'阿韦洛亚中场过顶球找伊瓜因，后者被吹罚越位在先                   79'第79分钟，格拉纳达解围角球，阿隆索远射偏出
81'迪马利亚右路拿球，横切到了禁区右上角将球转移给到厄齐尔                   79'第79分钟，格拉纳达解围角球，阿隆索远射偏出
82'厄齐尔拿球直塞后卫身后，美因茨将球拦截                   79'第79分钟，格拉纳达解围角球，阿隆索远射偏出
84'格兰纳达中场过顶长传找罗梅罗，阿韦洛亚将球解围出边线                   84'第84分钟，替补出场的托尔热传球，弗洛雷斯射门偏出
84'弗洛雷斯禁区内接到队友的头球摆渡，直接转身的一脚打门，球踢飞了                   84'第84分钟，替补出场的托尔热传球，弗洛雷斯射门偏出
85'弗洛雷斯是格兰纳达今天在上场发挥最好的一个                   84'第84分钟，替补出场的托尔热传球，弗洛雷斯射门偏出
85'迪马利亚禁区外的倒地斜传球被断，自己也是倒地，有点受伤啦                   84'第84分钟，替补出场的托尔热传球，弗洛雷斯射门偏出
86'下半场比赛也是进入到尾声了，目前比分3-0，皇马领先                   84'第84分钟，替补出场的托尔热传球，弗洛雷斯射门偏出
87'阿韦洛亚边路传中到禁区，伊瓜因的包抄打门踢飞啦                   84'第84分钟，替补出场的托尔热传球，弗洛雷斯射门偏出
87'阿隆索中场的右脚外脚背过顶球给到左路的马塞洛                   84'第84分钟，替补出场的托尔热传球，弗洛雷斯射门偏出
91'伊里尼中场防守时被吹罚故意手球啦                   91'第91分钟，迪马利亚传球，本泽马左路25码处劲射偏出近角
91'下半场补时2分钟                   91'第91分钟，迪马利亚传球，本泽马左路25码处劲射偏出近角
91'迪马利亚拿球过度给到本泽马                   91'第91分钟，迪马利亚传球，本泽马左路25码处劲射偏出近角
91'本泽马禁区左上角的一脚怒射打近角，踢偏啦                   91'第91分钟，迪马利亚传球，本泽马左路25码处劲射偏出近角
92'今天场上最忙碌的一个人无疑就是格兰纳达的门将托诺啦                   91'第91分钟，迪马利亚传球，本泽马左路25码处劲射偏出近角
92'尼奥姆中场拿球左路进攻，自己带出来边线                   91'第91分钟，迪马利亚传球，本泽马左路25码处劲射偏出近角
93'魔力鸟起来和对方主教练握手致意                   91'第91分钟，迪马利亚传球，本泽马左路25码处劲射偏出近角
