1'上半场比赛开始                   1'第1分钟，客场作战的山东鲁能依仗吕征速度展开攻势
28'鲁能泰山队得到了角球机会                   28'第28分钟，王永珀在禁区外突然一脚冷射，球被王寿挺挡出底线
28'王永珀站在球前                   28'第28分钟，王永珀在禁区外突然一脚冷射，球被王寿挺挡出底线
29'角球发到禁区内，对方抢点顶出来                   28'第28分钟，王永珀在禁区外突然一脚冷射，球被王寿挺挡出底线
29'蒙蒂略右路直传球，吕征接球横传门前，邱盛炯出击把球扑住！                   28'第28分钟，王永珀在禁区外突然一脚冷射，球被王寿挺挡出底线
29'中场鲁能泰山队断球，交给乌索                   28'第28分钟，王永珀在禁区外突然一脚冷射，球被王寿挺挡出底线
30'郑铮左路横传，对方破坏                   28'第28分钟，王永珀在禁区外突然一脚冷射，球被王寿挺挡出底线
30'阿洛伊西奥得球，强突到禁区内！倒地！                   28'第28分钟，王永珀在禁区外突然一脚冷射，球被王寿挺挡出底线
30'但主裁判不会吹的！                   28'第28分钟，王永珀在禁区外突然一脚冷射，球被王寿挺挡出底线
31'从场面来看，相差不大！鲁能泰山队略占一点优势！                   28'第28分钟，王永珀在禁区外突然一脚冷射，球被王寿挺挡出底线
31'蒙蒂略右路带球突破，突然一脚远射！！邱盛炯把球托出！                   28'第28分钟，王永珀在禁区外突然一脚冷射，球被王寿挺挡出底线
31'不过主裁判还是吹了门球！                   28'第28分钟，王永珀在禁区外突然一脚冷射，球被王寿挺挡出底线
31'从场面来看，相差不大！鲁能泰山队略占一点优势！                   31'第31分钟，山东鲁能打出快速反击，蒙蒂略得球后长途奔袭，在禁区角上突然起脚斜射，球几乎是擦着横梁高出
31'蒙蒂略右路带球突破，突然一脚远射！！邱盛炯把球托出！                   31'第31分钟，山东鲁能打出快速反击，蒙蒂略得球后长途奔袭，在禁区角上突然起脚斜射，球几乎是擦着横梁高出
31'不过主裁判还是吹了门球！                   31'第31分钟，山东鲁能打出快速反击，蒙蒂略得球后长途奔袭，在禁区角上突然起脚斜射，球几乎是擦着横梁高出
32'莫雷诺中场接球，杜威防守背后犯规！                   31'第31分钟，山东鲁能打出快速反击，蒙蒂略得球后长途奔袭，在禁区角上突然起脚斜射，球几乎是擦着横梁高出
32'上海绿地队左路直传，横传村区被破坏出来                   31'第31分钟，山东鲁能打出快速反击，蒙蒂略得球后长途奔袭，在禁区角上突然起脚斜射，球几乎是擦着横梁高出
32'王永珀右路强突横传禁区，对方解围，打在了阿洛伊西奥身上出底线                   31'第31分钟，山东鲁能打出快速反击，蒙蒂略得球后长途奔袭，在禁区角上突然起脚斜射，球几乎是擦着横梁高出
33'上海绿地队门球                   31'第31分钟，山东鲁能打出快速反击，蒙蒂略得球后长途奔袭，在禁区角上突然起脚斜射，球几乎是擦着横梁高出
34'亟需大量资本的马克思：山东挑外援的眼光跟恒大比真是天差地别！回复[个人感觉不能因为暂遇到困难就否定一切！鲁能泰山队的外援还是有相当实力的，洛维、阿洛伊西奥和乌索！当然还有麦克格文！]                   31'第31分钟，山东鲁能打出快速反击，蒙蒂略得球后长途奔袭，在禁区角上突然起脚斜射，球几乎是擦着横梁高出
34'阿洛伊西奥右路直传球，想给赵明剑，球传大啦                   31'第31分钟，山东鲁能打出快速反击，蒙蒂略得球后长途奔袭，在禁区角上突然起脚斜射，球几乎是擦着横梁高出
34'范志毅！范大将军变化比较大啊！                   31'第31分钟，山东鲁能打出快速反击，蒙蒂略得球后长途奔袭，在禁区角上突然起脚斜射，球几乎是擦着横梁高出
34'亟需大量资本的马克思：山东挑外援的眼光跟恒大比真是天差地别！回复[个人感觉不能因为暂遇到困难就否定一切！鲁能泰山队的外援还是有相当实力的，洛维、阿洛伊西奥和乌索！当然还有麦克格文！]                   34'第34分钟，王寿挺飞铲刘彬彬，吃到本场第一张黄牌
34'阿洛伊西奥右路直传球，想给赵明剑，球传大啦                   34'第34分钟，王寿挺飞铲刘彬彬，吃到本场第一张黄牌
34'范志毅！范大将军变化比较大啊！                   34'第34分钟，王寿挺飞铲刘彬彬，吃到本场第一张黄牌
35'刘彬彬中路强突，被放倒啦！进攻有利！主裁判没有吹！                   34'第34分钟，王寿挺飞铲刘彬彬，吃到本场第一张黄牌
35'看到刘彬彬倒在地上，主裁判给王寿挺出示黄牌！这脚铲球动作太大，亮鞋底啦                   34'第34分钟，王寿挺飞铲刘彬彬，吃到本场第一张黄牌
36'请双方球迷不要互相攻击！文明看球吧！                   34'第34分钟，王寿挺飞铲刘彬彬，吃到本场第一张黄牌
36'后场上海绿地队得球，快速反击！                   34'第34分钟，王寿挺飞铲刘彬彬，吃到本场第一张黄牌
37'姜坤直传禁区！高迪已经杀到，王大雷把球没收！高迪还是慢啦                   34'第34分钟，王寿挺飞铲刘彬彬，吃到本场第一张黄牌
37'鲁能泰山队传禁区，范凌江把球破坏出来，乌索抢断                   34'第34分钟，王寿挺飞铲刘彬彬，吃到本场第一张黄牌
37'王永珀传禁区后点，阿洛伊西奥头球顶门！被邱盛炯打出！                   34'第34分钟，王寿挺飞铲刘彬彬，吃到本场第一张黄牌
37'角球机会                   34'第34分钟，王寿挺飞铲刘彬彬，吃到本场第一张黄牌
40'鲁能泰山队前场断球，可惜阿洛伊西奥强突没能过去！要是传一脚就有机会啊                   40'第40分钟，莫雷诺在禁区外突施冷箭偏出
41'stein20nian：请主持人报主队的全称好吗？即便你是鲁能球迷但也要尊重其他球队和球迷的感受，整天绿地绿地的看着烦！回复[噢，没想到您是这么想的！接受！上海绿地队前四十分钟表现还好，双方对攻更多一些]                   40'第40分钟，莫雷诺在禁区外突施冷箭偏出
41'乌索后场拿球，回传给了王大雷                   40'第40分钟，莫雷诺在禁区外突施冷箭偏出
41'鲁能泰山队左路攻到前场，保罗把球破坏出边线                   40'第40分钟，莫雷诺在禁区外突施冷箭偏出
42'阿洛伊西奥前场拿球回传，王永珀横传右路                   40'第40分钟，莫雷诺在禁区外突施冷箭偏出
42'鲁能泰山队右路斜传禁区，阿洛伊西奥争顶时犯规！                   40'第40分钟，莫雷诺在禁区外突施冷箭偏出
43'王永珀右路直传，鲁能泰山队发动反击                   40'第40分钟，莫雷诺在禁区外突施冷箭偏出
43'吕征到了左路，横传球给乌索                   40'第40分钟，莫雷诺在禁区外突施冷箭偏出
43'蒙蒂略啊，接球挑传到禁区，阿洛伊西奥越位！                   40'第40分钟，莫雷诺在禁区外突施冷箭偏出
44'吕征已经在右路启动了啊，这应该是右传的                   44'第44分钟，上海申花反击进攻，莫雷诺背身拿球挑球过掉戴琳后，又闪开杜威，禁区外突然远射，球被王大雷倒地扑出
44'阿洛伊西奥在前场抢球犯规，放倒了王寿挺                   44'第44分钟，上海申花反击进攻，莫雷诺背身拿球挑球过掉戴琳后，又闪开杜威，禁区外突然远射，球被王大雷倒地扑出
44'莫雷诺在前场拿球，外围突然一脚劲射！险些破门啊，被王大雷扑出底线！                   44'第44分钟，上海申花反击进攻，莫雷诺背身拿球挑球过掉戴琳后，又闪开杜威，禁区外突然远射，球被王大雷倒地扑出
45'现场的球迷在为王大雷喝彩！不管是鲁能球迷还是绿上海绿地队球迷，都在为他的精彩扑救喝彩！这是真球迷！                   44'第44分钟，上海申花反击进攻，莫雷诺背身拿球挑球过掉戴琳后，又闪开杜威，禁区外突然远射，球被王大雷倒地扑出
45'王永珀珠场拿球，快速反击，传给了右路的刘彬彬！                   44'第44分钟，上海申花反击进攻，莫雷诺背身拿球挑球过掉戴琳后，又闪开杜威，禁区外突然远射，球被王大雷倒地扑出
45'刘彬彬右路横传禁区！乌索的绝好机会啊，应该是顶门啊，却象是解围，顶回给刘彬彬！                   44'第44分钟，上海申花反击进攻，莫雷诺背身拿球挑球过掉戴琳后，又闪开杜威，禁区外突然远射，球被王大雷倒地扑出
45'有点跑过了！                   44'第44分钟，上海申花反击进攻，莫雷诺背身拿球挑球过掉戴琳后，又闪开杜威，禁区外突然远射，球被王大雷倒地扑出
46'乌索顶到球后碰到了邱盛炯！邱盛炯受了点伤！                   44'第44分钟，上海申花反击进攻，莫雷诺背身拿球挑球过掉戴琳后，又闪开杜威，禁区外突然远射，球被王大雷倒地扑出
46'不过问题不大！                   44'第44分钟，上海申花反击进攻，莫雷诺背身拿球挑球过掉戴琳后，又闪开杜威，禁区外突然远射，球被王大雷倒地扑出
46'上半场比赛要补时 1 分钟                   44'第44分钟，上海申花反击进攻，莫雷诺背身拿球挑球过掉戴琳后，又闪开杜威，禁区外突然远射，球被王大雷倒地扑出
46'赵明剑发界外球，队友回传，赵明剑再突破又被破坏出边线                   44'第44分钟，上海申花反击进攻，莫雷诺背身拿球挑球过掉戴琳后，又闪开杜威，禁区外突然远射，球被王大雷倒地扑出
47'戴琳上来啦！外围远射，没压住啊                   44'第44分钟，上海申花反击进攻，莫雷诺背身拿球挑球过掉戴琳后，又闪开杜威，禁区外突然远射，球被王大雷倒地扑出
47'邱盛炯发出门球，主裁判的哨声也响了                   44'第44分钟，上海申花反击进攻，莫雷诺背身拿球挑球过掉戴琳后，又闪开杜威，禁区外突然远射，球被王大雷倒地扑出
47'上半场比赛结束，双方都没能破门，战成0-0！                   44'第44分钟，上海申花反击进攻，莫雷诺背身拿球挑球过掉戴琳后，又闪开杜威，禁区外突然远射，球被王大雷倒地扑出
47'从上半场的比赛来看，双方应该是五五开！                   44'第44分钟，上海申花反击进攻，莫雷诺背身拿球挑球过掉戴琳后，又闪开杜威，禁区外突然远射，球被王大雷倒地扑出
46'下半场开始                   44'第44分钟，上海申花反击进攻，莫雷诺背身拿球挑球过掉戴琳后，又闪开杜威，禁区外突然远射，球被王大雷倒地扑出
46'鲁能泰山队长传前场，郑铮绕前抢球，李文博推倒                   44'第44分钟，上海申花反击进攻，莫雷诺背身拿球挑球过掉戴琳后，又闪开杜威，禁区外突然远射，球被王大雷倒地扑出
46'鲁能泰山队得到前场左路任意球机会                   44'第44分钟，上海申花反击进攻，莫雷诺背身拿球挑球过掉戴琳后，又闪开杜威，禁区外突然远射，球被王大雷倒地扑出
47'任意球发到禁区内，对方顶了一下到另一侧                   44'第44分钟，上海申花反击进攻，莫雷诺背身拿球挑球过掉戴琳后，又闪开杜威，禁区外突然远射，球被王大雷倒地扑出
47'刘彬彬拿球回带，交给吕征，对方抢球出边线                   44'第44分钟，上海申花反击进攻，莫雷诺背身拿球挑球过掉戴琳后，又闪开杜威，禁区外突然远射，球被王大雷倒地扑出
47'鲁能泰山队外围劲射，打在对方身上                   44'第44分钟，上海申花反击进攻，莫雷诺背身拿球挑球过掉戴琳后，又闪开杜威，禁区外突然远射，球被王大雷倒地扑出
49'莫雷诺突破！一脚劲射，打偏啦！                   49'第49分钟，上海申花反击，莫雷诺拿球过掉杜威后大力射门，只可惜偏出
50'阿洛伊西奥啊！绝对机会！蒙蒂略突破到禁区内横传，阿洛伊西奥抬右脚打门，可惜皮球打在了左脚上出底线                   49'第49分钟，上海申花反击，莫雷诺拿球过掉杜威后大力射门，只可惜偏出
50'多好的机会啊，只要右脚碰到就进啦！                   49'第49分钟，上海申花反击，莫雷诺拿球过掉杜威后大力射门，只可惜偏出
51'王永珀右路拿球，对方两人逼抢，推倒了王永珀                   49'第49分钟，上海申花反击，莫雷诺拿球过掉杜威后大力射门，只可惜偏出
51'鲁能泰山队快速发出任意球，裁判哨响，示意重发                   49'第49分钟，上海申花反击，莫雷诺拿球过掉杜威后大力射门，只可惜偏出
51'上海绿地队快速反击，到前场分到右路                   49'第49分钟，上海申花反击，莫雷诺拿球过掉杜威后大力射门，只可惜偏出
52'莫雷诺左路突破到禁区内，假动作突破，被赵明剑大脚破坏！                   49'第49分钟，上海申花反击，莫雷诺拿球过掉杜威后大力射门，只可惜偏出
52'上海绿地队得到角球机会                   49'第49分钟，上海申花反击，莫雷诺拿球过掉杜威后大力射门，只可惜偏出
52'战术角球发出来，上海绿地队左路斜传禁区，后点回传，跟上队员打门，很近的距离，被王大雷挡出！                   49'第49分钟，上海申花反击，莫雷诺拿球过掉杜威后大力射门，只可惜偏出
52'莫雷诺左路突破到禁区内，假动作突破，被赵明剑大脚破坏！                   52'第52分钟，上海申花传中球造成山东鲁能后防线混乱，徐亮外脚背钩传，高迪凌空打门被王大雷挡出
52'上海绿地队得到角球机会                   52'第52分钟，上海申花传中球造成山东鲁能后防线混乱，徐亮外脚背钩传，高迪凌空打门被王大雷挡出
52'战术角球发出来，上海绿地队左路斜传禁区，后点回传，跟上队员打门，很近的距离，被王大雷挡出！                   52'第52分钟，上海申花传中球造成山东鲁能后防线混乱，徐亮外脚背钩传，高迪凌空打门被王大雷挡出
53'鲁能泰山队长传进攻到前场！又有机会，阿洛伊西奥禁区内右路得球，斜传球，力量太小啦！直接被邱盛炯扑住！                   52'第52分钟，上海申花传中球造成山东鲁能后防线混乱，徐亮外脚背钩传，高迪凌空打门被王大雷挡出
53'这球阿洛伊西奥应该自己打门，或者传球力量大一点啊！                   52'第52分钟，上海申花传中球造成山东鲁能后防线混乱，徐亮外脚背钩传，高迪凌空打门被王大雷挡出
53'王永珀和吕征都显得不理解，阿洛伊西奥怎么这样传球呢？                   52'第52分钟，上海申花传中球造成山东鲁能后防线混乱，徐亮外脚背钩传，高迪凌空打门被王大雷挡出
54'点球！！！上海绿地队！                   52'第52分钟，上海申花传中球造成山东鲁能后防线混乱，徐亮外脚背钩传，高迪凌空打门被王大雷挡出
54'曹赟定突破到禁区内，赵明剑防守到位！双方都地，并没有太明显的犯规啊！                   52'第52分钟，上海申花传中球造成山东鲁能后防线混乱，徐亮外脚背钩传，高迪凌空打门被王大雷挡出
55'互相有拉扯！不过主裁判判了！鲁能泰山队员上前与裁判理论！但无法改变！                   52'第52分钟，上海申花传中球造成山东鲁能后防线混乱，徐亮外脚背钩传，高迪凌空打门被王大雷挡出
55'莫雷诺罚点球！劲射命中！                   52'第52分钟，上海申花传中球造成山东鲁能后防线混乱，徐亮外脚背钩传，高迪凌空打门被王大雷挡出
55'上海绿地队率先进球！您猜对了吗？                   52'第52分钟，上海申花传中球造成山东鲁能后防线混乱，徐亮外脚背钩传，高迪凌空打门被王大雷挡出
55'互相有拉扯！不过主裁判判了！鲁能泰山队员上前与裁判理论！但无法改变！                   55'第55分钟，被动的上海申花率先破门
55'莫雷诺罚点球！劲射命中！                   55'第55分钟，被动的上海申花率先破门
55'上海绿地队率先进球！您猜对了吗？                   55'第55分钟，被动的上海申花率先破门
56'幸福de小牛：一统，我支持你很看好你，，不过野牛是什么样的动作啊，右脚射门打在左脚上，难度很高的样子，感觉打丢的难度大于打进！呵呵山东加油，别辜负了富力。回复[是蒙蒂略传球，阿洛伊西奥想右脚打门没有踢到，球碰到了他的左腿！]                   55'第55分钟，被动的上海申花率先破门
56'后场上海绿地队得球，大脚长传！                   55'第55分钟，被动的上海申花率先破门
56'上海绿地队进球后士气大增！                   55'第55分钟，被动的上海申花率先破门
57'阿洛伊西奥中场拿球，姜坤上前防守，两人有摔跤动作！                   55'第55分钟，被动的上海申花率先破门
58'王永珀右路横传交给蔚，乌索横传                   55'第55分钟，被动的上海申花率先破门
58'鲁能泰山队点球！！乌索突破，被范凌江放倒！                   55'第55分钟，被动的上海申花率先破门
58'这是找平衡吗？                   55'第55分钟，被动的上海申花率先破门
59'不过范凌江确实有犯规啊！                   59'第59分钟，山东鲁能也获得点球机会，乌索禁区内被范凌江放倒，主裁判吹罚点球，蒙蒂略操刀主罚，但是他的射门骗过了门将，却被立柱挡出
59'鲁能泰山队换人：韩鹏上场，换下吕征！                   59'第59分钟，山东鲁能也获得点球机会，乌索禁区内被范凌江放倒，主裁判吹罚点球，蒙蒂略操刀主罚，但是他的射门骗过了门将，却被立柱挡出
59'蒙蒂略！！罚点球击中立柱！！挡回来啦，范凌江把球破坏                   59'第59分钟，山东鲁能也获得点球机会，乌索禁区内被范凌江放倒，主裁判吹罚点球，蒙蒂略操刀主罚，但是他的射门骗过了门将，却被立柱挡出
59'鲁能泰山队角球                   59'第59分钟，山东鲁能也获得点球机会，乌索禁区内被范凌江放倒，主裁判吹罚点球，蒙蒂略操刀主罚，但是他的射门骗过了门将，却被立柱挡出
59'角球发到禁区内，球到另一侧                   59'第59分钟，山东鲁能也获得点球机会，乌索禁区内被范凌江放倒，主裁判吹罚点球，蒙蒂略操刀主罚，但是他的射门骗过了门将，却被立柱挡出
60'乌索前场拿球，交给王永珀！                   59'第59分钟，山东鲁能也获得点球机会，乌索禁区内被范凌江放倒，主裁判吹罚点球，蒙蒂略操刀主罚，但是他的射门骗过了门将，却被立柱挡出
60'王永珀突破一脚劲射，高出横梁！                   59'第59分钟，山东鲁能也获得点球机会，乌索禁区内被范凌江放倒，主裁判吹罚点球，蒙蒂略操刀主罚，但是他的射门骗过了门将，却被立柱挡出
60'鲁能泰山队错失一个金子般搬平的机会！                   59'第59分钟，山东鲁能也获得点球机会，乌索禁区内被范凌江放倒，主裁判吹罚点球，蒙蒂略操刀主罚，但是他的射门骗过了门将，却被立柱挡出
61'阿洛伊西奥右路突破，被放倒！阿洛伊西奥在示意裁判应该出牌子！又是范凌江的犯规！                   59'第59分钟，山东鲁能也获得点球机会，乌索禁区内被范凌江放倒，主裁判吹罚点球，蒙蒂略操刀主罚，但是他的射门骗过了门将，却被立柱挡出
61'王永珀发任意球到禁区内，韩鹏抢点争头球，没能顶到                   59'第59分钟，山东鲁能也获得点球机会，乌索禁区内被范凌江放倒，主裁判吹罚点球，蒙蒂略操刀主罚，但是他的射门骗过了门将，却被立柱挡出
61'乌索在另一侧争抢犯规                   59'第59分钟，山东鲁能也获得点球机会，乌索禁区内被范凌江放倒，主裁判吹罚点球，蒙蒂略操刀主罚，但是他的射门骗过了门将，却被立柱挡出
62'现场的球迷在向场内扔矿泉水瓶子！我们大家都应该文明观战！                   59'第59分钟，山东鲁能也获得点球机会，乌索禁区内被范凌江放倒，主裁判吹罚点球，蒙蒂略操刀主罚，但是他的射门骗过了门将，却被立柱挡出
62'上海绿地队在前场右路传球失误                   59'第59分钟，山东鲁能也获得点球机会，乌索禁区内被范凌江放倒，主裁判吹罚点球，蒙蒂略操刀主罚，但是他的射门骗过了门将，却被立柱挡出
64'小手冰凉921:蒙蒂略有点次啊，打的真心不好回复[蒙蒂略的组织还可以，但打门感觉不如阿洛伊西奥]                   64'第64分钟，赵明剑边路传中，韩鹏在曹秉钧干扰下头球攻门，球擦着立柱偏出
64'鲁能泰山队右路斜传，韩鹏头球顶门！没能顶到                   64'第64分钟，赵明剑边路传中，韩鹏在曹秉钧干扰下头球攻门，球擦着立柱偏出
64'[互动话题]鲁能泰山队错失扳平的一粒点球！他们能扳平或者反超吗？A、能 B、不能！[qiangda]                   64'第64分钟，赵明剑边路传中，韩鹏在曹秉钧干扰下头球攻门，球擦着立柱偏出
65'上海绿地队右路快速反击，郑铮防守犯规                   64'第64分钟，赵明剑边路传中，韩鹏在曹秉钧干扰下头球攻门，球擦着立柱偏出
65'战术任意球发出来，上海绿地队把球回传后场，再转移到左路                   64'第64分钟，赵明剑边路传中，韩鹏在曹秉钧干扰下头球攻门，球擦着立柱偏出
65'上海绿地队长传前场，高迪头球顶了一下，球出底线                   64'第64分钟，赵明剑边路传中，韩鹏在曹秉钧干扰下头球攻门，球擦着立柱偏出
66'韩鹏在前场拿球，左中睡直接打门，被挡出底线                   64'第64分钟，赵明剑边路传中，韩鹏在曹秉钧干扰下头球攻门，球擦着立柱偏出
66'蒙蒂略来开角球                   64'第64分钟，赵明剑边路传中，韩鹏在曹秉钧干扰下头球攻门，球擦着立柱偏出
66'角球发前点，徐亮抢点顶出来                   64'第64分钟，赵明剑边路传中，韩鹏在曹秉钧干扰下头球攻门，球擦着立柱偏出
67'戴琳带球突破禁区？应该早传球啊                   64'第64分钟，赵明剑边路传中，韩鹏在曹秉钧干扰下头球攻门，球擦着立柱偏出
67'莫雷诺左路带球进攻，被挤出边线，王永珀的动作还是大了些啊                   64'第64分钟，赵明剑边路传中，韩鹏在曹秉钧干扰下头球攻门，球擦着立柱偏出
67'莫雷诺左路传球，没能过去                   64'第64分钟，赵明剑边路传中，韩鹏在曹秉钧干扰下头球攻门，球擦着立柱偏出
67'莫雷诺护住球，王永珀上抢出界                   64'第64分钟，赵明剑边路传中，韩鹏在曹秉钧干扰下头球攻门，球擦着立柱偏出
71'王永珀发任意球直接打门，角度不错，球速稍慢，被邱盛炯没收！                   71'第71分钟，山东鲁能获得禁区前沿任意球，王永珀直接大力远射，球被邱盛炯没收
71'鲁能泰山队换人：张文钊上场，换下王永珀                   71'第71分钟，山东鲁能获得禁区前沿任意球，王永珀直接大力远射，球被邱盛炯没收
71'刘彬彬后场拿球，转移到右睡交给赵明剑                   71'第71分钟，山东鲁能获得禁区前沿任意球，王永珀直接大力远射，球被邱盛炯没收
71'鲁能泰山队右路横传禁区，保罗把球破坏出底线，角球                   71'第71分钟，山东鲁能获得禁区前沿任意球，王永珀直接大力远射，球被邱盛炯没收
72'蒙蒂略发角球到禁区内，乱军中球落地！戴琳左脚打门，哎，这象射门吗？又高又偏                   71'第71分钟，山东鲁能获得禁区前沿任意球，王永珀直接大力远射，球被邱盛炯没收
73'阿洛伊西奥前场右路拿球，人球分过，没能成功                   71'第71分钟，山东鲁能获得禁区前沿任意球，王永珀直接大力远射，球被邱盛炯没收
73'刘彬彬停球大了，被对方铲掉                   71'第71分钟，山东鲁能获得禁区前沿任意球，王永珀直接大力远射，球被邱盛炯没收
73'范凌江抽筋倒在地上！赵明剑还要传球，被对方截断，上海绿地队把球开出边线                   71'第71分钟，山东鲁能获得禁区前沿任意球，王永珀直接大力远射，球被邱盛炯没收
73'范凌江本场拼得也比较凶啊！                   71'第71分钟，山东鲁能获得禁区前沿任意球，王永珀直接大力远射，球被邱盛炯没收
72'蒙蒂略发角球到禁区内，乱军中球落地！戴琳左脚打门，哎，这象射门吗？又高又偏                   72'第72分钟，山东鲁能角球进攻，蒙蒂略传入禁区，申花队头球解围，戴琳禁区内无人防守状态下凌空打门高出
73'阿洛伊西奥前场右路拿球，人球分过，没能成功                   72'第72分钟，山东鲁能角球进攻，蒙蒂略传入禁区，申花队头球解围，戴琳禁区内无人防守状态下凌空打门高出
