3'南安普敦球员兰伯特大禁区外尝试右脚射门,可惜皮球稍稍偏出了右球门.                   3'第3分钟，卢卡斯中场被抢断，兰伯特30码处远射偏出
37'利物浦球员斯特林一脚直塞球给苏亚雷斯,但是边裁举旗显示后者已经越位.                   36'利物浦第36分钟险些破门，杰拉德传球，谢尔维禁区右侧12码处小角度抽射击中远角立柱弹回
38'南安普敦球员邦臣手球犯规,对手获得球权.                   36'利物浦第36分钟险些破门，杰拉德传球，谢尔维禁区右侧12码处小角度抽射击中远角立柱弹回
43'进球啦！！！利物浦球员阿格尔大禁区中央头球,球从右上角飞进球门,球进了!助攻的是格伦-约翰逊. 利物浦 1-0 南安普敦.                   43'利物浦第43分钟打破僵局，格伦-约翰逊右路传中，阿格尔10码处头球顶入右上角，这是他为利物浦打入的第10粒入球
45'格伦-约翰逊将球处理出底线,南安普敦获得角球.                   43'利物浦第43分钟打破僵局，格伦-约翰逊右路传中，阿格尔10码处头球顶入右上角，这是他为利物浦打入的第10粒入球
45'南安普敦球员邦臣拼抢犯规,对手获得控球权.                   43'利物浦第43分钟打破僵局，格伦-约翰逊右路传中，阿格尔10码处头球顶入右上角，这是他为利物浦打入的第10粒入球
45'雷纳为利物浦赢得一个任意球.                   43'利物浦第43分钟打破僵局，格伦-约翰逊右路传中，阿格尔10码处头球顶入右上角，这是他为利物浦打入的第10粒入球
45'+1'利物浦球员斯特林大禁区中央尝试头球,可惜皮球稍稍偏出了左球门.给他传球的是谢尔维.                   43'利物浦第43分钟打破僵局，格伦-约翰逊右路传中，阿格尔10码处头球顶入右上角，这是他为利物浦打入的第10粒入球
45'+1'射门!!!南安普敦球员兰伯特右脚射门,被对方守门员横身扑出.给他传球的是加扎尼加.                   43'利物浦第43分钟打破僵局，格伦-约翰逊右路传中，阿格尔10码处头球顶入右上角，这是他为利物浦打入的第10粒入球
45'+1'雷纳将球处理出底线,南安普敦获得角球.                   43'利物浦第43分钟打破僵局，格伦-约翰逊右路传中，阿格尔10码处头球顶入右上角，这是他为利物浦打入的第10粒入球
45'+2'南安普敦球员兰伯特大禁区中央尝试头球,可惜皮球稍稍偏出了右球门.给他传球的是拉拉纳.                   43'利物浦第43分钟打破僵局，格伦-约翰逊右路传中，阿格尔10码处头球顶入右上角，这是他为利物浦打入的第10粒入球
45'+2'上半场结束,利物浦 1-0 南安普敦,稍事休息,我们一会来看看下半场两队的表现.                   43'利物浦第43分钟打破僵局，格伦-约翰逊右路传中，阿格尔10码处头球顶入右上角，这是他为利物浦打入的第10粒入球
49'南安普敦球员邦臣大禁区右侧左脚射门,被防守球员封堵.给他传球的是拉拉纳.                   49'第49分钟，拉拉纳传球，庞彻昂切入禁区右侧的射门被阿格尔挡出近角
49'阿格尔将球处理出底线,南安普敦获得角球.                   49'第49分钟，拉拉纳传球，庞彻昂切入禁区右侧的射门被阿格尔挡出近角
51'斯特林将球处理出底线,南安普敦获得角球.                   49'第49分钟，拉拉纳传球，庞彻昂切入禁区右侧的射门被阿格尔挡出近角
60'射门!!!利物浦球员斯特林大禁区中央左脚射门,被对方守门员横身扑出.给他传球的是格伦-约翰逊.                   60'第60分钟，格伦-约翰逊传球，斯特灵禁区边缘内射门被挡，加扎尼加轻松没收
62'拉米雷斯为南安普敦在对方半场,赢得一个任意球.                   60'第60分钟，格伦-约翰逊传球，斯特灵禁区边缘内射门被挡，加扎尼加轻松没收
62'利物浦球员乔-阿伦拼抢犯规,对手获得控球权.                   60'第60分钟，格伦-约翰逊传球，斯特灵禁区边缘内射门被挡，加扎尼加轻松没收
63'南安普敦球员斯内德林拼抢犯规,对手获得控球权.                   60'第60分钟，格伦-约翰逊传球，斯特灵禁区边缘内射门被挡，加扎尼加轻松没收
63'乔-阿伦为利物浦在对方半场,赢得一个任意球.                   60'第60分钟，格伦-约翰逊传球，斯特灵禁区边缘内射门被挡，加扎尼加轻松没收
71'南安普敦球员拉拉纳大禁区中央尝试头球,可惜皮球稍稍偏出了左球门.给他传球的是拉米雷斯.                   71'第71分钟，拉米雷斯传球，拉拉纳头球攻门偏出
73'S-戴维斯将球处理出底线,利物浦获得角球.                   71'第71分钟，拉米雷斯传球，拉拉纳头球攻门偏出
73'利物浦球员斯科特尔大禁区中央尝试头球,可惜皮球稍稍偏出了左球门.给他传球的是谢尔维.                   71'第71分钟，拉米雷斯传球，拉拉纳头球攻门偏出
74'兰伯特为南安普敦在对方半场,赢得一个任意球.                   71'第71分钟，拉米雷斯传球，拉拉纳头球攻门偏出
74'利物浦球员卢卡斯拼抢犯规,对手获得控球权.                   71'第71分钟，拉米雷斯传球，拉拉纳头球攻门偏出
77'射门!!!利物浦球员何塞-恩里克大禁区左侧左脚射门,被对方守门员横身扑出.给他传球的是格伦-约翰逊.                   77'第77分钟，格伦-约翰逊传球，恩里克禁区左侧16码处抽射被加扎尼加双拳封出
77'利物浦球员格伦-约翰逊大禁区外尝试左脚射门,可惜皮球偏出球门.给他传球的是斯特林.                   77'第77分钟，格伦-约翰逊传球，恩里克禁区左侧16码处抽射被加扎尼加双拳封出
78'南安普敦换人,J-罗德里格斯换下邦臣                   77'第77分钟，格伦-约翰逊传球，恩里克禁区左侧16码处抽射被加扎尼加双拳封出
79'南安普敦球员J-罗德里格斯拼抢犯规,对手获得控球权.                   77'第77分钟，格伦-约翰逊传球，恩里克禁区左侧16码处抽射被加扎尼加双拳封出
79'阿格尔为利物浦赢得一个任意球.                   77'第77分钟，格伦-约翰逊传球，恩里克禁区左侧16码处抽射被加扎尼加双拳封出
80'利物浦球员苏亚雷斯手球犯规,对手获得球权.                   77'第77分钟，格伦-约翰逊传球，恩里克禁区左侧16码处抽射被加扎尼加双拳封出
81'黄牌！利物浦球员苏亚雷斯因为故意手球,被主裁判出示黄牌.                   81'第81分钟，杰拉德小禁区右侧传中，苏亚雷斯手球拍高出横梁被罚黄牌
83'肖将球处理出底线,利物浦获得角球.                   81'第81分钟，杰拉德小禁区右侧传中，苏亚雷斯手球拍高出横梁被罚黄牌
84'利物浦球员格伦-约翰逊手球犯规,对手获得球权.                   81'第81分钟，杰拉德小禁区右侧传中，苏亚雷斯手球拍高出横梁被罚黄牌
84'南安普敦球员兰伯特大禁区中央右脚射门,被防守球员封堵.给他传球的是J-罗德里格斯.                   81'第81分钟，杰拉德小禁区右侧传中，苏亚雷斯手球拍高出横梁被罚黄牌
