1'上半场比赛开始！！                   1'阿森纳第1分钟连续后场失误，但巴黎未能抓住反击创造得分机会
54'小卢卡斯的任意球直接轰门，击中横梁上演出界！！                   52'第52分钟，科斯切尔尼后场失误后对小卢卡斯战术犯规被黄牌警告
54'巴黎前场进攻，吉布斯的防守犯规！                   52'第52分钟，科斯切尔尼后场失误后对小卢卡斯战术犯规被黄牌警告
54'小卢卡斯右路任意球，斜传禁区，没能形成威胁                   52'第52分钟，科斯切尔尼后场失误后对小卢卡斯战术犯规被黄牌警告
54'马克斯维尔左路拿球，斜传禁区，第一点被阿森纳球员解围                   52'第52分钟，科斯切尔尼后场失误后对小卢卡斯战术犯规被黄牌警告
54'阿森纳的反击，桑切斯右路拿球                   52'第52分钟，科斯切尔尼后场失误后对小卢卡斯战术犯规被黄牌警告
55'面对维拉蒂的上抢，急停，再起速                   52'第52分钟，科斯切尔尼后场失误后对小卢卡斯战术犯规被黄牌警告
55'维拉蒂回防身后拉人犯规！！                   52'第52分钟，科斯切尔尼后场失误后对小卢卡斯战术犯规被黄牌警告
55'维拉蒂被主裁判出示了黄牌警告！！                   52'第52分钟，科斯切尔尼后场失误后对小卢卡斯战术犯规被黄牌警告
60'詹金森右路横传球，被挡出，拉姆塞迎球怒射，打在马基尼奥斯身上弹回，再碰维拉蒂后弹进网窝！                   60'阿森纳第60分钟反超比分，拉姆塞禁区右侧射门被挡，马尔基尼奥斯解围打中维拉蒂反弹入自家大门，2-1
60'维拉蒂后场拿球，遭遇三人围抢，失误啦                   60'阿森纳第60分钟反超比分，拉姆塞禁区右侧射门被挡，马尔基尼奥斯解围打中维拉蒂反弹入自家大门，2-1
61'拉姆塞分球给桑切斯，桑切斯再给詹金森                   60'阿森纳第60分钟反超比分，拉姆塞禁区右侧射门被挡，马尔基尼奥斯解围打中维拉蒂反弹入自家大门，2-1
61'詹金森回给后场的穆斯塔菲，控制一下                   60'阿森纳第60分钟反超比分，拉姆塞禁区右侧射门被挡，马尔基尼奥斯解围打中维拉蒂反弹入自家大门，2-1
62'巴黎前场的进攻，卡瓦尼禁区右上角的挑传到后点                   60'阿森纳第60分钟反超比分，拉姆塞禁区右侧射门被挡，马尔基尼奥斯解围打中维拉蒂反弹入自家大门，2-1
62'直接飞出了底线，一点威胁都没啊                   60'阿森纳第60分钟反超比分，拉姆塞禁区右侧射门被挡，马尔基尼奥斯解围打中维拉蒂反弹入自家大门，2-1
63'巴黎前场抢断，小卢卡斯拿球反击                   60'阿森纳第60分钟反超比分，拉姆塞禁区右侧射门被挡，马尔基尼奥斯解围打中维拉蒂反弹入自家大门，2-1
63'直塞禁区找卡瓦尼                   60'阿森纳第60分钟反超比分，拉姆塞禁区右侧射门被挡，马尔基尼奥斯解围打中维拉蒂反弹入自家大门，2-1
63'卡瓦尼在和科斯切尔尼抢位中，摔倒在地                   60'阿森纳第60分钟反超比分，拉姆塞禁区右侧射门被挡，马尔基尼奥斯解围打中维拉蒂反弹入自家大门，2-1
63'裁判没理会，球出底线，阿森纳门球！                   60'阿森纳第60分钟反超比分，拉姆塞禁区右侧射门被挡，马尔基尼奥斯解围打中维拉蒂反弹入自家大门，2-1
63'这球慢镜回放显示，科斯切尔尼并没有明显的犯规！                   60'阿森纳第60分钟反超比分，拉姆塞禁区右侧射门被挡，马尔基尼奥斯解围打中维拉蒂反弹入自家大门，2-1
77'小卢卡斯的头球！！                   77'巴黎第77分钟扳平，本阿尔法开出角球，小卢卡斯远点10码处头球攻门，伊沃比门线前头球解围未果，皮球偏转入网，2-2
77'巴黎圣日耳曼的角球开出到后点，小卢卡斯假跑，后撤头球冲顶顶近角，蹭到门前的伊沃比进网！！                   77'巴黎第77分钟扳平，本阿尔法开出角球，小卢卡斯远点10码处头球攻门，伊沃比门线前头球解围未果，皮球偏转入网，2-2
78'以这个比分结束，巴黎圣日耳曼将获得小组的第一！！                   77'巴黎第77分钟扳平，本阿尔法开出角球，小卢卡斯远点10码处头球攻门，伊沃比门线前头球解围未果，皮球偏转入网，2-2
78'巴黎后场抢断，过顶长传找卡瓦尼                   77'巴黎第77分钟扳平，本阿尔法开出角球，小卢卡斯远点10码处头球攻门，伊沃比门线前头球解围未果，皮球偏转入网，2-2
78'卡瓦尼的单刀赴会，禁区线上挑射                   77'巴黎第77分钟扳平，本阿尔法开出角球，小卢卡斯远点10码处头球攻门，伊沃比门线前头球解围未果，皮球偏转入网，2-2
78'直接送进了奥斯皮纳的怀中！！                   77'巴黎第77分钟扳平，本阿尔法开出角球，小卢卡斯远点10码处头球攻门，伊沃比门线前头球解围未果，皮球偏转入网，2-2
79'阿森纳丢球后将伊沃比换下，换上了29号扎卡！                   77'巴黎第77分钟扳平，本阿尔法开出角球，小卢卡斯远点10码处头球攻门，伊沃比门线前头球解围未果，皮球偏转入网，2-2
79'阿森纳换人：14号沃尔科特上，换下34号科奎林                   77'巴黎第77分钟扳平，本阿尔法开出角球，小卢卡斯远点10码处头球攻门，伊沃比门线前头球解围未果，皮球偏转入网，2-2
80'巴黎的左路过顶球，球出了底线！                   77'巴黎第77分钟扳平，本阿尔法开出角球，小卢卡斯远点10码处头球攻门，伊沃比门线前头球解围未果，皮球偏转入网，2-2
80'阿森纳第三次换人：15号张伯伦上，换下25号詹金森                   77'巴黎第77分钟扳平，本阿尔法开出角球，小卢卡斯远点10码处头球攻门，伊沃比门线前头球解围未果，皮球偏转入网，2-2
80'这样阿森纳的三个换人名额全部用完啦！！                   77'巴黎第77分钟扳平，本阿尔法开出角球，小卢卡斯远点10码处头球攻门，伊沃比门线前头球解围未果，皮球偏转入网，2-2
79'阿森纳丢球后将伊沃比换下，换上了29号扎卡！                   79'第79分钟，小卢卡斯反击中直传，卡瓦尼禁区边缘单刀挑射被奥斯皮纳飞身摘下
79'阿森纳换人：14号沃尔科特上，换下34号科奎林                   79'第79分钟，小卢卡斯反击中直传，卡瓦尼禁区边缘单刀挑射被奥斯皮纳飞身摘下
80'巴黎的左路过顶球，球出了底线！                   79'第79分钟，小卢卡斯反击中直传，卡瓦尼禁区边缘单刀挑射被奥斯皮纳飞身摘下
80'阿森纳第三次换人：15号张伯伦上，换下25号詹金森                   79'第79分钟，小卢卡斯反击中直传，卡瓦尼禁区边缘单刀挑射被奥斯皮纳飞身摘下
80'这样阿森纳的三个换人名额全部用完啦！！                   79'第79分钟，小卢卡斯反击中直传，卡瓦尼禁区边缘单刀挑射被奥斯皮纳飞身摘下
81'桑切斯前场左路拿球，直塞给厄齐尔                   79'第79分钟，小卢卡斯反击中直传，卡瓦尼禁区边缘单刀挑射被奥斯皮纳飞身摘下
81'厄齐尔的边路传中，被挡出                   79'第79分钟，小卢卡斯反击中直传，卡瓦尼禁区边缘单刀挑射被奥斯皮纳飞身摘下
81'巴黎的反击，小卢卡斯右路拿球                   79'第79分钟，小卢卡斯反击中直传，卡瓦尼禁区边缘单刀挑射被奥斯皮纳飞身摘下
81'斜传球到门前，卡瓦尼插上头球轰门！！                   79'第79分钟，小卢卡斯反击中直传，卡瓦尼禁区边缘单刀挑射被奥斯皮纳飞身摘下
82'差之毫厘啊！！                   79'第79分钟，小卢卡斯反击中直传，卡瓦尼禁区边缘单刀挑射被奥斯皮纳飞身摘下
82'这球卡瓦尼自己也还有些拉伤，倒在地上休息片刻。。。。                   79'第79分钟，小卢卡斯反击中直传，卡瓦尼禁区边缘单刀挑射被奥斯皮纳飞身摘下
82'张伯伦前场右路拿球，直塞打身后                   79'第79分钟，小卢卡斯反击中直传，卡瓦尼禁区边缘单刀挑射被奥斯皮纳飞身摘下
82'吉鲁插上接应，被吹越位在先！！                   79'第79分钟，小卢卡斯反击中直传，卡瓦尼禁区边缘单刀挑射被奥斯皮纳飞身摘下
82'差之毫厘啊！！                   82'巴黎第82分钟再次错过机会，小卢卡斯右路传中，卡瓦尼小禁区前冲顶擦左侧立柱偏出
82'这球卡瓦尼自己也还有些拉伤，倒在地上休息片刻。。。。                   82'巴黎第82分钟再次错过机会，小卢卡斯右路传中，卡瓦尼小禁区前冲顶擦左侧立柱偏出
82'张伯伦前场右路拿球，直塞打身后                   82'巴黎第82分钟再次错过机会，小卢卡斯右路传中，卡瓦尼小禁区前冲顶擦左侧立柱偏出
82'吉鲁插上接应，被吹越位在先！！                   82'巴黎第82分钟再次错过机会，小卢卡斯右路传中，卡瓦尼小禁区前冲顶擦左侧立柱偏出
83'拉姆塞左路拿球，强突下底                   82'巴黎第82分钟再次错过机会，小卢卡斯右路传中，卡瓦尼小禁区前冲顶擦左侧立柱偏出
83'底线内切，被回防的马基尼奥斯放铲拦截                   82'巴黎第82分钟再次错过机会，小卢卡斯右路传中，卡瓦尼小禁区前冲顶擦左侧立柱偏出
84'拉姆塞前场再抢，身后拉人犯规！！                   82'巴黎第82分钟再次错过机会，小卢卡斯右路传中，卡瓦尼小禁区前冲顶擦左侧立柱偏出
85'全场比赛马上85分钟了，阿森纳想要争第一，必须赢球啊！                   82'巴黎第82分钟再次错过机会，小卢卡斯右路传中，卡瓦尼小禁区前冲顶擦左侧立柱偏出
85'吉鲁和穆尼耶争抢头球，后者受伤倒地                   82'巴黎第82分钟再次错过机会，小卢卡斯右路传中，卡瓦尼小禁区前冲顶擦左侧立柱偏出
