6'埃瓦尔进球！！                   6'埃瓦尔第6分钟取得领先，卡帕右路传中，无人防守的弗兰-里科小禁区前头球破门
54'皇马获得右侧角球机会，开出到禁区                   53'第53分钟，贝尔右路传中，莫拉塔远点头球回摆，C罗抽射踢空，伊斯科转身射门被封堵，C罗10码处再射高出
54'球打在了加西亚的身上弹出了底线                   53'第53分钟，贝尔右路传中，莫拉塔远点头球回摆，C罗抽射踢空，伊斯科转身射门被封堵，C罗10码处再射高出
54'佩佩示意手球，裁判没理会！！                   53'第53分钟，贝尔右路传中，莫拉塔远点头球回摆，C罗抽射踢空，伊斯科转身射门被封堵，C罗10码处再射高出
55'皇马前场再攻，右路的传中球                   53'第53分钟，贝尔右路传中，莫拉塔远点头球回摆，C罗抽射踢空，伊斯科转身射门被封堵，C罗10码处再射高出
55'C罗的头球攻门，被列斯戈倒地封堵                   53'第53分钟，贝尔右路传中，莫拉塔远点头球回摆，C罗抽射踢空，伊斯科转身射门被封堵，C罗10码处再射高出
55'莫拉塔跟进补射打进，可惜越位在先，无效！！                   53'第53分钟，贝尔右路传中，莫拉塔远点头球回摆，C罗抽射踢空，伊斯科转身射门被封堵，C罗10码处再射高出
56'C罗拿球，斜塞禁区弧顶给伊斯科                   53'第53分钟，贝尔右路传中，莫拉塔远点头球回摆，C罗抽射踢空，伊斯科转身射门被封堵，C罗10码处再射高出
56'伊斯科停球转身，摔倒了                   53'第53分钟，贝尔右路传中，莫拉塔远点头球回摆，C罗抽射踢空，伊斯科转身射门被封堵，C罗10码处再射高出
56'球斜塞给到了莫拉塔，莫拉塔趟球下底                   53'第53分钟，贝尔右路传中，莫拉塔远点头球回摆，C罗抽射踢空，伊斯科转身射门被封堵，C罗10码处再射高出
57'列斯戈出击扑救，莫拉塔摔倒在禁区                   57'第57分钟，莫拉塔单刀机会趟球稍大后故意摔倒，他因假摔被黄牌警告
57'裁判鸣哨，莫拉塔的假摔，被出示黄牌！！                   57'第57分钟，莫拉塔单刀机会趟球稍大后故意摔倒，他因假摔被黄牌警告
57'C罗前场抢断，强突往禁区走                   57'第57分钟，莫拉塔单刀机会趟球稍大后故意摔倒，他因假摔被黄牌警告
57'勒热纳的回防放铲，铲翻了C罗，犯规                   57'第57分钟，莫拉塔单刀机会趟球稍大后故意摔倒，他因假摔被黄牌警告
57'勒热纳被主裁判出示了黄牌警告！！                   57'第57分钟，莫拉塔单刀机会趟球稍大后故意摔倒，他因假摔被黄牌警告
58'皇马获得大禁区左上角的任意球机会                   57'第57分钟，莫拉塔单刀机会趟球稍大后故意摔倒，他因假摔被黄牌警告
58'C罗主罚，直接攻门，打在人墙上弹到后点                   57'第57分钟，莫拉塔单刀机会趟球稍大后故意摔倒，他因假摔被黄牌警告
58'贝尔跟进拿球，再打，打在了边网上                   57'第57分钟，莫拉塔单刀机会趟球稍大后故意摔倒，他因假摔被黄牌警告
58'狂攻的皇马，距离进球差一点点啊！！                   57'第57分钟，莫拉塔单刀机会趟球稍大后故意摔倒，他因假摔被黄牌警告
63'卡帕右路拿球，直塞给到莱昂                   60'第60分钟，科瓦契奇斜传，贝尔禁区边缘内的大力头球攻门击中右侧立柱弹回
63'莱昂拿球强突，达尼洛回防将球解围出边线                   60'第60分钟，科瓦契奇斜传，贝尔禁区边缘内的大力头球攻门击中右侧立柱弹回
63'卡帕界外球进场，佩佩头球解围出边线                   60'第60分钟，科瓦契奇斜传，贝尔禁区边缘内的大力头球攻门击中右侧立柱弹回
63'莱昂背身接应界外球，达尼洛身后再抢，将球捅出了边线                   60'第60分钟，科瓦契奇斜传，贝尔禁区边缘内的大力头球攻门击中右侧立柱弹回
86'角球开出到门前，多斯桑托斯的头球，直接顶进了列斯戈的怀中                   86'第86分钟，多斯-桑托斯角球防守时头球回顶险些自摆乌龙，幸亏皮球正好落入列斯戈下怀
86'这球差点上演乌龙大礼啊！！                   86'第86分钟，多斯-桑托斯角球防守时头球回顶险些自摆乌龙，幸亏皮球正好落入列斯戈下怀
87'埃瓦尔换人：25号贝贝上，换下11号佩尼亚！！                   86'第86分钟，多斯-桑托斯角球防守时头球回顶险些自摆乌龙，幸亏皮球正好落入列斯戈下怀
88'克罗斯前场中路拿球，斜传右路想给贝尔                   86'第86分钟，多斯-桑托斯角球防守时头球回顶险些自摆乌龙，幸亏皮球正好落入列斯戈下怀
88'被回防的埃瓦尔球员成功拦截！！                   86'第86分钟，多斯-桑托斯角球防守时头球回顶险些自摆乌龙，幸亏皮球正好落入列斯戈下怀
89'皇马中场抢断，科瓦契奇拿球直塞找C罗                   86'第86分钟，多斯-桑托斯角球防守时头球回顶险些自摆乌龙，幸亏皮球正好落入列斯戈下怀
89'C罗越位位置回接，皇马再次浪费机会！！                   86'第86分钟，多斯-桑托斯角球防守时头球回顶险些自摆乌龙，幸亏皮球正好落入列斯戈下怀
