29'唐淼传球被王寿亭断下                   27'上半场第27分钟瓜林30米外任意球怒射直接得分
70'卢琳将球开到禁区                   69'第24分钟李运秋右路送球，朱建荣头球攻门稍稍出界
70'球被防守球员挡出了底线                   69'第24分钟李运秋右路送球，朱建荣头球攻门稍稍出界
71'富力角球机会                   69'第24分钟李运秋右路送球，朱建荣头球攻门稍稍出界
71'金基熙倒地了                   69'第24分钟李运秋右路送球，朱建荣头球攻门稍稍出界
71'似乎受伤了，坚持不了比赛了                   69'第24分钟李运秋右路送球，朱建荣头球攻门稍稍出界
72'申花无奈做出换人调整                   69'第24分钟李运秋右路送球，朱建荣头球攻门稍稍出界
72'陶金换下了金基熙                   69'第24分钟李运秋右路送球，朱建荣头球攻门稍稍出界
72'富力也换人了，吉安奴上场了                   69'第24分钟李运秋右路送球，朱建荣头球攻门稍稍出界
72'OK，继续看比赛                   69'第24分钟李运秋右路送球，朱建荣头球攻门稍稍出界
72'富力角球开出来，球被顶出来了                   69'第24分钟李运秋右路送球，朱建荣头球攻门稍稍出界
72'申花无奈做出换人调整                   72'第27分钟莫雷诺带球到禁区前沿，张功从身后将其推倒吃到黄牌
72'陶金换下了金基熙                   72'第27分钟莫雷诺带球到禁区前沿，张功从身后将其推倒吃到黄牌
72'富力也换人了，吉安奴上场了                   72'第27分钟莫雷诺带球到禁区前沿，张功从身后将其推倒吃到黄牌
72'OK，继续看比赛                   72'第27分钟莫雷诺带球到禁区前沿，张功从身后将其推倒吃到黄牌
72'富力角球开出来，球被顶出来了                   72'第27分钟莫雷诺带球到禁区前沿，张功从身后将其推倒吃到黄牌
74'卢琳传球边路唐淼，往禁区里传，球继续被挡出来                   72'第27分钟莫雷诺带球到禁区前沿，张功从身后将其推倒吃到黄牌
75'外围争抢球，申花的犯规                   72'第27分钟莫雷诺带球到禁区前沿，张功从身后将其推倒吃到黄牌
75'姜志鹏拿球直接传球禁区，球直接出了底线呀                   72'第27分钟莫雷诺带球到禁区前沿，张功从身后将其推倒吃到黄牌
77'柏佳骏直接送出长传球                   76'进球后的申花继续攻，第31分钟曹赟定禁区内转身扫射打高
77'姜志鹏后场将球拦截下来                   76'进球后的申花继续攻，第31分钟曹赟定禁区内转身扫射打高
78'雷纳尔迪尼奥传球禁区，球被毕津浩解围出来了                   76'进球后的申花继续攻，第31分钟曹赟定禁区内转身扫射打高
83'不好意思网络卡了                   80'第35分钟黄政宇防守中拉拽曹赟定吃到黄牌，不过慢镜头显示曹赟定进攻中最终被绊倒并非黄政宇所为
83'这边富力换人了                   80'第35分钟黄政宇防守中拉拽曹赟定吃到黄牌，不过慢镜头显示曹赟定进攻中最终被绊倒并非黄政宇所为
83'卢琳下场了                   80'第35分钟黄政宇防守中拉拽曹赟定吃到黄牌，不过慢镜头显示曹赟定进攻中最终被绊倒并非黄政宇所为
83'叶楚贵上场                   80'第35分钟黄政宇防守中拉拽曹赟定吃到黄牌，不过慢镜头显示曹赟定进攻中最终被绊倒并非黄政宇所为
83'我们继续看比赛                   80'第35分钟黄政宇防守中拉拽曹赟定吃到黄牌，不过慢镜头显示曹赟定进攻中最终被绊倒并非黄政宇所为
83'不好意思网络卡了                   83'第38分钟姜至鹏再次从左路送出好球，但扎哈维中路弹射偏出
83'这边富力换人了                   83'第38分钟姜至鹏再次从左路送出好球，但扎哈维中路弹射偏出
83'卢琳下场了                   83'第38分钟姜至鹏再次从左路送出好球，但扎哈维中路弹射偏出
83'叶楚贵上场                   83'第38分钟姜至鹏再次从左路送出好球，但扎哈维中路弹射偏出
83'我们继续看比赛                   83'第38分钟姜至鹏再次从左路送出好球，但扎哈维中路弹射偏出
84'现在富力进攻                   83'第38分钟姜至鹏再次从左路送出好球，但扎哈维中路弹射偏出
84'雷纳尔迪尼奥传球禁区，球被解围出来                   83'第38分钟姜至鹏再次从左路送出好球，但扎哈维中路弹射偏出
85'唐淼中场拿球                   83'第38分钟姜至鹏再次从左路送出好球，但扎哈维中路弹射偏出
89'雷纳尔迪尼奥送出横传球，李提香的打门                   88'第43分钟富力从右路发难，可惜唐淼接球杀入时稍稍越位
89'打偏了呀                   88'第43分钟富力从右路发难，可惜唐淼接球杀入时稍稍越位
90'下半场比赛接近尾声了                   88'第43分钟富力从右路发难，可惜唐淼接球杀入时稍稍越位
90'全场补时4分钟                   88'第43分钟富力从右路发难，可惜唐淼接球杀入时稍稍越位
91'李帅大脚将球开出来                   88'第43分钟富力从右路发难，可惜唐淼接球杀入时稍稍越位
93'瓜林中场拿球                   93'第48分钟姜积弘换下黄政宇
93'分球曹赟定，带球突破                   93'第48分钟姜积弘换下黄政宇
93'申花进球了，锁定胜局！！！！！！！！！！！！                   93'第48分钟姜积弘换下黄政宇
93'曹赟定带球突破，分球莫雷诺，带球杀入禁区，晃过防守球员将球打进                   93'第48分钟姜积弘换下黄政宇
94'莫雷诺这粒进球非常关键呀                   93'第48分钟姜积弘换下黄政宇
95'OK，继续看比赛                   93'第48分钟姜积弘换下黄政宇
95'姜志鹏带球突破，往禁区里传，球直接出了底线                   93'第48分钟姜积弘换下黄政宇
95'李帅大脚将球开出来                   93'第48分钟姜积弘换下黄政宇
95'裁判哨响，全场比赛结束                   93'第48分钟姜积弘换下黄政宇
96'最终申花3比1击败了富力                   93'第48分钟姜积弘换下黄政宇
96'本场比赛就为大家直播到这里                   93'第48分钟姜积弘换下黄政宇
96'我们下次再见                   93'第48分钟姜积弘换下黄政宇
96'最终申花3比1击败了富力                   96'第51分钟李提香和莫雷诺在拼抢五五开情况下各自倒地，裁判判罚李提香犯规，斯托依科维奇显得颇为不满
96'本场比赛就为大家直播到这里                   96'第51分钟李提香和莫雷诺在拼抢五五开情况下各自倒地，裁判判罚李提香犯规，斯托依科维奇显得颇为不满
96'我们下次再见                   96'第51分钟李提香和莫雷诺在拼抢五五开情况下各自倒地，裁判判罚李提香犯规，斯托依科维奇显得颇为不满
61'中场争抢球                   61'第61分钟毛剑卿准备换下朱建荣，但此时金基熙突然无球状态下倒地不起，申花教练席示意换人暂停
61'雷纳尔迪尼奥将球控制下来                   61'第61分钟毛剑卿准备换下朱建荣，但此时金基熙突然无球状态下倒地不起，申花教练席示意换人暂停
62'分球边路唐淼，传球禁区                   61'第61分钟毛剑卿准备换下朱建荣，但此时金基熙突然无球状态下倒地不起，申花教练席示意换人暂停
62'球直接出了底线                   61'第61分钟毛剑卿准备换下朱建荣，但此时金基熙突然无球状态下倒地不起，申花教练席示意换人暂停
62'申花做了换人调整                   61'第61分钟毛剑卿准备换下朱建荣，但此时金基熙突然无球状态下倒地不起，申花教练席示意换人暂停
63'毛剑卿换下了朱建荣                   61'第61分钟毛剑卿准备换下朱建荣，但此时金基熙突然无球状态下倒地不起，申花教练席示意换人暂停
64'程月磊大脚将球开出来                   61'第61分钟毛剑卿准备换下朱建荣，但此时金基熙突然无球状态下倒地不起，申花教练席示意换人暂停
64'争抢球，莫雷诺犯规                   61'第61分钟毛剑卿准备换下朱建荣，但此时金基熙突然无球状态下倒地不起，申花教练席示意换人暂停
69'外围李提香拿球                   69'第69分钟金基熙再次在无球状态下倒地，陶金火速出场入替
69'雷纳尔迪尼奥拿球被犯规了                   69'第69分钟金基熙再次在无球状态下倒地，陶金火速出场入替
69'富力前场定位球机会                   69'第69分钟金基熙再次在无球状态下倒地，陶金火速出场入替
70'卢琳将球开到禁区                   69'第69分钟金基熙再次在无球状态下倒地，陶金火速出场入替
70'球被防守球员挡出了底线                   69'第69分钟金基熙再次在无球状态下倒地，陶金火速出场入替
71'富力角球机会                   69'第69分钟金基熙再次在无球状态下倒地，陶金火速出场入替
71'金基熙倒地了                   69'第69分钟金基熙再次在无球状态下倒地，陶金火速出场入替
71'似乎受伤了，坚持不了比赛了                   69'第69分钟金基熙再次在无球状态下倒地，陶金火速出场入替
72'申花无奈做出换人调整                   69'第69分钟金基熙再次在无球状态下倒地，陶金火速出场入替
72'陶金换下了金基熙                   69'第69分钟金基熙再次在无球状态下倒地，陶金火速出场入替
72'富力也换人了，吉安奴上场了                   69'第69分钟金基熙再次在无球状态下倒地，陶金火速出场入替
72'OK，继续看比赛                   69'第69分钟金基熙再次在无球状态下倒地，陶金火速出场入替
72'富力角球开出来，球被顶出来了                   69'第69分钟金基熙再次在无球状态下倒地，陶金火速出场入替
74'卢琳传球边路唐淼，往禁区里传，球继续被挡出来                   73'第73分钟卢琳送球入禁区，吉安努强行头球攻门偏出
75'外围争抢球，申花的犯规                   73'第73分钟卢琳送球入禁区，吉安努强行头球攻门偏出
75'姜志鹏拿球直接传球禁区，球直接出了底线呀                   73'第73分钟卢琳送球入禁区，吉安努强行头球攻门偏出
83'不好意思网络卡了                   82'第82分钟叶楚贵换下卢琳
83'这边富力换人了                   82'第82分钟叶楚贵换下卢琳
83'卢琳下场了                   82'第82分钟叶楚贵换下卢琳
83'叶楚贵上场                   82'第82分钟叶楚贵换下卢琳
83'我们继续看比赛                   82'第82分钟叶楚贵换下卢琳
84'现在富力进攻                   82'第82分钟叶楚贵换下卢琳
84'雷纳尔迪尼奥传球禁区，球被解围出来                   82'第82分钟叶楚贵换下卢琳
85'唐淼中场拿球                   82'第82分钟叶楚贵换下卢琳
87'姜志鹏拿球被犯规了                   87'第87分钟李提香30米外远射高出
87'富力获得任意球机会                   87'第87分钟李提香30米外远射高出
87'姜志鹏将球开到禁区，球被挡出来                   87'第87分钟李提香30米外远射高出
87'这段时间富力进攻火力非常猛                   87'第87分钟李提香30米外远射高出
87'外围还是富力掌控球权                   87'第87分钟李提香30米外远射高出
89'雷纳尔迪尼奥送出横传球，李提香的打门                   87'第87分钟李提香30米外远射高出
89'打偏了呀                   87'第87分钟李提香30米外远射高出
90'下半场比赛接近尾声了                   87'第87分钟李提香30米外远射高出
90'全场补时4分钟                   87'第87分钟李提香30米外远射高出
49'姜积洪换下了黄正宇                   49'比赛补时4分钟，申花刻意拖慢节奏，第91分钟莫雷诺打出超级世界波，他接到毛剑卿送球之后在左路启动，在很小的空间里连续摆脱李提香、叶楚贵和姜积弘的纠缠，并在弋腾之前抢先捅射，皮球进门，3比1
49'姜志鹏前场拿球                   49'比赛补时4分钟，申花刻意拖慢节奏，第91分钟莫雷诺打出超级世界波，他接到毛剑卿送球之后在左路启动，在很小的空间里连续摆脱李提香、叶楚贵和姜积弘的纠缠，并在弋腾之前抢先捅射，皮球进门，3比1
50'横传球给到扎哈维，扎哈维来一脚打门                   49'比赛补时4分钟，申花刻意拖慢节奏，第91分钟莫雷诺打出超级世界波，他接到毛剑卿送球之后在左路启动，在很小的空间里连续摆脱李提香、叶楚贵和姜积弘的纠缠，并在弋腾之前抢先捅射，皮球进门，3比1
50'李帅将球扑出来                   49'比赛补时4分钟，申花刻意拖慢节奏，第91分钟莫雷诺打出超级世界波，他接到毛剑卿送球之后在左路启动，在很小的空间里连续摆脱李提香、叶楚贵和姜积弘的纠缠，并在弋腾之前抢先捅射，皮球进门，3比1
51'中场莫雷诺拿球，被犯规了                   49'比赛补时4分钟，申花刻意拖慢节奏，第91分钟莫雷诺打出超级世界波，他接到毛剑卿送球之后在左路启动，在很小的空间里连续摆脱李提香、叶楚贵和姜积弘的纠缠，并在弋腾之前抢先捅射，皮球进门，3比1
52'莫雷诺横传球给到曹赟定，传球到禁区，球被程月磊扑出了底线                   49'比赛补时4分钟，申花刻意拖慢节奏，第91分钟莫雷诺打出超级世界波，他接到毛剑卿送球之后在左路启动，在很小的空间里连续摆脱李提香、叶楚贵和姜积弘的纠缠，并在弋腾之前抢先捅射，皮球进门，3比1
52'申花角球机会                   49'比赛补时4分钟，申花刻意拖慢节奏，第91分钟莫雷诺打出超级世界波，他接到毛剑卿送球之后在左路启动，在很小的空间里连续摆脱李提香、叶楚贵和姜积弘的纠缠，并在弋腾之前抢先捅射，皮球进门，3比1
