1'上半场比赛开始了                   1'巴萨第1分钟就试图控制比赛
18'巴塞罗那客场1：0领先，当然也是一粒宝贵的客场进球！                   18'巴萨第18分钟取得领先，帕斯托雷中场丢球，梅西快攻中直传，内马尔禁区左肋8码处单刀推射入网
19'巴塞罗那中场断球，梅西中路接应斜塞，内马尔左路插上接应形成半单刀，面对门将，内马尔冷静推射球门右下角球进！                   18'巴萨第18分钟取得领先，帕斯托雷中场丢球，梅西快攻中直传，内马尔禁区左肋8码处单刀推射入网
20'此时蒂亚戈-席尔瓦走下球场，受伤不能继续比赛了！                   18'巴萨第18分钟取得领先，帕斯托雷中场丢球，梅西快攻中直传，内马尔禁区左肋8码处单刀推射入网
20'瞬间，胜负的天平向巴萨严重倾斜                   18'巴萨第18分钟取得领先，帕斯托雷中场丢球，梅西快攻中直传，内马尔禁区左肋8码处单刀推射入网
21'巴黎用大卫-路易斯替补出场                   18'巴萨第18分钟取得领先，帕斯托雷中场丢球，梅西快攻中直传，内马尔禁区左肋8码处单刀推射入网
21'大卫-路易斯也是刚刚伤愈                   18'巴萨第18分钟取得领先，帕斯托雷中场丢球，梅西快攻中直传，内马尔禁区左肋8码处单刀推射入网
53'队长袖标交给了哈维                   53'第53分钟，伊涅斯塔被帕斯托雷顶中后腰受伤被担架抬出，哈维替补出场
53'皮克大脚长传，苏亚雷斯护好球                   53'第53分钟，伊涅斯塔被帕斯托雷顶中后腰受伤被担架抬出，哈维替补出场
53'梅西接应横传差点失误，再拉球过人                   53'第53分钟，伊涅斯塔被帕斯托雷顶中后腰受伤被担架抬出，哈维替补出场
54'也没有成功，马基尼奥斯断球成功                   53'第53分钟，伊涅斯塔被帕斯托雷顶中后腰受伤被担架抬出，哈维替补出场
54'梅西伸脚抢球动作过大                   53'第53分钟，伊涅斯塔被帕斯托雷顶中后腰受伤被担架抬出，哈维替补出场
54'主裁判黄牌警告梅西                   53'第53分钟，伊涅斯塔被帕斯托雷顶中后腰受伤被担架抬出，哈维替补出场
55'中场争夺还是很激烈的                   53'第53分钟，伊涅斯塔被帕斯托雷顶中后腰受伤被担架抬出，哈维替补出场
55'马斯切拉诺交给拉基维奇再分边给蒙托亚                   53'第53分钟，伊涅斯塔被帕斯托雷顶中后腰受伤被担架抬出，哈维替补出场
56'哈维拿球交左路，阿尔巴一顺                   53'第53分钟，伊涅斯塔被帕斯托雷顶中后腰受伤被担架抬出，哈维替补出场
56'内马尔接应横传中路，卡巴耶回防倒地将球铲出边线                   53'第53分钟，伊涅斯塔被帕斯托雷顶中后腰受伤被担架抬出，哈维替补出场
56'巴黎断球了，卡巴耶交给了马图伊迪                   53'第53分钟，伊涅斯塔被帕斯托雷顶中后腰受伤被担架抬出，哈维替补出场
67'苏亚雷斯右路起速发难，连过两人近距离打门，球进了                   67'巴萨第67分钟扩大比分，蒙托亚传球，苏亚雷斯切入禁区右侧连续突破路易斯、马基尼奥斯和马克斯维尔后10码处劲射，皮球被西里古扑挡后入网，2-0
68'再看看，苏亚雷斯先在禁区右边缘扣过了大卫-路易斯进了禁区再晃过了马基尼奥斯然后用身体挤倒了马克斯维尔面对门将推射球门右下角，西里古倒地扑了一下但没有阻止皮球入网                   67'巴萨第67分钟扩大比分，蒙托亚传球，苏亚雷斯切入禁区右侧连续突破路易斯、马基尼奥斯和马克斯维尔后10码处劲射，皮球被西里古扑挡后入网，2-0
68'客场两球领先，毫不夸张地说，巴萨几乎是锁定了晋级名额                   67'巴萨第67分钟扩大比分，蒙托亚传球，苏亚雷斯切入禁区右侧连续突破路易斯、马基尼奥斯和马克斯维尔后10码处劲射，皮球被西里古扑挡后入网，2-0
69'巴黎也有机会                   67'巴萨第67分钟扩大比分，蒙托亚传球，苏亚雷斯切入禁区右侧连续突破路易斯、马基尼奥斯和马克斯维尔后10码处劲射，皮球被西里古扑挡后入网，2-0
69'拉维齐左路角球发到禁区，哈维头球解围不远                   67'巴萨第67分钟扩大比分，蒙托亚传球，苏亚雷斯切入禁区右侧连续突破路易斯、马基尼奥斯和马克斯维尔后10码处劲射，皮球被西里古扑挡后入网，2-0
69'卡瓦尼一脚冷射打得突然，但施特根站位准确将球扑出底线                   67'巴萨第67分钟扩大比分，蒙托亚传球，苏亚雷斯切入禁区右侧连续突破路易斯、马基尼奥斯和马克斯维尔后10码处劲射，皮球被西里古扑挡后入网，2-0
70'再次角球，威胁不大了                   67'巴萨第67分钟扩大比分，蒙托亚传球，苏亚雷斯切入禁区右侧连续突破路易斯、马基尼奥斯和马克斯维尔后10码处劲射，皮球被西里古扑挡后入网，2-0
70'回复：mirc湛蓝  有没有点球＋红牌套餐？（暂时没有出现）                   67'巴萨第67分钟扩大比分，蒙托亚传球，苏亚雷斯切入禁区右侧连续突破路易斯、马基尼奥斯和马克斯维尔后10码处劲射，皮球被西里古扑挡后入网，2-0
79'苏亚雷斯梅开二度，无解了。。。                   79'巴萨第79分钟锁定胜局，苏亚雷斯穿裆突破路易斯后禁区边缘单刀推射入网，3-0
79'苏亚雷斯转身加速那一下太快了                   79'巴萨第79分钟锁定胜局，苏亚雷斯穿裆突破路易斯后禁区边缘单刀推射入网，3-0
80'苏亚雷斯中场与梅西做配合后面对大卫-路易斯来个穿裆过人，突过去后右脚兜一记美妙弧线，皮球直挂球门右上角球进                   79'巴萨第79分钟锁定胜局，苏亚雷斯穿裆突破路易斯后禁区边缘单刀推射入网，3-0
80'巴塞罗那换人，21号阿德里亚诺替下了2号蒙托亚                   79'巴萨第79分钟锁定胜局，苏亚雷斯穿裆突破路易斯后禁区边缘单刀推射入网，3-0
81'客场3球领先，巴塞罗那有点回到宇宙队年代的感觉                   79'巴萨第79分钟锁定胜局，苏亚雷斯穿裆突破路易斯后禁区边缘单刀推射入网，3-0
82'范德维尔大力远射，马蒂厄解围失误将球踢入自家大门                   79'巴萨第79分钟锁定胜局，苏亚雷斯穿裆突破路易斯后禁区边缘单刀推射入网，3-0
82'马图伊迪左路传中被皮克蹭了一下，禁区外范德维尔远射，马蒂厄伸脚拦截却将球碰进了自家大门                   79'巴萨第79分钟锁定胜局，苏亚雷斯穿裆突破路易斯后禁区边缘单刀推射入网，3-0
82'范德维尔大力远射，马蒂厄解围失误将球踢入自家大门                   82'巴黎第82分钟扳回一城，范德维尔右路禁区前劲射打在马蒂厄腿上偏转入网，1-3
82'马图伊迪左路传中被皮克蹭了一下，禁区外范德维尔远射，马蒂厄伸脚拦截却将球碰进了自家大门                   82'巴黎第82分钟扳回一城，范德维尔右路禁区前劲射打在马蒂厄腿上偏转入网，1-3
83'巴黎圣日耳曼好歹是追回一球                   82'巴黎第82分钟扳回一城，范德维尔右路禁区前劲射打在马蒂厄腿上偏转入网，1-3
83'但当然现在这个比分结束的话，巴塞罗那晋级还是十拿九稳                   82'巴黎第82分钟扳回一城，范德维尔右路禁区前劲射打在马蒂厄腿上偏转入网，1-3
85'马斯切拉诺来到右路拿球，巴萨不断地倒脚                   82'巴黎第82分钟扳回一城，范德维尔右路禁区前劲射打在马蒂厄腿上偏转入网，1-3
85'巴黎也是没有什么办法                   82'巴黎第82分钟扳回一城，范德维尔右路禁区前劲射打在马蒂厄腿上偏转入网，1-3
