1'裁判员一声哨响，上半场比赛开始                   1'巴萨第1分钟控制比赛，巴拉多利德收缩防守应对
52'球打高了                   49'第49分钟，阿尔巴左路斜传，梅西10码处凌空垫射被马西普神勇扑出
66'巴萨快速进攻 登贝莱挑传给禁区内的苏亚雷斯                   65'第65分钟，梅西右路抢断后斜传，苏亚雷斯14码处单刀捅射又被马西普出击挡出，登贝莱传球，梅西禁区边缘劲射被没收
66'苏亚雷斯准备倒钩打门                   65'第65分钟，梅西右路抢断后斜传，苏亚雷斯14码处单刀捅射又被马西普出击挡出，登贝莱传球，梅西禁区边缘劲射被没收
66'被巴拉多利德后卫解围                   65'第65分钟，梅西右路抢断后斜传，苏亚雷斯14码处单刀捅射又被马西普出击挡出，登贝莱传球，梅西禁区边缘劲射被没收
66'巴萨的苏亚雷斯获得单刀机会                   65'第65分钟，梅西右路抢断后斜传，苏亚雷斯14码处单刀捅射又被马西普出击挡出，登贝莱传球，梅西禁区边缘劲射被没收
66'被巴拉多利德门将马西普扑出                    65'第65分钟，梅西右路抢断后斜传，苏亚雷斯14码处单刀捅射又被马西普出击挡出，登贝莱传球，梅西禁区边缘劲射被没收
67'登贝莱拿到球后 分给梅西                   65'第65分钟，梅西右路抢断后斜传，苏亚雷斯14码处单刀捅射又被马西普出击挡出，登贝莱传球，梅西禁区边缘劲射被没收
68'梅西起左脚打门                   65'第65分钟，梅西右路抢断后斜传，苏亚雷斯14码处单刀捅射又被马西普出击挡出，登贝莱传球，梅西禁区边缘劲射被没收
68'被马西普没收                   65'第65分钟，梅西右路抢断后斜传，苏亚雷斯14码处单刀捅射又被马西普出击挡出，登贝莱传球，梅西禁区边缘劲射被没收
68'巴拉多利德打出快速反击                   65'第65分钟，梅西右路抢断后斜传，苏亚雷斯14码处单刀捅射又被马西普出击挡出，登贝莱传球，梅西禁区边缘劲射被没收
68'中场队友直塞给瓜迪奥拉                   65'第65分钟，梅西右路抢断后斜传，苏亚雷斯14码处单刀捅射又被马西普出击挡出，登贝莱传球，梅西禁区边缘劲射被没收
86'梅西的点球被门将马西普扑出                   85'巴萨第85分钟错失良机，库蒂尼奥同苏亚雷斯踢墙配合后被奥利瓦斯绊倒，梅西射出的点球被马西普扑出，梅西头球补射又被马西普单手摘下
86'梅西再头球攻门                   85'巴萨第85分钟错失良机，库蒂尼奥同苏亚雷斯踢墙配合后被奥利瓦斯绊倒，梅西射出的点球被马西普扑出，梅西头球补射又被马西普单手摘下
86'同样被门将马西普没收                   85'巴萨第85分钟错失良机，库蒂尼奥同苏亚雷斯踢墙配合后被奥利瓦斯绊倒，梅西射出的点球被马西普扑出，梅西头球补射又被马西普单手摘下
87'巴拉多利德中场组织进攻                   85'巴萨第85分钟错失良机，库蒂尼奥同苏亚雷斯踢墙配合后被奥利瓦斯绊倒，梅西射出的点球被马西普扑出，梅西头球补射又被马西普单手摘下
88'罗贝托断球                   85'巴萨第85分钟错失良机，库蒂尼奥同苏亚雷斯踢墙配合后被奥利瓦斯绊倒，梅西射出的点球被马西普扑出，梅西头球补射又被马西普单手摘下
88'罗贝托中场附近跟苏亚雷斯打出配合                   85'巴萨第85分钟错失良机，库蒂尼奥同苏亚雷斯踢墙配合后被奥利瓦斯绊倒，梅西射出的点球被马西普扑出，梅西头球补射又被马西普单手摘下
93'但是越位了                   93'第93分钟，梅西传球，苏亚雷斯禁区左肋10码处的单刀射门又被马西普救出
93'梅西中场一路带球                    93'第93分钟，梅西传球，苏亚雷斯禁区左肋10码处的单刀射门又被马西普救出
93'分给苏亚雷斯                   93'第93分钟，梅西传球，苏亚雷斯禁区左肋10码处的单刀射门又被马西普救出
93'苏亚雷斯小禁区附近右脚推射                   93'第93分钟，梅西传球，苏亚雷斯禁区左肋10码处的单刀射门又被马西普救出
94'被马西普扑出                    93'第93分钟，梅西传球，苏亚雷斯禁区左肋10码处的单刀射门又被马西普救出
94'苏亚雷斯横传给库蒂尼奥                    93'第93分钟，梅西传球，苏亚雷斯禁区左肋10码处的单刀射门又被马西普救出
95'库蒂尼奥大禁区弧顶处起右脚打门                   93'第93分钟，梅西传球，苏亚雷斯禁区左肋10码处的单刀射门又被马西普救出
95'打高了                   93'第93分钟，梅西传球，苏亚雷斯禁区左肋10码处的单刀射门又被马西普救出
