3'宏运队前场大范围转移到左路，胡延强右路起跳接应，落地时踩到了张笑非脚踝上                   1'第1分钟辽宁队便发动猛攻，并持续对亚泰队球门形成威胁
49'辽宁队也换人了，用吴高俊换下了王亮                   49'第49分钟，老将王亮也被吴高俊换下
51'辽宁队进攻，邱卡争顶时手球了                   49'第49分钟，老将王亮也被吴高俊换下
51'亚泰队外援胡斯蒂和埃尼奥双双被换下                   49'第49分钟，老将王亮也被吴高俊换下
51'下半场辽宁队主要以反击为主，球员都回撤到半场                   49'第49分钟，老将王亮也被吴高俊换下
52'胡延强右路告诉突破，速度非常快                   49'第49分钟，老将王亮也被吴高俊换下
52'伊斯梅洛夫犯规将其放倒，辽足前场任意球机会                   49'第49分钟，老将王亮也被吴高俊换下
58'这段时间长春进攻有起色了                   58'第58分钟，亚泰队前场左侧任意球打到后点，王万鹏高高跃起甩头攻门稍微打偏
58'长春队右路传球，但是太靠近门将，被张鹭得到                   58'第58分钟，亚泰队前场左侧任意球打到后点，王万鹏高高跃起甩头攻门稍微打偏
58'邱卡左路杀入禁区，但是没能过掉对方防守队员                   58'第58分钟，亚泰队前场左侧任意球打到后点，王万鹏高高跃起甩头攻门稍微打偏
60'长春左路起球到禁区，还是没有争到点球，被张鹭得到                   58'第58分钟，亚泰队前场左侧任意球打到后点，王万鹏高高跃起甩头攻门稍微打偏
60'辽宁队又换人了，杨宇换下肇俊哲                   58'第58分钟，亚泰队前场左侧任意球打到后点，王万鹏高高跃起甩头攻门稍微打偏
61'看来辽宁队还是想以防守为主                   58'第58分钟，亚泰队前场左侧任意球打到后点，王万鹏高高跃起甩头攻门稍微打偏
71'亚泰前场任意球机会，直接攻门高出横梁                   71'辽宁宏运在第71分钟锁定胜局――亚泰队后场出现失误被辽宁断球反击，邱卡反越位形成大单刀，他带球长驱直入突入禁区后冷静晃过门将，随后推射空门入网，3-0
71'射门的是贝奇拉耶                   71'辽宁宏运在第71分钟锁定胜局――亚泰队后场出现失误被辽宁断球反击，邱卡反越位形成大单刀，他带球长驱直入突入禁区后冷静晃过门将，随后推射空门入网，3-0
74'长春队外围一脚打门偏出                   71'辽宁宏运在第71分钟锁定胜局――亚泰队后场出现失误被辽宁断球反击，邱卡反越位形成大单刀，他带球长驱直入突入禁区后冷静晃过门将，随后推射空门入网，3-0
74'镜头给到了胡斯蒂和埃尼奥，两人的眼神有些茫然和不解                   71'辽宁宏运在第71分钟锁定胜局――亚泰队后场出现失误被辽宁断球反击，邱卡反越位形成大单刀，他带球长驱直入突入禁区后冷静晃过门将，随后推射空门入网，3-0
78'辽宁队换人，张靖洋换下邱卡 梅开二度的邱卡接受全场球迷的掌声                   78'第78分钟瓦尔特接曹添堡的传球一脚劲射被张鹭扑出
79'比赛还有不到10分钟，辽宁大局已定                   78'第78分钟瓦尔特接曹添堡的传球一脚劲射被张鹭扑出
80'亚泰右路传入禁区，还是没有形成射门                   78'第78分钟瓦尔特接曹添堡的传球一脚劲射被张鹭扑出
81'金泰延右路传球，脚下一滑，没传进来                   78'第78分钟瓦尔特接曹添堡的传球一脚劲射被张鹭扑出
47'宋振瑜开门球                   47'2分钟后梅开二度的邱卡被张靖洋换下，接受全场球迷的掌声
47'下半场双方都没有进行换人                   47'2分钟后梅开二度的邱卡被张靖洋换下，接受全场球迷的掌声
47'在另一场保级大战中，申鑫1-0领先建业                   47'2分钟后梅开二度的邱卡被张靖洋换下，接受全场球迷的掌声
47'金泰延右路拿球再次被放倒                   47'2分钟后梅开二度的邱卡被张靖洋换下，接受全场球迷的掌声
48'亚泰左路进攻，转移到右路，但还是没能传进去                   47'2分钟后梅开二度的邱卡被张靖洋换下，接受全场球迷的掌声
48'下半场辽宁队开始非常积极                   47'2分钟后梅开二度的邱卡被张靖洋换下，接受全场球迷的掌声
49'下半场亚泰换上了曹添堡和西亚斯                   47'2分钟后梅开二度的邱卡被张靖洋换下，接受全场球迷的掌声
49'辽宁队也换人了，用吴高俊换下了王亮                   47'2分钟后梅开二度的邱卡被张靖洋换下，接受全场球迷的掌声
