2'辽宁队左路进攻，埃杜中路接球直接起脚射门，球高出横梁。                   2'第2分钟，贵州队左路进攻，张成林突破传中直接被辽宁队守门员张鹭没收了
11'辽宁后场起球，找到前场的埃杜，孙继海盯防埃杜，用身体卡住埃杜。                   11'第11分钟，辽宁队后场起球找到前场的埃杜，孙继海盯防埃杜犯规了吃到一张黄牌，辽宁队前场任意球，贵州后卫将球解围出底线，辽宁获得第1分钟第3个角球
11'裁判判罚孙继海犯规，出示黄牌。                   11'第11分钟，辽宁队后场起球找到前场的埃杜，孙继海盯防埃杜犯规了吃到一张黄牌，辽宁队前场任意球，贵州后卫将球解围出底线，辽宁获得第1分钟第3个角球
11'辽宁前场任意球，贵州后卫将球解围出底线，辽宁获得角球。                   11'第11分钟，辽宁队后场起球找到前场的埃杜，孙继海盯防埃杜犯规了吃到一张黄牌，辽宁队前场任意球，贵州后卫将球解围出底线，辽宁获得第1分钟第3个角球
11'辽宁开场已经获得3次角球。                   11'第11分钟，辽宁队后场起球找到前场的埃杜，孙继海盯防埃杜犯规了吃到一张黄牌，辽宁队前场任意球，贵州后卫将球解围出底线，辽宁获得第1分钟第3个角球
12'肇俊哲发出中路角球，贵州门将张烈将球双拳击出。                   11'第11分钟，辽宁队后场起球找到前场的埃杜，孙继海盯防埃杜犯规了吃到一张黄牌，辽宁队前场任意球，贵州后卫将球解围出底线，辽宁获得第1分钟第3个角球
12'于海左路进攻，金泰妍将球铲出边线，贵州前场界外球。                   11'第11分钟，辽宁队后场起球找到前场的埃杜，孙继海盯防埃杜犯规了吃到一张黄牌，辽宁队前场任意球，贵州后卫将球解围出底线，辽宁获得第1分钟第3个角球
12'贵州队连续获得界外球。                   11'第11分钟，辽宁队后场起球找到前场的埃杜，孙继海盯防埃杜犯规了吃到一张黄牌，辽宁队前场任意球，贵州后卫将球解围出底线，辽宁获得第1分钟第3个角球
13'詹姆斯控球中路突破，分球特里夫诺维奇，特里夫传球禁区，跟进的詹姆斯控球失误。                   11'第11分钟，辽宁队后场起球找到前场的埃杜，孙继海盯防埃杜犯规了吃到一张黄牌，辽宁队前场任意球，贵州后卫将球解围出底线，辽宁获得第1分钟第3个角球
14'贵州张成林将球解围出边线，辽宁前场界外球。                   11'第11分钟，辽宁队后场起球找到前场的埃杜，孙继海盯防埃杜犯规了吃到一张黄牌，辽宁队前场任意球，贵州后卫将球解围出底线，辽宁获得第1分钟第3个角球
14'埃杜，特里夫前场配合进攻，特里夫丢球了。                   11'第11分钟，辽宁队后场起球找到前场的埃杜，孙继海盯防埃杜犯规了吃到一张黄牌，辽宁队前场任意球，贵州后卫将球解围出底线，辽宁获得第1分钟第3个角球
14'贵州张成林将球解围出边线，辽宁前场界外球。                   14'第14分钟，辽宁队后场抢断，詹姆斯中场拿球后摆脱分边，特里夫诺维奇左路起球到后点，詹姆斯把球做给插上的金泰延，金泰延再直塞被后卫挡出了边线
14'埃杜，特里夫前场配合进攻，特里夫丢球了。                   14'第14分钟，辽宁队后场抢断，詹姆斯中场拿球后摆脱分边，特里夫诺维奇左路起球到后点，詹姆斯把球做给插上的金泰延，金泰延再直塞被后卫挡出了边线
15'张成林左路起球，辽宁后卫头球解围，外围贵州右路继续施压。                   14'第14分钟，辽宁队后场抢断，詹姆斯中场拿球后摆脱分边，特里夫诺维奇左路起球到后点，詹姆斯把球做给插上的金泰延，金泰延再直塞被后卫挡出了边线
15'肇俊哲弧顶前沿控球，不过粘球了，外围贵州继续控球。                   14'第14分钟，辽宁队后场抢断，詹姆斯中场拿球后摆脱分边，特里夫诺维奇左路起球到后点，詹姆斯把球做给插上的金泰延，金泰延再直塞被后卫挡出了边线
16'埃杜右路控球，横向传球被断。                   14'第14分钟，辽宁队后场抢断，詹姆斯中场拿球后摆脱分边，特里夫诺维奇左路起球到后点，詹姆斯把球做给插上的金泰延，金泰延再直塞被后卫挡出了边线
17'贵州左路进攻，于海起球，打身后球，辽宁后卫将球控制。                   14'第14分钟，辽宁队后场抢断，詹姆斯中场拿球后摆脱分边，特里夫诺维奇左路起球到后点，詹姆斯把球做给插上的金泰延，金泰延再直塞被后卫挡出了边线
19'贵州中路断球，进攻，横向转移失误，杨善平得球反击。                   19'第19分钟，辽宁队詹姆斯左路和特里夫诺维奇展开配合，特里夫诺维奇回敲给张野，张野的远射稍稍偏出
19'辽宁外围一脚远射，稍偏，张烈相当紧张啊。来自辽宁张野一脚远射。                   19'第19分钟，辽宁队詹姆斯左路和特里夫诺维奇展开配合，特里夫诺维奇回敲给张野，张野的远射稍稍偏出
20'辽宁中路金钩钩，埃杜控球突入禁区，好在贵州防守队员注意力击中，埃杜没有获得射门机会。                   19'第19分钟，辽宁队詹姆斯左路和特里夫诺维奇展开配合，特里夫诺维奇回敲给张野，张野的远射稍稍偏出
21'贵州右路进攻，23号陈昌源连续突破，很活跃，辽宁后卫将球解围出边线。                   19'第19分钟，辽宁队詹姆斯左路和特里夫诺维奇展开配合，特里夫诺维奇回敲给张野，张野的远射稍稍偏出
22'贵州现在开始适应了辽宁的进攻，慢慢也开始主动寻找进攻机会。                   19'第19分钟，辽宁队詹姆斯左路和特里夫诺维奇展开配合，特里夫诺维奇回敲给张野，张野的远射稍稍偏出
22'贵州后场大脚传球，孙继海的长传，身后球。                   19'第19分钟，辽宁队詹姆斯左路和特里夫诺维奇展开配合，特里夫诺维奇回敲给张野，张野的远射稍稍偏出
24'埃杜直接中路起球，找特里夫，贵州门将张烈出击，断下皮球。‘                   24'第24分钟，辽宁队埃杜直接中路起球给特里夫，贵州门将张烈出击将球解围
25'贵州看前场没有什么好的进攻机会，后卫线频繁倒脚，寻找好的机会。                   24'第24分钟，辽宁队埃杜直接中路起球给特里夫，贵州门将张烈出击将球解围
25'张成林，于海这一路对辽宁压力很大。                   24'第24分钟，辽宁队埃杜直接中路起球给特里夫，贵州门将张烈出击将球解围
26'金泰妍受伤倒地，纳诺阻挡犯规。                   24'第24分钟，辽宁队埃杜直接中路起球给特里夫，贵州门将张烈出击将球解围
27'詹姆斯突入禁区，贵州人和人海战术，将球断下。                   24'第24分钟，辽宁队埃杜直接中路起球给特里夫，贵州门将张烈出击将球解围
27'埃杜侵犯孙继海，贵州前场任意球。                   24'第24分钟，辽宁队埃杜直接中路起球给特里夫，贵州门将张烈出击将球解围
29'詹姆斯后场得球，个人突破，吸引对手防守后，传球埃杜，埃杜突入禁区，孙继海贴身防守，埃杜射门，球没有打上部位，球偏出，埃杜失去身体平衡了。                   29'第29分钟，辽宁队詹姆斯后场得球后个人突破，传球埃杜，埃杜突入禁区，孙继海贴身防守，埃杜在孙继海的干扰下射门打偏了
29'孙继海真是经验丰富啊。                   29'第29分钟，辽宁队詹姆斯后场得球后个人突破，传球埃杜，埃杜突入禁区，孙继海贴身防守，埃杜在孙继海的干扰下射门打偏了
30'王博后场控球，辽宁尝试左路进攻。                   29'第29分钟，辽宁队詹姆斯后场得球后个人突破，传球埃杜，埃杜突入禁区，孙继海贴身防守，埃杜在孙继海的干扰下射门打偏了
30'詹姆斯，埃杜前场撞墙式配合，贵州后卫断球破坏二者进攻。                   29'第29分钟，辽宁队詹姆斯后场得球后个人突破，传球埃杜，埃杜突入禁区，孙继海贴身防守，埃杜在孙继海的干扰下射门打偏了
31'贵州陈杰前场准备控球，辽宁两名防守队员夹防断球。                   29'第29分钟，辽宁队詹姆斯后场得球后个人突破，传球埃杜，埃杜突入禁区，孙继海贴身防守，埃杜在孙继海的干扰下射门打偏了
31'纳诺将球解围出底线，辽宁再获角球。                   29'第29分钟，辽宁队詹姆斯后场得球后个人突破，传球埃杜，埃杜突入禁区，孙继海贴身防守，埃杜在孙继海的干扰下射门打偏了
32'辽宁上半场角球机会很多啊，应该好好把握。                   29'第29分钟，辽宁队詹姆斯后场得球后个人突破，传球埃杜，埃杜突入禁区，孙继海贴身防守，埃杜在孙继海的干扰下射门打偏了
32'郑涛传出身后球，贵州后卫抢先将球解围出底线。                   29'第29分钟，辽宁队詹姆斯后场得球后个人突破，传球埃杜，埃杜突入禁区，孙继海贴身防守，埃杜在孙继海的干扰下射门打偏了
33'王博分球詹姆斯，辽宁左路进攻。                   33'第33分钟，特里夫左路前场控球，对手绊倒特里夫，辽宁前场获得任意球，埃杜发出任意球，球被贵州人和门将张烈奋力托出底线，肇俊哲发出的角球被张烈没收
33'特里夫左路前场控球，对手绊倒特里夫，辽宁前场获得任意球。                   33'第33分钟，特里夫左路前场控球，对手绊倒特里夫，辽宁前场获得任意球，埃杜发出任意球，球被贵州人和门将张烈奋力托出底线，肇俊哲发出的角球被张烈没收
34'肇俊哲，埃杜，詹姆斯站在球前。                   33'第33分钟，特里夫左路前场控球，对手绊倒特里夫，辽宁前场获得任意球，埃杜发出任意球，球被贵州人和门将张烈奋力托出底线，肇俊哲发出的角球被张烈没收
34'埃杜发出任意球，球被人和门将张烈奋力托出底线，角球。                   33'第33分钟，特里夫左路前场控球，对手绊倒特里夫，辽宁前场获得任意球，埃杜发出任意球，球被贵州人和门将张烈奋力托出底线，肇俊哲发出的角球被张烈没收
35'肇俊哲发出的角球被张烈没收。                   33'第33分钟，特里夫左路前场控球，对手绊倒特里夫，辽宁前场获得任意球，埃杜发出任意球，球被贵州人和门将张烈奋力托出底线，肇俊哲发出的角球被张烈没收
35'郑涛底线将球保护出底线，辽宁门球。                   33'第33分钟，特里夫左路前场控球，对手绊倒特里夫，辽宁前场获得任意球，埃杜发出任意球，球被贵州人和门将张烈奋力托出底线，肇俊哲发出的角球被张烈没收
36'辽宁右路进攻传球失误，于海被辽宁侵犯，贵州后场任意球。                   33'第33分钟，特里夫左路前场控球，对手绊倒特里夫，辽宁前场获得任意球，埃杜发出任意球，球被贵州人和门将张烈奋力托出底线，肇俊哲发出的角球被张烈没收
42'张鹭大脚球失误，险些被贵州前场队员抓到机会，门将注意力一定要集中啊。                   42'第42分钟，辽宁队门将张鹭出现低级失误，准备开大脚的时候脱手了，球落到了对手的身前，不过贵州队准备不足，张鹭把球踢出
42'贵州队左前场一脚远射，球稍偏。                   42'第42分钟，辽宁队门将张鹭出现低级失误，准备开大脚的时候脱手了，球落到了对手的身前，不过贵州队准备不足，张鹭把球踢出
43'刚才贵州左路发起进攻，禁区内拉斐尔头球回作，跟进的孙继海一脚远射，球稍偏，威胁很大。                   42'第42分钟，辽宁队门将张鹭出现低级失误，准备开大脚的时候脱手了，球落到了对手的身前，不过贵州队准备不足，张鹭把球踢出
44'辽宁中路进攻，埃杜传球禁区找张野，贵州防守队员卡位断球。                   42'第42分钟，辽宁队门将张鹭出现低级失误，准备开大脚的时候脱手了，球落到了对手的身前，不过贵州队准备不足，张鹭把球踢出
44'肇俊哲控球被侵犯，辽宁后场球。                   42'第42分钟，辽宁队门将张鹭出现低级失误，准备开大脚的时候脱手了，球落到了对手的身前，不过贵州队准备不足，张鹭把球踢出
45'郑涛右路传球金泰妍，金泰妍起球，贵州门将将球击出，外围埃杜一脚势大力沉的远射，再次被张烈牢牢扑住。贵州门将张烈还是很有实力。                   42'第42分钟，辽宁队门将张鹭出现低级失误，准备开大脚的时候脱手了，球落到了对手的身前，不过贵州队准备不足，张鹭把球踢出
45'郑涛右路传球金泰妍，金泰妍起球，贵州门将将球击出，外围埃杜一脚势大力沉的远射，再次被张烈牢牢扑住。贵州门将张烈还是很有实力。                   45'第45分钟，郑涛左路和金泰延做配合，金泰延传中球给到中路，张烈将球击出，但没打远，埃杜禁区左侧左脚凌空抽射没踢上力量，张烈将球没收
46'上半场补时1分钟。                   45'第45分钟，郑涛左路和金泰延做配合，金泰延传中球给到中路，张烈将球击出，但没打远，埃杜禁区左侧左脚凌空抽射没踢上力量，张烈将球没收
46'下半场比赛开始。                   45'第45分钟，郑涛左路和金泰延做配合，金泰延传中球给到中路，张烈将球击出，但没打远，埃杜禁区左侧左脚凌空抽射没踢上力量，张烈将球没收
46'下半场辽宁队开球。                   45'第45分钟，郑涛左路和金泰延做配合，金泰延传中球给到中路，张烈将球击出，但没打远，埃杜禁区左侧左脚凌空抽射没踢上力量，张烈将球没收
47'肇俊哲发出后场任意球，詹姆斯控球。                   45'第45分钟，郑涛左路和金泰延做配合，金泰延传中球给到中路，张烈将球击出，但没打远，埃杜禁区左侧左脚凌空抽射没踢上力量，张烈将球没收
47'下半场双方都没有做人员调整。                   45'第45分钟，郑涛左路和金泰延做配合，金泰延传中球给到中路，张烈将球击出，但没打远，埃杜禁区左侧左脚凌空抽射没踢上力量，张烈将球没收
47'辽宁沿左路推进进攻。                   45'第45分钟，郑涛左路和金泰延做配合，金泰延传中球给到中路，张烈将球击出，但没打远，埃杜禁区左侧左脚凌空抽射没踢上力量，张烈将球没收
48'张成林左路进攻，金泰妍断球，辽宁快速反击。                   45'第45分钟，郑涛左路和金泰延做配合，金泰延传中球给到中路，张烈将球击出，但没打远，埃杜禁区左侧左脚凌空抽射没踢上力量，张烈将球没收
48'孙继海防守特里夫犯规，辽宁右路前场获得任意球。                   45'第45分钟，郑涛左路和金泰延做配合，金泰延传中球给到中路，张烈将球击出，但没打远，埃杜禁区左侧左脚凌空抽射没踢上力量，张烈将球没收
48'张成林左路进攻，金泰妍断球，辽宁快速反击。                   48'第48分钟，辽宁队金泰延把球直传到右路，孙继海拦截犯规，辽宁队获得任意球机会，任意球直接吊向禁区内，贵州队后卫把球护出了底线
48'孙继海防守特里夫犯规，辽宁右路前场获得任意球。                   48'第48分钟，辽宁队金泰延把球直传到右路，孙继海拦截犯规，辽宁队获得任意球机会，任意球直接吊向禁区内，贵州队后卫把球护出了底线
49'肇俊哲任意球直接发入贵州禁区，特里夫没有顶到皮球，球直接出底线，贵州门球。                   48'第48分钟，辽宁队金泰延把球直传到右路，孙继海拦截犯规，辽宁队获得任意球机会，任意球直接吊向禁区内，贵州队后卫把球护出了底线
49'孙继海大脚开出门球，球直接飞出边线。                   48'第48分钟，辽宁队金泰延把球直传到右路，孙继海拦截犯规，辽宁队获得任意球机会，任意球直接吊向禁区内，贵州队后卫把球护出了底线
50'孙继海横传左路，张成林控球，传球前场，辽宁后卫控球。                   48'第48分钟，辽宁队金泰延把球直传到右路，孙继海拦截犯规，辽宁队获得任意球机会，任意球直接吊向禁区内，贵州队后卫把球护出了底线
51'詹姆斯真是不惜力，进攻防守都能看到他的影子。                   48'第48分钟，辽宁队金泰延把球直传到右路，孙继海拦截犯规，辽宁队获得任意球机会，任意球直接吊向禁区内，贵州队后卫把球护出了底线
51'李春郁防守埃杜时，撞人犯规。                   48'第48分钟，辽宁队金泰延把球直传到右路，孙继海拦截犯规，辽宁队获得任意球机会，任意球直接吊向禁区内，贵州队后卫把球护出了底线
52'肇俊哲发出任意球，特里夫底线控球，传球。                   52'第52分钟，辽宁队特里夫诺维奇右路的传中球到前点，后卫把球顶出，郑涛右路45度起球，张烈把球摘下
52'外围金泰妍传球禁区，贵州门将张烈将球没收。                   52'第52分钟，辽宁队特里夫诺维奇右路的传中球到前点，后卫把球顶出，郑涛右路45度起球，张烈把球摘下
53'詹姆斯左路得球，分球埃杜，埃杜心领神会，脚后跟做球，詹姆斯插入禁区射门，好在贵州人和3号张成林倒地防守，阻截了詹姆斯。                   52'第52分钟，辽宁队特里夫诺维奇右路的传中球到前点，后卫把球顶出，郑涛右路45度起球，张烈把球摘下
53'詹姆斯，埃杜的配合真棒。                   52'第52分钟，辽宁队特里夫诺维奇右路的传中球到前点，后卫把球顶出，郑涛右路45度起球，张烈把球摘下
54'纳诺左路控球，组织进攻，分球于海，于海横向突破被张野阻截。                   52'第52分钟，辽宁队特里夫诺维奇右路的传中球到前点，后卫把球顶出，郑涛右路45度起球，张烈把球摘下
54'张野受伤倒地。                   52'第52分钟，辽宁队特里夫诺维奇右路的传中球到前点，后卫把球顶出，郑涛右路45度起球，张烈把球摘下
55'贵州前场获得任意球。                   52'第52分钟，辽宁队特里夫诺维奇右路的传中球到前点，后卫把球顶出，郑涛右路45度起球，张烈把球摘下
54'纳诺左路控球，组织进攻，分球于海，于海横向突破被张野阻截。                   54'第54分钟，贵州队任意球机会，米西莫维奇任意球打到禁区内，第一点是辽宁队争到，一个头球后蹭，于海门前的攻门顶高了
54'张野受伤倒地。                   54'第54分钟，贵州队任意球机会，米西莫维奇任意球打到禁区内，第一点是辽宁队争到，一个头球后蹭，于海门前的攻门顶高了
55'贵州前场获得任意球。                   54'第54分钟，贵州队任意球机会，米西莫维奇任意球打到禁区内，第一点是辽宁队争到，一个头球后蹭，于海门前的攻门顶高了
56'密西莫维奇发出任意球，门前于海头球射门，球高出横梁。                   54'第54分钟，贵州队任意球机会，米西莫维奇任意球打到禁区内，第一点是辽宁队争到，一个头球后蹭，于海门前的攻门顶高了
56'郑涛大力掷出前场界外球。                   54'第54分钟，贵州队任意球机会，米西莫维奇任意球打到禁区内，第一点是辽宁队争到，一个头球后蹭，于海门前的攻门顶高了
57'詹姆斯左路突破被纳诺断球，贵州快速反击。                   54'第54分钟，贵州队任意球机会，米西莫维奇任意球打到禁区内，第一点是辽宁队争到，一个头球后蹭，于海门前的攻门顶高了
59'金泰妍右路突破，分球埃杜，埃杜做球，可惜金泰妍体能不支，贵州最终将球断下。                   59'第59分钟，贵州队右路的进攻，直塞球给到禁区内，小角度打门被张鹭用腿挡出
60'危险啊，贵州左路起球，禁区内小角度的射门被张鹭挡出。                   59'第59分钟，贵州队右路的进攻，直塞球给到禁区内，小角度打门被张鹭用腿挡出
62'埃杜中路得球，对方4名防守队员防守，埃杜倒地，辽宁前场获得任意球。                   59'第59分钟，贵州队右路的进攻，直塞球给到禁区内，小角度打门被张鹭用腿挡出
62'埃杜，肇俊哲站在球前。                   59'第59分钟，贵州队右路的进攻，直塞球给到禁区内，小角度打门被张鹭用腿挡出
62'埃杜直接发出任意球，球高出横梁。                   59'第59分钟，贵州队右路的进攻，直塞球给到禁区内，小角度打门被张鹭用腿挡出
63'辽宁队现在不能着急，比赛还是要稳住求胜。                   63'第63分钟，辽宁队郑涛放铲犯规吃到了黄牌
63'郑涛防守犯规被裁判出示黄牌。                   63'第63分钟，辽宁队郑涛放铲犯规吃到了黄牌
64'密西莫维奇发出任意球，张鹭出击将球没收。                   63'第63分钟，辽宁队郑涛放铲犯规吃到了黄牌
66'贵州后场控球，孙继海坐镇中路。孙继海77年的老将，比赛场上依然活力四射啊。                   63'第63分钟，辽宁队郑涛放铲犯规吃到了黄牌
66'贵州换人，11号拉斐尔下场， 9号穆斯利上场。                   63'第63分钟，辽宁队郑涛放铲犯规吃到了黄牌
69'于海左路突破，横向扯动，传球右路，好在辽宁门将张鹭表现出色，最终将球没收。                   69'第69分钟，吴高俊左路传球出现了失误，贵州队的反击，左路的横传球给到右侧，吴高俊封堵了对手的打门
70'现在场上出现争执，贵州主教练对裁判判罚不满，认为肇俊哲防守动作过大。                   69'第69分钟，吴高俊左路传球出现了失误，贵州队的反击，左路的横传球给到右侧，吴高俊封堵了对手的打门
71'辽宁久攻不下的情况下，贵州开始加强了进攻节奏。                   69'第69分钟，吴高俊左路传球出现了失误，贵州队的反击，左路的横传球给到右侧，吴高俊封堵了对手的打门
71'埃杜左路突破，球出边线，贵州后场界外球。                   69'第69分钟，吴高俊左路传球出现了失误，贵州队的反击，左路的横传球给到右侧，吴高俊封堵了对手的打门
73'贵州后场起球，刚上场的9号穆斯利头球射门，球高出横梁。                   73'第73分钟，贵州队中场长传球给到禁区前沿，穆斯利头球吊射高出横梁
74'贵州进攻，密西莫维奇起球找穆斯利，杨善平将球断下。                   73'第73分钟，贵州队中场长传球给到禁区前沿，穆斯利头球吊射高出横梁
74'陈昌源中路控球，贵州右路发动进攻。                   73'第73分钟，贵州队中场长传球给到禁区前沿，穆斯利头球吊射高出横梁
75'陈昌源右路空去，横向跑到，突然转身射门，好在张鹭反应很快，将球扑出底线，角球。                   73'第73分钟，贵州队中场长传球给到禁区前沿，穆斯利头球吊射高出横梁
75'贵州开始大举进攻了。                   73'第73分钟，贵州队中场长传球给到禁区前沿，穆斯利头球吊射高出横梁
76'贵州角球发出，穆斯利和密西莫维奇撞到一起。                   73'第73分钟，贵州队中场长传球给到禁区前沿，穆斯利头球吊射高出横梁
76'张鹭脚踝可能受伤，将球直接发出边线。                   73'第73分钟，贵州队中场长传球给到禁区前沿，穆斯利头球吊射高出横梁
81'张野防守犯规，贵州后场任意球。                   81'第81分钟，辽宁队右路的进攻，金泰延的传中球被萨利顶出了底线，辽宁队角球开向中路，张烈将球击出，右路再起球还是被后卫破坏出来
81'金泰妍中场断球，辽宁快速反击。                   81'第81分钟，辽宁队右路的进攻，金泰延的传中球被萨利顶出了底线，辽宁队角球开向中路，张烈将球击出，右路再起球还是被后卫破坏出来
81'金泰妍右路长传球失误了。                   81'第81分钟，辽宁队右路的进攻，金泰延的传中球被萨利顶出了底线，辽宁队角球开向中路，张烈将球击出，右路再起球还是被后卫破坏出来
82'辽宁角球，禁区内埃杜转身射门被阻挡。                   81'第81分钟，辽宁队右路的进攻，金泰延的传中球被萨利顶出了底线，辽宁队角球开向中路，张烈将球击出，右路再起球还是被后卫破坏出来
83'穆斯利右路带球突破，詹姆斯贴身防守，肇俊哲先出脚将球解围，詹姆斯啊。                   81'第81分钟，辽宁队右路的进攻，金泰延的传中球被萨利顶出了底线，辽宁队角球开向中路，张烈将球击出，右路再起球还是被后卫破坏出来
83'詹姆斯后场得球，个人突破，中路一脚远射，被贵州门将张烈没收，这种外援真很值得。                   81'第81分钟，辽宁队右路的进攻，金泰延的传中球被萨利顶出了底线，辽宁队角球开向中路，张烈将球击出，右路再起球还是被后卫破坏出来
84'辽宁队到目前还没有人员调整。                   81'第81分钟，辽宁队右路的进攻，金泰延的传中球被萨利顶出了底线，辽宁队角球开向中路，张烈将球击出，右路再起球还是被后卫破坏出来
84'特里夫和詹姆斯前场配合，特里夫直塞球没有通过，贵州控球。                   81'第81分钟，辽宁队右路的进攻，金泰延的传中球被萨利顶出了底线，辽宁队角球开向中路，张烈将球击出，右路再起球还是被后卫破坏出来
86'辽宁做了人员调整，特里夫被换下场。                   85'第85分钟，辽宁队连续做出两个换人调整，小王亮和布兰丹出场换下了特里夫诺维奇和吴高俊，贵州队也做换人调整，吴伟换下了米西莫维奇
86'贵州用完最后一个换人名额，5号吴伟上场，10号密西莫维奇下场。                   85'第85分钟，辽宁队连续做出两个换人调整，小王亮和布兰丹出场换下了特里夫诺维奇和吴高俊，贵州队也做换人调整，吴伟换下了米西莫维奇
87'贵州5号吴伟与郑涛争抢头球受伤倒地。                   85'第85分钟，辽宁队连续做出两个换人调整，小王亮和布兰丹出场换下了特里夫诺维奇和吴高俊，贵州队也做换人调整，吴伟换下了米西莫维奇
88'詹姆斯真是不惜力，全场飞奔，哎，中国球员真要好好学学啊。                   85'第85分钟，辽宁队连续做出两个换人调整，小王亮和布兰丹出场换下了特里夫诺维奇和吴高俊，贵州队也做换人调整，吴伟换下了米西莫维奇
