1'裁判一声哨响，比赛正式开始！                   1'第1分钟毅腾队攻势占优
44'舜天获得禁区前沿任意球                   41'第41分钟罗德瑞格禁区内大力抽射又被邓小飞横身扑出
49'孙可 右路传中，尹信荣头球顶给埃利亚斯，埃利亚斯头球破空门！！                   48'上半场补时第3分钟，孙可主罚任意球打到后点，尹信荣头球摆渡，艾利亚斯头球接力将球顶进，1-1
48'毅腾获得前场右侧定位球                   48'上半场补时第3分钟，孙可主罚任意球打到后点，尹信荣头球摆渡，艾利亚斯头球接力将球顶进，1-1
48'第一点被舜天顶出                   48'上半场补时第3分钟，孙可主罚任意球打到后点，尹信荣头球摆渡，艾利亚斯头球接力将球顶进，1-1
49'闫相闯右路传中出了底线                   48'上半场补时第3分钟，孙可主罚任意球打到后点，尹信荣头球摆渡，艾利亚斯头球接力将球顶进，1-1
49'毅腾获得前场左侧任意球                   48'上半场补时第3分钟，孙可主罚任意球打到后点，尹信荣头球摆渡，艾利亚斯头球接力将球顶进，1-1
49'球吊进禁区，第一点被安塔尔顶出                   48'上半场补时第3分钟，孙可主罚任意球打到后点，尹信荣头球摆渡，艾利亚斯头球接力将球顶进，1-1
50'埃利亚斯挑球到另外一端，方向给偏了                   48'上半场补时第3分钟，孙可主罚任意球打到后点，尹信荣头球摆渡，艾利亚斯头球接力将球顶进，1-1
51'王大龙斜长传被后卫破坏出来                   48'上半场补时第3分钟，孙可主罚任意球打到后点，尹信荣头球摆渡，艾利亚斯头球接力将球顶进，1-1
54'吉翔右路传中，杨笑天高高跃起将球砸进球门！！                   54'舜天在第54分钟反超比分――尹信荣后场送出长传，吉翔右路传中，毅腾门前解围不远，后点的杨笑天力压毅腾后卫轻松将球送入球门，2-1，舜天反超比分，这也是杨笑天的处子球
55'刘小龙拉倒埃利亚斯犯规                   54'舜天在第54分钟反超比分――尹信荣后场送出长传，吉翔右路传中，毅腾门前解围不远，后点的杨笑天力压毅腾后卫轻松将球送入球门，2-1，舜天反超比分，这也是杨笑天的处子球
72'边裁举旗示意舜天球员越位                   70'第70分钟，阎相闯开出右侧角球，前点里卡多头球后蹭攻门被郭纯泉腾空摘下
77'江苏舜天换人，托洛扎换下了埃利亚斯                   75'”第75分钟卜鑫登场换下头号射手多利，随后舜天也做出调整，艾利亚斯被托罗扎换下
77'留给毅腾的时间不多了                   75'”第75分钟卜鑫登场换下头号射手多利，随后舜天也做出调整，艾利亚斯被托罗扎换下
78'舜天获得角球机会                   75'”第75分钟卜鑫登场换下头号射手多利，随后舜天也做出调整，艾利亚斯被托罗扎换下
78'第一点被对方后卫顶出                   75'”第75分钟卜鑫登场换下头号射手多利，随后舜天也做出调整，艾利亚斯被托罗扎换下
82'韩德明跟上继续打，皮球划门而过                   82'第82分钟中场大将邓卓翔换下进球功臣杨笑天
82'舜天换人                   82'第82分钟中场大将邓卓翔换下进球功臣杨笑天
82'邓卓翔换下杨笑天                   82'第82分钟中场大将邓卓翔换下进球功臣杨笑天
84'亚当休斯被吹了犯规                   82'第82分钟中场大将邓卓翔换下进球功臣杨笑天
85'里卡多任意球大脚送入禁区                   82'第82分钟中场大将邓卓翔换下进球功臣杨笑天
85'任航头球顶出                   82'第82分钟中场大将邓卓翔换下进球功臣杨笑天
91'任航和亚当休斯相碰倒地                   90'第90分钟杨昊一记40米左右的超级吊射击中横梁，孙可的补射稍稍打高
91'比赛补时4分钟                   90'第90分钟杨昊一记40米左右的超级吊射击中横梁，孙可的补射稍稍打高
93'吉祥中圈吊门！！                   90'第90分钟杨昊一记40米左右的超级吊射击中横梁，孙可的补射稍稍打高
93'皮球砸在了横梁上！！！                   90'第90分钟杨昊一记40米左右的超级吊射击中横梁，孙可的补射稍稍打高
