5'毕津浩争顶时犯规                   5'第5分钟，梅方中场滑铲侵犯伊沃，梅方领到黄牌
12'上半场11分钟，全华班作战的恒大淘宝还少打一人                   11'第11分钟，恒大遭遇红牌打击——郑智中场头球回传时失误，伊沃断球前插形成单刀球，郑智追防犯规造成伊沃倒地，主裁判艾堃将郑智红牌罚下
12'伊沃任意球直接破门！！                   11'第11分钟，恒大遭遇红牌打击——郑智中场头球回传时失误，伊沃断球前插形成单刀球，郑智追防犯规造成伊沃倒地，主裁判艾堃将郑智红牌罚下
13'伊沃任意球弧线球打远门柱，曾诚扑救不及！                   11'第11分钟，恒大遭遇红牌打击——郑智中场头球回传时失误，伊沃断球前插形成单刀球，郑智追防犯规造成伊沃倒地，主裁判艾堃将郑智红牌罚下
13'曾诚的站位太过偏向近门柱了                   11'第11分钟，恒大遭遇红牌打击——郑智中场头球回传时失误，伊沃断球前插形成单刀球，郑智追防犯规造成伊沃倒地，主裁判艾堃将郑智红牌罚下
13'王上源的传球又是失误，建业中场断球                   11'第11分钟，恒大遭遇红牌打击——郑智中场头球回传时失误，伊沃断球前插形成单刀球，郑智追防犯规造成伊沃倒地，主裁判艾堃将郑智红牌罚下
14'伊沃控球交给了李智超                   11'第11分钟，恒大遭遇红牌打击——郑智中场头球回传时失误，伊沃断球前插形成单刀球，郑智追防犯规造成伊沃倒地，主裁判艾堃将郑智红牌罚下
14'分到右路，吕建军传给扎哈拉                   11'第11分钟，恒大遭遇红牌打击——郑智中场头球回传时失误，伊沃断球前插形成单刀球，郑智追防犯规造成伊沃倒地，主裁判艾堃将郑智红牌罚下
14'扎哈拉做墙传球，给大了                   11'第11分钟，恒大遭遇红牌打击——郑智中场头球回传时失误，伊沃断球前插形成单刀球，郑智追防犯规造成伊沃倒地，主裁判艾堃将郑智红牌罚下
14'广州恒大淘宝换人，48号保利尼奥换下了34号王军辉                   11'第11分钟，恒大遭遇红牌打击——郑智中场头球回传时失误，伊沃断球前插形成单刀球，郑智追防犯规造成伊沃倒地，主裁判艾堃将郑智红牌罚下
22'郜林也是单刀了，回传，郑龙左脚打门破门！                   22'第22分钟，恒大扳平比分——恒大后场前传时，戈麦斯在中场冒顶，郜林奔袭入禁区后摆脱追防的戈麦斯传中，郑龙禁区中路停球调整同时摆脱顾操，面对出击的建业门将韩锋挑射破门
23'中场是戈麦斯漏顶，郜林带球到禁区左侧停球倚住戈麦斯回传，郑龙插上停球顺势过了顾操再低射破门                   22'第22分钟，恒大扳平比分——恒大后场前传时，戈麦斯在中场冒顶，郜林奔袭入禁区后摆脱追防的戈麦斯传中，郑龙禁区中路停球调整同时摆脱顾操，面对出击的建业门将韩锋挑射破门
23'郑仁焕的传球被梅方断下                   22'第22分钟，恒大扳平比分——恒大后场前传时，戈麦斯在中场冒顶，郜林奔袭入禁区后摆脱追防的戈麦斯传中，郑龙禁区中路停球调整同时摆脱顾操，面对出击的建业门将韩锋挑射破门
23'接应的队友比较少，交给保利尼奥                   22'第22分钟，恒大扳平比分——恒大后场前传时，戈麦斯在中场冒顶，郜林奔袭入禁区后摆脱追防的戈麦斯传中，郑龙禁区中路停球调整同时摆脱顾操，面对出击的建业门将韩锋挑射破门
23'分右路，郑龙传球没有传好                   22'第22分钟，恒大扳平比分——恒大后场前传时，戈麦斯在中场冒顶，郜林奔袭入禁区后摆脱追防的戈麦斯传中，郑龙禁区中路停球调整同时摆脱顾操，面对出击的建业门将韩锋挑射破门
24'保利尼奥分左路的黄博文回传给冯潇霆                   22'第22分钟，恒大扳平比分——恒大后场前传时，戈麦斯在中场冒顶，郜林奔袭入禁区后摆脱追防的戈麦斯传中，郑龙禁区中路停球调整同时摆脱顾操，面对出击的建业门将韩锋挑射破门
24'又是黄博文左路的突破，被吕建军拉倒                   22'第22分钟，恒大扳平比分——恒大后场前传时，戈麦斯在中场冒顶，郜林奔袭入禁区后摆脱追防的戈麦斯传中，郑龙禁区中路停球调整同时摆脱顾操，面对出击的建业门将韩锋挑射破门
25'邹正的传中落点不好被李智超顶了出来                   22'第22分钟，恒大扳平比分——恒大后场前传时，戈麦斯在中场冒顶，郜林奔袭入禁区后摆脱追防的戈麦斯传中，郑龙禁区中路停球调整同时摆脱顾操，面对出击的建业门将韩锋挑射破门
33'快发任意球，王上源传后点被吕建军顶到中场                   33'第33分钟，梅方中场直传策动攻势，郜林将球漏过，黄博文插入禁区攻门打偏
33'邹正中场是球回传给冯潇霆                   33'第33分钟，梅方中场直传策动攻势，郜林将球漏过，黄博文插入禁区攻门打偏
33'冯潇霆的长传，李智超手球犯规                   33'第33分钟，梅方中场直传策动攻势，郜林将球漏过，黄博文插入禁区攻门打偏
34'梅方长传到禁区前沿，郜林脚后跟一磕，黄博文跟进打门打嗤了                   33'第33分钟，梅方中场直传策动攻势，郜林将球漏过，黄博文插入禁区攻门打偏
34'扎哈拉前场得球，进了禁区一拔，打在王上源的脚出底线                   33'第33分钟，梅方中场直传策动攻势，郜林将球漏过，黄博文插入禁区攻门打偏
34'不过主裁判用清晰的手势指示是门球                   33'第33分钟，梅方中场直传策动攻势，郜林将球漏过，黄博文插入禁区攻门打偏
35'曾诚开门球滑倒                   33'第33分钟，梅方中场直传策动攻势，郜林将球漏过，黄博文插入禁区攻门打偏
35'没有问题，站起来再踢到中场                   33'第33分钟，梅方中场直传策动攻势，郜林将球漏过，黄博文插入禁区攻门打偏
35'郜林护球交给保利尼奥                   33'第33分钟，梅方中场直传策动攻势，郜林将球漏过，黄博文插入禁区攻门打偏
35'有点误会，还是郜林拿球交给冯潇霆                   33'第33分钟，梅方中场直传策动攻势，郜林将球漏过，黄博文插入禁区攻门打偏
35'过渡到左路                   33'第33分钟，梅方中场直传策动攻势，郜林将球漏过，黄博文插入禁区攻门打偏
35'邹正一对一面对吕建军，穿当过人没有成功                   33'第33分钟，梅方中场直传策动攻势，郜林将球漏过，黄博文插入禁区攻门打偏
36'吕建军将球踢出边线                   33'第33分钟，梅方中场直传策动攻势，郜林将球漏过，黄博文插入禁区攻门打偏
36'于汉超接应转身，郑仁焕将球拦截出边线                   33'第33分钟，梅方中场直传策动攻势，郜林将球漏过，黄博文插入禁区攻门打偏
36'掷到禁区边缘，戈麦斯的解围                   33'第33分钟，梅方中场直传策动攻势，郜林将球漏过，黄博文插入禁区攻门打偏
46'建业将节奏放慢一点                   46'第46分钟，龙成因侵犯郜林领到黄牌
46'少打一人的恒大淘宝也不急于上抢                   46'第46分钟，龙成因侵犯郜林领到黄牌
46'徐洋分边左路，传大了王上源断球                   46'第46分钟，龙成因侵犯郜林领到黄牌
46'黄博文中场得球交给于汉超                   46'第46分钟，龙成因侵犯郜林领到黄牌
47'郜林接应，护好球再分右路，于汉超内切过快了                   46'第46分钟，龙成因侵犯郜林领到黄牌
47'邹正左路的高吊禁区，被买提江顶出来                   46'第46分钟，龙成因侵犯郜林领到黄牌
48'王上源右路的横传，于汉超一漏，但郜林已经插到禁区                   46'第46分钟，龙成因侵犯郜林领到黄牌
48'上半场比赛结束了！                   46'第46分钟，龙成因侵犯郜林领到黄牌
46'下半场比赛开始了！                   46'第46分钟，龙成因侵犯郜林领到黄牌
46'郜林前场断球被尤成绊倒                   46'第46分钟，龙成因侵犯郜林领到黄牌
46'尤成被黄牌警告                   46'第46分钟，龙成因侵犯郜林领到黄牌
46'应该是龙成                   46'第46分钟，龙成因侵犯郜林领到黄牌
46'龙成拿到黄牌                   46'第46分钟，龙成因侵犯郜林领到黄牌
47'郑龙右路得球，左脚球员办法不多，不过被徐洋带倒                   46'第46分钟，龙成因侵犯郜林领到黄牌
47'恒大淘宝右路靠近角球位置的任意球机会                   46'第46分钟，龙成因侵犯郜林领到黄牌
47'下半场毕津浩回到了中后卫的位置                   46'第46分钟，龙成因侵犯郜林领到黄牌
47'龙成踢的是后腰                   46'第46分钟，龙成因侵犯郜林领到黄牌
48'郑龙传前点，毕津浩头球解围                   46'第46分钟，龙成因侵犯郜林领到黄牌
48'冯潇霆左路得球，扣球过人趟大了，吕建军断球传给了于汉超                   46'第46分钟，龙成因侵犯郜林领到黄牌
48'于汉超斜传被戈麦斯伸脚捅出来                   46'第46分钟，龙成因侵犯郜林领到黄牌
48'中场附近邹正放铲将球铲出边线                   46'第46分钟，龙成因侵犯郜林领到黄牌
49'伊沃左路插上接应界外球传中被黄博文拦截出底线                   46'第46分钟，龙成因侵犯郜林领到黄牌
49'伊沃角球发前点，梅方顶得不远，买提江打门力量不大，曾诚将球没收                   46'第46分钟，龙成因侵犯郜林领到黄牌
49'曾诚长传前场右路，徐洋背后踢倒了郑龙                   46'第46分钟，龙成因侵犯郜林领到黄牌
54'郜林护球，与郑龙配合                   54'第54分钟，伊沃分球至前场左侧空档，买提江快速传中，帕蒂尼奥头球攻门被曾诚飞身拦截
54'毕津浩大脚破坏到中场                   54'第54分钟，伊沃分球至前场左侧空档，买提江快速传中，帕蒂尼奥头球攻门被曾诚飞身拦截
54'邹正传给郜林，调整得有点多                   54'第54分钟，伊沃分球至前场左侧空档，买提江快速传中，帕蒂尼奥头球攻门被曾诚飞身拦截
54'建业反击                   54'第54分钟，伊沃分球至前场左侧空档，买提江快速传中，帕蒂尼奥头球攻门被曾诚飞身拦截
55'徐洋左路送斜传，帕蒂尼奥甩头攻门，曾诚飞身将球扑住                   54'第54分钟，伊沃分球至前场左侧空档，买提江快速传中，帕蒂尼奥头球攻门被曾诚飞身拦截
55'王上源右路长传，给大了出边线                   54'第54分钟，伊沃分球至前场左侧空档，买提江快速传中，帕蒂尼奥头球攻门被曾诚飞身拦截
56'建业的机会，伊沃左路带球直插到禁区左侧，小角度打门被曾诚封出底线                   54'第54分钟，伊沃分球至前场左侧空档，买提江快速传中，帕蒂尼奥头球攻门被曾诚飞身拦截
56'建业左路的角球机会                   54'第54分钟，伊沃分球至前场左侧空档，买提江快速传中，帕蒂尼奥头球攻门被曾诚飞身拦截
56'地滚球被王上源挡出来                   54'第54分钟，伊沃分球至前场左侧空档，买提江快速传中，帕蒂尼奥头球攻门被曾诚飞身拦截
56'伊沃再传禁区，买提江停球被黄博文断下                   54'第54分钟，伊沃分球至前场左侧空档，买提江快速传中，帕蒂尼奥头球攻门被曾诚飞身拦截
57'黄博文开大脚被买提江铲出边线                   54'第54分钟，伊沃分球至前场左侧空档，买提江快速传中，帕蒂尼奥头球攻门被曾诚飞身拦截
57'恒大淘宝换人，18号董学升换下了29号郜林！                   54'第54分钟，伊沃分球至前场左侧空档，买提江快速传中，帕蒂尼奥头球攻门被曾诚飞身拦截
57'郜林似乎有点崴了脚                   54'第54分钟，伊沃分球至前场左侧空档，买提江快速传中，帕蒂尼奥头球攻门被曾诚飞身拦截
80'于汉超右路转身，王上源上来                   80'第80分钟，王上源挑传发动攻势，于汉超禁区内凌空攻门时踢空
80'王上源挑传，于汉超想打凌空，打空了                   80'第80分钟，王上源挑传发动攻势，于汉超禁区内凌空攻门时踢空
81'邹正长传上来，戈麦斯顶到第一点                   80'第80分钟，王上源挑传发动攻势，于汉超禁区内凌空攻门时踢空
81'冯潇霆中场抢点顶出边线                   80'第80分钟，王上源挑传发动攻势，于汉超禁区内凌空攻门时踢空
81'中场争顶，赵旭日撞人犯规                   80'第80分钟，王上源挑传发动攻势，于汉超禁区内凌空攻门时踢空
82'建业打得真的很慢                   80'第80分钟，王上源挑传发动攻势，于汉超禁区内凌空攻门时踢空
82'少打一人的恒大淘宝也没有办法                   80'第80分钟，王上源挑传发动攻势，于汉超禁区内凌空攻门时踢空
83'伊沃加速为，中路带球被断了                   80'第80分钟，王上源挑传发动攻势，于汉超禁区内凌空攻门时踢空
83'保利尼奥护球，绕了一圈球还在脚下                   80'第80分钟，王上源挑传发动攻势，于汉超禁区内凌空攻门时踢空
83'传到后卫线再组织                   80'第80分钟，王上源挑传发动攻势，于汉超禁区内凌空攻门时踢空
85'保利尼奥禁区内连打两脚都被后卫挡出来                   85'第85分钟，恒大在建业禁区内形成持续混战，保利尼奥攻门被封堵
85'保利尼奥的球性还是很娴熟的                   85'第85分钟，恒大在建业禁区内形成持续混战，保利尼奥攻门被封堵
85'邹正长传上来，董学升蹭一下，韩锋将球没收                   85'第85分钟，恒大在建业禁区内形成持续混战，保利尼奥攻门被封堵
86'伊沃交给杨阔                   85'第85分钟，恒大在建业禁区内形成持续混战，保利尼奥攻门被封堵
86'建业真的打得很慢                   85'第85分钟，恒大在建业禁区内形成持续混战，保利尼奥攻门被封堵
87'恒大淘宝也没有办法，上抢的力量不够，毕竟体力消耗很大                   85'第85分钟，恒大在建业禁区内形成持续混战，保利尼奥攻门被封堵
87'建业拿了球可能3分钟内不断地倒脚                   85'第85分钟，恒大在建业禁区内形成持续混战，保利尼奥攻门被封堵
88'伊沃护球很稳                   85'第85分钟，恒大在建业禁区内形成持续混战，保利尼奥攻门被封堵
