1'裁判哨响！                   1'曼城第1分钟试图控制比赛
87'斜传禁区中路！                   87'莱斯特城第87分钟险些扳平，乔杜里直传，前曼城前锋伊赫纳乔禁区边缘第一时间推射偏出
87'伊希纳乔左脚推射！                   87'莱斯特城第87分钟险些扳平，乔杜里直传，前曼城前锋伊赫纳乔禁区边缘第一时间推射偏出
88'偏出左侧底线！                   87'莱斯特城第87分钟险些扳平，乔杜里直传，前曼城前锋伊赫纳乔禁区边缘第一时间推射偏出
89'巴恩斯中场推进！                   87'莱斯特城第87分钟险些扳平，乔杜里直传，前曼城前锋伊赫纳乔禁区边缘第一时间推射偏出
89'被绊倒犯规！                   87'莱斯特城第87分钟险些扳平，乔杜里直传，前曼城前锋伊赫纳乔禁区边缘第一时间推射偏出
89'热苏斯喷裁判吃到黄牌！                   87'莱斯特城第87分钟险些扳平，乔杜里直传，前曼城前锋伊赫纳乔禁区边缘第一时间推射偏出
90'任意球长传禁区！                   87'莱斯特城第87分钟险些扳平，乔杜里直传，前曼城前锋伊赫纳乔禁区边缘第一时间推射偏出
90'拼抢后热苏斯得球！                   87'莱斯特城第87分钟险些扳平，乔杜里直传，前曼城前锋伊赫纳乔禁区边缘第一时间推射偏出
90'推进被伊希纳乔放倒！                   87'莱斯特城第87分钟险些扳平，乔杜里直传，前曼城前锋伊赫纳乔禁区边缘第一时间推射偏出
90'裁判给了黄牌！                   87'莱斯特城第87分钟险些扳平，乔杜里直传，前曼城前锋伊赫纳乔禁区边缘第一时间推射偏出
