1'上半场比赛开始！！                   1'热刺第1分钟展开积极攻势，阿里禁区内的射门被加布里埃尔挡出
51'厄齐尔外脚背传球给到远点                   48'热刺3分钟连入2球反超比分，第60分钟，拉梅拉开出角球，阿尔德韦雷尔德小禁区左侧劲射破门
51'洛里及时出击将球得到                   48'热刺3分钟连入2球反超比分，第60分钟，拉梅拉开出角球，阿尔德韦雷尔德小禁区左侧劲射破门
72'热刺进攻到前场                   72'热刺第72分钟险些扩大比分，沃克尔传球，哈里-凯恩16码处转身射门稍稍偏出左侧立柱
72'哈里-凯恩禁区内接球转身                   72'热刺第72分钟险些扩大比分，沃克尔传球，哈里-凯恩16码处转身射门稍稍偏出左侧立柱
72'低射远角，这球打偏了                   72'热刺第72分钟险些扩大比分，沃克尔传球，哈里-凯恩16码处转身射门稍稍偏出左侧立柱
73'裁判这边又掏牌了                   72'热刺第72分钟险些扩大比分，沃克尔传球，哈里-凯恩16码处转身射门稍稍偏出左侧立柱
73'迪尔拉倒了维尔贝克                   72'热刺第72分钟险些扩大比分，沃克尔传球，哈里-凯恩16码处转身射门稍稍偏出左侧立柱
73'迪尔得到一张黄牌！！                   72'热刺第72分钟险些扩大比分，沃克尔传球，哈里-凯恩16码处转身射门稍稍偏出左侧立柱
73'阿森纳将球打到禁区内                   72'热刺第72分钟险些扩大比分，沃克尔传球，哈里-凯恩16码处转身射门稍稍偏出左侧立柱
73'落点不好                   72'热刺第72分钟险些扩大比分，沃克尔传球，哈里-凯恩16码处转身射门稍稍偏出左侧立柱
74'阿森纳这边准备换上吉鲁                   72'热刺第72分钟险些扩大比分，沃克尔传球，哈里-凯恩16码处转身射门稍稍偏出左侧立柱
74'现场的雨也是下的很大                   72'热刺第72分钟险些扩大比分，沃克尔传球，哈里-凯恩16码处转身射门稍稍偏出左侧立柱
74'热刺前场拿球给到左路                   72'热刺第72分钟险些扩大比分，沃克尔传球，哈里-凯恩16码处转身射门稍稍偏出左侧立柱
74'再传远端，落点不好                   72'热刺第72分钟险些扩大比分，沃克尔传球，哈里-凯恩16码处转身射门稍稍偏出左侧立柱
75'阿森纳换人，埃尔内尼下，吉鲁上！                   72'热刺第72分钟险些扩大比分，沃克尔传球，哈里-凯恩16码处转身射门稍稍偏出左侧立柱
75'2-2！！！！                   72'热刺第72分钟险些扩大比分，沃克尔传球，哈里-凯恩16码处转身射门稍稍偏出左侧立柱
75'桑切斯！！！                   72'热刺第72分钟险些扩大比分，沃克尔传球，哈里-凯恩16码处转身射门稍稍偏出左侧立柱
76'此时此刻值得来杯嘉士伯                   76'阿森纳第76分钟扳平比分，贝莱林直传，桑切斯禁区右肋12码处顺势第一时间射远角入网，2-2
76'阿森纳中场传球给到右路，队友接球后直塞给到禁区内，桑切斯插上后顺势推远端，洛里扑了一下还是进了！！                   76'阿森纳第76分钟扳平比分，贝莱林直传，桑切斯禁区右肋12码处顺势第一时间射远角入网，2-2
77'两队都还有时间                   76'阿森纳第76分钟扳平比分，贝莱林直传，桑切斯禁区右肋12码处顺势第一时间射远角入网，2-2
78'热刺再次换人，罗斯下，本-戴维斯上！                   76'阿森纳第76分钟扳平比分，贝莱林直传，桑切斯禁区右肋12码处顺势第一时间射远角入网，2-2
78'阿森纳这段时间也是稳住了场面                   76'阿森纳第76分钟扳平比分，贝莱林直传，桑切斯禁区右肋12码处顺势第一时间射远角入网，2-2
93'热刺左路进攻被默特萨克铲出边线                   93'阿森纳第93分钟险些绝杀，桑切斯直传，拉姆塞10码处射门被维默关键时刻封堵挡高
93'热刺左路起球送禁区                   93'阿森纳第93分钟险些绝杀，桑切斯直传，拉姆塞10码处射门被维默关键时刻封堵挡高
93'阿森纳的解围没有打远                   93'阿森纳第93分钟险些绝杀，桑切斯直传，拉姆塞10码处射门被维默关键时刻封堵挡高
93'禁区外围，热刺这边抽射一脚将球打偏                   93'阿森纳第93分钟险些绝杀，桑切斯直传，拉姆塞10码处射门被维默关键时刻封堵挡高
