1'国际米兰球员米利托大禁区外右脚射门,被防守球员封堵.                   1'第1分钟，阿加齐未能击出国米角球，米利托禁区内左脚打高
49'国际米兰球员米利托大禁区中央右脚射门,被防守球员封堵.给他传球的是卡萨诺.                   46'1分钟后，孔蒂直传禁区左侧，萨乌在门前7米处左脚铲射偏出近门柱
61'卡利亚里球员安德烈-科苏大禁区右侧尝试右脚射门,可惜皮球高出球门.给他传球的是皮尼拉.                   61'第61分钟，皮尼利亚反击传球，科苏禁区右侧射门高出
61'长友佑都为国际米兰在左路,赢得一个任意球.                   61'第61分钟，皮尼利亚反击传球，科苏禁区右侧射门高出
61'卡利亚里球员拉米雷斯拼抢犯规,对手获得控球权.                   61'第61分钟，皮尼利亚反击传球，科苏禁区右侧射门高出
61'黄牌！卡利亚里球员拉米雷斯因为恶意犯规,被主裁判出示黄牌.                   61'第61分钟，皮尼利亚反击传球，科苏禁区右侧射门高出
63'国际米兰球员卡萨诺大禁区中央尝试头球,可惜皮球高出球门.给他传球的是加尔加诺.                   61'第61分钟，皮尼利亚反击传球，科苏禁区右侧射门高出
63'国际米兰球员萨穆埃尔拼抢犯规,对手获得控球权.                   61'第61分钟，皮尼利亚反击传球，科苏禁区右侧射门高出
63'马克-苏为卡利亚里在左路,赢得一个任意球.                   61'第61分钟，皮尼利亚反击传球，科苏禁区右侧射门高出
64'卡利亚里球员纳因格兰大禁区外右脚射门,被防守球员封堵.                   61'第61分钟，皮尼利亚反击传球，科苏禁区右侧射门高出
64'射门!!!卡利亚里球员马克-苏大禁区中央头球,被对方守门员横身扑出.                   61'第61分钟，皮尼利亚反击传球，科苏禁区右侧射门高出
64'卡萨诺为国际米兰在对方半场,赢得一个任意球.                   61'第61分钟，皮尼利亚反击传球，科苏禁区右侧射门高出
64'卡利亚里球员罗塞蒂尼拼抢犯规,对手获得控球权.                   61'第61分钟，皮尼利亚反击传球，科苏禁区右侧射门高出
63'国际米兰球员卡萨诺大禁区中央尝试头球,可惜皮球高出球门.给他传球的是加尔加诺.                   63'第63分钟，加尔加诺长传，卡萨诺头球高出
63'国际米兰球员萨穆埃尔拼抢犯规,对手获得控球权.                   63'第63分钟，加尔加诺长传，卡萨诺头球高出
63'马克-苏为卡利亚里在左路,赢得一个任意球.                   63'第63分钟，加尔加诺长传，卡萨诺头球高出
64'卡利亚里球员纳因格兰大禁区外右脚射门,被防守球员封堵.                   63'第63分钟，加尔加诺长传，卡萨诺头球高出
64'射门!!!卡利亚里球员马克-苏大禁区中央头球,被对方守门员横身扑出.                   63'第63分钟，加尔加诺长传，卡萨诺头球高出
64'卡萨诺为国际米兰在对方半场,赢得一个任意球.                   63'第63分钟，加尔加诺长传，卡萨诺头球高出
64'卡利亚里球员罗塞蒂尼拼抢犯规,对手获得控球权.                   63'第63分钟，加尔加诺长传，卡萨诺头球高出
66'卡利亚里球员皮尼拉球门右侧小角度右脚射门,命中门柱左侧立柱.给他传球的是安德烈-科苏.                   63'第63分钟，加尔加诺长传，卡萨诺头球高出
66'进球啦！！！卡利亚里球员马克-苏球门线跟前左脚射门,球从右下角飞进球门,球进了! 国际米兰 1-2 卡利亚里.                   63'第63分钟，加尔加诺长传，卡萨诺头球高出
66'卡利亚里球员皮尼拉球门右侧小角度右脚射门,命中门柱左侧立柱.给他传球的是安德烈-科苏.                   66'卡利亚里第66分钟反超
66'进球啦！！！卡利亚里球员马克-苏球门线跟前左脚射门,球从右下角飞进球门,球进了! 国际米兰 1-2 卡利亚里.                   66'卡利亚里第66分钟反超
68'卡利亚里换人,德塞纳换下安德烈-科苏                   66'卡利亚里第66分钟反超
70'卡利亚里球员拉米雷斯大禁区外尝试右脚射门,可惜皮球偏出球门.给他传球的是皮尼拉.                   70'第70分钟，皮尼利亚禁区内回做，埃克达尔在门前18米处推射高出
70'帕拉西奥为国际米兰赢得一个任意球.                   70'第70分钟，皮尼利亚禁区内回做，埃克达尔在门前18米处推射高出
70'卡利亚里球员埃夫勒拼抢犯规,对手获得控球权.                   70'第70分钟，皮尼利亚禁区内回做，埃克达尔在门前18米处推射高出
71'皮萨诺将球处理出底线,国际米兰获得角球.                   70'第70分钟，皮尼利亚禁区内回做，埃克达尔在门前18米处推射高出
71'射门!!!国际米兰球员拉诺齐亚大禁区右侧右脚射门,被对方守门员横身扑出.给他传球的是加尔加诺.                   70'第70分钟，皮尼利亚禁区内回做，埃克达尔在门前18米处推射高出
71'阿加齐将球处理出底线,国际米兰获得角球.                   70'第70分钟，皮尼利亚禁区内回做，埃克达尔在门前18米处推射高出
72'拉米雷斯将球处理出底线,国际米兰获得角球.                   70'第70分钟，皮尼利亚禁区内回做，埃克达尔在门前18米处推射高出
72'皮萨诺将球处理出底线,国际米兰获得角球.                   70'第70分钟，皮尼利亚禁区内回做，埃克达尔在门前18米处推射高出
73'坎比亚索为国际米兰赢得一个任意球.                   70'第70分钟，皮尼利亚禁区内回做，埃克达尔在门前18米处推射高出
73'卡利亚里球员D-孔蒂拼抢犯规,对手获得控球权.                   70'第70分钟，皮尼利亚禁区内回做，埃克达尔在门前18米处推射高出
73'黄牌！卡利亚里球员D-孔蒂因为恶意犯规,被主裁判出示黄牌.                   70'第70分钟，皮尼利亚禁区内回做，埃克达尔在门前18米处推射高出
73'国际米兰换人,库蒂尼奥换下胡安                   70'第70分钟，皮尼利亚禁区内回做，埃克达尔在门前18米处推射高出
79'国际米兰球员卡萨诺大禁区外尝试右脚射门,可惜皮球稍稍偏出了右球门.给他传球的是加尔加诺.                   79'第79分钟，卡萨诺远射偏出远门柱
81'国际米兰球员米利托大禁区外右脚射门,被防守球员封堵.                   79'第79分钟，卡萨诺远射偏出远门柱
81'阿斯托里将球处理出底线,国际米兰获得角球.                   79'第79分钟，卡萨诺远射偏出远门柱
81'国际米兰球员加尔加诺拼抢犯规,对手获得控球权.                   79'第79分钟，卡萨诺远射偏出远门柱
81'伊巴尔博为卡利亚里赢得一个任意球.                   79'第79分钟，卡萨诺远射偏出远门柱
82'国际米兰换人,阿尔瓦雷斯换下卡萨诺                   79'第79分钟，卡萨诺远射偏出远门柱
82'卡利亚里球员阿斯托里自摆乌龙,国际米兰 2-2 卡利亚里                   79'第79分钟，卡萨诺远射偏出远门柱
82'国际米兰换人,阿尔瓦雷斯换下卡萨诺                   82'第82分钟，阿尔瓦雷斯禁区右侧低传，阿斯托里前点距门5米处解围铲进自家大门，2比2
82'卡利亚里球员阿斯托里自摆乌龙,国际米兰 2-2 卡利亚里                   82'第82分钟，阿尔瓦雷斯禁区右侧低传，阿斯托里前点距门5米处解围铲进自家大门，2比2
84'国际米兰球员萨内蒂大禁区右侧右脚射门,被防守球员封堵.给他传球的是阿尔瓦雷斯.                   82'第82分钟，阿尔瓦雷斯禁区右侧低传，阿斯托里前点距门5米处解围铲进自家大门，2比2
84'D-孔蒂将球处理出底线,国际米兰获得角球.                   82'第82分钟，阿尔瓦雷斯禁区右侧低传，阿斯托里前点距门5米处解围铲进自家大门，2比2
84'国际米兰球员帕拉西奥大禁区中央尝试头球,可惜皮球稍稍偏出了右球门.给他传球的是阿尔瓦雷斯.                   82'第82分钟，阿尔瓦雷斯禁区右侧低传，阿斯托里前点距门5米处解围铲进自家大门，2比2
84'射门!!!国际米兰球员拉诺齐亚大禁区中央右脚射门,被对方守门员横身扑出.给他传球的是米利托.                   82'第82分钟，阿尔瓦雷斯禁区右侧低传，阿斯托里前点距门5米处解围铲进自家大门，2比2
84'阿斯托里将球处理出底线,国际米兰获得角球.                   82'第82分钟，阿尔瓦雷斯禁区右侧低传，阿斯托里前点距门5米处解围铲进自家大门，2比2
84'国际米兰球员阿尔瓦雷斯大禁区外左脚射门,被防守球员封堵.给他传球的是加尔加诺.                   82'第82分钟，阿尔瓦雷斯禁区右侧低传，阿斯托里前点距门5米处解围铲进自家大门，2比2
85'国际米兰球员拉诺齐亚大禁区中央尝试头球,可惜皮球稍稍偏出了右球门.                   82'第82分钟，阿尔瓦雷斯禁区右侧低传，阿斯托里前点距门5米处解围铲进自家大门，2比2
88'卡利亚里球员埃夫勒拼抢犯规,对手获得控球权.                   88'第88分钟，阿尔瓦雷斯右路传中，萨穆埃尔后点左脚凌空打出弹地球偏出远门柱
88'萨内蒂为国际米兰在右路,赢得一个任意球.                   88'第88分钟，阿尔瓦雷斯右路传中，萨穆埃尔后点左脚凌空打出弹地球偏出远门柱
88'国际米兰球员萨穆埃尔大禁区左侧尝试左脚射门,可惜皮球稍稍偏出了右球门.给他传球的是阿尔瓦雷斯.                   88'第88分钟，阿尔瓦雷斯右路传中，萨穆埃尔后点左脚凌空打出弹地球偏出远门柱
88'阿加齐为卡利亚里赢得一个任意球.                   88'第88分钟，阿尔瓦雷斯右路传中，萨穆埃尔后点左脚凌空打出弹地球偏出远门柱
88'国际米兰球员米利托拼抢犯规,对手获得控球权.                   88'第88分钟，阿尔瓦雷斯右路传中，萨穆埃尔后点左脚凌空打出弹地球偏出远门柱
89'卡利亚里皮尼拉受伤倒地,比赛暂停                   88'第88分钟，阿尔瓦雷斯右路传中，萨穆埃尔后点左脚凌空打出弹地球偏出远门柱
89'暂停结束,球员们重新开始比赛.                   88'第88分钟，阿尔瓦雷斯右路传中，萨穆埃尔后点左脚凌空打出弹地球偏出远门柱
89'卡利亚里球员纳因格兰大禁区外尝试右脚射门,可惜皮球稍稍高出球门.给他传球的是皮萨诺.                   88'第88分钟，阿尔瓦雷斯右路传中，萨穆埃尔后点左脚凌空打出弹地球偏出远门柱
90'卡利亚里球员罗塞蒂尼拼抢犯规,对手获得控球权.                   88'第88分钟，阿尔瓦雷斯右路传中，萨穆埃尔后点左脚凌空打出弹地球偏出远门柱
90'米利托为国际米兰在对方半场,赢得一个任意球.                   88'第88分钟，阿尔瓦雷斯右路传中，萨穆埃尔后点左脚凌空打出弹地球偏出远门柱
90'+1'卡利亚里球员埃夫勒拼抢犯规,对手获得控球权.                   88'第88分钟，阿尔瓦雷斯右路传中，萨穆埃尔后点左脚凌空打出弹地球偏出远门柱
90'+1'阿尔瓦雷斯为国际米兰赢得一个任意球.                   88'第88分钟，阿尔瓦雷斯右路传中，萨穆埃尔后点左脚凌空打出弹地球偏出远门柱
90'+2'国际米兰球员坎比亚索大禁区中央左脚射门,被防守球员封堵.                   88'第88分钟，阿尔瓦雷斯右路传中，萨穆埃尔后点左脚凌空打出弹地球偏出远门柱
90'+2'国际米兰球员库蒂尼奥大禁区外右脚射门,被防守球员封堵.给他传球的是帕拉西奥.                   88'第88分钟，阿尔瓦雷斯右路传中，萨穆埃尔后点左脚凌空打出弹地球偏出远门柱
90'+3'罗塞蒂尼将球处理出底线,国际米兰获得角球.                   88'第88分钟，阿尔瓦雷斯右路传中，萨穆埃尔后点左脚凌空打出弹地球偏出远门柱
90'+3'射门!!!国际米兰球员库蒂尼奥大禁区外右脚射门,被对方守门员横身扑出.                   88'第88分钟，阿尔瓦雷斯右路传中，萨穆埃尔后点左脚凌空打出弹地球偏出远门柱
90'+3'阿加齐将球处理出底线,国际米兰获得角球.                   88'第88分钟，阿尔瓦雷斯右路传中，萨穆埃尔后点左脚凌空打出弹地球偏出远门柱
90'+3'卡利亚里球员皮尼拉拼抢犯规,对手获得控球权.                   88'第88分钟，阿尔瓦雷斯右路传中，萨穆埃尔后点左脚凌空打出弹地球偏出远门柱
90'+3'长友佑都为国际米兰赢得一个任意球.                   88'第88分钟，阿尔瓦雷斯右路传中，萨穆埃尔后点左脚凌空打出弹地球偏出远门柱
90'+4'下半场结束,国际米兰 2-2 卡利亚里                   88'第88分钟，阿尔瓦雷斯右路传中，萨穆埃尔后点左脚凌空打出弹地球偏出远门柱
89'卡利亚里皮尼拉受伤倒地,比赛暂停                   89'第89分钟，纳英戈兰禁区前沿抽射掠过横梁
89'暂停结束,球员们重新开始比赛.                   89'第89分钟，纳英戈兰禁区前沿抽射掠过横梁
89'卡利亚里球员纳因格兰大禁区外尝试右脚射门,可惜皮球稍稍高出球门.给他传球的是皮萨诺.                   89'第89分钟，纳英戈兰禁区前沿抽射掠过横梁
90'卡利亚里球员罗塞蒂尼拼抢犯规,对手获得控球权.                   89'第89分钟，纳英戈兰禁区前沿抽射掠过横梁
90'米利托为国际米兰在对方半场,赢得一个任意球.                   89'第89分钟，纳英戈兰禁区前沿抽射掠过横梁
90'+1'卡利亚里球员埃夫勒拼抢犯规,对手获得控球权.                   89'第89分钟，纳英戈兰禁区前沿抽射掠过横梁
90'+1'阿尔瓦雷斯为国际米兰赢得一个任意球.                   89'第89分钟，纳英戈兰禁区前沿抽射掠过横梁
90'+2'国际米兰球员坎比亚索大禁区中央左脚射门,被防守球员封堵.                   89'第89分钟，纳英戈兰禁区前沿抽射掠过横梁
90'+2'国际米兰球员库蒂尼奥大禁区外右脚射门,被防守球员封堵.给他传球的是帕拉西奥.                   89'第89分钟，纳英戈兰禁区前沿抽射掠过横梁
90'+3'罗塞蒂尼将球处理出底线,国际米兰获得角球.                   89'第89分钟，纳英戈兰禁区前沿抽射掠过横梁
90'+3'射门!!!国际米兰球员库蒂尼奥大禁区外右脚射门,被对方守门员横身扑出.                   89'第89分钟，纳英戈兰禁区前沿抽射掠过横梁
90'+3'阿加齐将球处理出底线,国际米兰获得角球.                   89'第89分钟，纳英戈兰禁区前沿抽射掠过横梁
90'+3'卡利亚里球员皮尼拉拼抢犯规,对手获得控球权.                   89'第89分钟，纳英戈兰禁区前沿抽射掠过横梁
90'+3'长友佑都为国际米兰赢得一个任意球.                   89'第89分钟，纳英戈兰禁区前沿抽射掠过横梁
90'+4'下半场结束,国际米兰 2-2 卡利亚里                   89'第89分钟，纳英戈兰禁区前沿抽射掠过横梁
48'长友佑都为国际米兰在对方半场,赢得一个任意球.                   46'补时第1分钟，拉诺齐亚拉球转身被阿斯托里放倒在禁区内，但主裁判贾科梅利没有中断比赛，斯特拉马乔尼表示抗议，结果被贾科梅利请上看台，现场观战的莫拉蒂也罕见失态
48'卡利亚里球员拉米雷斯拼抢犯规,对手获得控球权.                   46'补时第1分钟，拉诺齐亚拉球转身被阿斯托里放倒在禁区内，但主裁判贾科梅利没有中断比赛，斯特拉马乔尼表示抗议，结果被贾科梅利请上看台，现场观战的莫拉蒂也罕见失态
49'国际米兰球员米利托大禁区中央右脚射门,被防守球员封堵.给他传球的是卡萨诺.                   46'补时第1分钟，拉诺齐亚拉球转身被阿斯托里放倒在禁区内，但主裁判贾科梅利没有中断比赛，斯特拉马乔尼表示抗议，结果被贾科梅利请上看台，现场观战的莫拉蒂也罕见失态
