3'赫尔城禁区内有些乱                   3'马夏尔传球，博格巴开场仅3分钟的远射偏出
26'这个传球也是非常的有威胁                   25'胡尔城第25分钟险些破门，费莱尼禁区前犯规，斯诺德格拉斯25码处任意球直接射门，皮球绕过人墙后擦右侧立柱偏出，德赫亚毫无反应
27'斯多德格拉斯的抢点也是撞在了门柱上                   25'胡尔城第25分钟险些破门，费莱尼禁区前犯规，斯诺德格拉斯25码处任意球直接射门，皮球绕过人墙后擦右侧立柱偏出，德赫亚毫无反应
27'队医也是进场先进行查看                   25'胡尔城第25分钟险些破门，费莱尼禁区前犯规，斯诺德格拉斯25码处任意球直接射门，皮球绕过人墙后擦右侧立柱偏出，德赫亚毫无反应
28'斯多德格拉斯到场边接受治疗                   25'胡尔城第25分钟险些破门，费莱尼禁区前犯规，斯诺德格拉斯25码处任意球直接射门，皮球绕过人墙后擦右侧立柱偏出，德赫亚毫无反应
28'比赛重新恢复进行                   25'胡尔城第25分钟险些破门，费莱尼禁区前犯规，斯诺德格拉斯25码处任意球直接射门，皮球绕过人墙后擦右侧立柱偏出，德赫亚毫无反应
37'马塔右路起球送前点被顶了除开                   37'曼联第37分钟险些破门，马塔突入禁区右侧传中，鲁尼10码处的射门被库提斯-戴维斯在门线前封堵
37'马塔右路起球送前点被顶了出来                   37'曼联第37分钟险些破门，马塔突入禁区右侧传中，鲁尼10码处的射门被库提斯-戴维斯在门线前封堵
37'禁区内曼联还有机会                   37'曼联第37分钟险些破门，马塔突入禁区右侧传中，鲁尼10码处的射门被库提斯-戴维斯在门线前封堵
38'鲁尼近距离的打门被后卫挡出                   37'曼联第37分钟险些破门，马塔突入禁区右侧传中，鲁尼10码处的射门被库提斯-戴维斯在门线前封堵
38'鲁尼示意队友有手球                   37'曼联第37分钟险些破门，马塔突入禁区右侧传中，鲁尼10码处的射门被库提斯-戴维斯在门线前封堵
38'但裁判并没有理会                   37'曼联第37分钟险些破门，马塔突入禁区右侧传中，鲁尼10码处的射门被库提斯-戴维斯在门线前封堵
38'慢镜头来看这球也是没有打在手上                   37'曼联第37分钟险些破门，马塔突入禁区右侧传中，鲁尼10码处的射门被库提斯-戴维斯在门线前封堵
39'伊布拿球送直塞                   37'曼联第37分钟险些破门，马塔突入禁区右侧传中，鲁尼10码处的射门被库提斯-戴维斯在门线前封堵
39'鲁尼底线将球横敲到门前                   37'曼联第37分钟险些破门，马塔突入禁区右侧传中，鲁尼10码处的射门被库提斯-戴维斯在门线前封堵
39'队友跟进的射门慢了半拍                   37'曼联第37分钟险些破门，马塔突入禁区右侧传中，鲁尼10码处的射门被库提斯-戴维斯在门线前封堵
92'迪奥曼德右侧突破进来                   92'曼联第92分钟打破僵局，鲁尼边路突破埃尔默哈马迪切入禁区左侧传中，拉什福德近距离破门
92'分球出来给到了梅勒                   92'曼联第92分钟打破僵局，鲁尼边路突破埃尔默哈马迪切入禁区左侧传中，拉什福德近距离破门
92'梅勒禁区外围打中路                   92'曼联第92分钟打破僵局，鲁尼边路突破埃尔默哈马迪切入禁区左侧传中，拉什福德近距离破门
92'稍稍高出了横梁                   92'曼联第92分钟打破僵局，鲁尼边路突破埃尔默哈马迪切入禁区左侧传中，拉什福德近距离破门
92'0-1！！！！！！！！                   92'曼联第92分钟打破僵局，鲁尼边路突破埃尔默哈马迪切入禁区左侧传中，拉什福德近距离破门
93'拉什福德！！！！！！                   92'曼联第92分钟打破僵局，鲁尼边路突破埃尔默哈马迪切入禁区左侧传中，拉什福德近距离破门
93'曼联将球给到左路，鲁尼底线突破后横敲到中路，拉什福德跟进捅射破门！！！                   92'曼联第92分钟打破僵局，鲁尼边路突破埃尔默哈马迪切入禁区左侧传中，拉什福德近距离破门
93'赫尔城这边漏人了                   92'曼联第92分钟打破僵局，鲁尼边路突破埃尔默哈马迪切入禁区左侧传中，拉什福德近距离破门
93'这会是绝杀吗？                   92'曼联第92分钟打破僵局，鲁尼边路突破埃尔默哈马迪切入禁区左侧传中，拉什福德近距离破门
94'曼联换人，鲁尼下，斯莫林上！                   92'曼联第92分钟打破僵局，鲁尼边路突破埃尔默哈马迪切入禁区左侧传中，拉什福德近距离破门
94'曼联中场控球横向转移                   92'曼联第92分钟打破僵局，鲁尼边路突破埃尔默哈马迪切入禁区左侧传中，拉什福德近距离破门
95'拉什福德左路突破进来                   92'曼联第92分钟打破僵局，鲁尼边路突破埃尔默哈马迪切入禁区左侧传中，拉什福德近距离破门
95'横敲的时候被对方后卫挡出                   92'曼联第92分钟打破僵局，鲁尼边路突破埃尔默哈马迪切入禁区左侧传中，拉什福德近距离破门
95'这球慢镜头来看先出了边线                   92'曼联第92分钟打破僵局，鲁尼边路突破埃尔默哈马迪切入禁区左侧传中，拉什福德近距离破门
