1'上半场比赛开始！                   1'赛前为兰佩杜萨沉船遇难者默哀1分钟
59'禁区线上打门一下被挡了下来                   56'第11分钟，基耶利尼左侧距门25米处左脚劲射又被阿比亚蒂单手托出
59'阿萨莫阿跟着再射，这球稍稍打高                   56'第11分钟，基耶利尼左侧距门25米处左脚劲射又被阿比亚蒂单手托出
61'尤文前场送直塞                   60'第15分钟，德容背后铲倒特维斯，主裁判罗基亮出首张黄牌
61'夸利亚雷拉接球的是越位了                   60'第15分钟，德容背后铲倒特维斯，主裁判罗基亮出首张黄牌
61'但边裁没有举旗                   60'第15分钟，德容背后铲倒特维斯，主裁判罗基亮出首张黄牌
61'这个球夸利亚雷拉也是没有追上                   60'第15分钟，德容背后铲倒特维斯，主裁判罗基亮出首张黄牌
62'阿巴特中场拿球回敲                   60'第15分钟，德容背后铲倒特维斯，主裁判罗基亮出首张黄牌
62'米兰右路传球被阿萨莫阿挡出底线                   60'第15分钟，德容背后铲倒特维斯，主裁判罗基亮出首张黄牌
62'米兰角球送中路                   60'第15分钟，德容背后铲倒特维斯，主裁判罗基亮出首张黄牌
62'第一点被尤文解围                   60'第15分钟，德容背后铲倒特维斯，主裁判罗基亮出首张黄牌
63'禁区外围，德容远射打偏                   60'第15分钟，德容背后铲倒特维斯，主裁判罗基亮出首张黄牌
61'尤文前场送直塞                   60'上次两队交锋前15分钟出现2个进球，要追溯到2003年3月22日(舍甫琴科和内德维德)
61'夸利亚雷拉接球的是越位了                   60'上次两队交锋前15分钟出现2个进球，要追溯到2003年3月22日(舍甫琴科和内德维德)
61'但边裁没有举旗                   60'上次两队交锋前15分钟出现2个进球，要追溯到2003年3月22日(舍甫琴科和内德维德)
61'这个球夸利亚雷拉也是没有追上                   60'上次两队交锋前15分钟出现2个进球，要追溯到2003年3月22日(舍甫琴科和内德维德)
62'阿巴特中场拿球回敲                   60'上次两队交锋前15分钟出现2个进球，要追溯到2003年3月22日(舍甫琴科和内德维德)
62'米兰右路传球被阿萨莫阿挡出底线                   60'上次两队交锋前15分钟出现2个进球，要追溯到2003年3月22日(舍甫琴科和内德维德)
62'米兰角球送中路                   60'上次两队交锋前15分钟出现2个进球，要追溯到2003年3月22日(舍甫琴科和内德维德)
62'第一点被尤文解围                   60'上次两队交锋前15分钟出现2个进球，要追溯到2003年3月22日(舍甫琴科和内德维德)
63'禁区外围，德容远射打偏                   60'上次两队交锋前15分钟出现2个进球，要追溯到2003年3月22日(舍甫琴科和内德维德)
46'上半场补时2分钟！                   46'1分钟后，皮尔洛右侧开出角球，夸利亚雷拉前点头球摆渡，特维斯后门柱凌空射门，但越位在先
47'德容长传到尤文身后                   46'1分钟后，皮尔洛右侧开出角球，夸利亚雷拉前点头球摆渡，特维斯后门柱凌空射门，但越位在先
47'这球还是没有过去                   46'1分钟后，皮尔洛右侧开出角球，夸利亚雷拉前点头球摆渡，特维斯后门柱凌空射门，但越位在先
47'帕多因右路带球被蒙塔里放倒                   46'1分钟后，皮尔洛右侧开出角球，夸利亚雷拉前点头球摆渡，特维斯后门柱凌空射门，但越位在先
46'下半场比赛开始！                   46'1分钟后，皮尔洛右侧开出角球，夸利亚雷拉前点头球摆渡，特维斯后门柱凌空射门，但越位在先
46'下半场由尤文来开球                   46'1分钟后，皮尔洛右侧开出角球，夸利亚雷拉前点头球摆渡，特维斯后门柱凌空射门，但越位在先
46'米兰后场拿球给到边路                   46'1分钟后，皮尔洛右侧开出角球，夸利亚雷拉前点头球摆渡，特维斯后门柱凌空射门，但越位在先
47'阿巴特边路拿球没有太多机会                   46'1分钟后，皮尔洛右侧开出角球，夸利亚雷拉前点头球摆渡，特维斯后门柱凌空射门，但越位在先
47'蒙托利沃打远射打得太正                   46'1分钟后，皮尔洛右侧开出角球，夸利亚雷拉前点头球摆渡，特维斯后门柱凌空射门，但越位在先
49'尤文中场拿球，横向转移                   46'1分钟后，皮尔洛右侧开出角球，夸利亚雷拉前点头球摆渡，特维斯后门柱凌空射门，但越位在先
49'边路的突破被萨帕塔挡了下来                   46'1分钟后，皮尔洛右侧开出角球，夸利亚雷拉前点头球摆渡，特维斯后门柱凌空射门，但越位在先
49'禁区前沿比达尔劲射被阿比亚蒂扑出底线                   46'1分钟后，皮尔洛右侧开出角球，夸利亚雷拉前点头球摆渡，特维斯后门柱凌空射门，但越位在先
49'尤文角球开出，威胁不大                   46'1分钟后，皮尔洛右侧开出角球，夸利亚雷拉前点头球摆渡，特维斯后门柱凌空射门，但越位在先
26'萨帕塔禁区外围冷射被布冯扑出底线                   26'第26分钟，罗比尼奥分球，萨帕塔右侧距门22米处大力斜射，布冯倒地指尖托出远门柱
26'米兰角球送后点                   26'第26分钟，罗比尼奥分球，萨帕塔右侧距门22米处大力斜射，布冯倒地指尖托出远门柱
26'两队球员都没有碰到球                   26'第26分钟，罗比尼奥分球，萨帕塔右侧距门22米处大力斜射，布冯倒地指尖托出远门柱
28'夸利亚雷拉后场抢球犯规                   26'第26分钟，罗比尼奥分球，萨帕塔右侧距门22米处大力斜射，布冯倒地指尖托出远门柱
28'米兰前场左路的任意球                   26'第26分钟，罗比尼奥分球，萨帕塔右侧距门22米处大力斜射，布冯倒地指尖托出远门柱
28'还是做了一个配合                   26'第26分钟，罗比尼奥分球，萨帕塔右侧距门22米处大力斜射，布冯倒地指尖托出远门柱
28'底线的传球送后点，落点不理想                   26'第26分钟，罗比尼奥分球，萨帕塔右侧距门22米处大力斜射，布冯倒地指尖托出远门柱
28'梅克斯右路低平球送斜线失误                   26'第26分钟，罗比尼奥分球，萨帕塔右侧距门22米处大力斜射，布冯倒地指尖托出远门柱
29'萨帕塔中场长传打身后                   26'第26分钟，罗比尼奥分球，萨帕塔右侧距门22米处大力斜射，布冯倒地指尖托出远门柱
29'这球虽然过顶了但被布冯拿到                   26'第26分钟，罗比尼奥分球，萨帕塔右侧距门22米处大力斜射，布冯倒地指尖托出远门柱
38'尤文前场右路分边                   37'第37分钟，诺切里诺与阿萨莫阿在边线发生口角
38'这球力量给的有些大，直接出了底线                   37'第37分钟，诺切里诺与阿萨莫阿在边线发生口角
39'尤文送直塞                   37'第37分钟，诺切里诺与阿萨莫阿在边线发生口角
39'萨帕塔将球解围                   37'第37分钟，诺切里诺与阿萨莫阿在边线发生口角
39'尤文前场就地断球                   37'第37分钟，诺切里诺与阿萨莫阿在边线发生口角
39'在挑传送禁区内，没有过顶                   37'第37分钟，诺切里诺与阿萨莫阿在边线发生口角
40'阿巴特右路拿球突破险些被断                   37'第37分钟，诺切里诺与阿萨莫阿在边线发生口角
40'米兰右路低平球扫门前                   37'第37分钟，诺切里诺与阿萨莫阿在边线发生口角
44'蒙托利沃挑传送禁区内                   44'第44分钟，诺切里诺右路斜传禁区，马特里争顶高出被判犯规
44'马特里头球吊射顶高                   44'第44分钟，诺切里诺右路斜传禁区，马特里争顶高出被判犯规
44'不过裁判的哨子先响了，马特里争抢头球的时候先犯规了                   44'第44分钟，诺切里诺右路斜传禁区，马特里争顶高出被判犯规
44'场上有米兰球员受伤倒地                   44'第44分钟，诺切里诺右路斜传禁区，马特里争顶高出被判犯规
45'萨帕塔                   44'第44分钟，诺切里诺右路斜传禁区，马特里争顶高出被判犯规
45'萨帕塔争抢头球的时候重重的摔在了地上                   44'第44分钟，诺切里诺右路斜传禁区，马特里争顶高出被判犯规
45'问题不是很大                   44'第44分钟，诺切里诺右路斜传禁区，马特里争顶高出被判犯规
45'米兰中场的回传险些被断                   44'第44分钟，诺切里诺右路斜传禁区，马特里争顶高出被判犯规
46'上半场补时2分钟！                   44'第44分钟，诺切里诺右路斜传禁区，马特里争顶高出被判犯规
47'德容长传到尤文身后                   44'第44分钟，诺切里诺右路斜传禁区，马特里争顶高出被判犯规
47'这球还是没有过去                   44'第44分钟，诺切里诺右路斜传禁区，马特里争顶高出被判犯规
47'帕多因右路带球被蒙塔里放倒                   44'第44分钟，诺切里诺右路斜传禁区，马特里争顶高出被判犯规
46'下半场比赛开始！                   44'第44分钟，诺切里诺右路斜传禁区，马特里争顶高出被判犯规
46'下半场由尤文来开球                   44'第44分钟，诺切里诺右路斜传禁区，马特里争顶高出被判犯规
46'米兰后场拿球给到边路                   44'第44分钟，诺切里诺右路斜传禁区，马特里争顶高出被判犯规
47'阿巴特边路拿球没有太多机会                   44'第44分钟，诺切里诺右路斜传禁区，马特里争顶高出被判犯规
47'蒙托利沃打远射打得太正                   44'第44分钟，诺切里诺右路斜传禁区，马特里争顶高出被判犯规
49'尤文中场拿球，横向转移                   49'第49分钟，比达尔右侧距门27米处左脚半凌空抽射被阿比亚蒂封出近门柱，尤文开出角球，基耶利尼禁区内被梅克斯击倒在地，但主裁判罗基没有看到
49'边路的突破被萨帕塔挡了下来                   49'第49分钟，比达尔右侧距门27米处左脚半凌空抽射被阿比亚蒂封出近门柱，尤文开出角球，基耶利尼禁区内被梅克斯击倒在地，但主裁判罗基没有看到
49'禁区前沿比达尔劲射被阿比亚蒂扑出底线                   49'第49分钟，比达尔右侧距门27米处左脚半凌空抽射被阿比亚蒂封出近门柱，尤文开出角球，基耶利尼禁区内被梅克斯击倒在地，但主裁判罗基没有看到
49'尤文角球开出，威胁不大                   49'第49分钟，比达尔右侧距门27米处左脚半凌空抽射被阿比亚蒂封出近门柱，尤文开出角球，基耶利尼禁区内被梅克斯击倒在地，但主裁判罗基没有看到
50'禁区内基耶利尼受伤倒地                   49'第49分钟，比达尔右侧距门27米处左脚半凌空抽射被阿比亚蒂封出近门柱，尤文开出角球，基耶利尼禁区内被梅克斯击倒在地，但主裁判罗基没有看到
50'吃了梅克斯一个暗亏啊                   49'第49分钟，比达尔右侧距门27米处左脚半凌空抽射被阿比亚蒂封出近门柱，尤文开出角球，基耶利尼禁区内被梅克斯击倒在地，但主裁判罗基没有看到
51'特维斯前场边路拿球被萨帕塔铲断下来                   49'第49分钟，比达尔右侧距门27米处左脚半凌空抽射被阿比亚蒂封出近门柱，尤文开出角球，基耶利尼禁区内被梅克斯击倒在地，但主裁判罗基没有看到
52'这段时间两队打得都比较乱                   49'第49分钟，比达尔右侧距门27米处左脚半凌空抽射被阿比亚蒂封出近门柱，尤文开出角球，基耶利尼禁区内被梅克斯击倒在地，但主裁判罗基没有看到
52'德容后场拿球稳一下节奏                   49'第49分钟，比达尔右侧距门27米处左脚半凌空抽射被阿比亚蒂封出近门柱，尤文开出角球，基耶利尼禁区内被梅克斯击倒在地，但主裁判罗基没有看到
52'阿巴特想要人球分过，没有成功                   49'第49分钟，比达尔右侧距门27米处左脚半凌空抽射被阿比亚蒂封出近门柱，尤文开出角球，基耶利尼禁区内被梅克斯击倒在地，但主裁判罗基没有看到
59'阿萨莫阿左路突破后内切                   59'第59分钟，阿萨莫阿左路内切禁区前沿大力抽射高出
59'禁区线上打门一下被挡了下来                   59'第59分钟，阿萨莫阿左路内切禁区前沿大力抽射高出
59'阿萨莫阿跟着再射，这球稍稍打高                   59'第59分钟，阿萨莫阿左路内切禁区前沿大力抽射高出
61'尤文前场送直塞                   59'第59分钟，阿萨莫阿左路内切禁区前沿大力抽射高出
61'夸利亚雷拉接球的是越位了                   59'第59分钟，阿萨莫阿左路内切禁区前沿大力抽射高出
61'但边裁没有举旗                   59'第59分钟，阿萨莫阿左路内切禁区前沿大力抽射高出
61'这个球夸利亚雷拉也是没有追上                   59'第59分钟，阿萨莫阿左路内切禁区前沿大力抽射高出
62'阿巴特中场拿球回敲                   59'第59分钟，阿萨莫阿左路内切禁区前沿大力抽射高出
62'米兰右路传球被阿萨莫阿挡出底线                   59'第59分钟，阿萨莫阿左路内切禁区前沿大力抽射高出
62'米兰角球送中路                   59'第59分钟，阿萨莫阿左路内切禁区前沿大力抽射高出
62'第一点被尤文解围                   59'第59分钟，阿萨莫阿左路内切禁区前沿大力抽射高出
66'蒙托利沃中场断球                   66'第66分钟，特维斯分球，博格巴右侧距门15米处抽射造成阿比亚蒂脱手，但无人补射，尤文继续进攻，博格巴右路倒地传中，阿萨莫阿后点距门12米处左脚低射偏出远门柱
66'但往前的时候又被反断                   66'第66分钟，特维斯分球，博格巴右侧距门15米处抽射造成阿比亚蒂脱手，但无人补射，尤文继续进攻，博格巴右路倒地传中，阿萨莫阿后点距门12米处左脚低射偏出远门柱
66'博格巴打门造成阿比亚蒂脱手                   66'第66分钟，特维斯分球，博格巴右侧距门15米处抽射造成阿比亚蒂脱手，但无人补射，尤文继续进攻，博格巴右路倒地传中，阿萨莫阿后点距门12米处左脚低射偏出远门柱
67'尤文二次进攻，禁区左路的低射打偏                   66'第66分钟，特维斯分球，博格巴右侧距门15米处抽射造成阿比亚蒂脱手，但无人补射，尤文继续进攻，博格巴右路倒地传中，阿萨莫阿后点距门12米处左脚低射偏出远门柱
67'尤文再次换人，夸利亚雷拉下，乔文科上！                   66'第66分钟，特维斯分球，博格巴右侧距门15米处抽射造成阿比亚蒂脱手，但无人补射，尤文继续进攻，博格巴右路倒地传中，阿萨莫阿后点距门12米处左脚低射偏出远门柱
67'米兰这边还没有换人的动静                   66'第66分钟，特维斯分球，博格巴右侧距门15米处抽射造成阿比亚蒂脱手，但无人补射，尤文继续进攻，博格巴右路倒地传中，阿萨莫阿后点距门12米处左脚低射偏出远门柱
69'尤文前场断球了                   66'第66分钟，特维斯分球，博格巴右侧距门15米处抽射造成阿比亚蒂脱手，但无人补射，尤文继续进攻，博格巴右路倒地传中，阿萨莫阿后点距门12米处左脚低射偏出远门柱
69'2-1！！！                   66'第66分钟，特维斯分球，博格巴右侧距门15米处抽射造成阿比亚蒂脱手，但无人补射，尤文继续进攻，博格巴右路倒地传中，阿萨莫阿后点距门12米处左脚低射偏出远门柱
69'乔文科！！                   66'第66分钟，特维斯分球，博格巴右侧距门15米处抽射造成阿比亚蒂脱手，但无人补射，尤文继续进攻，博格巴右路倒地传中，阿萨莫阿后点距门12米处左脚低射偏出远门柱
69'尤文前场断球了                   69'第69分钟，比达尔禁区前沿直传，乔文科灵巧晃过萨帕塔，在门前11米处推射入右下角，2比1，他创造了本赛季意甲替补最最快进球纪录(106秒)
69'2-1！！！                   69'第69分钟，比达尔禁区前沿直传，乔文科灵巧晃过萨帕塔，在门前11米处推射入右下角，2比1，他创造了本赛季意甲替补最最快进球纪录(106秒)
69'乔文科！！                   69'第69分钟，比达尔禁区前沿直传，乔文科灵巧晃过萨帕塔，在门前11米处推射入右下角，2比1，他创造了本赛季意甲替补最最快进球纪录(106秒)
70'尤文前场断球送禁区内，乔文科得球一扣晃开防守球员，推射将球打进！                   69'第69分钟，比达尔禁区前沿直传，乔文科灵巧晃过萨帕塔，在门前11米处推射入右下角，2比1，他创造了本赛季意甲替补最最快进球纪录(106秒)
70'尤文的换人也是马上起到了效果                   69'第69分钟，比达尔禁区前沿直传，乔文科灵巧晃过萨帕塔，在门前11米处推射入右下角，2比1，他创造了本赛季意甲替补最最快进球纪录(106秒)
70'全场70分钟了，留给米兰还有20分钟的时间                   69'第69分钟，比达尔禁区前沿直传，乔文科灵巧晃过萨帕塔，在门前11米处推射入右下角，2比1，他创造了本赛季意甲替补最最快进球纪录(106秒)
71'尤文前场做撞墙式配合，梅克斯底线的时候自己想玩一下，失误了                   69'第69分钟，比达尔禁区前沿直传，乔文科灵巧晃过萨帕塔，在门前11米处推射入右下角，2比1，他创造了本赛季意甲替补最最快进球纪录(106秒)
71'尤文角球开出，禁区弧顶的远射被挡                   69'第69分钟，比达尔禁区前沿直传，乔文科灵巧晃过萨帕塔，在门前11米处推射入右下角，2比1，他创造了本赛季意甲替补最最快进球纪录(106秒)
72'米兰也是换人，诺切里诺下，尼昂上！                   69'第69分钟，比达尔禁区前沿直传，乔文科灵巧晃过萨帕塔，在门前11米处推射入右下角，2比1，他创造了本赛季意甲替补最最快进球纪录(106秒)
74'乔文科背身拿球被梅克斯放倒                   74'AC米兰第74分钟再遭打击，梅克斯背后对乔文科犯规，累计2张黄牌被罚下，这是他意甲第8张红牌
74'梅克斯得到第二张黄牌，这样梅克斯被罚下了！！                   74'AC米兰第74分钟再遭打击，梅克斯背后对乔文科犯规，累计2张黄牌被罚下，这是他意甲第8张红牌
75'3-1！！！                   74'AC米兰第74分钟再遭打击，梅克斯背后对乔文科犯规，累计2张黄牌被罚下，这是他意甲第8张红牌
76'皮尔洛任意球直接打门击中门框，基耶利尼补射将球打进！                   74'AC米兰第74分钟再遭打击，梅克斯背后对乔文科犯规，累计2张黄牌被罚下，这是他意甲第8张红牌
76'基本锁定胜局了                   74'AC米兰第74分钟再遭打击，梅克斯背后对乔文科犯规，累计2张黄牌被罚下，这是他意甲第8张红牌
76'米兰换人，罗比尼奥下，扎卡尔多上！                   74'AC米兰第74分钟再遭打击，梅克斯背后对乔文科犯规，累计2张黄牌被罚下，这是他意甲第8张红牌
82'米兰现在也是攻不上去                   82'第82分钟，博格巴传禁区右侧，比达尔距门13米处转身左脚打高
82'尤文和米兰这边都要进行人员调整                   82'第82分钟，博格巴传禁区右侧，比达尔距门13米处转身左脚打高
82'米兰长传打身后，没有过去                   82'第82分钟，博格巴传禁区右侧，比达尔距门13米处转身左脚打高
82'博格巴后场拿球倒脚                   82'第82分钟，博格巴传禁区右侧，比达尔距门13米处转身左脚打高
83'皮尔洛拿球给到边路                   82'第82分钟，博格巴传禁区右侧，比达尔距门13米处转身左脚打高
83'米兰后场断球                   82'第82分钟，博格巴传禁区右侧，比达尔距门13米处转身左脚打高
83'米兰现在也是不着急进攻啊                   82'第82分钟，博格巴传禁区右侧，比达尔距门13米处转身左脚打高
83'尤文斜传球送禁区内                   82'第82分钟，博格巴传禁区右侧，比达尔距门13米处转身左脚打高
83'第一点被米兰顶了出来                   82'第82分钟，博格巴传禁区右侧，比达尔距门13米处转身左脚打高
83'尼昂前场也是拿不到球                   82'第82分钟，博格巴传禁区右侧，比达尔距门13米处转身左脚打高
84'康斯坦特左路突破被博格巴卡住身位                   82'第82分钟，博格巴传禁区右侧，比达尔距门13米处转身左脚打高
84'米兰这边是准备将波利换上场                   82'第82分钟，博格巴传禁区右侧，比达尔距门13米处转身左脚打高
84'尤文这边是准备将略伦换上场                   82'第82分钟，博格巴传禁区右侧，比达尔距门13米处转身左脚打高
85'但场上一直没有死球，两名球员也是站了半天                   82'第82分钟，博格巴传禁区右侧，比达尔距门13米处转身左脚打高
85'尤文禁区外围远射打高                   82'第82分钟，博格巴传禁区右侧，比达尔距门13米处转身左脚打高
85'这样死球了                   82'第82分钟，博格巴传禁区右侧，比达尔距门13米处转身左脚打高
85'尤文将特维斯换下                   82'第82分钟，博格巴传禁区右侧，比达尔距门13米处转身左脚打高
85'米兰将德容换下                   82'第82分钟，博格巴传禁区右侧，比达尔距门13米处转身左脚打高
88'乔文科禁区内拿球摔倒                   88'第88分钟，乔文科突入禁区左侧倒地，罗基没有理会
88'裁判没有判罚                   88'第88分钟，乔文科突入禁区左侧倒地，罗基没有理会
89'尼昂前场拿球被断                   88'第88分钟，乔文科突入禁区左侧倒地，罗基没有理会
89'不过裁判先吹了犯规                   88'第88分钟，乔文科突入禁区左侧倒地，罗基没有理会
89'康斯坦特左路起球到禁区内                   88'第88分钟，乔文科突入禁区左侧倒地，罗基没有理会
90'马特里抓机会没有拿到                   88'第88分钟，乔文科突入禁区左侧倒地，罗基没有理会
90'蒙托利沃左路拿球1对3，被断                   88'第88分钟，乔文科突入禁区左侧倒地，罗基没有理会
90'米兰进球！                   88'第88分钟，乔文科突入禁区左侧倒地，罗基没有理会
90'蒙塔里！                   88'第88分钟，乔文科突入禁区左侧倒地，罗基没有理会
90'米兰前场断球，蒙塔里禁区外围左脚远射将球打进！                   88'第88分钟，乔文科突入禁区左侧倒地，罗基没有理会
91'下半场补时4分钟！                   88'第88分钟，乔文科突入禁区左侧倒地，罗基没有理会
91'还会有奇迹出现吗？                   88'第88分钟，乔文科突入禁区左侧倒地，罗基没有理会
47'德容长传到尤文身后                   47'补时第2分钟，蒙塔里背后铲倒乔文科，被黄牌警告
47'这球还是没有过去                   47'补时第2分钟，蒙塔里背后铲倒乔文科，被黄牌警告
47'帕多因右路带球被蒙塔里放倒                   47'补时第2分钟，蒙塔里背后铲倒乔文科，被黄牌警告
47'阿巴特边路拿球没有太多机会                   47'补时第2分钟，蒙塔里背后铲倒乔文科，被黄牌警告
47'蒙托利沃打远射打得太正                   47'补时第2分钟，蒙塔里背后铲倒乔文科，被黄牌警告
49'尤文中场拿球，横向转移                   47'补时第2分钟，蒙塔里背后铲倒乔文科，被黄牌警告
49'边路的突破被萨帕塔挡了下来                   47'补时第2分钟，蒙塔里背后铲倒乔文科，被黄牌警告
49'禁区前沿比达尔劲射被阿比亚蒂扑出底线                   47'补时第2分钟，蒙塔里背后铲倒乔文科，被黄牌警告
49'尤文角球开出，威胁不大                   47'补时第2分钟，蒙塔里背后铲倒乔文科，被黄牌警告
50'禁区内基耶利尼受伤倒地                   47'补时第2分钟，蒙塔里背后铲倒乔文科，被黄牌警告
50'吃了梅克斯一个暗亏啊                   47'补时第2分钟，蒙塔里背后铲倒乔文科，被黄牌警告
