7'帕齐尼前场底线得球将球回敲                   7'开场7分钟，德容远射偏出左门柱
24'米兰右路起球送到禁区内，马尔凯蒂轻松将球得到                   22'第22分钟，诺切里诺在门前27米处射门偏出右门柱
25'拉齐奥进球了！！                   22'第22分钟，诺切里诺在门前27米处射门偏出右门柱
46'下半场比赛开始！                   46'仅过1分钟，沙拉维接应左路直传突入禁区左侧距门8米处射门，门将比萨里已经无能为力，但迪亚斯飞铲出底线
46'中场休息的时候，米兰做出人员调整                   46'仅过1分钟，沙拉维接应左路直传突入禁区左侧距门8米处射门，门将比萨里已经无能为力，但迪亚斯飞铲出底线
46'博阿滕下，埃马纽尔森上！                   46'仅过1分钟，沙拉维接应左路直传突入禁区左侧距门8米处射门，门将比萨里已经无能为力，但迪亚斯飞铲出底线
47'下半场比赛由AC米兰来发球                   46'仅过1分钟，沙拉维接应左路直传突入禁区左侧距门8米处射门，门将比萨里已经无能为力，但迪亚斯飞铲出底线
47'帕托已经开始热身了                   46'仅过1分钟，沙拉维接应左路直传突入禁区左侧距门8米处射门，门将比萨里已经无能为力，但迪亚斯飞铲出底线
47'拉齐奥前场的直传在传跑上出现了一些问题                   46'仅过1分钟，沙拉维接应左路直传突入禁区左侧距门8米处射门，门将比萨里已经无能为力，但迪亚斯飞铲出底线
48'孔科后场拿球给到中场                   46'仅过1分钟，沙拉维接应左路直传突入禁区左侧距门8米处射门，门将比萨里已经无能为力，但迪亚斯飞铲出底线
48'队友拿球有些失误，出了边线                   46'仅过1分钟，沙拉维接应左路直传突入禁区左侧距门8米处射门，门将比萨里已经无能为力，但迪亚斯飞铲出底线
48'阿巴特中场挑传没有过顶                   46'仅过1分钟，沙拉维接应左路直传突入禁区左侧距门8米处射门，门将比萨里已经无能为力，但迪亚斯飞铲出底线
49'埃马纽尔森前场边路的回敲被防守球员碰出边线                   46'仅过1分钟，沙拉维接应左路直传突入禁区左侧距门8米处射门，门将比萨里已经无能为力，但迪亚斯飞铲出底线
49'蒙托利沃边路接球，传球找阿巴特                   46'仅过1分钟，沙拉维接应左路直传突入禁区左侧距门8米处射门，门将比萨里已经无能为力，但迪亚斯飞铲出底线
49'结果球是先出了边线                   46'仅过1分钟，沙拉维接应左路直传突入禁区左侧距门8米处射门，门将比萨里已经无能为力，但迪亚斯飞铲出底线
49'拉齐奥前场拿球，球进了！！                   46'仅过1分钟，沙拉维接应左路直传突入禁区左侧距门8米处射门，门将比萨里已经无能为力，但迪亚斯飞铲出底线
41'拉齐奥前场带球被断                   41'蓝鹰第41分钟扩大比分，坎德雷瓦右侧距门26米处右脚打出一记飘忽的远射越过阿梅利亚指尖入远角，2比0
41'但是很快在中场附近，他们又将球抢断回来                   41'蓝鹰第41分钟扩大比分，坎德雷瓦右侧距门26米处右脚打出一记飘忽的远射越过阿梅利亚指尖入远角，2比0
41'拉齐奥又进球了！！                   41'蓝鹰第41分钟扩大比分，坎德雷瓦右侧距门26米处右脚打出一记飘忽的远射越过阿梅利亚指尖入远角，2比0
41'坎德雷瓦！！                   41'蓝鹰第41分钟扩大比分，坎德雷瓦右侧距门26米处右脚打出一记飘忽的远射越过阿梅利亚指尖入远角，2比0
41'镜头也是给到了帕托                   41'蓝鹰第41分钟扩大比分，坎德雷瓦右侧距门26米处右脚打出一记飘忽的远射越过阿梅利亚指尖入远角，2比0
42'坎德雷瓦前场右路带球，禁区外围来了一脚世界波啊，球是直挂球门左上角                   41'蓝鹰第41分钟扩大比分，坎德雷瓦右侧距门26米处右脚打出一记飘忽的远射越过阿梅利亚指尖入远角，2比0
43'阿梅利亚对这球也是没有做好准备，太突然了                   41'蓝鹰第41分钟扩大比分，坎德雷瓦右侧距门26米处右脚打出一记飘忽的远射越过阿梅利亚指尖入远角，2比0
43'安东尼尼左路拿球到了禁区内被断                   41'蓝鹰第41分钟扩大比分，坎德雷瓦右侧距门26米处右脚打出一记飘忽的远射越过阿梅利亚指尖入远角，2比0
43'中场博内拉抢球的时候犯规了                   41'蓝鹰第41分钟扩大比分，坎德雷瓦右侧距门26米处右脚打出一记飘忽的远射越过阿梅利亚指尖入远角，2比0
44'上半场比赛已经临近尾声了，米兰现在是0-2落后拉齐奥啊                   41'蓝鹰第41分钟扩大比分，坎德雷瓦右侧距门26米处右脚打出一记飘忽的远射越过阿梅利亚指尖入远角，2比0
49'埃马纽尔森前场边路的回敲被防守球员碰出边线                   49'下半时，埃马纽尔森换下博阿滕，但米兰第49分钟再丢一球，坎德雷瓦右路突破起球，克洛泽后点距门9米处凌空抽射入网，3比0
49'蒙托利沃边路接球，传球找阿巴特                   49'下半时，埃马纽尔森换下博阿滕，但米兰第49分钟再丢一球，坎德雷瓦右路突破起球，克洛泽后点距门9米处凌空抽射入网，3比0
49'结果球是先出了边线                   49'下半时，埃马纽尔森换下博阿滕，但米兰第49分钟再丢一球，坎德雷瓦右路突破起球，克洛泽后点距门9米处凌空抽射入网，3比0
49'拉齐奥前场拿球，球进了！！                   49'下半时，埃马纽尔森换下博阿滕，但米兰第49分钟再丢一球，坎德雷瓦右路突破起球，克洛泽后点距门9米处凌空抽射入网，3比0
50'克洛泽                   49'下半时，埃马纽尔森换下博阿滕，但米兰第49分钟再丢一球，坎德雷瓦右路突破起球，克洛泽后点距门9米处凌空抽射入网，3比0
50'坎德雷瓦右路起球送到禁区后点，克洛泽在无人看防的情况下推射远角将球打进！                   49'下半时，埃马纽尔森换下博阿滕，但米兰第49分钟再丢一球，坎德雷瓦右路突破起球，克洛泽后点距门9米处凌空抽射入网，3比0
50'这下对米兰来说是更困难了                   49'下半时，埃马纽尔森换下博阿滕，但米兰第49分钟再丢一球，坎德雷瓦右路突破起球，克洛泽后点距门9米处凌空抽射入网，3比0
51'帕托要准备上了                   49'下半时，埃马纽尔森换下博阿滕，但米兰第49分钟再丢一球，坎德雷瓦右路突破起球，克洛泽后点距门9米处凌空抽射入网，3比0
52'AC米兰队换人，诺切里诺下，帕托上！                   49'下半时，埃马纽尔森换下博阿滕，但米兰第49分钟再丢一球，坎德雷瓦右路突破起球，克洛泽后点距门9米处凌空抽射入网，3比0
53'看看帕托的上场能否对米兰能否起到一些改变                   53'第53分钟，埃马纽尔森反击传球，帕齐尼头球偏出右门柱
53'拉齐奥的前场逼抢现在也很凶                   53'第53分钟，埃马纽尔森反击传球，帕齐尼头球偏出右门柱
53'阿巴特在自己的半场只能回撤将球回敲给门将                   53'第53分钟，埃马纽尔森反击传球，帕齐尼头球偏出右门柱
54'埃马纽尔森右路起球送到禁区内                   53'第53分钟，埃马纽尔森反击传球，帕齐尼头球偏出右门柱
54'帕齐尼的头球攻门顶偏了                   53'第53分钟，埃马纽尔森反击传球，帕齐尼头球偏出右门柱
55'耶佩斯中场带球突破被放倒                   53'第53分钟，埃马纽尔森反击传球，帕齐尼头球偏出右门柱
55'阿莱格里现在不知道在场边沉思着什么                   53'第53分钟，埃马纽尔森反击传球，帕齐尼头球偏出右门柱
55'埃马纽尔森右路起球送到禁区内                   53'第53分钟，埃马纽尔森反击传球，帕齐尼头球偏出右门柱
56'帕齐尼的头球攻门被比萨里托出底线                   53'第53分钟，埃马纽尔森反击传球，帕齐尼头球偏出右门柱
56'米兰角球给到后点，帕托的甩头攻门顶偏了                   53'第53分钟，埃马纽尔森反击传球，帕齐尼头球偏出右门柱
61'米兰在前场右路赢得一个位置还算不错的任意球机会                   61'米兰第61分钟追回一分，埃马纽尔森右路任意球传中，德容在门前7米处轻推入远角，1比3
61'埃马纽尔森任意球送到禁区内                   61'米兰第61分钟追回一分，埃马纽尔森右路任意球传中，德容在门前7米处轻推入远角，1比3
61'球进了！！                   61'米兰第61分钟追回一分，埃马纽尔森右路任意球传中，德容在门前7米处轻推入远角，1比3
61'德容的铲射！！                   61'米兰第61分钟追回一分，埃马纽尔森右路任意球传中，德容在门前7米处轻推入远角，1比3
62'埃马纽尔森右路任意球是低平球送到禁区内，前点帕托虚晃一枪，后点德容铲射将球打进！                   61'米兰第61分钟追回一分，埃马纽尔森右路任意球传中，德容在门前7米处轻推入远角，1比3
62'耶佩斯后场带球，拉齐奥队抢球犯规了                   61'米兰第61分钟追回一分，埃马纽尔森右路任意球传中，德容在门前7米处轻推入远角，1比3
71'卢利奇禁区弧顶得球将球回敲                   71'第71分钟，埃尔纳内斯远射被阿梅利亚扑出，冈萨雷斯右侧补射被封堵
71'埃尔纳内斯禁区外远射被阿梅利亚扑了一下                   71'第71分钟，埃尔纳内斯远射被阿梅利亚扑出，冈萨雷斯右侧补射被封堵
71'第二点拉齐奥跟上再补，球被米兰球员破坏出底线                   71'第71分钟，埃尔纳内斯远射被阿梅利亚扑出，冈萨雷斯右侧补射被封堵
72'拉齐奥换人，阿尔瓦罗-冈萨雷斯下，卡纳上！                   71'第71分钟，埃尔纳内斯远射被阿梅利亚扑出，冈萨雷斯右侧补射被封堵
72'角球给到中路，耶佩斯头球解围                   71'第71分钟，埃尔纳内斯远射被阿梅利亚扑出，冈萨雷斯右侧补射被封堵
73'拉齐奥右路再传，安东尼尼头球解围出底线                   71'第71分钟，埃尔纳内斯远射被阿梅利亚扑出，冈萨雷斯右侧补射被封堵
73'拉齐奥角球送到禁区内，前点被米兰球员顶了出来                   71'第71分钟，埃尔纳内斯远射被阿梅利亚扑出，冈萨雷斯右侧补射被封堵
74'米兰中场的横向转移出现了失误                   71'第71分钟，埃尔纳内斯远射被阿梅利亚扑出，冈萨雷斯右侧补射被封堵
75'埃尔纳内斯中场得球往前走                   75'第75分钟，安东尼尼传中，帕齐尼头球偏出远门柱
75'米兰队球员及时回防将球断了下来                   75'第75分钟，安东尼尼传中，帕齐尼头球偏出远门柱
75'沙拉维前场拿球给到左路                   75'第75分钟，安东尼尼传中，帕齐尼头球偏出远门柱
75'安东尼尼没有意识到啊                   75'第75分钟，安东尼尼传中，帕齐尼头球偏出远门柱
75'米兰左路起球送到禁区内，帕齐尼头球一蹭出了底线                   75'第75分钟，安东尼尼传中，帕齐尼头球偏出远门柱
76'德容中场拿球给到队友                   75'第75分钟，安东尼尼传中，帕齐尼头球偏出远门柱
76'阿巴特右路得球摆脱防守将球传了出来                   75'第75分钟，安东尼尼传中，帕齐尼头球偏出远门柱
77'埃马纽尔森左路起球送到禁区中路                   75'第75分钟，安东尼尼传中，帕齐尼头球偏出远门柱
77'沙拉维的头球攻门顶得太正                   75'第75分钟，安东尼尼传中，帕齐尼头球偏出远门柱
78'阿巴特前场拿球打到禁区弧顶                   75'第75分钟，安东尼尼传中，帕齐尼头球偏出远门柱
78'帕托得球后将球回敲                   75'第75分钟，安东尼尼传中，帕齐尼头球偏出远门柱
78'沙拉维禁区弧顶接球没有处理好                   75'第75分钟，安东尼尼传中，帕齐尼头球偏出远门柱
78'卢利奇前场左路拿球将球回敲                   75'第75分钟，安东尼尼传中，帕齐尼头球偏出远门柱
46'下半场比赛开始！                   46'1分钟后，克洛泽禁区内回做，埃尔纳内斯在门前18米处推射被阿梅利亚倒地没收
46'中场休息的时候，米兰做出人员调整                   46'1分钟后，克洛泽禁区内回做，埃尔纳内斯在门前18米处推射被阿梅利亚倒地没收
46'博阿滕下，埃马纽尔森上！                   46'1分钟后，克洛泽禁区内回做，埃尔纳内斯在门前18米处推射被阿梅利亚倒地没收
47'下半场比赛由AC米兰来发球                   46'1分钟后，克洛泽禁区内回做，埃尔纳内斯在门前18米处推射被阿梅利亚倒地没收
47'帕托已经开始热身了                   46'1分钟后，克洛泽禁区内回做，埃尔纳内斯在门前18米处推射被阿梅利亚倒地没收
47'拉齐奥前场的直传在传跑上出现了一些问题                   46'1分钟后，克洛泽禁区内回做，埃尔纳内斯在门前18米处推射被阿梅利亚倒地没收
48'孔科后场拿球给到中场                   46'1分钟后，克洛泽禁区内回做，埃尔纳内斯在门前18米处推射被阿梅利亚倒地没收
48'队友拿球有些失误，出了边线                   46'1分钟后，克洛泽禁区内回做，埃尔纳内斯在门前18米处推射被阿梅利亚倒地没收
48'阿巴特中场挑传没有过顶                   46'1分钟后，克洛泽禁区内回做，埃尔纳内斯在门前18米处推射被阿梅利亚倒地没收
49'埃马纽尔森前场边路的回敲被防守球员碰出边线                   46'1分钟后，克洛泽禁区内回做，埃尔纳内斯在门前18米处推射被阿梅利亚倒地没收
49'蒙托利沃边路接球，传球找阿巴特                   46'1分钟后，克洛泽禁区内回做，埃尔纳内斯在门前18米处推射被阿梅利亚倒地没收
49'结果球是先出了边线                   46'1分钟后，克洛泽禁区内回做，埃尔纳内斯在门前18米处推射被阿梅利亚倒地没收
49'拉齐奥前场拿球，球进了！！                   46'1分钟后，克洛泽禁区内回做，埃尔纳内斯在门前18米处推射被阿梅利亚倒地没收
49'埃马纽尔森前场边路的回敲被防守球员碰出边线                   49'一传一射的坎德雷瓦被布罗基换下，阿莱格里则用博扬换下安东尼尼，打起了4前锋，但经过4分钟补时后，米兰还是无力挽回败局
49'蒙托利沃边路接球，传球找阿巴特                   49'一传一射的坎德雷瓦被布罗基换下，阿莱格里则用博扬换下安东尼尼，打起了4前锋，但经过4分钟补时后，米兰还是无力挽回败局
49'结果球是先出了边线                   49'一传一射的坎德雷瓦被布罗基换下，阿莱格里则用博扬换下安东尼尼，打起了4前锋，但经过4分钟补时后，米兰还是无力挽回败局
49'拉齐奥前场拿球，球进了！！                   49'一传一射的坎德雷瓦被布罗基换下，阿莱格里则用博扬换下安东尼尼，打起了4前锋，但经过4分钟补时后，米兰还是无力挽回败局
50'克洛泽                   49'一传一射的坎德雷瓦被布罗基换下，阿莱格里则用博扬换下安东尼尼，打起了4前锋，但经过4分钟补时后，米兰还是无力挽回败局
50'坎德雷瓦右路起球送到禁区后点，克洛泽在无人看防的情况下推射远角将球打进！                   49'一传一射的坎德雷瓦被布罗基换下，阿莱格里则用博扬换下安东尼尼，打起了4前锋，但经过4分钟补时后，米兰还是无力挽回败局
50'这下对米兰来说是更困难了                   49'一传一射的坎德雷瓦被布罗基换下，阿莱格里则用博扬换下安东尼尼，打起了4前锋，但经过4分钟补时后，米兰还是无力挽回败局
51'帕托要准备上了                   49'一传一射的坎德雷瓦被布罗基换下，阿莱格里则用博扬换下安东尼尼，打起了4前锋，但经过4分钟补时后，米兰还是无力挽回败局
52'AC米兰队换人，诺切里诺下，帕托上！                   49'一传一射的坎德雷瓦被布罗基换下，阿莱格里则用博扬换下安东尼尼，打起了4前锋，但经过4分钟补时后，米兰还是无力挽回败局
