3'这个球，登巴巴错失空门，没想到幸福来的太突然啊                   3'第3分钟崔仁和张璐中场附近相撞，两人一时都无法起身
34'申花右路强突到底线，禁区内给到门前                   31'第31分钟登巴巴禁区外转身大力射门高出
34'登巴巴包抄，插花脚打门，被挡出                   31'第31分钟登巴巴禁区外转身大力射门高出
36'金波中路给池忠国，在给李浩杰                   36'虽然连续被动换人，但延边队攻势依然旺盛，第36分钟裴育文右路突破过掉柏佳骏后怒射高出
36'莫雷诺拼抢被吹犯规                   36'虽然连续被动换人，但延边队攻势依然旺盛，第36分钟裴育文右路突破过掉柏佳骏后怒射高出
37'尹比加兰前场中路准确送出身后球                   36'虽然连续被动换人，但延边队攻势依然旺盛，第36分钟裴育文右路突破过掉柏佳骏后怒射高出
37'金波反越位成功，内切杀到禁区                   36'虽然连续被动换人，但延边队攻势依然旺盛，第36分钟裴育文右路突破过掉柏佳骏后怒射高出
37'晃开一名后卫，一脚爆射，打高了                   36'虽然连续被动换人，但延边队攻势依然旺盛，第36分钟裴育文右路突破过掉柏佳骏后怒射高出
37'金波刚刚上来就有机会啊                   36'虽然连续被动换人，但延边队攻势依然旺盛，第36分钟裴育文右路突破过掉柏佳骏后怒射高出
38'这个球再次体现了尹比加兰的传球功力，说实话，一点不比瓜林和莫雷诺差啊                   36'虽然连续被动换人，但延边队攻势依然旺盛，第36分钟裴育文右路突破过掉柏佳骏后怒射高出
38'斯蒂夫左路奔袭，内切过人，杀到禁区前                   36'虽然连续被动换人，但延边队攻势依然旺盛，第36分钟裴育文右路突破过掉柏佳骏后怒射高出
38'张璐无奈之下绊倒了斯蒂夫，吃到黄牌                   36'虽然连续被动换人，但延边队攻势依然旺盛，第36分钟裴育文右路突破过掉柏佳骏后怒射高出
38'禁区外左侧的定位球，位置很好，22米左右吧                   36'虽然连续被动换人，但延边队攻势依然旺盛，第36分钟裴育文右路突破过掉柏佳骏后怒射高出
39'这是尹比加兰喜欢的位置                   36'虽然连续被动换人，但延边队攻势依然旺盛，第36分钟裴育文右路突破过掉柏佳骏后怒射高出
39'果然，尹比加兰直接轰门，非常靠谱啊，球是贴着横梁飞出了底线                   36'虽然连续被动换人，但延边队攻势依然旺盛，第36分钟裴育文右路突破过掉柏佳骏后怒射高出
39'下坠的晚了一些                   36'虽然连续被动换人，但延边队攻势依然旺盛，第36分钟裴育文右路突破过掉柏佳骏后怒射高出
39'莫雷诺右路交给吕征，吕征边路护球出界                   36'虽然连续被动换人，但延边队攻势依然旺盛，第36分钟裴育文右路突破过掉柏佳骏后怒射高出
41'池忠国前场突然一个加速，直塞给右侧金承大                   41'第41分钟延边队打出漂亮反击，金承大右路高速带球下底传中，斯蒂夫中路埋伏施射，好在金基康熙成功干扰，斯蒂夫射门没吃上力量，被李帅接住
41'金承大速度非常快，禁区右肋低球横敲到门前                   41'第41分钟延边队打出漂亮反击，金承大右路高速带球下底传中，斯蒂夫中路埋伏施射，好在金基康熙成功干扰，斯蒂夫射门没吃上力量，被李帅接住
42'斯蒂夫高速插上，门前推射没有吃正力量，被李帅没收，这个球可惜啊，很好的机会                   41'第41分钟延边队打出漂亮反击，金承大右路高速带球下底传中，斯蒂夫中路埋伏施射，好在金基康熙成功干扰，斯蒂夫射门没吃上力量，被李帅接住
42'李建滨和斯蒂夫对脚，两人相撞纷纷倒地                   41'第41分钟延边队打出漂亮反击，金承大右路高速带球下底传中，斯蒂夫中路埋伏施射，好在金基康熙成功干扰，斯蒂夫射门没吃上力量，被李帅接住
42'李建滨很快起来了，但斯蒂夫捂着膝盖非常痛苦                   41'第41分钟延边队打出漂亮反击，金承大右路高速带球下底传中，斯蒂夫中路埋伏施射，好在金基康熙成功干扰，斯蒂夫射门没吃上力量，被李帅接住
43'朴泰夏在场外有点蒙，可不能再伤退了，就一个换人名额了                   41'第41分钟延边队打出漂亮反击，金承大右路高速带球下底传中，斯蒂夫中路埋伏施射，好在金基康熙成功干扰，斯蒂夫射门没吃上力量，被李帅接住
43'镜头给到了场边两个伤兵，河太均冰袋敷脚踝，崔仁是冰袋敷大腿                   41'第41分钟延边队打出漂亮反击，金承大右路高速带球下底传中，斯蒂夫中路埋伏施射，好在金基康熙成功干扰，斯蒂夫射门没吃上力量，被李帅接住
44'斯蒂夫问题不大，还能坚持                   41'第41分钟延边队打出漂亮反击，金承大右路高速带球下底传中，斯蒂夫中路埋伏施射，好在金基康熙成功干扰，斯蒂夫射门没吃上力量，被李帅接住
44'申花后场倒脚，金基熙给到李帅                   41'第41分钟延边队打出漂亮反击，金承大右路高速带球下底传中，斯蒂夫中路埋伏施射，好在金基康熙成功干扰，斯蒂夫射门没吃上力量，被李帅接住
44'金承大不惜体力奔跑，李帅匆忙大脚解围                   41'第41分钟延边队打出漂亮反击，金承大右路高速带球下底传中，斯蒂夫中路埋伏施射，好在金基康熙成功干扰，斯蒂夫射门没吃上力量，被李帅接住
44'申花前场有机会，王赟左侧禁区内横拨门前                   41'第41分钟延边队打出漂亮反击，金承大右路高速带球下底传中，斯蒂夫中路埋伏施射，好在金基康熙成功干扰，斯蒂夫射门没吃上力量，被李帅接住
44'斯蒂夫问题不大，还能坚持                   44'第44分钟申花成功打出身后球，莫雷诺左路推传，王赟突入禁区横传，登巴巴在对方后卫拉拽下倒地，但主裁黄烨军示意比赛继续
44'申花后场倒脚，金基熙给到李帅                   44'第44分钟申花成功打出身后球，莫雷诺左路推传，王赟突入禁区横传，登巴巴在对方后卫拉拽下倒地，但主裁黄烨军示意比赛继续
44'金承大不惜体力奔跑，李帅匆忙大脚解围                   44'第44分钟申花成功打出身后球，莫雷诺左路推传，王赟突入禁区横传，登巴巴在对方后卫拉拽下倒地，但主裁黄烨军示意比赛继续
44'申花前场有机会，王赟左侧禁区内横拨门前                   44'第44分钟申花成功打出身后球，莫雷诺左路推传，王赟突入禁区横传，登巴巴在对方后卫拉拽下倒地，但主裁黄烨军示意比赛继续
45'登巴巴包抄眼看要到射门机会，摔倒了，，黄烨军拒绝判罚点球                   44'第44分钟申花成功打出身后球，莫雷诺左路推传，王赟突入禁区横传，登巴巴在对方后卫拉拽下倒地，但主裁黄烨军示意比赛继续
45'上半场补时3分钟                   44'第44分钟申花成功打出身后球，莫雷诺左路推传，王赟突入禁区横传，登巴巴在对方后卫拉拽下倒地，但主裁黄烨军示意比赛继续
45'慢镜头待会看看，登巴巴这个球应该是被侵犯了                   44'第44分钟申花成功打出身后球，莫雷诺左路推传，王赟突入禁区横传，登巴巴在对方后卫拉拽下倒地，但主裁黄烨军示意比赛继续
45'池忠国右路突破倒地，裁判也是不吹犯规                   44'第44分钟申花成功打出身后球，莫雷诺左路推传，王赟突入禁区横传，登巴巴在对方后卫拉拽下倒地，但主裁黄烨军示意比赛继续
45'池忠国坐在地上非常不满                   44'第44分钟申花成功打出身后球，莫雷诺左路推传，王赟突入禁区横传，登巴巴在对方后卫拉拽下倒地，但主裁黄烨军示意比赛继续
46'双方攻防转换很快，瓜林外围又是一脚远射，被池文一没收                   44'第44分钟申花成功打出身后球，莫雷诺左路推传，王赟突入禁区横传，登巴巴在对方后卫拉拽下倒地，但主裁黄烨军示意比赛继续
46'王赟前场吊一脚，到禁区内给登巴巴                   44'第44分钟申花成功打出身后球，莫雷诺左路推传，王赟突入禁区横传，登巴巴在对方后卫拉拽下倒地，但主裁黄烨军示意比赛继续
47'登巴巴停球很稳，背对大门，试图拨给身旁的吕征，被崔民断下                   44'第44分钟申花成功打出身后球，莫雷诺左路推传，王赟突入禁区横传，登巴巴在对方后卫拉拽下倒地，但主裁黄烨军示意比赛继续
47'莫雷诺中路给瓜林，左侧在给秦升                   44'第44分钟申花成功打出身后球，莫雷诺左路推传，王赟突入禁区横传，登巴巴在对方后卫拉拽下倒地，但主裁黄烨军示意比赛继续
47'控制一下，分右侧给张璐                   44'第44分钟申花成功打出身后球，莫雷诺左路推传，王赟突入禁区横传，登巴巴在对方后卫拉拽下倒地，但主裁黄烨军示意比赛继续
46'下半场开始，延边开球                   44'第44分钟申花成功打出身后球，莫雷诺左路推传，王赟突入禁区横传，登巴巴在对方后卫拉拽下倒地，但主裁黄烨军示意比赛继续
46'莫雷诺右路直塞，找禁区内登巴巴                   44'第44分钟申花成功打出身后球，莫雷诺左路推传，王赟突入禁区横传，登巴巴在对方后卫拉拽下倒地，但主裁黄烨军示意比赛继续
46'尼古拉上抢把球捅出，这个防守很到位                   44'第44分钟申花成功打出身后球，莫雷诺左路推传，王赟突入禁区横传，登巴巴在对方后卫拉拽下倒地，但主裁黄烨军示意比赛继续
46'延边反击长传给到前场                   44'第44分钟申花成功打出身后球，莫雷诺左路推传，王赟突入禁区横传，登巴巴在对方后卫拉拽下倒地，但主裁黄烨军示意比赛继续
47'金承大禁区外面对李建滨，选择了直接强射，打飞了。这个处理不够合理啊                   44'第44分钟申花成功打出身后球，莫雷诺左路推传，王赟突入禁区横传，登巴巴在对方后卫拉拽下倒地，但主裁黄烨军示意比赛继续
47'金基熙推进给到秦升，大范围转移给王赟                   44'第44分钟申花成功打出身后球，莫雷诺左路推传，王赟突入禁区横传，登巴巴在对方后卫拉拽下倒地，但主裁黄烨军示意比赛继续
47'王赟左侧把球救下，交给柏佳骏                   44'第44分钟申花成功打出身后球，莫雷诺左路推传，王赟突入禁区横传，登巴巴在对方后卫拉拽下倒地，但主裁黄烨军示意比赛继续
47'登巴巴停球很稳，背对大门，试图拨给身旁的吕征，被崔民断下                   47'第47分钟张璐禁区外打出诡异远射，被池文一扑出，王赟上来横传，池文一抢在莫雷诺之前把球再次扑出危险地带
47'莫雷诺中路给瓜林，左侧在给秦升                   47'第47分钟张璐禁区外打出诡异远射，被池文一扑出，王赟上来横传，池文一抢在莫雷诺之前把球再次扑出危险地带
47'控制一下，分右侧给张璐                   47'第47分钟张璐禁区外打出诡异远射，被池文一扑出，王赟上来横传，池文一抢在莫雷诺之前把球再次扑出危险地带
48'张璐摆脱防守，禁区外右侧外脚背射了                   47'第47分钟张璐禁区外打出诡异远射，被池文一扑出，王赟上来横传，池文一抢在莫雷诺之前把球再次扑出危险地带
48'打的质量不错啊，池文一侧扑把球挡出                   47'第47分钟张璐禁区外打出诡异远射，被池文一扑出，王赟上来横传，池文一抢在莫雷诺之前把球再次扑出危险地带
48'王赟底线前把球在搓到门前，登巴巴包抄有点深，传到了身后                   47'第47分钟张璐禁区外打出诡异远射，被池文一扑出，王赟上来横传，池文一抢在莫雷诺之前把球再次扑出危险地带
48'崔民位置不错，抢得第一点解围                   47'第47分钟张璐禁区外打出诡异远射，被池文一扑出，王赟上来横传，池文一抢在莫雷诺之前把球再次扑出危险地带
49'这时候黄烨军哨响，上半场比赛结束了                   47'第47分钟张璐禁区外打出诡异远射，被池文一扑出，王赟上来横传，池文一抢在莫雷诺之前把球再次扑出危险地带
47'金承大禁区外面对李建滨，选择了直接强射，打飞了。这个处理不够合理啊                   47'第47分钟张璐禁区外打出诡异远射，被池文一扑出，王赟上来横传，池文一抢在莫雷诺之前把球再次扑出危险地带
47'金基熙推进给到秦升，大范围转移给王赟                   47'第47分钟张璐禁区外打出诡异远射，被池文一扑出，王赟上来横传，池文一抢在莫雷诺之前把球再次扑出危险地带
47'王赟左侧把球救下，交给柏佳骏                   47'第47分钟张璐禁区外打出诡异远射，被池文一扑出，王赟上来横传，池文一抢在莫雷诺之前把球再次扑出危险地带
48'申花控一下节奏，中场张璐直塞找边路吕征                   47'第47分钟张璐禁区外打出诡异远射，被池文一扑出，王赟上来横传，池文一抢在莫雷诺之前把球再次扑出危险地带
48'尼古拉把球拦下，长传给斯蒂夫                   47'第47分钟张璐禁区外打出诡异远射，被池文一扑出，王赟上来横传，池文一抢在莫雷诺之前把球再次扑出危险地带
48'斯蒂夫一个马赛回旋漂亮的摆脱防守，反击往前走                   47'第47分钟张璐禁区外打出诡异远射，被池文一扑出，王赟上来横传，池文一抢在莫雷诺之前把球再次扑出危险地带
49'交给中路跟进的尹比加兰，突破到禁区前，准备分球被瓜林拉倒在地                   47'第47分钟张璐禁区外打出诡异远射，被池文一扑出，王赟上来横传，池文一抢在莫雷诺之前把球再次扑出危险地带
49'延边又获得一次禁区外的好机会，这个任意球大概26，7米的样子，稍稍偏左的位置                   47'第47分钟张璐禁区外打出诡异远射，被池文一扑出，王赟上来横传，池文一抢在莫雷诺之前把球再次扑出危险地带
50'尹比加兰主罚，又是直接打，这次是想打一个反弹球，但是角度不刁，被李帅得到                   47'第47分钟张璐禁区外打出诡异远射，被池文一扑出，王赟上来横传，池文一抢在莫雷诺之前把球再次扑出危险地带
50'左侧王赟长传斜吊禁区，登巴巴第一点摆渡下来，第二点没有人接应啊                   47'第47分钟张璐禁区外打出诡异远射，被池文一扑出，王赟上来横传，池文一抢在莫雷诺之前把球再次扑出危险地带
47'登巴巴停球很稳，背对大门，试图拨给身旁的吕征，被崔民断下                   47'第47分钟瓜林拦截尹比加兰犯规，尹比加兰任意球被李帅扑住
47'莫雷诺中路给瓜林，左侧在给秦升                   47'第47分钟瓜林拦截尹比加兰犯规，尹比加兰任意球被李帅扑住
47'控制一下，分右侧给张璐                   47'第47分钟瓜林拦截尹比加兰犯规，尹比加兰任意球被李帅扑住
48'张璐摆脱防守，禁区外右侧外脚背射了                   47'第47分钟瓜林拦截尹比加兰犯规，尹比加兰任意球被李帅扑住
48'打的质量不错啊，池文一侧扑把球挡出                   47'第47分钟瓜林拦截尹比加兰犯规，尹比加兰任意球被李帅扑住
48'王赟底线前把球在搓到门前，登巴巴包抄有点深，传到了身后                   47'第47分钟瓜林拦截尹比加兰犯规，尹比加兰任意球被李帅扑住
48'崔民位置不错，抢得第一点解围                   47'第47分钟瓜林拦截尹比加兰犯规，尹比加兰任意球被李帅扑住
49'这时候黄烨军哨响，上半场比赛结束了                   47'第47分钟瓜林拦截尹比加兰犯规，尹比加兰任意球被李帅扑住
47'金承大禁区外面对李建滨，选择了直接强射，打飞了。这个处理不够合理啊                   47'第47分钟瓜林拦截尹比加兰犯规，尹比加兰任意球被李帅扑住
47'金基熙推进给到秦升，大范围转移给王赟                   47'第47分钟瓜林拦截尹比加兰犯规，尹比加兰任意球被李帅扑住
47'王赟左侧把球救下，交给柏佳骏                   47'第47分钟瓜林拦截尹比加兰犯规，尹比加兰任意球被李帅扑住
48'申花控一下节奏，中场张璐直塞找边路吕征                   47'第47分钟瓜林拦截尹比加兰犯规，尹比加兰任意球被李帅扑住
48'尼古拉把球拦下，长传给斯蒂夫                   47'第47分钟瓜林拦截尹比加兰犯规，尹比加兰任意球被李帅扑住
48'斯蒂夫一个马赛回旋漂亮的摆脱防守，反击往前走                   47'第47分钟瓜林拦截尹比加兰犯规，尹比加兰任意球被李帅扑住
49'交给中路跟进的尹比加兰，突破到禁区前，准备分球被瓜林拉倒在地                   47'第47分钟瓜林拦截尹比加兰犯规，尹比加兰任意球被李帅扑住
49'延边又获得一次禁区外的好机会，这个任意球大概26，7米的样子，稍稍偏左的位置                   47'第47分钟瓜林拦截尹比加兰犯规，尹比加兰任意球被李帅扑住
50'尹比加兰主罚，又是直接打，这次是想打一个反弹球，但是角度不刁，被李帅得到                   47'第47分钟瓜林拦截尹比加兰犯规，尹比加兰任意球被李帅扑住
50'左侧王赟长传斜吊禁区，登巴巴第一点摆渡下来，第二点没有人接应啊                   47'第47分钟瓜林拦截尹比加兰犯规，尹比加兰任意球被李帅扑住
56'申花进攻的机会，右侧到前场，给吕征                   56'第56分钟秦升左路传中，莫雷诺头球顶高
56'吕征搓入禁区内，太靠近门将了，被没收                   56'第56分钟秦升左路传中，莫雷诺头球顶高
56'裴育文右路给金承大，和李浩杰的撞墙配合                   56'第56分钟秦升左路传中，莫雷诺头球顶高
57'金承大迅速沿边路推进，禁区前在给尹比加兰                   56'第56分钟秦升左路传中，莫雷诺头球顶高
57'尹比加兰停顿一下，再传给金承大，后者越位了                   56'第56分钟秦升左路传中，莫雷诺头球顶高
57'瓜林左侧45度斜吊门前，登巴巴力压对方，头球冲顶，高出横梁                   56'第56分钟秦升左路传中，莫雷诺头球顶高
58'柏佳骏后场给到李建滨，再回敲给李帅，金基熙来接应                   56'第56分钟秦升左路传中，莫雷诺头球顶高
58'右侧给张璐，斯蒂夫把球捅出边线                   56'第56分钟秦升左路传中，莫雷诺头球顶高
58'秦升中路给到回撤的登巴巴，在分给瓜林                   56'第56分钟秦升左路传中，莫雷诺头球顶高
59'右侧推给张璐，直塞底线给吕征                   56'第56分钟秦升左路传中，莫雷诺头球顶高
59'吕征瞄了一下，传中到门前，莫雷诺强力头球                   56'第56分钟秦升左路传中，莫雷诺头球顶高
59'池文一站位很好，双手一托，第二下在抱住                   56'第56分钟秦升左路传中，莫雷诺头球顶高
61'双方中圈附近拼的人仰马翻，吹了王赟犯规                   61'第61分钟登巴巴在延边禁区前沿返抢下皮球，李浩杰拉拽登巴巴衣服犯规，申花获得禁区弧内的任意球好机会
61'裴育文右侧吊一个长传，找柏佳骏身后                   61'第61分钟登巴巴在延边禁区前沿返抢下皮球，李浩杰拉拽登巴巴衣服犯规，申花获得禁区弧内的任意球好机会
62'金承大越位了                   61'第61分钟登巴巴在延边禁区前沿返抢下皮球，李浩杰拉拽登巴巴衣服犯规，申花获得禁区弧内的任意球好机会
62'登巴巴禁区弧顶内拉球摆脱，崔仁拉人犯规了                   61'第61分钟登巴巴在延边禁区前沿返抢下皮球，李浩杰拉拽登巴巴衣服犯规，申花获得禁区弧内的任意球好机会
62'这个位置可是很好啊，就在葫芦顶里面                   61'第61分钟登巴巴在延边禁区前沿返抢下皮球，李浩杰拉拽登巴巴衣服犯规，申花获得禁区弧内的任意球好机会
62'瓜林和莫雷诺两位任意球大师都来到球前                   61'第61分钟登巴巴在延边禁区前沿返抢下皮球，李浩杰拉拽登巴巴衣服犯规，申花获得禁区弧内的任意球好机会
63'瓜林爆杆，射中人墙弹出                   61'第61分钟登巴巴在延边禁区前沿返抢下皮球，李浩杰拉拽登巴巴衣服犯规，申花获得禁区弧内的任意球好机会
63'外围右侧张璐在传中进去，第一点被延边解围                   61'第61分钟登巴巴在延边禁区前沿返抢下皮球，李浩杰拉拽登巴巴衣服犯规，申花获得禁区弧内的任意球好机会
63'后场李建滨回敲李帅，有点短，险些被斯蒂夫追到，太危险                   61'第61分钟登巴巴在延边禁区前沿返抢下皮球，李浩杰拉拽登巴巴衣服犯规，申花获得禁区弧内的任意球好机会
64'瓜林前场抢断，右侧传中进去，李浩杰倒地把球挡出                   61'第61分钟登巴巴在延边禁区前沿返抢下皮球，李浩杰拉拽登巴巴衣服犯规，申花获得禁区弧内的任意球好机会
64'王赟被曹赟定换下，申花要总攻了                   61'第61分钟登巴巴在延边禁区前沿返抢下皮球，李浩杰拉拽登巴巴衣服犯规，申花获得禁区弧内的任意球好机会
63'瓜林爆杆，射中人墙弹出                   63'第63分钟申花用曹赟定换下王赟
63'外围右侧张璐在传中进去，第一点被延边解围                   63'第63分钟申花用曹赟定换下王赟
63'后场李建滨回敲李帅，有点短，险些被斯蒂夫追到，太危险                   63'第63分钟申花用曹赟定换下王赟
64'瓜林前场抢断，右侧传中进去，李浩杰倒地把球挡出                   63'第63分钟申花用曹赟定换下王赟
64'王赟被曹赟定换下，申花要总攻了                   63'第63分钟申花用曹赟定换下王赟
65'登巴巴前场漂亮的抢断，中路塞给莫雷诺，处理很好                   63'第63分钟申花用曹赟定换下王赟
66'莫雷诺在送一脚斜塞，眼看机会不错啊，可惜传小了，被尼古拉捅出底线                   63'第63分钟申花用曹赟定换下王赟
66'右侧角球开出，禁区内李建滨头球一顶，门前登巴巴垫了一下，高出横梁                   63'第63分钟申花用曹赟定换下王赟
66'申花这阵优势比较明显，连续的冲击对手腹地                   63'第63分钟申花用曹赟定换下王赟
66'瓜林大范围转移找左侧曹赟定被裴育文顶出边线                   63'第63分钟申花用曹赟定换下王赟
67'金基熙右路交给张璐，在给吕征，慢慢推进                   67'第67分钟斯蒂夫左路突破，金基熙禁区内把斯蒂夫铲倒，点球
67'秦升中路一记外脚背搓入禁区                   67'第67分钟斯蒂夫左路突破，金基熙禁区内把斯蒂夫铲倒，点球
67'动作比较潇洒，但球给的太大了，被池文一得到                   67'第67分钟斯蒂夫左路突破，金基熙禁区内把斯蒂夫铲倒，点球
67'延边现在中场有点脱节，传不出去                   67'第67分钟斯蒂夫左路突破，金基熙禁区内把斯蒂夫铲倒，点球
