41'维纳尔杜姆往前带！直塞禁区！被后卫一脚解围出去！                   41'第41分钟，沃特福德解围角球，拉拉纳左路外围凌空抽射憾中横梁
77'左路苏塞斯斜传！直接被詹断了！分前场左侧菲尔米诺！                   76'利物浦第76分钟错过机会，埃姆雷-詹反击中右路斜传，拉拉纳停球稍大错过单刀机会，阿姆拉巴特及时回防捅出皮球解围
78'自己往前带！大禁区左侧横敲门前！                   76'利物浦第76分钟错过机会，埃姆雷-詹反击中右路斜传，拉拉纳停球稍大错过单刀机会，阿姆拉巴特及时回防捅出皮球解围
78'被后卫解围出来！                   76'利物浦第76分钟错过机会，埃姆雷-詹反击中右路斜传，拉拉纳停球稍大错过单刀机会，阿姆拉巴特及时回防捅出皮球解围
79'左侧菲米尔诺将球碰出边线！                   76'利物浦第76分钟错过机会，埃姆雷-詹反击中右路斜传，拉拉纳停球稍大错过单刀机会，阿姆拉巴特及时回防捅出皮球解围
79'沃特福德边线球！                   76'利物浦第76分钟错过机会，埃姆雷-詹反击中右路斜传，拉拉纳停球稍大错过单刀机会，阿姆拉巴特及时回防捅出皮球解围
94'尼昂被放倒了！利物浦队员犯规了！                   94'沃特福德第94分钟险些扳平，奥卡卡混战中头球摆渡，普罗德尔禁区左肋10码处凌空抽射憾中横梁弹回
94'任意球直接开到禁区！                   94'沃特福德第94分钟险些扳平，奥卡卡混战中头球摆渡，普罗德尔禁区左肋10码处凌空抽射憾中横梁弹回
94'洛夫伦出脚解围！                   94'沃特福德第94分钟险些扳平，奥卡卡混战中头球摆渡，普罗德尔禁区左肋10码处凌空抽射憾中横梁弹回
94'右路杜库雷传中！                   94'沃特福德第94分钟险些扳平，奥卡卡混战中头球摆渡，普罗德尔禁区左肋10码处凌空抽射憾中横梁弹回
94'中路有人射一脚！击中横梁啊！                   94'沃特福德第94分钟险些扳平，奥卡卡混战中头球摆渡，普罗德尔禁区左肋10码处凌空抽射憾中横梁弹回
94'后卫一脚踢出来！                   94'沃特福德第94分钟险些扳平，奥卡卡混战中头球摆渡，普罗德尔禁区左肋10码处凌空抽射憾中横梁弹回
95'斯图里奇拿到！往前带！                   94'沃特福德第94分钟险些扳平，奥卡卡混战中头球摆渡，普罗德尔禁区左肋10码处凌空抽射憾中横梁弹回
95'苏塞斯回追犯规了！                   94'沃特福德第94分钟险些扳平，奥卡卡混战中头球摆渡，普罗德尔禁区左肋10码处凌空抽射憾中横梁弹回
95'利物浦前场任意球开出！                   94'沃特福德第94分钟险些扳平，奥卡卡混战中头球摆渡，普罗德尔禁区左肋10码处凌空抽射憾中横梁弹回
95'裁判吹响了全场比赛结束的哨音！                   94'沃特福德第94分钟险些扳平，奥卡卡混战中头球摆渡，普罗德尔禁区左肋10码处凌空抽射憾中横梁弹回
