3'右路梅西拿球转出来                   3'开场仅3分钟，拉基蒂奇长传，梅西小禁区右上角外斜射擦远角立柱偏出
50'巴萨前场拿球横向转移                   47'2分钟后，苏亚雷斯传球，梅西12码处射门又憾中左侧立柱外侧弹出
50'阿拉维斯的铁桶阵很严密啊                   47'2分钟后，苏亚雷斯传球，梅西12码处射门又憾中左侧立柱外侧弹出
83'2-0！！！                   83'巴萨第83分钟扩大比分，阿图尔传球，库蒂尼奥禁区左侧横切至14码处劲射入网，2-0
83'库蒂尼奥！！！                   83'巴萨第83分钟扩大比分，阿图尔传球，库蒂尼奥禁区左侧横切至14码处劲射入网，2-0
84'梅西前场拿球给到左路，库蒂尼奥禁区内接球横向摆脱后推射破门！！                   83'巴萨第83分钟扩大比分，阿图尔传球，库蒂尼奥禁区左侧横切至14码处劲射入网，2-0
84'巴萨这比分应该是稳了                   83'巴萨第83分钟扩大比分，阿图尔传球，库蒂尼奥禁区左侧横切至14码处劲射入网，2-0
85'巴萨禁区内挑                   83'巴萨第83分钟扩大比分，阿图尔传球，库蒂尼奥禁区左侧横切至14码处劲射入网，2-0
85'苏亚雷斯倒钩打门打偏了                   83'巴萨第83分钟扩大比分，阿图尔传球，库蒂尼奥禁区左侧横切至14码处劲射入网，2-0
85'边裁先举旗示意越位了                   83'巴萨第83分钟扩大比分，阿图尔传球，库蒂尼奥禁区左侧横切至14码处劲射入网，2-0
92'阿拉维斯中场拿球挑传被拦截                   92'第92分钟，苏亚雷斯传球，梅西胸部停球后转身在小禁区前推射入网，3-0
92'巴萨中场拿球控一下                   92'第92分钟，苏亚雷斯传球，梅西胸部停球后转身在小禁区前推射入网，3-0
93'大范围转移给到左路                   92'第92分钟，苏亚雷斯传球，梅西胸部停球后转身在小禁区前推射入网，3-0
93'3-0！！                   92'第92分钟，苏亚雷斯传球，梅西胸部停球后转身在小禁区前推射入网，3-0
93'梅西！！！                   92'第92分钟，苏亚雷斯传球，梅西胸部停球后转身在小禁区前推射入网，3-0
94'巴萨左路挑传送禁区，梅西停球后横向一带后推射近角破门！！                   92'第92分钟，苏亚雷斯传球，梅西胸部停球后转身在小禁区前推射入网，3-0
