8'孔卡中场拿球给到后场的金周荣                   8'第8分钟埃弗拉左路得球高速冲击到禁区，随后挑传后点球稍稍高出横梁
34'王栋长传球到禁区，颜骏凌没收                   31'丢球后的重庆也险些在第一时间进球，第31分钟费尔南多左路摆脱蔡慧康后下底传中，吉利奥蒂中路强力头球稍稍顶高
34'武磊右路拿球过顶球，邓小飞出击没收                   31'丢球后的重庆也险些在第一时间进球，第31分钟费尔南多左路摆脱蔡慧康后下底传中，吉利奥蒂中路强力头球稍稍顶高
39'武磊直塞球被解围出去                   39'第39分钟吉利奥蒂禁区外突然发力射门，颜骏凌飞身把球扑出，吴庆飞奔上前打算补射，孙祥快速补位迫使吴庆射门没打上力量
39'吉利奥蒂拿球给到身后的队友                   39'第39分钟吉利奥蒂禁区外突然发力射门，颜骏凌飞身把球扑出，吴庆飞奔上前打算补射，孙祥快速补位迫使吴庆射门没打上力量
40'力帆后场长传要找费尔南那多，球被石柯破坏出边线                   39'第39分钟吉利奥蒂禁区外突然发力射门，颜骏凌飞身把球扑出，吴庆飞奔上前打算补射，孙祥快速补位迫使吴庆射门没打上力量
40'吉利奥蒂外围远射造成了颜骏凌脱手                   39'第39分钟吉利奥蒂禁区外突然发力射门，颜骏凌飞身把球扑出，吴庆飞奔上前打算补射，孙祥快速补位迫使吴庆射门没打上力量
40'吴庆跟上打门被颜骏凌没收                   39'第39分钟吉利奥蒂禁区外突然发力射门，颜骏凌飞身把球扑出，吴庆飞奔上前打算补射，孙祥快速补位迫使吴庆射门没打上力量
40'孙祥好像受伤了                   39'第39分钟吉利奥蒂禁区外突然发力射门，颜骏凌飞身把球扑出，吴庆飞奔上前打算补射，孙祥快速补位迫使吴庆射门没打上力量
41'吴庆补射时和孙祥撞在了一起                   39'第39分钟吉利奥蒂禁区外突然发力射门，颜骏凌飞身把球扑出，吴庆飞奔上前打算补射，孙祥快速补位迫使吴庆射门没打上力量
41'没什么大碍，比赛继续                   39'第39分钟吉利奥蒂禁区外突然发力射门，颜骏凌飞身把球扑出，吴庆飞奔上前打算补射，孙祥快速补位迫使吴庆射门没打上力量
42'金周荣斜传右路，徐洋解围出边线                   39'第39分钟吉利奥蒂禁区外突然发力射门，颜骏凌飞身把球扑出，吴庆飞奔上前打算补射，孙祥快速补位迫使吴庆射门没打上力量
42'金周荣斜传右路，徐洋解围出边线                   42'第42分钟吉利奥蒂前场截球后分到右路，费尔南多搓射远角打偏
43'孔卡直塞球，埃尔克森外围远射高出横梁                   42'第42分钟吉利奥蒂前场截球后分到右路，费尔南多搓射远角打偏
44'费尔南多禁区右侧左脚兜射偏出                   42'第42分钟吉利奥蒂前场截球后分到右路，费尔南多搓射远角打偏
44'孔卡中场直塞球，徐小波滑铲出了边线                   42'第42分钟吉利奥蒂前场截球后分到右路，费尔南多搓射远角打偏
44'孔卡中路转移球到左路                   42'第42分钟吉利奥蒂前场截球后分到右路，费尔南多搓射远角打偏
45'于海左路传中，被徐小波挡出边线                   42'第42分钟吉利奥蒂前场截球后分到右路，费尔南多搓射远角打偏
45'蔡慧康外围远射偏出                   42'第42分钟吉利奥蒂前场截球后分到右路，费尔南多搓射远角打偏
45'上半场补时1分钟                   42'第42分钟吉利奥蒂前场截球后分到右路，费尔南多搓射远角打偏
52'上港边路横传，丁捷踢出底线                   52'第52分钟孔卡角球直接攻门，被邓小飞双拳打出界外，第二个角球没有威胁，费尔南多后场截球后攻击被孙祥战术犯规放倒在地，孙吃到黄牌
53'右侧角球开出，力帆球员顶出底线                   52'第52分钟孔卡角球直接攻门，被邓小飞双拳打出界外，第二个角球没有威胁，费尔南多后场截球后攻击被孙祥战术犯规放倒在地，孙吃到黄牌
53'角球开出来，禁区前点被顶出外围                   52'第52分钟孔卡角球直接攻门，被邓小飞双拳打出界外，第二个角球没有威胁，费尔南多后场截球后攻击被孙祥战术犯规放倒在地，孙吃到黄牌
54'孙祥对费尔南多犯规了                   52'第52分钟孔卡角球直接攻门，被邓小飞双拳打出界外，第二个角球没有威胁，费尔南多后场截球后攻击被孙祥战术犯规放倒在地，孙吃到黄牌
54'孙祥吃到了黄牌                   52'第52分钟孔卡角球直接攻门，被邓小飞双拳打出界外，第二个角球没有威胁，费尔南多后场截球后攻击被孙祥战术犯规放倒在地，孙吃到黄牌
55'于海后场踢倒了徐小波                   52'第52分钟孔卡角球直接攻门，被邓小飞双拳打出界外，第二个角球没有威胁，费尔南多后场截球后攻击被孙祥战术犯规放倒在地，孙吃到黄牌
55'石柯传中球，邓小飞把球没收                   52'第52分钟孔卡角球直接攻门，被邓小飞双拳打出界外，第二个角球没有威胁，费尔南多后场截球后攻击被孙祥战术犯规放倒在地，孙吃到黄牌
57'吉利奥蒂击到了石柯的脸部                   57'重庆必须进攻，第57分钟吉利奥蒂禁区外发炮被颜骏凌稳稳接住
58'石柯到了场边                   57'重庆必须进攻，第57分钟吉利奥蒂禁区外发炮被颜骏凌稳稳接住
58'比赛重新开始                   57'重庆必须进攻，第57分钟吉利奥蒂禁区外发炮被颜骏凌稳稳接住
58'费尔南多飞秋右侧的吉利奥蒂                   57'重庆必须进攻，第57分钟吉利奥蒂禁区外发炮被颜骏凌稳稳接住
59'吉利奥蒂外围打门，角度太正被门将抱住                   57'重庆必须进攻，第57分钟吉利奥蒂禁区外发炮被颜骏凌稳稳接住
59'于海左路带球直接出了底线                   57'重庆必须进攻，第57分钟吉利奥蒂禁区外发炮被颜骏凌稳稳接住
60'王栋传球被孔卡拦截，孔卡斜传埃尔克森                   57'重庆必须进攻，第57分钟吉利奥蒂禁区外发炮被颜骏凌稳稳接住
60'武磊禁区右侧挑传给大了，球被解围出去                   57'重庆必须进攻，第57分钟吉利奥蒂禁区外发炮被颜骏凌稳稳接住
72'王燊超铲倒吴庆吃到黄牌                   70'第70分钟王燊超从侧铲倒吴庆吃到黄牌
72'定位球开出来，禁区里颜骏凌没收                   70'第70分钟王燊超从侧铲倒吴庆吃到黄牌
73'吴庆禁区右侧打门被门将没收                   70'第70分钟王燊超从侧铲倒吴庆吃到黄牌
73'蔡慧康后场拼抢犯规                   70'第70分钟王燊超从侧铲倒吴庆吃到黄牌
73'任意球传到禁区，上港解围出来                   70'第70分钟王燊超从侧铲倒吴庆吃到黄牌
74'徐小波推人犯规                   74'第74分钟上港前场连续配合，武磊接孔卡巧妙送球，杀入禁区横推入中路，埃弗拉近在咫尺射门打偏
74'定位球给到右路的王燊超                   74'第74分钟上港前场连续配合，武磊接孔卡巧妙送球，杀入禁区横推入中路，埃弗拉近在咫尺射门打偏
75'后场左侧，被力帆拦截                   74'第74分钟上港前场连续配合，武磊接孔卡巧妙送球，杀入禁区横推入中路，埃弗拉近在咫尺射门打偏
75'孔卡左侧拿球给到埃尔克森                   74'第74分钟上港前场连续配合，武磊接孔卡巧妙送球，杀入禁区横推入中路，埃弗拉近在咫尺射门打偏
75'脚后跟回传孔卡                   74'第74分钟上港前场连续配合，武磊接孔卡巧妙送球，杀入禁区横推入中路，埃弗拉近在咫尺射门打偏
77'武磊禁区左侧横敲，埃弗拉禁区内打门偏出                   74'第74分钟上港前场连续配合，武磊接孔卡巧妙送球，杀入禁区横推入中路，埃弗拉近在咫尺射门打偏
77'上港换人，埃弗拉下，吕文君上                   74'第74分钟上港前场连续配合，武磊接孔卡巧妙送球，杀入禁区横推入中路，埃弗拉近在咫尺射门打偏
77'埃弗拉空门都没打进啊                   74'第74分钟上港前场连续配合，武磊接孔卡巧妙送球，杀入禁区横推入中路，埃弗拉近在咫尺射门打偏
80'孔卡任意球分到了左边路，斜传到禁区被后卫头球解围出去                   80'第80分钟于海左路传中，埃尔克森头球攻门稍偏
81'上港左边路拿球，还是在寻求配合                   80'第80分钟于海左路传中，埃尔克森头球攻门稍偏
82'于海45度斜传中路，埃尔克森头球攻门偏出立柱                   80'第80分钟于海左路传中，埃尔克森头球攻门稍偏
83'力帆扳平了                   80'第80分钟于海左路传中，埃尔克森头球攻门稍偏
83'..费尔南多超车防守球员，左脚打门将球打进                   80'第80分钟于海左路传中，埃尔克森头球攻门稍偏
85'吴庆抽筋了                   84'第84分钟冯劲换下双腿严重抽筋的吴庆
86'力帆换人，冯劲上场替下吴庆                   84'第84分钟冯劲换下双腿严重抽筋的吴庆
86'费尔南多给到禁区右侧                   84'第84分钟冯劲换下双腿严重抽筋的吴庆
86'于海拦截下来                   84'第84分钟冯劲换下双腿严重抽筋的吴庆
87'武磊禁区左侧低射偏出                   84'第84分钟冯劲换下双腿严重抽筋的吴庆
87'本场比赛上港不胜很遗憾啊                   84'第84分钟冯劲换下双腿严重抽筋的吴庆
87'武磊禁区左侧低射偏出                   87'第87分钟重庆力帆用刘宇换下徐小波
87'本场比赛上港不胜很遗憾啊                   87'第87分钟重庆力帆用刘宇换下徐小波
88'力帆可是十人作战                   87'第87分钟重庆力帆用刘宇换下徐小波
88'金周荣分球右路的王燊超                   87'第87分钟重庆力帆用刘宇换下徐小波
89'孔卡直塞球被解围                   87'第87分钟重庆力帆用刘宇换下徐小波
89'王燊超直塞球被徐洋踢出底线                   87'第87分钟重庆力帆用刘宇换下徐小波
89'上港右侧角球开出，皮球被后卫顶出去                   87'第87分钟重庆力帆用刘宇换下徐小波
90'吕文君边路传中，又是被解围                   87'第87分钟重庆力帆用刘宇换下徐小波
92'上港前场左路定位球                   92'第92分钟傅欢拉下抽筋的王燊超
92'任意球传到禁区，冯劲解围出去                   92'第92分钟傅欢拉下抽筋的王燊超
92'费尔南多拼抢撞倒了王燊超                   92'第92分钟傅欢拉下抽筋的王燊超
93'定位球长传上来，徐洋拿到皮球                   92'第92分钟傅欢拉下抽筋的王燊超
93'给到左侧，金周荣上抢破坏                   92'第92分钟傅欢拉下抽筋的王燊超
94'傅欢边路传中，邓小飞打出去                   92'第92分钟傅欢拉下抽筋的王燊超
95'吕文君上抢对丁捷犯规                   92'第92分钟傅欢拉下抽筋的王燊超
95'力帆后场的定位球                   92'第92分钟傅欢拉下抽筋的王燊超
