7'C罗背身拿球，阿德里亚诺背后推人犯规                   7'第7分钟，布斯克茨对迪马利亚犯规被罚黄牌
21'梅西这头又是半单刀了，又是伊涅斯塔的直塞身后，梅西边路突进到禁区左脚推射远角稍稍偏出门柱！                   18'第18分钟，阿德里亚诺传球，内马尔晃过卡瓦哈尔后左路禁区边缘外射出反弹球正入迭戈-洛佩斯下怀
21'19分钟开纪录，巴萨还是有优势                   21'巴萨第21分钟险些扩大比分，伊涅斯塔直传，梅西禁区右肋8码处单刀射远角偏出
21'梅西这头又是半单刀了，又是伊涅斯塔的直塞身后，梅西边路突进到禁区左脚推射远角稍稍偏出门柱！                   21'巴萨第21分钟险些扩大比分，伊涅斯塔直传，梅西禁区右肋8码处单刀射远角偏出
22'15分钟过后，巴萨占据了场上主动，而皇马在进攻上依然没有什么好办法                   21'巴萨第21分钟险些扩大比分，伊涅斯塔直传，梅西禁区右肋8码处单刀射远角偏出
22'相比起内马尔，贝尔在场上的作用未能达到期望值                   21'巴萨第21分钟险些扩大比分，伊涅斯塔直传，梅西禁区右肋8码处单刀射远角偏出
23'梅西中场是球想传左肋部，卡瓦哈尔这次没有让球过去                   21'巴萨第21分钟险些扩大比分，伊涅斯塔直传，梅西禁区右肋8码处单刀射远角偏出
23'哈维突破送直塞，这球传得有点大，内马尔没有拿到球                   21'巴萨第21分钟险些扩大比分，伊涅斯塔直传，梅西禁区右肋8码处单刀射远角偏出
24'从慢镜来看，刚才助攻内马尔的伊涅斯塔在突到禁区前沿使用了他的绝活儿“油瀑丸子”                   21'巴萨第21分钟险些扩大比分，伊涅斯塔直传，梅西禁区右肋8码处单刀射远角偏出
24'至于什么叫油爆丸子，大家可惜上网找找资料                   21'巴萨第21分钟险些扩大比分，伊涅斯塔直传，梅西禁区右肋8码处单刀射远角偏出
24'大家可以上网找一下资料                   21'巴萨第21分钟险些扩大比分，伊涅斯塔直传，梅西禁区右肋8码处单刀射远角偏出
34'瓦拉内带球过了半场，交给C罗，皇马转移球效果不好                   34'第34分钟，阿德里亚诺边路铲倒C-罗纳尔多被罚黄牌
34'瓦拉内斜长传左路，阿尔维斯抢先将球顶出边线                   34'第34分钟，阿德里亚诺边路铲倒C-罗纳尔多被罚黄牌
34'又是马塞洛左路带球推进，法布雷加斯左手打人犯规                   34'第34分钟，阿德里亚诺边路铲倒C-罗纳尔多被罚黄牌
35'佩佩中场传球轻了，巴塞罗那的断球                   34'第34分钟，阿德里亚诺边路铲倒C-罗纳尔多被罚黄牌
36'莫德里奇反抢成功，分到右路，C罗拿球转身，阿德里亚诺滑铲铲翻了C罗                   34'第34分钟，阿德里亚诺边路铲倒C-罗纳尔多被罚黄牌
36'阿德里亚诺也吃到一张黄牌！                   34'第34分钟，阿德里亚诺边路铲倒C-罗纳尔多被罚黄牌
36'迪马利亚任意球传得质量不高，皮克头球解围打在贝尔头上                   34'第34分钟，阿德里亚诺边路铲倒C-罗纳尔多被罚黄牌
37'但裁判却认为是贝尔用手将球打了一下，吹给了巴萨的后场任意球                   34'第34分钟，阿德里亚诺边路铲倒C-罗纳尔多被罚黄牌
37'哈维与伊涅斯塔依然心有灵犀，梅西接应交给内马尔                   34'第34分钟，阿德里亚诺边路铲倒C-罗纳尔多被罚黄牌
37'内马尔内切没有成功                   34'第34分钟，阿德里亚诺边路铲倒C-罗纳尔多被罚黄牌
44'C罗左路得球，有机会了                   44'第44分钟，C-罗纳尔多左路传中，赫迪拉抢点射门被巴尔德斯挡出，皮球打在阿德里亚诺手上，裁判未予理会
44'C罗左路下低传门前，赫迪拉抢点铲射打在对方身上，他认为马斯切拉诺手球犯规！                   44'第44分钟，C-罗纳尔多左路传中，赫迪拉抢点射门被巴尔德斯挡出，皮球打在阿德里亚诺手上，裁判未予理会
44'但主裁判没有鸣哨吹点球！                   44'第44分钟，C-罗纳尔多左路传中，赫迪拉抢点射门被巴尔德斯挡出，皮球打在阿德里亚诺手上，裁判未予理会
45'慢镜来看，赫迪拉抢点铲射被巴尔德斯用脚挡了一下后弹在马斯切拉诺身上，有没有手球还难以判断！                   44'第44分钟，C-罗纳尔多左路传中，赫迪拉抢点射门被巴尔德斯挡出，皮球打在阿德里亚诺手上，裁判未予理会
46'贝尔前场抢球时蹬踏犯规                   44'第44分钟，C-罗纳尔多左路传中，赫迪拉抢点射门被巴尔德斯挡出，皮球打在阿德里亚诺手上，裁判未予理会
46'贝尔被主裁判黄牌警告！                   44'第44分钟，C-罗纳尔多左路传中，赫迪拉抢点射门被巴尔德斯挡出，皮球打在阿德里亚诺手上，裁判未予理会
46'上半场比赛结束！                   44'第44分钟，C-罗纳尔多左路传中，赫迪拉抢点射门被巴尔德斯挡出，皮球打在阿德里亚诺手上，裁判未予理会
46'下半场比赛开始了！                   44'第44分钟，C-罗纳尔多左路传中，赫迪拉抢点射门被巴尔德斯挡出，皮球打在阿德里亚诺手上，裁判未予理会
46'下半场比赛由巴塞罗那中圈开球                   44'第44分钟，C-罗纳尔多左路传中，赫迪拉抢点射门被巴尔德斯挡出，皮球打在阿德里亚诺手上，裁判未予理会
46'当上来，贝尔为球队赢得一个角球                   44'第44分钟，C-罗纳尔多左路传中，赫迪拉抢点射门被巴尔德斯挡出，皮球打在阿德里亚诺手上，裁判未予理会
47'迪马利亚角球发得不好，速度不快，巴尔德斯将球摘下                   44'第44分钟，C-罗纳尔多左路传中，赫迪拉抢点射门被巴尔德斯挡出，皮球打在阿德里亚诺手上，裁判未予理会
47'不过巴尔德斯的长传球落入皇马后卫的控制下                   44'第44分钟，C-罗纳尔多左路传中，赫迪拉抢点射门被巴尔德斯挡出，皮球打在阿德里亚诺手上，裁判未予理会
47'莫德里奇胸部停球手触球了                   44'第44分钟，C-罗纳尔多左路传中，赫迪拉抢点射门被巴尔德斯挡出，皮球打在阿德里亚诺手上，裁判未予理会
52'赫迪拉在对方禁区前沿反抢，带球到左肋部传后点                   52'第52分钟，阿尔维斯右路传中被封堵，伊涅斯塔禁区弧顶抽射被瓦拉内挡出
52'贝尔高高跃起头球回点中路，可惜没有队友接应被皮克大脚破坏                   52'第52分钟，阿尔维斯右路传中被封堵，伊涅斯塔禁区弧顶抽射被瓦拉内挡出
52'内马尔左路发难，传到禁区，法布雷加斯做墙交给梅西                   52'第52分钟，阿尔维斯右路传中被封堵，伊涅斯塔禁区弧顶抽射被瓦拉内挡出
52'梅西再回做，伊涅斯塔跟进迎球怒射打在后卫身上                   52'第52分钟，阿尔维斯右路传中被封堵，伊涅斯塔禁区弧顶抽射被瓦拉内挡出
53'布斯克茨中场将球拦截下来，交给哈维                   52'第52分钟，阿尔维斯右路传中被封堵，伊涅斯塔禁区弧顶抽射被瓦拉内挡出
53'短传真的是不如以往，球被皇马断下                   52'第52分钟，阿尔维斯右路传中被封堵，伊涅斯塔禁区弧顶抽射被瓦拉内挡出
54'内马尔的脚可能有点轻伤！                   52'第52分钟，阿尔维斯右路传中被封堵，伊涅斯塔禁区弧顶抽射被瓦拉内挡出
54'C罗右路得球，横传传到迪马利亚身后，哈维断球                   52'第52分钟，阿尔维斯右路传中被封堵，伊涅斯塔禁区弧顶抽射被瓦拉内挡出
54'哈维过顶球传到前场，法布雷加斯没有起动                   52'第52分钟，阿尔维斯右路传中被封堵，伊涅斯塔禁区弧顶抽射被瓦拉内挡出
55'伊涅斯塔中线附近送出妙传直接到禁区左侧，内马尔后插上左脚凌空抽射被洛佩兹挡出！                   52'第52分钟，阿尔维斯右路传中被封堵，伊涅斯塔禁区弧顶抽射被瓦拉内挡出
55'巴萨现在也打这种球，让人有点不适应                   52'第52分钟，阿尔维斯右路传中被封堵，伊涅斯塔禁区弧顶抽射被瓦拉内挡出
58'莫德里奇抢断交给 了C罗                   58'第58分钟，摩德里奇抢断伊涅斯塔后直传，C-罗纳尔多禁区左肋14码处劲射被巴尔德斯扑出底线
58'C罗禁区左侧一脚爆射被巴尔德斯挡出底线！                   58'第58分钟，摩德里奇抢断伊涅斯塔后直传，C-罗纳尔多禁区左肋14码处劲射被巴尔德斯扑出底线
58'莫德里奇角球传到禁区，皮克将球顶出禁区                   58'第58分钟，摩德里奇抢断伊涅斯塔后直传，C-罗纳尔多禁区左肋14码处劲射被巴尔德斯扑出底线
59'迪马利亚弧顶处在脚凌空抽射，球被巴尔德斯稳稳抓住！                   58'第58分钟，摩德里奇抢断伊涅斯塔后直传，C-罗纳尔多禁区左肋14码处劲射被巴尔德斯扑出底线
59'伊涅斯塔带球推进，赫迪拉背后绊人犯规                   58'第58分钟，摩德里奇抢断伊涅斯塔后直传，C-罗纳尔多禁区左肋14码处劲射被巴尔德斯扑出底线
59'赫迪拉吃到黄牌！                   58'第58分钟，摩德里奇抢断伊涅斯塔后直传，C-罗纳尔多禁区左肋14码处劲射被巴尔德斯扑出底线
60'皇马前场断球，可惜迪马利亚带球有点大                   58'第58分钟，摩德里奇抢断伊涅斯塔后直传，C-罗纳尔多禁区左肋14码处劲射被巴尔德斯扑出底线
60'阿德里亚诺将他挡在身后                   58'第58分钟，摩德里奇抢断伊涅斯塔后直传，C-罗纳尔多禁区左肋14码处劲射被巴尔德斯扑出底线
60'伊涅斯塔中路塞对方身后，没有塞过去                   58'第58分钟，摩德里奇抢断伊涅斯塔后直传，C-罗纳尔多禁区左肋14码处劲射被巴尔德斯扑出底线
60'C罗左路得球，交到中路，莫德里奇脚后跟交给伊利亚拉门迪                   58'第58分钟，摩德里奇抢断伊涅斯塔后直传，C-罗纳尔多禁区左肋14码处劲射被巴尔德斯扑出底线
61'球转移到右路，卡瓦哈尔助攻上来，但阿德里亚诺死死地将他挡在身后将球护出底线                   58'第58分钟，摩德里奇抢断伊涅斯塔后直传，C-罗纳尔多禁区左肋14码处劲射被巴尔德斯扑出底线
61'贝尔被换下，本泽马上场！皇马回归常规阵容                   58'第58分钟，摩德里奇抢断伊涅斯塔后直传，C-罗纳尔多禁区左肋14码处劲射被巴尔德斯扑出底线
59'迪马利亚弧顶处在脚凌空抽射，球被巴尔德斯稳稳抓住！                   59'第59分钟，赫迪拉背后绊倒伊涅斯塔得到黄牌
59'伊涅斯塔带球推进，赫迪拉背后绊人犯规                   59'第59分钟，赫迪拉背后绊倒伊涅斯塔得到黄牌
59'赫迪拉吃到黄牌！                   59'第59分钟，赫迪拉背后绊倒伊涅斯塔得到黄牌
60'皇马前场断球，可惜迪马利亚带球有点大                   59'第59分钟，赫迪拉背后绊倒伊涅斯塔得到黄牌
60'阿德里亚诺将他挡在身后                   59'第59分钟，赫迪拉背后绊倒伊涅斯塔得到黄牌
60'伊涅斯塔中路塞对方身后，没有塞过去                   59'第59分钟，赫迪拉背后绊倒伊涅斯塔得到黄牌
60'C罗左路得球，交到中路，莫德里奇脚后跟交给伊利亚拉门迪                   59'第59分钟，赫迪拉背后绊倒伊涅斯塔得到黄牌
61'球转移到右路，卡瓦哈尔助攻上来，但阿德里亚诺死死地将他挡在身后将球护出底线                   59'第59分钟，赫迪拉背后绊倒伊涅斯塔得到黄牌
61'贝尔被换下，本泽马上场！皇马回归常规阵容                   59'第59分钟，赫迪拉背后绊倒伊涅斯塔得到黄牌
62'哈维得球交给梅西，梅西马上分到法布雷加斯脚下                   59'第59分钟，赫迪拉背后绊倒伊涅斯塔得到黄牌
62'法布雷加斯传左肋部，佩佩抢在内马尔之前将球铲出底线                   59'第59分钟，赫迪拉背后绊倒伊涅斯塔得到黄牌
62'哈维角球发到门前被佩佩头球解围                   59'第59分钟，赫迪拉背后绊倒伊涅斯塔得到黄牌
70'巴塞罗那换人，4号法布雷加斯下场，9号桑切斯上！                   70'第70分钟，桑切斯替换法布雷加斯出场
70'巴萨也在修正自己的阵容                   70'第70分钟，桑切斯替换法布雷加斯出场
70'梅西前场的斜传，没有穿过瓦拉内的防守                   70'第70分钟，桑切斯替换法布雷加斯出场
71'马塞洛带球到中线附近交给赫迪拉                   70'第70分钟，桑切斯替换法布雷加斯出场
71'C罗在禁区内倒地，主裁判没有吹点球！                   70'第70分钟，桑切斯替换法布雷加斯出场
71'待会再看慢镜，看马斯切拉诺是否有犯规                   70'第70分钟，桑切斯替换法布雷加斯出场
72'本泽马拉到禁区外拿球，转身大力轰门重重地砸在横梁与立柱交点！                   70'第70分钟，桑切斯替换法布雷加斯出场
73'刚才赫迪拉一顺到禁区，C罗斜插到位，马斯切拉诺背后的动作不大！                   70'第70分钟，桑切斯替换法布雷加斯出场
73'桑切斯右路得球传丢了，                   70'第70分钟，桑切斯替换法布雷加斯出场
73'伊涅斯塔外围得球，左脚打门被伊利亚拉门迪挡住                   70'第70分钟，桑切斯替换法布雷加斯出场
73'皇马禁区内一片混乱，最后主裁判吹伊涅斯塔阻挡犯规                   70'第70分钟，桑切斯替换法布雷加斯出场
72'本泽马拉到禁区外拿球，转身大力轰门重重地砸在横梁与立柱交点！                   72'第72分钟，摩德里奇传球，本泽马禁区弧顶外劲射打中右上角横梁弹回，赫迪拉头球补射被巴尔德斯没收
73'刚才赫迪拉一顺到禁区，C罗斜插到位，马斯切拉诺背后的动作不大！                   72'第72分钟，摩德里奇传球，本泽马禁区弧顶外劲射打中右上角横梁弹回，赫迪拉头球补射被巴尔德斯没收
73'桑切斯右路得球传丢了，                   72'第72分钟，摩德里奇传球，本泽马禁区弧顶外劲射打中右上角横梁弹回，赫迪拉头球补射被巴尔德斯没收
73'伊涅斯塔外围得球，左脚打门被伊利亚拉门迪挡住                   72'第72分钟，摩德里奇传球，本泽马禁区弧顶外劲射打中右上角横梁弹回，赫迪拉头球补射被巴尔德斯没收
73'皇马禁区内一片混乱，最后主裁判吹伊涅斯塔阻挡犯规                   72'第72分钟，摩德里奇传球，本泽马禁区弧顶外劲射打中右上角横梁弹回，赫迪拉头球补射被巴尔德斯没收
74'还是巴塞罗那的进攻，哈维交给伊涅斯塔                   72'第72分钟，摩德里奇传球，本泽马禁区弧顶外劲射打中右上角横梁弹回，赫迪拉头球补射被巴尔德斯没收
74'梅西得球，连续晃动后对方没有吃他假动作                   72'第72分钟，摩德里奇传球，本泽马禁区弧顶外劲射打中右上角横梁弹回，赫迪拉头球补射被巴尔德斯没收
74'梅西的绝招不在假动作，而是冲起来的变向带球                   72'第72分钟，摩德里奇传球，本泽马禁区弧顶外劲射打中右上角横梁弹回，赫迪拉头球补射被巴尔德斯没收
74'可惜今天他不够兴奋，没怎么跑起来                   72'第72分钟，摩德里奇传球，本泽马禁区弧顶外劲射打中右上角横梁弹回，赫迪拉头球补射被巴尔德斯没收
75'桑切斯右路的突破为巴塞罗那赢中得一个角球机会                   72'第72分钟，摩德里奇传球，本泽马禁区弧顶外劲射打中右上角横梁弹回，赫迪拉头球补射被巴尔德斯没收
75'巴萨战术角球，不过没有快速传中                   72'第72分钟，摩德里奇传球，本泽马禁区弧顶外劲射打中右上角横梁弹回，赫迪拉头球补射被巴尔德斯没收
75'中场巴塞罗那的控球，桑切斯背身接应交给梅西                   72'第72分钟，摩德里奇传球，本泽马禁区弧顶外劲射打中右上角横梁弹回，赫迪拉头球补射被巴尔德斯没收
76'伊涅斯塔传左路，皮克过渡给内马尔，内马尔倒三角传到禁区前沿                   76'第76分钟，内马尔回传，伊涅斯塔25码处劲射打中佩佩后高出
76'伊涅斯塔又一次大力轰门打在后卫身上出了底线，角球                   76'第76分钟，内马尔回传，伊涅斯塔25码处劲射打中佩佩后高出
76'皇马最后一次换人，换上了赫塞，下场的是迪马利亚                   76'第76分钟，内马尔回传，伊涅斯塔25码处劲射打中佩佩后高出
77'巴塞罗那也换人，17号亚历山大-宋替下了8号伊涅斯塔！                   76'第76分钟，内马尔回传，伊涅斯塔25码处劲射打中佩佩后高出
77'巴萨需要加强防守了                   76'第76分钟，内马尔回传，伊涅斯塔25码处劲射打中佩佩后高出
77'梅西禁区右犄角加速突到右肋部传中，瓦拉内将球解围                   76'第76分钟，内马尔回传，伊涅斯塔25码处劲射打中佩佩后高出
78'桑切斯进球！                   76'第76分钟，内马尔回传，伊涅斯塔25码处劲射打中佩佩后高出
79'巴萨中场反抢成功，内马尔送出致命直传，桑切斯前突得球禁区外选择一脚漂亮的吊射，球越过洛佩兹落入网内！                   76'第76分钟，内马尔回传，伊涅斯塔25码处劲射打中佩佩后高出
78'桑切斯进球！                   78'巴萨第78分钟扩大比分，内马尔直传，桑切斯摆脱瓦拉内后20码处挑射吊过迭戈-洛佩斯入网，2-0
79'巴萨中场反抢成功，内马尔送出致命直传，桑切斯前突得球禁区外选择一脚漂亮的吊射，球越过洛佩兹落入网内！                   78'巴萨第78分钟扩大比分，内马尔直传，桑切斯摆脱瓦拉内后20码处挑射吊过迭戈-洛佩斯入网，2-0
80'C罗向裁判出言不逊，吃到黄牌！                   78'巴萨第78分钟扩大比分，内马尔直传，桑切斯摆脱瓦拉内后20码处挑射吊过迭戈-洛佩斯入网，2-0
80'赫塞与莫德里奇在禁区前沿的配合，巴萨的防守很积极                   78'巴萨第78分钟扩大比分，内马尔直传，桑切斯摆脱瓦拉内后20码处挑射吊过迭戈-洛佩斯入网，2-0
81'赫塞右路下底传中，赢得一个角球机会                   78'巴萨第78分钟扩大比分，内马尔直传，桑切斯摆脱瓦拉内后20码处挑射吊过迭戈-洛佩斯入网，2-0
81'赫塞角球传中，皮克头球解围                   78'巴萨第78分钟扩大比分，内马尔直传，桑切斯摆脱瓦拉内后20码处挑射吊过迭戈-洛佩斯入网，2-0
81'外围还是皇马的控球，莫德里奇起球传中还是皮克的解围                   78'巴萨第78分钟扩大比分，内马尔直传，桑切斯摆脱瓦拉内后20码处挑射吊过迭戈-洛佩斯入网，2-0
82'佩佩外围抡一脚，打高了！                   82'第82分钟，佩佩30码外远射稍稍高出
82'时间来到下半场36分钟，巴萨已经2：0领先                   82'第82分钟，佩佩30码外远射稍稍高出
83'阿尔维斯上抢成功，顿一顿再抹向禁区小角度打门被洛佩兹封出                   82'第82分钟，佩佩30码外远射稍稍高出
84'巴萨作出最后一次人员调整，7号佩德罗换下了进球功臣内马尔！                   82'第82分钟，佩佩30码外远射稍稍高出
85'桑切斯前场护下球来再传右路，梅西去追但慢了半拍                   82'第82分钟，佩佩30码外远射稍稍高出
85'莫德里奇带球过了半场，晃过了阿尔维斯，阿尔维斯将他绊倒任意球                   82'第82分钟，佩佩30码外远射稍稍高出
86'阿尔维斯频频犯规，踢倒了莫德里奇                   86'第86分钟，本泽马传球，赫迪拉禁区左侧14码处推射被巴尔德斯没收
87'C罗策动进攻，交给佩佩，佩佩直塞到禁区左侧空档，赫迪拉的打门被巴尔德斯没收！                   86'第86分钟，本泽马传球，赫迪拉禁区左侧14码处推射被巴尔德斯没收
89'C罗左路搓传禁区，巴尔德斯轻松将球没收                   86'第86分钟，本泽马传球，赫迪拉禁区左侧14码处推射被巴尔德斯没收
93'梅西沿底线突破倒三角传到禁区右侧，阿尔维斯打门被莫德里奇挡出底线                   93'第93分钟，梅西禁区左侧传中，阿尔维斯禁区右侧的射门被摩德里奇挡出底线
93'巴萨继续发短角球                   93'第93分钟，梅西禁区左侧传中，阿尔维斯禁区右侧的射门被摩德里奇挡出底线
93'全场比赛结束！                   93'第93分钟，梅西禁区左侧传中，阿尔维斯禁区右侧的射门被摩德里奇挡出底线
