5'不过约翰逊长传球出现了失误，直接传出了底线                   5'第5分钟，唐宁中场抢断后传球，斯图里奇突入禁区右侧18码处劲射偏出
12'这个位置贝尔来打正合适                   11'第11分钟，阿格尔禁区前对登贝莱犯规，贝尔25码处任意球直接射门被琼斯扑出
12'距离球门大约28米左右                   11'第11分钟，阿格尔禁区前对登贝莱犯规，贝尔25码处任意球直接射门被琼斯扑出
12'贝尔！打了一个落叶球！                   11'第11分钟，阿格尔禁区前对登贝莱犯规，贝尔25码处任意球直接射门被琼斯扑出
12'琼斯将球封出了底线                   11'第11分钟，阿格尔禁区前对登贝莱犯规，贝尔25码处任意球直接射门被琼斯扑出
13'贝尔这脚打门球的线路飘忽不定，琼斯的扑救也很小心                   11'第11分钟，阿格尔禁区前对登贝莱犯规，贝尔25码处任意球直接射门被琼斯扑出
13'贝尔角球传中，队友没能抢到头球                   11'第11分钟，阿格尔禁区前对登贝莱犯规，贝尔25码处任意球直接射门被琼斯扑出
14'经过利物浦开场的三板斧之后热刺也逐渐站稳了脚跟                   11'第11分钟，阿格尔禁区前对登贝莱犯规，贝尔25码处任意球直接射门被琼斯扑出
20'杰拉德把球分到了右路                   20'第20分钟，恩里克传球，库蒂尼奥大禁区左上角外的劲射偏出
20'唐宁下底传中，居然是恩里克上来一脚远射                   20'第20分钟，恩里克传球，库蒂尼奥大禁区左上角外的劲射偏出
20'这球是被后卫伸腿挡出了界外                   20'第20分钟，恩里克传球，库蒂尼奥大禁区左上角外的劲射偏出
20'库蒂尼奥内切之后的搓射，打得很贼啊，球朝着球门右上角飞去                   20'第20分钟，恩里克传球，库蒂尼奥大禁区左上角外的劲射偏出
21'可惜没能压住                   20'第20分钟，恩里克传球，库蒂尼奥大禁区左上角外的劲射偏出
21'苏亚雷斯！                   20'第20分钟，恩里克传球，库蒂尼奥大禁区左上角外的劲射偏出
22'不愧是苏神！                   20'第20分钟，恩里克传球，库蒂尼奥大禁区左上角外的劲射偏出
22'本赛季第22个进球                   20'第20分钟，恩里克传球，库蒂尼奥大禁区左上角外的劲射偏出
23'恩里克助攻上来，直传小禁区！苏亚雷斯包抄到位小角度推射！洛里出击没能封住自己的近角                   20'第20分钟，恩里克传球，库蒂尼奥大禁区左上角外的劲射偏出
23'苏亚雷斯把握机会的能力确实太牛了                   20'第20分钟，恩里克传球，库蒂尼奥大禁区左上角外的劲射偏出
23'这下比赛要好看了                   20'第20分钟，恩里克传球，库蒂尼奥大禁区左上角外的劲射偏出
23'两队上一次英超中交锋是利物浦客场1比2输给了热刺                   20'第20分钟，恩里克传球，库蒂尼奥大禁区左上角外的劲射偏出
25'热刺这边获得了一个角球                   25'第25分钟，登贝莱传球，西古德森禁区右侧的射门被封堵
25'还是交给贝尔来处理                   25'第25分钟，登贝莱传球，西古德森禁区右侧的射门被封堵
26'传后点，琼斯将球摘了下来                   25'第25分钟，登贝莱传球，西古德森禁区右侧的射门被封堵
27'斯图里奇大范围转移，唐宁在右路往底线走                   25'第25分钟，登贝莱传球，西古德森禁区右侧的射门被封堵
27'传中球又是被道森解围出去                   25'第25分钟，登贝莱传球，西古德森禁区右侧的射门被封堵
27'豪放的Life:球心啊，我想问一下。你们都是NBA和英超西甲都图文解说吗？---对啊                   25'第25分钟，登贝莱传球，西古德森禁区右侧的射门被封堵
27'苏亚雷斯再次觅得机会                   25'第25分钟，登贝莱传球，西古德森禁区右侧的射门被封堵
27'右路撞墙式配合之后下底传中                   25'第25分钟，登贝莱传球，西古德森禁区右侧的射门被封堵
28'还好是洛里斯伸手挡了一下                   25'第25分钟，登贝莱传球，西古德森禁区右侧的射门被封堵
28'利维摩尔放倒了苏亚雷斯                   25'第25分钟，登贝莱传球，西古德森禁区右侧的射门被封堵
28'利物浦快速开出定位球，裁判吹哨了                   25'第25分钟，登贝莱传球，西古德森禁区右侧的射门被封堵
34'贝尔回撤来接球，自己打远射了！                   34'第34分钟，帕克传球，贝尔30码外远射高出
34'贝尔这脚射门没能压住，飞向了看台                   34'第34分钟，帕克传球，贝尔30码外远射高出
35'贝尔利用超强的个人能力，杀入了禁区                   34'第34分钟，帕克传球，贝尔30码外远射高出
35'最后在恩里克的逼抢下贝尔打门偏出了门框                   34'第34分钟，帕克传球，贝尔30码外远射高出
36'苏亚雷斯中场争抢头球，倒地的时候腰部着地                   34'第34分钟，帕克传球，贝尔30码外远射高出
36'还好问题不大                   34'第34分钟，帕克传球，贝尔30码外远射高出
37'西古德森！禁区弧顶处的右脚打门，好险                   34'第34分钟，帕克传球，贝尔30码外远射高出
37'这球擦着左侧立柱飞出底线                   34'第34分钟，帕克传球，贝尔30码外远射高出
37'西古德森！禁区弧顶处的右脚打门，好险                   37'第37分钟，贝尔脚后跟传球，西古德森禁区边缘推射偏出左侧立柱
37'这球擦着左侧立柱飞出底线                   37'第37分钟，贝尔脚后跟传球，西古德森禁区边缘推射偏出左侧立柱
38'库蒂尼奥回传球给得让后卫有些不知所措                   37'第37分钟，贝尔脚后跟传球，西古德森禁区边缘推射偏出左侧立柱
38'长传球回传速度太慢，卡拉格停球出现了失误                   37'第37分钟，贝尔脚后跟传球，西古德森禁区边缘推射偏出左侧立柱
38'但是迪福紧跟着也是传球失误                   37'第37分钟，贝尔脚后跟传球，西古德森禁区边缘推射偏出左侧立柱
38'反抢的时候西古德森被吹了犯规                   37'第37分钟，贝尔脚后跟传球，西古德森禁区边缘推射偏出左侧立柱
38'苏亚雷斯不断的倒地                   37'第37分钟，贝尔脚后跟传球，西古德森禁区边缘推射偏出左侧立柱
39'裁判毫不为止所动，只有一次是吹了对方球员犯规                   37'第37分钟，贝尔脚后跟传球，西古德森禁区边缘推射偏出左侧立柱
39'斯图里奇，禁区角上打门射得太正                   37'第37分钟，贝尔脚后跟传球，西古德森禁区边缘推射偏出左侧立柱
39'不知道他究竟是打门呢还是传球呢                   37'第37分钟，贝尔脚后跟传球，西古德森禁区边缘推射偏出左侧立柱
40'机会并不是太好，还是太独了些                   37'第37分钟，贝尔脚后跟传球，西古德森禁区边缘推射偏出左侧立柱
40'埃克托压上助攻，尝试了一脚远射！                   37'第37分钟，贝尔脚后跟传球，西古德森禁区边缘推射偏出左侧立柱
40'打得太正，对琼斯来说威胁不大                   37'第37分钟，贝尔脚后跟传球，西古德森禁区边缘推射偏出左侧立柱
40'机会并不是太好，还是太独了些                   40'第40分钟，埃克托左路禁区边缘的劲射也被琼斯稳稳没收
40'埃克托压上助攻，尝试了一脚远射！                   40'第40分钟，埃克托左路禁区边缘的劲射也被琼斯稳稳没收
40'打得太正，对琼斯来说威胁不大                   40'第40分钟，埃克托左路禁区边缘的劲射也被琼斯稳稳没收
41'苏亚雷斯是场上招到对方侵犯最多的球员                   40'第40分钟，埃克托左路禁区边缘的劲射也被琼斯稳稳没收
42'裁判叫过来两队的队长，警告了一下球员动作不要太大                   40'第40分钟，埃克托左路禁区边缘的劲射也被琼斯稳稳没收
43'贝尔争抢头球的时候被杰拉德在身后撞倒                   40'第40分钟，埃克托左路禁区边缘的劲射也被琼斯稳稳没收
43'才警告了两队的队长，这下杰拉德是撞枪口上了                   40'第40分钟，埃克托左路禁区边缘的劲射也被琼斯稳稳没收
45'贝尔自己站了起来，看起来没有问题                   45'热刺第45分钟扳平比分，贝尔右路传中，维尔通亨小禁区前抢在格伦-约翰逊之前头球破门
45'热刺的定位球传中被后卫解围                   45'热刺第45分钟扳平比分，贝尔右路传中，维尔通亨小禁区前抢在格伦-约翰逊之前头球破门
45'贝尔！！！                   45'热刺第45分钟扳平比分，贝尔右路传中，维尔通亨小禁区前抢在格伦-约翰逊之前头球破门
46'进球的是维尔通亨？                   45'热刺第45分钟扳平比分，贝尔右路传中，维尔通亨小禁区前抢在格伦-约翰逊之前头球破门
46'贝尔边路传中，维尔通亨在后点冲顶！是个反弹球，距离太近让琼斯触不及防                   45'热刺第45分钟扳平比分，贝尔右路传中，维尔通亨小禁区前抢在格伦-约翰逊之前头球破门
47'上半场要补时3分钟                   45'热刺第45分钟扳平比分，贝尔右路传中，维尔通亨小禁区前抢在格伦-约翰逊之前头球破门
47'苏亚雷斯又一次被吹越位                   45'热刺第45分钟扳平比分，贝尔右路传中，维尔通亨小禁区前抢在格伦-约翰逊之前头球破门
48'蜡烛小新v:裁判是谁，这么坏---奥利弗                   45'热刺第45分钟扳平比分，贝尔右路传中，维尔通亨小禁区前抢在格伦-约翰逊之前头球破门
46'下半场比赛开始                   45'热刺第45分钟扳平比分，贝尔右路传中，维尔通亨小禁区前抢在格伦-约翰逊之前头球破门
47'斯图尝试跟苏亚雷斯撞墙式配合                   45'热刺第45分钟扳平比分，贝尔右路传中，维尔通亨小禁区前抢在格伦-约翰逊之前头球破门
47'苏亚雷斯给球没处理好，被维尔通亨解围出去                   45'热刺第45分钟扳平比分，贝尔右路传中，维尔通亨小禁区前抢在格伦-约翰逊之前头球破门
47'库蒂尼奥今天在左路很活跃啊                   45'热刺第45分钟扳平比分，贝尔右路传中，维尔通亨小禁区前抢在格伦-约翰逊之前头球破门
48'相比之下唐宁太沉寂了                   45'热刺第45分钟扳平比分，贝尔右路传中，维尔通亨小禁区前抢在格伦-约翰逊之前头球破门
48'比赛中很少能够看到利物浦的19号                   45'热刺第45分钟扳平比分，贝尔右路传中，维尔通亨小禁区前抢在格伦-约翰逊之前头球破门
48'西古德森左路传中，被阿格伸腿挡了一下                   45'热刺第45分钟扳平比分，贝尔右路传中，维尔通亨小禁区前抢在格伦-约翰逊之前头球破门
48'琼斯出击将球没收                   45'热刺第45分钟扳平比分，贝尔右路传中，维尔通亨小禁区前抢在格伦-约翰逊之前头球破门
48'手抛球差点被贝尔抢断                   45'热刺第45分钟扳平比分，贝尔右路传中，维尔通亨小禁区前抢在格伦-约翰逊之前头球破门
56'维尔通亨防守犯规                   56'第56分钟，维尔通亨手球犯规被罚黄牌
56'裁判掏出了黄牌                   56'第56分钟，维尔通亨手球犯规被罚黄牌
57'这个吹罚有些疑问那                   56'第56分钟，维尔通亨手球犯规被罚黄牌
57'维尔通亨貌似是用左肩碰到的皮球                   56'第56分钟，维尔通亨手球犯规被罚黄牌
57'立柱！挽救了利物浦                   56'第56分钟，维尔通亨手球犯规被罚黄牌
57'贝尔超快的速度，硬吃利物浦两中卫                   56'第56分钟，维尔通亨手球犯规被罚黄牌
58'右路下底传中，西古德森停球之后的打门击中了立柱                   56'第56分钟，维尔通亨手球犯规被罚黄牌
58'热刺的角球，传中被对方后卫解围了                   56'第56分钟，维尔通亨手球犯规被罚黄牌
58'热刺越战越勇                   56'第56分钟，维尔通亨手球犯规被罚黄牌
58'迪福禁区内转身打门！放了一个高射炮                   56'第56分钟，维尔通亨手球犯规被罚黄牌
59'利物浦急需要调整一下了                   56'第56分钟，维尔通亨手球犯规被罚黄牌
59'下半场他们还没有一次攻门                   56'第56分钟，维尔通亨手球犯规被罚黄牌
59'利物浦换下库蒂尼奥                   56'第56分钟，维尔通亨手球犯规被罚黄牌
59'换上了阿伦                   56'第56分钟，维尔通亨手球犯规被罚黄牌
59'库蒂尼奥今天表现还不错啊，就这么下去了                   56'第56分钟，维尔通亨手球犯规被罚黄牌
46'进球的是维尔通亨？                   46'1分钟后，帕克传球，迪福禁区边缘内转身射门偏出
46'贝尔边路传中，维尔通亨在后点冲顶！是个反弹球，距离太近让琼斯触不及防                   46'1分钟后，帕克传球，迪福禁区边缘内转身射门偏出
47'上半场要补时3分钟                   46'1分钟后，帕克传球，迪福禁区边缘内转身射门偏出
47'苏亚雷斯又一次被吹越位                   46'1分钟后，帕克传球，迪福禁区边缘内转身射门偏出
48'蜡烛小新v:裁判是谁，这么坏---奥利弗                   46'1分钟后，帕克传球，迪福禁区边缘内转身射门偏出
46'下半场比赛开始                   46'1分钟后，帕克传球，迪福禁区边缘内转身射门偏出
47'斯图尝试跟苏亚雷斯撞墙式配合                   46'1分钟后，帕克传球，迪福禁区边缘内转身射门偏出
47'苏亚雷斯给球没处理好，被维尔通亨解围出去                   46'1分钟后，帕克传球，迪福禁区边缘内转身射门偏出
47'库蒂尼奥今天在左路很活跃啊                   46'1分钟后，帕克传球，迪福禁区边缘内转身射门偏出
48'相比之下唐宁太沉寂了                   46'1分钟后，帕克传球，迪福禁区边缘内转身射门偏出
48'比赛中很少能够看到利物浦的19号                   46'1分钟后，帕克传球，迪福禁区边缘内转身射门偏出
48'西古德森左路传中，被阿格伸腿挡了一下                   46'1分钟后，帕克传球，迪福禁区边缘内转身射门偏出
48'琼斯出击将球没收                   46'1分钟后，帕克传球，迪福禁区边缘内转身射门偏出
48'手抛球差点被贝尔抢断                   46'1分钟后，帕克传球，迪福禁区边缘内转身射门偏出
49'杰拉德长传球想过对方后卫头顶，被利维摩尔拦截了下来                   46'1分钟后，帕克传球，迪福禁区边缘内转身射门偏出
60'登贝莱禁区外远射，居然没人上来封堵了                   60'第60分钟，利弗莫尔传球，登贝莱远射被琼斯扑出
60'打得太正被琼斯扑出                   60'第60分钟，利弗莫尔传球，登贝莱远射被琼斯扑出
60'利物浦的防守漏洞百出                   60'第60分钟，利弗莫尔传球，登贝莱远射被琼斯扑出
63'利物浦今天两条边路只有左路还有点攻势                   60'第60分钟，利弗莫尔传球，登贝莱远射被琼斯扑出
63'右边的约翰逊跟唐宁才是最需要调整一下的                   60'第60分钟，利弗莫尔传球，登贝莱远射被琼斯扑出
63'约翰逊被帕克抢断，热刺控一下球                   60'第60分钟，利弗莫尔传球，登贝莱远射被琼斯扑出
70'利物浦这边也获得了一次角球机会                   70'第70分钟，热刺解围角球，恩里克远射偏出
70'杰拉德传中，被沃克尔抢到了头球                   70'第70分钟，热刺解围角球，恩里克远射偏出
70'恩里克禁区外直接远射，球打偏了一些                   70'第70分钟，热刺解围角球，恩里克远射偏出
71'斯图里奇硬往底线抹，道森在身体对抗上并不吃亏                   70'第70分钟，热刺解围角球，恩里克远射偏出
71'斯图里奇最后还是把球给带丢了                   70'第70分钟，热刺解围角球，恩里克远射偏出
71'想看直播:利物浦右路无工势啊---几乎没有攻势，唐宁绝对好运气                   70'第70分钟，热刺解围角球，恩里克远射偏出
73'唐宁少见的边路突破，右脚起球传中                   70'第70分钟，热刺解围角球，恩里克远射偏出
75'热刺换到边路，沃克尔传中！                   75'第75分钟，沃克尔右路传中，贝尔12码处头球攻门偏出
75'又是贝尔点球点上头球攻门，球擦着左侧立柱飞出底线                   75'第75分钟，沃克尔右路传中，贝尔12码处头球攻门偏出
77'唐宁45度传中，落点不错                   75'第75分钟，沃克尔右路传中，贝尔12码处头球攻门偏出
77'斯图里奇禁区内停球后有个跳水动作                   75'第75分钟，沃克尔右路传中，贝尔12码处头球攻门偏出
77'动作太夸张了                   75'第75分钟，沃克尔右路传中，贝尔12码处头球攻门偏出
78'道森向裁判抗议斯图里奇假摔，裁判也没有理会                   75'第75分钟，沃克尔右路传中，贝尔12码处头球攻门偏出
78'杰拉德长传送入禁区，洛里斯出击将球没收                   75'第75分钟，沃克尔右路传中，贝尔12码处头球攻门偏出
82'这次定位球传中，热刺解围也出现了失误                   82'利物浦第82分钟再度领先，迪福回传，苏亚雷斯禁区左侧拿球在埃克托防守下摔倒，杰拉德主罚点球命中
82'苏亚雷斯被埃克托绊倒，点球！                   82'利物浦第82分钟再度领先，迪福回传，苏亚雷斯禁区左侧拿球在埃克托防守下摔倒，杰拉德主罚点球命中
82'杰拉德！！！                   82'利物浦第82分钟再度领先，迪福回传，苏亚雷斯禁区左侧拿球在埃克托防守下摔倒，杰拉德主罚点球命中
82'点球骗过了门将，罚向球门右下角                   82'利物浦第82分钟再度领先，迪福回传，苏亚雷斯禁区左侧拿球在埃克托防守下摔倒，杰拉德主罚点球命中
82'都说利物浦的防守不好，热刺也好不到哪里去                   82'利物浦第82分钟再度领先，迪福回传，苏亚雷斯禁区左侧拿球在埃克托防守下摔倒，杰拉德主罚点球命中
83'后面两个丢球都是来自于热刺自己的失误                   82'利物浦第82分钟再度领先，迪福回传，苏亚雷斯禁区左侧拿球在埃克托防守下摔倒，杰拉德主罚点球命中
84'霍尔特比上场了                   82'利物浦第82分钟再度领先，迪福回传，苏亚雷斯禁区左侧拿球在埃克托防守下摔倒，杰拉德主罚点球命中
84'热刺获得了一个远距离的前场定位球                   82'利物浦第82分钟再度领先，迪福回传，苏亚雷斯禁区左侧拿球在埃克托防守下摔倒，杰拉德主罚点球命中
84'贝尔直接打门！距离太远了                   82'利物浦第82分钟再度领先，迪福回传，苏亚雷斯禁区左侧拿球在埃克托防守下摔倒，杰拉德主罚点球命中
85'虽然打门质量很高，但是距离球门太远，几乎是没什么威胁                   82'利物浦第82分钟再度领先，迪福回传，苏亚雷斯禁区左侧拿球在埃克托防守下摔倒，杰拉德主罚点球命中
84'霍尔特比上场了                   84'第84分钟，卡拉格对贝尔犯规被罚黄牌，贝尔40码外任意球远射稍稍高出门楣
84'热刺获得了一个远距离的前场定位球                   84'第84分钟，卡拉格对贝尔犯规被罚黄牌，贝尔40码外任意球远射稍稍高出门楣
84'贝尔直接打门！距离太远了                   84'第84分钟，卡拉格对贝尔犯规被罚黄牌，贝尔40码外任意球远射稍稍高出门楣
85'虽然打门质量很高，但是距离球门太远，几乎是没什么威胁                   84'第84分钟，卡拉格对贝尔犯规被罚黄牌，贝尔40码外任意球远射稍稍高出门楣
86'又有点球吗？                   84'第84分钟，卡拉格对贝尔犯规被罚黄牌，贝尔40码外任意球远射稍稍高出门楣
86'维尔通亨铲倒了约翰逊                   84'第84分钟，卡拉格对贝尔犯规被罚黄牌，贝尔40码外任意球远射稍稍高出门楣
87'裁判犹豫了一下，没给                   84'第84分钟，卡拉格对贝尔犯规被罚黄牌，贝尔40码外任意球远射稍稍高出门楣
