3'李学鹏回防卡位，将球护送给出击的曾诚                   3'第3分钟，恒大自左翼至中路经多人形成流畅传递，古德利劲射打高
10'亚泰的前场进攻，伊哈洛拿球进入禁区                   10'第10分钟，亚泰右路长传将球打到恒大防线身后，伊哈洛禁区内扣球摆脱张成林，面对门将攻门被曾诚挡起，皮球下落时击中横梁上沿，裁判同时判定门前抢点的谭龙侵犯门将
11'面对回防的张成林，一扣摆脱                   10'第10分钟，亚泰右路长传将球打到恒大防线身后，伊哈洛禁区内扣球摆脱张成林，面对门将攻门被曾诚挡起，皮球下落时击中横梁上沿，裁判同时判定门前抢点的谭龙侵犯门将
11'起左脚抽射，被曾诚封堵                   10'第10分钟，亚泰右路长传将球打到恒大防线身后，伊哈洛禁区内扣球摆脱张成林，面对门将攻门被曾诚挡起，皮球下落时击中横梁上沿，裁判同时判定门前抢点的谭龙侵犯门将
11'球弹向球门，谭龙插上再想补射                   10'第10分钟，亚泰右路长传将球打到恒大防线身后，伊哈洛禁区内扣球摆脱张成林，面对门将攻门被曾诚挡起，皮球下落时击中横梁上沿，裁判同时判定门前抢点的谭龙侵犯门将
11'和回防到门线的曾诚相撞，裁判吹罚谭龙冲撞门将犯规！                   10'第10分钟，亚泰右路长传将球打到恒大防线身后，伊哈洛禁区内扣球摆脱张成林，面对门将攻门被曾诚挡起，皮球下落时击中横梁上沿，裁判同时判定门前抢点的谭龙侵犯门将
11'这是双方开场距离进球最近的一次！！                   10'第10分钟，亚泰右路长传将球打到恒大防线身后，伊哈洛禁区内扣球摆脱张成林，面对门将攻门被曾诚挡起，皮球下落时击中横梁上沿，裁判同时判定门前抢点的谭龙侵犯门将
12'亚泰前场右路的进攻，李学鹏将球破坏出边线                   10'第10分钟，亚泰右路长传将球打到恒大防线身后，伊哈洛禁区内扣球摆脱张成林，面对门将攻门被曾诚挡起，皮球下落时击中横梁上沿，裁判同时判定门前抢点的谭龙侵犯门将
12'蒋哲的界外球大力掷到禁区找伊哈洛                   10'第10分钟，亚泰右路长传将球打到恒大防线身后，伊哈洛禁区内扣球摆脱张成林，面对门将攻门被曾诚挡起，皮球下落时击中横梁上沿，裁判同时判定门前抢点的谭龙侵犯门将
12'伊哈洛胸部停球，转身遭遇张成林和李学鹏的双人夹击                   10'第10分钟，亚泰右路长传将球打到恒大防线身后，伊哈洛禁区内扣球摆脱张成林，面对门将攻门被曾诚挡起，皮球下落时击中横梁上沿，裁判同时判定门前抢点的谭龙侵犯门将
13'裁判哨响，原来伊哈洛停球时手球违例了！                   10'第10分钟，亚泰右路长传将球打到恒大防线身后，伊哈洛禁区内扣球摆脱张成林，面对门将攻门被曾诚挡起，皮球下落时击中横梁上沿，裁判同时判定门前抢点的谭龙侵犯门将
13'蒋哲右路拿球，面对高拉特的比钱                   10'第10分钟，亚泰右路长传将球打到恒大防线身后，伊哈洛禁区内扣球摆脱张成林，面对门将攻门被曾诚挡起，皮球下落时击中横梁上沿，裁判同时判定门前抢点的谭龙侵犯门将
13'逼抢。。                   10'第10分钟，亚泰右路长传将球打到恒大防线身后，伊哈洛禁区内扣球摆脱张成林，面对门将攻门被曾诚挡起，皮球下落时击中横梁上沿，裁判同时判定门前抢点的谭龙侵犯门将
13'回传给到孙捷                   10'第10分钟，亚泰右路长传将球打到恒大防线身后，伊哈洛禁区内扣球摆脱张成林，面对门将攻门被曾诚挡起，皮球下落时击中横梁上沿，裁判同时判定门前抢点的谭龙侵犯门将
17'大脚长传找左前场的范晓冬，直接出了边线                   17'第17分钟，张文钊快速发出前场任意球，郜林策动中路渗透，杨立瑜攻门被亚泰防线封堵，高拉特禁区内再射将球打飞
17'恒大前场进攻，郜林中路拿球                   17'第17分钟，张文钊快速发出前场任意球，郜林策动中路渗透，杨立瑜攻门被亚泰防线封堵，高拉特禁区内再射将球打飞
17'直塞禁区弧内的杨立瑜                   17'第17分钟，张文钊快速发出前场任意球，郜林策动中路渗透，杨立瑜攻门被亚泰防线封堵，高拉特禁区内再射将球打飞
17'杨立瑜停球没停好，再奋力拿到                   17'第17分钟，张文钊快速发出前场任意球，郜林策动中路渗透，杨立瑜攻门被亚泰防线封堵，高拉特禁区内再射将球打飞
18'调整一下，起脚打门，打在防守球员身上弹起                   17'第17分钟，张文钊快速发出前场任意球，郜林策动中路渗透，杨立瑜攻门被亚泰防线封堵，高拉特禁区内再射将球打飞
18'球到禁区，高拉特的凌空打门，踢飞！！                   17'第17分钟，张文钊快速发出前场任意球，郜林策动中路渗透，杨立瑜攻门被亚泰防线封堵，高拉特禁区内再射将球打飞
18'伊哈洛禁区右侧拿球，面对两人防守                   17'第17分钟，张文钊快速发出前场任意球，郜林策动中路渗透，杨立瑜攻门被亚泰防线封堵，高拉特禁区内再射将球打飞
18'虚晃强突，下底传中到后点                   17'第17分钟，张文钊快速发出前场任意球，郜林策动中路渗透，杨立瑜攻门被亚泰防线封堵，高拉特禁区内再射将球打飞
19'张力插上再抢出击的曾诚之前将球拿到                   17'第17分钟，张文钊快速发出前场任意球，郜林策动中路渗透，杨立瑜攻门被亚泰防线封堵，高拉特禁区内再射将球打飞
19'回传给跟进的范晓冬                   17'第17分钟，张文钊快速发出前场任意球，郜林策动中路渗透，杨立瑜攻门被亚泰防线封堵，高拉特禁区内再射将球打飞
19'范晓冬带球强突，小角度打门，打在了门后的广告牌上                   17'第17分钟，张文钊快速发出前场任意球，郜林策动中路渗透，杨立瑜攻门被亚泰防线封堵，高拉特禁区内再射将球打飞
20'古德利后场拿球，伊哈洛身后上抢，拉人犯规！                   17'第17分钟，张文钊快速发出前场任意球，郜林策动中路渗透，杨立瑜攻门被亚泰防线封堵，高拉特禁区内再射将球打飞
20'张成林后场左路拿球，斜传球到前场右路找插上的张琳芃                   17'第17分钟，张文钊快速发出前场任意球，郜林策动中路渗透，杨立瑜攻门被亚泰防线封堵，高拉特禁区内再射将球打飞
20'张琳芃头球顶到中路，范晓冬拦截回传                   17'第17分钟，张文钊快速发出前场任意球，郜林策动中路渗透，杨立瑜攻门被亚泰防线封堵，高拉特禁区内再射将球打飞
20'维贝拿球，转身再给过顶                   17'第17分钟，张文钊快速发出前场任意球，郜林策动中路渗透，杨立瑜攻门被亚泰防线封堵，高拉特禁区内再射将球打飞
39'张文钊和范晓冬有些拉扯，裁判过去警告张文钊一下                   39'第39分钟，蒋哲右路送出斜传，伊哈洛禁区内冲顶顶偏
39'张笑飞左侧任意球给到维贝                   39'第39分钟，蒋哲右路送出斜传，伊哈洛禁区内冲顶顶偏
39'再给右路前插的蒋哲                   39'第39分钟，蒋哲右路送出斜传，伊哈洛禁区内冲顶顶偏
39'蒋哲右路45度斜传球到禁区                   39'第39分钟，蒋哲右路送出斜传，伊哈洛禁区内冲顶顶偏
40'伊哈洛的甩头轰门，球擦着立柱出了底线！                   39'第39分钟，蒋哲右路送出斜传，伊哈洛禁区内冲顶顶偏
40'这球再次让恒大防线心里咯噔一下啊                   39'第39分钟，蒋哲右路送出斜传，伊哈洛禁区内冲顶顶偏
40'郜林前场左路拿球，横切到禁区弧附近                   39'第39分钟，蒋哲右路送出斜传，伊哈洛禁区内冲顶顶偏
40'补防的伊斯梅洛夫上抢解围，绊倒了郜林，犯规                   39'第39分钟，蒋哲右路送出斜传，伊哈洛禁区内冲顶顶偏
41'恒大获得了大禁区弧外一点点位置的任意球                   39'第39分钟，蒋哲右路送出斜传，伊哈洛禁区内冲顶顶偏
41'古德利和黄博文站在球前，看看谁罚                   39'第39分钟，蒋哲右路送出斜传，伊哈洛禁区内冲顶顶偏
41'黄博文的任意球直接轰门                   39'第39分钟，蒋哲右路送出斜传，伊哈洛禁区内冲顶顶偏
41'越过人墙，直奔球门左下方                   39'第39分钟，蒋哲右路送出斜传，伊哈洛禁区内冲顶顶偏
41'吴亚轲的侧扑，将球封堵出了底线！！                   39'第39分钟，蒋哲右路送出斜传，伊哈洛禁区内冲顶顶偏
42'恒大获得左侧角球机会！！                   39'第39分钟，蒋哲右路送出斜传，伊哈洛禁区内冲顶顶偏
42'角球开出到禁区，第一点被解围                   39'第39分钟，蒋哲右路送出斜传，伊哈洛禁区内冲顶顶偏
42'冯潇霆外围拿球，再传禁区，被挡出                   39'第39分钟，蒋哲右路送出斜传，伊哈洛禁区内冲顶顶偏
42'张笑飞中线位置的头球解围                   39'第39分钟，蒋哲右路送出斜传，伊哈洛禁区内冲顶顶偏
47'维贝左路拿球，急速强突                   47'第47分钟，亚泰再次形成威胁攻势：维贝左路快进传中，伊哈洛在错过门前包抄落点后迅速在右侧将球传回，谭龙甩头攻门角度极刁，皮球击中立柱
47'摆脱恒大多人防守，突破到禁区                   47'第47分钟，亚泰再次形成威胁攻势：维贝左路快进传中，伊哈洛在错过门前包抄落点后迅速在右侧将球传回，谭龙甩头攻门角度极刁，皮球击中立柱
48'横传门前，后点的伊哈洛慢了点                   47'第47分钟，亚泰再次形成威胁攻势：维贝左路快进传中，伊哈洛在错过门前包抄落点后迅速在右侧将球传回，谭龙甩头攻门角度极刁，皮球击中立柱
48'球到远端，伊哈洛奋力拿到                   47'第47分钟，亚泰再次形成威胁攻势：维贝左路快进传中，伊哈洛在错过门前包抄落点后迅速在右侧将球传回，谭龙甩头攻门角度极刁，皮球击中立柱
48'下底传中门前，谭龙的头球轰门，顶偏                   47'第47分钟，亚泰再次形成威胁攻势：维贝左路快进传中，伊哈洛在错过门前包抄落点后迅速在右侧将球传回，谭龙甩头攻门角度极刁，皮球击中立柱
48'亚泰再次错失了进球良机！！                   47'第47分钟，亚泰再次形成威胁攻势：维贝左路快进传中，伊哈洛在错过门前包抄落点后迅速在右侧将球传回，谭龙甩头攻门角度极刁，皮球击中立柱
48'维贝之前的横传，伊哈洛再快一点，碰到就必进无疑啊                   47'第47分钟，亚泰再次形成威胁攻势：维贝左路快进传中，伊哈洛在错过门前包抄落点后迅速在右侧将球传回，谭龙甩头攻门角度极刁，皮球击中立柱
49'高拉特中场接应，何超身后放铲，犯规！                   47'第47分钟，亚泰再次形成威胁攻势：维贝左路快进传中，伊哈洛在错过门前包抄落点后迅速在右侧将球传回，谭龙甩头攻门角度极刁，皮球击中立柱
49'张琳芃前场右路拿球，强突造成维贝的犯规                   47'第47分钟，亚泰再次形成威胁攻势：维贝左路快进传中，伊哈洛在错过门前包抄落点后迅速在右侧将球传回，谭龙甩头攻门角度极刁，皮球击中立柱
49'恒大获得前场右路的任意球机会！！                   47'第47分钟，亚泰再次形成威胁攻势：维贝左路快进传中，伊哈洛在错过门前包抄落点后迅速在右侧将球传回，谭龙甩头攻门角度极刁，皮球击中立柱
50'古德利任意球斜传到前点，被蒋哲解围                   47'第47分钟，亚泰再次形成威胁攻势：维贝左路快进传中，伊哈洛在错过门前包抄落点后迅速在右侧将球传回，谭龙甩头攻门角度极刁，皮球击中立柱
50'伊哈洛再拿，分球张力                   47'第47分钟，亚泰再次形成威胁攻势：维贝左路快进传中，伊哈洛在错过门前包抄落点后迅速在右侧将球传回，谭龙甩头攻门角度极刁，皮球击中立柱
50'张力拿球反击，分球何超                   47'第47分钟，亚泰再次形成威胁攻势：维贝左路快进传中，伊哈洛在错过门前包抄落点后迅速在右侧将球传回，谭龙甩头攻门角度极刁，皮球击中立柱
52'冯潇霆后场拿球，直塞给到高拉特                   52'第52分钟，恒大取得入球：高拉特将球分到左侧空档，郜林起脚攻门，皮球碰蒋哲肩部后折线，击中立柱内侧入网
53'再给张文钊，回传高拉特                   52'第52分钟，恒大取得入球：高拉特将球分到左侧空档，郜林起脚攻门，皮球碰蒋哲肩部后折线，击中立柱内侧入网
53'分球左侧给郜林                   52'第52分钟，恒大取得入球：高拉特将球分到左侧空档，郜林起脚攻门，皮球碰蒋哲肩部后折线，击中立柱内侧入网
53'进球啦，1-0！！！                   52'第52分钟，恒大取得入球：高拉特将球分到左侧空档，郜林起脚攻门，皮球碰蒋哲肩部后折线，击中立柱内侧入网
53'郜林的远射，破门！！                   52'第52分钟，恒大取得入球：高拉特将球分到左侧空档，郜林起脚攻门，皮球碰蒋哲肩部后折线，击中立柱内侧入网
54'郜林前场拿球，横切遭遇夹击，分球左侧给郜林，郜林趟球无人逼抢，禁区外尝试远射，球击中左侧立柱内弹进网窝！                   52'第52分钟，恒大取得入球：高拉特将球分到左侧空档，郜林起脚攻门，皮球碰蒋哲肩部后折线，击中立柱内侧入网
54'亚泰后场抢断，范晓冬拿球反击                   52'第52分钟，恒大取得入球：高拉特将球分到左侧空档，郜林起脚攻门，皮球碰蒋哲肩部后折线，击中立柱内侧入网
55'带球到中圈附近，回防的张成林身后放铲，犯规                   52'第52分钟，恒大取得入球：高拉特将球分到左侧空档，郜林起脚攻门，皮球碰蒋哲肩部后折线，击中立柱内侧入网
55'张成林被主裁判出示了黄牌警告！！                   52'第52分钟，恒大取得入球：高拉特将球分到左侧空档，郜林起脚攻门，皮球碰蒋哲肩部后折线，击中立柱内侧入网
60'2-0！！                   60'第60分钟，恒大将比分扩大为2-0：郜林左侧送出高水准传中，皮球越过门将控制范围，包抄到位的高拉特轻松头球破门
60'高拉特头球建功！                   60'第60分钟，恒大将比分扩大为2-0：郜林左侧送出高水准传中，皮球越过门将控制范围，包抄到位的高拉特轻松头球破门
61'高拉特前场中路拿球，突破到禁区弧顶，分球左侧给郜林，郜林面对蒋哲，强突两步，传中到门前，高拉特插上门前抢点，顶进网窝！！！                   60'第60分钟，恒大将比分扩大为2-0：郜林左侧送出高水准传中，皮球越过门将控制范围，包抄到位的高拉特轻松头球破门
62'亚泰前场进攻，赢得右侧角球机会！！                   60'第60分钟，恒大将比分扩大为2-0：郜林左侧送出高水准传中，皮球越过门将控制范围，包抄到位的高拉特轻松头球破门
62'杜震宇角球开出到禁区，冯潇霆的头球解围                   60'第60分钟，恒大将比分扩大为2-0：郜林左侧送出高水准传中，皮球越过门将控制范围，包抄到位的高拉特轻松头球破门
62'恒大准备反击，阿兰前插接应，越位在先！                   60'第60分钟，恒大将比分扩大为2-0：郜林左侧送出高水准传中，皮球越过门将控制范围，包抄到位的高拉特轻松头球破门
63'亚泰前场右路的任意球机会！！                   60'第60分钟，恒大将比分扩大为2-0：郜林左侧送出高水准传中，皮球越过门将控制范围，包抄到位的高拉特轻松头球破门
63'杜震宇主罚，斜传到禁区中路                   60'第60分钟，恒大将比分扩大为2-0：郜林左侧送出高水准传中，皮球越过门将控制范围，包抄到位的高拉特轻松头球破门
63'曾诚出击，和回防解围的冯潇霆相撞                   60'第60分钟，恒大将比分扩大为2-0：郜林左侧送出高水准传中，皮球越过门将控制范围，包抄到位的高拉特轻松头球破门
63'球被打了出来！！                   60'第60分钟，恒大将比分扩大为2-0：郜林左侧送出高水准传中，皮球越过门将控制范围，包抄到位的高拉特轻松头球破门
63'禁区外围的张力起脚撩射，出底线！                   60'第60分钟，恒大将比分扩大为2-0：郜林左侧送出高水准传中，皮球越过门将控制范围，包抄到位的高拉特轻松头球破门
63'冯潇霆受伤倒地，简单休息后，起身继续比赛！                   60'第60分钟，恒大将比分扩大为2-0：郜林左侧送出高水准传中，皮球越过门将控制范围，包抄到位的高拉特轻松头球破门
65'禁区左侧起脚低射，球滑门而过，出了右侧底线！                   65'无法把握得分机会的亚泰再度受到惩罚，恒大在第65分钟又收获入球：张文钊禁区右侧似传似射，高拉特在小禁区内前插接力，他以头球收获本赛季第3粒中超入球，算上亚冠赛事，高拉特收获近3场比赛的第7粒入球
65'李学鹏左路抢断，斜塞禁区找阿兰                   65'无法把握得分机会的亚泰再度受到惩罚，恒大在第65分钟又收获入球：张文钊禁区右侧似传似射，高拉特在小禁区内前插接力，他以头球收获本赛季第3粒中超入球，算上亚冠赛事，高拉特收获近3场比赛的第7粒入球
65'何超回防卡位，挡住了阿兰                   65'无法把握得分机会的亚泰再度受到惩罚，恒大在第65分钟又收获入球：张文钊禁区右侧似传似射，高拉特在小禁区内前插接力，他以头球收获本赛季第3粒中超入球，算上亚冠赛事，高拉特收获近3场比赛的第7粒入球
65'阿兰身后再抢，推倒何超，犯规！！                   65'无法把握得分机会的亚泰再度受到惩罚，恒大在第65分钟又收获入球：张文钊禁区右侧似传似射，高拉特在小禁区内前插接力，他以头球收获本赛季第3粒中超入球，算上亚冠赛事，高拉特收获近3场比赛的第7粒入球
65'恒大前场再次抢断，反击啦                   65'无法把握得分机会的亚泰再度受到惩罚，恒大在第65分钟又收获入球：张文钊禁区右侧似传似射，高拉特在小禁区内前插接力，他以头球收获本赛季第3粒中超入球，算上亚冠赛事，高拉特收获近3场比赛的第7粒入球
65'3-0！！！                   65'无法把握得分机会的亚泰再度受到惩罚，恒大在第65分钟又收获入球：张文钊禁区右侧似传似射，高拉特在小禁区内前插接力，他以头球收获本赛季第3粒中超入球，算上亚冠赛事，高拉特收获近3场比赛的第7粒入球
65'高拉特梅开二度！！！                   65'无法把握得分机会的亚泰再度受到惩罚，恒大在第65分钟又收获入球：张文钊禁区右侧似传似射，高拉特在小禁区内前插接力，他以头球收获本赛季第3粒中超入球，算上亚冠赛事，高拉特收获近3场比赛的第7粒入球
66'张文钊大禁区右上角拿球，内切进来，搓传到门前，高拉特插上头球顶进！！                   65'无法把握得分机会的亚泰再度受到惩罚，恒大在第65分钟又收获入球：张文钊禁区右侧似传似射，高拉特在小禁区内前插接力，他以头球收获本赛季第3粒中超入球，算上亚冠赛事，高拉特收获近3场比赛的第7粒入球
67'杜震宇左路拿球，内切进来                   65'无法把握得分机会的亚泰再度受到惩罚，恒大在第65分钟又收获入球：张文钊禁区右侧似传似射，高拉特在小禁区内前插接力，他以头球收获本赛季第3粒中超入球，算上亚冠赛事，高拉特收获近3场比赛的第7粒入球
67'斜塞禁区找到范晓冬                   65'无法把握得分机会的亚泰再度受到惩罚，恒大在第65分钟又收获入球：张文钊禁区右侧似传似射，高拉特在小禁区内前插接力，他以头球收获本赛季第3粒中超入球，算上亚冠赛事，高拉特收获近3场比赛的第7粒入球
67'范晓冬强突下底，横传球，被张成林挡出了底线                   65'无法把握得分机会的亚泰再度受到惩罚，恒大在第65分钟又收获入球：张文钊禁区右侧似传似射，高拉特在小禁区内前插接力，他以头球收获本赛季第3粒中超入球，算上亚冠赛事，高拉特收获近3场比赛的第7粒入球
67'亚泰获得了左侧角球机会！！                   65'无法把握得分机会的亚泰再度受到惩罚，恒大在第65分钟又收获入球：张文钊禁区右侧似传似射，高拉特在小禁区内前插接力，他以头球收获本赛季第3粒中超入球，算上亚冠赛事，高拉特收获近3场比赛的第7粒入球
67'杜震宇主罚，没能形成威胁！！                   65'无法把握得分机会的亚泰再度受到惩罚，恒大在第65分钟又收获入球：张文钊禁区右侧似传似射，高拉特在小禁区内前插接力，他以头球收获本赛季第3粒中超入球，算上亚冠赛事，高拉特收获近3场比赛的第7粒入球
68'亚泰再次换人：37号周大地上，换下了29号谭龙！                   65'无法把握得分机会的亚泰再度受到惩罚，恒大在第65分钟又收获入球：张文钊禁区右侧似传似射，高拉特在小禁区内前插接力，他以头球收获本赛季第3粒中超入球，算上亚冠赛事，高拉特收获近3场比赛的第7粒入球
80'伊斯梅洛夫后场横传失误，高拉特抢断反击，斜塞禁区找到前插的阿兰，阿兰让球到身前，推射打进球门右侧！                   80'第80分钟，伊斯梅洛夫的后场失误终引出亚泰第4粒失球：高拉特抢断后将球分给空档处的阿兰，阿兰面对门将冷静推射破门，恒大将比分扩大为4-0
81'亚泰前场进攻，右路的大范围转移球到左路给张笑飞                   80'第80分钟，伊斯梅洛夫的后场失误终引出亚泰第4粒失球：高拉特抢断后将球分给空档处的阿兰，阿兰面对门将冷静推射破门，恒大将比分扩大为4-0
81'张笑飞强突下底，倒三角回传中路                   80'第80分钟，伊斯梅洛夫的后场失误终引出亚泰第4粒失球：高拉特抢断后将球分给空档处的阿兰，阿兰面对门将冷静推射破门，恒大将比分扩大为4-0
82'杜震宇插上停球一趟，小角度打门                   80'第80分钟，伊斯梅洛夫的后场失误终引出亚泰第4粒失球：高拉特抢断后将球分给空档处的阿兰，阿兰面对门将冷静推射破门，恒大将比分扩大为4-0
82'曾诚侧扑将球一挡，再压在身下！！                   80'第80分钟，伊斯梅洛夫的后场失误终引出亚泰第4粒失球：高拉特抢断后将球分给空档处的阿兰，阿兰面对门将冷静推射破门，恒大将比分扩大为4-0
82'亚泰前场进攻，再次赢得任意球                   80'第80分钟，伊斯梅洛夫的后场失误终引出亚泰第4粒失球：高拉特抢断后将球分给空档处的阿兰，阿兰面对门将冷静推射破门，恒大将比分扩大为4-0
82'亚泰换人：3号肖宇峰上，换下了15号孙捷！                   80'第80分钟，伊斯梅洛夫的后场失误终引出亚泰第4粒失球：高拉特抢断后将球分给空档处的阿兰，阿兰面对门将冷静推射破门，恒大将比分扩大为4-0
83'杜震宇任意球斜传禁区，没能形成威胁！！                   80'第80分钟，伊斯梅洛夫的后场失误终引出亚泰第4粒失球：高拉特抢断后将球分给空档处的阿兰，阿兰面对门将冷静推射破门，恒大将比分扩大为4-0
83'伊哈洛前场中路拿球，强突往禁区冲                   80'第80分钟，伊斯梅洛夫的后场失误终引出亚泰第4粒失球：高拉特抢断后将球分给空档处的阿兰，阿兰面对门将冷静推射破门，恒大将比分扩大为4-0
83'禁区弧顶遭遇多人围堵，再斜塞想给杜震宇                   80'第80分钟，伊斯梅洛夫的后场失误终引出亚泰第4粒失球：高拉特抢断后将球分给空档处的阿兰，阿兰面对门将冷静推射破门，恒大将比分扩大为4-0
84'可惜没成功，回防的黄博文伸脚挡出                   84'第84分钟，脚风极顺的高拉特外围抽射颇具威胁，吴亚轲飞身扑救将球托出；恒大右侧角球传至门前，亚泰防线盯人不紧，阿兰头球轻松破门，比分变为5-0
84'恒大的反击，高拉特远射                   84'第84分钟，脚风极顺的高拉特外围抽射颇具威胁，吴亚轲飞身扑救将球托出；恒大右侧角球传至门前，亚泰防线盯人不紧，阿兰头球轻松破门，比分变为5-0
84'吴亚轲将球封堵出底线！！                   84'第84分钟，脚风极顺的高拉特外围抽射颇具威胁，吴亚轲飞身扑救将球托出；恒大右侧角球传至门前，亚泰防线盯人不紧，阿兰头球轻松破门，比分变为5-0
84'恒大获得了右侧角球机会！！                   84'第84分钟，脚风极顺的高拉特外围抽射颇具威胁，吴亚轲飞身扑救将球托出；恒大右侧角球传至门前，亚泰防线盯人不紧，阿兰头球轻松破门，比分变为5-0
84'5-0！！！                   84'第84分钟，脚风极顺的高拉特外围抽射颇具威胁，吴亚轲飞身扑救将球托出；恒大右侧角球传至门前，亚泰防线盯人不紧，阿兰头球轻松破门，比分变为5-0
84'阿兰梅开二度！！                   84'第84分钟，脚风极顺的高拉特外围抽射颇具威胁，吴亚轲飞身扑救将球托出；恒大右侧角球传至门前，亚泰防线盯人不紧，阿兰头球轻松破门，比分变为5-0
85'角球开出到门前，阿兰插上到门前，无人防守，面对吴亚轲，轻松顶进网窝！！                   84'第84分钟，脚风极顺的高拉特外围抽射颇具威胁，吴亚轲飞身扑救将球托出；恒大右侧角球传至门前，亚泰防线盯人不紧，阿兰头球轻松破门，比分变为5-0
86'进球后的阿兰也是跳起了摇篮舞，要做爹了？                   84'第84分钟，脚风极顺的高拉特外围抽射颇具威胁，吴亚轲飞身扑救将球托出；恒大右侧角球传至门前，亚泰防线盯人不紧，阿兰头球轻松破门，比分变为5-0
87'蒋哲前场右路拿球，斜塞禁区找到周大地                   84'第84分钟，脚风极顺的高拉特外围抽射颇具威胁，吴亚轲飞身扑救将球托出；恒大右侧角球传至门前，亚泰防线盯人不紧，阿兰头球轻松破门，比分变为5-0
87'周大地的强突，横传球，被回防的古德利挡出了边线                   84'第84分钟，脚风极顺的高拉特外围抽射颇具威胁，吴亚轲飞身扑救将球托出；恒大右侧角球传至门前，亚泰防线盯人不紧，阿兰头球轻松破门，比分变为5-0
90'蒋哲的头球后蹭，差一点点啊！！！                   90'第90分钟，亚泰任意球攻势中又错过得分机会，蒋哲的头球稍稍偏出
90'杜震宇中场拿球，带至右路                   90'第90分钟，亚泰任意球攻势中又错过得分机会，蒋哲的头球稍稍偏出
90'斜塞身后，被张琳芃上抢拦截                   90'第90分钟，亚泰任意球攻势中又错过得分机会，蒋哲的头球稍稍偏出
90'张琳芃的斜传转移，张笑飞左路上来拦截                   90'第90分钟，亚泰任意球攻势中又错过得分机会，蒋哲的头球稍稍偏出
91'直塞身后找到前插的范晓冬                   90'第90分钟，亚泰任意球攻势中又错过得分机会，蒋哲的头球稍稍偏出
91'范晓冬带球进禁区，小角度打门，踢飞了                   90'第90分钟，亚泰任意球攻势中又错过得分机会，蒋哲的头球稍稍偏出
91'下半场比赛补时3分钟！！                   90'第90分钟，亚泰任意球攻势中又错过得分机会，蒋哲的头球稍稍偏出
91'恒大前场进攻，阿兰的打门，打偏！                   90'第90分钟，亚泰任意球攻势中又错过得分机会，蒋哲的头球稍稍偏出
92'张力前场中路拿球，禁区外的远射                   90'第90分钟，亚泰任意球攻势中又错过得分机会，蒋哲的头球稍稍偏出
92'太正了，被曾诚轻松拿到                   90'第90分钟，亚泰任意球攻势中又错过得分机会，蒋哲的头球稍稍偏出
