6'鲁能泰山队右路长传，刘彬彬快马杀到，对方把球铲出边线                   6'开场6分钟，山东鲁能便打破僵局
40'后场鲁能泰山队断球长传，刘彬彬快速前冲接应，对方大脚破坏                   38'第38分钟，北京国安边路传中，河大成中路得球晃过防守队员后劲射上角，球稍稍高出
41'北京国安队左路横传，德扬回传球，队友挑传送到了王大雷手里                   38'第38分钟，北京国安边路传中，河大成中路得球晃过防守队员后劲射上角，球稍稍高出
41'鲁能泰山队的绝佳机会！！可惜没能打进！                   38'第38分钟，北京国安边路传中，河大成中路得球晃过防守队员后劲射上角，球稍稍高出
42'塔尔德利挑传球反越位成功，刘彬彬带球到禁区内挑射被杨智挡了一下，刘彬彬再去头球顶门，被挡出底线！                   42'第42分钟，山东鲁能获得角球，但是主罚的刘彬彬直接带球出来被黄牌警告，但慢镜头显示塔尔德利之前踩了一下球
42'刘彬彬左路横传禁区，杨智把球摘下来                   42'第42分钟，山东鲁能获得角球，但是主罚的刘彬彬直接带球出来被黄牌警告，但慢镜头显示塔尔德利之前踩了一下球
42'嗯？主裁判给刘彬彬出示了黄牌！                   42'第42分钟，山东鲁能获得角球，但是主罚的刘彬彬直接带球出来被黄牌警告，但慢镜头显示塔尔德利之前踩了一下球
43'他认为刘彬彬发角球时直接带球出来传球，而慢镜显示塔尔德利用脚踩了一下球！表示已经配合了！                   42'第42分钟，山东鲁能获得角球，但是主罚的刘彬彬直接带球出来被黄牌警告，但慢镜头显示塔尔德利之前踩了一下球
43'这牌子吃得有点冤！                   42'第42分钟，山东鲁能获得角球，但是主罚的刘彬彬直接带球出来被黄牌警告，但慢镜头显示塔尔德利之前踩了一下球
44'张驰在后场争抢犯规，北京国安队得到前场任意球机会                   42'第42分钟，山东鲁能获得角球，但是主罚的刘彬彬直接带球出来被黄牌警告，但慢镜头显示塔尔德利之前踩了一下球
44'任意球发出来，北京国安队左路打配合，直传球没有队友去接应！                   42'第42分钟，山东鲁能获得角球，但是主罚的刘彬彬直接带球出来被黄牌警告，但慢镜头显示塔尔德利之前踩了一下球
45'阿洛伊西奥控到球，马季奇背后抢球犯规                   42'第42分钟，山东鲁能获得角球，但是主罚的刘彬彬直接带球出来被黄牌警告，但慢镜头显示塔尔德利之前踩了一下球
45'任意球快速发出来，塔尔德利慢了一点！                   42'第42分钟，山东鲁能获得角球，但是主罚的刘彬彬直接带球出来被黄牌警告，但慢镜头显示塔尔德利之前踩了一下球
45'上半场比赛要补时 3 分钟                   42'第42分钟，山东鲁能获得角球，但是主罚的刘彬彬直接带球出来被黄牌警告，但慢镜头显示塔尔德利之前踩了一下球
45'北京国安队大脚长传，这不是他们的特长啊                   42'第42分钟，山东鲁能获得角球，但是主罚的刘彬彬直接带球出来被黄牌警告，但慢镜头显示塔尔德利之前踩了一下球
46'于大宝在前场右路接球，杨旭上抢犯规                   46'下半场易边再战，第46分钟，北京国安发动快速反击，德扬突入禁区小角度射门被李松益挡出
46'巴塔亚发任意球到禁区内，鲁能泰山队破坏出来                   46'下半场易边再战，第46分钟，北京国安发动快速反击，德扬突入禁区小角度射门被李松益挡出
46'塔尔德利左路带到中场，没看就前传，几名队员越位                   46'下半场易边再战，第46分钟，北京国安发动快速反击，德扬突入禁区小角度射门被李松益挡出
46'杨智发球忙中出错，直接开出了边线                   46'下半场易边再战，第46分钟，北京国安发动快速反击，德扬突入禁区小角度射门被李松益挡出
47'乌索在前场得球，右路挑传，被断下来打反击                   46'下半场易边再战，第46分钟，北京国安发动快速反击，德扬突入禁区小角度射门被李松益挡出
47'巴塔亚左路得球，没有看到马季奇在前插，他回带，乌索抢球犯规                   46'下半场易边再战，第46分钟，北京国安发动快速反击，德扬突入禁区小角度射门被李松益挡出
48'北京国安队右路斜传禁区，直接出底线                   46'下半场易边再战，第46分钟，北京国安发动快速反击，德扬突入禁区小角度射门被李松益挡出
48'阿洛伊西奥争顶犯规                   46'下半场易边再战，第46分钟，北京国安发动快速反击，德扬突入禁区小角度射门被李松益挡出
48'没等北京国安队发任意球，裁判哨响                   46'下半场易边再战，第46分钟，北京国安发动快速反击，德扬突入禁区小角度射门被李松益挡出
49'上半场比赛结束，阿洛伊西奥和郑铮各进一球，鲁能泰山队2-0领先北京国安队！                   46'下半场易边再战，第46分钟，北京国安发动快速反击，德扬突入禁区小角度射门被李松益挡出
49'赛前预测鲁能泰山队攻击力够猛，而后防不怎么让人放心，但比赛却并示出现这一现象                   46'下半场易边再战，第46分钟，北京国安发动快速反击，德扬突入禁区小角度射门被李松益挡出
46'下半场比赛开始                   46'下半场易边再战，第46分钟，北京国安发动快速反击，德扬突入禁区小角度射门被李松益挡出
46'鲁能泰山队右路突破，对国安队断球快速打反击                   46'下半场易边再战，第46分钟，北京国安发动快速反击，德扬突入禁区小角度射门被李松益挡出
47'国安队斜传转移，球到左侧，横传球被后卫断下                   46'下半场易边再战，第46分钟，北京国安发动快速反击，德扬突入禁区小角度射门被李松益挡出
47'杨旭右路突破遭侵犯，鲁能泰山任意球大脚开往前场                   46'下半场易边再战，第46分钟，北京国安发动快速反击，德扬突入禁区小角度射门被李松益挡出
49'周挺争抢时对杨旭犯规，塔尔德利任意球开往前场，北京国安队断球反击                   46'下半场易边再战，第46分钟，北京国安发动快速反击，德扬突入禁区小角度射门被李松益挡出
49'北京国安队左路突破传中，鲁能泰山队挡出底线，角球                   46'下半场易边再战，第46分钟，北京国安发动快速反击，德扬突入禁区小角度射门被李松益挡出
49'角球开到禁区后点，鲁能泰山队破坏出来                   46'下半场易边再战，第46分钟，北京国安发动快速反击，德扬突入禁区小角度射门被李松益挡出
56'巴塔亚主罚任意球开到门前，前点后蹭，鲁能泰山队破坏出来                   56'第56分钟，蒿俊闵快速反击中分边被挡，但乌索断球杀入禁区小角度射门被杨智挡出底线
56'鲁能泰山队快速反击到前场，乌索人球分过，突入禁区，面对门将起脚打门，杨智扑出底线，角球                   56'第56分钟，蒿俊闵快速反击中分边被挡，但乌索断球杀入禁区小角度射门被杨智挡出底线
57'蒿俊闵主罚角球开到禁区内，第一点被破坏出来                   56'第56分钟，蒿俊闵快速反击中分边被挡，但乌索断球杀入禁区小角度射门被杨智挡出底线
57'郑铮抢球犯规，北京国安队快速开出任意球，鲁能泰山队将球断下                   56'第56分钟，蒿俊闵快速反击中分边被挡，但乌索断球杀入禁区小角度射门被杨智挡出底线
58'北京国安队后场断球，左路突破，蒿俊闵上抢开出边线                   56'第56分钟，蒿俊闵快速反击中分边被挡，但乌索断球杀入禁区小角度射门被杨智挡出底线
58'北京国安队转移到右侧，李运秋拿球，郑铮上抢犯规                   56'第56分钟，蒿俊闵快速反击中分边被挡，但乌索断球杀入禁区小角度射门被杨智挡出底线
59'巴塔亚主罚任意球给到后点，禁区内球员抢到了点，王大雷将球摘下                   56'第56分钟，蒿俊闵快速反击中分边被挡，但乌索断球杀入禁区小角度射门被杨智挡出底线
59'鲁能泰山队长传球打身后，刘彬彬带球快速突破，赵和靖拉人犯规                   56'第56分钟，蒿俊闵快速反击中分边被挡，但乌索断球杀入禁区小角度射门被杨智挡出底线
64'鲁能泰山队外围控球，左路传中，杨智将球没收                   64'第64分钟，北京国安制造威胁，河大成禁区内射门被张弛倒地封堵
66'阿洛伊西奥前场抢断，右路突破，塔尔德利禁区内拿球，对方破坏出边线                   64'第64分钟，北京国安制造威胁，河大成禁区内射门被张弛倒地封堵
66'北京国安队换人，费祖拉乌上场换下马季奇                   64'第64分钟，北京国安制造威胁，河大成禁区内射门被张弛倒地封堵
67'鲁能泰山队获得角球机会，战术角球开出来，刘彬彬传到禁区后点，北京国安队破坏出来                   64'第64分钟，北京国安制造威胁，河大成禁区内射门被张弛倒地封堵
73'北京国安队传球到禁区内，德扬滑倒在地，但鲁能泰山队解围不远，北京国安队远射被挡了一下偏出                   73'第73分钟，于大宝禁区外断球后直接起脚吊射，王大雷快速回退将球托出底线
73'巴塔亚发角球到禁区内，王大雷直接把球没收                   73'第73分钟，于大宝禁区外断球后直接起脚吊射，王大雷快速回退将球托出底线
74'北京国安队后场传球险些失误，乌索前插拼抢，杨智把球破坏出边线                   73'第73分钟，于大宝禁区外断球后直接起脚吊射，王大雷快速回退将球托出底线
74'鲁能泰山队换人：赵明剑上场换下杨旭，加强防守                   73'第73分钟，于大宝禁区外断球后直接起脚吊射，王大雷快速回退将球托出底线
74'文讲才录：鲁能防守反击！[回复]现在必须加强防守                   73'第73分钟，于大宝禁区外断球后直接起脚吊射，王大雷快速回退将球托出底线
75'刘彬彬后场得球，左路攻过中场，没有及时传球                   73'第73分钟，于大宝禁区外断球后直接起脚吊射，王大雷快速回退将球托出底线
76'刘彬彬回传球，队友前传，刘彬彬越位                   73'第73分钟，于大宝禁区外断球后直接起脚吊射，王大雷快速回退将球托出底线
76'北京国安队左路进攻，对方犯规啦，任意球机会                   73'第73分钟，于大宝禁区外断球后直接起脚吊射，王大雷快速回退将球托出底线
76'邵佳一发任意球到禁区内，对方抢点头球解围                   73'第73分钟，于大宝禁区外断球后直接起脚吊射，王大雷快速回退将球托出底线
79'刘彬彬提速，左路带球到前场横传，蒿俊闵抢点劲射，打偏出啦！                   79'第79分钟，山东鲁能错失扩大比分机会，刘彬彬带球反击形成二打二机会，他选择横传中路，跟进的蒿俊闵稍作调整后劲射，球擦着立柱偏出
79'比赛马上到80分钟啦，北京国安队两球落后                   79'第79分钟，山东鲁能错失扩大比分机会，刘彬彬带球反击形成二打二机会，他选择横传中路，跟进的蒿俊闵稍作调整后劲射，球擦着立柱偏出
80'德扬直传球，大了些，球出底线                   79'第79分钟，山东鲁能错失扩大比分机会，刘彬彬带球反击形成二打二机会，他选择横传中路，跟进的蒿俊闵稍作调整后劲射，球擦着立柱偏出
80'鲁能泰山队再次换人：吴兴涵上场换下刘彬彬！                   79'第79分钟，山东鲁能错失扩大比分机会，刘彬彬带球反击形成二打二机会，他选择横传中路，跟进的蒿俊闵稍作调整后劲射，球擦着立柱偏出
80'刘彬彬拼得好凶，体能有些问题啦，对位换人                   79'第79分钟，山东鲁能错失扩大比分机会，刘彬彬带球反击形成二打二机会，他选择横传中路，跟进的蒿俊闵稍作调整后劲射，球擦着立柱偏出
81'哇了个嚓：鲁能加油[回复]双方都在努力                   79'第79分钟，山东鲁能错失扩大比分机会，刘彬彬带球反击形成二打二机会，他选择横传中路，跟进的蒿俊闵稍作调整后劲射，球擦着立柱偏出
81'北京国安队挑传禁区，赵明剑争顶推人犯规。                   79'第79分钟，山东鲁能错失扩大比分机会，刘彬彬带球反击形成二打二机会，他选择横传中路，跟进的蒿俊闵稍作调整后劲射，球擦着立柱偏出
81'北京国安队得到大禁区线附近，在弧顶内的任意球机会！                   79'第79分钟，山东鲁能错失扩大比分机会，刘彬彬带球反击形成二打二机会，他选择横传中路，跟进的蒿俊闵稍作调整后劲射，球擦着立柱偏出
82'邵佳一和于大宝站在球前！看如何来罚                   79'第79分钟，山东鲁能错失扩大比分机会，刘彬彬带球反击形成二打二机会，他选择横传中路，跟进的蒿俊闵稍作调整后劲射，球擦着立柱偏出
82'邵佳一发任意球直接打门，打在人墙上                   79'第79分钟，山东鲁能错失扩大比分机会，刘彬彬带球反击形成二打二机会，他选择横传中路，跟进的蒿俊闵稍作调整后劲射，球擦着立柱偏出
49'上半场比赛结束，阿洛伊西奥和郑铮各进一球，鲁能泰山队2-0领先北京国安队！                   49'补时第4分钟，阿洛伊西奥右路尝试吊射，杨智回撤将球没收
49'赛前预测鲁能泰山队攻击力够猛，而后防不怎么让人放心，但比赛却并示出现这一现象                   49'补时第4分钟，阿洛伊西奥右路尝试吊射，杨智回撤将球没收
49'周挺争抢时对杨旭犯规，塔尔德利任意球开往前场，北京国安队断球反击                   49'补时第4分钟，阿洛伊西奥右路尝试吊射，杨智回撤将球没收
49'北京国安队左路突破传中，鲁能泰山队挡出底线，角球                   49'补时第4分钟，阿洛伊西奥右路尝试吊射，杨智回撤将球没收
49'角球开到禁区后点，鲁能泰山队破坏出来                   49'补时第4分钟，阿洛伊西奥右路尝试吊射，杨智回撤将球没收
51'鲁能泰山队得球快速打反击。阿洛伊西奥中路直塞，前场四打三，北京国安队快速回防将球断下                   49'补时第4分钟，阿洛伊西奥右路尝试吊射，杨智回撤将球没收
51'郑铮在争顶时受伤倒在地上                   49'补时第4分钟，阿洛伊西奥右路尝试吊射，杨智回撤将球没收
