2'那不勒斯后场倒脚，哈姆西克回后场接应转移到左路                   2'开场2分钟，甘贝里尼被卡萨诺肘部击中鼻子，到场边贴上鼻贴后回到场内
18'米利托接应界外球，卡纳瓦罗上抢成功                   18'第18分钟，卡瓦尼中路反击晃过坎比亚索分球，因西涅左路内切距门22米处弧线球稍稍偏出右门柱
19'那不勒斯的快速反击，卡瓦尼中路盘过了萨内蒂后高速带球直插并分给了左路的因斯格尼                   18'第18分钟，卡瓦尼中路反击晃过坎比亚索分球，因西涅左路内切距门22米处弧线球稍稍偏出右门柱
19'因斯格尼内切后右脚兜远射，球贴着立柱出了底线！                   18'第18分钟，卡瓦尼中路反击晃过坎比亚索分球，因西涅左路内切距门22米处弧线球稍稍偏出右门柱
19'这是那不勒斯在上半场最有威胁的一次进攻                   18'第18分钟，卡瓦尼中路反击晃过坎比亚索分球，因西涅左路内切距门22米处弧线球稍稍偏出右门柱
20'因勒中路分给右路的哈姆西克                   18'第18分钟，卡瓦尼中路反击晃过坎比亚索分球，因西涅左路内切距门22米处弧线球稍稍偏出右门柱
20'哈姆西克绕了一圈到禁区右侧低传球被胡安拦截                   18'第18分钟，卡瓦尼中路反击晃过坎比亚索分球，因西涅左路内切距门22米处弧线球稍稍偏出右门柱
20'布里托斯左路的挑传球挑大了，但拉诺齐亚的大脚解围比较盲目，前面的米利托越位了                   18'第18分钟，卡瓦尼中路反击晃过坎比亚索分球，因西涅左路内切距门22米处弧线球稍稍偏出右门柱
21'那不勒斯又有机会，马乔传到禁区内，卡瓦尼得球横敲一下，哈姆西克左脚低射打偏！                   18'第18分钟，卡瓦尼中路反击晃过坎比亚索分球，因西涅左路内切距门22米处弧线球稍稍偏出右门柱
23'卡萨诺与米利托连续做两次踢墙配合到禁区左侧，甘贝里尼防得很好                   23'第23分钟，卡萨诺右路内切与米利托撞墙配合，突入禁区遭到布里托斯和小卡纳瓦罗关门防守，被布里托斯撞倒在地，腰部受伤被担架抬下，帕拉西奥紧急热身，但卡萨诺此后回到场内
23'卡萨诺来到右路拿球，又找米利托这堵墙                   23'第23分钟，卡萨诺右路内切与米利托撞墙配合，突入禁区遭到布里托斯和小卡纳瓦罗关门防守，被布里托斯撞倒在地，腰部受伤被担架抬下，帕拉西奥紧急热身，但卡萨诺此后回到场内
24'米利托做墙传球，卡萨诺已经插到禁区，还好布里托斯抢先转身将球捅掉                   23'第23分钟，卡萨诺右路内切与米利托撞墙配合，突入禁区遭到布里托斯和小卡纳瓦罗关门防守，被布里托斯撞倒在地，腰部受伤被担架抬下，帕拉西奥紧急热身，但卡萨诺此后回到场内
24'回复：[04:05] 游客3646:坎比只能打后卫了 ？（是的，今天坎比亚索打三中后卫中间一个）                   23'第23分钟，卡萨诺右路内切与米利托撞墙配合，突入禁区遭到布里托斯和小卡纳瓦罗关门防守，被布里托斯撞倒在地，腰部受伤被担架抬下，帕拉西奥紧急热身，但卡萨诺此后回到场内
25'卡萨诺被布里托斯铲球后撞倒在地！他被担架队抬下场了！                   23'第23分钟，卡萨诺右路内切与米利托撞墙配合，突入禁区遭到布里托斯和小卡纳瓦罗关门防守，被布里托斯撞倒在地，腰部受伤被担架抬下，帕拉西奥紧急热身，但卡萨诺此后回到场内
25'从表情来看，卡萨诺是非常痛苦                   23'第23分钟，卡萨诺右路内切与米利托撞墙配合，突入禁区遭到布里托斯和小卡纳瓦罗关门防守，被布里托斯撞倒在地，腰部受伤被担架抬下，帕拉西奥紧急热身，但卡萨诺此后回到场内
26'卡萨诺应该是支持不下去了，国际米兰准备作人员调整                   23'第23分钟，卡萨诺右路内切与米利托撞墙配合，突入禁区遭到布里托斯和小卡纳瓦罗关门防守，被布里托斯撞倒在地，腰部受伤被担架抬下，帕拉西奥紧急热身，但卡萨诺此后回到场内
26'因勒中路直塞又是没能塞过去                   23'第23分钟，卡萨诺右路内切与米利托撞墙配合，突入禁区遭到布里托斯和小卡纳瓦罗关门防守，被布里托斯撞倒在地，腰部受伤被担架抬下，帕拉西奥紧急热身，但卡萨诺此后回到场内
26'萨内蒂分边右路长友佑都，长友佑都回给了拉诺齐亚                   23'第23分钟，卡萨诺右路内切与米利托撞墙配合，突入禁区遭到布里托斯和小卡纳瓦罗关门防守，被布里托斯撞倒在地，腰部受伤被担架抬下，帕拉西奥紧急热身，但卡萨诺此后回到场内
46'中场争夺，瓜林护球很稳固，贝赫拉米拉人犯规                   46'1分钟后，马乔右路传中，卡瓦尼在门前12米处胸部停球凌空勾射，坎比亚索挡出偏出右门柱，但助理裁判没有看到，那不勒斯未获角球
46'上半场比赛将补时3分钟！                   46'1分钟后，马乔右路传中，卡瓦尼在门前12米处胸部停球凌空勾射，坎比亚索挡出偏出右门柱，但助理裁判没有看到，那不勒斯未获角球
46'上半场受伤的情况出现得比较多                   46'1分钟后，马乔右路传中，卡瓦尼在门前12米处胸部停球凌空勾射，坎比亚索挡出偏出右门柱，但助理裁判没有看到，那不勒斯未获角球
47'贝赫拉米将球分给因斯格尼，因斯格尼斜塞左路，长友佑都转身抢在苏尼加之前将球踢出边线                   46'1分钟后，马乔右路传中，卡瓦尼在门前12米处胸部停球凌空勾射，坎比亚索挡出偏出右门柱，但助理裁判没有看到，那不勒斯未获角球
47'那不勒斯希望把握住最后几分钟的机会先扳回一个                   46'1分钟后，马乔右路传中，卡瓦尼在门前12米处胸部停球凌空勾射，坎比亚索挡出偏出右门柱，但助理裁判没有看到，那不勒斯未获角球
47'因斯格尼面对长友佑都带丢了                   46'1分钟后，马乔右路传中，卡瓦尼在门前12米处胸部停球凌空勾射，坎比亚索挡出偏出右门柱，但助理裁判没有看到，那不勒斯未获角球
48'萨内蒂中路突破，因勒侧面抢球犯规了                   46'1分钟后，马乔右路传中，卡瓦尼在门前12米处胸部停球凌空勾射，坎比亚索挡出偏出右门柱，但助理裁判没有看到，那不勒斯未获角球
48'卡萨诺接应回给拉诺齐亚，拉诺齐亚长传前场右路                   46'1分钟后，马乔右路传中，卡瓦尼在门前12米处胸部停球凌空勾射，坎比亚索挡出偏出右门柱，但助理裁判没有看到，那不勒斯未获角球
48'长友佑都下底传中，中路无人接应                   46'1分钟后，马乔右路传中，卡瓦尼在门前12米处胸部停球凌空勾射，坎比亚索挡出偏出右门柱，但助理裁判没有看到，那不勒斯未获角球
49'贝赫拉米分边右路，佩雷拉前冲将球捅走，之后与马乔撞在一块儿！                   46'1分钟后，马乔右路传中，卡瓦尼在门前12米处胸部停球凌空勾射，坎比亚索挡出偏出右门柱，但助理裁判没有看到，那不勒斯未获角球
49'任意球也来不及发了                   46'1分钟后，马乔右路传中，卡瓦尼在门前12米处胸部停球凌空勾射，坎比亚索挡出偏出右门柱，但助理裁判没有看到，那不勒斯未获角球
49'上半场结束！                   46'1分钟后，马乔右路传中，卡瓦尼在门前12米处胸部停球凌空勾射，坎比亚索挡出偏出右门柱，但助理裁判没有看到，那不勒斯未获角球
46'下半场比赛开始了！                   46'1分钟后，马乔右路传中，卡瓦尼在门前12米处胸部停球凌空勾射，坎比亚索挡出偏出右门柱，但助理裁判没有看到，那不勒斯未获角球
46'下半场由国际米兰中场开球                   46'1分钟后，马乔右路传中，卡瓦尼在门前12米处胸部停球凌空勾射，坎比亚索挡出偏出右门柱，但助理裁判没有看到，那不勒斯未获角球
46'哈姆西克左路传中打在拉诺齐亚身上出了底线                   46'1分钟后，马乔右路传中，卡瓦尼在门前12米处胸部停球凌空勾射，坎比亚索挡出偏出右门柱，但助理裁判没有看到，那不勒斯未获角球
47'因斯格尼角球发前点，米利托头球点出来                   46'1分钟后，马乔右路传中，卡瓦尼在门前12米处胸部停球凌空勾射，坎比亚索挡出偏出右门柱，但助理裁判没有看到，那不勒斯未获角球
47'第二点，那不勒斯头球顶回禁区内，卡瓦尼倒钩打门打偏了！                   46'1分钟后，马乔右路传中，卡瓦尼在门前12米处胸部停球凌空勾射，坎比亚索挡出偏出右门柱，但助理裁判没有看到，那不勒斯未获角球
47'卡瓦尼已经越位在先                   46'1分钟后，马乔右路传中，卡瓦尼在门前12米处胸部停球凌空勾射，坎比亚索挡出偏出右门柱，但助理裁判没有看到，那不勒斯未获角球
48'佩雷拉与加尔加诺作二过一配合，球传大了，直接出了边线                   46'1分钟后，马乔右路传中，卡瓦尼在门前12米处胸部停球凌空勾射，坎比亚索挡出偏出右门柱，但助理裁判没有看到，那不勒斯未获角球
48'马乔接应界外球转身被佩雷拉绊倒                   46'1分钟后，马乔右路传中，卡瓦尼在门前12米处胸部停球凌空勾射，坎比亚索挡出偏出右门柱，但助理裁判没有看到，那不勒斯未获角球
49'那不勒斯将球分到左路，苏尼加加速下底，长友佑都已经卡住身位，将球让出底线                   46'1分钟后，马乔右路传中，卡瓦尼在门前12米处胸部停球凌空勾射，坎比亚索挡出偏出右门柱，但助理裁判没有看到，那不勒斯未获角球
49'长友佑都今天在右路发挥得还是中规中矩                   46'1分钟后，马乔右路传中，卡瓦尼在门前12米处胸部停球凌空勾射，坎比亚索挡出偏出右门柱，但助理裁判没有看到，那不勒斯未获角球
49'瓜林在中路直接选择远射，放高炮了！                   46'1分钟后，马乔右路传中，卡瓦尼在门前12米处胸部停球凌空勾射，坎比亚索挡出偏出右门柱，但助理裁判没有看到，那不勒斯未获角球
49'我们看到帕拉西奥已经站到了场边                   46'1分钟后，马乔右路传中，卡瓦尼在门前12米处胸部停球凌空勾射，坎比亚索挡出偏出右门柱，但助理裁判没有看到，那不勒斯未获角球
43'卡瓦尼已经站到面前，坎比亚索有点狼狈，回传给门将                   43'第43分钟，甘贝里尼背后踢倒米利托，被黄牌警告
43'汉达诺维奇大脚开到中场，米利托护球很稳，甘贝里尼在背后连拉带踢将米利托放倒                   43'第43分钟，甘贝里尼背后踢倒米利托，被黄牌警告
44'主裁判向甘贝里尼出示黄牌警告！                   43'第43分钟，甘贝里尼背后踢倒米利托，被黄牌警告
44'因斯格尼来到左路得球，搓传后点，胡安头球顶到半空                   43'第43分钟，甘贝里尼背后踢倒米利托，被黄牌警告
44'因斯格尼抢到第二落点直接凌空抽射打高了！                   43'第43分钟，甘贝里尼背后踢倒米利托，被黄牌警告
45'因斯格尼后场断球带到前场，再斜传右路找卡瓦尼                   43'第43分钟，甘贝里尼背后踢倒米利托，被黄牌警告
45'小胡安没有让球传过去！                   43'第43分钟，甘贝里尼背后踢倒米利托，被黄牌警告
46'中场争夺，瓜林护球很稳固，贝赫拉米拉人犯规                   43'第43分钟，甘贝里尼背后踢倒米利托，被黄牌警告
46'上半场比赛将补时3分钟！                   43'第43分钟，甘贝里尼背后踢倒米利托，被黄牌警告
46'上半场受伤的情况出现得比较多                   43'第43分钟，甘贝里尼背后踢倒米利托，被黄牌警告
46'下半场比赛开始了！                   43'第43分钟，甘贝里尼背后踢倒米利托，被黄牌警告
46'下半场由国际米兰中场开球                   43'第43分钟，甘贝里尼背后踢倒米利托，被黄牌警告
46'哈姆西克左路传中打在拉诺齐亚身上出了底线                   43'第43分钟，甘贝里尼背后踢倒米利托，被黄牌警告
51'佩雷拉中路断球，分到左路，卡萨诺得球突到禁区内左打门击中立柱出了底线                   51'下半时，潘德夫换下后卫甘贝里尼，那不勒斯全力进攻，但国米第51分钟几乎再下一城，佩雷拉中路反击分球，卡萨诺突入禁区左侧趟过后卫，在门前9米处左脚抽射击中近门柱
51'国际米兰错过了扩大比分的机会                   51'下半时，潘德夫换下后卫甘贝里尼，那不勒斯全力进攻，但国米第51分钟几乎再下一城，佩雷拉中路反击分球，卡萨诺突入禁区左侧趟过后卫，在门前9米处左脚抽射击中近门柱
52'因勒中场断球，哈姆西克接应敲给卡瓦尼                   51'下半时，潘德夫换下后卫甘贝里尼，那不勒斯全力进攻，但国米第51分钟几乎再下一城，佩雷拉中路反击分球，卡萨诺突入禁区左侧趟过后卫，在门前9米处左脚抽射击中近门柱
52'卡瓦尼分给套边上来的苏尼加                   51'下半时，潘德夫换下后卫甘贝里尼，那不勒斯全力进攻，但国米第51分钟几乎再下一城，佩雷拉中路反击分球，卡萨诺突入禁区左侧趟过后卫，在门前9米处左脚抽射击中近门柱
53'苏尼加倒三角传到禁区前沿，哈姆西克左脚打门被拉诺齐亚挡了出来                   51'下半时，潘德夫换下后卫甘贝里尼，那不勒斯全力进攻，但国米第51分钟几乎再下一城，佩雷拉中路反击分球，卡萨诺突入禁区左侧趟过后卫，在门前9米处左脚抽射击中近门柱
53'哈姆西克中路得球短传禁区，因斯格尼第一下没有拿好                   51'下半时，潘德夫换下后卫甘贝里尼，那不勒斯全力进攻，但国米第51分钟几乎再下一城，佩雷拉中路反击分球，卡萨诺突入禁区左侧趟过后卫，在门前9米处左脚抽射击中近门柱
54'外围因勒得球直接抬脚远射，汉达诺维奇向右侧扑将球扑出底线！                   51'下半时，潘德夫换下后卫甘贝里尼，那不勒斯全力进攻，但国米第51分钟几乎再下一城，佩雷拉中路反击分球，卡萨诺突入禁区左侧趟过后卫，在门前9米处左脚抽射击中近门柱
54'卡瓦尼扳回一球！                   51'下半时，潘德夫换下后卫甘贝里尼，那不勒斯全力进攻，但国米第51分钟几乎再下一城，佩雷拉中路反击分球，卡萨诺突入禁区左侧趟过后卫，在门前9米处左脚抽射击中近门柱
54'外围因勒得球直接抬脚远射，汉达诺维奇向右侧扑将球扑出底线！                   54'那不勒斯第54分钟追回一球，因勒在门前24米处左脚弧线球打左上角，汉达诺维奇飞身托出左门柱，随后角球进攻中，哈姆西克左路传中，有越位嫌疑的潘德夫门前4米处推射被汉达诺维奇封出，接着补射被封堵后击中横梁弹回，马乔再射又被汉达诺维奇捞出网窝，卡瓦尼右侧大力抽射入近角，1比2
54'卡瓦尼扳回一球！                   54'那不勒斯第54分钟追回一球，因勒在门前24米处左脚弧线球打左上角，汉达诺维奇飞身托出左门柱，随后角球进攻中，哈姆西克左路传中，有越位嫌疑的潘德夫门前4米处推射被汉达诺维奇封出，接着补射被封堵后击中横梁弹回，马乔再射又被汉达诺维奇捞出网窝，卡瓦尼右侧大力抽射入近角，1比2
55'那不勒斯二次进攻，苏尼加左路横传前点，潘德夫推射被汉达诺维奇挡出，潘德夫补射打在拉诺齐亚身体上击中了横梁，最后卡瓦尼门前终于将球捅进在大门！                   54'那不勒斯第54分钟追回一球，因勒在门前24米处左脚弧线球打左上角，汉达诺维奇飞身托出左门柱，随后角球进攻中，哈姆西克左路传中，有越位嫌疑的潘德夫门前4米处推射被汉达诺维奇封出，接着补射被封堵后击中横梁弹回，马乔再射又被汉达诺维奇捞出网窝，卡瓦尼右侧大力抽射入近角，1比2
55'看来精彩还在后头！                   54'那不勒斯第54分钟追回一球，因勒在门前24米处左脚弧线球打左上角，汉达诺维奇飞身托出左门柱，随后角球进攻中，哈姆西克左路传中，有越位嫌疑的潘德夫门前4米处推射被汉达诺维奇封出，接着补射被封堵后击中横梁弹回，马乔再射又被汉达诺维奇捞出网窝，卡瓦尼右侧大力抽射入近角，1比2
56'苏尼加突到禁区右侧倒地，但主裁判认为他已经失去了对球的控制                   54'那不勒斯第54分钟追回一球，因勒在门前24米处左脚弧线球打左上角，汉达诺维奇飞身托出左门柱，随后角球进攻中，哈姆西克左路传中，有越位嫌疑的潘德夫门前4米处推射被汉达诺维奇封出，接着补射被封堵后击中横梁弹回，马乔再射又被汉达诺维奇捞出网窝，卡瓦尼右侧大力抽射入近角，1比2
57'萨内蒂长传对方禁区，卡纳瓦罗抢在卡萨诺之前将球解围                   54'那不勒斯第54分钟追回一球，因勒在门前24米处左脚弧线球打左上角，汉达诺维奇飞身托出左门柱，随后角球进攻中，哈姆西克左路传中，有越位嫌疑的潘德夫门前4米处推射被汉达诺维奇封出，接着补射被封堵后击中横梁弹回，马乔再射又被汉达诺维奇捞出网窝，卡瓦尼右侧大力抽射入近角，1比2
57'中场瓜林直塞，又是卡纳瓦罗上抢成功                   54'那不勒斯第54分钟追回一球，因勒在门前24米处左脚弧线球打左上角，汉达诺维奇飞身托出左门柱，随后角球进攻中，哈姆西克左路传中，有越位嫌疑的潘德夫门前4米处推射被汉达诺维奇封出，接着补射被封堵后击中横梁弹回，马乔再射又被汉达诺维奇捞出网窝，卡瓦尼右侧大力抽射入近角，1比2
59'那不勒斯左作文章，苏尼加左路接应直塞下底倒三角传中                   59'第59分钟，因西涅禁区左侧低传，潘德夫在门前10米处停球左脚推射击中倒地封堵的坎比亚索左臂，他索要点球却吃到黄牌
59'潘德夫禁区内转身打门，被坎比亚索干扰                   59'第59分钟，因西涅禁区左侧低传，潘德夫在门前10米处停球左脚推射击中倒地封堵的坎比亚索左臂，他索要点球却吃到黄牌
60'国际米兰也作人员调整，8号帕拉西奥替下了99号卡萨诺！                   59'第59分钟，因西涅禁区左侧低传，潘德夫在门前10米处停球左脚推射击中倒地封堵的坎比亚索左臂，他索要点球却吃到黄牌
60'刚才潘德夫向裁判出言不逊，也吃到一张黄牌！                   59'第59分钟，因西涅禁区左侧低传，潘德夫在门前10米处停球左脚推射击中倒地封堵的坎比亚索左臂，他索要点球却吃到黄牌
61'那不勒斯这一段的进攻打得很流畅，国际米兰被压得喘不过气来                   59'第59分钟，因西涅禁区左侧低传，潘德夫在门前10米处停球左脚推射击中倒地封堵的坎比亚索左臂，他索要点球却吃到黄牌
61'米利托积极回接，贝赫拉米背后铲人犯规                   59'第59分钟，因西涅禁区左侧低传，潘德夫在门前10米处停球左脚推射击中倒地封堵的坎比亚索左臂，他索要点球却吃到黄牌
61'贝赫拉米也拿到黄牌，双方的火药味很浓！                   59'第59分钟，因西涅禁区左侧低传，潘德夫在门前10米处停球左脚推射击中倒地封堵的坎比亚索左臂，他索要点球却吃到黄牌
62'因斯格尼左路带球被对方双人合力抢了下来                   59'第59分钟，因西涅禁区左侧低传，潘德夫在门前10米处停球左脚推射击中倒地封堵的坎比亚索左臂，他索要点球却吃到黄牌
62'加尔加诺右路的带球苏尼加阻挡犯规                   59'第59分钟，因西涅禁区左侧低传，潘德夫在门前10米处停球左脚推射击中倒地封堵的坎比亚索左臂，他索要点球却吃到黄牌
62'国际米兰获得一个前场右路的任意球机会！                   59'第59分钟，因西涅禁区左侧低传，潘德夫在门前10米处停球左脚推射击中倒地封堵的坎比亚索左臂，他索要点球却吃到黄牌
68'瓜林再直塞禁区，帕拉西奥没有拿好球                   68'第68分钟，加尔加诺左路低传，瓜林在门前26米处抽射高出
68'帕拉西奥左路得球横传中路，禁区外瓜林实施远射，但支撑脚没有站稳，打飞了                   68'第68分钟，加尔加诺左路低传，瓜林在门前26米处抽射高出
68'哈姆西克直塞右肋部空档，因斯格尼下底传中被拉诺齐亚头球解围                   68'第68分钟，加尔加诺左路低传，瓜林在门前26米处抽射高出
69'哈姆西克外围调整后左脚抽射打在佩雷拉身上出了底线，角球                   68'第68分钟，加尔加诺左路低传，瓜林在门前26米处抽射高出
69'那不勒斯角球发到禁区，前点一漏，后点胡安还是先将球顶到禁区外                   68'第68分钟，加尔加诺左路低传，瓜林在门前26米处抽射高出
69'苏尼加左脚大力轰门打在对方球员身上出了底线                   68'第68分钟，加尔加诺左路低传，瓜林在门前26米处抽射高出
70'那不勒斯左路角球，第一点没有争到，哈姆西克拿到第二点，但转不过身来                   68'第68分钟，加尔加诺左路低传，瓜林在门前26米处抽射高出
70'布里托斯将球交给泽马伊利，哈姆西克接球失误                   68'第68分钟，加尔加诺左路低传，瓜林在门前26米处抽射高出
71'佩雷拉左路助攻上来横传球打在卡纳瓦罗身上                   68'第68分钟，加尔加诺左路低传，瓜林在门前26米处抽射高出
71'佩雷拉反抢时撞人犯规                   68'第68分钟，加尔加诺左路低传，瓜林在门前26米处抽射高出
84'那不勒斯作出最后一次人员调整，哈姆西克被替下！                   84'第84分钟，卡瓦尼突入禁区左侧低传后门柱，小胡安在梅斯托前面解围打中自己右手偏出右门柱
84'上场的是18号梅斯托！                   84'第84分钟，卡瓦尼突入禁区左侧低传后门柱，小胡安在梅斯托前面解围打中自己右手偏出右门柱
85'那不勒斯的好机会，左肋部下底传中，中路佩雷拉解围差一点成了乌龙球！                   84'第84分钟，卡瓦尼突入禁区左侧低传后门柱，小胡安在梅斯托前面解围打中自己右手偏出右门柱
85'佩雷拉左脚解围踢在自己手上了，差一点就飞进自家大门，差了一点点！                   84'第84分钟，卡瓦尼突入禁区左侧低传后门柱，小胡安在梅斯托前面解围打中自己右手偏出右门柱
85'因斯格尼的角球被胡安头球顶到中场                   84'第84分钟，卡瓦尼突入禁区左侧低传后门柱，小胡安在梅斯托前面解围打中自己右手偏出右门柱
86'下半场40分钟了，国米2：1暂时领先！                   84'第84分钟，卡瓦尼突入禁区左侧低传后门柱，小胡安在梅斯托前面解围打中自己右手偏出右门柱
86'卡瓦尼在弧顶处背身护球，萨内蒂背后踢倒了他！                   84'第84分钟，卡瓦尼突入禁区左侧低传后门柱，小胡安在梅斯托前面解围打中自己右手偏出右门柱
86'那不勒斯获得一个前场中路，但距离比较远，大概有35米左右的任意球机会！                   84'第84分钟，卡瓦尼突入禁区左侧低传后门柱，小胡安在梅斯托前面解围打中自己右手偏出右门柱
87'那不勒斯一拔一踩，因斯格尼再搓后点，马乔头球冲顶，顶得太正了，汉达诺维奇将球抱住！                   84'第84分钟，卡瓦尼突入禁区左侧低传后门柱，小胡安在梅斯托前面解围打中自己右手偏出右门柱
89'国际米兰战术角球，拉诺齐亚直塞右肋部空档                   89'第89分钟，帕拉西奥右路摆脱贝赫拉米切入禁区，在门前8米处左脚抽射滑出远门柱
89'帕拉西奥从贝身后绕过来再扣过卡纳瓦罗左脚打远门柱，球划门而过！！                   89'第89分钟，帕拉西奥右路摆脱贝赫拉米切入禁区，在门前8米处左脚抽射滑出远门柱
90'布里托斯长传到禁区，潘德夫停球回敲，卡瓦尼大力抽射打在拉诺齐亚后背出了底线                   89'第89分钟，帕拉西奥右路摆脱贝赫拉米切入禁区，在门前8米处左脚抽射滑出远门柱
90'因斯格尼的角球又形成一轮混战，最后长友佑都抢先解围                   89'第89分钟，帕拉西奥右路摆脱贝赫拉米切入禁区，在门前8米处左脚抽射滑出远门柱
91'下半场补时3分钟！                   89'第89分钟，帕拉西奥右路摆脱贝赫拉米切入禁区，在门前8米处左脚抽射滑出远门柱
91'这个补时时间有点少啊                   89'第89分钟，帕拉西奥右路摆脱贝赫拉米切入禁区，在门前8米处左脚抽射滑出远门柱
91'那不勒斯中路配合被坎比亚索抢断                   89'第89分钟，帕拉西奥右路摆脱贝赫拉米切入禁区，在门前8米处左脚抽射滑出远门柱
92'帕拉西奥弧顶处接应加尔加诺传球，卸下来转身抽射打在布里托斯脸部！                   89'第89分钟，帕拉西奥右路摆脱贝赫拉米切入禁区，在门前8米处左脚抽射滑出远门柱
92'主裁判吹停了比赛                   89'第89分钟，帕拉西奥右路摆脱贝赫拉米切入禁区，在门前8米处左脚抽射滑出远门柱
92'布里托斯应该没有问题，比赛继续                   89'第89分钟，帕拉西奥右路摆脱贝赫拉米切入禁区，在门前8米处左脚抽射滑出远门柱
92'又是帕拉西奥左肋部拿球，逼上梁山到角球区附近，再绕过来，库蒂尼奥接应，但被贝赫拉米先解围出底线                   89'第89分钟，帕拉西奥右路摆脱贝赫拉米切入禁区，在门前8米处左脚抽射滑出远门柱
