2'国际米兰球员姆维拉大禁区外尝试右脚射门,可惜皮球稍稍偏出了左球门.                   2'开场2分钟，姆维拉禁区前沿推射偏出
58'国际米兰球员奥斯瓦尔多大禁区中央尝试头球,可惜皮球稍稍偏出了右球门.给他传球的是多多.                   58'第58分钟，多多左路传中，奥斯瓦尔多争顶偏出
59'诺切里诺为都灵赢得一个任意球.                   58'第58分钟，多多左路传中，奥斯瓦尔多争顶偏出
59'国际米兰球员多多拼抢犯规,对手获得控球权.                   58'第58分钟，多多左路传中，奥斯瓦尔多争顶偏出
60'都灵球员Juan Sánchez Miño大禁区外左脚射门,被防守球员封堵.给他传球的是博沃.                   58'第58分钟，多多左路传中，奥斯瓦尔多争顶偏出
60'都灵球员夸利亚雷拉大禁区外尝试右脚射门,可惜皮球稍稍偏出了右球门.给他传球的是Juan Sánchez Miño.                   58'第58分钟，多多左路传中，奥斯瓦尔多争顶偏出
64'国际米兰球员埃尔纳内斯大禁区外左脚射门,被防守球员封堵.                   64'第64分钟，奥斯瓦尔多背身分球，伊卡尔迪右侧禁区前沿抽射被莫雷蒂挡出近门柱，若纳坦右侧开出角球，奥斯瓦尔多头球蹭出远门柱
64'国际米兰球员伊卡尔迪大禁区外右脚射门,被防守球员封堵.给他传球的是奥斯瓦尔多.                   64'第64分钟，奥斯瓦尔多背身分球，伊卡尔迪右侧禁区前沿抽射被莫雷蒂挡出近门柱，若纳坦右侧开出角球，奥斯瓦尔多头球蹭出远门柱
64'莫雷蒂将球处理出底线,国际米兰获得角球.                   64'第64分钟，奥斯瓦尔多背身分球，伊卡尔迪右侧禁区前沿抽射被莫雷蒂挡出近门柱，若纳坦右侧开出角球，奥斯瓦尔多头球蹭出远门柱
65'国际米兰球员奥斯瓦尔多大禁区中央尝试头球,可惜皮球稍稍偏出了左球门.给他传球的是乔纳森.                   64'第64分钟，奥斯瓦尔多背身分球，伊卡尔迪右侧禁区前沿抽射被莫雷蒂挡出近门柱，若纳坦右侧开出角球，奥斯瓦尔多头球蹭出远门柱
66'都灵球员拉隆多拼抢犯规,对手获得控球权.                   64'第64分钟，奥斯瓦尔多背身分球，伊卡尔迪右侧禁区前沿抽射被莫雷蒂挡出近门柱，若纳坦右侧开出角球，奥斯瓦尔多头球蹭出远门柱
66'埃尔纳内斯为国际米兰在对方半场,赢得一个任意球.                   64'第64分钟，奥斯瓦尔多背身分球，伊卡尔迪右侧禁区前沿抽射被莫雷蒂挡出近门柱，若纳坦右侧开出角球，奥斯瓦尔多头球蹭出远门柱
66'都灵球员诺切里诺大禁区外右脚射门,被防守球员封堵.给他传球的是Juan Sánchez Miño.                   64'第64分钟，奥斯瓦尔多背身分球，伊卡尔迪右侧禁区前沿抽射被莫雷蒂挡出近门柱，若纳坦右侧开出角球，奥斯瓦尔多头球蹭出远门柱
66'国际米兰球员埃尔纳内斯被主裁判出示了一张黄牌.                   64'第64分钟，奥斯瓦尔多背身分球，伊卡尔迪右侧禁区前沿抽射被莫雷蒂挡出近门柱，若纳坦右侧开出角球，奥斯瓦尔多头球蹭出远门柱
68'射门!!!国际米兰球员奥斯瓦尔多大禁区中央右脚射门,被对方守门员横身扑出.给他传球的是埃尔纳内斯.                   68'第68分钟，埃尔纳内斯直传禁区，奥斯瓦尔多在门前9米处单刀捅射被帕代利出击封出
69'都灵球员Juan Sánchez Miño拼抢犯规,对手获得控球权.                   68'第68分钟，埃尔纳内斯直传禁区，奥斯瓦尔多在门前9米处单刀捅射被帕代利出击封出
69'乔纳森为国际米兰赢得一个任意球.                   68'第68分钟，埃尔纳内斯直传禁区，奥斯瓦尔多在门前9米处单刀捅射被帕代利出击封出
69'都灵马希莫维奇受伤倒地,比赛暂停                   68'第68分钟，埃尔纳内斯直传禁区，奥斯瓦尔多在门前9米处单刀捅射被帕代利出击封出
71'暂停结束,球员们重新开始比赛.                   68'第68分钟，埃尔纳内斯直传禁区，奥斯瓦尔多在门前9米处单刀捅射被帕代利出击封出
71'都灵换人,莫利纳罗上,马希莫维奇因伤下场.                   68'第68分钟，埃尔纳内斯直传禁区，奥斯瓦尔多在门前9米处单刀捅射被帕代利出击封出
49'拉诺齐亚将球处理出底线,都灵获得角球.                   48'补时第3分钟，维迪奇向主裁判多维里鼓掌，结果被红牌罚下
