7'尤文图斯球员特维斯在禁区内摔倒了,但裁判判他假摔！                   7'第7分钟，特维斯被比翁迪尼绊倒，主裁判多维里却判假摔亮出黄牌
21'伊斯拉为尤文图斯在右路,赢得一个任意球.                   19'第19分钟，比达尔右侧距门21米处大力斜射击中横梁
22'热那亚球员比昂迪尼犯规,致使对方获得点球.                   19'第19分钟，比达尔右侧距门21米处大力斜射击中横梁
22'点球,阿萨莫阿在禁区内被侵犯,尤文图斯获得点球.                   19'第19分钟，比达尔右侧距门21米处大力斜射击中横梁
22'热那亚球员比昂迪尼犯规,致使对方获得点球.                   22'第22分钟，阿萨莫阿左肋突破，在禁区角附近被比翁迪尼绊倒，主裁判多维里吹罚点球
22'点球,阿萨莫阿在禁区内被侵犯,尤文图斯获得点球.                   22'第22分钟，阿萨莫阿左肋突破，在禁区角附近被比翁迪尼绊倒，主裁判多维里吹罚点球
23'进球啦！！！尤文图斯球员比达尔右脚射门,球从左上角飞进球门,球进了! 尤文图斯 1-0 热那亚.                   22'第22分钟，阿萨莫阿左肋突破，在禁区角附近被比翁迪尼绊倒，主裁判多维里吹罚点球
25'射门!!!尤文图斯球员皮尔洛大禁区中央右脚射门,被对方守门员横身扑出.给他传球的是特维斯.                   22'第22分钟，阿萨莫阿左肋突破，在禁区角附近被比翁迪尼绊倒，主裁判多维里吹罚点球
25'佩林将球处理出底线,尤文图斯获得角球.                   22'第22分钟，阿萨莫阿左肋突破，在禁区角附近被比翁迪尼绊倒，主裁判多维里吹罚点球
26'贝尔托拉奇为热那亚赢得一个任意球.                   26'第26分钟，特维斯禁区左侧低传，皮尔洛没有第一时间起脚，在门前9米处闪开曼弗雷迪尼推射被佩林托出
26'尤文图斯球员比达尔拼抢犯规,对手获得控球权.                   26'第26分钟，特维斯禁区左侧低传，皮尔洛没有第一时间起脚，在门前9米处闪开曼弗雷迪尼推射被佩林托出
27'贝尔托拉奇为热那亚在对方半场,赢得一个任意球.                   26'第26分钟，特维斯禁区左侧低传，皮尔洛没有第一时间起脚，在门前9米处闪开曼弗雷迪尼推射被佩林托出
27'尤文图斯球员博格巴拼抢犯规,对手获得控球权.                   26'第26分钟，特维斯禁区左侧低传，皮尔洛没有第一时间起脚，在门前9米处闪开曼弗雷迪尼推射被佩林托出
36'进球啦！！！尤文图斯球员特维斯大禁区左侧左脚射门,球从右下角飞进球门,球进了!助攻的是阿萨莫阿. 尤文图斯 2-0 热那亚.                   36'尤文第36分钟扩大比分，阿萨莫阿左路低传，特维斯前点拿球扛住后卫，右脚一扣摆脱波尔塔诺瓦，在门前8米处左脚抽射入右下角，2比0
37'安东尼尼为热那亚在对方半场,赢得一个任意球.                   36'尤文第36分钟扩大比分，阿萨莫阿左路低传，特维斯前点拿球扛住后卫，右脚一扣摆脱波尔塔诺瓦，在门前8米处左脚抽射入右下角，2比0
37'尤文图斯球员博格巴拼抢犯规,对手获得控球权.                   36'尤文第36分钟扩大比分，阿萨莫阿左路低传，特维斯前点拿球扛住后卫，右脚一扣摆脱波尔塔诺瓦，在门前8米处左脚抽射入右下角，2比0
37'热那亚球员吉拉迪诺大禁区中央左脚射门,被防守球员封堵.给他传球的是沃萨齐科.                   36'尤文第36分钟扩大比分，阿萨莫阿左路低传，特维斯前点拿球扛住后卫，右脚一扣摆脱波尔塔诺瓦，在门前8米处左脚抽射入右下角，2比0
38'热那亚球员贝尔托拉奇大禁区外左脚射门,被防守球员封堵.                   36'尤文第36分钟扩大比分，阿萨莫阿左路低传，特维斯前点拿球扛住后卫，右脚一扣摆脱波尔塔诺瓦，在门前8米处左脚抽射入右下角，2比0
38'基耶利尼将球处理出底线,热那亚获得角球.                   36'尤文第36分钟扩大比分，阿萨莫阿左路低传，特维斯前点拿球扛住后卫，右脚一扣摆脱波尔塔诺瓦，在门前8米处左脚抽射入右下角，2比0
38'阿萨莫阿将球处理出底线,热那亚获得角球.                   36'尤文第36分钟扩大比分，阿萨莫阿左路低传，特维斯前点拿球扛住后卫，右脚一扣摆脱波尔塔诺瓦，在门前8米处左脚抽射入右下角，2比0
39'热那亚贝尔托拉奇受伤倒地,比赛暂停                   36'尤文第36分钟扩大比分，阿萨莫阿左路低传，特维斯前点拿球扛住后卫，右脚一扣摆脱波尔塔诺瓦，在门前8米处左脚抽射入右下角，2比0
39'暂停结束,球员们重新开始比赛.                   36'尤文第36分钟扩大比分，阿萨莫阿左路低传，特维斯前点拿球扛住后卫，右脚一扣摆脱波尔塔诺瓦，在门前8米处左脚抽射入右下角，2比0
48'尤文图斯球员特维斯大禁区外右脚射门,被防守球员封堵.给他传球的是基耶利尼.                   48'第48分钟，基耶利尼断球被库奇卡放倒，皮尔洛主罚任意球打在人墙上
48'热那亚球员库奇卡拼抢犯规,对手获得控球权.                   48'第48分钟，基耶利尼断球被库奇卡放倒，皮尔洛主罚任意球打在人墙上
48'基耶利尼为尤文图斯在对方半场,赢得一个任意球.                   48'第48分钟，基耶利尼断球被库奇卡放倒，皮尔洛主罚任意球打在人墙上
49'尤文图斯球员皮尔洛大禁区外右脚射门,被防守球员封堵.                   48'第48分钟，基耶利尼断球被库奇卡放倒，皮尔洛主罚任意球打在人墙上
65'射门!!!尤文图斯球员比达尔大禁区中央左脚射门,被对方守门员横身扑出.给他传球的是特维斯.                   65'第65分钟，特维斯传球，比达尔禁区内左脚射门被佩林得到
66'热那亚安东尼尼受伤倒地,比赛暂停                   65'第65分钟，特维斯传球，比达尔禁区内左脚射门被佩林得到
66'暂停结束,球员们重新开始比赛.                   65'第65分钟，特维斯传球，比达尔禁区内左脚射门被佩林得到
68'科纳特为热那亚赢得一个任意球.                   65'第65分钟，特维斯传球，比达尔禁区内左脚射门被佩林得到
68'尤文图斯球员巴尔扎利拼抢犯规,对手获得控球权.                   65'第65分钟，特维斯传球，比达尔禁区内左脚射门被佩林得到
87'热那亚球员Ricardo Centurion一脚直塞球给科纳特,但是边裁举旗显示后者已经越位.                   87'第87分钟，帕多因换下比达尔
87'尤文图斯换人,帕多因换下比达尔                   87'第87分钟，帕多因换下比达尔
88'尤文图斯球员博切列大禁区外左脚射门,被防守球员封堵.给他传球的是皮尔洛.                   87'第87分钟，帕多因换下比达尔
89'尤文图斯球员乔文科大禁区外左脚射门,被防守球员封堵.给他传球的是伊斯拉.                   87'第87分钟，帕多因换下比达尔
90'热那亚球员库奇卡尝试右脚射门,可惜皮球稍稍偏出了右球门.给他传球的是曼弗雷蒂尼.                   87'第87分钟，帕多因换下比达尔
90'+2'热那亚球员费特法齐迪斯大禁区中央尝试头球,可惜皮球高出球门.给他传球的是沃萨齐科.                   87'第87分钟，帕多因换下比达尔
90'+3'Ricardo Centurion为热那亚赢得一个任意球.                   87'第87分钟，帕多因换下比达尔
90'+3'尤文图斯球员博切列拼抢犯规,对手获得控球权.                   87'第87分钟，帕多因换下比达尔
90'+3'下半场结束,尤文图斯 2-0 热那亚                   87'第87分钟，帕多因换下比达尔
