6'锡耶纳球员菲利佩拼抢犯规,对手获得控球权.                   5'开场5分钟，尤文角球制造混乱，博努奇门前踢空错失机会
26'暂停结束,球员们重新开始比赛.                   25'第25分钟，皮尔洛中路任意球送到禁区左侧，武齐尼奇小角度头球攻门，佩戈洛飞身将球没收，但他被队友泰利齐踢中倒地接受治疗
26'锡耶纳佩格罗受伤倒地,比赛暂停                   25'第25分钟，皮尔洛中路任意球送到禁区左侧，武齐尼奇小角度头球攻门，佩戈洛飞身将球没收，但他被队友泰利齐踢中倒地接受治疗
28'尤文图斯球员武齐尼奇大禁区外右脚射门,被防守球员封堵.给他传球的是博努奇.                   25'第25分钟，皮尔洛中路任意球送到禁区左侧，武齐尼奇小角度头球攻门，佩戈洛飞身将球没收，但他被队友泰利齐踢中倒地接受治疗
33'尤文图斯球员皮尔洛一脚直塞球给马尔基西奥,但是边裁举旗显示后者已经越位.                   31'尤文第31分钟取得领先
35'射门!!!尤文图斯球员博格巴大禁区中央右脚射门,被对方守门员横身扑出.给他传球的是阿萨莫阿.                   35'第35分钟，阿萨莫阿左路反越位回敲，博格巴在门前10米处推射被佩戈洛没收
38'尤文图斯球员乔文科一脚直塞球给武齐尼奇,但是边裁举旗显示后者已经越位.                   35'第35分钟，阿萨莫阿左路反越位回敲，博格巴在门前10米处推射被佩戈洛没收
43'尤文图斯球员武齐尼奇一脚直塞球给乔文科,但是边裁举旗显示后者已经越位.                   43'第43分钟，武齐尼奇直传，乔文科在门前12米处转身左脚打高，不过被判越位
45'+1'上半场结束,尤文图斯 1-0 锡耶纳,稍事休息,我们一会来看看下半场两队的表现.                   43'第43分钟，武齐尼奇直传，乔文科在门前12米处转身左脚打高，不过被判越位
46'罗西纳为锡耶纳赢得一个任意球.                   43'第43分钟，武齐尼奇直传，乔文科在门前12米处转身左脚打高，不过被判越位
46'尤文图斯球员皮尔洛拼抢犯规,对手获得控球权.                   43'第43分钟，武齐尼奇直传，乔文科在门前12米处转身左脚打高，不过被判越位
60'尤文图斯球员皮尔洛大禁区外尝试右脚射门,可惜皮球稍稍偏出了左球门.                   60'第60分钟，皮尔洛横趟距门22米处巧妙吊射稍稍偏出左门柱
62'尤文图斯球员博格巴大禁区外尝试右脚射门,可惜皮球高出球门.给他传球的是利西斯泰纳.                   60'第60分钟，皮尔洛横趟距门22米处巧妙吊射稍稍偏出左门柱
74'锡耶纳换人,阿格拉换下罗西纳                   74'尤文第74分钟扩大优势
74'进球啦！！！尤文图斯球员乔文科大禁区左侧左脚射门,球从左上角飞进球门,球进了!助攻的是皮尔洛. 尤文图斯 2-0 锡耶纳.                   74'尤文第74分钟扩大优势
76'射门!!!锡耶纳球员埃梅加拉大禁区中央头球,被对方守门员横身扑出.给他传球的是阿格拉.                   74'尤文第74分钟扩大优势
77'尤文图斯换人,基耶利尼换下阿萨莫阿                   74'尤文第74分钟扩大优势
76'射门!!!锡耶纳球员埃梅加拉大禁区中央头球,被对方守门员横身扑出.给他传球的是阿格拉.                   76'锡耶纳第76分钟险些破门，阿格拉右路传中，埃梅加拉在门前7米处头球被布冯单手一托击中横梁下沿弹回
77'尤文图斯换人,基耶利尼换下阿萨莫阿                   76'锡耶纳第76分钟险些破门，阿格拉右路传中，埃梅加拉在门前7米处头球被布冯单手一托击中横梁下沿弹回
78'尤文图斯球员马特里大禁区左侧左脚射门,被防守球员封堵.给他传球的是马尔基西奥.                   76'锡耶纳第76分钟险些破门，阿格拉右路传中，埃梅加拉在门前7米处头球被布冯单手一托击中横梁下沿弹回
78'约尔根-特谢拉将球处理出底线,尤文图斯获得角球.                   76'锡耶纳第76分钟险些破门，阿格拉右路传中，埃梅加拉在门前7米处头球被布冯单手一托击中横梁下沿弹回
79'尤文图斯球员马特里球门左侧小角度尝试头球,可惜皮球高出球门.给他传球的是乔文科.                   76'锡耶纳第76分钟险些破门，阿格拉右路传中，埃梅加拉在门前7米处头球被布冯单手一托击中横梁下沿弹回
78'尤文图斯球员马特里大禁区左侧左脚射门,被防守球员封堵.给他传球的是马尔基西奥.                   78'第78分钟，马特里禁区左侧射门被封堵
78'约尔根-特谢拉将球处理出底线,尤文图斯获得角球.                   78'第78分钟，马特里禁区左侧射门被封堵
79'尤文图斯球员马特里球门左侧小角度尝试头球,可惜皮球高出球门.给他传球的是乔文科.                   78'第78分钟，马特里禁区左侧射门被封堵
81'尤文图斯换人,贾凯里尼上,乔文科因伤下场.                   78'第78分钟，马特里禁区左侧射门被封堵
83'射门!!!锡耶纳球员阿格拉大禁区左侧右脚射门,被对方守门员横身扑出.给他传球的是鲁宾.                   83'第83分钟，鲁宾左路低传，阿格拉前点距门14米处转身抽射远角被布冯封出
83'德拉罗卡为锡耶纳在对方半场,赢得一个任意球.                   83'第83分钟，鲁宾左路低传，阿格拉前点距门14米处转身抽射远角被布冯封出
83'尤文图斯球员马尔基西奥拼抢犯规,对手获得控球权.                   83'第83分钟，鲁宾左路低传，阿格拉前点距门14米处转身抽射远角被布冯封出
84'锡耶纳球员特尔里奇大禁区外左脚射门,命中门柱右侧立柱.                   83'第83分钟，鲁宾左路低传，阿格拉前点距门14米处转身抽射远角被布冯封出
84'尤文图斯球员马尔基西奥一脚直塞球给马特里,但是边裁举旗显示后者已经越位.                   83'第83分钟，鲁宾左路低传，阿格拉前点距门14米处转身抽射远角被布冯封出
89'进球啦！！！尤文图斯球员博格巴大禁区外右脚射门,球从左下角飞进球门,球进了!助攻的是贾凯里尼. 尤文图斯 3-0 锡耶纳.                   89'第89分钟，贾凯里尼传球，博格巴虚晃闪开后卫，禁区弧顶低射钻进左下角，3比0，本赛季5大联赛进球超过4个的球员中，年龄比博格巴小的只有西布朗的卢卡库
90'+2'尤文图斯球员贾凯里尼大禁区左侧尝试右脚射门,可惜皮球稍稍偏出了右球门.给他传球的是皮尔洛.                   89'第89分钟，贾凯里尼传球，博格巴虚晃闪开后卫，禁区弧顶低射钻进左下角，3比0，本赛季5大联赛进球超过4个的球员中，年龄比博格巴小的只有西布朗的卢卡库
90'+3'锡耶纳换人,韦雷换下德拉罗卡                   89'第89分钟，贾凯里尼传球，博格巴虚晃闪开后卫，禁区弧顶低射钻进左下角，3比0，本赛季5大联赛进球超过4个的球员中，年龄比博格巴小的只有西布朗的卢卡库
90'+3'下半场结束,尤文图斯 3-0 锡耶纳                   89'第89分钟，贾凯里尼传球，博格巴虚晃闪开后卫，禁区弧顶低射钻进左下角，3比0，本赛季5大联赛进球超过4个的球员中，年龄比博格巴小的只有西布朗的卢卡库
