1'上半场比赛开始！                   1'第1分钟毅腾与国安互有边路传中冲击
23'回敲的时候力量小了                   21'第21分钟，张晓斌将球打到右路空档，陈志钊底线前传中，巴塔拉前点包抄攻门瞬间被毅腾防线抢先破坏
23'国安队挑传到禁区内                   21'第21分钟，张晓斌将球打到右路空档，陈志钊底线前传中，巴塔拉前点包抄攻门瞬间被毅腾防线抢先破坏
23'毅腾的防守很密集                   21'第21分钟，张晓斌将球打到右路空档，陈志钊底线前传中，巴塔拉前点包抄攻门瞬间被毅腾防线抢先破坏
23'国安队没有什么机会                   21'第21分钟，张晓斌将球打到右路空档，陈志钊底线前传中，巴塔拉前点包抄攻门瞬间被毅腾防线抢先破坏
23'周挺传球给到禁区前沿                   21'第21分钟，张晓斌将球打到右路空档，陈志钊底线前传中，巴塔拉前点包抄攻门瞬间被毅腾防线抢先破坏
23'底线的传球赢得角球机会                   21'第21分钟，张晓斌将球打到右路空档，陈志钊底线前传中，巴塔拉前点包抄攻门瞬间被毅腾防线抢先破坏
24'国安队角球做了一个战术配合                   21'第21分钟，张晓斌将球打到右路空档，陈志钊底线前传中，巴塔拉前点包抄攻门瞬间被毅腾防线抢先破坏
24'右路的传球被挡了出来                   21'第21分钟，张晓斌将球打到右路空档，陈志钊底线前传中，巴塔拉前点包抄攻门瞬间被毅腾防线抢先破坏
24'罗德瑞格后场抢球推了一下张稀哲                   21'第21分钟，张晓斌将球打到右路空档，陈志钊底线前传中，巴塔拉前点包抄攻门瞬间被毅腾防线抢先破坏
24'国安队将球打到禁区内                   21'第21分钟，张晓斌将球打到右路空档，陈志钊底线前传中，巴塔拉前点包抄攻门瞬间被毅腾防线抢先破坏
32'bcccd：必须支持哈尔滨了，他几乎所有客场都放水了【怎么就成放水了。。。。】                   32'在连续任意球、角球冲击后，国安于第32分钟形成威胁攻势，陈志钊右路送出妙传，乌塔卡禁区中路头球攻门角度过正，郭纯泉将球没收
32'国安队右翼起球送禁区内                   32'在连续任意球、角球冲击后，国安于第32分钟形成威胁攻势，陈志钊右路送出妙传，乌塔卡禁区中路头球攻门角度过正，郭纯泉将球没收
32'乌塔卡头球攻门！！                   32'在连续任意球、角球冲击后，国安于第32分钟形成威胁攻势，陈志钊右路送出妙传，乌塔卡禁区中路头球攻门角度过正，郭纯泉将球没收
32'太正了，郭纯泉下意识的将球挡了一下                   32'在连续任意球、角球冲击后，国安于第32分钟形成威胁攻势，陈志钊右路送出妙传，乌塔卡禁区中路头球攻门角度过正，郭纯泉将球没收
32'第二反应，郭纯泉很快将球拿到                   32'在连续任意球、角球冲击后，国安于第32分钟形成威胁攻势，陈志钊右路送出妙传，乌塔卡禁区中路头球攻门角度过正，郭纯泉将球没收
34'多利右路拿球到边路                   32'在连续任意球、角球冲击后，国安于第32分钟形成威胁攻势，陈志钊右路送出妙传，乌塔卡禁区中路头球攻门角度过正，郭纯泉将球没收
34'国安队双人包夹将球抢断下来                   32'在连续任意球、角球冲击后，国安于第32分钟形成威胁攻势，陈志钊右路送出妙传，乌塔卡禁区中路头球攻门角度过正，郭纯泉将球没收
35'新浪用户：哈尔滨拼太凶小心后劲不足！支持北京，长春队去年的恩人！【公平竞赛】                   32'在连续任意球、角球冲击后，国安于第32分钟形成威胁攻势，陈志钊右路送出妙传，乌塔卡禁区中路头球攻门角度过正，郭纯泉将球没收
36'韩旭前场禁区前沿争抢头球的时候被撞了一下                   36'毅腾反击中频频起高球冲吊，效果并不理想；第36分钟，韩旭在国安禁区前争高点时与背后的于洋对撞受伤，韩旭一时倒地不起，比赛出现伤停
36'韩旭落地后重重的摔在了地上                   36'毅腾反击中频频起高球冲吊，效果并不理想；第36分钟，韩旭在国安禁区前争高点时与背后的于洋对撞受伤，韩旭一时倒地不起，比赛出现伤停
36'韩旭还躺在草坪上                   36'毅腾反击中频频起高球冲吊，效果并不理想；第36分钟，韩旭在国安禁区前争高点时与背后的于洋对撞受伤，韩旭一时倒地不起，比赛出现伤停
38'李健中场传球被挡                   36'毅腾反击中频频起高球冲吊，效果并不理想；第36分钟，韩旭在国安禁区前争高点时与背后的于洋对撞受伤，韩旭一时倒地不起，比赛出现伤停
38'巴塔拉中场拿球被断                   36'毅腾反击中频频起高球冲吊，效果并不理想；第36分钟，韩旭在国安禁区前争高点时与背后的于洋对撞受伤，韩旭一时倒地不起，比赛出现伤停
39'于洋中场防守的时候拉人犯规                   36'毅腾反击中频频起高球冲吊，效果并不理想；第36分钟，韩旭在国安禁区前争高点时与背后的于洋对撞受伤，韩旭一时倒地不起，比赛出现伤停
43'国安队进球了！！                   43'第43分钟，国安取得入球――巴塔拉禁区前攻门被毅腾防线封堵，皮球反弹到禁区左侧，张稀哲快速横敲中路，无人防守的陈志钊在小禁区线前攻门，皮球击中立柱内侧撞入网内，国安1-0领先
43'陈志钊！！                   43'第43分钟，国安取得入球――巴塔拉禁区前攻门被毅腾防线封堵，皮球反弹到禁区左侧，张稀哲快速横敲中路，无人防守的陈志钊在小禁区线前攻门，皮球击中立柱内侧撞入网内，国安1-0领先
44'巴塔拉禁区弧顶远射被挡，禁区内张稀哲直接做球到中路，陈志钊直接推近角，球击中门柱弹入球网！                   43'第43分钟，国安取得入球――巴塔拉禁区前攻门被毅腾防线封堵，皮球反弹到禁区左侧，张稀哲快速横敲中路，无人防守的陈志钊在小禁区线前攻门，皮球击中立柱内侧撞入网内，国安1-0领先
45'这是陈志钊为国安打进的第一个球！                   43'第43分钟，国安取得入球――巴塔拉禁区前攻门被毅腾防线封堵，皮球反弹到禁区左侧，张稀哲快速横敲中路，无人防守的陈志钊在小禁区线前攻门，皮球击中立柱内侧撞入网内，国安1-0领先
45'罗德瑞格右路带球突破被徐云龙放倒                   43'第43分钟，国安取得入球――巴塔拉禁区前攻门被毅腾防线封堵，皮球反弹到禁区左侧，张稀哲快速横敲中路，无人防守的陈志钊在小禁区线前攻门，皮球击中立柱内侧撞入网内，国安1-0领先
45'哈尔滨毅腾前场右路获得定位球机会                   43'第43分钟，国安取得入球――巴塔拉禁区前攻门被毅腾防线封堵，皮球反弹到禁区左侧，张稀哲快速横敲中路，无人防守的陈志钊在小禁区线前攻门，皮球击中立柱内侧撞入网内，国安1-0领先
45'看看这次机会                   43'第43分钟，国安取得入球――巴塔拉禁区前攻门被毅腾防线封堵，皮球反弹到禁区左侧，张稀哲快速横敲中路，无人防守的陈志钊在小禁区线前攻门，皮球击中立柱内侧撞入网内，国安1-0领先
46'刘小龙任意球送后点                   43'第43分钟，国安取得入球――巴塔拉禁区前攻门被毅腾防线封堵，皮球反弹到禁区左侧，张稀哲快速横敲中路，无人防守的陈志钊在小禁区线前攻门，皮球击中立柱内侧撞入网内，国安1-0领先
46'杨智出击稍微有些冒                   43'第43分钟，国安取得入球――巴塔拉禁区前攻门被毅腾防线封堵，皮球反弹到禁区左侧，张稀哲快速横敲中路，无人防守的陈志钊在小禁区线前攻门，皮球击中立柱内侧撞入网内，国安1-0领先
46'但毅腾这边没有获得起脚的机会                   43'第43分钟，国安取得入球――巴塔拉禁区前攻门被毅腾防线封堵，皮球反弹到禁区左侧，张稀哲快速横敲中路，无人防守的陈志钊在小禁区线前攻门，皮球击中立柱内侧撞入网内，国安1-0领先
46'下半场比赛开始！                   43'第43分钟，国安取得入球――巴塔拉禁区前攻门被毅腾防线封堵，皮球反弹到禁区左侧，张稀哲快速横敲中路，无人防守的陈志钊在小禁区线前攻门，皮球击中立柱内侧撞入网内，国安1-0领先
46'下半场比赛由哈尔滨毅腾开球                   43'第43分钟，国安取得入球――巴塔拉禁区前攻门被毅腾防线封堵，皮球反弹到禁区左侧，张稀哲快速横敲中路，无人防守的陈志钊在小禁区线前攻门，皮球击中立柱内侧撞入网内，国安1-0领先
50'王远强：这是8连败的节奏？【不应该吧】                   50'第50分钟，毅腾右翼将球打入国安禁区，多利在周挺贴防下攻门未能打上力量
51'多利禁区内转身打门被干扰                   50'第50分钟，毅腾右翼将球打入国安禁区，多利在周挺贴防下攻门未能打上力量
52'哈尔滨毅腾机会啊                   50'第50分钟，毅腾右翼将球打入国安禁区，多利在周挺贴防下攻门未能打上力量
52'里卡多的远射被杨智扑出底线                   50'第50分钟，毅腾右翼将球打入国安禁区，多利在周挺贴防下攻门未能打上力量
52'很有威胁啊                   50'第50分钟，毅腾右翼将球打入国安禁区，多利在周挺贴防下攻门未能打上力量
53'毅腾角球送中路，这边被国安队顶出                   50'第50分钟，毅腾右翼将球打入国安禁区，多利在周挺贴防下攻门未能打上力量
53'张晓彬被出了一张黄牌                   50'第50分钟，毅腾右翼将球打入国安禁区，多利在周挺贴防下攻门未能打上力量
53'毅腾这边卜鑫也是中场被换上场                   50'第50分钟，毅腾右翼将球打入国安禁区，多利在周挺贴防下攻门未能打上力量
53'卜鑫边路起球送中路                   50'第50分钟，毅腾右翼将球打入国安禁区，多利在周挺贴防下攻门未能打上力量
55'国安队送球到禁区里                   55'第55分钟，河大成将球塞入毅腾禁区，乌塔卡得球后回做，陈志钊调整攻门被亚当-休斯封堵
55'乌塔卡底线拿球将球回敲                   55'第55分钟，河大成将球塞入毅腾禁区，乌塔卡得球后回做，陈志钊调整攻门被亚当-休斯封堵
55'陈志钊禁区内得球，晃开防守球员打门                   55'第55分钟，河大成将球塞入毅腾禁区，乌塔卡得球后回做，陈志钊调整攻门被亚当-休斯封堵
55'球被亚当-休斯挡了出来                   55'第55分钟，河大成将球塞入毅腾禁区，乌塔卡得球后回做，陈志钊调整攻门被亚当-休斯封堵
56'哈尔滨毅腾获得角球机会                   55'第55分钟，河大成将球塞入毅腾禁区，乌塔卡得球后回做，陈志钊调整攻门被亚当-休斯封堵
56'角球送后点                   55'第55分钟，河大成将球塞入毅腾禁区，乌塔卡得球后回做，陈志钊调整攻门被亚当-休斯封堵
56'双方球员都没有抢到                   55'第55分钟，河大成将球塞入毅腾禁区，乌塔卡得球后回做，陈志钊调整攻门被亚当-休斯封堵
56'右路，毅腾再传被被挡出底线                   55'第55分钟，河大成将球塞入毅腾禁区，乌塔卡得球后回做，陈志钊调整攻门被亚当-休斯封堵
56'毅腾角球送前点，这点不好                   55'第55分钟，河大成将球塞入毅腾禁区，乌塔卡得球后回做，陈志钊调整攻门被亚当-休斯封堵
57'徐云龙后场解围踢空了。。。。                   55'第55分钟，河大成将球塞入毅腾禁区，乌塔卡得球后回做，陈志钊调整攻门被亚当-休斯封堵
57'好在第二反应很快                   55'第55分钟，河大成将球塞入毅腾禁区，乌塔卡得球后回做，陈志钊调整攻门被亚当-休斯封堵
58'卜鑫左路起球                   55'第55分钟，河大成将球塞入毅腾禁区，乌塔卡得球后回做，陈志钊调整攻门被亚当-休斯封堵
58'球在前点就被拦了下来                   55'第55分钟，河大成将球塞入毅腾禁区，乌塔卡得球后回做，陈志钊调整攻门被亚当-休斯封堵
59'巴塔拉前场拿球给到左路                   59'第59分钟，巴塔拉将球分到左路空档，乌塔卡禁区内扣球摆脱后小角度大力攻门，郭纯泉将球挡起，皮球反弹来到禁区右翼，巴塔拉小角度攻门打偏
59'乌塔卡得球后往禁区里走，底线附近，小角度打门被郭纯泉碰了一下                   59'第59分钟，巴塔拉将球分到左路空档，乌塔卡禁区内扣球摆脱后小角度大力攻门，郭纯泉将球挡起，皮球反弹来到禁区右翼，巴塔拉小角度攻门打偏
59'球到了后点                   59'第59分钟，巴塔拉将球分到左路空档，乌塔卡禁区内扣球摆脱后小角度大力攻门，郭纯泉将球挡起，皮球反弹来到禁区右翼，巴塔拉小角度攻门打偏
59'巴塔拉再打，球打在边网上                   59'第59分钟，巴塔拉将球分到左路空档，乌塔卡禁区内扣球摆脱后小角度大力攻门，郭纯泉将球挡起，皮球反弹来到禁区右翼，巴塔拉小角度攻门打偏
62'卜鑫中场人球分过                   59'第59分钟，巴塔拉将球分到左路空档，乌塔卡禁区内扣球摆脱后小角度大力攻门，郭纯泉将球挡起，皮球反弹来到禁区右翼，巴塔拉小角度攻门打偏
62'这球最后一下打了                   59'第59分钟，巴塔拉将球分到左路空档，乌塔卡禁区内扣球摆脱后小角度大力攻门，郭纯泉将球挡起，皮球反弹来到禁区右翼，巴塔拉小角度攻门打偏
62'被国安队卡住身位，最后卜鑫推人犯规                   59'第59分钟，巴塔拉将球分到左路空档，乌塔卡禁区内扣球摆脱后小角度大力攻门，郭纯泉将球挡起，皮球反弹来到禁区右翼，巴塔拉小角度攻门打偏
47'怪怪女Min：看的捉急死了、终于进了！【心满意足啦？】                   47'2分钟后卜鑫左路传中颇具威胁，多利与里卡多在门前双点包抄，徐云龙作出关键拦截将球挡出
47'新浪用户： 哈尔滨后半程7个主场，抢分好机会！长春今年解决掉心态问题保级不是问题！辽宁和大连底蕴和人脉怎么看都不像降级队！【得先把自己的心态放好了】                   47'2分钟后卜鑫左路传中颇具威胁，多利与里卡多在门前双点包抄，徐云龙作出关键拦截将球挡出
48'国安队获得角球                   47'2分钟后卜鑫左路传中颇具威胁，多利与里卡多在门前双点包抄，徐云龙作出关键拦截将球挡出
48'这次角球质量又一般                   47'2分钟后卜鑫左路传中颇具威胁，多利与里卡多在门前双点包抄，徐云龙作出关键拦截将球挡出
49'陈志钊边路拿球，传球被挡                   47'2分钟后卜鑫左路传中颇具威胁，多利与里卡多在门前双点包抄，徐云龙作出关键拦截将球挡出
50'王远强：这是8连败的节奏？【不应该吧】                   47'2分钟后卜鑫左路传中颇具威胁，多利与里卡多在门前双点包抄，徐云龙作出关键拦截将球挡出
46'刘小龙任意球送后点                   46'1分钟后周挺中场犯规拦截了卜鑫的快攻机会，周挺领到黄牌
46'杨智出击稍微有些冒                   46'1分钟后周挺中场犯规拦截了卜鑫的快攻机会，周挺领到黄牌
46'但毅腾这边没有获得起脚的机会                   46'1分钟后周挺中场犯规拦截了卜鑫的快攻机会，周挺领到黄牌
47'怪怪女Min：看的捉急死了、终于进了！【心满意足啦？】                   46'1分钟后周挺中场犯规拦截了卜鑫的快攻机会，周挺领到黄牌
47'新浪用户： 哈尔滨后半程7个主场，抢分好机会！长春今年解决掉心态问题保级不是问题！辽宁和大连底蕴和人脉怎么看都不像降级队！【得先把自己的心态放好了】                   46'1分钟后周挺中场犯规拦截了卜鑫的快攻机会，周挺领到黄牌
46'下半场比赛开始！                   46'1分钟后周挺中场犯规拦截了卜鑫的快攻机会，周挺领到黄牌
46'下半场比赛由哈尔滨毅腾开球                   46'1分钟后周挺中场犯规拦截了卜鑫的快攻机会，周挺领到黄牌
48'国安队获得角球                   46'1分钟后周挺中场犯规拦截了卜鑫的快攻机会，周挺领到黄牌
48'这次角球质量又一般                   46'1分钟后周挺中场犯规拦截了卜鑫的快攻机会，周挺领到黄牌
49'陈志钊边路拿球，传球被挡                   46'1分钟后周挺中场犯规拦截了卜鑫的快攻机会，周挺领到黄牌
80'张稀哲前场拿球，晃开空挡打门                   80'国安又形成对毅腾的持续冲击局面，第80分钟，张稀哲外围劲射打在了刚替补出场的邵佳一身上
81'这球打在了禁区内邵佳一的身上。。。                   80'国安又形成对毅腾的持续冲击局面，第80分钟，张稀哲外围劲射打在了刚替补出场的邵佳一身上
81'罗德瑞格后场防守中犯规                   80'国安又形成对毅腾的持续冲击局面，第80分钟，张稀哲外围劲射打在了刚替补出场的邵佳一身上
81'张稀哲任意球送后点                   80'国安又形成对毅腾的持续冲击局面，第80分钟，张稀哲外围劲射打在了刚替补出场的邵佳一身上
81'乌塔卡头球顶了一下被后卫解围                   80'国安又形成对毅腾的持续冲击局面，第80分钟，张稀哲外围劲射打在了刚替补出场的邵佳一身上
82'河大成禁区外围远射被郭纯泉扑出                   80'国安又形成对毅腾的持续冲击局面，第80分钟，张稀哲外围劲射打在了刚替补出场的邵佳一身上
83'王大龙防守邵佳一的时候踢人犯规                   80'国安又形成对毅腾的持续冲击局面，第80分钟，张稀哲外围劲射打在了刚替补出场的邵佳一身上
83'王大龙得到一张黄牌！                   80'国安又形成对毅腾的持续冲击局面，第80分钟，张稀哲外围劲射打在了刚替补出场的邵佳一身上
83'王大龙防守邵佳一的时候踢人犯规                   83'第83分钟，王大龙在禁区前直接踩踏在了邵佳一腿部，领到黄牌；国安任意球斜传禁区，陈志钊头球攻门被郭纯泉没收
83'王大龙得到一张黄牌！                   83'第83分钟，王大龙在禁区前直接踩踏在了邵佳一腿部，领到黄牌；国安任意球斜传禁区，陈志钊头球攻门被郭纯泉没收
84'张稀哲任意球一踩，邵佳一再往禁区里送                   83'第83分钟，王大龙在禁区前直接踩踏在了邵佳一腿部，领到黄牌；国安任意球斜传禁区，陈志钊头球攻门被郭纯泉没收
84'队友头球攻门被郭纯泉得到                   83'第83分钟，王大龙在禁区前直接踩踏在了邵佳一腿部，领到黄牌；国安任意球斜传禁区，陈志钊头球攻门被郭纯泉没收
84'国安队换人，张稀哲下，宋博轩上！                   83'第83分钟，王大龙在禁区前直接踩踏在了邵佳一腿部，领到黄牌；国安任意球斜传禁区，陈志钊头球攻门被郭纯泉没收
86'毅腾中场传球，李家赫没有拿到                   83'第83分钟，王大龙在禁区前直接踩踏在了邵佳一腿部，领到黄牌；国安任意球斜传禁区，陈志钊头球攻门被郭纯泉没收
87'毅腾右路连续晃动                   87'第87分钟，毅腾右路传中制造威胁，国安门前周挺抢在里卡多前头球解围
87'最后底线的传球送后点，周挺先头球解围出底线                   87'第87分钟，毅腾右路传中制造威胁，国安门前周挺抢在里卡多前头球解围
87'里卡多启动晚了一点                   87'第87分钟，毅腾右路传中制造威胁，国安门前周挺抢在里卡多前头球解围
87'毅腾角球送中路，杨智双拳将球击出                   87'第87分钟，毅腾右路传中制造威胁，国安门前周挺抢在里卡多前头球解围
88'国安队现在是全线退防                   87'第87分钟，毅腾右路传中制造威胁，国安门前周挺抢在里卡多前头球解围
88'宋博轩后场边路拿球被拉倒                   87'第87分钟，毅腾右路传中制造威胁，国安门前周挺抢在里卡多前头球解围
90'陈志钊右路拿球送直塞                   87'第87分钟，毅腾右路传中制造威胁，国安门前周挺抢在里卡多前头球解围
90'邵佳一底线拿球赢得角球机会                   87'第87分钟，毅腾右路传中制造威胁，国安门前周挺抢在里卡多前头球解围
90'下半场补时3分钟！                   87'第87分钟，毅腾右路传中制造威胁，国安门前周挺抢在里卡多前头球解围
90'国安队战术角球开出                   87'第87分钟，毅腾右路传中制造威胁，国安门前周挺抢在里卡多前头球解围
90'毅腾边路将球破坏                   87'第87分钟，毅腾右路传中制造威胁，国安门前周挺抢在里卡多前头球解围
48'国安队获得角球                   48'进入补时阶段国安则连获前场任意球、角球；3分钟补时最后时刻，国安解围失误制造险情，徐云龙开球被里卡多挡到左路，多利摆脱出击的杨智冲入禁区，但多利小角度抢射时对补防的于洋犯规
48'这次角球质量又一般                   48'进入补时阶段国安则连获前场任意球、角球；3分钟补时最后时刻，国安解围失误制造险情，徐云龙开球被里卡多挡到左路，多利摆脱出击的杨智冲入禁区，但多利小角度抢射时对补防的于洋犯规
49'陈志钊边路拿球，传球被挡                   48'进入补时阶段国安则连获前场任意球、角球；3分钟补时最后时刻，国安解围失误制造险情，徐云龙开球被里卡多挡到左路，多利摆脱出击的杨智冲入禁区，但多利小角度抢射时对补防的于洋犯规
50'王远强：这是8连败的节奏？【不应该吧】                   48'进入补时阶段国安则连获前场任意球、角球；3分钟补时最后时刻，国安解围失误制造险情，徐云龙开球被里卡多挡到左路，多利摆脱出击的杨智冲入禁区，但多利小角度抢射时对补防的于洋犯规
51'多利禁区内转身打门被干扰                   48'进入补时阶段国安则连获前场任意球、角球；3分钟补时最后时刻，国安解围失误制造险情，徐云龙开球被里卡多挡到左路，多利摆脱出击的杨智冲入禁区，但多利小角度抢射时对补防的于洋犯规
