3'战术角球开出，马塞洛的传中到前点                   3'开场仅3分钟，纳乔角球混战中头球摆渡，拉莫斯小禁区前头球攻门高出
38'伊斯科侧身迎球抽射，被鲁什卡单掌打出                   36'第36分钟，矿工门将鲁斯卡传球失误，但伊斯科禁区右肋10码处挑射擦左侧立柱偏出
38'贝尔禁区左侧拿球再打，被胡布尼克挡出底线                   36'第36分钟，矿工门将鲁斯卡传球失误，但伊斯科禁区右肋10码处挑射擦左侧立柱偏出
39'皇马再次获得左侧角球机会，没能形成威胁！                   36'第36分钟，矿工门将鲁斯卡传球失误，但伊斯科禁区右肋10码处挑射擦左侧立柱偏出
39'林贝尔斯基前场左路拿球，面对贝尔的防守                   36'第36分钟，矿工门将鲁斯卡传球失误，但伊斯科禁区右肋10码处挑射擦左侧立柱偏出
55'皇马再进一个，2-0！！！                   55'第55分钟，刚刚换下伊斯科的巴尔韦德传球，贝尔脚后跟妙传，马塞洛小禁区边缘单刀挑射入网，2-0
55'马塞洛！！！                   55'第55分钟，刚刚换下伊斯科的巴尔韦德传球，贝尔脚后跟妙传，马塞洛小禁区边缘单刀挑射入网，2-0
56'马塞洛左路内切传中找贝尔，被胡布尼克捅出，巴尔韦德外围拿球，再给贝尔，贝尔脚后跟分球给插上的马塞洛，马塞洛面对出击的鲁什卡，挑射打进远角！                   55'第55分钟，刚刚换下伊斯科的巴尔韦德传球，贝尔脚后跟妙传，马塞洛小禁区边缘单刀挑射入网，2-0
57'看来巴尔韦德的登场，还是有效果的啊！打脸了。。。                   55'第55分钟，刚刚换下伊斯科的巴尔韦德传球，贝尔脚后跟妙传，马塞洛小禁区边缘单刀挑射入网，2-0
58'克罗斯中场拿球，分球左侧巴尔韦德                   55'第55分钟，刚刚换下伊斯科的巴尔韦德传球，贝尔脚后跟妙传，马塞洛小禁区边缘单刀挑射入网，2-0
58'再回传克罗斯，给到过了中线的拉莫斯                   55'第55分钟，刚刚换下伊斯科的巴尔韦德传球，贝尔脚后跟妙传，马塞洛小禁区边缘单刀挑射入网，2-0
58'斜传右路找到莫德里奇，回带再给卡塞米罗                   55'第55分钟，刚刚换下伊斯科的巴尔韦德传球，贝尔脚后跟妙传，马塞洛小禁区边缘单刀挑射入网，2-0
78'克罗斯斜塞身后，阿森西奥左侧前插接应                   78'比尔森胜利第78分钟扳回一城，塞尔马克传球，赫罗绍夫斯基禁区边缘低射右下角入网，1-2
78'下底传中到后点，巴斯克斯的头球轰门                   78'比尔森胜利第78分钟扳回一城，塞尔马克传球，赫罗绍夫斯基禁区边缘低射右下角入网，1-2
78'弹地后出了底线，可惜！！                   78'比尔森胜利第78分钟扳回一城，塞尔马克传球，赫罗绍夫斯基禁区边缘低射右下角入网，1-2
78'比尔森扳回一城，1-2！！！！                   78'比尔森胜利第78分钟扳回一城，塞尔马克传球，赫罗绍夫斯基禁区边缘低射右下角入网，1-2
78'佩特泽拉！！                   78'比尔森胜利第78分钟扳回一城，塞尔马克传球，赫罗绍夫斯基禁区边缘低射右下角入网，1-2
79'科尔门切克前场中路拿球，分球佩特泽拉，佩特泽拉变向再突，禁区弧右侧一脚推射，越过纳瓦斯的十指关，打进球门右下角！                   78'比尔森胜利第78分钟扳回一城，塞尔马克传球，赫罗绍夫斯基禁区边缘低射右下角入网，1-2
80'1个球的差距，这胜负又不好说了                   78'比尔森胜利第78分钟扳回一城，塞尔马克传球，赫罗绍夫斯基禁区边缘低射右下角入网，1-2
80'胡布尼克后场拿球，给到中圈的科尔门切克                   78'比尔森胜利第78分钟扳回一城，塞尔马克传球，赫罗绍夫斯基禁区边缘低射右下角入网，1-2
81'再给左侧林贝尔斯基，直塞佩特泽拉                   78'比尔森胜利第78分钟扳回一城，塞尔马克传球，赫罗绍夫斯基禁区边缘低射右下角入网，1-2
81'横传再给中间的科尔门切克                   78'比尔森胜利第78分钟扳回一城，塞尔马克传球，赫罗绍夫斯基禁区边缘低射右下角入网，1-2
81'分球右侧赫贾达，内切被拉莫斯放铲拦截                   78'比尔森胜利第78分钟扳回一城，塞尔马克传球，赫罗绍夫斯基禁区边缘低射右下角入网，1-2
81'巴尔韦德左路拿球，直塞马塞洛                   78'比尔森胜利第78分钟扳回一城，塞尔马克传球，赫罗绍夫斯基禁区边缘低射右下角入网，1-2
81'再找中间的本泽马，雷兹尼克的解围                   78'比尔森胜利第78分钟扳回一城，塞尔马克传球，赫罗绍夫斯基禁区边缘低射右下角入网，1-2
