12'鲍里索夫禁区外围远射！！                   12'第12分钟，德拉甘传球，巴加25码处劲射憾中右侧立柱弹回
43'裁判没有吹罚                   41'切尔西第41分钟险些破门，阿扎尔开出角球，吉鲁前点10码处甩头攻门，皮球擦远角立柱稍稍偏出
43'切尔西右路起球送禁区                   41'切尔西第41分钟险些破门，阿扎尔开出角球，吉鲁前点10码处甩头攻门，皮球擦远角立柱稍稍偏出
43'给到了后点                   41'切尔西第41分钟险些破门，阿扎尔开出角球，吉鲁前点10码处甩头攻门，皮球擦远角立柱稍稍偏出
43'给的大了                   41'切尔西第41分钟险些破门，阿扎尔开出角球，吉鲁前点10码处甩头攻门，皮球擦远角立柱稍稍偏出
43'直接出了远端边线                   41'切尔西第41分钟险些破门，阿扎尔开出角球，吉鲁前点10码处甩头攻门，皮球擦远角立柱稍稍偏出
58'切尔西进攻上来                   58'第58分钟，赫莱布传球，德拉甘25码处劲射，皮球打中斯格尼维奇偏转后击中左侧立柱弹回
58'阿扎尔将球分出来                   58'第58分钟，赫莱布传球，德拉甘25码处劲射，皮球打中斯格尼维奇偏转后击中左侧立柱弹回
58'队友禁区弧顶没有拿住                   58'第58分钟，赫莱布传球，德拉甘25码处劲射，皮球打中斯格尼维奇偏转后击中左侧立柱弹回
58'鲍里索夫将球给到禁区                   58'第58分钟，赫莱布传球，德拉甘25码处劲射，皮球打中斯格尼维奇偏转后击中左侧立柱弹回
58'左侧没有起脚的机会                   58'第58分钟，赫莱布传球，德拉甘25码处劲射，皮球打中斯格尼维奇偏转后击中左侧立柱弹回
58'将球转移出来                   58'第58分钟，赫莱布传球，德拉甘25码处劲射，皮球打中斯格尼维奇偏转后击中左侧立柱弹回
58'挑传到禁区                   58'第58分钟，赫莱布传球，德拉甘25码处劲射，皮球打中斯格尼维奇偏转后击中左侧立柱弹回
58'科帕将球摘到                   58'第58分钟，赫莱布传球，德拉甘25码处劲射，皮球打中斯格尼维奇偏转后击中左侧立柱弹回
60'鲍里索夫中场送直塞到底线                   58'第58分钟，赫莱布传球，德拉甘25码处劲射，皮球打中斯格尼维奇偏转后击中左侧立柱弹回
60'倒三角回到中路                   58'第58分钟，赫莱布传球，德拉甘25码处劲射，皮球打中斯格尼维奇偏转后击中左侧立柱弹回
61'跟进的打门居然打高了                   58'第58分钟，赫莱布传球，德拉甘25码处劲射，皮球打中斯格尼维奇偏转后击中左侧立柱弹回
46'下半场比赛开始！！                   46'1分钟后，巴克利远射被扑出
47'中场休息双方都没有进行人员调整                   46'1分钟后，巴克利远射被扑出
49'切尔西左路拿球到了禁区里                   46'1分钟后，巴克利远射被扑出
49'没有起脚的机会                   46'1分钟后，巴克利远射被扑出
49'禁区外围再次将球转移                   46'1分钟后，巴克利远射被扑出
93'最后时刻鲍里索夫获得角球                   93'第93分钟，切尔西解围角球，沃尔科夫禁区弧顶半凌空抽射，皮球再次击中右侧立柱弹回
93'看看能不能抓住机会啊                   93'第93分钟，切尔西解围角球，沃尔科夫禁区弧顶半凌空抽射，皮球再次击中右侧立柱弹回
93'门将也过来了                   93'第93分钟，切尔西解围角球，沃尔科夫禁区弧顶半凌空抽射，皮球再次击中右侧立柱弹回
94'角球给到禁区                   93'第93分钟，切尔西解围角球，沃尔科夫禁区弧顶半凌空抽射，皮球再次击中右侧立柱弹回
94'没有点啊                   93'第93分钟，切尔西解围角球，沃尔科夫禁区弧顶半凌空抽射，皮球再次击中右侧立柱弹回
94'禁区外围撩射                   93'第93分钟，切尔西解围角球，沃尔科夫禁区弧顶半凌空抽射，皮球再次击中右侧立柱弹回
94'又是一脚立柱啊！！！                   93'第93分钟，切尔西解围角球，沃尔科夫禁区弧顶半凌空抽射，皮球再次击中右侧立柱弹回
94'时间已经到了                   93'第93分钟，切尔西解围角球，沃尔科夫禁区弧顶半凌空抽射，皮球再次击中右侧立柱弹回
