7'申花右路的强行传中拿到一个边线球                   7'第7分钟申花队王寿挺在对方后场被王大龙放倒，但莫雷诺的任意球打在人墙里弹出
39'瞬间扳平比分！！姜坤进球！！！                   38'但申花队立刻扳平比分，第38分钟申花传球到对方禁区，对方解围不远，姜坤禁区外起左脚怒射，皮球低平掠过草坪，飞入大门死角，1比1，申花扳平比分
40'申花左路传中进禁区，毅腾后卫解围不远，姜坤禁区前直接起左脚抽低平球取远角入网！！                   38'但申花队立刻扳平比分，第38分钟申花传球到对方禁区，对方解围不远，姜坤禁区外起左脚怒射，皮球低平掠过草坪，飞入大门死角，1比1，申花扳平比分
40'场上比分1-1！！                   38'但申花队立刻扳平比分，第38分钟申花传球到对方禁区，对方解围不远，姜坤禁区外起左脚怒射，皮球低平掠过草坪，飞入大门死角，1比1，申花扳平比分
40'卜鑫左路传中被顶出去                   38'但申花队立刻扳平比分，第38分钟申花传球到对方禁区，对方解围不远，姜坤禁区外起左脚怒射，皮球低平掠过草坪，飞入大门死角，1比1，申花扳平比分
40'毅腾再进一球！！！                   38'但申花队立刻扳平比分，第38分钟申花传球到对方禁区，对方解围不远，姜坤禁区外起左脚怒射，皮球低平掠过草坪，飞入大门死角，1比1，申花扳平比分
40'这是打篮球吗？一个回合进一个！！！                   38'但申花队立刻扳平比分，第38分钟申花传球到对方禁区，对方解围不远，姜坤禁区外起左脚怒射，皮球低平掠过草坪，飞入大门死角，1比1，申花扳平比分
40'进球的还是多利！！！                   38'但申花队立刻扳平比分，第38分钟申花传球到对方禁区，对方解围不远，姜坤禁区外起左脚怒射，皮球低平掠过草坪，飞入大门死角，1比1，申花扳平比分
41'毅腾左路传中去后点，李家赫垫射被邱盛炯扑出，多利腾身而起倒钩补射破门！！                   38'但申花队立刻扳平比分，第38分钟申花传球到对方禁区，对方解围不远，姜坤禁区外起左脚怒射，皮球低平掠过草坪，飞入大门死角，1比1，申花扳平比分
41'毅腾2-1再度领先绿地申花！                   38'但申花队立刻扳平比分，第38分钟申花传球到对方禁区，对方解围不远，姜坤禁区外起左脚怒射，皮球低平掠过草坪，飞入大门死角，1比1，申花扳平比分
44'用户tbm9o26vsh：什么情况奥特曼？？你又上去进了俩球？怎么这么快？ （我倒是也想上去试两脚啊）                   44'第44分钟申花大举压境，哈尔滨队员禁区外对曹S定犯规，姜坤任意球稍稍偏出门外
45'曹赟定中场断球，禁区前连续配合直塞莫雷诺                   44'第44分钟申花大举压境，哈尔滨队员禁区外对曹S定犯规，姜坤任意球稍稍偏出门外
45'裁判鸣哨吹罚禁区前毅腾队员先有犯规，任意球                   44'第44分钟申花大举压境，哈尔滨队员禁区外对曹S定犯规，姜坤任意球稍稍偏出门外
46'上半场补时3分钟！                   44'第44分钟申花大举压境，哈尔滨队员禁区外对曹S定犯规，姜坤任意球稍稍偏出门外
46'姜坤任意球直接射门！稍稍打偏！                   44'第44分钟申花大举压境，哈尔滨队员禁区外对曹S定犯规，姜坤任意球稍稍偏出门外
46'多利前场争顶犯规了                   44'第44分钟申花大举压境，哈尔滨队员禁区外对曹S定犯规，姜坤任意球稍稍偏出门外
47'曹秉局长传前场，莫雷诺头球摆渡找路易斯                   44'第44分钟申花大举压境，哈尔滨队员禁区外对曹S定犯规，姜坤任意球稍稍偏出门外
47'路易斯禁区弧顶被放倒，还是任意球                   44'第44分钟申花大举压境，哈尔滨队员禁区外对曹S定犯规，姜坤任意球稍稍偏出门外
46'下半场比赛开始！                   44'第44分钟申花大举压境，哈尔滨队员禁区外对曹S定犯规，姜坤任意球稍稍偏出门外
46'毅腾中圈开球                   44'第44分钟申花大举压境，哈尔滨队员禁区外对曹S定犯规，姜坤任意球稍稍偏出门外
46'曹赟定左路分球，给丢了                   44'第44分钟申花大举压境，哈尔滨队员禁区外对曹S定犯规，姜坤任意球稍稍偏出门外
46'亚当休斯中场转移左路，被李文博拦截                   44'第44分钟申花大举压境，哈尔滨队员禁区外对曹S定犯规，姜坤任意球稍稍偏出门外
47'我们看保罗被换下了，另外王长庆换下了李文博                   44'第44分钟申花大举压境，哈尔滨队员禁区外对曹S定犯规，姜坤任意球稍稍偏出门外
48'莫雷诺任意球射门打在人墙上，角球                   48'第48分钟哈尔滨队险些打进第三球，哈尔滨队右路传中，后点的里卡多迎球冲顶，皮球中柱弹出，在中路多利的头球补射，但却擦着门楣而出
49'角球去后点，空中先出界了                   48'第48分钟哈尔滨队险些打进第三球，哈尔滨队右路传中，后点的里卡多迎球冲顶，皮球中柱弹出，在中路多利的头球补射，但却擦着门楣而出
49'上半场比赛结束！                   48'第48分钟哈尔滨队险些打进第三球，哈尔滨队右路传中，后点的里卡多迎球冲顶，皮球中柱弹出，在中路多利的头球补射，但却擦着门楣而出
48'申花半场做了两个换人调整                   48'第48分钟哈尔滨队险些打进第三球，哈尔滨队右路传中，后点的里卡多迎球冲顶，皮球中柱弹出，在中路多利的头球补射，但却擦着门楣而出
48'曹秉局后场解围，踢在对方脚上出边线                   48'第48分钟哈尔滨队险些打进第三球，哈尔滨队右路传中，后点的里卡多迎球冲顶，皮球中柱弹出，在中路多利的头球补射，但却擦着门楣而出
49'李健右路传中，里卡多头球砸在立柱上弹回！                   48'第48分钟哈尔滨队险些打进第三球，哈尔滨队右路传中，后点的里卡多迎球冲顶，皮球中柱弹出，在中路多利的头球补射，但却擦着门楣而出
49'多利头球补射稍稍高出横梁！                   48'第48分钟哈尔滨队险些打进第三球，哈尔滨队右路传中，后点的里卡多迎球冲顶，皮球中柱弹出，在中路多利的头球补射，但却擦着门楣而出
50'王寿挺补防右路，放倒卜鑫犯规                   48'第48分钟哈尔滨队险些打进第三球，哈尔滨队右路传中，后点的里卡多迎球冲顶，皮球中柱弹出，在中路多利的头球补射，但却擦着门楣而出
51'请叫额华子：奥特曼，你发的那个唱歌的美女叫啥？谢谢 （这我还真不知道，有谁认识没？）                   48'第48分钟哈尔滨队险些打进第三球，哈尔滨队右路传中，后点的里卡多迎球冲顶，皮球中柱弹出，在中路多利的头球补射，但却擦着门楣而出
52'罗德瑞格任意球去后点，直接出底线                   52'第52分钟申花获得任意球机会，徐亮任意球打得太正
52'亚当休斯后场争顶犯规，申花任意球                   52'第52分钟申花获得任意球机会，徐亮任意球打得太正
53'徐亮任意球去门前，弹地之后被门将没收                   52'第52分钟申花获得任意球机会，徐亮任意球打得太正
53'毅腾左路连续小范围一脚出球                   52'第52分钟申花获得任意球机会，徐亮任意球打得太正
54'卜鑫受伤被换下了，上场的是李鑫                   52'第52分钟申花获得任意球机会，徐亮任意球打得太正
54'柏佳骏左路拿球，被包夹断球了                   52'第52分钟申花获得任意球机会，徐亮任意球打得太正
55'李健右路送直塞，力量大了到禁区被邱盛炯拿到                   52'第52分钟申花获得任意球机会，徐亮任意球打得太正
55'姜坤中场送直传，力量小了                   52'第52分钟申花获得任意球机会，徐亮任意球打得太正
57'姜坤右路底线前转身传中还是被拦截                   57'第57分钟徐亮中路分球，姜坤右路传中，莫雷诺后点强力头球稍稍高出门楣
57'crewlove： 主播你的回复实在太萌了～ （谢谢夸奖！不客气！）                   57'第57分钟徐亮中路分球，姜坤右路传中，莫雷诺后点强力头球稍稍高出门楣
58'徐亮中场拿球，分边到右路                   57'第57分钟徐亮中路分球，姜坤右路传中，莫雷诺后点强力头球稍稍高出门楣
58'姜坤高质量传中去中路，莫雷诺力压后卫冲顶高出横梁！                   57'第57分钟徐亮中路分球，姜坤右路传中，莫雷诺后点强力头球稍稍高出门楣
58'哈尔滨毅腾的胸前广告赞助商是？A:空白 B:毅腾   [qiangda]                   57'第57分钟徐亮中路分球，姜坤右路传中，莫雷诺后点强力头球稍稍高出门楣
59'毅腾右路送身后，传中被王长庆顶出，角球                   57'第57分钟徐亮中路分球，姜坤右路传中，莫雷诺后点强力头球稍稍高出门楣
59'角球去中路被解围，许东跟上垫射打高了！                   57'第57分钟徐亮中路分球，姜坤右路传中，莫雷诺后点强力头球稍稍高出门楣
60'姜坤中场拿球被亚当休斯放倒                   57'第57分钟徐亮中路分球，姜坤右路传中，莫雷诺后点强力头球稍稍高出门楣
60'裁判黄牌警告了亚当休斯                   57'第57分钟徐亮中路分球，姜坤右路传中，莫雷诺后点强力头球稍稍高出门楣
60'王长庆45度角往禁区前送球，高度不够                   57'第57分钟徐亮中路分球，姜坤右路传中，莫雷诺后点强力头球稍稍高出门楣
61'高迪禁区内接右路传中，倒钩没有打上力量                   61'第61分钟申花前锋路易斯前场带球突破时被拦截，哈尔滨队立刻快速反击，徐亮中场拉人结果吃到黄牌
61'猴儿香蕉有毒：申花最后一个换人名额应该是。郑凯木换姜昆！！信不信由你 （不管你信不信，我反正还要再看看）                   61'第61分钟申花前锋路易斯前场带球突破时被拦截，哈尔滨队立刻快速反击，徐亮中场拉人结果吃到黄牌
62'毅腾中场高球进禁区，多利头球摆渡被邱盛炯没收                   61'第61分钟申花前锋路易斯前场带球突破时被拦截，哈尔滨队立刻快速反击，徐亮中场拉人结果吃到黄牌
62'路易斯左路反击，突破进禁区被破坏                   61'第61分钟申花前锋路易斯前场带球突破时被拦截，哈尔滨队立刻快速反击，徐亮中场拉人结果吃到黄牌
62'徐亮中场回追拉人犯规了                   61'第61分钟申花前锋路易斯前场带球突破时被拦截，哈尔滨队立刻快速反击，徐亮中场拉人结果吃到黄牌
62'裁判也对徐亮出示了黄牌！                   61'第61分钟申花前锋路易斯前场带球突破时被拦截，哈尔滨队立刻快速反击，徐亮中场拉人结果吃到黄牌
63'毅腾的任意球还是直接冲吊禁区，没有大威胁                   61'第61分钟申花前锋路易斯前场带球突破时被拦截，哈尔滨队立刻快速反击，徐亮中场拉人结果吃到黄牌
63'莫雷诺禁区右侧晃动进禁区，直塞给插上的曹赟定，后者没有调整好                   61'第61分钟申花前锋路易斯前场带球突破时被拦截，哈尔滨队立刻快速反击，徐亮中场拉人结果吃到黄牌
64'姜坤右路传中去禁区                   61'第61分钟申花前锋路易斯前场带球突破时被拦截，哈尔滨队立刻快速反击，徐亮中场拉人结果吃到黄牌
64'高迪破门！但是裁判示意越位在先！                   61'第61分钟申花前锋路易斯前场带球突破时被拦截，哈尔滨队立刻快速反击，徐亮中场拉人结果吃到黄牌
64'曹赟定头球摆渡找高迪的时候，好像是稍稍有些半个身位的越位                   61'第61分钟申花前锋路易斯前场带球突破时被拦截，哈尔滨队立刻快速反击，徐亮中场拉人结果吃到黄牌
65'进球无效，比分还是2-1                   65'第65分钟姜坤禁区外轻巧挑射稍稍偏出
65'柏佳骏左路传中被头球顶出来                   65'第65分钟姜坤禁区外轻巧挑射稍稍偏出
66'姜坤禁区前拿球，调整一步，搓射远角打偏！                   65'第65分钟姜坤禁区外轻巧挑射稍稍偏出
66'多利禁区右侧做球到禁区前，李鑫调整慢了，射门被挡                   65'第65分钟姜坤禁区外轻巧挑射稍稍偏出
67'莫雷诺右路拿球突破被拉拽，任意球                   65'第65分钟姜坤禁区外轻巧挑射稍稍偏出
68'姜坤右路和曹赟定2过1配合，传中到禁区，路易斯头球顶偏！                   65'第65分钟姜坤禁区外轻巧挑射稍稍偏出
68'裁判示意有角球                   65'第65分钟姜坤禁区外轻巧挑射稍稍偏出
68'姜坤角球去中路，亚当休斯头球解围                   65'第65分钟姜坤禁区外轻巧挑射稍稍偏出
70'快开任意球，球到后点，双方争头球撞在一起                   70'第70分钟姜坤带球被王大龙放倒，徐亮任意球开向左路，高迪从对方后卫身后杀出，抢在郭纯泉之前飞身垫射，皮球飞入大门，2比2，申花扳平比分
70'都没有大碍，球门球                   70'第70分钟姜坤带球被王大龙放倒，徐亮任意球开向左路，高迪从对方后卫身后杀出，抢在郭纯泉之前飞身垫射，皮球飞入大门，2比2，申花扳平比分
71'姜坤禁区前靠右的位置被绊倒，任意球                   70'第70分钟姜坤带球被王大龙放倒，徐亮任意球开向左路，高迪从对方后卫身后杀出，抢在郭纯泉之前飞身垫射，皮球飞入大门，2比2，申花扳平比分
71'绿地申花的队内第一射手是？A:哈蒂布 B:莫雷诺 C:高迪 [qiangda]                   70'第70分钟姜坤带球被王大龙放倒，徐亮任意球开向左路，高迪从对方后卫身后杀出，抢在郭纯泉之前飞身垫射，皮球飞入大门，2比2，申花扳平比分
72'申花进球了！！！                   70'第70分钟姜坤带球被王大龙放倒，徐亮任意球开向左路，高迪从对方后卫身后杀出，抢在郭纯泉之前飞身垫射，皮球飞入大门，2比2，申花扳平比分
72'进球的是高迪！！                   70'第70分钟姜坤带球被王大龙放倒，徐亮任意球开向左路，高迪从对方后卫身后杀出，抢在郭纯泉之前飞身垫射，皮球飞入大门，2比2，申花扳平比分
72'徐亮高质量任意球去远门柱，无人防守的高迪插上垫射破门！                   70'第70分钟姜坤带球被王大龙放倒，徐亮任意球开向左路，高迪从对方后卫身后杀出，抢在郭纯泉之前飞身垫射，皮球飞入大门，2比2，申花扳平比分
73'申花再度追平比分！2-2！                   70'第70分钟姜坤带球被王大龙放倒，徐亮任意球开向左路，高迪从对方后卫身后杀出，抢在郭纯泉之前飞身垫射，皮球飞入大门，2比2，申花扳平比分
73'申花再反击                   70'第70分钟姜坤带球被王大龙放倒，徐亮任意球开向左路，高迪从对方后卫身后杀出，抢在郭纯泉之前飞身垫射，皮球飞入大门，2比2，申花扳平比分
73'反超！！！再进一球！！！                   70'第70分钟姜坤带球被王大龙放倒，徐亮任意球开向左路，高迪从对方后卫身后杀出，抢在郭纯泉之前飞身垫射，皮球飞入大门，2比2，申花扳平比分
73'进球的是莫雷诺！！！                   70'第70分钟姜坤带球被王大龙放倒，徐亮任意球开向左路，高迪从对方后卫身后杀出，抢在郭纯泉之前飞身垫射，皮球飞入大门，2比2，申花扳平比分
73'莫雷诺和路易斯一个踢墙2过1，莫雷诺进禁区甩开防守过掉门将，推射破门！！！                   70'第70分钟姜坤带球被王大龙放倒，徐亮任意球开向左路，高迪从对方后卫身后杀出，抢在郭纯泉之前飞身垫射，皮球飞入大门，2比2，申花扳平比分
85'裁判黄牌警告了郑凯木！                   85'看到自己两度领先，如今却是落后局面，哈尔滨队当然不甘心接受这样的场面，他们抓住最后的时间进攻，第85分钟替换姜坤出场的郑凯木中圈拉倒亚当休斯吃到黄牌
85'李健右路突破下底拿到一个角球机会                   85'看到自己两度领先，如今却是落后局面，哈尔滨队当然不甘心接受这样的场面，他们抓住最后的时间进攻，第85分钟替换姜坤出场的郑凯木中圈拉倒亚当休斯吃到黄牌
86'角球开前点，还是被徐亮先顶出去                   85'看到自己两度领先，如今却是落后局面，哈尔滨队当然不甘心接受这样的场面，他们抓住最后的时间进攻，第85分钟替换姜坤出场的郑凯木中圈拉倒亚当休斯吃到黄牌
86'外围球进禁区去后点                   85'看到自己两度领先，如今却是落后局面，哈尔滨队当然不甘心接受这样的场面，他们抓住最后的时间进攻，第85分钟替换姜坤出场的郑凯木中圈拉倒亚当休斯吃到黄牌
86'点球！                   85'看到自己两度领先，如今却是落后局面，哈尔滨队当然不甘心接受这样的场面，他们抓住最后的时间进攻，第85分钟替换姜坤出场的郑凯木中圈拉倒亚当休斯吃到黄牌
86'裁判示意王长庆绊人犯规！                   85'看到自己两度领先，如今却是落后局面，哈尔滨队当然不甘心接受这样的场面，他们抓住最后的时间进攻，第85分钟替换姜坤出场的郑凯木中圈拉倒亚当休斯吃到黄牌
87'李旭东的扣球过人，赢得一个点球                   85'看到自己两度领先，如今却是落后局面，哈尔滨队当然不甘心接受这样的场面，他们抓住最后的时间进攻，第85分钟替换姜坤出场的郑凯木中圈拉倒亚当休斯吃到黄牌
87'多利操刀！                   85'看到自己两度领先，如今却是落后局面，哈尔滨队当然不甘心接受这样的场面，他们抓住最后的时间进攻，第85分钟替换姜坤出场的郑凯木中圈拉倒亚当休斯吃到黄牌
87'骗过门将！帽子戏法！多利！！                   85'看到自己两度领先，如今却是落后局面，哈尔滨队当然不甘心接受这样的场面，他们抓住最后的时间进攻，第85分钟替换姜坤出场的郑凯木中圈拉倒亚当休斯吃到黄牌
88'场上比分3-3！                   85'看到自己两度领先，如今却是落后局面，哈尔滨队当然不甘心接受这样的场面，他们抓住最后的时间进攻，第85分钟替换姜坤出场的郑凯木中圈拉倒亚当休斯吃到黄牌
88'申花反击马上又打到禁区前                   85'看到自己两度领先，如今却是落后局面，哈尔滨队当然不甘心接受这样的场面，他们抓住最后的时间进攻，第85分钟替换姜坤出场的郑凯木中圈拉倒亚当休斯吃到黄牌
88'王长庆右路被绊倒，任意球                   85'看到自己两度领先，如今却是落后局面，哈尔滨队当然不甘心接受这样的场面，他们抓住最后的时间进攻，第85分钟替换姜坤出场的郑凯木中圈拉倒亚当休斯吃到黄牌
91'绿地申花目前联赛排名第几？A:7 B:8 C:9 [qiangda]                   91'第91分钟申花大兵压镜，柏佳骏射门掠过小禁区，申花多名队员都反应不及
91'曹秉局后场断球，带过中场                   91'第91分钟申花大兵压镜，柏佳骏射门掠过小禁区，申花多名队员都反应不及
91'莫雷诺前场横敲找路易斯                   91'第91分钟申花大兵压镜，柏佳骏射门掠过小禁区，申花多名队员都反应不及
92'路易斯推给身后的曹赟定，后者斜射打偏！                   91'第91分钟申花大兵压镜，柏佳骏射门掠过小禁区，申花多名队员都反应不及
92'毅腾反击，走右路，停球大了                   91'第91分钟申花大兵压镜，柏佳骏射门掠过小禁区，申花多名队员都反应不及
93'王长庆右路传中，被顶出                   91'第91分钟申花大兵压镜，柏佳骏射门掠过小禁区，申花多名队员都反应不及
93'全场比赛结束！                   91'第91分钟申花大兵压镜，柏佳骏射门掠过小禁区，申花多名队员都反应不及
