2'本场比赛是下午2点半开始，正是日头高晒之时                   2'第2分钟，绿城队前场将球抢断，但左路直传给大了，被张鹭将球没收
22'辽宁后场长传球，曹轩将球顶出去                   20'第20分钟，马佐拉中场拿球摆脱的时候肇俊哲放铲犯规了，领到了第1分钟第一张黄牌
23'辽宁后场长传球，曹轩将球顶出去                   20'第20分钟，马佐拉中场拿球摆脱的时候肇俊哲放铲犯规了，领到了第1分钟第一张黄牌
23'【支持辽宁请戳这里】                   20'第20分钟，马佐拉中场拿球摆脱的时候肇俊哲放铲犯规了，领到了第1分钟第一张黄牌
26'布兰丹左路拿球转身后低平球直塞，后卫解围                   25'第25分钟，辽宁队右路控制球，打到中场后布兰丹分到左路，郑涛传中球给后点，埃杜底线再回敲，金泰延在对手紧逼下打门踢飞了
26'绿城左路进攻，杨善平把球拦截交给埃杜                   25'第25分钟，辽宁队右路控制球，打到中场后布兰丹分到左路，郑涛传中球给后点，埃杜底线再回敲，金泰延在对手紧逼下打门踢飞了
27'埃杜回敲给了张靖洋，后者直传球给大了                   25'第25分钟，辽宁队右路控制球，打到中场后布兰丹分到左路，郑涛传中球给后点，埃杜底线再回敲，金泰延在对手紧逼下打门踢飞了
27'辽宁右路推进，过中场，布兰丹分到左路                   25'第25分钟，辽宁队右路控制球，打到中场后布兰丹分到左路，郑涛传中球给后点，埃杜底线再回敲，金泰延在对手紧逼下打门踢飞了
27'埃杜底线回作，金泰延在紧下，打门踢高了                   25'第25分钟，辽宁队右路控制球，打到中场后布兰丹分到左路，郑涛传中球给后点，埃杜底线再回敲，金泰延在对手紧逼下打门踢飞了
28'石柯在防特里夫诺维奇犯规                   25'第25分钟，辽宁队右路控制球，打到中场后布兰丹分到左路，郑涛传中球给后点，埃杜底线再回敲，金泰延在对手紧逼下打门踢飞了
28'石柯吃到了黄牌                   25'第25分钟，辽宁队右路控制球，打到中场后布兰丹分到左路，郑涛传中球给后点，埃杜底线再回敲，金泰延在对手紧逼下打门踢飞了
29'埃杜任意球直接攻门，偏出                   29'第29分钟，绿城队马佐拉右路拿球突破造成了辽宁队的犯规，绿城队前场右侧赢得了一个位置不错的定位球机会，任意球低平球打到禁区内，郑涛右路防守卡住了身位
31'马佐拉右侧禁区外转身突破也被拉倒                   29'第29分钟，绿城队马佐拉右路拿球突破造成了辽宁队的犯规，绿城队前场右侧赢得了一个位置不错的定位球机会，任意球低平球打到禁区内，郑涛右路防守卡住了身位
31'阿甘任意球低传到禁区，连续漏过，没人接应                   29'第29分钟，绿城队马佐拉右路拿球突破造成了辽宁队的犯规，绿城队前场右侧赢得了一个位置不错的定位球机会，任意球低平球打到禁区内，郑涛右路防守卡住了身位
31'马佐拉左侧禁区强行突破被郑涛破坏                   29'第29分钟，绿城队马佐拉右路拿球突破造成了辽宁队的犯规，绿城队前场右侧赢得了一个位置不错的定位球机会，任意球低平球打到禁区内，郑涛右路防守卡住了身位
32'金泰延直塞球                   29'第29分钟，绿城队马佐拉右路拿球突破造成了辽宁队的犯规，绿城队前场右侧赢得了一个位置不错的定位球机会，任意球低平球打到禁区内，郑涛右路防守卡住了身位
32'埃杜深躺过人传到禁区，特里夫诺维奇倚住身后后卫，横传金泰延                   29'第29分钟，绿城队马佐拉右路拿球突破造成了辽宁队的犯规，绿城队前场右侧赢得了一个位置不错的定位球机会，任意球低平球打到禁区内，郑涛右路防守卡住了身位
33'金泰延横拨给了右路的肇俊哲，后者调整角度打门，被出击的姜波扑了一下，过了门网                   33'第33分钟，辽宁队沙夫卡特后场拿球交给布兰丹，布兰丹斜长传给到右路，埃杜拿球回做后卫把球铲出
33'角球                   33'第33分钟，辽宁队沙夫卡特后场拿球交给布兰丹，布兰丹斜长传给到右路，埃杜拿球回做后卫把球铲出
33'角球开到后点，第一点都没有顶到出了底线                   33'第33分钟，辽宁队沙夫卡特后场拿球交给布兰丹，布兰丹斜长传给到右路，埃杜拿球回做后卫把球铲出
33'沙夫卡特后场交给了布兰丹，后者斜传右路                   33'第33分钟，辽宁队沙夫卡特后场拿球交给布兰丹，布兰丹斜长传给到右路，埃杜拿球回做后卫把球铲出
34'埃杜拿球回作，被破坏                   33'第33分钟，辽宁队沙夫卡特后场拿球交给布兰丹，布兰丹斜长传给到右路，埃杜拿球回做后卫把球铲出
34'金泰延左路传中被后卫挡出                   33'第33分钟，辽宁队沙夫卡特后场拿球交给布兰丹，布兰丹斜长传给到右路，埃杜拿球回做后卫把球铲出
35'绿城反击左侧连续撞墙配合，杨善平上抢犯规                   33'第33分钟，辽宁队沙夫卡特后场拿球交给布兰丹，布兰丹斜长传给到右路，埃杜拿球回做后卫把球铲出
36'点球                   33'第33分钟，辽宁队沙夫卡特后场拿球交给布兰丹，布兰丹斜长传给到右路，埃杜拿球回做后卫把球铲出
36'辽宁中场突然挑传，埃杜挤开防守后突入禁区，单刀的机会，金东进无奈犯规了，点球！                   33'第33分钟，辽宁队沙夫卡特后场拿球交给布兰丹，布兰丹斜长传给到右路，埃杜拿球回做后卫把球铲出
36'埃杜自己来主罚，起左脚怒射左下角，皮球直窜网窝！                   33'第33分钟，辽宁队沙夫卡特后场拿球交给布兰丹，布兰丹斜长传给到右路，埃杜拿球回做后卫把球铲出
39'马佐拉传中球被后卫顶出，左路拿球时被判越位了                   39'第39分钟，绿城队左路进攻传中球到禁区内，大黑将志头球攻门顶偏了
40'慢镜头来看，应该是没有越位的                   39'第39分钟，绿城队左路进攻传中球到禁区内，大黑将志头球攻门顶偏了
40'绿城左侧起球到禁区，大黑将志抢点攻门稍稍偏出                   39'第39分钟，绿城队左路进攻传中球到禁区内，大黑将志头球攻门顶偏了
41'辽宁中场控球，布兰丹把球回传给了张鹭                   39'第39分钟，绿城队左路进攻传中球到禁区内，大黑将志头球攻门顶偏了
42'埃杜中路直塞给了特里夫诺维奇，球躺大了，姜波把球接收                   39'第39分钟，绿城队左路进攻传中球到禁区内，大黑将志头球攻门顶偏了
42'绿城中场转移到右路，沙夫卡特把球破坏了出来                   39'第39分钟，绿城队左路进攻传中球到禁区内，大黑将志头球攻门顶偏了
44'绿城前场右路连续配合就是没法起球呀，金泰延将球破坏出去                   44'第44分钟，辽宁队张靖洋拿球急停摆脱后打到禁区弧顶，想和特里夫诺维奇做配合，可惜没打成
44'阿甘左路反击横传门前，沙夫卡特将球破坏出底线                   44'第44分钟，辽宁队张靖洋拿球急停摆脱后打到禁区弧顶，想和特里夫诺维奇做配合，可惜没打成
44'绿城角球的机会                   44'第44分钟，辽宁队张靖洋拿球急停摆脱后打到禁区弧顶，想和特里夫诺维奇做配合，可惜没打成
46'汪嵩角球开到门前，张鹭出击单拳将球击出                   44'第44分钟，辽宁队张靖洋拿球急停摆脱后打到禁区弧顶，想和特里夫诺维奇做配合，可惜没打成
46'边裁出示了越位                   44'第44分钟，辽宁队张靖洋拿球急停摆脱后打到禁区弧顶，想和特里夫诺维奇做配合，可惜没打成
46'辽宁右路进攻，张靖洋穿挡摆脱，可惜球躺大了                   44'第44分钟，辽宁队张靖洋拿球急停摆脱后打到禁区弧顶，想和特里夫诺维奇做配合，可惜没打成
46'上半场补时1分钟                   44'第44分钟，辽宁队张靖洋拿球急停摆脱后打到禁区弧顶，想和特里夫诺维奇做配合，可惜没打成
47'辽宁后场控球，埃杜中路拿球回做了一下                   44'第44分钟，辽宁队张靖洋拿球急停摆脱后打到禁区弧顶，想和特里夫诺维奇做配合，可惜没打成
47'张靖洋交给了丁捷                   44'第44分钟，辽宁队张靖洋拿球急停摆脱后打到禁区弧顶，想和特里夫诺维奇做配合，可惜没打成
47'布兰丹在和阿甘的对脚中受伤                   44'第44分钟，辽宁队张靖洋拿球急停摆脱后打到禁区弧顶，想和特里夫诺维奇做配合，可惜没打成
47'丁捷把球踢出了边线                   44'第44分钟，辽宁队张靖洋拿球急停摆脱后打到禁区弧顶，想和特里夫诺维奇做配合，可惜没打成
46'下半场比赛开始                   44'第44分钟，辽宁队张靖洋拿球急停摆脱后打到禁区弧顶，想和特里夫诺维奇做配合，可惜没打成
46'辽宁中圈开球                   44'第44分钟，辽宁队张靖洋拿球急停摆脱后打到禁区弧顶，想和特里夫诺维奇做配合，可惜没打成
47'辽宁左路配合二过一，金泰延挑传门前没人接应                   44'第44分钟，辽宁队张靖洋拿球急停摆脱后打到禁区弧顶，想和特里夫诺维奇做配合，可惜没打成
47'赢得右侧角球的机会                   44'第44分钟，辽宁队张靖洋拿球急停摆脱后打到禁区弧顶，想和特里夫诺维奇做配合，可惜没打成
47'布兰丹角球开到后点被挡出                   44'第44分钟，辽宁队张靖洋拿球急停摆脱后打到禁区弧顶，想和特里夫诺维奇做配合，可惜没打成
47'外围连续的头球接力呀，辽宁继续组织进攻                   44'第44分钟，辽宁队张靖洋拿球急停摆脱后打到禁区弧顶，想和特里夫诺维奇做配合，可惜没打成
46'汪嵩角球开到门前，张鹭出击单拳将球击出                   46'上半场补时1分钟，上半场辽宁队1-0暂时领先
46'边裁出示了越位                   46'上半场补时1分钟，上半场辽宁队1-0暂时领先
46'辽宁右路进攻，张靖洋穿挡摆脱，可惜球躺大了                   46'上半场补时1分钟，上半场辽宁队1-0暂时领先
46'上半场补时1分钟                   46'上半场补时1分钟，上半场辽宁队1-0暂时领先
47'辽宁后场控球，埃杜中路拿球回做了一下                   46'上半场补时1分钟，上半场辽宁队1-0暂时领先
47'张靖洋交给了丁捷                   46'上半场补时1分钟，上半场辽宁队1-0暂时领先
47'布兰丹在和阿甘的对脚中受伤                   46'上半场补时1分钟，上半场辽宁队1-0暂时领先
47'丁捷把球踢出了边线                   46'上半场补时1分钟，上半场辽宁队1-0暂时领先
46'下半场比赛开始                   46'上半场补时1分钟，上半场辽宁队1-0暂时领先
46'辽宁中圈开球                   46'上半场补时1分钟，上半场辽宁队1-0暂时领先
47'辽宁左路配合二过一，金泰延挑传门前没人接应                   46'上半场补时1分钟，上半场辽宁队1-0暂时领先
47'赢得右侧角球的机会                   46'上半场补时1分钟，上半场辽宁队1-0暂时领先
47'布兰丹角球开到后点被挡出                   46'上半场补时1分钟，上半场辽宁队1-0暂时领先
47'外围连续的头球接力呀，辽宁继续组织进攻                   46'上半场补时1分钟，上半场辽宁队1-0暂时领先
48'郑涛斜传到禁区，特里夫诺维奇没能顶上                   46'上半场补时1分钟，上半场辽宁队1-0暂时领先
48'球直接出了边线                   46'上半场补时1分钟，上半场辽宁队1-0暂时领先
49'金东进后场将球破坏长传，张鹭出击将球踢出                   46'上半场补时1分钟，上半场辽宁队1-0暂时领先
54'郑涛左路后场长传，姜波出击将球没收                   53'第53分钟，埃杜右路拿球，在两人的包夹下把球分出来，丁捷突入禁区没有选择打门，再横敲被后卫破坏出来
54'肇俊哲中场组织，布兰丹接应分球右侧                   53'第53分钟，埃杜右路拿球，在两人的包夹下把球分出来，丁捷突入禁区没有选择打门，再横敲被后卫破坏出来
54'无人接应，球直接出了底线                   53'第53分钟，埃杜右路拿球，在两人的包夹下把球分出来，丁捷突入禁区没有选择打门，再横敲被后卫破坏出来
55'金泰延中路分右路，特里夫诺维奇拿球传中没踢好                   53'第53分钟，埃杜右路拿球，在两人的包夹下把球分出来，丁捷突入禁区没有选择打门，再横敲被后卫破坏出来
56'肇俊哲中场拦截找布兰丹，后者直塞没传出去                   53'第53分钟，埃杜右路拿球，在两人的包夹下把球分出来，丁捷突入禁区没有选择打门，再横敲被后卫破坏出来
56'绿城中路直塞到禁区，沙夫卡特卡住身位，张鹭把球没收                   53'第53分钟，埃杜右路拿球，在两人的包夹下把球分出来，丁捷突入禁区没有选择打门，再横敲被后卫破坏出来
60'埃杜右路突破后传中找后点，特里夫诺维奇头球摆渡，洞穿绿城城门！                   60'第60分钟，辽宁队做换人调整，王亮换下了张靖洋，詹姆斯换下刚刚进球的特里夫
60'辽宁换人：王亮上，换下张靖洋                   60'第60分钟，辽宁队做换人调整，王亮换下了张靖洋，詹姆斯换下刚刚进球的特里夫
60'王林右路起球到后点，汪嵩冲顶没顶上                   60'第60分钟，辽宁队做换人调整，王亮换下了张靖洋，詹姆斯换下刚刚进球的特里夫
61'曹轩停球时间过长，被破坏                   60'第60分钟，辽宁队做换人调整，王亮换下了张靖洋，詹姆斯换下刚刚进球的特里夫
61'辽宁换人：詹姆斯上，换下特里夫诺维奇                   60'第60分钟，辽宁队做换人调整，王亮换下了张靖洋，詹姆斯换下刚刚进球的特里夫
61'郑涛从身后飞铲马佐拉犯规了，郑涛领到黄牌                   60'第60分钟，辽宁队做换人调整，王亮换下了张靖洋，詹姆斯换下刚刚进球的特里夫
62'绿城赢得任意球机会                   60'第60分钟，辽宁队做换人调整，王亮换下了张靖洋，詹姆斯换下刚刚进球的特里夫
62'汪嵩任意球直接开出，直接出了左侧底线                   60'第60分钟，辽宁队做换人调整，王亮换下了张靖洋，詹姆斯换下刚刚进球的特里夫
63'刚换上来没2分钟的詹姆斯，进球了                   60'第60分钟，辽宁队做换人调整，王亮换下了张靖洋，詹姆斯换下刚刚进球的特里夫
63'刚换上来没2分钟的詹姆斯，进球了                   63'第63分钟，辽宁队右路组织进攻，横传到中路，金泰延脚后跟一磕，詹姆斯顺势一领面对门将推射入网，辽宁队3-0领先绿城队
65'辽宁组织快速反击，金泰延右路接应后回做，詹姆跟进杀入左侧禁区直接起脚怒射，球直窜网窝！                   63'第63分钟，辽宁队右路组织进攻，横传到中路，金泰延脚后跟一磕，詹姆斯顺势一领面对门将推射入网，辽宁队3-0领先绿城队
65'绿城换人：黄凤涛上，换下石柯                   63'第63分钟，辽宁队右路组织进攻，横传到中路，金泰延脚后跟一磕，詹姆斯顺势一领面对门将推射入网，辽宁队3-0领先绿城队
66'【辽宁已经进3球了，绿城能破蛋吗？】                   63'第63分钟，辽宁队右路组织进攻，横传到中路，金泰延脚后跟一磕，詹姆斯顺势一领面对门将推射入网，辽宁队3-0领先绿城队
66'辽宁后场长传，金泰延接应失误                   63'第63分钟，辽宁队右路组织进攻，横传到中路，金泰延脚后跟一磕，詹姆斯顺势一领面对门将推射入网，辽宁队3-0领先绿城队
71'绿城右路传中，张鹭出击，将球摘下                    71'第71分钟，绿城队右路传中球给到中路，张鹭判断准确高高跃起把球摘下
72'绿城前场获得了任意球机会                   71'第71分钟，绿城队右路传中球给到中路，张鹭判断准确高高跃起把球摘下
72'汪嵩主罚                   71'第71分钟，绿城队右路传中球给到中路，张鹭判断准确高高跃起把球摘下
74'汪嵩任意球直接打门，打在人墙上弹出                   71'第71分钟，绿城队右路传中球给到中路，张鹭判断准确高高跃起把球摘下
74'埃杜快速反击一条龙杀入前场禁区，直接射门被没收                   71'第71分钟，绿城队右路传中球给到中路，张鹭判断准确高高跃起把球摘下
74'绿城右路进攻，阿甘的打门被沙夫卡特挡出                   71'第71分钟，绿城队右路传中球给到中路，张鹭判断准确高高跃起把球摘下
74'绿城右路强行内切传中，半凌空打门                   71'第71分钟，绿城队右路传中球给到中路，张鹭判断准确高高跃起把球摘下
75'反弹球，张鹭挡了一下，飞扑禁区线少年宫把球抱住                   75'第75分钟，绿城队右路传中，半凌空的打门，一个反弹球，张鹭把球挡了一下，再去扑救把球压在了禁区线上
76'绿城换人：亚罗林上，换下马佐拉                   75'第75分钟，绿城队右路传中，半凌空的打门，一个反弹球，张鹭把球挡了一下，再去扑救把球压在了禁区线上
76'埃杜前场组织，尝试人球分过被破坏                   75'第75分钟，绿城队右路传中，半凌空的打门，一个反弹球，张鹭把球挡了一下，再去扑救把球压在了禁区线上
76'郑涛左侧带球大了，黄风涛抢断给亚罗林                   75'第75分钟，绿城队右路传中，半凌空的打门，一个反弹球，张鹭把球挡了一下，再去扑救把球压在了禁区线上
76'后者接应失误                   75'第75分钟，绿城队右路传中，半凌空的打门，一个反弹球，张鹭把球挡了一下，再去扑救把球压在了禁区线上
76'辽宁后场长传球，直接给了姜波                   75'第75分钟，绿城队右路传中，半凌空的打门，一个反弹球，张鹭把球挡了一下，再去扑救把球压在了禁区线上
81'再回做过来，埃杜接应慢了半步                   80'第80分钟，绿城队队中路直传球给到禁区前沿，阿甘拿球挑传球到禁区内，边裁举旗示意越位在先
81'王亮斜传禁区找詹姆斯，金东进将球顶出去                   80'第80分钟，绿城队队中路直传球给到禁区前沿，阿甘拿球挑传球到禁区内，边裁举旗示意越位在先
81'汪嵩前场争抢对杨善平犯规了                   80'第80分钟，绿城队队中路直传球给到禁区前沿，阿甘拿球挑传球到禁区内，边裁举旗示意越位在先
81'辽宁换人：杨宇上，换下郑涛                   80'第80分钟，绿城队队中路直传球给到禁区前沿，阿甘拿球挑传球到禁区内，边裁举旗示意越位在先
82'王宏有后场长传，丁捷抢在亚罗林之前将球破坏                   80'第80分钟，绿城队队中路直传球给到禁区前沿，阿甘拿球挑传球到禁区内，边裁举旗示意越位在先
88'绿城进球了，曹轩                   88'第88分钟，绿城队扳回一球，绿城队角球开到后点，张鹭和阿甘在卡位置，辽宁认为有犯规动作，曹轩头球攻门得手，场上比分3-1
89'角球开到后点，张鹭和阿甘在卡位置，辽宁认为有犯规动作，曹轩头球攻门，进了！                   88'第88分钟，绿城队扳回一球，绿城队角球开到后点，张鹭和阿甘在卡位置，辽宁认为有犯规动作，曹轩头球攻门得手，场上比分3-1
89'绿城1-3辽宁                   88'第88分钟，绿城队扳回一球，绿城队角球开到后点，张鹭和阿甘在卡位置，辽宁认为有犯规动作，曹轩头球攻门得手，场上比分3-1
89'辽宁右侧角球的机会                   88'第88分钟，绿城队扳回一球，绿城队角球开到后点，张鹭和阿甘在卡位置，辽宁认为有犯规动作，曹轩头球攻门得手，场上比分3-1
89'王亮角球开到门前，杨善平头球冲顶稍稍偏出                   88'第88分钟，绿城队扳回一球，绿城队角球开到后点，张鹭和阿甘在卡位置，辽宁认为有犯规动作，曹轩头球攻门得手，场上比分3-1
90'下半场补时3分钟                   88'第88分钟，绿城队扳回一球，绿城队角球开到后点，张鹭和阿甘在卡位置，辽宁认为有犯规动作，曹轩头球攻门得手，场上比分3-1
48'郑涛斜传到禁区，特里夫诺维奇没能顶上                   48'下半场补时3分钟，第90分钟，辽宁队左路进攻卷土重来，杨宇传中球被后卫挡出了底线，角球开出被守门员击出
48'球直接出了边线                   48'下半场补时3分钟，第90分钟，辽宁队左路进攻卷土重来，杨宇传中球被后卫挡出了底线，角球开出被守门员击出
49'金东进后场将球破坏长传，张鹭出击将球踢出                   48'下半场补时3分钟，第90分钟，辽宁队左路进攻卷土重来，杨宇传中球被后卫挡出了底线，角球开出被守门员击出
51'布兰丹和金泰延二过一配合，郑涛上来接应挑传直接出了边线                   48'下半场补时3分钟，第90分钟，辽宁队左路进攻卷土重来，杨宇传中球被后卫挡出了底线，角球开出被守门员击出
93'埃杜又在禁区倒地了，不过这次没吹                   93'第93分钟，绿城队的一次射门打在横梁上弹出
93'布兰丹的中场挑传，埃杜利用身体轻松杀入禁区，身后的金东进手上有动作                   93'第93分钟，绿城队的一次射门打在横梁上弹出
94'汪嵩右路和王宏有配合，辽宁后卫上抢犯规                   93'第93分钟，绿城队的一次射门打在横梁上弹出
94'绿城右侧任意球的机会                   93'第93分钟，绿城队的一次射门打在横梁上弹出
94'汪嵩任意球开到门前，阿甘头球弹在门柱弹出                   93'第93分钟，绿城队的一次射门打在横梁上弹出
94'全场比赛结束，辽宁宏运主场3-1战胜杭州绿城！                   93'第93分钟，绿城队的一次射门打在横梁上弹出
