2'倒脚给门将埃德森-莫赖斯！                   2'开场仅2分钟，费尔南迪尼奥传球，贝尔纳多禁区弧顶劲射偏出
5'分球身边的拉波尔特！                   2'开场仅2分钟，费尔南迪尼奥传球，贝尔纳多禁区弧顶劲射偏出
12'斯通斯直传球给中场左侧阿奎罗！                   12'曼城第12分钟取得领先，斯特林左路传中，贝尔纳多远点回传，席尔瓦小禁区前爆射入网
12'再给前场左路斯特林！                   12'曼城第12分钟取得领先，斯特林左路传中，贝尔纳多远点回传，席尔瓦小禁区前爆射入网
12'斯特林外围左侧起球传中！！                   12'曼城第12分钟取得领先，斯特林左路传中，贝尔纳多远点回传，席尔瓦小禁区前爆射入网
12'弧线球给到禁区内右肋！！                   12'曼城第12分钟取得领先，斯特林左路传中，贝尔纳多远点回传，席尔瓦小禁区前爆射入网
12'伯纳多-席尔瓦跟进！底线附近把球回传！！                   12'曼城第12分钟取得领先，斯特林左路传中，贝尔纳多远点回传，席尔瓦小禁区前爆射入网
12'禁区内左肋席尔瓦迎球爆射！！！                   12'曼城第12分钟取得领先，斯特林左路传中，贝尔纳多远点回传，席尔瓦小禁区前爆射入网
12'GOOOOOOOOOOOOOAL！！！                   12'曼城第12分钟取得领先，斯特林左路传中，贝尔纳多远点回传，席尔瓦小禁区前爆射入网
12'席尔瓦的破门！！！曼城1-0领先曼联！！！                   12'曼城第12分钟取得领先，斯特林左路传中，贝尔纳多远点回传，席尔瓦小禁区前爆射入网
15'马夏尔右路带球被门迪犯规！                   12'曼城第12分钟取得领先，斯特林左路传中，贝尔纳多远点回传，席尔瓦小禁区前爆射入网
15'曼联前场右侧定位球！                   12'曼城第12分钟取得领先，斯特林左路传中，贝尔纳多远点回传，席尔瓦小禁区前爆射入网
15'开球传中到禁区前点！                   12'曼城第12分钟取得领先，斯特林左路传中，贝尔纳多远点回传，席尔瓦小禁区前爆射入网
15'皮球被顶出来解围！                   12'曼城第12分钟取得领先，斯特林左路传中，贝尔纳多远点回传，席尔瓦小禁区前爆射入网
48'阿奎罗的破门，曼城2-0领先曼联！                   48'曼城第48分钟扩大比分，林加德中场被费尔南迪尼奥抢断，阿圭罗同马赫雷斯踢墙配合后小禁区右上角外爆射上角入网，德赫亚缺乏反应，2-0
48'继续比赛！                   48'曼城第48分钟扩大比分，林加德中场被费尔南迪尼奥抢断，阿圭罗同马赫雷斯踢墙配合后小禁区右上角外爆射上角入网，德赫亚缺乏反应，2-0
48'席尔瓦分球给禁区左侧门迪！                   48'曼城第48分钟扩大比分，林加德中场被费尔南迪尼奥抢断，阿圭罗同马赫雷斯踢墙配合后小禁区右上角外爆射上角入网，德赫亚缺乏反应，2-0
48'门迪传中到前点！                   48'曼城第48分钟扩大比分，林加德中场被费尔南迪尼奥抢断，阿圭罗同马赫雷斯踢墙配合后小禁区右上角外爆射上角入网，德赫亚缺乏反应，2-0
48'被解围出来！                   48'曼城第48分钟扩大比分，林加德中场被费尔南迪尼奥抢断，阿圭罗同马赫雷斯踢墙配合后小禁区右上角外爆射上角入网，德赫亚缺乏反应，2-0
48'外围左侧拉波尔特把球控制！                   48'曼城第48分钟扩大比分，林加德中场被费尔南迪尼奥抢断，阿圭罗同马赫雷斯踢墙配合后小禁区右上角外爆射上角入网，德赫亚缺乏反应，2-0
48'拉波尔特斜传球给前场左侧！                   48'曼城第48分钟扩大比分，林加德中场被费尔南迪尼奥抢断，阿圭罗同马赫雷斯踢墙配合后小禁区右上角外爆射上角入网，德赫亚缺乏反应，2-0
48'这球传出了边线！                   48'曼城第48分钟扩大比分，林加德中场被费尔南迪尼奥抢断，阿圭罗同马赫雷斯踢墙配合后小禁区右上角外爆射上角入网，德赫亚缺乏反应，2-0
48'曼联边线发球给马蒂奇！                   48'曼城第48分钟扩大比分，林加德中场被费尔南迪尼奥抢断，阿圭罗同马赫雷斯踢墙配合后小禁区右上角外爆射上角入网，德赫亚缺乏反应，2-0
48'马蒂奇的斜传球被伯纳多-席尔瓦截胡！                   48'曼城第48分钟扩大比分，林加德中场被费尔南迪尼奥抢断，阿圭罗同马赫雷斯踢墙配合后小禁区右上角外爆射上角入网，德赫亚缺乏反应，2-0
48'伯纳多-席尔瓦挑传到前场左路！                   48'曼城第48分钟扩大比分，林加德中场被费尔南迪尼奥抢断，阿圭罗同马赫雷斯踢墙配合后小禁区右上角外爆射上角入网，德赫亚缺乏反应，2-0
48'阿什利-扬大脚解围出来！                   48'曼城第48分钟扩大比分，林加德中场被费尔南迪尼奥抢断，阿圭罗同马赫雷斯踢墙配合后小禁区右上角外爆射上角入网，德赫亚缺乏反应，2-0
48'皮球来到中场右侧！                   48'曼城第48分钟扩大比分，林加德中场被费尔南迪尼奥抢断，阿圭罗同马赫雷斯踢墙配合后小禁区右上角外爆射上角入网，德赫亚缺乏反应，2-0
48'双方争抢！斯特林犯规了！                   48'曼城第48分钟扩大比分，林加德中场被费尔南迪尼奥抢断，阿圭罗同马赫雷斯踢墙配合后小禁区右上角外爆射上角入网，德赫亚缺乏反应，2-0
48'曼联快发定位球给后场的埃雷拉！                   48'曼城第48分钟扩大比分，林加德中场被费尔南迪尼奥抢断，阿圭罗同马赫雷斯踢墙配合后小禁区右上角外爆射上角入网，德赫亚缺乏反应，2-0
48'回传给门将德赫亚！                   48'曼城第48分钟扩大比分，林加德中场被费尔南迪尼奥抢断，阿圭罗同马赫雷斯踢墙配合后小禁区右上角外爆射上角入网，德赫亚缺乏反应，2-0
48'德赫亚大脚开球给前场中路！                   48'曼城第48分钟扩大比分，林加德中场被费尔南迪尼奥抢断，阿圭罗同马赫雷斯踢墙配合后小禁区右上角外爆射上角入网，德赫亚缺乏反应，2-0
48'斯通斯后场把球拦截！                   48'曼城第48分钟扩大比分，林加德中场被费尔南迪尼奥抢断，阿圭罗同马赫雷斯踢墙配合后小禁区右上角外爆射上角入网，德赫亚缺乏反应，2-0
48'交给门将埃德森-莫赖斯！                   48'曼城第48分钟扩大比分，林加德中场被费尔南迪尼奥抢断，阿圭罗同马赫雷斯踢墙配合后小禁区右上角外爆射上角入网，德赫亚缺乏反应，2-0
48'埃德森-莫赖斯开球给左侧门迪！                   48'曼城第48分钟扩大比分，林加德中场被费尔南迪尼奥抢断，阿圭罗同马赫雷斯踢墙配合后小禁区右上角外爆射上角入网，德赫亚缺乏反应，2-0
48'门迪给中线上的席尔瓦！                   48'曼城第48分钟扩大比分，林加德中场被费尔南迪尼奥抢断，阿圭罗同马赫雷斯踢墙配合后小禁区右上角外爆射上角入网，德赫亚缺乏反应，2-0
48'席尔瓦回给身后斯通斯！                   48'曼城第48分钟扩大比分，林加德中场被费尔南迪尼奥抢断，阿圭罗同马赫雷斯踢墙配合后小禁区右上角外爆射上角入网，德赫亚缺乏反应，2-0
48'再给长传球到前场左侧给伯纳多-席尔瓦！                   48'曼城第48分钟扩大比分，林加德中场被费尔南迪尼奥抢断，阿圭罗同马赫雷斯踢墙配合后小禁区右上角外爆射上角入网，德赫亚缺乏反应，2-0
48'伯纳多-席尔瓦塞球禁区左侧！                   48'曼城第48分钟扩大比分，林加德中场被费尔南迪尼奥抢断，阿圭罗同马赫雷斯踢墙配合后小禁区右上角外爆射上角入网，德赫亚缺乏反应，2-0
48'斯特林跟进左脚打门！                   48'曼城第48分钟扩大比分，林加德中场被费尔南迪尼奥抢断，阿圭罗同马赫雷斯踢墙配合后小禁区右上角外爆射上角入网，德赫亚缺乏反应，2-0
48'阿什利-扬把球解围出边线！                   48'曼城第48分钟扩大比分，林加德中场被费尔南迪尼奥抢断，阿圭罗同马赫雷斯踢墙配合后小禁区右上角外爆射上角入网，德赫亚缺乏反应，2-0
48'曼城前场左侧发球给左路！                   48'曼城第48分钟扩大比分，林加德中场被费尔南迪尼奥抢断，阿圭罗同马赫雷斯踢墙配合后小禁区右上角外爆射上角入网，德赫亚缺乏反应，2-0
48'埃雷拉大脚解围出去！                   48'曼城第48分钟扩大比分，林加德中场被费尔南迪尼奥抢断，阿圭罗同马赫雷斯踢墙配合后小禁区右上角外爆射上角入网，德赫亚缺乏反应，2-0
48'门迪左路得球推进！                   48'曼城第48分钟扩大比分，林加德中场被费尔南迪尼奥抢断，阿圭罗同马赫雷斯踢墙配合后小禁区右上角外爆射上角入网，德赫亚缺乏反应，2-0
48'转移球给右边路找伯纳多-席尔瓦！                   48'曼城第48分钟扩大比分，林加德中场被费尔南迪尼奥抢断，阿圭罗同马赫雷斯踢墙配合后小禁区右上角外爆射上角入网，德赫亚缺乏反应，2-0
48'卢克-肖把球拦截下来！                   48'曼城第48分钟扩大比分，林加德中场被费尔南迪尼奥抢断，阿圭罗同马赫雷斯踢墙配合后小禁区右上角外爆射上角入网，德赫亚缺乏反应，2-0
48'卢克-肖的分球被阿奎罗踢出底线！                   48'曼城第48分钟扩大比分，林加德中场被费尔南迪尼奥抢断，阿圭罗同马赫雷斯踢墙配合后小禁区右上角外爆射上角入网，德赫亚缺乏反应，2-0
48'曼联换人，卢卡库换下林加德！                   48'曼城第48分钟扩大比分，林加德中场被费尔南迪尼奥抢断，阿圭罗同马赫雷斯踢墙配合后小禁区右上角外爆射上角入网，德赫亚缺乏反应，2-0
48'曼联发球给后场卢克-肖！                   48'曼城第48分钟扩大比分，林加德中场被费尔南迪尼奥抢断，阿圭罗同马赫雷斯踢墙配合后小禁区右上角外爆射上角入网，德赫亚缺乏反应，2-0
48'低平球给中圈附近马蒂奇！                   48'曼城第48分钟扩大比分，林加德中场被费尔南迪尼奥抢断，阿圭罗同马赫雷斯踢墙配合后小禁区右上角外爆射上角入网，德赫亚缺乏反应，2-0
48'马蒂奇一脚长传球给前场左侧马夏尔！                   48'曼城第48分钟扩大比分，林加德中场被费尔南迪尼奥抢断，阿圭罗同马赫雷斯踢墙配合后小禁区右上角外爆射上角入网，德赫亚缺乏反应，2-0
48'再往禁区内左侧塞球！！                   48'曼城第48分钟扩大比分，林加德中场被费尔南迪尼奥抢断，阿圭罗同马赫雷斯踢墙配合后小禁区右上角外爆射上角入网，德赫亚缺乏反应，2-0
48'卢卡库跟进！！被埃德森-莫赖斯扑倒了！                   48'曼城第48分钟扩大比分，林加德中场被费尔南迪尼奥抢断，阿圭罗同马赫雷斯踢墙配合后小禁区右上角外爆射上角入网，德赫亚缺乏反应，2-0
48'..裁判给了曼联点球！                   48'曼城第48分钟扩大比分，林加德中场被费尔南迪尼奥抢断，阿圭罗同马赫雷斯踢墙配合后小禁区右上角外爆射上角入网，德赫亚缺乏反应，2-0
48'曼联的点球机会！                   48'曼城第48分钟扩大比分，林加德中场被费尔南迪尼奥抢断，阿圭罗同马赫雷斯踢墙配合后小禁区右上角外爆射上角入网，德赫亚缺乏反应，2-0
48'马夏尔来操刀点球！                   48'曼城第48分钟扩大比分，林加德中场被费尔南迪尼奥抢断，阿圭罗同马赫雷斯踢墙配合后小禁区右上角外爆射上角入网，德赫亚缺乏反应，2-0
48'马夏尔助跑！推射球门右下角！！！                   48'曼城第48分钟扩大比分，林加德中场被费尔南迪尼奥抢断，阿圭罗同马赫雷斯踢墙配合后小禁区右上角外爆射上角入网，德赫亚缺乏反应，2-0
48'GOOOOOOOOAL！！！2-1！                   48'曼城第48分钟扩大比分，林加德中场被费尔南迪尼奥抢断，阿圭罗同马赫雷斯踢墙配合后小禁区右上角外爆射上角入网，德赫亚缺乏反应，2-0
48'卢卡库造点！马夏尔点射破门！曼联1-2曼城！                   48'曼城第48分钟扩大比分，林加德中场被费尔南迪尼奥抢断，阿圭罗同马赫雷斯踢墙配合后小禁区右上角外爆射上角入网，德赫亚缺乏反应，2-0
48'继续比赛！                   48'曼城第48分钟扩大比分，林加德中场被费尔南迪尼奥抢断，阿圭罗同马赫雷斯踢墙配合后小禁区右上角外爆射上角入网，德赫亚缺乏反应，2-0
48'中场左侧费尔南迪尼奥对卢克-肖犯规！                   48'曼城第48分钟扩大比分，林加德中场被费尔南迪尼奥抢断，阿圭罗同马赫雷斯踢墙配合后小禁区右上角外爆射上角入网，德赫亚缺乏反应，2-0
48'曼联开定位球给后场的林德洛夫！                   48'曼城第48分钟扩大比分，林加德中场被费尔南迪尼奥抢断，阿圭罗同马赫雷斯踢墙配合后小禁区右上角外爆射上角入网，德赫亚缺乏反应，2-0
48'林德洛夫横做给后场右侧斯莫林！                   48'曼城第48分钟扩大比分，林加德中场被费尔南迪尼奥抢断，阿圭罗同马赫雷斯踢墙配合后小禁区右上角外爆射上角入网，德赫亚缺乏反应，2-0
48'斯莫林直传球给身前马蒂奇！                   48'曼城第48分钟扩大比分，林加德中场被费尔南迪尼奥抢断，阿圭罗同马赫雷斯踢墙配合后小禁区右上角外爆射上角入网，德赫亚缺乏反应，2-0
48'马蒂奇一脚挑传球给左边路！                   48'曼城第48分钟扩大比分，林加德中场被费尔南迪尼奥抢断，阿圭罗同马赫雷斯踢墙配合后小禁区右上角外爆射上角入网，德赫亚缺乏反应，2-0
48'这球直接传出了边线！                   48'曼城第48分钟扩大比分，林加德中场被费尔南迪尼奥抢断，阿圭罗同马赫雷斯踢墙配合后小禁区右上角外爆射上角入网，德赫亚缺乏反应，2-0
48'曼城换人，萨内换下马赫雷斯！                   48'曼城第48分钟扩大比分，林加德中场被费尔南迪尼奥抢断，阿圭罗同马赫雷斯踢墙配合后小禁区右上角外爆射上角入网，德赫亚缺乏反应，2-0
48'斯通斯右路带球被林德洛夫犯规！                   48'曼城第48分钟扩大比分，林加德中场被费尔南迪尼奥抢断，阿圭罗同马赫雷斯踢墙配合后小禁区右上角外爆射上角入网，德赫亚缺乏反应，2-0
48'曼城中场右侧定位球！                   48'曼城第48分钟扩大比分，林加德中场被费尔南迪尼奥抢断，阿圭罗同马赫雷斯踢墙配合后小禁区右上角外爆射上角入网，德赫亚缺乏反应，2-0
48'开球给中路拉波尔特！                   48'曼城第48分钟扩大比分，林加德中场被费尔南迪尼奥抢断，阿圭罗同马赫雷斯踢墙配合后小禁区右上角外爆射上角入网，德赫亚缺乏反应，2-0
48'直传球给前场左侧萨内！                   48'曼城第48分钟扩大比分，林加德中场被费尔南迪尼奥抢断，阿圭罗同马赫雷斯踢墙配合后小禁区右上角外爆射上角入网，德赫亚缺乏反应，2-0
48'萨内再给前场中路低平球！                   48'曼城第48分钟扩大比分，林加德中场被费尔南迪尼奥抢断，阿圭罗同马赫雷斯踢墙配合后小禁区右上角外爆射上角入网，德赫亚缺乏反应，2-0
48'马蒂奇把球断下！                   48'曼城第48分钟扩大比分，林加德中场被费尔南迪尼奥抢断，阿圭罗同马赫雷斯踢墙配合后小禁区右上角外爆射上角入网，德赫亚缺乏反应，2-0
48'马蒂奇的分球被费尔南迪尼奥反抢回去！                   48'曼城第48分钟扩大比分，林加德中场被费尔南迪尼奥抢断，阿圭罗同马赫雷斯踢墙配合后小禁区右上角外爆射上角入网，德赫亚缺乏反应，2-0
48'费尔南迪尼奥给前场中路席尔瓦！                   48'曼城第48分钟扩大比分，林加德中场被费尔南迪尼奥抢断，阿圭罗同马赫雷斯踢墙配合后小禁区右上角外爆射上角入网，德赫亚缺乏反应，2-0
48'席尔瓦挑传到前场左侧！                   48'曼城第48分钟扩大比分，林加德中场被费尔南迪尼奥抢断，阿圭罗同马赫雷斯踢墙配合后小禁区右上角外爆射上角入网，德赫亚缺乏反应，2-0
48'阿什利-扬防守中手球！                   48'曼城第48分钟扩大比分，林加德中场被费尔南迪尼奥抢断，阿圭罗同马赫雷斯踢墙配合后小禁区右上角外爆射上角入网，德赫亚缺乏反应，2-0
48'曼城前场左侧定位球！                   48'曼城第48分钟扩大比分，林加德中场被费尔南迪尼奥抢断，阿圭罗同马赫雷斯踢墙配合后小禁区右上角外爆射上角入网，德赫亚缺乏反应，2-0
48'开球挑传到禁区内前点！                   48'曼城第48分钟扩大比分，林加德中场被费尔南迪尼奥抢断，阿圭罗同马赫雷斯踢墙配合后小禁区右上角外爆射上角入网，德赫亚缺乏反应，2-0
48'被顶出来解围！                   48'曼城第48分钟扩大比分，林加德中场被费尔南迪尼奥抢断，阿圭罗同马赫雷斯踢墙配合后小禁区右上角外爆射上角入网，德赫亚缺乏反应，2-0
48'外围凯尔-沃克把球带走！                   48'曼城第48分钟扩大比分，林加德中场被费尔南迪尼奥抢断，阿圭罗同马赫雷斯踢墙配合后小禁区右上角外爆射上角入网，德赫亚缺乏反应，2-0
48'直传球给前场反击的阿奎罗！                   48'曼城第48分钟扩大比分，林加德中场被费尔南迪尼奥抢断，阿圭罗同马赫雷斯踢墙配合后小禁区右上角外爆射上角入网，德赫亚缺乏反应，2-0
48'阿奎罗右路带球下底！                   48'曼城第48分钟扩大比分，林加德中场被费尔南迪尼奥抢断，阿圭罗同马赫雷斯踢墙配合后小禁区右上角外爆射上角入网，德赫亚缺乏反应，2-0
48'林德洛夫把球破坏一下！                   48'曼城第48分钟扩大比分，林加德中场被费尔南迪尼奥抢断，阿圭罗同马赫雷斯踢墙配合后小禁区右上角外爆射上角入网，德赫亚缺乏反应，2-0
48'马夏尔把球解围出边线！                   48'曼城第48分钟扩大比分，林加德中场被费尔南迪尼奥抢断，阿圭罗同马赫雷斯踢墙配合后小禁区右上角外爆射上角入网，德赫亚缺乏反应，2-0
48'曼城前场右侧边线球！                   48'曼城第48分钟扩大比分，林加德中场被费尔南迪尼奥抢断，阿圭罗同马赫雷斯踢墙配合后小禁区右上角外爆射上角入网，德赫亚缺乏反应，2-0
48'发球给中路席尔瓦！                   48'曼城第48分钟扩大比分，林加德中场被费尔南迪尼奥抢断，阿圭罗同马赫雷斯踢墙配合后小禁区右上角外爆射上角入网，德赫亚缺乏反应，2-0
48'再给禁区右侧阿奎罗！                   48'曼城第48分钟扩大比分，林加德中场被费尔南迪尼奥抢断，阿圭罗同马赫雷斯踢墙配合后小禁区右上角外爆射上角入网，德赫亚缺乏反应，2-0
48'回敲给身后的伯纳多-席尔瓦！                   48'曼城第48分钟扩大比分，林加德中场被费尔南迪尼奥抢断，阿圭罗同马赫雷斯踢墙配合后小禁区右上角外爆射上角入网，德赫亚缺乏反应，2-0
48'伯纳多-席尔瓦塞球给底线附近斯特林！                   48'曼城第48分钟扩大比分，林加德中场被费尔南迪尼奥抢断，阿圭罗同马赫雷斯踢墙配合后小禁区右上角外爆射上角入网，德赫亚缺乏反应，2-0
48'斯特林回做给中路！                   48'曼城第48分钟扩大比分，林加德中场被费尔南迪尼奥抢断，阿圭罗同马赫雷斯踢墙配合后小禁区右上角外爆射上角入网，德赫亚缺乏反应，2-0
48'皮球被解围出来！                   48'曼城第48分钟扩大比分，林加德中场被费尔南迪尼奥抢断，阿圭罗同马赫雷斯踢墙配合后小禁区右上角外爆射上角入网，德赫亚缺乏反应，2-0
48'外围左侧卢卡库带球反击！                   48'曼城第48分钟扩大比分，林加德中场被费尔南迪尼奥抢断，阿圭罗同马赫雷斯踢墙配合后小禁区右上角外爆射上角入网，德赫亚缺乏反应，2-0
48'长传球给前场左侧马夏尔！                   48'曼城第48分钟扩大比分，林加德中场被费尔南迪尼奥抢断，阿圭罗同马赫雷斯踢墙配合后小禁区右上角外爆射上角入网，德赫亚缺乏反应，2-0
48'马夏尔回传一下马蒂奇！                   48'曼城第48分钟扩大比分，林加德中场被费尔南迪尼奥抢断，阿圭罗同马赫雷斯踢墙配合后小禁区右上角外爆射上角入网，德赫亚缺乏反应，2-0
48'再给右边路的阿什利-扬！                   48'曼城第48分钟扩大比分，林加德中场被费尔南迪尼奥抢断，阿圭罗同马赫雷斯踢墙配合后小禁区右上角外爆射上角入网，德赫亚缺乏反应，2-0
48'阿什利-扬挑传给前场右侧！                   48'曼城第48分钟扩大比分，林加德中场被费尔南迪尼奥抢断，阿圭罗同马赫雷斯踢墙配合后小禁区右上角外爆射上角入网，德赫亚缺乏反应，2-0
48'皮球被斯通斯解围！                   48'曼城第48分钟扩大比分，林加德中场被费尔南迪尼奥抢断，阿圭罗同马赫雷斯踢墙配合后小禁区右上角外爆射上角入网，德赫亚缺乏反应，2-0
87'拉波尔特低平球给右路反击的京多安！                   86'曼城第86分钟锁定胜局，贝尔纳多右路斜传，反越位成功的京多安小禁区边缘停球后从容推射入网，3-1
87'再给禁区内右侧插上斯特林！                   86'曼城第86分钟锁定胜局，贝尔纳多右路斜传，反越位成功的京多安小禁区边缘停球后从容推射入网，3-1
87'回给身后伯纳多-席尔瓦！                   86'曼城第86分钟锁定胜局，贝尔纳多右路斜传，反越位成功的京多安小禁区边缘停球后从容推射入网，3-1
87'伯纳多-席尔瓦搓传半高球给禁区前点！                   86'曼城第86分钟锁定胜局，贝尔纳多右路斜传，反越位成功的京多安小禁区边缘停球后从容推射入网，3-1
87'京多安插上左脚推射！！                   86'曼城第86分钟锁定胜局，贝尔纳多右路斜传，反越位成功的京多安小禁区边缘停球后从容推射入网，3-1
87'GOOOOOOOOAL！！！3-1！                   86'曼城第86分钟锁定胜局，贝尔纳多右路斜传，反越位成功的京多安小禁区边缘停球后从容推射入网，3-1
88'替补上阵的京多安破门杀死比赛！曼城3-1领先曼联！                   86'曼城第86分钟锁定胜局，贝尔纳多右路斜传，反越位成功的京多安小禁区边缘停球后从容推射入网，3-1
