1'上半场比赛开始了！                   1'主场作战的塞尔塔第1分钟并不保守
14'蒙托亚把对方的右边路传中给挡出了界外                   12'第12分钟，巴萨解围角球，因萨头球前顶，奥古斯托-费尔南德斯禁区边缘扫射破门但因越位在先被判无效
14'巴萨这种球队是受FIFA病毒困扰最深的之一                   12'第12分钟，巴萨解围角球，因萨头球前顶，奥古斯托-费尔南德斯禁区边缘扫射破门但因越位在先被判无效
15'主力球员大多也是各支国家队中的核心球员                   12'第12分钟，巴萨解围角球，因萨头球前顶，奥古斯托-费尔南德斯禁区边缘扫射破门但因越位在先被判无效
23'HXM满天星:小法和蒂亚戈明显功力不足～---这两人在一起配合的机会也并不多，慢慢来吧                   23'第23分钟，朴周永在巴特拉防守下双双摔倒在禁区内，裁判判罚韩国前锋犯规引致主队球迷不满
23'奥雷利亚纳中场得球~跟队友一个2过1                   23'第23分钟，朴周永在巴特拉防守下双双摔倒在禁区内，裁判判罚韩国前锋犯规引致主队球迷不满
23'裁判吹哨了~                   23'第23分钟，朴周永在巴特拉防守下双双摔倒在禁区内，裁判判罚韩国前锋犯规引致主队球迷不满
23'朴周永拉倒了巴尔特拉                   23'第23分钟，朴周永在巴特拉防守下双双摔倒在禁区内，裁判判罚韩国前锋犯规引致主队球迷不满
24'朴周永确实是先拉人犯规了                   23'第23分钟，朴周永在巴特拉防守下双双摔倒在禁区内，裁判判罚韩国前锋犯规引致主队球迷不满
24'巴尔特拉即将倒地的时候没有办法也只能拉倒朴周永                   23'第23分钟，朴周永在巴特拉防守下双双摔倒在禁区内，裁判判罚韩国前锋犯规引致主队球迷不满
24'裁判的吹罚没有问题                   23'第23分钟，朴周永在巴特拉防守下双双摔倒在禁区内，裁判判罚韩国前锋犯规引致主队球迷不满
25'这也给巴萨的防线提了个醒                   23'第23分钟，朴周永在巴特拉防守下双双摔倒在禁区内，裁判判罚韩国前锋犯规引致主队球迷不满
25'小法突然领到了黄牌                   23'第23分钟，朴周永在巴特拉防守下双双摔倒在禁区内，裁判判罚韩国前锋犯规引致主队球迷不满
25'多半是对裁判说了什么吧                   23'第23分钟，朴周永在巴特拉防守下双双摔倒在禁区内，裁判判罚韩国前锋犯规引致主队球迷不满
26'特略~被踢了一脚                   23'第23分钟，朴周永在巴特拉防守下双双摔倒在禁区内，裁判判罚韩国前锋犯规引致主队球迷不满
26'巴萨获得了一个定位球                   23'第23分钟，朴周永在巴特拉防守下双双摔倒在禁区内，裁判判罚韩国前锋犯规引致主队球迷不满
28'朴周永在等待队友上前接应~                   28'第28分钟，奥古斯托-费尔南德斯右路传中，皮克解围险些自摆乌龙，幸亏平托奋力挡出
28'平托~~~                   28'第28分钟，奥古斯托-费尔南德斯右路传中，皮克解围险些自摆乌龙，幸亏平托奋力挡出
29'先是扑出了皮克的乌龙射门~                   28'第28分钟，奥古斯托-费尔南德斯右路传中，皮克解围险些自摆乌龙，幸亏平托奋力挡出
29'然后对方前锋的补射也被平托扑出                   28'第28分钟，奥古斯托-费尔南德斯右路传中，皮克解围险些自摆乌龙，幸亏平托奋力挡出
29'平托大叔虽然比赛机会不多，但是水平保持得不错啊                   28'第28分钟，奥古斯托-费尔南德斯右路传中，皮克解围险些自摆乌龙，幸亏平托奋力挡出
29'角球开出来~裁判吹哨了                   28'第28分钟，奥古斯托-费尔南德斯右路传中，皮克解围险些自摆乌龙，幸亏平托奋力挡出
29'塞尔塔的球员抢球犯规                   28'第28分钟，奥古斯托-费尔南德斯右路传中，皮克解围险些自摆乌龙，幸亏平托奋力挡出
30'刚才皮克那脚解围踢疵了，变成了一次攻门~还好平托反应够快                   28'第28分钟，奥古斯托-费尔南德斯右路传中，皮克解围险些自摆乌龙，幸亏平托奋力挡出
30'赖蛤蟆想吃肉:朴周永都能在西甲跟巴萨过招了，不知道中国球员看到此景会怎么想---切~我们每天都在实况上虐巴萨呢~                   28'第28分钟，奥古斯托-费尔南德斯右路传中，皮克解围险些自摆乌龙，幸亏平托奋力挡出
30'梅西~突入禁区后倒地                   28'第28分钟，奥古斯托-费尔南德斯右路传中，皮克解围险些自摆乌龙，幸亏平托奋力挡出
31'裁判示意没点球                   28'第28分钟，奥古斯托-费尔南德斯右路传中，皮克解围险些自摆乌龙，幸亏平托奋力挡出
31'对方后卫确实是绊倒了梅西                   28'第28分钟，奥古斯托-费尔南德斯右路传中，皮克解围险些自摆乌龙，幸亏平托奋力挡出
31'不过梅西倒地的有些...故意往后卫腿上靠的                   28'第28分钟，奥古斯托-费尔南德斯右路传中，皮克解围险些自摆乌龙，幸亏平托奋力挡出
31'特球王啊~~~                   28'第28分钟，奥古斯托-费尔南德斯右路传中，皮克解围险些自摆乌龙，幸亏平托奋力挡出
30'刚才皮克那脚解围踢疵了，变成了一次攻门~还好平托反应够快                   30'第30分钟，梅西切入禁区右侧被德米多夫绊倒，但裁判仅判罚角球
30'赖蛤蟆想吃肉:朴周永都能在西甲跟巴萨过招了，不知道中国球员看到此景会怎么想---切~我们每天都在实况上虐巴萨呢~                   30'第30分钟，梅西切入禁区右侧被德米多夫绊倒，但裁判仅判罚角球
30'梅西~突入禁区后倒地                   30'第30分钟，梅西切入禁区右侧被德米多夫绊倒，但裁判仅判罚角球
31'裁判示意没点球                   30'第30分钟，梅西切入禁区右侧被德米多夫绊倒，但裁判仅判罚角球
31'对方后卫确实是绊倒了梅西                   30'第30分钟，梅西切入禁区右侧被德米多夫绊倒，但裁判仅判罚角球
31'不过梅西倒地的有些...故意往后卫腿上靠的                   30'第30分钟，梅西切入禁区右侧被德米多夫绊倒，但裁判仅判罚角球
31'特球王啊~~~                   30'第30分钟，梅西切入禁区右侧被德米多夫绊倒，但裁判仅判罚角球
32'禁区内的打门~特略没有越位，但是在后卫倒地干扰下打高了                   30'第30分钟，梅西切入禁区右侧被德米多夫绊倒，但裁判仅判罚角球
32'巴萨又获得了一个定位球机会                   30'第30分钟，梅西切入禁区右侧被德米多夫绊倒，但裁判仅判罚角球
32'这一次裁判给塞尔塔的球员掏牌了                   30'第30分钟，梅西切入禁区右侧被德米多夫绊倒，但裁判仅判罚角球
32'12号布拉尔领到了黄牌                   30'第30分钟，梅西切入禁区右侧被德米多夫绊倒，但裁判仅判罚角球
33'18*******95@sina.cn: 小特还是不怕被骂啊，还是自己射，哈哈---球王风采，你懂的                   30'第30分钟，梅西切入禁区右侧被德米多夫绊倒，但裁判仅判罚角球
33'梅西的定位球打门~被人墙挡出底线                   30'第30分钟，梅西切入禁区右侧被德米多夫绊倒，但裁判仅判罚角球
32'禁区内的打门~特略没有越位，但是在后卫倒地干扰下打高了                   32'第32分钟，卡布拉尔禁区前对梅西犯规被罚黄牌，梅西任意球射门打中人墙弹出底线
32'巴萨又获得了一个定位球机会                   32'第32分钟，卡布拉尔禁区前对梅西犯规被罚黄牌，梅西任意球射门打中人墙弹出底线
32'这一次裁判给塞尔塔的球员掏牌了                   32'第32分钟，卡布拉尔禁区前对梅西犯规被罚黄牌，梅西任意球射门打中人墙弹出底线
32'12号布拉尔领到了黄牌                   32'第32分钟，卡布拉尔禁区前对梅西犯规被罚黄牌，梅西任意球射门打中人墙弹出底线
33'18*******95@sina.cn: 小特还是不怕被骂啊，还是自己射，哈哈---球王风采，你懂的                   32'第32分钟，卡布拉尔禁区前对梅西犯规被罚黄牌，梅西任意球射门打中人墙弹出底线
33'梅西的定位球打门~被人墙挡出底线                   32'第32分钟，卡布拉尔禁区前对梅西犯规被罚黄牌，梅西任意球射门打中人墙弹出底线
34'蒂亚戈的角球传中~从空中就出了底线                   32'第32分钟，卡布拉尔禁区前对梅西犯规被罚黄牌，梅西任意球射门打中人墙弹出底线
34'这高度连阿凡达都顶不到                   32'第32分钟，卡布拉尔禁区前对梅西犯规被罚黄牌，梅西任意球射门打中人墙弹出底线
34'梅西的队长袖标~居然要掉了                   32'第32分钟，卡布拉尔禁区前对梅西犯规被罚黄牌，梅西任意球射门打中人墙弹出底线
34'还不习惯啊                   32'第32分钟，卡布拉尔禁区前对梅西犯规被罚黄牌，梅西任意球射门打中人墙弹出底线
34'阿尔维斯中场争抢被吹犯规                   32'第32分钟，卡布拉尔禁区前对梅西犯规被罚黄牌，梅西任意球射门打中人墙弹出底线
35'塞尔塔逼得了一个角球                   32'第32分钟，卡布拉尔禁区前对梅西犯规被罚黄牌，梅西任意球射门打中人墙弹出底线
35'传中~头球攻门！奥比纳把球顶偏了                   32'第32分钟，卡布拉尔禁区前对梅西犯规被罚黄牌，梅西任意球射门打中人墙弹出底线
35'这球很威胁啊                   32'第32分钟，卡布拉尔禁区前对梅西犯规被罚黄牌，梅西任意球射门打中人墙弹出底线
49'皮克带球过了半场                   48'3分钟后，朴周永直传，奥雷拉纳禁区内左脚射门偏出
49'阿尔维斯传球被后卫挡出~                   48'3分钟后，朴周永直传，奥雷拉纳禁区内左脚射门偏出
49'因萨~带球被反抢的阿尔维斯放倒                   48'3分钟后，朴周永直传，奥雷拉纳禁区内左脚射门偏出
50'巴萨今天给人感觉不够兴奋                   48'3分钟后，朴周永直传，奥雷拉纳禁区内左脚射门偏出
50'或许是想着欧冠的比赛吧                   48'3分钟后，朴周永直传，奥雷拉纳禁区内左脚射门偏出
50'此外球员也大多参加了国家队的比赛                   48'3分钟后，朴周永直传，奥雷拉纳禁区内左脚射门偏出
51'梅西~还想挑给特球王                   48'3分钟后，朴周永直传，奥雷拉纳禁区内左脚射门偏出
51'但是小法挡住了线路，停球失误了                   48'3分钟后，朴周永直传，奥雷拉纳禁区内左脚射门偏出
51'小法今天发挥一般                   48'3分钟后，朴周永直传，奥雷拉纳禁区内左脚射门偏出
51'还没有什么出彩的高光镜头                   48'3分钟后，朴周永直传，奥雷拉纳禁区内左脚射门偏出
51'桑切斯为巴萨逼得了一个角球                   48'3分钟后，朴周永直传，奥雷拉纳禁区内左脚射门偏出
41'梅西突破倒地了~                   41'第41分钟，奥比尼亚禁区前绊倒梅西被黄牌警告，梅西20码处任意球劲射被巴拉斯扑出
41'裁判又要掏牌                   41'第41分钟，奥比尼亚禁区前绊倒梅西被黄牌警告，梅西20码处任意球劲射被巴拉斯扑出
41'4号奥比纳领到了黄牌                   41'第41分钟，奥比尼亚禁区前绊倒梅西被黄牌警告，梅西20码处任意球劲射被巴拉斯扑出
41'巴萨获得了一个禁区中路的定位球                   41'第41分钟，奥比尼亚禁区前绊倒梅西被黄牌警告，梅西20码处任意球劲射被巴拉斯扑出
42'梅西任意球射门被门将飞身扑出~                   41'第41分钟，奥比尼亚禁区前绊倒梅西被黄牌警告，梅西20码处任意球劲射被巴拉斯扑出
42'巴萨角球，阿尔维斯来传中~                   41'第41分钟，奥比尼亚禁区前绊倒梅西被黄牌警告，梅西20码处任意球劲射被巴拉斯扑出
42'后点！裁判吹哨了                   41'第41分钟，奥比尼亚禁区前绊倒梅西被黄牌警告，梅西20码处任意球劲射被巴拉斯扑出
42'进攻方球员犯规                   41'第41分钟，奥比尼亚禁区前绊倒梅西被黄牌警告，梅西20码处任意球劲射被巴拉斯扑出
43'鲁拉笑得很勉强                   41'第41分钟，奥比尼亚禁区前绊倒梅西被黄牌警告，梅西20码处任意球劲射被巴拉斯扑出
43'梅西挑传球~                   41'第41分钟，奥比尼亚禁区前绊倒梅西被黄牌警告，梅西20码处任意球劲射被巴拉斯扑出
43'特略~~~                   41'第41分钟，奥比尼亚禁区前绊倒梅西被黄牌警告，梅西20码处任意球劲射被巴拉斯扑出
43'Gooooooooooooooooal~~~                   41'第41分钟，奥比尼亚禁区前绊倒梅西被黄牌警告，梅西20码处任意球劲射被巴拉斯扑出
43'特球王这脚打门太刁钻了~~~                   41'第41分钟，奥比尼亚禁区前绊倒梅西被黄牌警告，梅西20码处任意球劲射被巴拉斯扑出
44'梅西挑传过顶~特略反越位之后杀入禁区！右脚的搓射把球送入了死角！                   41'第41分钟，奥比尼亚禁区前绊倒梅西被黄牌警告，梅西20码处任意球劲射被巴拉斯扑出
44'这球是砸在了远端立柱上面弹入网窝                   41'第41分钟，奥比尼亚禁区前绊倒梅西被黄牌警告，梅西20码处任意球劲射被巴拉斯扑出
44'特球的搓射越来越出神入化啊                   41'第41分钟，奥比尼亚禁区前绊倒梅西被黄牌警告，梅西20码处任意球劲射被巴拉斯扑出
44'这是跟亨利学得吧                   41'第41分钟，奥比尼亚禁区前绊倒梅西被黄牌警告，梅西20码处任意球劲射被巴拉斯扑出
46'下半场比赛继续~~~                   46'下半场第1分钟双方仍是僵持局面
46'Denz_伊普西:柠檬，谁助攻的---梅西                   46'下半场第1分钟双方仍是僵持局面
46'下半场两队都没有换人                   46'下半场第1分钟双方仍是僵持局面
47'巴萨今天替补席上还坐着布教授、小白                   46'下半场第1分钟双方仍是僵持局面
47'或许阿比达尔会有机会亮相                   46'下半场第1分钟双方仍是僵持局面
47'但是我更愿意他在主场复出                   46'下半场第1分钟双方仍是僵持局面
49'皮克带球过了半场                   46'下半场第1分钟双方仍是僵持局面
49'阿尔维斯传球被后卫挡出~                   46'下半场第1分钟双方仍是僵持局面
49'因萨~带球被反抢的阿尔维斯放倒                   46'下半场第1分钟双方仍是僵持局面
47'巴萨今天替补席上还坐着布教授、小白                   47'拉戈对桑切斯犯规被罚黄牌，桑切斯2分钟后手球犯规也被黄牌警告
47'或许阿比达尔会有机会亮相                   47'拉戈对桑切斯犯规被罚黄牌，桑切斯2分钟后手球犯规也被黄牌警告
47'但是我更愿意他在主场复出                   47'拉戈对桑切斯犯规被罚黄牌，桑切斯2分钟后手球犯规也被黄牌警告
49'皮克带球过了半场                   47'拉戈对桑切斯犯规被罚黄牌，桑切斯2分钟后手球犯规也被黄牌警告
49'阿尔维斯传球被后卫挡出~                   47'拉戈对桑切斯犯规被罚黄牌，桑切斯2分钟后手球犯规也被黄牌警告
49'因萨~带球被反抢的阿尔维斯放倒                   47'拉戈对桑切斯犯规被罚黄牌，桑切斯2分钟后手球犯规也被黄牌警告
50'巴萨今天给人感觉不够兴奋                   47'拉戈对桑切斯犯规被罚黄牌，桑切斯2分钟后手球犯规也被黄牌警告
50'或许是想着欧冠的比赛吧                   47'拉戈对桑切斯犯规被罚黄牌，桑切斯2分钟后手球犯规也被黄牌警告
50'此外球员也大多参加了国家队的比赛                   47'拉戈对桑切斯犯规被罚黄牌，桑切斯2分钟后手球犯规也被黄牌警告
67'梅西~接应小法的直塞！转身右脚打门~被挡出了底线                   66'第66分钟，法布雷加斯直传，梅西禁区右侧的射门被卡布拉尔挡出近角
67'梅西角球传中被后卫解围~阿尔维斯重新把球控制住                   66'第66分钟，法布雷加斯直传，梅西禁区右侧的射门被卡布拉尔挡出近角
68'阿尔维斯~传中落点不太好                   66'第66分钟，法布雷加斯直传，梅西禁区右侧的射门被卡布拉尔挡出近角
68'巴萨还要换人                   66'第66分钟，法布雷加斯直传，梅西禁区右侧的射门被卡布拉尔挡出近角
68'比利亚换下了桑切斯                   66'第66分钟，法布雷加斯直传，梅西禁区右侧的射门被卡布拉尔挡出近角
69'桑切斯在巴萨的时间恐怕是越来越少了                   66'第66分钟，法布雷加斯直传，梅西禁区右侧的射门被卡布拉尔挡出近角
69'塞尔塔换上德卢卡斯换下了普拉尼奇                   66'第66分钟，法布雷加斯直传，梅西禁区右侧的射门被卡布拉尔挡出近角
73'梅西~~~                   73'巴萨第73分钟反超比分，梅西分球左路，特略禁区左侧精准传中，无人防守的梅西10码处推射破门，2-1
73'Gooooooooooooal~~~                   73'巴萨第73分钟反超比分，梅西分球左路，特略禁区左侧精准传中，无人防守的梅西10码处推射破门，2-1
73'19场西甲连续进球~~~                   73'巴萨第73分钟反超比分，梅西分球左路，特略禁区左侧精准传中，无人防守的梅西10码处推射破门，2-1
73'新的纪录~~~                   73'巴萨第73分钟反超比分，梅西分球左路，特略禁区左侧精准传中，无人防守的梅西10码处推射破门，2-1
73'梅西对西甲所有球队都有进球，连续19场比赛啊                   73'巴萨第73分钟反超比分，梅西分球左路，特略禁区左侧精准传中，无人防守的梅西10码处推射破门，2-1
74'特略先是接到梅西的分球~在回给门前，梅西包抄到位~轻松推射破门                   73'巴萨第73分钟反超比分，梅西分球左路，特略禁区左侧精准传中，无人防守的梅西10码处推射破门，2-1
74'游客9788: 连续20场攻破西甲全部球队！---这么想他进乌龙球吗？                   73'巴萨第73分钟反超比分，梅西分球左路，特略禁区左侧精准传中，无人防守的梅西10码处推射破门，2-1
75'梅西再给左路~特略这一次越位了                   73'巴萨第73分钟反超比分，梅西分球左路，特略禁区左侧精准传中，无人防守的梅西10码处推射破门，2-1
75'今天巴萨两个进球，都是特球王跟煤球王之间的配合                   73'巴萨第73分钟反超比分，梅西分球左路，特略禁区左侧精准传中，无人防守的梅西10码处推射破门，2-1
75'贝尔梅霍为塞尔塔制造了一个定位球                   73'巴萨第73分钟反超比分，梅西分球左路，特略禁区左侧精准传中，无人防守的梅西10码处推射破门，2-1
76'定位球传中被皮克顶到~                   73'巴萨第73分钟反超比分，梅西分球左路，特略禁区左侧精准传中，无人防守的梅西10码处推射破门，2-1
76'特略的速度~~~                   73'巴萨第73分钟反超比分，梅西分球左路，特略禁区左侧精准传中，无人防守的梅西10码处推射破门，2-1
76'在后卫倒地铲球的干扰下，特略慢了下来                   73'巴萨第73分钟反超比分，梅西分球左路，特略禁区左侧精准传中，无人防守的梅西10码处推射破门，2-1
76'阿尔维斯传中~让梅西去抢头球！                   73'巴萨第73分钟反超比分，梅西分球左路，特略禁区左侧精准传中，无人防守的梅西10码处推射破门，2-1
88'布斯克茨在身后踢倒了贝尔梅霍                   88'塞尔塔第88分钟扳平比分，奥雷拉纳右路禁区边缘传中远点，无人防守的奥比尼亚小禁区边缘头球破门，2-2
88'裁判也给了一张黄牌                   88'塞尔塔第88分钟扳平比分，奥雷拉纳右路禁区边缘传中远点，无人防守的奥比尼亚小禁区边缘头球破门，2-2
89'扳平了！！！                   88'塞尔塔第88分钟扳平比分，奥雷拉纳右路禁区边缘传中远点，无人防守的奥比尼亚小禁区边缘头球破门，2-2
89'后点漏人~~~                   88'塞尔塔第88分钟扳平比分，奥雷拉纳右路禁区边缘传中远点，无人防守的奥比尼亚小禁区边缘头球破门，2-2
89'进球的是4号奥比纳~                   88'塞尔塔第88分钟扳平比分，奥雷拉纳右路禁区边缘传中远点，无人防守的奥比尼亚小禁区边缘头球破门，2-2
89'奥雷利亚纳右路传中~阿尔维斯并没有守住自己的区域，后点位置奥比纳轻松头球破门                   88'塞尔塔第88分钟扳平比分，奥雷拉纳右路禁区边缘传中远点，无人防守的奥比尼亚小禁区边缘头球破门，2-2
90'这球阿尔维斯扑到了中路来补防                   88'塞尔塔第88分钟扳平比分，奥雷拉纳右路禁区边缘传中远点，无人防守的奥比尼亚小禁区边缘头球破门，2-2
90'布斯克茨还不如让球出界呢，抢回来之后直接传给了对方                   88'塞尔塔第88分钟扳平比分，奥雷拉纳右路禁区边缘传中远点，无人防守的奥比尼亚小禁区边缘头球破门，2-2
90'这个丢球布斯克茨也要负一定责任                   88'塞尔塔第88分钟扳平比分，奥雷拉纳右路禁区边缘传中远点，无人防守的奥比尼亚小禁区边缘头球破门，2-2
91'下半场补时3分钟                   88'塞尔塔第88分钟扳平比分，奥雷拉纳右路禁区边缘传中远点，无人防守的奥比尼亚小禁区边缘头球破门，2-2
91'皮克解围很果断，送给对方一个角球                   88'塞尔塔第88分钟扳平比分，奥雷拉纳右路禁区边缘传中远点，无人防守的奥比尼亚小禁区边缘头球破门，2-2
91'塞尔塔突然来了劲                   88'塞尔塔第88分钟扳平比分，奥雷拉纳右路禁区边缘传中远点，无人防守的奥比尼亚小禁区边缘头球破门，2-2
