1'上半场比赛开始了，先由桑德兰开球                   1'曼联第1分钟展开积极攻势
87'这个球慢镜头看，姆希塔良处在越位位置                   86'第86分钟，伊布右路传中，姆希塔良小禁区前脚后跟凌空蝎子摆尾破门，3-0
87'但裁判没有吹罚越位，进球有效！3-0！                   86'第86分钟，伊布右路传中，姆希塔良小禁区前脚后跟凌空蝎子摆尾破门，3-0
87'不管怎么样，姆希塔良这个蝎子摆尾太漂亮了！！                   86'第86分钟，伊布右路传中，姆希塔良小禁区前脚后跟凌空蝎子摆尾破门，3-0
88'曼联右侧角球传到门前，博格巴高高跳起头球攻门，高出横梁                   86'第86分钟，伊布右路传中，姆希塔良小禁区前脚后跟凌空蝎子摆尾破门，3-0
89'比赛马上进入到补时阶段了                   86'第86分钟，伊布右路传中，姆希塔良小禁区前脚后跟凌空蝎子摆尾破门，3-0
89'桑德兰右边路起球斜传到禁区里，后卫头球解围出来                   86'第86分钟，伊布右路传中，姆希塔良小禁区前脚后跟凌空蝎子摆尾破门，3-0
91'补时有3分钟时间                   91'桑德兰第91分钟挽回颜面，德纳耶尔右路传中被罗霍顶出，博里尼25码处凌空抽射落叶球吊入左上角，1-3
92'曼联左边路起球被门将没收                   91'桑德兰第91分钟挽回颜面，德纳耶尔右路传中被罗霍顶出，博里尼25码处凌空抽射落叶球吊入左上角，1-3
92'姆希塔良前插接伊布头球摆渡，几乎单刀，科恩从身后无奈拉倒了他，黄牌！                   91'桑德兰第91分钟挽回颜面，德纳耶尔右路传中被罗霍顶出，博里尼25码处凌空抽射落叶球吊入左上角，1-3
93'曼联获得一个任意球，全场比赛最后一个机会                   91'桑德兰第91分钟挽回颜面，德纳耶尔右路传中被罗霍顶出，博里尼25码处凌空抽射落叶球吊入左上角，1-3
93'就在禁区弧顶以内的任意球                   91'桑德兰第91分钟挽回颜面，德纳耶尔右路传中被罗霍顶出，博里尼25码处凌空抽射落叶球吊入左上角，1-3
93'伊布大力轰门，门将判断准确，把球死死摁住！                   91'桑德兰第91分钟挽回颜面，德纳耶尔右路传中被罗霍顶出，博里尼25码处凌空抽射落叶球吊入左上角，1-3
