16'射门!!!尤文图斯球员马尔基西奥大禁区外右脚射门,被对方守门员横身扑出.                   16'开场16分钟，马尔基西奥右路大力斜射被罗伯托托出横梁
45'特维斯为尤文图斯赢得一个任意球.                   42'第42分钟，阿萨莫阿左路传中，三人门前飞身抢点，马尔基西奥距门4米处铲射偏出右门柱，但越位在先
45'+2'上半场结束,尤文图斯 1-1 奥林匹亚科斯,稍事休息,我们一会来看看下半场两队的表现.                   42'第42分钟，阿萨莫阿左路传中，三人门前飞身抢点，马尔基西奥距门4米处铲射偏出右门柱，但越位在先
47'尤文图斯球员莫拉塔球门左侧小角度左脚射门,被防守球员封堵.                   47'下半时开始2分钟，特维斯和莫拉塔接连小角度射门被封堵
47'博蒂亚将球处理出底线,尤文图斯获得角球.                   47'下半时开始2分钟，特维斯和莫拉塔接连小角度射门被封堵
49'恩丁加为奥林匹亚科斯赢得一个任意球.                   47'下半时开始2分钟，特维斯和莫拉塔接连小角度射门被封堵
49'尤文图斯球员特维斯拼抢犯规,对手获得控球权.                   47'下半时开始2分钟，特维斯和莫拉塔接连小角度射门被封堵
49'黄牌！尤文图斯球员特维斯因为恶意犯规,被主裁判出示黄牌.                   47'下半时开始2分钟，特维斯和莫拉塔接连小角度射门被封堵
50'奥林匹亚科斯恩丁加受伤倒地,比赛暂停                   47'下半时开始2分钟，特维斯和莫拉塔接连小角度射门被封堵
50'暂停结束,球员们重新开始比赛.                   47'下半时开始2分钟，特维斯和莫拉塔接连小角度射门被封堵
54'射门!!!奥林匹亚科斯球员马苏库左侧很远处左脚射门,被对方守门员横身扑出.给他传球的是恩丁加.                   54'第54分钟，马苏阿库左路起脚，守在近角的布冯将球拿到
54'奥林匹亚科斯球员埃拉布德拉奥伊拼抢犯规,对手获得控球权.                   54'第54分钟，马苏阿库左路起脚，守在近角的布冯将球拿到
54'博格巴为尤文图斯赢得一个任意球.                   54'第54分钟，马苏阿库左路起脚，守在近角的布冯将球拿到
55'奥林匹亚科斯球员Luka Milivojevic大禁区左侧右脚射门,被防守球员封堵.给他传球的是多明戈斯.                   54'第54分钟，马苏阿库左路起脚，守在近角的布冯将球拿到
55'奥林匹亚科斯球员Luka Milivojevic大禁区左侧左脚射门,被防守球员封堵.                   54'第54分钟，马苏阿库左路起脚，守在近角的布冯将球拿到
55'射门!!!奥林匹亚科斯球员多明戈斯大禁区外右脚射门,被对方守门员横身扑出.给他传球的是阿费莱.                   54'第54分钟，马苏阿库左路起脚，守在近角的布冯将球拿到
58'尤文图斯换人,洛伦特换下莫拉塔                   58'第58分钟，第59分钟，利希施泰纳传中，比达尔后点顶偏
58'尤文图斯球员比达尔大禁区中央尝试头球,可惜皮球稍稍偏出了右球门.给他传球的是利希施泰纳.                   58'第58分钟，第59分钟，利希施泰纳传中，比达尔后点顶偏
60'马苏库为奥林匹亚科斯在左路,赢得一个任意球.                   58'第58分钟，第59分钟，利希施泰纳传中，比达尔后点顶偏
60'尤文图斯球员利希施泰纳拼抢犯规,对手获得控球权.                   58'第58分钟，第59分钟，利希施泰纳传中，比达尔后点顶偏
61'进球啦！！！奥林匹亚科斯球员恩丁加大禁区中央头球,球从右上角飞进球门,球进了!助攻的是马尼亚蒂斯. 尤文图斯 1-2 奥林匹亚科斯.                   58'第58分钟，第59分钟，利希施泰纳传中，比达尔后点顶偏
49'恩丁加为奥林匹亚科斯赢得一个任意球.                   49'尤文4分钟后追平，皮尔洛右路斜传，博格巴中路没顶到，略伦特后门柱距门6米处头球击中近门柱，再打在门将罗伯托右腿外侧反弹入网，2比2
49'尤文图斯球员特维斯拼抢犯规,对手获得控球权.                   49'尤文4分钟后追平，皮尔洛右路斜传，博格巴中路没顶到，略伦特后门柱距门6米处头球击中近门柱，再打在门将罗伯托右腿外侧反弹入网，2比2
49'黄牌！尤文图斯球员特维斯因为恶意犯规,被主裁判出示黄牌.                   49'尤文4分钟后追平，皮尔洛右路斜传，博格巴中路没顶到，略伦特后门柱距门6米处头球击中近门柱，再打在门将罗伯托右腿外侧反弹入网，2比2
50'奥林匹亚科斯恩丁加受伤倒地,比赛暂停                   49'尤文4分钟后追平，皮尔洛右路斜传，博格巴中路没顶到，略伦特后门柱距门6米处头球击中近门柱，再打在门将罗伯托右腿外侧反弹入网，2比2
50'暂停结束,球员们重新开始比赛.                   49'尤文4分钟后追平，皮尔洛右路斜传，博格巴中路没顶到，略伦特后门柱距门6米处头球击中近门柱，再打在门将罗伯托右腿外侧反弹入网，2比2
52'马苏库为奥林匹亚科斯赢得一个任意球.                   49'尤文4分钟后追平，皮尔洛右路斜传，博格巴中路没顶到，略伦特后门柱距门6米处头球击中近门柱，再打在门将罗伯托右腿外侧反弹入网，2比2
52'尤文图斯球员马尔基西奥拼抢犯规,对手获得控球权.                   49'尤文4分钟后追平，皮尔洛右路斜传，博格巴中路没顶到，略伦特后门柱距门6米处头球击中近门柱，再打在门将罗伯托右腿外侧反弹入网，2比2
77'奥林匹亚科斯球员埃拉布德拉奥伊大禁区右侧尝试右脚射门,可惜皮球稍稍偏出了左球门.给他传球的是马尼亚蒂斯.                   77'第77分钟，阿卜杜勒-拉维转身摆脱阿萨莫阿，突入禁区右侧射门贴远门柱而出
78'奥林匹亚科斯换人,卡萨米换下恩丁加                   77'第77分钟，阿卜杜勒-拉维转身摆脱阿萨莫阿，突入禁区右侧射门贴远门柱而出
78'弗思特为奥林匹亚科斯赢得一个任意球.                   77'第77分钟，阿卜杜勒-拉维转身摆脱阿萨莫阿，突入禁区右侧射门贴远门柱而出
78'尤文图斯球员帕多因拼抢犯规,对手获得控球权.                   77'第77分钟，阿卜杜勒-拉维转身摆脱阿萨莫阿，突入禁区右侧射门贴远门柱而出
79'奥林匹亚科斯球员卡萨米拼抢犯规,对手获得控球权.                   77'第77分钟，阿卜杜勒-拉维转身摆脱阿萨莫阿，突入禁区右侧射门贴远门柱而出
79'帕多因为尤文图斯赢得一个任意球.                   77'第77分钟，阿卜杜勒-拉维转身摆脱阿萨莫阿，突入禁区右侧射门贴远门柱而出
79'奥林匹亚科斯球员卡萨米拼抢犯规,对手获得控球权.                   77'第77分钟，阿卜杜勒-拉维转身摆脱阿萨莫阿，突入禁区右侧射门贴远门柱而出
79'比达尔为尤文图斯在右路,赢得一个任意球.                   77'第77分钟，阿卜杜勒-拉维转身摆脱阿萨莫阿，突入禁区右侧射门贴远门柱而出
80'奥林匹亚科斯球员卡萨米拼抢犯规,对手获得控球权.                   77'第77分钟，阿卜杜勒-拉维转身摆脱阿萨莫阿，突入禁区右侧射门贴远门柱而出
80'利希施泰纳为尤文图斯在右路,赢得一个任意球.                   77'第77分钟，阿卜杜勒-拉维转身摆脱阿萨莫阿，突入禁区右侧射门贴远门柱而出
80'尤文图斯球员博努奇大禁区中央尝试头球,可惜皮球高出右上角球门.给他传球的是皮尔洛.                   77'第77分钟，阿卜杜勒-拉维转身摆脱阿萨莫阿，突入禁区右侧射门贴远门柱而出
85'尤文图斯球员特维斯大禁区中央尝试左脚射门,可惜皮球稍稍偏出了左球门.                   85'第85分钟，利希施泰纳传中，略伦特后点头球被博蒂亚封堵，特维斯左脚凌空补射偏出
85'奥林匹亚科斯球员博蒂亚拼抢犯规,对手获得控球权.                   85'第85分钟，利希施泰纳传中，略伦特后点头球被博蒂亚封堵，特维斯左脚凌空补射偏出
85'比达尔为尤文图斯赢得一个任意球.                   85'第85分钟，利希施泰纳传中，略伦特后点头球被博蒂亚封堵，特维斯左脚凌空补射偏出
85'黄牌！奥林匹亚科斯球员博蒂亚因为恶意犯规,被主裁判出示黄牌.                   85'第85分钟，利希施泰纳传中，略伦特后点头球被博蒂亚封堵，特维斯左脚凌空补射偏出
87'奥林匹亚科斯球员马苏库拼抢犯规,对手获得控球权.                   85'第85分钟，利希施泰纳传中，略伦特后点头球被博蒂亚封堵，特维斯左脚凌空补射偏出
87'利希施泰纳为尤文图斯赢得一个任意球.                   85'第85分钟，利希施泰纳传中，略伦特后点头球被博蒂亚封堵，特维斯左脚凌空补射偏出
88'射门!!!尤文图斯球员佩雷拉大禁区右侧右脚射门,被对方守门员横身扑出.给他传球的是比达尔.                   85'第85分钟，利希施泰纳传中，略伦特后点头球被博蒂亚封堵，特维斯左脚凌空补射偏出
88'尤文图斯球员洛伦特大禁区中央尝试左脚射门,可惜皮球高出球门.给他传球的是特维斯.                   85'第85分钟，利希施泰纳传中，略伦特后点头球被博蒂亚封堵，特维斯左脚凌空补射偏出
49'恩丁加为奥林匹亚科斯赢得一个任意球.                   49'补时第4分钟，特维斯与比达尔打出踢墙配合，突入禁区左侧被米利沃耶维奇绊倒，点球
49'尤文图斯球员特维斯拼抢犯规,对手获得控球权.                   49'补时第4分钟，特维斯与比达尔打出踢墙配合，突入禁区左侧被米利沃耶维奇绊倒，点球
49'黄牌！尤文图斯球员特维斯因为恶意犯规,被主裁判出示黄牌.                   49'补时第4分钟，特维斯与比达尔打出踢墙配合，突入禁区左侧被米利沃耶维奇绊倒，点球
50'奥林匹亚科斯恩丁加受伤倒地,比赛暂停                   49'补时第4分钟，特维斯与比达尔打出踢墙配合，突入禁区左侧被米利沃耶维奇绊倒，点球
50'暂停结束,球员们重新开始比赛.                   49'补时第4分钟，特维斯与比达尔打出踢墙配合，突入禁区左侧被米利沃耶维奇绊倒，点球
52'马苏库为奥林匹亚科斯赢得一个任意球.                   49'补时第4分钟，特维斯与比达尔打出踢墙配合，突入禁区左侧被米利沃耶维奇绊倒，点球
52'尤文图斯球员马尔基西奥拼抢犯规,对手获得控球权.                   49'补时第4分钟，特维斯与比达尔打出踢墙配合，突入禁区左侧被米利沃耶维奇绊倒，点球
